restaurant;address;neighborhood
Ammos Estiatorio;52 Vanderbilt Ave btwn 44th and 45th Sts;Midtown East
Amsterdam Restaurant and Tapas Lounge;;Upper West Side
Amy's Bread;75 Ninth Ave btwn 15th and 16th Sts;Midtown West
Amy's Bread;75 Ninth Ave btwn 15th and 16th Sts;Chelsea
Amy's Bread;75 Ninth Ave btwn 15th and 16th Sts;Greenwich Village
An Choi;;Lower East Side
Angelica Kitchen;;East Village
Angelo's Coal Oven Pizza;117 W 57th St at Sixth Ave;Midtown West
Angelo's Coal Oven Pizza;117 W 57th St at Sixth Ave;Midtown East
Angelo's Pizzeria;1697 Broadway at 53rd St;Midtown West
Angus McIndoe;;Midtown West
Annisa;;Greenwich Village
Anthony's;426A Seventh Ave at 14th St;Park Slope
Anthos;;Midtown East
Antica Venezia;;Greenwich Village
Antique Garage;41 Mercer St btwn Broome and Grand Sts;SoHo
Antonucci;170 E 81 St btwn Lexington and 3rd Aves;Upper East Side
Apiary;;East Village
Apizz;217 Elridge St btwn Stanton and...;Lower East Side
Applewood;;Park Slope
Apropos Cafe;186 5th Avenue at Sackett St;Park Slope
Aquagrill;210 Spring St at 6th Ave;SoHo
Aquavit;65 E 55th St btwn Park and Madison Aves;Midtown East
Aquavit Cafe;65 E 55th St btwn Park and Madison Aves;Midtown East
Arabelle;37 E. 64th St. at Madison Ave;Upper East Side
Archipelago (CLOSED);;SoHo
Aretsky's Patroon;160 E 46th St btwn Lexington and 3rd...;Midtown East
Ariyoshi;806 Broadway btwn 11th and 12th Sts;East Village
Armani Ristorante;;Midtown West
Aroma Kitchen and Winebar;36 E 4th St btwn Lafayette and Bowery;East Village
Arte;21 E 9th St btwn Fifth Ave and...;Greenwich Village
Arte Cafe;106 W 73rd St btwn Columbus and...;Upper West Side
Artichoke Basille's Pizza and Brewery;;East Village
Artichoke Basille’s Pizza and Brewery;328 E 14th St btwn First and Second Aves;East Village
Artie's Delicatessen;2290 Broadway at 83rd St;Upper West Side
Arturo's Pizzeria;;Greenwich Village
Asiate;;Midtown West
Aspen Social Club;157 W 47th St btwn 6th and 7th Aves;Midtown West
Astor Court;;Midtown East
Atlantic Grill;;Upper East Side
Atlas Cafe;;East Village
Atria;;Midtown West
August;359 Bleecker St btwn Charles and W 10th...;Greenwich Village
Aureole;;Upper East Side
Aurora;510 Broome St btwn Thompson St and West...;SoHo
Aurora Soho;510 Broome St btwn Thompson St and West...;SoHo
Avenue A Sushi;103 Ave A btwn 6th and 7th Sts;East Village
Avon Bistro;155 E 52 St btwn Lexington and 3rd Aves;Midtown East
Avon Bistro (CLOSED);;Midtown East
Avra Estiatorio;;Midtown East
Awash;338 E 6th St btwn First and Second Aves;Upper West Side
Awash;338 E 6th St btwn First and Second Aves;East Village
Ayza Cafe and Wine Bar;11 W 31st St btwn Fifth Ave and Broadway;Midtown East
Azalea;224 W 51st St btwn Broadway and Eighth...;Midtown West
Azucar;939 Eighth Ave btwn 55th and 56th Sts;Midtown West
Azul Bistro;152 Stanton St at Suffolk St;Lower East Side
Azza;137 E 55th St btwn Lexington and 3rd...;Midtown East
B. Cafe;240 E 75th St btwn 2nd and 3rd Aves;Upper East Side
B. Smith's;;Midtown West
BB Sandwich Bar;;Greenwich Village
BG;;Midtown West
BLT Burger;;Greenwich Village
BLT Market;;Midtown West
BLT Steak;106 E 57th St btwn Park and Lexington...;Midtown East
Babbo;110 Waverly Place btwn MacDougal St and...;Greenwich Village
Babouche;92 Prince St at Mercer St;SoHo
Babouche Park Slope;163 5th Ave at Lincoln Place;Park Slope
Bacaro;;Lower East Side
Back Forty;;East Village
Baldoria;;Midtown West
Bali Nusa Indah;;Midtown West
Balthazar;;SoHo
Bamboo 52;;Midtown West
Banc Cafe;431 Third Ave at 30th St;Midtown East
Bandol Bistro;181 E 78th St btwn Lexington and Third...;Upper East Side
Banjara;97 1st Ave at 6th St;East Village
Bann;350 W 50th St at Ninth Ave;Midtown West
Bao 111 (CLOSED);111 Ave C btwn 7th and 8th Sts;East Village
Bar 6;502 Sixth Ave btwn 12th and 13th Sts;Greenwich Village
Bar Americain;152 W 52nd St btwn 6th and 7th Sts;Midtown West
Bar BQ;;Park Slope
Bar Bao;;Upper West Side
Bar Baresco;;Chelsea
Bar Blanc;142 W 10th St btwn Greenwich Ave and...;Greenwich Village
Bar Boulud;1900 Broadway btwn 63rd and 64th Sts;Upper West Side
Bar Carrera;;East Village
Bar Masa;;Midtown West
Bar Pitti;;Greenwich Village
Bar Q;;Greenwich Village
Bar Q (CLOSED);;Greenwich Village
Bar Room at the Modern;9 W 53rd St btwn Fifth and Sixth Aves;Midtown West
Bar Tano;457 Third Ave at 9th St;Park Slope
Bar Toto;411 11th St at Sixth Ave;Park Slope
Bar Veloce;176 Seventh Ave btwn 20th and 21st Sts;Chelsea
Baraonda;1439 Second Ave at 75th St;Upper East Side
Barbetta;321 W 46th St btwn 8th and 9th Aves;Midtown West
Barbuto;775 Washington St btwn Jane and 12th Sts;Greenwich Village
Barcibo Enoteca;;Upper West Side
Barney Greengrass;;Upper West Side
Barolo;;SoHo
Barrio;;Park Slope
Basta Pasta;;Chelsea
Batch;150B W. 10th Street btwn Greenwich Ave...;Greenwich Village
Bay Leaf;;Midtown West
Beacon;;Midtown West
Becco;;Midtown West
Beer Table;;Park Slope
Beet;;Park Slope
Belcourt;;East Village
Bella Blu;;Upper East Side
Bella Luna;;Upper West Side
Bellavitae;;Greenwich Village
Belleville;;Park Slope
Bello Sguardo;;Upper West Side
Ben Benson's Steakhouse;;Midtown West
Ben and Jack's Steakhouse;;Midtown East
Ben's Kosher Delicatessen;;Midtown West
Benjamin Steakhouse;;Midtown East
Benoit;;Midtown West
Bereket;;Lower East Side
Better Burger;561 Third Ave at 37th St;Midtown East
Better Burger;561 Third Ave at 37th St;Chelsea
Better Burger (CLOSED);;Upper East Side
Bettola;412 Amsterdam Ave btwn 79th and 80th Sts;Upper West Side
Beyoglu;1431 Third Ave at 81st St;Upper East Side
Bianca;;East Village
Bice;;Midtown East
Big John;;Lower East Side
Bin 71;;Upper West Side
Birdbath;145 Seventh Ave So at Charles St;Greenwich Village
Birdbath;145 Seventh Ave So at Charles St;East Village
Biricchino;260 W 29th St at Eighth Ave;Chelsea
Bistecca Fiorentina;;Midtown West
Bistro Cassis;;Upper West Side
Bistro Citron;;Upper West Side
Bistro Desaret;;Midtown East
Bistro Le Steak;;Upper East Side
Bistro Milano;1350 Avenue of the Americas at 55th St;Midtown West
Bistro Ten 18;;Upper West Side
Bistro du Nord;;Upper East Side
Bistro les Amis;;SoHo
Bistrouge;432 E 13th St btwn 1st and 2nd Aves;East Village
Black Iron Burger Shop;540 E 5th St btwn Avenues A and B;East Village
Black Pearl (CLOSED);883 Union St btwn Seventh and Eighth...;Park Slope
Bloomingdale Road;2398 Broadway at 88th St;Upper West Side
Bloomingdale Road (CLOSED);;Upper West Side
Blossom Vegetarian Restaurant;187 Ninth Ave btwn 21st and 22nd Sts;Chelsea
Blue Fin;1567 Broadway at 47th St;Midtown West
Blue Hill;75 Washington Place btwn 6th Ave and...;Greenwich Village
Blue Point;662 Ninth Ave at 46th St;Midtown West
Blue Ribbon Bakery;33 Downing St at Bedford St;Greenwich Village
Blue Ribbon Bar;;Greenwich Village
Blue Ribbon Brasserie;97 Sullivan St btwn Prince and Spring...;SoHo
Blue Ribbon Park Slope;280 5th Ave btwn 1st St and Garfield Pl;Park Slope
Blue Ribbon Sushi Bar and Grill;;Midtown West
Blue Ribbon Sushi Manhattan;;SoHo
Blue Ribbon Sushi Park Slope;;Park Slope
Blue/Green (CLOSED);248 Mott St btwn Houston and Prince Sts;SoHo
Blue/Green (CLOSED);248 Mott St btwn Houston and Prince Sts;Upper East Side
Bluechili;251 W 51st St btwn Broadway and Eighth...;Midtown West
Bobby Van's Park Avenue;;Midtown East
Bobby Van's Steakhouse;;Midtown East
Bobo;181 W 10th St at 7th Ave So;Greenwich Village
Boca Chica;;East Village
Bocca di Bacco;;Midtown West
Boi;246 E 44th St btwn Second and Third Aves;Midtown East
Boka;;East Village
Bombay Bistro;;Midtown East
Bombay Frankie;994 Amsterdam Ave btwn 109th and 110th...;Upper West Side
Bombay Palace;30 W 52nd St btwn Fifth and Sixth Aves;Midtown West
Bombay Talkie;;Chelsea
Bond 45;;Midtown West
Bond St;6 Bond St btwn Broadway and Lafayette St;East Village
Bondi Road;153 Rivington St btwn Suffolk and...;Lower East Side
Bone Lick Park;75 Greenwich Ave btwn Seventh Ave South...;Greenwich Village
Bongo;299 Tenth Ave btwn 27th and 28th Sts;Chelsea
Bonnie's Grill;;Park Slope
Boom;152 Spring St btwn West Broadway and...;SoHo
Bottega Del Vino;;Upper East Side
Bottino;248 10th Ave btwn 24th and 25th Sts;Chelsea
Boucarou;64 E 1st St btwn 1st and 2nd Aves;Lower East Side
Bouchon Bakery;10 Columbus Circle btwn 58th and 60th...;Midtown West
Boutique Del Vino;;SoHo
Braai;329 West 51st St btwn 8th and 9th Aves;Midtown West
Braeburn;117 Perry St btwn Greenwich and Hudson...;Greenwich Village
Brasserie;100 E 53rd St btwn Lexington and Park...;Midtown East
Brasserie 360;;Upper East Side
Brasserie 52;772 Ninth Ave btwn 51st and 52nd Sts;Midtown West
Brasserie 8 1/2;;Midtown West
Brasserie Athenee;;Midtown West
Brasserie Cognac;1740 Broadway at 55th St;Midtown West
Brasserie Julien;;Upper East Side
Brasserie Ruhlmann;45 Rockefeller Plaza btwn 5th and 6th...;Midtown West
Bravo Gianni;230 E 63rd St btwn Second and Third Aves;Upper East Side
Brawta Caribbean Outpost;447 Seventh Ave btwn 15th and 16th Sts;Park Slope
Brazil Brazil;330 W 46th St btwn Eighth and Ninth Aves;Midtown West
Brazil Grill;787 8th Ave at 48th St;Midtown West
Bread and Olive;24 W 45th St btwn Fifth and Sixth Aves;Midtown West
Breeze;661 Ninth Ave btwn 45th and 46th Sts;Midtown West
Brgr;287 7th Ave btwn 26th and 27th Sts;Chelsea
Bricco;;Midtown West
Brick Lane Too;;Midtown East
Bricklane Curry House;;East Village
Brio;;Upper East Side
Broadway East;171 East Broadway btwn Jefferson and...;Lower East Side
Broadway Joe Steakhouse;;Midtown West
Brooklyn Diner USA;212 W 57th St btwn Seventh Ave and...;Midtown West
Brooklyn Fish Camp;162 Fifth Ave btwn DeGraw and Douglass...;Park Slope
Brooklyn Flipster's;444 9th St;Park Slope
Brookvin;;Park Slope
Brown Cafe;;Lower East Side
Bruno Jamais Restaurant Club;24 E 81st St at Madison Ave;Upper East Side
Bruno Ristorante;240 E 58th St btwn Second and Third Aves;Midtown East
Bryant Park Cafe and Grill;;Midtown West
Buddakan;75 9th Ave at 16th St;Chelsea
Buenos Aires;;East Village
Bull and Bear;;Midtown East
Bun;;SoHo
Burger Heaven;802 Lexington Ave at 62nd St;Upper East Side
Burger Heaven;802 Lexington Ave at 62nd St;Midtown East
Burger Joint;;Midtown West
Burgers and Cupcakes;265 W 23 St btwn Seventh and Eighth Aves;Chelsea
Burrito Bar and Kitchen;;Park Slope
Bussaco;833 Union St btwn 6th and 7th Aves;Park Slope
Butcher Bay;511 E 5th St btwn Avenues A and B;East Village
Butterfield 8;5 E 38th St btwn Fifth and Madison Aves;Midtown East
Buzina Pop;;Upper East Side
Byblos;;Midtown East
Cabana;1022 Third Ave btwn 60th and 61st Sts;Upper East Side
Cabrito;;Greenwich Village
Cacio E Pepe;;East Village
Cacio e Vino;;East Village
Cafe Asean;;Greenwich Village
Cafe Boulud;;Upper East Side
Cafe Centro;;Midtown East
Cafe Cluny;;Greenwich Village
Cafe Condesa;;Greenwich Village
Cafe Edison;228 W 47th St btwn Broadway and Eighth...;Midtown West
Cafe Evergreen;1288 First Ave at 69th St;Upper East Side
Cafe Fiorello;1900 Broadway btwn 63rd and 64th Sts;Upper West Side
Cafe Frida;368 Columbus Ave btwn 77th and 78th Sts;Upper West Side
Cafe Joul;;Upper East Side
Cafe Katja;;Lower East Side
Cafe Loup;;Greenwich Village
Cafe Luxembourg;200 W 70th St Amsterdam Ave;Upper West Side
Cafe Mogador;101 St Marks Pl btwn First Ave and Ave A;East Village
Cafe Pierre;;Midtown East
Cafe Ronda;249 Columbus Ave btwn 71st and 72nd Sts;Upper West Side
Cafe SFA;;Midtown West
Cafe Sabarsky;;Upper East Side
Cafe Soleil;1016 Second Ave btwn 53rd and 54th Sts;Midtown East
Cafe Spice;;Greenwich Village
Cafe Spice;;Midtown West
Cafe Steinhof;422 Seventh Ave at 14th St;Park Slope
Cafe con Leche;424 Amsterdam Ave btwn 80th and 81st Sts;Upper West Side
Cafe d'Alsace;1695 2nd Ave at 88th St;Upper East Side
Cafe de Bruxelles;;Greenwich Village
Cafe des Artistes;1 W 67th St at Central Park West;Upper West Side
Cafe@RMA;;Chelsea
Cafecito;;East Village
Cafetasia;;Greenwich Village
Cafeteria;;Chelsea
Caffe Emilia;;East Village
Caffe Falai;265 Lafayette St at Prince St;SoHo
Caffe Grazie;26 E. 84th St btwn Madison and 5th Aves;Upper East Side
Caffe Linda;;Midtown East
Calle Ocho;;Upper West Side
CamaJe Bistro;;Greenwich Village
Cambodian Cuisine;;Upper East Side
Campagnola;1382 First Ave btwn 73rd and 74th Sts;Upper East Side
Campo;;Upper West Side
Canaletto;208 E 60th St btwn 2nd and 3rd Aves;Upper East Side
Candle 79;;Upper East Side
Candle Cafe;;Upper East Side
Cannonau;205 E 4th St btwn Aves A and B;East Village
Canyon Road;;Upper East Side
Caracas Arepa Bar;;East Village
Caravan of Dreams;;East Village
Carbone;331 W 38th St btwn Eight and Ninth Aves;Midtown West
Carl's Steaks;507 Third Ave btwn 34th and 35th Sts;Midtown East
Carmine's;200 W 44th St btwn Seventh Ave and...;Midtown West
Carmine's;200 W 44th St btwn Seventh Ave and...;Upper West Side
Carne (CLOSED);2737 Broadway at 105th St;Upper West Side
Carne Vale;;East Village
Carnegie Deli;;Midtown West
Casa;72 Bedford St at Commerce St;Greenwich Village
Casa Adela;;East Village
Casa La Femme;;Greenwich Village
Casa la Femme North;;Midtown East
Casablanca Tea Room;164 Mercer St btwn Houston and Prince...;SoHo
Casanis;;Lower East Side
Cascina;647 Ninth Ave btwn 45th and 46th Sts;Midtown West
Casellula Cheese and Wine Cafe;401 W 52nd St at Ninth Ave;Midtown West
Casimir;103-105 Ave B btwn 6th and 7th Sts;East Village
Cavatappo Wine Bar;1728 Second Ave btwn 89th and 90th Sts;Upper East Side
Caviar Russe - Wave Sushi;;Midtown East
Celeste;;Upper West Side
Cellini;;Midtown East
Cendrillon;;SoHo
Center Cut;;Upper West Side
Centolire;1167 Madison Ave btwn 85th and 86th Sts;Upper East Side
Centovini;25 W Houston St at Greene St;SoHo
Central Park Boathouse Restaurant;Central Park Lake at 72nd St;Upper East Side
Centro Vinoteca;;Greenwich Village
Chai Home Kitchen;;Midtown West
Chat Noir;;Upper East Side
Chez Jacqueline;72 MacDougal St btwn Bleecker and...;Greenwich Village
Chez Josephine;;Midtown West
Chez Napoleon;;Midtown West
Chiam;160 E 48th St btwn Lexington and Third...;Midtown East
Chickie Pig's;121 Ludlow St btwn Delancey and...;Lower East Side
Chickpea;;East Village
ChikaLicious Puddin';;East Village
Chikalicious;;East Village
Chimichurri Grill;606 Ninth Ave btwn 43rd and 44th Sts;Midtown West
Chin Chin;216 E 49th St btwn Second and Third Aves;Midtown East
China 1;;East Village
China Fun;246 Columbus Ave btwn 71st and 72nd Sts;Upper West Side
China Fun;246 Columbus Ave btwn 71st and 72nd Sts;Upper East Side
China Grill;60 W 53rd St btwn 5th and 6th Aves;Midtown West
China de Puebla (CLOSED);3143 Broadway at La Salle St;Upper West Side
Chinatown Brasserie;;East Village
Chip Shop;;Park Slope
Chiyono;;East Village
Cho Cho San;;Greenwich Village
Cho Dang Gol;55 W 35th St btwn 5th and 6th Aves;Midtown West
Choga;;Greenwich Village
Chola;232 E 58th St btwn Second and Third Aves;Midtown East
Chop Suey;;Midtown West
Chow Bar;230 W 4th St at 10th St;Greenwich Village
Churrascaria Plataforma;316 W 49th St btwn Eighth and Ninth Aves;Midtown West
Ciaobella;;Upper East Side
Cilantro;1712 2nd Ave at 89th St;Upper West Side
Cilantro;1712 2nd Ave at 89th St;Upper East Side
Cipolla Rossa;1762 1st Ave btwn 91st and 92nd Sts;Upper East Side
Cipriani Dolci;;Midtown East
Circus;;Upper East Side
Citrus Bar and Grill;;Upper West Side
City Burger;1410 Broadway at 39th St;Midtown West
City Lobster and Crab Company;;Midtown West
City Winery;;SoHo
Clo Wine Bar;;Upper West Side
Clubhouse Cafe;155 West 46th St btwn 6th and 7th Aves;Midtown West
Co.;230 9th Ave btwn 24th and 25th Sts;Chelsea
Coco Roco;392 Fifth Ave btwn 6th and 7th Sts;Park Slope
Col Legno;231 E 9th St btwn Second and Third Aves;East Village
Colors;;East Village
Commerce;;Greenwich Village
Compass;208 W 70th St at Amsterdam Ave;Upper West Side
Cong Ly;124 Hester St at Chrystie St;Lower East Side
Congee Bowery;207 Bowery at Rivington St;Lower East Side
Congee Restaurant;;Lower East Side
Congee Village;100 Allen St btwn Broome and Delancey...;Lower East Side
Convivio;;Midtown East
Convivium Osteria;68 5th Ave btwn Bergen St and St Marks...;Park Slope
Cookshop;;Chelsea
Cooper's Tavern;481 8th Ave at 35th Street;Midtown West
Coppola's;;Upper West Side
Core One Nine One (CLOSED);;Lower East Side
Cork and Fin;;Upper East Side
Cornelia Street Cafe;29 Cornelia St btwn Bleecker and W 4th...;Greenwich Village
Corner Bistro;;Greenwich Village
Cosette;163 E 33rd St btwn Lexington and Third...;Midtown East
Counter;105 First Ave btwn 6th and 7th Sts;East Village
Country Cafe;69 Thompson St btwn Broome and Spring...;SoHo
Cowgirl;519 Hudson St at 10th St;Greenwich Village
Craftsteak;85 10th Ave at 15th St;Chelsea
Crave Ceviche and Wine Bar (CLOSED);946 Second Ave btwn 50th and 51st Sts;Midtown East
Crave on 42nd Street;650 W 42nd St at 11th Ave;Midtown West
Crema Restaurante;111 W 17th St btwn 6th and 7th Aves;Chelsea
Crif Dogs;113 St Marks Pl btwn First Ave and Ave A;East Village
Crispo;240 W 14th St btwn 7th and 8th Aves;Greenwich Village
Cru;24 5th Ave at 9th St;Greenwich Village
Cub Room;131 Sullivan St at Prince St;SoHo
Cub Room Cafe;;SoHo
Cuba;;Greenwich Village
Cuba Cafe;200 Eighth Ave btwn 20th and 21st Sts;Chelsea
Cubana Cafe;;SoHo
Cube 63;;Lower East Side
Cucina di Pesce;87 E 4th St btwn Second and Third Aves;East Village
Curry-Ya;214 East 10th St btwn 1st and 2nd Aves;East Village
DB Bistro Moderne;55 W 44th St btwn 5th and 6th Aves;Midtown West
Da Andrea;557 Hudson St btwn Perry and W 11th Sts;Greenwich Village
Da Antonio;157 E 55th St btwn Lexington and Third...;Midtown East
Da Silvano;;Greenwich Village
Da Silvano Bistecca;;Greenwich Village
Da Tommaso;903 Eighth Ave btwn 53rd and 54th Sts;Midtown West
Da Umberto;;Chelsea
Daisy May's BBQ USA;623 11th Ave at 46th St;Midtown West
Dakshin Indian Bistro;;Upper East Side
Danal;;East Village
Daniel;;Upper East Side
Dardanel;1071 1st Ave btwn 58th and 59th Sts;Midtown East
David Burke Townhouse;;Upper East Side
Dawat;210 E 58th St btwn 2nd and 3rd Aves;Midtown East
De Santos;139 W 10th St btwn 5th and 6th Aves;Greenwich Village
Dean's;215 W 85th St btwn Amsterdam Ave and...;Upper West Side
Dean's;215 W 85th St btwn Amsterdam Ave and...;Midtown East
Death and Company;;East Village
Deborah;43 Carmine St btwn Bedford and Bleecker...;Greenwich Village
Deborah (CLOSED);;Greenwich Village
Degustation;239 E 5th St btwn 2nd and 3rd Aves;East Village
Del Frisco's Double Eagle Steakhouse;1221 Sixth Ave at 49th St;Midtown West
Del Posto;85 10th Ave btwn 15th and 16th Sts;Chelsea
Delicatessen;54 Prince St at Lafayette St;SoHo
Delicia Brazil;;Greenwich Village
Dell'Anima;38 Eighth Ave btwn Jane and W 12th Sts;Greenwich Village
Delta Grill;700 Ninth Ave at 48th St;Midtown West
Demarchelier;50 E 86th St btwn Madison and Park Aves;Upper East Side
Desnuda;;East Village
Diablo Royale;189 W 10th Street btwn W 4th and...;Greenwich Village
Dirt Candy;430 E 9th St btwn 1st Ave and Ave A;East Village
Dirty Bird to Go;204 W 14th St btwn Seventh and Eighth...;Chelsea
District;130 W 46th St btwn Sixth and Seventh...;Midtown West
Ditch Plains;29 Bedford St at Downing St;Greenwich Village
Diwan Restaurant;;Midtown East
Django (CLOSED);;Midtown East
Do Hwa;55 Carmine St at Bedford St;Greenwich Village
DoSirak;30 E 13th St btwn Fifth Ave and...;Greenwich Village
Docks Oyster Bar and Seafood Grill;2427 Broadway btwn 89th and 90th Sts;Midtown East
Docks Oyster Bar and Seafood Grill;2427 Broadway btwn 89th and 90th Sts;Upper West Side
Docks Oyster Bar and Seafood Grill (CLOSED);;Upper West Side
Dolce Vita;181 Grand St btwn Baxter and Mulberry...;SoHo
Domenico;120 E. 40th St btwn Lexington and Park...;Midtown East
Don's Bogam BBQ and Wine Bar;;Midtown West
Donguri;;Upper East Side
Dos Caminos Soho;475 West Broadway at Houston St;SoHo
Double Crown;;East Village
Dovetail;;Upper West Side
Downtown Cipriani;376 West Broadway btwn Broome and...;SoHo
Druids;;Midtown West
Ducale;392 Columbus Ave at 79th St;Upper West Side
Due;;Upper East Side
Dumpling House;;Lower East Side
Dumpling Man;;East Village
EJ's Luncheonette;;Upper East Side
EJ's Luncheonette;;Upper West Side
EJ's Luncheonette (CLOSED);;Greenwich Village
EN Japanese Brasserie;435 Hudson St at Leroy St;Greenwich Village
Earth NYC;116A 10th Avenue btwn 17th and 18th Sts;Chelsea
Earthen Oven;;Upper West Side
East Village Yacht Club (CLOSED);42 E 1st St btwn First and Second Aves;East Village
East of Eighth;;Chelsea
Eatery;;Midtown West
Ed's Lobster Bar;;SoHo
Eighty One;45 W 81st St btwn Columbus Ave and...;Upper West Side
El Centro;824 Ninth Ave at 54th St;Midtown West
El Cid (CLOSED);322 W 15th St btwn Eighth and Ninth Aves;Chelsea
El Cocotero;228 W 18th St btwn Seventh and Eighth...;Chelsea
El Maguey y La Tuna;321 E Houston St btwn Attorney and...;Lower East Side
El Parador Cafe;;Midtown East
El Paso;134 W Houston St btwn MacDougal and...;Greenwich Village
El Paso Taqueria;1642 Lexington Ave btwn 103rd and 104th...;Upper East Side
El Quijote;226 W 23rd St btwn Seventh and Eighth...;Chelsea
El Quinto Pino;;Chelsea
El Rey del Sol;232 W 14th St btwn Seventh and Eighth...;Greenwich Village
Elaine's;;Upper East Side
Elementi;;Park Slope
Elephant and Castle;68 Greenwich Ave btwn Sixth Ave and...;Greenwich Village
Elettaria;33 W 8th St at MacDougal St;Greenwich Village
Elio's;;Upper East Side
Ellis Bar;627 5th Ave btwn 17th and 18th Sts;Park Slope
Elmo;;Chelsea
Elyssa Dido;85 Orchard St at Broome St;Lower East Side
Employees Only;510 Hudson St btwn Christopher and West...;Greenwich Village
Ennio and Michael;539 La Guardia Pl btwn Bleecker and W...;Greenwich Village
Epices du Traiteur;103 W 70th St btwn Columbus Ave and...;Upper West Side
Erminia;;Upper East Side
Esashi;;East Village
Esca;;Midtown West
Esperanto;145 Ave C at 9th St;East Village
Essex;;Lower East Side
Estiatorio Milos;125 W 55th St btwn 6th and 7th Aves;Midtown West
Etats-Unis;242 E 81st St btwn 2nd and 3rd Aves;Upper East Side
Etcetera Etcetera;352 W 44th St btwn Eighth and Ninth Aves;Midtown West
Ethos;495 Third Ave btwn 33rd and 34th Sts;Midtown East
Etrusca;125 W 53rd St btwn Sixth and Seventh...;Midtown West
Euzkadi;;East Village
Evergreen Shanghai;10 E 38th St btwn Fifth and Madison Aves;Midtown East
Extra Virgin;;Greenwich Village
Fabio Piccolo Fiore;230 E 44th St at Second Ave;Midtown East
Fairway Cafe and Steakhouse;2127 Broadway btwn 74th and 75th Sts;Upper West Side
Falai;68 Clinton St btwn Stanton and...;Lower East Side
Falai Panetteria;79 Clinton St at Rivington St;Lower East Side
Fanelli's Cafe;;SoHo
Fat Hippo;;Lower East Side
Fatty Crab UWS;;Upper West Side
Favela Cubana;;Greenwich Village
Felice Wine Bar;1166 First Ave at First Ave;Upper East Side
Felidia;243 E 58th St btwn 2nd and 3rd Aves;Midtown East
Felix;;SoHo
Fiamma (CLOSED);;SoHo
Fig and Olive;;Upper East Side
Fig and Olive Midtown;10 E 52nd St btwn Fifth and Madison...;Midtown East
Film Center Cafe;;Midtown West
Firebird Russian Restaurant;365 W 46th St btwn 8th and 9th Aves;Midtown West
Fireside;;Midtown East
First Hungarian Literary Society;;Upper East Side
Fish;;Greenwich Village
