restaurant;address;country
Angelina Cafe;36 Avenue A;New York, NY, 10009
Angelo's Pizza;117 West 57th Street;New York, NY, 10019
Angelo's Pizzeria;1043 2nd Avenue;New York, NY, 10022
Angelo's Pizzeria;1697 Broadway;New York, NY, 10019
Angelo's of Mulberry Street;146 Mulberry Street;New York, NY, 10013
Angels Restaurant;1135 1st Avenue;New York, NY, 10021
Angon On The Sixth;320 East 6th Street;New York, NY, 10003
Angus McIndoe;258 West 44th Street;New York, NY, 10036
Anh;363 2nd Avenue;New York, NY, 10016
Anitas Deli Grocery;180 Lexington Avenue;New York, NY, 10016
Anna Maria;238 East 14th Street;New York, NY, 10003
Anna Maria;112 East 23rd Street;New York, NY, 10010
Anna Maria;1592 1st Avenue;New York, NY, 10028
Annie Moore's;50 East 43rd Street;New York, NY, 10017
Annie's (CLOSED);1381 2nd Avenue;New York, NY, 10021
Annisa;13 Barrow Street;New York, NY, 10014
Anthos;36 West 52nd Street;New York, NY, 10019
Antibes Bistro;127 1st Ave.;New York, NY, 10003
Antibes Bistro;127 1st Avenue;New York, NY, 10003
Antica Venezia;396 West Street;New York, NY, 10014
Antique Cafe Chelsea;234 West 27th;New York, NY, 10001
Antique Garage;41 Mercer Street;New York, NY, 10013
Antonucci;170 East 81st Street;New York, NY, 10028
Anyway Cafe;34 East 2nd Street;New York, NY, 10003
Aoki;234 West 48th Street;New York, NY, 10036
Aphrodisia;264 Bleecker Street;New York, NY, 10014
Apizz;217 Eldridge Street;New York, NY, 10002
Apple Restaurant & Bom Bar;17 Waverly Place;New York, NY, 10003
Applebaum's;431 7th Avenue;New York, NY, 10001
Aquagrill;210 Spring Street;New York, NY, 10013
Aquamarine;713 2nd Avenue;New York, NY, 10017
Aquavit;65 East 55th Street;New York, NY, 10022
Arabelle;Plaza Athenee Hotel 37 East 64th Street;New York, NY, 10021
Arang;9 West 32nd Street;New York, NY, 10001
Argentine Pavilion;32 West 46th Street;New York, NY, 10036
Ariana Afghan Kebab;787 9th Avenue;New York, NY, 10019
Arno Ristorante;141 West 38th Street;New York, NY, 10018
Aroma Kitchen & Winebar;36 East 4th Street;New York, NY, 10003
Around the Clock;8 Stuyvesant Street;New York, NY, 10003
Arqua;281 Church Street;New York, NY, 10013
Arte;21 East 9th Street;New York, NY, 10003
Arte Café;106 West 73rd Street;New York, NY, 10023
Artepasta;81 Greenwich Avenue;New York, NY, 10014
Artisanal;2 Park Avenue;New York, NY, 10016
Arturo's Pizzeria;106 West Houston Street;New York, NY, 10012
Asia De Cuba;Morgans Hotel 237 Madison Avenue;New York, NY, 10016
Asia Society Garden Court Cafe;725 Park Avenue;New York, NY, 10021
Asian Dragon;207 East 59th Street;New York, NY, 10022
Asiate;Mandarin Oriental Hotel;New York, NY, 10023
Askew (CLOSED);504 La Guardia Place;New York, NY, 10012
Assenzio;205 East 4th Street;New York, NY, 10003
Astor Place;New York, NY, 10003;
Astor Place;;
Atelier;Ritz-Carlton Central Park;New York, NY, 10019
Atomic Wings;528 9th Avenue;New York, NY, 10018
Atomic Wings;184 1st Avenue;New York, NY, 10009
Atomic Wings;311 Broadway - Lower Level;New York, NY, 10007
Atomic Wings @ Bar Costal;1495 1st Avenue;New York, NY, 10021
Atomic Wings @ Down the Hatch;179 West 4th Street;New York, NY, 10014
Atomic Wings @ The Blue Room;1140 2nd Avenue;New York, NY, 10021
Au Bon Pain;1 State Street Plaza;New York, NY, 10004
Au Bon Pain;6 Union Square East;New York, NY, 10003
Au Bon Pain;684 Broadway;New York, NY, 10012
Au Bon Pain;58 East 8th Street;New York, NY, 10003
Au Bon Pain;600 Lexington Avenue;New York, NY, 10022
Au Bon Pain;125 West 55th Street;New York, NY, 10019
Au Bon Pain in Macy's;151 West 34th Street;New York, NY, 10001
Au Bon Pain in Port Authority;625 8th Avenue;New York, NY, 10018
Au Bon Pain in the World Financial Center;200 Liberty Street;New York, NY, 10281
Au Mandarin;World Financial Ctr.;New York, NY, 10281
August;359 Bleecker Street;New York, NY, 10014
Aura Thai;462 9th Avenue;New York, NY, 10018
Aureole (CLOSED);34 East 61st Street;New York, NY, 10021
Aurora;510 Broome Street;New York, NY, 10013
Avalon;47 W. 20th St.;New York, NY, 10011
Avra;141 East 48th Street;New York, NY, 10017
Awash;338 East 6th Street;New York, NY, 10003
Awash Ethiopian Restaurant;947 Amsterdam Avenue;New York, NY, 10025
Ayurveda Café;706 Amsterdam Avenue;New York, NY, 10025
Ayza Cafe & Wine Bar;11 West 31st Street;New York, NY, 10001
Azafran;77 Warren Street;New York, NY, 10007
Azalea Ristorante;224 West 51st Street;New York, NY, 10019
Azucar (Guantanamera);939 8th Avenue;New York, NY, 10019
Azuki;239 Park Avenue South;New York, NY, 10003
Azul Bistro;152 Stanton Street;New York, NY, 10002
Azuri Café;465 West 51st Street;New York, NY, 10019
B & H Dairy Restaurant;127 2nd Avenue;New York, NY, 10003
B B Doyles;302 West 51st Street;New York, NY, 10019
B Flat;277 Church Street;New York, NY, 10013
B. B. King Blues Club;237 West 42nd Street;New York, NY, 10036
B. Cafe;240 East 75th Street;New York, NY, 10021
B. Frites;1657 Broadway;New York, NY, 10019
B. Smith's Restaurant Row;320 West 46th Street;New York, NY, 10036
B3 Resturant & Lounge (Closed);33 Avenue B at 3rd Street;New York, NY, 10009
BB Sandwich Bar;120 West 3rd Street;New York, NY, 10012
BED New York;530 West 27th Street, 6th floor;New York, NY, 10001
BF&B Bar and Restaurant;1061 1st Avenue;New York, NY, 10022
BG;Bergdorf Goodman;New York, NY, 10019
BLT Market;1430 Avenue of the Americas;New York, NY, 10019
BLT Prime;111 East 22nd Street;New York, NY, 10010
BLT Steak;106 East 57th Street;New York, NY, 10022
Babbo;110 Waverly Place;New York, NY, 10011
Babouche;92 Prince Street;New York, NY, 10012
Babu;99 MacDougal Street, downstairs;New York, NY, 10012
Babycakes;248 Broome Street;New York, NY, 10002
Bacaro;136 Division Street;New York, NY, 10002
Bachue;36 West 21st Street;New York, NY, 10010
Back Forty;190 Avenue B;New York, NY, 10009
Baden Baden;28 West 32nd Street;New York, NY, 10001
Bagel Bean;1710 Broadway;New York, NY, 10019
Bagel Buffet;406 6th Avenue;New York, NY, 10011
Bagel Buffet;510 6th Avenue;New York, NY, 10011
Bagel Maven Cafe;362 7th Avenue;New York, NY, 10001
Bagel More;331 Lexington Avenue;New York, NY, 10016
Bagel Stix;891 8th Avenue;New York, AL, 10019
Bagelfeller's;36 W 48th Street;New York, NY, 10036
Bagels On The Square;7 Carmine Street;New York, NY, 10014
Baked Ideas;450 Broadway;New York, NY, 10013
Baker Street Pub;1152 1st Avenue;New York, NY, 10002
Baldoria;249 West 49th Street;New York, NY, 10019
Bali Nusa Indah;651 9th Avenue;New York, NY, 10036
Balsley Park Farmers Market;57th St. & 9th Avenue;New York, NY, 10019
Balthazar;80 Spring Street;New York, NY, 10012
Baluchi's;193 Spring Street;New York, NY, 10012
Baluchi's;1565 2nd Avenue;New York, NY, 10028
Baluchi's;1149 1st Avenue;New York, NY, 10021
Baluchi's;1431 1st Avenue;New York, NY, 10021
Baluchi's;240 West 56th Streets;New York, NY, 10019
Baluchi's;111 East 29th Street;New York, NY, 10016
Baluchi's;224 East 53rd Street;New York, NY, 10022
Baluchi's;283 Columbus Avenue;New York, NY, 10023
Baluchi's;240 West 56th Street;New York, NY, 10019
Baluchi's;1724 2nd Avenue;New York, NY, 10128
Baluchi's;361 6th Avenue;New York, NY, 10014
Baluchi's;104 2nd Avenue;New York, NY, 10003
Bamboleo;170 Bleecker Street;New York, NY, 10012
Bamboo 52;344 West 52nd Street;New York, NY, 10019
Bamiyan;358 3rd Avenue;New York, NY, 10010
Bamn;37 St. Marks Place;New York, NY, 10003
Bandito;33 Greenwich Avenue;New York, NY, 10014
Bandol;181 East 78th Street;New York, NY, 10021
Bangkok Café;27 East 20th Street;New York, NY, 10003
Bangkok Center Market;104 Mosco Street;New York, NY, 10013
Bangkok Grand Palace;882 1st Avenue;New York, NY, 10022
Bangkok House;360 West 46 Street;New York, NY, 10036
Banh Mi Saigon - under the Manhattan Bridge;;
Banh Mi Sau Voi Cafe;101-105 Lafayette Street;New York, NY, 10013
Banjara;97 1st Avenue;New York, NY, 10003
Bann;350 West 50th Street;New York, NY, 10019
Bao 111;111 Avenue C;New York, NY, 10009
Bao Noodles;391 2nd Avenue;New York, NY, 10010
Bar 12;206 E 34th Street;New York, NY, 10019
Bar Americain;152 West 52nd Street;New York, NY, 10019
Bar Blanc;142 W 10th St;New York, NY, 10014
Bar Martignetti;406 Broome Street;New York, NY, 10013
Bar Masa;10 Columbus Circle, 4th fl.;New York, NY, 10019
Bar Pitti;268 6th Avenue;New York, NY, 10014
Bar Six;502 6th Avenue;New York, NY, 10011
Bar Veloce;175 2nd Avenue;New York, NY, 10003
Bar Veloce;176 7th Avenue;New York, NY, 10011
BarBossa;232 Elizabeth Street;New York, NY, 10012
BarFry (CLOSED);50 Carmine Street;New York, NY, 10014
Baraonda;1439 2nd Avenue;New York, NY, 10021
Barbaluc;135 East 65th Street;New York, NY, 10021
Barbes Manhattan;21 East 36th Street;New York, NY, 10016
Barbetta;321 West 46th Street;New York, NY, 10036
Barbuto;775 Washington Street;New York, NY, 10014
Barbès;21 East 36th Street;New York, NY, 10016
Bari;529 Broadway;New York, NY, 10012
Barking Dog;1453 York Avenue;New York, NY, 10021
Barking Dog;150 East 34th Street;New York, NY, 10016
Barking Dog;1678 3rd Avenue;New York, NY, 10128
Barmarché;14 Spring Street;New York, NY, 10012
Barna;365 Park Avenue South;New York, NY, 10016
Barney Greengrass;541 Amsterdam Avenue;New York, NY, 10024
Barneys NY 660 Madison Avenue, 9th fl.;;
Barolo;398 West Broadway;New York, NY, 10012
Barrio Chino;253 Broome Street;New York, NY, 10002
Basilica;676 9th Avenue;New York, NY, 10036
Basilica Restaurant;676 9th Avenue;New York, NY, 10036
Basso Est (CLOSED);198 Orchard Street;New York, NY, 10002
Basso56;234 West 56th Street;New York, NY, 10019
Basta Pasta;37 West 17th Street;New York, NY, 10011
Battery Gardens;SW corner of Battery Park;New York, NY, 10004
Battery Park;;
Bay Leaf;49 West 56th Street;New York, NY, 10019
Bayard's;1 Hanover Square;New York, NY, 10004
Bayou;308 Lenox Avenue;New York, NY, 10027
Bbq Restaurant;21 University Place;New York, NY, 10003
Beacon;25 West 56th Street;New York, NY, 10019
Beard Papa Sweets Cafe;2167 Broadway;New York, NY, 10024
Becco;355 West 46th Street;New York, NY, 10036
Belcourt;84 East 4th Street;New York, NY, 10003
Bella Blu;967 Lexington Avenue;New York, NY, 10021
Bella Cucina Incorporated;1297 Lexington Avenue;New York, NY, 10128
Bella Luna;584 Columbus Avenue;New York, NY, 10024
Bella Napoli;150 West 49th Street;New York, NY, 10019
Bella Napoli;130 Madison Avenue;New York, NY, 10016
Bella Napoli;257 7th Avenue;New York, NY, 10001
Bellavitae;21 Minetta Lane;New York, NY, 10012
Bello;863 9th Avenue;New York, NY, 10019
Bello Giardino;71W 71st;New York, NY, 10023
Bello Sguardo;410 Amsterdam Avenue;New York, NY, 10024
Bello's;130 St Marks Place;New York, NY, 10009
Belluno Ristorante;340 Lexington Avenue;New York, NY, 10016
Belly Delly Deli;1625 Broadway;New York, NY, 10019
Belmont Lounge;117 East 15th Street;New York, NY, 10003
Bem Bolado;2049 2nd Avenue at 105th Street;New York, NY, 10021
Ben & Jack's Steak House;219 East 44th Street;New York, NY, 10017
Ben Benson's Steakhouse;123 West 52nd Street;New York, NY, 10019
Ben's Kosher Deli;209 West 38th Street;New York, NY, 10018
Ben's Pizza;123 MacDougal Street at West 3rd Street;New York, NY, 10012
Benito One;174 Mulberry Street;New York, NY, 10013
Benjamin Hote, 565 Lexington Avenue near 50th Street;;
Benjamin Restaurant & Bar;603 2nd Avenue;New York, NY, 10016
Bennies Thai Cafe;88 Fulton Street at Gold Street;New York, NY, 10038
Benny's Burritos;93 Avenue A;New York, NY, 10009
Benny's Burritos;113 Greenwich Avenue;New York, NY, 10014
Beppe;45 East 22nd Street;New York, NY, 10010
Bereket;187 East Houston Street;New York, NY, 10002
Bergdorf Goodman;;
Best Cellars;1291 Lexington Avenue at 87th Street;New York, NY, 10028
Bette (CLOSED);461 West 23rd Street;New York, NY, 10011
Better Burger;565 3rd Avenue;New York, NY, 10016
Better Burger;1614 2nd Avenue;New York, NY, 10028
Better Burger;178 8th Avenue;New York, NY, 10011
Better Burger;587 9th Avenue;New York, NY, 10036
Bettola;412 Amsterdam Avenue;New York, NY, 10024
Beyoglu;1431 3rd Avenue;New York, NY, 10028
Bianca;5 Bleecker Street;New York, NY, 10012
Bice;7 East 54th Street;New York, NY, 10022
Big Al's;9 Thames Street,;New York, NY, 10006
Big Booty Bread Co;261 West 23rd Street;New York, NY, 10011
Big City Bar & Grill;1600 3rd Avenue at 90th Street;New York, NY, 10128
Big Daddy's - Park;239 Park Avenue S;New York, NY, 10003
Big Daddy's Diner - East Side;1598 2nd Avenue;New York, NY, 10021
Big John;199 Orchard Street;New York, NY, 10002
Big Nick's;2175 Broadway;New York, NY, 10024
Billie's Black Bar, Lounge & Restaurant;271 West 119th Street;New York, NY, 10026
Billy's Bakery;184 9th Avenue;New York, NY, 10011
Birdies;149 1st Avenue;New York, NY, 10003
Biricchino;260 West 29th Street;New York, NY, 10001
Bistecca Fiorentina Steak;317 West 46th Streeet;New York, NY, 10036
Bistro 60;37 East 60TH Street;New York, NY, 10022
Bistro 61;1113 1st Avenue;New York, NY, 10065
Bistro Cassis;225 Columbus Avenue;New York, NY, 10023
Bistro Citron;473 Columbus Avenue;New York, NY, 10024
Bistro Du Nord;1312 Madison Avenue;New York, NY, 10128
Bistro Le Steak;1309 3rd Avenue;New York, NY, 10021
Bistro Les Amis;180 Spring Street;New York, NY, 10012
Bistro Ten 18;1018 Amsterdam Avenue;New York, NY, 10025
Bistrot Margot;26 Prince Street;New York, NY,
Bite;333 Lafayette Street at Bleecker Street;New York, NY, 10012
Black Duck (Park South Hotel);122 East 28th Street;New York, NY, 10016
Black Hound;170 2nd Avenue;New York, NY, 10003
Black Pearl;37 West 26th Street;New York, NY, 10010
Blaggards Pub;45 West 39TH Street;New York, NY, 10018
Blair Perrone Steakhouse (CLOSED);885 2nd Avenue;New York, NY, 10017
Blaue Gans;139 Duane Street;New York, NY, 10013
Bleecker Street Pizza;69 7th Avenue South;New York, NY, 10012
Blind Tiger Ale House;281 Bleecker Street;New York, NY, 10014
Blockhead's Burritos;1563 2nd Avenue;New York, NY, 10028
Blockhead's Burritos;Worldwide Plaza 322 West 50th Street;New York, NY, 10019
Blockhead's Burritos;499 2nd Avenue;New York, NY, 10016
Blockhead's Burritos;954 2nd Avenue;New York, NY, 10022
Blondies;212 West 79th Street;New York, NY, 10024
Blondies;1770 2nd Avenue;New York, NY, 10128
Blossom Restaurant & Cafe;187 9th Avenue;New York, NY, 10011
Blue 9;92 3rd Avenue at 12th Street;New York, NY, 10003
Blue Fin;West Times Square Hotel;New York, NY, 10036
Blue Ginger;106 8th Avenue;New York, NY, 10011
Blue Hill;75 Washington Place;New York, IL, 10011
Blue Mill (CLOSED);50 Commerce Street;New York, NY, 10014
Blue Ribbon;97 Sullivan Street;New York, NY, 10012
Blue Ribbon Bakery;35 Downing Street;New York, NY, 10014
Blue Ribbon Downing Street Wine Bar;34 Downing Street;New York, NY, 10014
Blue Ribbon Sushi;119 Sullivan Street;New York, NY, 10012
Blue Smoke;116 East 27th Street;New York, NY, 10016
Blue Water Grill;31 Union Square West;New York, NY, 10003
Boat Basin Cafe;West 79th Street;New York, NY, 10024
Bobby Van's Steakhouse;131 East 54th Street;New York, NY, 10022
Bobby Van's Steakhouse;230 Park Avenue;New York, NY, 10169
Bobby Van's Steakhouse;25 Broad Street;New York, NY, 10004
Bobby Van's Steakhouse;135 West 50th Street;New York, NY, 10020
Bobo;181 West 10th Street;New York, NY, 10014
Boca Chica;13 1st Avenue;New York, NY, 10003
Bocca;39 East 19th Street;New York, NY, 10003
Boi to Go;800 2nd Avenue;New York, NY, 10017
Bolo;23 East 22nd Street;New York, NY, 10010
Bombay Talkie;189 9th Avenue;New York, NY, 10011
Bona Fides;60 2nd Avenue;New York, NY, 10003
Bonbon Chicken;98 Chambers Street;New York, NY, 10007
Bondi Road Fish And Chips;153 Rivington Street;New York, NY, 10002
Bone Lick Park Bar-B-Que;75 Greenwich Avenue;New York, NY, 10014
Bongo;299 10th Avenue;New York, NY, 10001
Bonjoo;107 1st Avenue;New York, NY, 10003
Bonobo's;18 East 23rd Street;New York, NY, 10010
Boom;152 Spring Street;New York, NY, 10012
Boqueria;53 West 19th Street;New York, NY, 10011
Borgo Antico;22 East 13th Street;New York, NY, 10003
Borobudur;128 East 4th Street;New York, NY, 10003
Borough Food & Drink;12 East 22nd Street;New York, NY, 10010
Boss Tweeds;115 Essex St;
Bottega Del Vino;7 East 59th Street;New York, NY, 10022
Bottino;246 10th Avenue;New York, NY, 10001
Boucarou;64 East 1st Street;New York, NY, 10003
Bouchon Bakery;10 Columbus Circle, 3rd fl., Time Warner Ctr.;New York, NY, 10019
Boughalem;14 Bedford Street;New York, NY, 10014
Bouley;120 West Broadway;New York, NY, 10013
Bouley, Upstairs;130 West Broadway, 2nd fl.;New York, NY, 10013
Bouterin;420 East 59th Street;New York, NY, 10022
Boyd Thai;210 Thompson Street;New York, NY, 10012
Branzini;299 Madison Avenue;New York, NY, 10017
Brasserie;100 East 53rd Street;New York, NY, 10022
Brasserie 360;200 East 60th Street;New York, NY, 10022
Brasserie 8½;9 West 57th Street;New York, NY, 10019
Brasserie Ruhlmann;45 Rockefeller Plaza;New York, NY, 10011
Bravo Gianni;230 East 63rd Street;New York, NY, 10021
Bravo Pizza;64 7th Avenue;New York, NY, 10011
Bravo Pizza;1367 Broadway;New York, NY, 10018
Bravo Pizza;257 Park Avenue South;New York, NY, 10010
Bravo Pizza;6 East 42nd Street;New York, NY, 10036
Bravo Pizza;146 5th Avenue;New York, NY, 10011
Bravo Pizza;508 Columbus Avenue;New York, NY, 10024
Brazil Brazil Grill;328 West 46TH Street;New York, NY, 10036
Brazil Grill;787 8th Avenue;New York, NY, 10036
Bread;20 Spring Street;New York, NY, 10012
Bread & Olive;24 West 45th Street;New York, NY, 10036
Bread & Olive;20 John Street;New York, NY, 10038
Bread Factory Cafe;785 Lexington Avenue;New York, NY, 10021
Bread From Beirut;24 West 45th Street;New York, NY, 10036
Bread Tribeca;301 Church Street;New York, NY, 10013
Breeze;661 9th Avenue;New York, NY, 10036
Bricco;304 West 56th Street;New York, NY, 10019
Brick Lane Curry House;342 East 6th Street;New York, NY, 10003
Brick Lane Curry House;306-308 East 5th Street;New York, NY, 10003
Brick Oven Pizza 33;268 West 23rd Street;New York, NY, 10011
Brick Oven Pizza 33;489 3rd Avenue;New York, NY, 10016
Brick Oven Pizza 33;171 West 23rd Street;New York, NY, 10011
Bridge Cafe;279 Water Street;New York, NY, 10038
Brisas Del Caribe (CLOSED);489 Broadway;New York, NY, 10012
Broadway Bagels;2658 Broadway;New York, NY, 10025
Broadway East;171 East Broadway;New York, NY, 10002
Broadway New Fancy Food;351 Broadway;New York, NY, 10013
Broadway's Jerusalem;1375 Broadway;New York, NY, 10018
Broncas Restaurant Tapas Bar;91 Christopher Street;New York, NY, 10014
Brooklyn Bagel Cafe;319 5th Avenue;New York, NY, 10016
Broome Street Bar;363 West Broadway;New York, NY, 10012
Brother Jimmy's BBQ;416 8th Avenue;New York, NY, 10001
Brother Jimmy's BBQ;Grand Central lower level;New York, NY, 10017
Brother Jimmy's BBQ;428 Amsterdam Avenue;New York, NY, 10024
