restaurant;address;country;country_code;neighborhood;type;cost
Brother Jimmy's Bbq;1461 1st Ave;New York;NY;Midtown East;Southern;$
Bubba Gump Shrimp Co.;1501 Broadway;New York;NY;Midtown West;American;$
Bubble Loung;228 W Broadway;New York;NY;TriBeCa;Small Plates;$$$
Bubby's;120 Hudson St;New York;NY;TriBeCa;American;$
Buddakan;75 Ninth Ave;New York;NY;Chelsea;Fusion;$$$$
Buddha BBeeQ;1750 Second Ave.;New York;NY;Upper East Side;Korean;$
Buddha Bar;25 Little West 12th Street;New York;NY;Meatpacking District;Asian;$$$$
Buenos Aires;513 E Sixth St;New York;NY;East Village;Argentinean;$$
Bukhara Grill;217 E 49th St;New York;NY;Midtown East;Indian;$$
Bull Run;52 William St;New York;NY;Financial District;American;$$$
Burger Joint;190 Bleecker St;New York;NY;Gramercy Park;American;$
Burritoville;352 W 39th St;New York;NY;Midtown West;Southwestern;$
Butai;115 E 18th St;New York;NY;Gramercy Park;Japanese;$$$
Butter;415 Lafayette St;New York;NY;East Village;American;$$$
Cabana;89 S St Pier 17 Pavilion;New York;NY;Upper East Side;Nuevo Latino;$$
Cabrito;50 Carmine St.;New York;NY;Fusion;;
Cacio E Pepe;182 Second Ave;New York;NY;East Village;Italian;$$
Cafe Asean;117 West 10th Street;;;;;
Cafe Blossom;466 Columbus Ave;;;;;
Cafe Centro;200 Park Ave;New York;NY;Midtown East;Mediterranean;$$$
Cafe Con Leche;726 Amsterdam Ave;New York;NY;Upper West Side;Cuban;$
Cafe De Bruxelles;118 Greenwich Ave;New York;NY;West Village;Belgian;$$
Cafe Des Artistes;1 W 67th Street;New York;NY;Upper West Side;French;$$$
Cafe Du Soleil;2723 Broadway;New York;NY;Upper West Side;French;$$$
Cafe Espanol;172 Bleecker Street;New York;NY;Greenwich Village;American;$
Cafe Frida;368 Columbus Ave;New York;NY;Upper West Side;Mexican;$$
Cafe Gitane;242 Mott St;New York;NY;NoLita;French;$
Cafe Gray;10 Columbus Circle, 3rd Fl;New York;NY;Upper West Side;French;$$$$$
Cafe Habana;229 Elizabeth St;New York;NY;NoLita;Cuban;$
Cafe Joul;1070 First Avenue;New York;NY;Midtown East;French;$$
Cafe Lalo;201 W 83rd St;New York;NY;Upper West Side;American;$
Cafe Loup;105 W 13th St;New York;NY;Greenwich Village;French;$$$
Cafe Mogador;101 St Marks Pl;New York;NY;East Village;Moroccan;$
Cafe Ronda;249-251 Columbus Ave;New York;NY;Upper West Side;Mediterranean;$$
Cafe Rustico East;230 East 29th St.;New York;NY;Midtown East;Italian;$$$
Cafe Select;212 Lafayette Street;New York;NY;International;$$$;
Cafe Spice;72 University Pl;;;;;
Cafe St. Barts;Park Avenue @ 50th St.;New York;NY;Upper East Side;American;$$$
Cafe Un Deux Trois;123 W 44th St;New York;NY;Midtown West;French;$$$
Cafeteria;119 Seventh Avenue;New York;NY;Chelsea;American;$
Caffe Falai;68 Clinton St.;New York;NY;SOHO;Italian;$$
Café Boulud;20 East 76th St;New York;NY;Upper East Side;French;$$$$
Café Sabarsky;1048 Fifth Ave;New York;NY;Upper East Side;Austrian;$$
Calle Ocho;446 Columbus Avenue;New York;NY;Upper West Side;Cuban;$$
Camaje;85 Macdougal St;New York;NY;Greenwich Village;American;$$
Camino Sur;336 W 37th St;New York;NY;Midtown West;South American;$$$
Campagnola;1382 First Ave;New York;NY;Upper East Side;Italian;$$$$
Candela;Candela, 92 Second Avenue;New York;NY;East Village;Cuban;$$
Candle 79;154 E 79 St;New York;NY;Upper East Side;Vegetarian;$$
Candle Cafe;1307 Third Avenue;New York;NY;Upper East Side;Vegetarian;$
Canyon Road;1470 First Avenue;New York;NY;Upper East Side;Southwestern;$$
Capital Grille;155 E 42nd St;New York;NY;Midtown East;Steakhouse;$$$$
Caracas Arepa Bar;91 East 7th St;New York;NY;East Village;South American;$
Carmine's;2450 Broadway;New York;NY;Midtown West;Italian;$$
Carnegie Deli;854 7th Ave;New York;NY;Midtown West;Deli;$
Casa;72 Bedford St;New York;NY;West Village;South American;$$
Casa La Femme North;1076 First Ave;New York;NY;Midtown East;African;$$$
Casa Mono;125 East 17th;New York;NY;Gramercy Park;Spanish;$$$
Casimir;103-105 Ave B;New York;NY;East Village;French;$$
Caterina's;316 East 53rd Street;New York;NY;Midtown East;Hungarian;$$$
Celeste;502 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$
Cellini Restaurant;65 E 54th St;New York;NY;Midtown East;Italian;$$$
Cendrillon;45 Mercer St;New York;NY;SOHO;Southeast Asian;$$
Central Park Boathouse;Enter on E 72nd St;;;;;
Cercle Rouge;241 W Broadway;New York;NY;TriBeCa;American;$$$
Chanterelle;2 Harrison St;New York;NY;TriBeCa;French;$$$$$
Charlie Palmer's Metrazur;East Balcony #4, 404 Grand Central Terminal, 42nd Street;New York;NY;Midtown East;American;$$$
Chat 'N Chew;10 E 16th St;New York;NY;Union Square;American;$
Chemist Club Grill;Dylan Hotel;New York;NY;Midtown East;American;$$$
Chennai Garden;129 E 27 St;New York;NY;Gramercy Park;Indian;$
Chez Jacqueline;72 Macdougal St;New York;NY;Greenwich Village;French;$$$
Chikalicious Dessert Bar;203 E 10th St;New York;NY;East Village;American;$
Chimichurri Grill;606 9th Avenue;New York;NY;Midtown West;South American;$$$
Chin Chin;216 E 49th St;New York;NY;Midtown East;Chinese;$$$
China Fun;246 Columbus Ave;New York;NY;Upper West Side;Chinese;$
China Grill;60 W 53rd St;New York;NY;Midtown West;Asian;$$$$
China de Puebla;3143 Broadway;New York;NY;Harlem;Asian;
Chinatown Brasserie;380 Lafayette St;New York;NY;NoLita;Chinese;$$$
Chino's;173 Third Ave;New York;NY;Gramercy Park;Asian;$
Chipotle;100 Maiden Ln.;New York;NY;Financial District;Mexican;$
Chiyono;328 E. Sixth St.;New York;NY;Japanese;$$;
Cho Dang Gol;55 W 35th St;New York;NY;Midtown West;Korean;$
Chocolate Bar;48 8th Ave;New York;NY;Greenwich Village;Dessert;$$$
Chola;232 E 58th St;New York;NY;Midtown East;Indian;$$
Choshi Restaurant;77 Irving Pl;New York;NY;Greenwich Village;Japanese;$$
Chow Bar;230 W Fourth St;New York;NY;West Village;Asian;$$
Churrascaria Plataforma Ny;316 W 49th Street;New York;NY;Midtown West;South American;$$$
Cibo;767 Second Avenue;New York;NY;Midtown East;American;$$$
Cilantro;1712 2nd Ave;New York;NY;Upper East Side;Southwestern;$
Cinema Cafe On 34th;505 3rd Ave;;;;;
Circus;132 E 61st St;New York;NY;Upper East Side;South American;$$$
Citrus Bar & Grill;320 Amsterdam Ave;New York;NY;Upper West Side;Asian;$$
City Bakery;3 W 18th St;New York;NY;Flatiron;American;$
City Burger;1410 Broadway;New York;NY;Midtown West;American;$$
City Crab & Seafood;235 Park Ave S;New York;NY;Lower East Side;Seafood;$$$
City Hall;131 Duane St;New York;NY;TriBeCa;Seafood;$$$
Coffee Shop;29 Union Square West;New York;NY;Union Square;American;$
Colors;417 Lafayette St;New York;NY;East Village;International;$$$
Columbus Bakery;474 Columbus Ave;;;;;
Comfort Diner;25 W 23rd St;New York;NY;Midtown East;American;$
Compass;208 W 70th Street;New York;NY;Upper West Side;American;$$$
Convivio;45 Tudor City Pl;New York;NY;Midtown East;Italian;$$$$$
Cookshop;156 10th Ave;New York;NY;Chelsea;American;$$$$
Coppola's Pizzeria Restaurant;206 W 79th St;New York;NY;Upper West Side;Italian;$$
Cornelia Street Cafe;29 Cornelia Street;New York;NY;Greenwich Village;American;$$$
Corner Bistro;331 W 4th St;New York;NY;West Village;American;$
Cosette;163 E 33rd St;New York;NY;Murray Hill;French;$$
Cosi;53 E. Eighth St.;New York;NY;Greenwich Village;American;$
Counter;105 First Ave;New York;NY;East Village;Vegetarian;$$
Country;90 Madison Ave, 2nd Fl;New York;NY;Gramercy Park;American;$$$$
Cowgirl;519 Hudson Street;New York;NY;West Village;Southwestern;$
Craft;43 E 19th St;New York;NY;Union Square;American;$$$$$
Craftbar;900 Broadway;New York;NY;Flatiron;American;$$$
Craftsteak;85 10th Ave;New York;NY;Chelsea;Steakhouse;$$$$$
Crema Restaurante;111 West 17th Street;New York;NY;Chelsea;Mexican;$$$
Creole;2167 Third Ave;New York;NY;Harlem;Creole-Cajun;$$
Crisp;684 3rd Ave;New York;NY;Midtown East;Middle Eastern;$$
Crispo;240 W 14th St;New York;NY;West Village;Italian;$$$
Crooked Knife;29 E. 30th Street;New York;NY;Murray Hill;British;$$
Cru;24 Fifth Ave;New York;NY;Greenwich Village;Mediterranean;$$$$
Crumbs Bake Shop;1371 3rd Ave;;;;;
Cuba;222 Thompson Street;New York;NY;Greenwich Village;Cuban;$$
Cuba Cafe;200 Eighth Ave;New York;NY;Chelsea;Cuban;$
Cubana Cafe;110 Thompson St;New York;NY;Greenwich Village;Cuban;$
Cube 63;63 Clinton St;New York;NY;Lower East Side;Japanese;$$
Cucina Di Pesce;87 E 4th St;New York;NY;East Village;Italian;$
Da Andrea;557 Hudson St;New York;NY;West Village;Italian;$$
Da Antonio;157 E 55th St;New York;NY;Midtown East;Italian;$$$$
Da Ciro;229 Lexington Ave;New York;NY;Murray Hill;Italian;$$
Da Nico;164 Mulberry St.;New York;NY;Italian;$$;
Da Silvano;260 6th Avenue;New York;NY;Greenwich Village;Italian;$$$
Da Umberto;107 West 17th Street;New York;NY;Italian;$$$;
Dallas Bbq;27 W 72nd St;New York;NY;Upper West Side;American;$
Danal;90 E 10th St;New York;NY;East Village;French;$$
Daniel;60 E 65th St;New York;NY;Upper East Side;French;$$$$$
Danube;30 Hudson St;New York;NY;TriBeCa;Austrian;$$$$$
David Burke at Bloomingdales;1000 Third Avenue;New York;NY;American;$$$;
Davidburke & Donatella;133 E 61st St;New York;NY;Upper East Side;American;$$$$
Dawat;210 E 58th St;New York;NY;Midtown East;Indian;$$$
DeGrezia;231 E 50th St;New York;NY;Midtown East;Italian;$$$
Degustation;239 E Fifth St;New York;NY;East Village;Spanish;$$$
Del Frisco's;1221 Sixth Ave;New York;NY;Midtown West;Steakhouse;$$$$
Del Posto;85 10th Ave;New York;NY;Chelsea;Italian;$$$$$
Delmonico's;56 Beaver Street;New York;NY;Financial District;American;$$$$$
Delta Grill;700 Ninth Ave;New York;NY;Midtown West;Creole-Cajun;$$
Demarchelier;50 E. 86th St.;;;;;
Dervish Turkish;146 West 47th Street;New York;NY;Midtown West;Middle Eastern;$$
Desnuda;122 E 7th St;New York;NY;East Village;Seafood;$$$
Devi;8 E 18th St;New York;NY;Flatiron;Indian;$$$$
Dim Sum Go Go;5 E Broadway;New York;NY;Chinatown;Chinese;$
Dinosaur Bar-B-Que;646 W 131st St;New York;NY;Harlem;American;$
Ditch Plains;29 Bedford St.;;;;;
Diva;341 W Broadway;New York;NY;SOHO;Italian;$$$
Django;480 Lexington Avenue;New York;NY;Midtown East;French;$$$
Do Hwa;55 Carmine St;New York;NY;Greenwich Village;Korean;$$
Dok Suni;119 First Ave;New York;NY;East Village;Korean;$$
Dolce Vita;181 Grand Street;;;;;
Don Giovanni Ristorante;214 Tenth Avenue;New York;NY;Chelsea;Italian;$
Don Pedro's;1865 Second Ave;New York;NY;Upper East Side;Caribbean;$$
Donguri;309 E 83rd St;New York;NY;Upper East Side;Japanese;$$$
Dos Caminos;825 Third Ave.;New York;NY;Mexican;$$$;
Dos Caminos Park;373 Park Ave South;New York;NY;Gramercy Park;Mexican;$$
Dos Caminos Soho;475 West Broadway;New York;NY;SOHO;Mexican;$$$
Doyers Vietnamese;11-13 Doyers St;New York;NY;Chinatown;Asian;$
Duane Park Cafe;157 Duane St;New York;NY;TriBeCa;American;$$$
Duke's;99 E. 19th St.;New York;NY;Barbecue;$$$;
Dylan Prime;62 Laight St;New York;NY;TriBeCa;Steakhouse;$$$$$
E.A.T.;1064 Madison Avenue;New York;NY;Upper East Side;American;$$
East Of Eighth;254 West 23rd St;;;;;
Eatery;798 9th Ave;New York;NY;Midtown West;American;$
Eight Mile Creek;240 Mulberry St;New York;NY;Little Italy;Australian;$$
El Charro Espanol;4 Charles St;New York;NY;Greenwich Village;Spanish;$$$
El Faro;823 Greenwich St;New York;NY;West Village;Spanish;$$
El Malecon;4141 Broadway;New York;NY;Harlem;Caribbean;$
El Parador Cafe;325 E 34th St;New York;NY;Murray Hill;Mexican;$$
El Pote;718 2nd Ave;New York;NY;Murray Hill;Spanish;$$
El Quijote;226 W 23rd St;New York;NY;Chelsea;Spanish;$$
El Rio Grande;160 East 38th Street;New York;NY;Midtown East;Southwestern;$$$
Elaine's Restaurant;1703 Second Ave;New York;NY;Upper East Side;American;$$$
Elephant;The, 58 E First St;New York;NY;East Village;French;$$
Eleven Madison Park;11 Madison Ave;New York;NY;Gramercy Park;American;$$$$$
Elmo;156 Seventh Ave;New York;NY;Chelsea;American;$$
Emack & Bolio's;389 Amsterdam Ave;New York;NY;Upper West Side;American;$
Employees Only;510 Hudson St;New York;NY;West Village;European;$$$
En Japanese Brasserie;435 Hudson St;New York;NY;West Village;Japanese;$$$
Epicerie;170 Orchard St;New York;NY;East Village;French;$$
Epices Inc;103 W 70th St;New York;NY;Upper West Side;Mediterranean;$$
Erminia;250 E 83rd St;New York;NY;Upper East Side;Italian;$$$
Esca;402 W 43rd St;New York;NY;Midtown West;Italian;$$$$
Esperanto;145 Ave C;New York;NY;East Village;Nuevo Latino;$$
Espn Zone;1472 Broadway;New York;NY;Midtown West;American;$
Essex;120 Essex St;New York;NY;Lower East Side;American;$
Estancia 460;460 Greenwich St;New York;NY;Midtown West;Argentinean;$$
Estiatorio Milos;125 West 55th Street;New York;NY;Midtown West;Greek;$$$$
Etats-Unis;242 E 81st St;New York;NY;Upper East Side;American;$$$
Etcetera Etcetera;352 W 44th St;New York;NY;Theater;Italian;$
Ethiopian Restaurant;The, 1582 York Ave;New York;NY;Upper East Side;African;$
Eva's Health Food;11 W. 8th Street;;;;;
Extra Virgin;259 W 4th St;New York;NY;West Village;Mediterranean;$$
F.illi Ponte;39 Desbrosses St.;New York;NY;Italian;$$$$;
FR.OG;71 Spring Street;New York;NY;SOHO;French;$$$
Falai;68 Clinton St;New York;NY;Lower East Side;Italian;$$$
Fat Hippo;71 Clinto St.;;;;;
Fatty Crab;643 Hudson Street;New York;NY;Meatpacking District;Indonesian;$$
Felidia;243 East 58th Street;New York;NY;Midtown East;Italian;$$$$
Felix;340 W Broadway;New York;NY;SOHO;French;$$
Fiamma Osteria;206 Spring Street;New York;NY;SOHO;Italian;$$$
Fig & Olive Kitchen & Tasting Bar;808 Lexington Ave;New York;NY;Upper East Side;Mediterranean;$$
Fig and Olive Downton;420 W. 13th Street;New York;NY;Meatpacking District;Mediterranean;$$$
Film Center Cafe;635 9th Avenue;New York;NY;Midtown West;American;$$
Fish;280 Bleecker St;New York;NY;Greenwich Village;Seafood;$$
Five Points;31 Great Jones Street;New York;NY;NoLita;American;$$$
Flea Market Cafe;131 Ave A;New York;NY;East Village;French;$
Fleur De Sel;5 E 20th St;New York;NY;Flatiron;French;$$$$$
Flor De Mayo;484 Amsterdam Ave;New York;NY;Upper West Side;Chinese;$
Florent;69 Gansevoort St;New York;NY;Meatpacking District;American;$
Forge;134 Reade St;New York;NY;TriBeCa;American;$$$$
