restaurant;neighborhood
Bubble Lounge - NYC;TriBeCa - Downtown
Buddha Bar - New York;Meatpacking District
Bull & Bear at the Waldorf Astoria;Midtown East
Bun Soho;SoHo
Butai;Union Square
Butter;NoHo
Buzina Pop;Upper East Side
COLORS;NoHo
COMMERCE;West Village
Cacio e Vino;East Village
Cafe Cluny;West Village
Cafe D' Alsace;Upper East Side
Cafe Frida;Upper West Side
Cafe Luxembourg;Lincoln Center
Cafe Notte;Upper East Side
Cafe Spice - NYC;East Village
Cafe des Artistes;Lincoln Center
Cafe du Soleil;Upper West Side
Caffe Grazie;Upper East Side
Café Boulud;Upper East Side
Café Centro;Midtown East
Calle Ocho;Upper West Side
Candle 79;Upper East Side
Cannonau;East Village
Canyon Road;Upper East Side
Capital Grille - New York City;Midtown East
Cara Mia;Hell's Kitchen
Carlyle Restaurant;Upper East Side
Carmine's - 91st Street;Upper West Side
Casaville;Murray Hill
Cascina;Theater District
Cavatappo Grill;Upper East Side
Caviar Russe - Wave Sushi;Midtown East
Cellini;Midtown East
Center Cut;Lincoln Center
Centovini;SoHo
Central Park BoatHouse;Midtown East
Centrico;TriBeCa - Downtown
Centro Vinoteca;West Village
Cercle Rouge;TriBeCa - Downtown
Cesca;Upper West Side
Chanterelle;TriBeCa - Downtown
Charlotte;Theater District
Chez Jacqueline;West Village
Chez Lucienne;Harlem
China 1;Lower East Side
China Grill - New York;Midtown West
Chinatown Brasserie;NoHo
Chinese Mirch;Murray Hill
Chola;Midtown East
Church Lounge @ Tribeca Grand Hotel;TriBeCa - Downtown
Ciaobella;Upper East Side
Cibo;Murray Hill
Cinema - The Brasserie;Midtown East
Ciro Trattoria;Theater District
Citrus Bar & Grill;Upper West Side
City Crab & Seafood Company;Gramercy / Flatiron
City Hall;TriBeCa - Downtown
City Lobster & Steakhouse;Theater District
City Winery;West Village
Club A Steakhouse;Midtown East
Commodore Grill;Midtown East
Compass Restaurant - New York;Upper West Side
Convivio;Midtown East
Cookshop;Chelsea
Cooper's Tavern;Midtown West
Cornelia Street Cafe;West Village
Corton;TriBeCa - Downtown
Country;Gramercy / Flatiron
Craft;Gramercy / Flatiron
Craftbar;Gramercy / Flatiron
Crema Restaurante;Chelsea
Crispo;Chelsea
Croton Reservoir Tavern;Midtown West
Cru;Greenwich Village
Cub Room;SoHo
Cuba;Greenwich Village
Da Marino;Theater District
Daniel;Upper East Side
Darbar;Midtown East
Darbar Grill;Midtown East
Dardanel Mediterranean Seafood;Upper East Side
David Burke Townhouse;Upper East Side
Dawat;Midtown East
Del Posto;Meatpacking District
Delicatessen;NoLita
Delmonico's;Financial District
Dennis Foy;TriBeCa - Downtown
Dervish Mediterranean Restaurant;Theater District
Destino - NYC;Midtown East
Devi;Gramercy / Flatiron
Dhaba;Midtown East
Dinosaur Bar B Que;Upper West Side
Dirt Candy;East Village
District;Midtown West
Diva;SoHo
Dizzy's Club Coca Cola;Columbus Circle
Domenico;Midtown East
Don Pedro's;Upper East Side
Dopo Teatro - Trattoria;Theater District
Dos Caminos - Third Avenue;Midtown East
Double Crown;NoHo
Dovetail;Upper West Side
Ducale Restaurant;Upper West Side
Duke's - Gramercy Park;Gramercy / Flatiron
Duke's - Murray Hill;Murray Hill
Dylan Prime;TriBeCa - Downtown
EN Japanese Brasserie;West Village
Earth NYC;Chelsea
East of Eighth Restaurant;Chelsea
Eighty One;Upper West Side
El Parador;Murray Hill
El Rio Grande;Murray Hill
Elettaria;West Village
Eleven Madison Park;Gramercy / Flatiron
Elizabeth;NoLita
Emperor Japanese Tapas Shabu;SoHo
Erminia Ristorante;Upper East Side
Esca;Theater District
Essex;Lower East Side
Estiatorio Milos;Midtown West
Etcetera Etcetera;Theater District
Ethos - Manhattan;Gramercy / Flatiron
Ethos - U.N.;Midtown East
Etrusca;Midtown West
Euzkadi;East Village
FORGE;TriBeCa - Downtown
Faces and Names;Midtown West
Falai;Lower East Side
Fatty Crab;Upper West Side
Felidia;Midtown East
Fig & Olive - Fifth Avenue;Midtown East
Fig & Olive - Meatpacking;Meatpacking District
Fig & Olive - Uptown;Upper East Side
Film Center Cafe;Hell's Kitchen
Fiorini;Midtown East
Firebird Russian Restaurant;Theater District
Firenze;Upper East Side
Fireside at Omni Berkshire;Midtown East
Fishtail by David Burke;Upper East Side
Five Points;NoHo
Fleur de Sel;Gramercy / Flatiron
Flex Mussels;Upper East Side
Flor de Sol;TriBeCa - Downtown
Forbidden City Bistro;Middletown, CT
Fragolino Trattoria;Hell's Kitchen
Frankie & Johnnie's Steakhouse - Manhattan;Midtown West
Fraunces Tavern Restaurant;Financial District
Frederick's Downtown;West Village
Frederick's Madison;Upper East Side
Fulton;Upper East Side
Fusha West;Upper West Side
Gabriela's;Upper West Side
Gaby Restaurant;Midtown West
Gallagher's Steak House;Theater District
Gallo Nero;Hell's Kitchen
Garage Restaurant and Cafe;Greenwich Village
Gari;Upper West Side
Geisha;Upper East Side
Gente;Midtown East
Gilt;Midtown East
Giorgio's of Gramercy;Gramercy / Flatiron
Giorgione;SoHo
Giovanni Ristorante & Bar;Midtown West
Gobo - Greenwich Village;Greenwich Village
Gobo - Upper East Side;Upper East Side
Gonzo;Greenwich Village
Good Restaurant;West Village
Gotham Bar and Grill;Union Square
Gramercy Tavern;Gramercy / Flatiron
Grand Bar & Lounge @ Soho Grand Hotel;SoHo
Grand Central Oyster Bar;Midtown East
Grand Tier Met Opera;Lincoln Center
Greenwich Grill;TriBeCa - Downtown
Guantanamera;Midtown West
Gusto Ristorante e Bar Americano;West Village
Gyu-Kaku - East Village;East Village
Gyu-Kaku - Mid Town;Midtown East
Hakata Tonton;West Village
Hanratty's;Upper East Side
Haru Sushi - Wall Street;Financial District
Havana - Alma de Cuba;West Village
Havana Central - Times Square;Times Square
Havana Central - Union Square;Union Square
Havana Central at The West End;Upper West Side
Havana NY;Midtown West
Hawaiian Tropic Zone;Times Square
Heartbeat at W New York;Midtown East
Hearth;East Village
Heartland Brewery Chophouse;Times Square
Henry's Restaurant;Upper West Side
Hill Country;Chelsea
Horus Kebab House;East Village
Hudson Cafeteria;Midtown West
Hudson River Cafe;Harlem
Hundred Acres;SoHo
Hurley's;Theater District
I Trulli;Murray Hill
Icon;Murray Hill
Il Bastardo;Chelsea
Il Bordello;Chelsea
Il Buco;NoHo
Il Campanello Ristorante;Midtown West
Il Cantinori;East Village
Il Corso;Midtown West
Il Melograno;Hell's Kitchen
Il Riccio;Upper East Side
In Vino Wine Bar & Restaurant;East Village
Inagiku;Midtown East
Inakaya;Times Square
Indian Taj;West Village
Indochine;NoHo
Inside Park at St. Bart's;Midtown East
Insieme;Midtown West
Intermezzo;Chelsea
Irving Mill;Union Square
Istana;Midtown East
Jacques;NoLita
Jacques Brasserie;Upper East Side
Jane;West Village
Japonais - NYC;Union Square
Jarnac;Greenwich Village
Jazz Standard;Gramercy / Flatiron
Jean Georges;Midtown West
Jewel of India - NYC;Midtown West
JoJo;Upper East Side
Johnny Utah's;Rockefeller Center Midtown
Josephina;Lincoln Center
Josie's West;Upper West Side
Josies East;Murray Hill
Keens Steakhouse;Midtown West
Kefi;Upper West Side
Kellari Parea Greek Bistro;Gramercy / Flatiron
Kellari Taverna;Theater District
Kingswood;West Village
Kion;East Village
Kittichai;SoHo
Klee;Chelsea
Knife + Fork Restaurant & Wine Bar;East Village
Kobe Club - New York;Midtown West
Koi - New York;Midtown West
Kouzan;Upper West Side
Kurve;East Village
L'Absinthe Brasserie;Upper East Side
L'Allegria Restaurant;Hell's Kitchen
L'Artusi;Greenwich Village
L'Atelier de Joel Robuchon - Four Seasons Hotel New York;Midtown East
L'Ecole - Restaurant of The French Culinary Institute;SoHo
La Bottega;Chelsea
La Carne Grill;Midtown East
La Fonda Del Sol;Midtown East
La Giara;Murray Hill
La Goulue;Upper East Side
La Grenouille;Midtown East
La Grolla Ristorante;Upper West Side
La Masseria;Theater District
La Mediterranee;Midtown East
La Rivista;Theater District
La Sirene;SoHo
La Vineria;Theater District
Lattanzi;Theater District
Le Bernardin;Theater District
Le Cirque;Midtown East
Le Colonial;Midtown East
Le Perigord;Midtown East
Le Refuge;Upper East Side
Le Rivage;Theater District
Le Souk;East Village
Legends New York City;Midtown West
Les Halles Downtown;Financial District
Les Halles Park Avenue;Gramercy / Flatiron
Lever House;Midtown East
Lily's;Midtown East
Little Giant;Lower East Side
Lobby Lounge at Mandarin Oriental, New York;Columbus Circle
Lola;SoHo
Lomito;SoHo
Los Dados;Meatpacking District
Lucille's Grill;Midtown West
Lucky Cheng's;East Village
Lucy;Gramercy / Flatiron
Lugo Caffé;Midtown West
Lumi;Upper East Side
Luna Piena Ristorante;Midtown East
Lunetta;Gramercy / Flatiron
Lupa;Greenwich Village
Lure Fishbar;SoHo
Lusso;West Village
MINT;Midtown East
MR CHOW - 57th;Midtown East
MR CHOW - TriBeca;TriBeCa - Downtown
Macao Trading Company;TriBeCa - Downtown
Madison & Vine;Midtown East
Madison Bistro;Murray Hill
Madras Mahal;Murray Hill
Mai House;TriBeCa - Downtown
Maison;Theater District
Maloney & Porcelli;Midtown East
Manhattan Sky;Midtown East
Mara's Homemade;East Village
Marc Forgione, fka FORGE;TriBeCa - Downtown
Marfa;East Village
Maria Pia;Hell's Kitchen
Market Table;Greenwich Village
Markt;Chelsea
Marseille;Theater District
Massimo al Ponte Vecchio;Greenwich Village
Match 65 (formerly Paris Match);Upper East Side
Matsugen;TriBeCa - Downtown
Matsuri;Chelsea
Maya - New York;Upper East Side
McCormick & Schmick's Seafood - New York;Midtown West
Megu;TriBeCa - Downtown
Megu - Midtown;Midtown East
Mercat;NoHo
Mercer Kitchen;SoHo
Merchants NY Restaurant;Upper East Side
Merkato 55;Meatpacking District
Mesa Grill;Gramercy / Flatiron
Meson Sevilla;Theater District
Metisse French Bistro;Upper West Side
Metro Marche;Times Square
Mezzogiorno;SoHo
Mia Dona;Midtown East
Michael Jordan's the Steakhouse N.Y.C.;Midtown East
Michael's;Midtown West
Mindy's at The New York Helmsley Hotel;Midtown East
Molyvos;Midtown West
Monte's Trattoria;Greenwich Village
Montebello Ristorante Italiano;Midtown East
Morimoto New York;Chelsea
Morrell Wine Bar & Cafe;Rockefeller Center Midtown
Morton's The Steakhouse - Midtown Manhattan;Midtown East
Mr. Jones;Union Square
Mr. K's;Midtown East
Mr. WEST;Chelsea
Murals on 54 @ The Warwick New York Hotel;Theater District
Métrazur;Midtown East
NAYA Mezze & Grill;Midtown East
Naima;Chelsea
Nanking - Manhattan;Theater District
Naples 45;Midtown East
Natsumi Restaurant;Theater District
Neo Sushi;Upper West Side
Nero D' Avola;Meatpacking District
Nice Matin;Upper West Side
Nick & Stef's;Midtown West
Nicole at The Novotel Hotel Times Square;Times Square
Nikki Midtown;Midtown East
Ninja;TriBeCa - Downtown
Nino's;Upper East Side
Nino's 208;Midtown East
Nino's Positano;Midtown East
Nino's Tuscany;Midtown West
Nirvana;Midtown East
Nisos Mediterranean Cuisine;Chelsea
Nizza - NYC;Hell's Kitchen
Nolita House Restaurant;NoLita
Norma's at Le Parker Meridien;Midtown West
North Square;West Village
Nougatine at Jean Georges;Midtown West
Novecento New York;SoHo
Novitá - New York City;Gramercy / Flatiron
ONDA;South Street Seaport
Ocean Grill New York;Upper West Side
Oceana;Midtown East
Olana;Gramercy / Flatiron
Old Homestead Restaurant;Meatpacking District
Ole Restaurant;Murray Hill
Olives;Union Square
One 83;Upper East Side
One Little West 12;Meatpacking District
One if by Land, Two if by Sea;Greenwich Village
Onieal's Grand Street;SoHo
Ono;Meatpacking District
Opia;Midtown East
Orsay;Upper East Side
Oscar Cafe;SoHo
Oscar's at the Waldorf Astoria;Midtown East
Osteria Del Circo;Midtown West
Osteria Gelsi;Theater District
Osteria Laguna;Midtown East
Osteria al Doge;Times Square
Otto Enoteca Pizzeria;Greenwich Village
Ouest;Upper West Side
PLANETHAILAND212;Gramercy / Flatiron
Padre Figlio;Midtown East
Pala;Lower East Side
Palá;Lower East Side
Pampano;Midtown East
Pamplona;Gramercy / Flatiron
Paola's Restaurant;Upper East Side
Papatzul;SoHo
Papillon Bistro and Bar;Midtown East
Paradou;Meatpacking District
Park Avenue Bistro;Gramercy / Flatiron
Park Avenue Winter;Upper East Side
Parlor Steakhouse;Upper East Side
Pasha - NYC;Upper West Side
Patroon;Midtown East
Payard Patisserie & Bistro;Upper East Side
Pazza Notte;Midtown West
Peacock Alley;Midtown East
Peasant;SoHo
Per Lei;Upper East Side
Per Se;Columbus Circle
Pera Mediterranean Brasserie;Midtown East
Perilla Restaurant;Greenwich Village
Periyali;Gramercy / Flatiron
Perle;Financial District
Perry St;West Village
Persephone;Upper East Side
Pescatore;Midtown East
Petaluma;Upper East Side
Petrossian - New York;Midtown West
Philippe;Upper East Side
Piano Due;Midtown West
Picholine;Lincoln Center
Pietrasanta;Hell's Kitchen
Pipa;Union Square
Plataforma Churrascaria;Theater District
Plunge Bar;Meatpacking District
Pomaire;Theater District
Porter House New York;Midtown West
Pound & Pence;Financial District
Pranna;Gramercy / Flatiron
Prem-on Thai;SoHo
Primehouse New York;Gramercy / Flatiron
Primitivo Osteria;West Village
Providence - NYC;Hell's Kitchen
Public;NoLita
Public House - New York;Midtown East
Pure Food and Wine;Gramercy / Flatiron
Puttanesca;Midtown West
Quality Meats;Midtown West
Rachel's American Bistro;Hell's Kitchen
Rainbow Room;Midtown West
Rainbow Room Grill;Midtown West
Raoul's;SoHo
Rayuela;Lower East Side
Re Sette;Midtown West
Red Cat;Chelsea
Red Egg;Chinatown
Red Restaurant;South Street Seaport
Regional;Upper West Side
Remi;Midtown West
Resto;Gramercy / Flatiron
Rhong-Tiam;Greenwich Village
Riingo;Midtown East
Roberto Passon;Hell's Kitchen
Roc Restaurant;TriBeCa - Downtown
Rock Center Cafe;Rockefeller Center Midtown
Rosa Mexicano - First Avenue;Midtown East
Rosa Mexicano - Lincoln Center;Lincoln Center
Rosa Mexicano - Union Square;Union Square
Rosanjin;TriBeCa - Downtown
Rosie O'Grady's;Midtown West
Rosie O'Grady's - Times Square;Times Square
Roth's Westside Steakhouse;Upper West Side
Rothmann's Steakhouse - NYC;Midtown East
Rouge Tomate;Midtown East
Roy's - New York;Financial District
Ruby Foo's - Times Square;Times Square
Rughetta Ristorante;Upper East Side
Russian Firebird Restaurant;Theater District
Russian Tea Room - NYC;Midtown West
Ruth's Chris Steak House - New York City - Midtown;Theater District
SIDECAR at P.J. Clarke's;Midtown East
SUSHISAMBA 7;Greenwich Village
SUSHISAMBA park;Gramercy / Flatiron
SUteiShi;Financial District
Saju Bistro;Theater District
Sakagura;Midtown East
Salmon River;Midtown East
Salt;SoHo
Salute;Murray Hill
Sambuca;Upper West Side
San Domenico NY;Midtown West
Sanctuary T;SoHo
Sangria 46;Theater District
Sant Ambroeus;Upper East Side
Sapphire;Lincoln Center
Satsko;Lower East Side
Saucy;Upper East Side
Savore;SoHo
Savoy;SoHo
Scaletta Restaurant;Upper West Side
Scalini Fedeli;TriBeCa - Downtown
Scarlatto;Theater District
Scarpetta;Chelsea
Sea Grill;Rockefeller Center Midtown
Seasonal Restaurant and Weinbar;Midtown West
Secession;TriBeCa - Downtown
Seppi's Resto/Bar;Midtown West
Sequoia Restaurant;South Street Seaport
Serafina;Midtown West
Serafina at The Time Hotel;Theater District
Shang;Lower East Side
Shinbashi;Midtown East
Shula's Steak House - NY;Theater District
Shun Lee Cafe;Lincoln Center
Shun Lee Palace;Midtown East
Shun Lee West;Lincoln Center
Sinigual - NY;Midtown East
Slate Plus;Gramercy / Flatiron
Smith & Wollensky - New York;Midtown East
Smoke Jazz Club;Upper West Side
Smorgas Chef @ Scandinavia House;Murray Hill
Smorgas Chef Midtown;Midtown East
Smorgas Chef Wall Street;Financial District
Smorgas Chef West Village;West Village
Sol Y Sombra - Manhattan;Upper West Side
Solo;Midtown East
Sombrero Mexican;Theater District
Son Cubano;Meatpacking District
Sonia Rose;Lower East Side
Sosa Borella;Theater District
Sotto Cinque;Upper East Side
South Gate;Midtown West
SouthWest NY;Financial District
Spice Market;Meatpacking District
Staghorn Steakhouse;Midtown West
Steak Frites;West Village
Stone Rose;Columbus Circle
Strada 57;Midtown West
Strip House;Greenwich Village
Suba;Lower East Side
Suenos;Chelsea
Sushi Twist;Gramercy / Flatiron
Sushi of Gari;Upper East Side
Sushi of Gari 46;Theater District
Swizz Restaurant;Theater District
T-BAR Steak & Lounge;Upper East Side
THOR;Lower East Side
TY - Four Seasons New York;Midtown East
Tabla;Gramercy / Flatiron
Taboon;Hell's Kitchen
Tacocina Restaurant;Hell's Kitchen
Tagine Dining Gallery / Lounge;Midtown West
Taj - New York;Gramercy / Flatiron
Talay Restaurant;Harlem
Tamarind;Gramercy / Flatiron
Tao;Midtown East
Tarallucci E Vino;Gramercy / Flatiron
Telepan;Upper West Side
Terrace in the Sky;Upper West Side
Thalassa;TriBeCa - Downtown
Thalia;Theater District
The Art Institute of New York - One Hudson Square;TriBeCa - Downtown
The Box NYC's PANDORA;Lower East Side
The Cafe Carlyle;Upper East Side
The Center Room;Lincoln Center
The Four Seasons Restaurant;Midtown East
The Grill Room;Financial District
The Harrison;TriBeCa - Downtown
The House;Gramercy / Flatiron
The Ketch;Financial District
The Kitchen Club;NoLita
The Libertine;Financial District
The Little Owl;Greenwich Village
The Mermaid Inn;East Village
The Mermaid Inn Uptown;Upper West Side
The Modern - Bar Room;Midtown West
The Modern - Dining Room;Midtown West
The Monday Room;NoLita
The Oak Room at the Plaza Hotel;Midtown East
The Odeon;TriBeCa - Downtown
The Orchard;Lower East Side
The Palm - NYC One;Midtown East
The Palm - NYC Too;Midtown East
The Palm - NYC West Side;Times Square
The Palm - Tribeca;TriBeCa - Downtown
The Park;Chelsea
The Post House;Upper East Side
The Round Table at the Algonquin Hotel;Midtown West
The Smith;East Village
The Stanton Social;Lower East Side
The View Restaurant;Times Square
The Water Club;Murray Hill
The West Branch;Upper West Side
Tocqueville;Union Square
Toloache;Theater District
Tony's Di Napoli;Upper East Side
Tony's Di Napoli - Midtown;Midtown West
Town;Midtown West
Trata Estiatorio;Upper East Side
Tre;Lower East Side
Tre Dici;Chelsea
Tredici Steak;Chelsea
Trestle on Tenth;Chelsea
Tribeca Grill;TriBeCa - Downtown
Trigo;TriBeCa - Downtown
Trinity Place;Financial District
Triomphe;Midtown West
Two Times Square;Theater District
Uncle Jack's Steakhouse - Midtown;Midtown West
Uncle Jack's Steakhouse - Westside;Midtown West
Union Prime;Union Square
Union Square Cafe;Union Square
Utsav Festive India;Theater District
Vai Restaurant;Upper West Side
Valbella;Meatpacking District
Vatan Indian Restaurant;Murray Hill
Vento Trattoria;Meatpacking District
Veritas;Gramercy / Flatiron
Via Dei Mille;SoHo
ViceVersa;Theater District
Vicino Firenze;Upper East Side
Victor's Café;Midtown West
Village;West Village
Vince and Eddie's;Lincoln Center
Virgil's;Theater District
Vong - New York;Midtown East
Wallsé;West Village
West Bank Cafe;Theater District
Wolfgang's Steakhouse - Tribeca;TriBeCa - Downtown
YerbaBuena;Lower East Side
Yuva;Midtown East
Zampa;West Village
Zanzibar;Hell's Kitchen
Zarela;Midtown East
Zereouè Restaurant and Bar;Midtown East
Zerza;East Village
Zeytin;Upper West Side
Zoe Restaurant;SoHo
Zoe Townhouse;Upper East Side
Zorzi;Midtown East
Zucchero e Pomodori;Upper East Side
at Vermilion;Midtown East
craftsteak;Meatpacking District
db Bistro moderne;Theater District
de Santos - Manhattan;West Village
dell'anima;West Village
iL Punto;Theater District
ilili;Murray Hill
landmarc [at the time warner center];Columbus Circle
landmarc [tribeca];TriBeCa - Downtown
p*ong;West Village
wd-50;Lower East Side
