restaurant;address;neighborhood
Alidoro;105 Sullivan St.;Greenwich Village
Allegretti;46 W 22nd St.;Chelsea
Alloro Restaurant;307 East 77th St.;East 80s
Aloe;406 E 9th St.;East Village
Alto;520 Madison Ave.;East 50s
Amarok Bar & Grill;32 Cliff St.;Financial District
Amarone;686 9th Ave.;West 40s
Amaya;234 E 4th St.;East Village
Amazing 66;66 Mott St.;Chinatown
Ambassador Grill & Lounge;44 First Avenue;East 40s
Amber;1406 Third Ave.;East 80s
Amber;221 Columbus Ave.;West 70s
Ambrosia;273 1st Ave.;East Village
American East Fuzhou Restaurant;54 E Broadway;Chinatown
American Girl Place;609 5th Ave.;East 40s
American Grill;117 2nd Ave.;East Village
Angelica Kitchen;300 E 12th St.;East Village
Angelo and Maxie's;233 Park Ave. South;Gramercy Park
Angon on the Sixth;320 E 6th St,;East Village
Angus McIndoe;258 West 44th Street;West 40s
Anna Maria Trattoria e Pizzeria;1592 First Ave.;East 80s
Anna's;268 E 10th St.;East Village
Annisa;13 Barrow St.;Greenwich Village
Anthos;36 W 52nd St.;West 50s
Anyway Cafe;34 E 2nd St.;East Village
Apiary;60 Third Ave.;East Village
Apizz;217 Eldridge St.;East Village
Aquagrill;210 Spring St.;Soho
Aquavit;65 East 55th Street;East 50s
Arka Lounge;4488 Broadway;Washington Heights
Arno Ristorante;141 W 38th St.;Garment District
Arqua;281 Church St.;Tribeca
Artichoke Basille's Pizza & Brewery;328 E 14th St.;East Village
Artie's;2290 Broadway;West 80s
Artisanal;2 Park Ave.;Murray Hill
Arturo's Pizza;1610 York Ave.;East 80s
Ashkara;189 E Houston St.;Lower East Side
Asia De Cuba;237 Madison Avenue;Murray Hill
Assenzio;205 E 4th St.;East Village
Atelier, Ritz-Carlton Hotel;50 Central Park South;West 50s
Atomic Wings;184 1st Ave.;East Village
Atria;13-15 W 54th St.;West 50s
Au Mandarin;200 Vesey St. (World Financial Center);Battery Park City
August;359 Bleecker St.;West Village
Avra;141 E 48th St.;East 40s
Awash;338 E 6th St.;East Village
Azul Bistro;152 Stanton St.;Lower East Side
Azuri Cafe;465 W 51st St.;West 50s
Azuri Café;465 W 51st St.;West 50s
B & H Dairy Restaurant;127 Seconnd Ave.;East Village
B Bar & Grill;40 E 4th St.;East Village
B Cup;212 Avenue B;East Village
B'un;143 Grand St.;Chinatown
B-Bap Fusion Rice Bar;830 9th Ave.;West 50s
B. Cafe;240 E 75th St.;East 80s
B. Smith Restaurant;8th Ave. & 48th St.;West 40s
BB Sandwich Bar;120 W 3rd St.;Greenwich Village
BBQ;261 8th Ave.;Chelsea
BBQ;1265 3rd Ave.;East 70s
BBQ;3965 Broadway;Washington Heights
BG Restaurant;754 5th Ave, 7th Fl,;West 50s
BLT Burger;470 Sixth Ave.;West Village
BLT Fish;21 W 17th St.;Chelsea
BLT Market;1430 6th Ave.;West 50s
BLT Prime;111 E 22nd St.;Murray Hill
BLT Steak;106 E 57th St.;East 50s
BLVD - Bowery Bistro;199 Bowery;East Village
Babbo;110 Waverly Pl.;West Village
Babbo Ristorante e Enoteca;110 Waverly Pl.;Greenwich Village
BabyCakes NYC;248 Broome St.;Lower East Side
Bacaro;136 Division St.;Lower East Side
Back Forty;190 Ave. B;East Village
Baldoria;249 W 49th St.;West 40s
Bali Nusa Indah;651 Ninth Ave.;West 40s
Balkh Kebab & Restaurant;789 9th Ave.;West 50s
Ballato;55 E Houston St.;Nolita
Balthazar;80 Spring St.;Soho
Baluchi's;90 W 3rd St.;Greenwich Village
Baluchi's;275 Greenwich St.;Financial District
Baluchi's;240 W 56th St.;West 50s
Baluchi's;361 6th Ave.;West Village
Baluchi's;193 Spring St.;Soho
Baluchi's;1724 Second Ave.;East 90s
Baluchi's;329 Third Ave.;Murray Hill
Baluchi's;1565 2nd Ave.;East 80s
Baluchi's;111 E 29th St.;Murray Hill
Bambou;243 E 14th St.;East Village
Bamiyan;358 Third Ave.;Gramercy Park
Bamn!;37 St. Marks Pl.;Soho
Banh Mi So 1;369 Broome St.;Soho
Banjara;97 First Ave.;East Village
Bann;350 W 50th St.;West 50s
Baoguette;61 Lexington Ave.;Flatiron
Bar Americain;152 W 52nd St.;West 50s
Bar Baresco;191 Seventh Ave.;Chelsea
Bar Boulud;1900 Broadway;West 60s
Bar Breton;254 5th Ave.;Chelsea
Bar Masa;10 Columbus Circle;West 60s
Bar Milano;323 Third Ave.;Gramercy Park
Bar Pitti;268 6th Ave.;West Village
Bar Q;308 Bleecker St.;West Village
Bar Six;502 6th Ave.;West Village
Bar Stuzzichini;928 Broadway;Flatiron
Bar Veloce;175 2nd Ave.;East Village
Barbone;186 Ave. B;East Village
Barney Greengrass;541 Amsterdam Ave.;West 80s
Barrio Chino;253 Broome St,;Lower East Side
Belcourt;84 E 4th St.;East Village
Bella Napoli;130 Madison Ave.;Murray Hill
Bello's;130 Saint Marks Pl.;East Village
Bennie's;88 Fulton St.;Financial District
Benny's Burritos;93 Avenue A;East Village
Benoit;60 W 55th St.;West 50s
Beppe;45 E 22nd St.;Flatiron
Bereket;187 E Houston St.;Lower East Side
Berry Bistro;430 E 14th St.;East Village
Beyoglu;1431 3rd Ave.;East 80s
Bianca;5 Bleecker St.;Greenwich Village
Big Arc Chicken;233 1st Ave.;East Village
Big Daddy's Diner;239 Park Ave. S;Flatiron
Big Daddy's Diner;1596 Second Ave.;East 80s
Birdies;149 1st Ave.;East Village
Biscuit BBQ;230 5th Ave.;West 40s
Bistrouge;432 E. 13th St.;East Village
Bite;335 Lafayette St.;Soho
Bite Me Best;138 Ave. C;East Village
Black Iron Burger;540 E 5th St.;East Village
Black Iron Burger Shop;540 East 5th St.;East Village
Blaue Gans;139 Duane St.;Tribeca
Bleecker Street Pizza;69 7th Ave. South;West Village
Blue 9 Burger;92 3rd Ave.;East Village
Blue Fin;1567 Broadway;West 40s
Blue Hill;75 Washington Place;West Village
Blue Owl;196 2nd Ave.;East Village
Blue Ribbon Bakery;33 Downing St.;West Village
Blue Ribbon Brasserie;97 Sullivan St.;Soho
Blue Ribbon Sushi;119 Sullivan St.;Soho
Blue Smoke;116 E 27th St.;Murray Hill
Blue Water Grill;31 Union Sq W;Union Square
Boat Basin Café;79th St.;West 70s
Bocca;39 E 19th St.;Greenwich Village
Boi To Go;800 Second Avenue;East 40s
Boka;9 St. Mark’s Place;East Village
Bombay Talkie;189 9th Ave.;Chelsea
BonBon Chicken;98 Chambers St.;Financial District
BonChon Chicken;314 5th Ave. | 2nd Fl;Chelsea
Bona Fides;60 2nd Ave,;East Village
Bond St;6 Bond St.;Nolita
Bond Street Restaurant;6 Bond St.;Greenwich Village
Bondi Road;153 Rivington St.;East Village
Bongo;299 10th Ave.;Chelsea
Bonjoo;107 1st Ave.;East Village
Boqueria;53 W 19th St.;Chelsea
Borgo Antico;22 E 13th St.;Union Square
Bottino;246 10th Ave.;Chelsea
Boucarou Lounge;64 E 1st St,;East Village
Bouchon Bakery;10 Columbus Circle;West 50s
Bouley Bakery & Market;130 W Broadway;Tribeca
Bounce Deuce;103 2nd Ave.;East Village
Bourgeois Pig Cafe;122 E 7th St.;East Village
Bowery Wine Company;13 E 1st St.;East Village
Brasserie Les Halles;411 Park Avenue South;Gramercy Park
Brasserie Ruhlmann;45 Rockefeller Plz.;West 40s
Bread;301 Church;Tribeca
Bread Tribeca;301 Church;Tribeca
Bread and Olive;24 W 45th St.;West 40s
Brick Lane Curry House;306-308 E. 6th St.;East Village
Broadway East;171 E Broadway;East Village
Bruschetteria;92 Rivington St.;East Village
Bubby's;120 Hudson St.;Tribeca
Buddakan;75 9th Ave.;Meatpacking District
Buenos Aires;513 E 6th;East Village
Bun Soho;143 Grand St.;Soho
Burger Creations;52 E 8th St.;East Village
Burger Heaven;20 E 49th St.;East 40s
Burger Heaven;804 Lexington Ave.;East 60s
Burger Heaven;9 E 53rd St.;East 50s
Burger Heaven;291 Madison Ave.;Murray Hill
Burger Heaven;536 Madison Ave.;East 50s
Burger Joint;241 Third Ave.;East Village
Burger Joint;118 W 56th St.;West 50s
Burger and Gyro Express;442 E 14th St.;East Village
Butcher Bay;511 E 5th St.;East Village
Butter Lane Cupcakes;123 E 7th St.;East Village
Butter Restaurant;415 Lafayette St.;Greenwich Village
C & F Restaurant;171 Hester;Chinatown
Cabrito;50 Carmine St.;Soho
Cacio e Pepe;182 Second Ave.;East Village
Cacio e Vino;80 Second Ave.;East Village
Cafe 81;81 E 7th St.;East Village
Cafe Addis;435 W 125th St.;Morningside Heights
Cafe Boulud;20 E 76th St.;East 70s
Cafe Brama;157 2nd Ave.;East Village
Cafe Centosette;160 2nd Ave.;East Village
Cafe Cortadito;210 E 3rd St.;East Village
Cafe Gitane;242 Mott St.;Little Italy
Cafe Habana;229 Elizabeth St.;Little Italy
Cafe Himalaya;78 E 1st St.;East Village
Cafe Katja;79 Orchard St.;East Village
Cafe Mocha;116 2nd Ave.;East Village
Cafe Orlin;41 St. Marks Pl.;East Village
Cafe Petisco;189 E Broadway;East Village
Cafe Sabarsky;1048 5th Ave.;East 80s
Cafe Zaiya;69 Cooper Square;East Village
Cafe Zaiya;18 E 41st St.;East 40s
Cafe con Leche;424 Amsterdam Ave.;West 90s
Cafe des Artistes;1 W67th St.;West 60s
Cafecito;185 Ave. C;East Village
Cafetasia;38 E 8th St.;Greenwich Village
Cafeteria;119 7th Ave.;Chelsea
Caffe Capri;165 Church St.;Tribeca
Caffe Emilia;139 1st Ave.;East Village
Caffe Falai;265 Lafayette St.;Soho
Caffe Grazie;26 E. 84th St.;East 80s
Caffe Linda;145 E. 49th St.;East 40s
Caffe Novecento;343 W Broadway;Soho
Caffe Pepe Rosso;127 Avenue C;East Village
Café DeVille;103 3rd Ave.;East Village
Café Edison;228 W 47th St.;West 40s
Café Habana;229 Elizabeth St.;Greenwich Village
Café Loup;105 W 13th St.;West Village
Café Mogador;101 St. Marks Pl.;East Village
Café Rakka;38 Ave. B;East Village
Café Spice;72 University Place;Greenwich Village
Café Spice;54 W 55th St.;West 50s
Café Spice Express;Grand Central Terminal;East 40s
Café Zaiya;69 Cooper Square;East Village
Café con Leche;726 Amsterdam Ave.;West 90s
Café des Artistes;1 W67th St.;West 60s
Café el Portal;174 Elizabeth St.;Nolita
Calcutta;324 E 6th St.;East Village
Calidad Latina;132 9th Ave.;Chelsea
CamaJe;85 MacDougal St.;Greenwich Village
Cambodian Cuisine;1664 Third Ave.;East 90s
Candela Candela;92 2nd Ave,;East Village
Cannonau (fka Assenzio);205 E 4th St.;East Village
Cantinetta;260 6th Ave.;West Village
Cantoon Garden;22 Elizabeth St.;Chinatown
Captain's Café;34 East 32nd Street;Murray Hill
Caracas Arepa Bar;91 E 7th St.;East Village
Caravan of Dreams;405 E. Sixth St.;East Village
Caridad;4799 Broadway;Inwood
Caridad La Original;588 Amsterdam Ave.;West 80s
Caridad Restaurant;18 E 33rd St.;Murray Hill
Carl's Steaks;507 Third Ave.;Murray Hill
Carmine's;200 W 44th St.;West 40s
Carne;2737 Broadway;West 100s
Carnegie Delicatessen;854 7th Ave.;West 50s
Carve;760 Eighth Ave.;West 40s
Casa Adela;66 Ave. C;East Village
Casa Havana;190 Eighth Ave.;West Village
Casa La Femme;140 Charles St.;Greenwich Village
Casa Mono;52 Irving Pl.;Flatiron
Casanis;81 Ludlow St.;East Village
Casimir;103-105 Ave. B;East Village
Celeste;502 Amsterdam Ave.;West 80s
Centovini;25 W Houston St.;Soho
Centro Español La Nacional;239 W 14th St.;Chelsea
Centro Vinoteca;74 Seventh Ave. S.;West Village
CentroPizze;201 E 10th St,;East Village
Cha An Japanese Tea House;230 E 9th St.;East Village
Cha-An;230 E 9th St.;East Village
Chanoodle;79 Mulberry St.;Tribeca
Charles' Southern Style Kitchen;2839 Eighth Ave.;Harlem
Chat 'n' Chew;10 E 16th St.;Union Square
Cheesy Pizza;2640 Broadway;West 100s
Chelsea Bistro and Bar;358 W 23rd St.;Chelsea
Chelsea Thai Wholesale;75 Ninth Ave.;Chelsea
Chennai Garden;129 E 27th St.;Murray Hill
Cherin Sushi;306 E 6th St.;East Village
Chez Betty Cafe;256 E 3rd St.;East Village
Chez Napoleon;365 W 50th St.;West 50s
Chickpea;210 E. 14th St.;East Village
Chikalicious;203 E. 10th St.;East Village
Chikalicious Dessert Bar;203 E 10th St.;East Village
Chimichurri Grill;606 Ninth Ave.;West 40s
China 1 Restaurant and Lounge;50 Avenue B;East Village
China North Dumpling;15 Essex St.;Chinatown
China Town;250 E Houston St.;Chinatown
Chinese Food;25B Henry St.;Chinatown
Chinese Mirch;120 Lexington Ave.;Murray Hill
Chipotle;19 St. Marks Pl.;East Village
Chiyono;328 East 6th St.;Greenwich Village
Cho Cho San;15 W. 8th St.;West Village
Cho Dang Gol;55 W 35th St.;Chelsea
Chocolate Bar;127 E 7th St.;East Village
Chocolate Bar at Henri Bendel;712 5th Ave.;West 50s
Chola;232 E 58th St.;East 50s
Chomp;250 E 14th St.;East Village
Chop Suey;714 Seventh Ave.;West 40s
Churrascaria Plataforma;316 W 49th St.;West 40s
City Bakery;3 W 18th St.;Chelsea
City Lobster & Crab Co.;121 W. 49th St.;West 40s
City Winery;155 Varick St.;Tribeca
Clinton St. Baking Company;4 Clinton St.;Lower East Side
Co.;230 9th Ave,;Chelsea
Coffee Shop;29 Union Square W;Union Square
Col Legno;231 E. Ninth St.;East Village
Colbeh;43 W 39th;Garment District
Cold Stone Creamery;1651 2nd Ave.;East 80s
Colors;417 Lafayette St.;East Village
Comfort Diner;214 E. 45th St.;East 40s
Cong Ly;124 Hester St.;Lower East Side
Congee;98 Bowery;Chinatown
Congee Bowery;207 Bowery;Lower East Side
Congee Village;100 Allen St.;Lower East Side
Convivio;45 Tudor City Pl.;East 40s
Cookout Grill;207 W 14th St.;West Village
Cookshop;156 10th Ave.;West Village
Copper Chimney;126 E 28th St.;Murray Hill
Coppola's East;378 3rd Ave.;Murray Hill
Cornelia Street Cafe;29 Cornelia St.;West Village
Corner Shop;643 Broadway;Greenwich Village
Cosette;163 E 33rd St.;Murray Hill
Cosi;257 Park Avenue S.;Flatiron
Cosmic Cantina;101 Third Ave.;East Village
Counter;105 First Ave.;East Village
Country;90 Madison Ave.;Murray Hill
Country Cafe;69 Thompson St.;Soho
Cozy Soup & Burger;739 Broadway;East Village
Craft;43 E. 19th St.;Union Square
Craftsteak;85 10th Ave.;Chelsea
Crave on 42nd;650 West 42nd St.;West 40s
Crema Restaurante;111 W. 17th St.;Chelsea
Creole;2167 Third Ave.;East Harlem
Creperie;135 Ludlow St.;Lower East Side
Crif Dogs;113 St. Marks Place;East Village
Crispo;240 W. 14th St.;Chelsea
Crooked Tree Creperie;110 Saint Marks Pl.;East Village
Croton Reservoir Tavern;108 w. 40th St.;Garment District
Cru;24 5th Ave.;West Village
Cuba Cafe;200 8th Ave.;Chelsea
Cube 63;63 Clinton;Lower East Side
Cucina & Co.;151 W. 34th St.;Chelsea
Cucina de Pesce;87 E. 4th St.;Greenwich Village
Cuisine of Pakistan;478 Ninth Ave.;Garment District
Curly's Vegetarian Lunch;328 E 14th St.;East Village
Curry Leaf;99 Lexington Ave.;Murray Hill
Curry in a Hurry;119 Lexington Ave.;Murray Hill
Curry-Ya;214 E 10th St.;East Village
D'Aiuto's Pastry Corp;873 Eighth Ave.;West 50s
DB Bistro Moderne;55 W 44th St.;West 40s
Da Andrea;557 Hudson St.;Soho
Da Ciro;229 Lexington Ave.;Murray Hill
Da Marino's;220 W. 49th St.;West 40s
Da Tommaso;903 8th Ave.;West 40s
Da Umberto;107 W. 17th St.;Chelsea
Dae Dong;17 W. 32nd St.;Chelsea
Daisy May's BBQ USA;623 Eleventh Ave.;West 40s
Dakshin Indian Bistro;1713 1st. Ave.;East 80s
Dallas BBQ;27 W 72nd St.;West 70s
Damon: Frugal Friday;47 E 19th St.;Union Square
Daniele's Piadina;64 West 22nd Street;Flatiron
Danku;47 W 57th St.;West 50s
Danny Ng's Place;52 Bowery;Chinatown
Danube;30 Hudson St.;Tribeca
Darbar;152 E. 46th St.;East 40s
Darbar East;239 First Ave.;East Village
Darbar Grill;157 E55th St.;East 50s
Darna;600 Columbus Ave.;West 80s
Daruma;227 Mott St.;Nolita
David Burke's Townhouse;133 East 61st St.;East 60s
Deborah;43 Carmine St.;Soho
Degustation Wine & Tasting Bar;239 E 5th St.;East Village
Del Frisco's Steakhouse;1221 Avenue of the Americas;West 40s
Del Posto;85 10th Ave.;West Village
Delegates Dining Room (United Nations 4th fl.);United Nations;East 40s
Delicatessen;54 Prince St.;Little Italy
Delicia;322 W 11th St.;West Village
Delicia Brazil;322 W. 11th St.;Soho
Delicia Brazil Restaurant;322 W 11th St.;West Village
Deluxe Food Market;79 Grand St.;Chinatown
Demarchelier;50 E. 86th St.;East 80s
Demerara;;
Dennis Foy;313 Church St.;Tribeca
Dervish Turkish;146 W. 47th St.;West 40s
Desi Junction;688 Tenth Ave.;West 40s
Devi;8 E 18th St.;Garment District
Devins Fish & Chips;747 St. Nicholas Ave.;Harlem
Diablo Royale;189 W 10th St.;West Village
Diamond Dairy Restaurant;4 W 47th St.;West 40s
Dibiterie Cheikh;231 W 116th St.;Harlem
Dieci;228 E. 10th St.;East Village
Dil E Punjab Deli;170 9th Ave.;Chelsea
Dim Sum Go Go;5 E Broadway;Financial District
Dimple;11 W 30th St.;Chelsea
Dirt Candy;430 E. 9th St.;East Village
Dishes;6 E. 45th St.;East 40s
District;130 W. 46th St.;West 40s
Ditch Plains;29 Bedford St.;West Village
Dive Bar;732 Amsterdam Ave.;West 90s
Divino;1556 Second Ave.;East 80s
Diwan;148 E. 48th St.;East 40s
Dizzy's Club Coca-Cola, Jazz at Lincoln Center, Time Warner Center;60th St. & Broadway;West 60s
Django;480 Lexington Ave.;East 40s
Djerdan #3;221 W 38th St.;Garment District
DoSirak;30 E 13th St.;Greenwich Village
Dojo;14 W 4th St.;Greenwich Village
Dojo West;14 W 14thSt;Greenwich Village
Dok Suni's;119 First Ave.;East Village
Doma;17 Perry St.;West Village
Don Pedro's;1865 Second Ave.;East Harlem
Donguri;309 E. 83rd St.;East 80s
Dos Caminos;825 3rd Ave.;East 50s
Dos Caminos;373 Park Ave. S;Murray Hill
Dos Caminos Soho;475 West Broadway;Soho
Doyers Vietnamese;11-13 Doyers St., downstairs;Chinatown
Duane Park;157 Duane St.;Tribeca
Dublin 6 Wine & Dine;575 Hudson St.;West Village
Dumpling House;118A Eldridge St.;Chinatown
Dumpling Man;100 St. Marks Pl.;East Village
Duvet;45 W 21st St.;Flatiron
E-mo;2 W 32nd St.;Chelsea
E.A.T.;1064 Madison Ave.;East 80s
Earthen Oven;53 W. 72nd St.;West 70s
East;354 E 66th St.;East 60s
East;210 E 44th St.;East 40s
East;365 First Ave.;Flatiron
East of 8th;254 W 23rd St.;Chelsea
East of Eighth;254 W. 23rd St.;Chelsea
Eatery;798 Ninth Ave.;West 50s
Ebisu;414 E 9th St.;East Village
Ecco;124 Chambers St.;Financial District
Ed's Lobster Bar;222 Lafayette St.;Nolita
Edward's;136 W. Broadway;Tribeca
Eisenberg's Sandwich Shop;174 Fifth Ave.;Flatiron
El Cantinero;86 University Pl.;Greenwich Village
El Centro;824 Ninth Ave.;West 50s
El Charro Espanol;4 Charles St.;West Village
El Cocotero;228 W. 18th St.;Chelsea
El Conde;4139 Broadway;Washington Heights
El Despertar;1875 Lexington Ave.;East Harlem
El Lina;500 W 207th St.;Inwood
El Malecon;4141 Broadway;Washington Heights
El Nuevo Amanecer Restaurant;117 Stanton St.;Lower East Side
El Parador Cafe;325 E. 34th St.;Murray Hill
El Paso;134 W. Houston St.;Greenwich Village
El Quijote;226 W. 23rd St.;Chelsea
El Quinto Pino;401 W.24th St.;Greenwich Village
El Rancho Jubilee;10 Hillside Ave.;Washington Heights
El Salvadoreño;1229 St. Nicholas Ave.;Washington Heights
Elephant & Castle;68 Greenwich Ave.;West Village
Elettaria;33 W 8th St.;Chelsea
Eleven Madison Park;11 Madison Ave.;Murray Hill
Elio's;1621 Second Ave.;East 80s
Elizabeth;265 Elizabeth St.;Soho
Ellens Stardust Diner;1650 Broadway;West 50s
Elsa la Reina del Chicharron;1249 St. Nicholas Ave.;Washington Heights
Elvie's Turo-Turo;214 First Ave.;East Village
Empanada Mama;763 Ninth Ave.;West 50s
Empire Diner;210 10th Ave.;Chelsea
Employees Only;510 Hudson St.;Soho
En;435 Hudson St.;West Village
Ennio & Michael;539 LaGuardia Pl.;Greenwich Village
Ennju;20 E 17th St.;Union Square
Enoteca I Trulli;122 E 27th St.;Murray Hill
Epices du Traiteur;103 W. 70th St.;West 70s
Erminia;250 E. 83rd St.;East 80s
Esashi;32 Ave. A;East Village
Esca;402 W 43rd St.;West 40s
Ess-a-Bagel;359 First Ave.;Gramercy Park
Essex;120 Essex St.;Lower East Side
Estancia 460;460 Greenwich St.;Tribeca
Ethiopian Restaurant;1582 York Ave.;East 80s
Ethos;495 Third Ave.;Murray Hill
Etrusca;125 W. 53rd St.;West 50s
Euzkadi;108 E. 4t St.;East Village
Evergreen Shanghai;10 E. 38th St.;Murray Hill
Excellent Dumpling House;111 Lafayette St.;Chinatown
Extra Virgin;259 W. 4th St.;West Village
F & B;269 W 23rd St.;Chelsea
F.illi Ponte;39 Desbrosses St.;Tribeca
Fabio Piccolo Fiore;230 E. 44th St.;East 40s
Facey Home Sales;215 W 28th St.;Chelsea
Fagiolini Restaurant;334 Lexington Ave.;Murray Hill
Faicco's;260 Bleecker St.;West Village
Falai;68 Clinton St.;Lower East Side
Falai Panetteria;79 Clinton St.;Lower East Side
Family Noodle;19 Henry St.;Chinatown
Farfina Coffee Shop;219B W 116th St.;Harlem
Fatty Crab;643 Hudson St.;West Village
Favela Cubana;543 Laguardia Pl.;Greenwich Village
Ferrara;195 Grand St.;Little Italy
Fetch;1649 Third Ave.;East 90s
Fibe Restaurant;4055 Broadway;Washington Heights
Fig & Olive;420 W. 13th St.;Meatpacking District
Fig and Olive;808 Lexington Ave.;East 60s
Filli Ponte Ristorante;39 Debrosses Street;Little Italy
Finestra;1370 York Ave.;East 70s
Fino;4 E. 36th St.;Murray Hill
Fino;1 Wall St. Ct.;Financial District
Fiorini;209 E. 56th St.;East 50s
Firenze;1594 Second Avenue;East 80s
Fireside Cocktail Cuisine;19 E. 52nd St.;East 50s
Fish;280 Bleecker St.;Greenwich Village
Fishtail;135 E 62nd St.;East 60s
Fives;700 Fifth Ave. (Peninsula Hotel);West 50s
Flea Market;131 Ave. A;East Village
Flea Market Cafe;131 Ave. A;East Village
Flex Mussels;174 E 82nd St.;East 80s
Flor de Mayo;2651 Broadway;West 100s
Flor de Sol;361 Greenwich St.;Tribeca
Florence's;2099 Frederick Douglass Blvd.;Harlem
Food Sing 88 Corp.;2 E Broadway;Financial District
Forlini’s Restaurant;93 Baxter St.;Chinatown
Franchia;12 Park Ave.;Murray Hill
Frank;88 Second Ave.;East Village
Freemans;Freeman Alley;Lower East Side
Friedman's Delicatessen;75 Ninth Ave.;Chelsea
Fusion Wraps;52 Cooper Square;East Village
Gahm Mi Oak Restaurant;43 W 32nd St.;Chelsea
Galanga;149 W 4th St.;Greenwich Village
Galicia;4083 Broadway;Washington Heights
Galil;1252 Lexington Ave.;East 80s
Gam Mi Oak;43 West 32nd;Chelsea
Garage Restaurant & Cafe;99 7th Ave. So;Greenwich Village
Gauchas;1748 First Ave.;East 90s
Gavroche;212 W 14th St.;Flatiron
Gemma;335 Bowery;East Village
George's Pizza;726 W 181st St.;Washington Heights
Ghenet;284 Mulberry St.;Soho
Gigino Trattoria;323 Greenwich St.;Tribeca
Gigino at Wagner Park;20 Battery Pl.;Financial District
Ginger's;512 Seventh Ave.;Garment District
Giorgione;307 Spring St.;Soho
Giorgione 508;508 Greenwich St.;Soho
Go;30 St. Marks Pl.;East Village
Go!Go!Curry;273 West 38th St.;Garment District
Gobo;401 6th Ave.;West Village
Golden Crust;18 E 33rd St.;Murray Hill
Golden Crust;121 W 125th St.;Harlem
Golden Crust;1344 Amsterdam Ave.;Harlem
Golden Crust;456 Malcolm X Blvd.;Harlem
