restaurant;address1;address2
Alpha Fusion;365 W 34th St;At 9th Ave
Alta;64 W 10th St;Btwn 5th & 6th Ave
Alta64 W;10th St;
Alto;11 E 53rd St;Btwn Madison & 5th Ave
Alto11 E;53rd St;
Amadeus Pizza;408 8th Ave;Btwn 30th & 31st St
Amadeus Pizza;856 8th Ave;Btwn 51st & 52nd St
Amai;171 3rd Ave;Btwn 16th & 17th St
Amalia;204 W 55th St;Btwn 7th Ave & Bway
Amalia204 W;55th St;
Amaranth;21 E 62d St;Btwn 5th & Madison Ave
Amarok Bar & Grill;32 Cliff St;At Fulton St
Amarone;686 9th Ave;Btwn 47th & 48th St
Amarone68;6 9th Ave;
Amaya;234 E 4th St;At Ave B
Amaya234 E;4th St;
Amazing;6666 Mott St;Btwn Bayard & Canal St
Amazonia;498 9th Ave;Btwn 37th & 38th St
Ambassador Grill & Lounge;1 UN Plaza;At 1st Ave & 44th St
Amber;221 Columbus Ave;At 70th St
Amber;381 3rd Ave;Btwn 27th & 28th St
Amber;1406 3rd Ave;At 80th St
Amber1406;3rd Ave;
Amber381;3rd Ave;
Ambrosia;8 W 45th St;Btwn 5th & 6th Ave
Ambrosia;273 1st Ave;Btwn 15th & 16th St
Amelia's;110 Varick St;At Broome St
AmeriMex;135 E 28th St;At Lexington Ave
American East Fuzhou;54 E Broadway;Btwn Catherine & Market St
American Girl Place;609 5th Ave;At 49th St
Americana Deli;2657 Broadway;At 101st St
Americas;1159 3rd Ave;Btwn 67th & 68th St
Amici;36519 8th Ave;Btwn 35th & 36th St
Amici 365;19 8th Ave;
Amir's Falafel;2911 Broadway;Btwn 113th & 114th St
Amity Restaurant;1134 Madison Ave;Btwn 84th & 85th St
Amma;246 E 51st St;Btwn 2nd & 3rd Ave
Amma246 E;51st St;
Ammos Estiatorio;52 Vanderbilt Ave;Btwn 44th & 45th St
Amor Cubano;2018 3rd Ave;At 111th St
Amsterdam Pizza & Restaurant;1343 Amsterdam Ave;Btwn 125th & 126th St
Amsterdam Restaurant;1207 Amsterdam Ave;Btwn 119th & 120th St
Amy Ruth's;113 W 116th St;Btwn Lenox & 7th Ave
Amy's Bread;250 Bleecker St.;At Leroy St
Amy's Bread;75 9th Ave;Btwn 15th & 16th St
Amy's Bread;672 9th Ave;Btwn 46th & 47th St
Amy's Restaurant;586 W 207th St;Btwn Vermilyea Ave & Bway
An Choi;85 Orchard St;
Ancora Ristorante;11 Stone St;Btwn Whitehall & Broad St
Andre's Cafe;1631 2nd Ave;Btwn 84th & 85th St
Andrew's Coffee Shop;246 W 38th St;Btwn 7th & 8th Ave
Andrew's Coffee Shop;463 7th Ave;At 35th St
Andrew's Coffee Shop;1410 Broadway;At 39th St
Andrew's Coffee Shop;116 John St;At Pearl St
Andrew's Coffee Shop;316 W 34th St;Btwn 8th & 9th Ave
Andy's;2262 3rd Ave;At 123rd St
Andy's Deli;418 Columbus Ave;At 80th St
Andy's Deli;873 Broadway;At 18th St
Andy's226;2 3rd Ave;
Anesis Cafe;42 W 35th St;Btwn 5th & 6th Ave
Angela's Coffee Shop;805 W 187th St;Btwn Pinehurst & Fort Washington Ave
Angela's Rock 'N Roll Deli;1428 6th Ave;At 58th St
Angelica Kitchen;300 E 12th St;Btwn 1st & 2nd Ave
Angelina Cafe;36 Avenue A;Btwn 2nd & 3rd St
Angelo and Maxie's;233 Park Ave S;At 19th St
Angelo of Mulberry Street;146 Mulberry St;Btwn Hester & Grand St
Angelo's Pizza;1043 2nd Ave;At 55th St
Angelo's Pizza;117 W 57th St;Btwn 6th & 7th Ave
Angels & Kings;500 E 11th St;At Ave A
Angon on the Sixth;320 E 6th St;Btwn 1st & 2nd Ave
Angus McIndoe;258 W 44th St;Btwn 8th Ave & Bway
Anita's Delicatessen;180 Lexington Ave;At 31st St
Anna's;268 E 10th St;Btwn 1st Ave & Ave A
Anna's268 E;10th St;
Anneliese's;1516 1st Ave;At 79th St
Annie Moore's;50 E 43rd St;Btwn Madison & Vanderbilt Ave
Annisa;13 Barrow St;Btwn 7th Ave S & W 4th St
Anthea Cafe;320 Lexington Ave;Btwn 38th & 39th St
Anthos;36 W 52nd St;Btwn 5th & 6th Ave
Anthos36 W;52nd St;
Antibes Bistro;112 Suffolk St;
Antica Venezia;396 West St;At W 10th St
Antik;356 Bowery;Btwn 3rd & 4th St
Antique Cafe;55 W 26th St;Btwn 6th Ave & Bway
Antique Garage;41 Mercer St;Btwn Broome & Grand St
Antoinette's;2090 Frederick Douglass Blvd;Btwn 112th & 113th St
Antoinette's (CLOSED);2090 Frederick Douglass Blvd;Btwn 112th & 113th St
Antonucci;170 E 81st St;Btwn Lexington & 3rd Ave
Any Time Cafe;142 Fulton St;Btwn Bway & Nassau St
Any Time Cafe;17 John St;Btwn Nassau St & Bway
Anyway Cafe;34 E 2nd St;At 2nd Ave
Aoki;234 W 48th St;Btwn 8th Ave & Bway
Aoki234 W;48th St;
Aperitivo;780 3rd Ave;Btwn 48th & 49th St
Apiary;60 3rd Ave;At 11th St
Apiary60;3rd Ave;
Apizz;217 Eldridge St;Btwn Stanton & Rivington St
Apna Taj;159 E 55th St;
Apollo Restaurant;333 Park Ave S;Btwn 24th & 25th St
Apolo Restaurant;168 Delancey St;At Clinton St
Apotheke;9 Doyers St;Btwn Bowery & Pell St
Apple;17 Waverly Pl;Btwn Greene & Mercer St
Applebaum's;431 7th Ave;Btwn 33rd & 34th St
Applebee's;234 W 42nd St;Btwn 7th & 8th Ave
Applebee's;205 W 50th St;Btwn Bway & 7th Ave
Applebee's;102 N End Ave;At Vesey St
Applejack Diner;230 W 55th St;At Broadway
Aqua Marina;4060 Broadway Ave;At 171st St
Aquagrill;210 Spring St;At 6th Ave
Aquamarine;713 2nd Ave;Btwn 38th & 39th St
Aquavit;65 E 55th St;Btwn Park & Madison Ave
Aquavit Cafe;65 E 55th St;Btwn Park & Madison Ave
Aquavit65 E;55th St;
Ara;24 9th Ave;At 13th St
Arabelle;37 E 64th St;At Madison Ave
Arctica Bar & Grill;384 3rd Ave;Btwn 27th & 28th St
Ariana;787 9th Ave;Btwn 52nd & 53rd St
Ariana787;9th Ave;
Arirang;32 W 32nd St;
Arium;31 Little W 12th St;Btwn Washington St & 9th Ave
Ariyoshi;226 E 53rd St;Btwn 2nd & 3rd Ave
Ariyoshi;810 Broadway;Btwn 11th & 12th St
Armani/Ristorante;5th Avenue717 5th Ave;
Arno Ristorante;141 W 38th St;Btwn Broadway & 7th Ave
Aroma;36 E 4th St;Btwn Bowery & Lafayette St
Aroma Espresso Bar;145 Greene St;At Houston St
Aroma Espresso Bar;161 W 72nd St;
Aroma36 E;4th St;
Arome;325 Broadway;Btwn Worth & Thomas St
Arome Deli & Pizzeria;138 W 32nd St;Btwn 6th & 7th Ave
Around the Clock;8 Stuyvesant St;Btwn 3rd Ave & 9th St
Arqua;281 Church St;At White St
Arriba Arriba;1463 3rd Ave;Btwn 82nd & 83rd St
Arriba Arriba;762 9th Ave;At 51st St
Art Bar;52 8th Ave;Btwn Horatio & Jane St
Art Bar52;8th Ave;
Arte Around the Corner;274 Columbus Ave;At 73rd St
Arte Cafe;106 W 73rd St;Btwn Columbus & Amsterdam Ave
Arte Restaurant;21 E 9th St;Btwn 5th Ave & University Pl
Artepasta;81 Greenwich Ave;Btwn Bank St & 7th Ave S
Artichoke Pizza;328 E 14th St;Btwn 1st & 2nd Ave
Artie's Delicatessen;2290 Broadway;At 83rd St
Artisanal;2 Park Ave;At 32nd St
Arturo's;1617 York Ave;At 85th St
Arturo's;106 W Houston St;At Thompson St
Arturo's Pizza;1610 York Ave;At 85th St
Asahi;311 W 48th St;Btwn 8th & 9th Ave
Asahi311 W;48th St;
Ashby's;64 W 22nd St;Btwn 5th & 6th Ave
Ashby's64 W;22nd St;
Ashkara;189 E Houston St;At Orchard St
Ashkara18;9 E Houston St;
Ashton's Cafe;805 3rd Ave;Btwn 49th & 50th St
Ashton's Restaurant;208 E 50th St;Btwn 2nd & 3rd Ave
Asia Grill;1239 2nd Ave;At 65th St
Asia Grill & Ichiro;21239 2nd Ave;
Asia Kan;710 Amsterdam Ave;Btwn 94th & 95th St
Asia Roma;40 Mulberry St;Btwn Worth & Bayard St
Asia de Cuba;237 Madison Ave;Btwn 37th & 38th St
Asian Bistro;70 7th Ave;At 14th St
Asian Bowl;155 E 52nd;Btwn Lexington & 3rd Ave
Asian Express;236 E 23rd St;Btwn 2nd & 3rd Ave
Asian Fusion on Stone;11 Stone St;Btwn Broad & Whitehall St
Asiana;120 E 34th St;Btwn Park & Lexington Ave
Asiana (CLOSED);120 E 34th St;
Asiate;80 Columbus Circle;At 60th St
Aspen;30 W 22nd St;Btwn 5th & 6th Ave
Aspen Social Club;157 W 47th St;Btwn 6th & 7th Ave
Aspen30 W;22nd St;
Astor Court;2 E 55th St;At 5th Ave
Astra;979 3rd Ave;Btwn 58th & 59th St
Astra979;3rd Ave;
Astro Restaurant;101 W 55th St;Corner of 55th St
Astro Restaurant;1361 6th Ave;
Ate Avenue;169 8th Ave;Btwn 18th & 19th St
Atlantic Catering;64 E 1st St;Btwn 1st & 2nd Ave
Atlantic Grill;1341 3rd Ave;Btwn 76th & 77th St
Atlas;73 2nd Ave;Btwn 4th & 5th St
Atomic Wings;311 Broadway;Btwn Thomas & Duane St
Atomic Wings;528 9th Ave;Btwn 39th & 40th St
Atomic Wings;2090 Frederick Douglass Blvd;Btwn 113th & 114th St
Atomic Wings;1140 2nd Ave;At 60th St
Atomic Wings;1495 1st Ave;At 78th St
Atomic Wings;184 1st Ave;Btwn 11th & 12th St
Atomic Wings at Down the Hatch;179 W 4th St;Btwn 6th & 7th Ave
Atria;13-15 W 54th St;Btwn 5th & 6th Ave
Atria13-1;5 W 54th St;
Atrium Gourmet Deli;485 7th Ave;Btwn 36th & 37th St
Au Mandarin;200 Vesey St;At West St
August;359 Bleecker St;Btwn Charles & W 10th St
Aura;462 9th Ave;Btwn 35th & 36th St
Aureole;34 E 61st St;Btwn Madison & Park Ave
Aureole34 E;61st St;
Aurora SoHo;510 Broome St;Btwn Thompson St & W Broadway
Aurum Mediterranean Bar & Grill;2252 1st Ave;Btwn 115th & 116th St
Austin's Cafe;10 Park Ave;At 34th St
Austin's Cafe;291 7th Ave;Btwn 26th & 27th St
Automatic Slims;733 Washington St;At Bank St
Avalon Bar & Grill;16 E 32nd St;Btwn Madison & 5th Ave
Avenue A Sushi;103 Avenue A;Btwn 6th & 7th St
Avi & David's Bagels;1046 3rd Ave;At 62nd St
Avon Bistro;155 E 52nd St;Btwn Lexington & 3rd Ave
Avondale Caterers;155 E 52nd St;Btwn 3rd & Lexington Ave
Avra;141 E 48th St;Btwn 3rd & Lexington Ave
Avra141 E;48th St;
Awash;947 Amsterdam Ave;Btwn 106th & 107th St
Awash;338 E 6th St;Btwn 1st & 2nd Ave
Awash338 E;6th St;
Ayurveda Cafe;706 Amsterdam Ave;At 94th St
Ayza Wine Bar & Chocolate Bar;11 W 31st St;Btwn 5th Ave & Broadway
Azalea;224 W 51st St;Btwn Bway & 8th Ave
Azalea224 W;51st St;
Azuki;520 8th Ave;At 36th St
Azuki Sushi;239 Park Ave S;Btwn 19th & 20th St
Azuki520;8th Ave;
Azul Bistro;152 Stanton St;At Suffolk St
Azure;830 3rd Ave;At 51st St
Azure830;3rd Ave;
Azuri Cafe;465 W 51st St;Btwn 9th & 10th Ave
Azusa of Japan;3 E 44th St;At 5th Ave
Azza;137 E 55th St;At Lexington Ave
Azza137 E;55th St;
B & H Vegetarian Restaurant;127 2nd Ave;Btwn 7th & 8th St
B Bar & Grill;40 E 4th St;At Bowery St
B Cup;212 Avenue B;At 13th St
B Express;174 Ave B;At 11th St
B Flat;277 Church St;Btwn Franklin & White St
B-Bap Fusion Rice Bar;830 9th ave;Btwn 54th & 55th St
B. Cafe;240 E 75th St;Btwn 2nd & 3rd Ave
B. Cafe West;566 Amsterdam Ave;Btwn 87th & 88th St
B. Cafe24;0 E 75th St;
B. Smith's;320 W 46th St;Btwn 8th & 9th Ave
BB Sandwich Bar;120 W 3rd St;At MacDougal St
BB&R;1720 2nd Ave;Btwn 89th & 90th St
BB&R1720;2nd Ave;
BBQ Chicken & Beer;232 7th Ave;Btwn 23rd & 24th St
BBQ Chicken & Beer (CLOSED);232 7th Ave;Btwn 23rd & 24th St
BBQ In Harlem;19 St Nicholas Ave;Btwn 111th & 112th St
BBQ In Harlem (CLOSED);19 St Nicholas Ave;
BBQ Pit;221 E 23rd St;Btwn 2nd & 3rd Ave
BBQ Pit22;1 E 23rd St;
BCD Tofu House;17 W 32nd St;
BG Restaurant;754 5th Ave;At 57th St
BLT Burger;470 6th Ave;Btwn 11th & 12th St
BLT Fish;21 W 17th St;Btwn 5th & 6th Ave
BLT Fish Shack;21 W 17th St;Btwn 5th & 6th Ave
BLT Market;1430 6th Ave;At Central Park S
BLT Prime;111 E 22nd St;Btwn Lex & Park Ave S
BLT Steak;106 E 57th St;Btwn Park & Lexington Ave
BLVD - Bowery Bistro;199 Bowery;At Spring St
BXL Cafe;125 W 43rd St;Btwn 6th & 7th Ave
BXL East;210 E 51st St;
Babbo;110 Waverly Pl;Btwn 6th Ave & MacDougal St
Baby Bo's Cantina;627 2nd Ave;Btwn 34th & 35th St
Baby Buddha;753 Washington St;At Bethune St
Baby Buddha;65 Carmine St;Btwn 7 Av S & Bedford St
Babycakes;248 Broome St;Btwn Orchard & Ludlow St
Bacaro;136 Division St;Btwn Orchard & Ludlow St
Back Forty;190 Avenue B;At 12th St
Back Stage Eatery;579 5th Ave;47th St Btwn 5th & Madison Ave
Backstage Delicatessen;807 Lexington Ave;Btwn 62nd & 63rd St
Bagatelle;409 W 13th St;Btwn Washington & Greenwich St
Bagel & Bean;1710 Broadway;Btwn 54th & 55th St
Bagel Basket;618 Amsterdam Ave;At 90th St
Bagel Bob's;1638 York Ave;At 86th St
Bagel Bob's;51 University Pl;Btwn 9th & 10th St
Bagel Buffet;406 6th Ave;Btwn 8th & 9th St
Bagel Buffet;510 6th Ave;Btwn 13th & 14th St
Bagel Express;1804 2nd Ave;Btwn 93rd & 94th St
Bagel Maven Cafe;362 7th Ave;At 30th St
Bagel Talk;368 Amsterdam Ave;Btwn 77th & 78th St
Bagel Works;1229 1st Ave;Btwn 66th & 67th St
Bagels & Co.;393 Amsterdam Ave;At 79th St
Bagels & Co.;1428 York Ave;Btwn 75th & 76th St
Bagels & More;331 Lexington Ave;At 39th St
Bagels & Much More;70 Greenwich Ave;At 7th Ave & 11th St
Bagels & Plus;243 W 38th St;Btwn 7th & 8th Ave
Bagels on the Square;7 Carmine St;At 6th Ave
Bagus Malaysia;1 Doyers St;Btwn Bowery & Division St
Bagus Malaysia (CLOSED);1 Doyers St;Btwn Bowery & Division St
Baker Street;1152 1st Ave;At 63rd St
Baldoria;249 W 49th St;Btwn 8th Ave & Bway
Bali Nusa Indah;651 9th Ave;Btwn 45th & 46th St
Balthazar;80 Spring St;Btwn Bway & Crosby St
Baluchi's;90 W 3rd St;Btwn Sullivan & Thompson St
Baluchi's;361 6th Ave;At Washington Pl
Baluchi's;329 3rd Ave;Btwn 24th & 25th St
Baluchi's;193 Spring St;Btwn Sullivan & Thompson St
Baluchi's;275 Greenwich St;Btwn Murray & Warren St
Baluchi's;240 W 56th St;Btwn 8th Ave & Bway
Baluchi's;224 E 53rd St;Btwn 2nd & 3rd Ave
Baluchi's;1724 2nd Ave;At 89th St
Bamboleo;170 Bleecker St;At Sullivan St
Bamboo;52344 W 52nd St;Btwn 8th & 9th Ave
Bamboo 52;344 W 52nd St;
Bamboo House;104 2nd Ave;
Bamboo House;493 2nd Ave;Btwn 27th & 28th St
Bamboo House;37 6th Ave;
Bamiyan;358 3rd Ave;At 26th St
Bamiyan35;8 3rd Ave;
Bamn!;37 St Marks Pl;At 2nd Ave
Bamn! (CLOSED);37 St Marks Pl;
Banana Leaf;103 Lexington Ave;Btwn 27th & 28th St
Bangal Curry;111 Church St;Btwn Park Pl & Murray St
Bangkok Express No.;1349 1st Ave;Btwn 20th & 21st St
Bangkok Grand Palace;882 1st Ave;Btwn 49th & 50th St
Bangkok House;360 W 46th St;Btwn 8th & 9th Ave
Banh Mi Saigon Bakery;138 Mott St;Btwn Grand & Hester St
Banjara;97 1st Ave;At 6th St
Banjara97;1st Ave;
Bann;350 W 50th St;Btwn 8th & 9th Ave
Bann350 W;50th St;
Bao Noodles;391 2nd Ave;Btwn 22nd & 23rd St
Baobab;120 W 116th St;Btwn 5th & Lenox Ave
Baobab120 W;116th St;
Baoguette;61 Lexington Ave;Btwn 25th & 26th St
Bar;8989 Mercer St;Btwn Spring & Broome St
Bar;6 0(Bar Six)502 6th Ave;
Bar;6 (Bar Six)502 6th Ave;Btwn 12th & 13th St
Bar & Grill;40 E 4th St;
Bar & Lounge;420 Amsterdam Ave;At 80th St
Bar Americain;152 W 52nd St;Btwn 6th & 7th Ave
Bar Bao;100 W 82nd St;At Columbus Ave
Bar Bao10;0 W 82nd St;
Bar Baresco;191 7th Ave;Btwn 21st & 22nd St
Bar Blanc;142 W 10th St;Btwn Waverly Pl & Greenwich Ave
Bar Boulud;1900 Broadway;Btwn 63rd & 64th St
Bar Breton;254 5th Ave;Btwn 28th & 29th St
Bar Carerra;146 W Houston St;At Macdougal St
Bar Carrera;146 W Houston St;At Macdougal St
Bar Centrale;324 W 46th St;
Bar East;1733 1st Ave;
Bar Jamon;125 E 17th St;At Irving Pl
Bar Martignetti;406 Broome St;Btwn Lafayette & Centre St
Bar Masa;10 Columbus Circle;At 60th St
Bar Milano;323 3rd Ave;At 24th St
Bar Milano (CLOSED);323 3rd Ave;At 24th St
Bar Pitti;268 6th Ave;Btwn Bleecker & Houston St
Bar Q;308 Bleecker St;Btwn Grove St & 7th Ave S
Bar Q (CLOSED);308 Bleecker St;
Bar Stuzzichini;928 Broadway;Btwn 21st & 22nd St
Bar Veloce;175 2nd Ave;Btwn 11th & 12th St
Bar Veloce;17 Cleveland Pl;Btwn Kenmare & Spring St
Bar Veloce;176 7th Ave;Btwn 20th & 21st St
Bar and Books;636 Hudson St;At Horatio St
Bar and Books;1020 Lexington Ave;At 73rd St
Bar.Vetro;222 E 58th St;Btwn 2nd & 3rd Ave
BarBossa;232 Elizabeth St;Btwn Houston & Prince St
Baraonda;1439 2nd Ave;At 75th St
Barbarini Alimentari;225 Front St;Btwn Peck Slip & Beekman St
Barbarini Mercato;227 Front St;Btwn Beekman St & Peck Slip
Barbes;19 E 36th St;At Madison Ave
Barbes19 E;36th St;
Barbetta;321 W 46th St;Btwn 8th & 9th Ave
Barbounia;250 Park Ave S;At 20th St
Barbuto;775 Washington St;At W 12th St
Barbuto77;5 Washington St;
Barcelona Bar;923 8th Ave;Btwn 54th & 55th St
Barcibo Enoteca;2020 Broadway;At 69th St
Bardolino;1496 2nd Ave;At 78th St
Bari;529 Broadway;At Spring St
Barking Dog;150 E 34th St;Btwn Lexington & 3rd Ave
Barking Dog;1453 York Ave;At 77th St
Barking Dog;1678 3rd Ave;At 94th St
Barmarche;14 Spring St;At Elizabeth St
Barna;365 Park Ave S;At 26th St
Barney Greengrass;541 Amsterdam Ave;At 86th St
