restaurant;in;address1;address2;address3;neighborhood;phone;type
A Café and Wine Room;;973 Columbus Ave;between 107th and 108th Sts;;Upper West Side;(212-222-2033);Eclectic
A Salt & Battery;;112 Greenwich Ave;between 12th and 13th Sts;;West Village;(212-691-2713);British & Irish
A Salt & Battery (CLOSED);;80 Second Ave;between 4th and 5th Sts;;East Village;(212-254-6610);British & Irish
A Voce;41 Madison Ave;;entrance on 26th St;between Madison Ave and Park Ave South;Gramercy/Flatiron;(212-545-8555);Italian
A.O.C.;;314 Bleecker St;at Grove St;;West Village;(212-675-9463);French
A.O.C. Bedford (CLOSED);;14 Bedford St;between Sixth Ave and Downing St;;West Village;(212-414-4764);Spanish
AQ Café;Scandinavia House;;58 Park Ave;between 37th and 38th Sts;Midtown East;(212-879-9779);Seafood
AQ Kafé;;1800 Broadway;between 58th and 59th Sts;;Midtown West;(718-784-7364);Scandinavian
Abboccato;;138 W 55th St;between Sixth and Seventh Aves;;Midtown West;(212-265-4000);Italian
Abraço;;86 E 7th St;between First and Second Aves;;East Village;(212-388-9731);Cafés & diners
Absolute Bagels;;2788 Broadway;between 106th and 107th Sts;;Upper West Side;(212-932-2052);Cafés
Aburiya Kinnosuke;;213 E 45th St;between Second and Third Aves;;Midtown East;(212-867-5454);Japanese
Accademia di Vino;;1081 Third Ave;at 64th St;;Upper East Side;(212-888-6333);Italian
Acme Bar & Grill/Acme Underground;;9 Great Jones St;between Broadway and Lafayette St;;Greenwich Village;(212-420-1934);American Regional
Acqua;;718 Amsterdam Ave;at 95th St;;Upper West Side;(212-222-2752);Italian
Acqua Pazza (CLOSED);;36 W 52nd St;between Fifth and Sixth Aves;;Midtown West;(212-582-6900);Italian
Adelina Vegetarian Kitchen;119 E 17th St;;;;;;
Adiletto’s;;812 Washington St;between Gansevoort and Horatio Sts;;Meatpacking District;(212-352-3581);Italian
Adour Alain Ducasse at The St. Regis New York;;2 E 55th St;at Fifth Ave;;Midtown West;(212-710-2277);French
Adrienne’s Pizzabar;;53 Stone St;between Mill St and Coenties Alley;;Financial District;(212-248-3838);Italian
Adä;;208 E 58th St;between Second and Third Aves;;Midtown East;(212-371-6060);Indian
Affettati;;131 E 7th St;between First Ave and Ave A;;East Village;(212-228-6875);Italian
Affettati (CLOSED);131 E 7th St;;;;;;
After 8.5;;9 W 57th St;between Fifth and Sixth Aves;;Midtown West;(212-829-0812);French
Agata & Valentina;;1505 First Ave;at 79th St;;Upper East Side;(212-452-0690);Food or Beverage Shop
Agave;;140 Seventh Ave South;between Charles and W 10th Sts;;West Village;(212-989-2100);American Regional
Ago;;377 Greenwich St;at North Moore St;;Tribeca;(212-925-3797);Italian
Ago;379 Greenwich St;;;;;;
Agozar!;;324 Bowery;between Bleecker and Bond Sts;;East Village;(212-677-6773);Caribbean: Cuban
Aja;;1066 First Ave;at 58th St;;Midtown East;(212-888-8008);Asian: Pan-Asian
Aja;;432 Sixth Ave;between 9th and 10th Sts;;Greenwich Village;(212-253-7100);Asian: Pan-Asian
Ajisai;;1466 First Ave;between 76th and 77th Sts;;Upper East Side;(212-717-5464);Japanese
Ajisen Noodle;;14 Mott St;between Chatham Sq and Pell St;;Chinatown/Little Italy;(212-267-9680);Japanese
Akai Lounge;507 Columbus Ave;;;;;;
Akdeniz;;19 W 46th St;between Fifth and Sixth Aves;;Midtown West;(212-575-2307);Turkish
Aki;;181 W 4th St;between Barrow and Jones Sts;;West Village;(212-989-5440);Japanese
Al Baraka;;1613 Second Ave;between 83rd and 84th Sts;;Upper East Side;(212-744-2122);Moroccan
Al Bustan;;827 Third Ave;between 50th and 51st Sts;;Midtown East;(212-759-5933);Middle Eastern
Al Diwan;;210 Ave A;at 13th St;;East Village;(212-375-1300);Middle Eastern
Alain Ducasse at the Essex House (CLOSED);;155 W 58th St;between Sixth and Seventh Aves;;Midtown West;(212-265-7300);French
Alan’s Falafel;;Cedar St;at Broadway;;Financial District;;Middle Eastern
Alcala;;342 E 46th St;between First and Second Aves;;Midtown East;(212-370-1866);Spanish
Alexandra;;455 Hudson St;between Barrow and Morton Sts;;West Village;(212-255-3838);American
Alfama;;551 Hudson St;at Perry St;;West Village;(212-645-2500);Portuguese
Alfanoose;;8 Maiden Lane;between Broadway and Nassau Sts;;Financial District;(212-528-4669);Middle Eastern
Alfredo of Rome;;4 W 49th St;at Fifth Ave;;Midtown West;(212-397-0100);Italian
Algonquin Hotel;;59 W 44th St;between Fifth and Sixth Aves;;Midtown West;(212-840-6800);American
Ali Baba;;212 E 34th St;between Second and Third Aves;;Midtown East;(212-683-9206);Turkish
Alias;;76 Clinton St;at Rivington St;;Lower East Side;(212-505-5011);American Creative
Alice's Tea Cup Chapter II;;156 E 64th Street;between Third and Lexington Aves;;Upper East Side;(212-486-9200);Cafés & diners
Alice’s Tea Cup;;102 W 73rd St;at Columbus Ave;;Upper West Side;(212-799-3006);Cafés & diners
Alice’s Tea Cup;;220 E 81st St;between Second and Third Aves;;Upper East Side;(212-734-4832);Cafés & diners
Allegretti;;46 W 22nd St;at Sixth Ave;;Gramercy/Flatiron;(212-206-0555);French
Allen & Delancey;;115 Allen St;at Delancey St;;Lower East Side;(212-253-5400);American Creative
Alloro;;307 E 77th St;between First and Second Aves;;Upper East Side;(212-535-2866);Italian
Alma Grill;;134 E 48th St;at Lexington Ave;;Midtown East;(212-593-5900);American Creative
Almond;;12 E 22nd St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-228-7557);French
Aloe Restaurant;;406 E 9th St;between First Ave and Avenue A;;East Village;(212-358-8400);American Creative
Alonso’s Steakhouse;;265 W 20th St;between Seventh and Eighth Aves;;Chelsea;(212-675-7749);Steakhouses
Alouette;;2588 Broadway;between 97th and 98th Sts;;Upper West Side;(212-222-6808);French
Alphabet Scoop;;543 E 11th St;between Aves A and B;;East Village;(212-982-1422);Food or Beverage Shop
Alta;;64 W 10th St;between Fifth and Sixth Aves;;Greenwich Village;(212-505-7777);Mediterranean
Alto;;11 E 53rd St;;;Midtown East;(212-308-1099);Italian
Ama;;48 MacDougal St;between Houston and Prince Sts;;Soho;(212-358-1707);Italian
Amai Tea & Bake House;;171 Third Ave;between 16th and 17th Sts;;Gramercy/Flatiron;(212-863-9630);Cafés & diners
Amaranth;;21 E 62nd St;between Fifth and Madison Aves;;Upper East Side;(212-980-6700);Mediterranean
Amber;;1406 Third Ave;at 80th St;;Upper East Side;(212-249-5020);Japanese
Amber;;221 Columbus Ave;at 70th St;;Upper West Side;(212-799-8100);Japanese
Amish Market;;53 Park Pl;at West Broadway;;Financial District;(212-608-3863);Food or Beverage Shop
Amma;;246 E 51st St;between Second and Third Aves;;Midtown East;(212-644-8330);Indian
Ammos;;52 Vanderbilt Ave;at 45th St;;Midtown East;(212-922-9999);Greek
Amor Cubano;;2018 Third Ave;at 111th St;;East Harlem;(212-996-1220);Caribbean: Cuban
Amsterdam Restaurant and Tapas Lounge;;1207 Amsterdam Ave;between 119th and 120th Sts;;Columbia University–City College;(212-662-6330);Mediterranean
Amy Ruth’s;;113 W 116th St;between Malcolm X Blvd (Lenox Ave) and Adam Clayton Powell Jr. Blvd (Seventh Ave);;Harlem;(212-280-8779);American Regional
Amy’s Bread;;672 Ninth Ave;between 46th and 47th Sts;;Midtown West;(212-977-2670);Cafés
Amy’s Bread;;75 Ninth Ave;between 15th and 16th Sts;;Chelsea;(212-462-4338);Cafés
Amy’s Bread;;250 Bleecker St;between Carmine and Leroy Sts;;West Village;(212-675-7802);Cafés
An American Place;Lord & Taylor;;424 Fifth Ave;at 38th St;fifth floor;Midtown East;(212-827-5068)
Andavi;;91 Christopher St;at Bleecker St;;West Village;(212-604-9696);Italian
Angelica Kitchen;;300 E 12th St;between First and Second Aves;;East Village;(212-228-2909);Vegetarian & Organic
Angelina;;36B Ave A;between 2nd and 3rd Sts;;East Village;(212-533-7183);Eclectic
Angelo & Maxie’s;;233 Park Ave South;at 19th St;;Gramercy/Flatiron;(212-220-9200);Steakhouses
Angelo’s of Mulberry Street;;146 Mulberry St;between Grand and Hester Sts;;Chinatown/Little Italy;(212-966-1277);Italian
Angon on Sixth;;320 E 6th St;between First and Second Aves;;East Village;(212-260-8229);Indian
Angus McIndoe;;258 W 44th St;between Seventh and Eighth Aves;;Midtown West;(212-221-9222);American
Anh (CLOSED);;363 Third Ave;between 26th and 27th Sts;;Gramercy/Flatiron;(212-532-2858);Vietnamese
Anna Maria;;112 E 23rd St;between Park and Lexington Aves;;Gramercy/Flatiron;(212-777-3200);Italian
Annisa;;13 Barrow St;between Bleecker and W 4th Sts;;West Village;(212-741-6699);American Creative
Anthos;;36 W 52nd St;between Fifth and Sixth Aves;;Midtown West;(212-582-6900);Greek
Antibes Bistro;;127 First Ave;between 7th and 8th Sts;;East Village;(212-533-6088);French
Antica Venezia;;396 West St;at W 10th St;;West Village;(212-229-0606);Italian
Antique Garage;;41 Mercer St;between Broome and Grand Sts;;Soho;(212-219-1019);Mediterranean
Antonucci;;170 E 81st St;between Lexington and Third Aves;;Upper East Side;(212-570-5100);Italian
Anyway Cafe;;34 E 2nd St;at Second Ave;;East Village;(212-473-5021);Russian
AperiTIVO;;780 Third Ave;at 48th St;;Midtown East;(212-758-9402);Italian
Apiary;;60 Third Ave;between 10th and 11th Sts;;East Village;(212-254-0888);American
Apizz;;217 Eldridge St;at Stanton St;;Lower East Side;(212-253-9199);Italian
Aquagrill;;210 Spring St;at Sixth Ave;;Soho;(212-274-0505);Seafood
Aquavit;;65 E 55th St;between Madison and Park Aves;;Midtown West;(212-307-7311);Eclectic
Arabelle;Plaza Athénée;;37 E 64th St;between Madison and Park Aves;Upper East Side;(212-606-4647);American Creative
Arcane;;111 Ave C;between 7th and 8th Sts;;East Village;(212-777-0477);French
Archipelago (CLOSED);;333 Hudson St;at Charlton St;;Soho;(212-243-3345);Japanese
Arezzo (CLOSED);;46 W 22nd St;between Fifth and Sixth Aves;;Chelsea;(212-206-0555);Italian
Ariana Afghan Kebab;;787 Ninth Ave;between 52nd and 53rd Sts;;Midtown West;(212-262-2323);Afghan
Arium;;31 Little West 12th St;between Greenwich and Washington Sts;;Meatpacking District;(212-463-8630);Cafés & diners
Ariyoshi;;806 Broadway;between 11th and 12th Sts;;East Village;(212-388-1884);Japanese
Arlo & Esme;;42 E 1st St;between First and Second Aves;;East Village;(212-777-5617);Food or Beverage Shop
Armani/Ristorante 5th Avenue;717 Fifth Ave;;;;;;
Aroma Espresso Bar;;145 Greene St;at Houston St;;Greenwich Village;(212-533-1094);Cafés & diners
Aroma Espresso Bar;Daily 6am–11pm;;;;;;
Aroma Espresso Bar;;161 W 72nd St;between Columbus and Amsterdam Aves;;Upper West Side;(no phone yet);Cafés & diners
Aroma Kitchen & Winebar;;36 E 4th St;between Bowery and Lafayette St;;East Village;(212-375-0100);Italian
Arqua;;281 Church St;at White St;;Tribeca;(212-334-1888);Italian
Arriba Arriba!;;762 Ninth Ave;at 51st St;;Midtown West;(212-489-0810);Mexican
Artevino;;274 Columbus Ave;between 72nd and 73rd Sts;;Upper West Side;(212-875-2195);Italian
Artichoke Basille's Pizza & Brewery;;328 E 14th St;between First and Second Aves;;East Village;(212-228-2004);Italian
Artie’s Delicatessen;;2290 Broadway;at 83rd St;;Upper West Side;(212-579-5959);American
Artisanal;;2 Park Ave;at 32nd St;;Midtown East;(212-725-8585);French
Artisanal Cheese Center;;500 W 37th St;at Tenth Ave;;Midtown West;(212-239-1200);French
Arturo’s Pizzeria;;106 W Houston St;at Thompson St;;Greenwich Village;(212-677-3820);Italian: Pizza
Arté;;21 E 9th St;between Fifth Ave and University Pl;;Greenwich Village;(212-473-0077);Italian
Asia de Cuba;Morgans Hotel;;237 Madison Ave;between 37th and 38th Sts;Midtown East;(212-726-7755);Asian: Pan-Asian
Asiakan;;710 Amsterdam Ave;between 94th and 95th Sts;;Upper West Side;(212-280-8878);Asian: Pan-Asian
Asian Bistro;70 Seventh Ave;;;;;;
Asiana?Restaurant & Bar?;;120 East 34th Street;between Lexington and Park Aves;;Midtown East;(212-712-7666);Asian: Pan-Asian
Asiate;Mandarin Oriental Hotel in the Time Warner Center;;80 Columbus Circle;at 60th St;Midtown West;(212-805-8881);Asian: Pan-Asian
Askew;;504 La Guardia Pl;between Bleecker and Houston Sts;;Greenwich Village;(212-529-3560);Eclectic
Aspen;;30 W 22nd St;between Fifth and Sixth Aves;;Gramercy/Flatiron;(212-645-5040);American Creative
Aspen Social Club;;157 W 47th St;between Sixth and Seventh Aves;;Midtown West;(212-221-7200);American
Assenzio;;205 E 4th St;between Aves A and B;;East Village;(212-677-9466);Italian
Astor Center;399 Lafayette St;;;;;;
Astor Wines & Spirits;;399 Lafayette St;at 4th St;;Greenwich Village;(212-674-7500);Food or Beverage Shop
At Vermilion;;480 Lexington Ave;at 46th St;;Midtown East;(212-871-6600);Eclectic
Ate Ave;;169 Eighth Ave;between 18th and 19th Sts;;Chelsea;(646-763-8355);American
Atlantic Grill;;1341 Third Ave;between 76th and 77th Sts;;Upper East Side;(212-988-9200);Seafood
Atlas;73 Second Ave;;;;;;
Atomic Wings;;184 First Ave;between 11th & 12th;;East Village;(212-505-7272);American
Atomic Wings;;528 Ninth Ave;between 39th and 40th Sts;;Midtown West;(212-760-9090);American
Atomic Wings;;179 W 4th St;between 6th and 7th Sts;;West Village;(212-627-9500);American
Atomic Wings @ Bar Coastal;;1495 First Ave;at 78th St;;Upper East Side;(212-772-8400);American
Atomic Wings @ The Blue Room;;1140 Second Ave;at 60th St;;Upper East Side;(212-888-5777);American
Atria;;13–15 W 54th St;between Fifth and Sixth Aves;;Midtown West;(212-262-4600);Eclectic
August;;359 Bleecker St;between Charles and W 10th Sts;;West Village;(212-929-4774);Eclectic
Aureole;;34 E 61st St;between Madison and Park Aves;;Upper East Side;(212-319-1660);American Creative
Aurora;;510 Broome St;between Thompson St and West Broadway;;Soho;(212-334-9020);Italian
Aurora Soho;;510 Broome St;between Thompson St and West Broadway;;Soho;(212-334-9020);Italian
Automatic Slims;;733 Washington St;at Bank St;;West Village;(212-645-8660);American Regional
Avenue A Sushi;;103 Ave A;between 6th and 7th Sts;;East Village;(212-982-8109);Japanese
Avon Bistro;;155 E 52nd St;between Lexington and Third Aves;;Midtown East;(212-752-9587);Eclectic
Avra;;141 E 48th St;between Lexington and Third Aves;;Midtown East;(212-759-8550);Greek
Awash;;947 Amsterdam Ave;between 106th and 107th Sts;;Upper West Side;(212-961-1416);African: Ethiopian
Awash;;338 E 6th St;between First and Second Aves;;East Village;(212-982-9589);African: Ethiopian
Ayurveda Café;;706 Amsterdam Ave;at 94th St;;Upper West Side;(212-932-2400);Indian
Ayza Café and Wine Bar;;11 W 31st St;between Fifth Ave and Broadway;;Midtown East;(212-714-2992);Eclectic
Azafrán;;77 Warren St;between Greenwich St and West Broadway;;Financial District;(212-284-0577);Spanish
Azalea;;224 W 51st St;between Broadway and Eighth Aves;;Midtown West;(212-262-0105);Italian
Azucar;;939 Eighth Ave;between 55th and 56th Sts;;Midtown West;(212-262-5354);Caribbean: Cuban
Azul Argentine Bistro;;152 Stanton St;at Suffolk St;;Lower East Side;(646-602-2004);Argentine
Azáza;;891 First Ave;at 50th St;;Midtown East;(212-751-0700);Chinese
B Bar and Grill;;40 E 4th St;at Bowery;;East Village;(212-475-2220);American
B-Bap Fusion Rice Bar;;830 Ninth Ave;between 54th and 55th Sts;;Midtown East;(212-315-0033);Korean
B. Cafe;;240 E 75th St;between Second and Third Aves;;Upper East Side;(212-249-3300);Belgian
B. Cafe West;;566 Amsterdam Ave;between 87th and 88th Sts;;Upper West Side;(212-873-0003);Belgian
B. Smith’s Restaurant;;Barbara Smith;a lifestyle guru who’s sort of like Martha Stewart;;only not a convicted felon;offers “global cuisine” at her relaxing restaurant....;American Regional
B. Smith’s Restaurant;;320 W 46th St;between Eighth and Ninth Aves;;Midtown West;(212-315-1100);American Regional
B3 Restaurant & Lounge;;33 Ave B;at 3rd St;;East Village;(212-614-9755);American
BB Sandwich Bar;;120 W 3rd St;between MacDougal St and Sixth Ave;;Greenwich Village;(212-473-7500);American
BCD Tofu House;;17 W 32nd St;between Fifth Ave and Broadway;;Midtown West;(212-967-1900);Korean
BG;;754 Fifth Ave;between 57th and 58th Sts;;Midtown East;(212-872-8977);Cafés
BLT Burger;;470 Sixth Ave;between 11th and 12th Aves;;Greenwich Village;(212-243-8226);American
BLT Fish;;21 W 17th St;between Fifth and Sixth Aves;;Chelsea;(212-691-8888);Seafood
BLT Market;Ritz Carlton New York;;Central Park;1430 Sixth Ave;at Central Park South;Midtown West;(212-521-6125)
BLT Prime;;111 E 22nd St;between Park Ave South and Lexington Ave;;Gramercy/Flatiron;(212-995-8500);Steakhouses
BLT Steak;;106 E 57th St;between Park and Lexington Aves;;Midtown East;(212-752-7470);Steakhouses
BRGR;;287 Seventh Ave;between 26th and 27th Sts;;Chelsea;(212-488-7500);American
BXL Cafe;;125 W43rd St;between Sixth and Seventh Ave;;Midtown West;(212-768-0200);Belgian
Babbo;;110 Waverly Pl;between MacDougal St and Sixth Ave;;Greenwich Village;(212-777-0303);Italian
Babouche;;92 Prince St;at Mercer St;;Soho;(212-219-8155);Moroccan
Baby Cakes;;248 Broome St;between Ludlow and Orchard Sts;;Lower East Side;(212-677-5047);Cafés & diners
Bacaro;;136 Division St;between Ludlow and Orchard Sts;;Lower East Side;(212-941-5060);Italian
Back Forty;;190 Ave B;between 11th and 12th Sts;;East Village;(212-388-1990);American
Bagatelle;;409 W 13th St;between Ninth Ave and Washington St;;Meatpacking District;(212-675-2400);French
Bagicha (CLOSED);;226 W 79th St;at Broadway;;Upper West Side;(212-362-1767);Indian
Baldo Vino;;126 E 7th St;between First Ave and Ave A;;East Village;(212-979-0319);Italian
Baldoria;;249 W 49th St;between Broadway and Eighth Ave;;Midtown West;(212-582-0460);Italian
Bali Nusa Indah;;651 Ninth Ave;between 45th and 46th Sts;;Midtown West;(212-974-1875);Asian: Indonesian
Balthazar;;80 Spring St;between Broadway and Crosby St;;Soho;(212-965-1414);French
Baluchi’s;;329 Third Ave;between 24th and 25th Sts;;Gramercy/Flatiron;(212-679-3434);Indian
Baluchi’s;;224 E 53rd St;between Second and Third Aves;;Midtown East;(212-750-5515);Indian
Baluchi’s;;240 W 56th St;between Broadway and Eighth Ave;;Midtown West;(212-397-0707);Indian
Baluchi’s;;104 Second Ave;between 6th and 7th Sts;;East Village;(212-780-6000);Indian
Baluchi’s;;1565 Second Ave;between 81st and 82nd Sts;;Upper East Side;(212-288-4810);Indian
Baluchi’s;;361 Sixth Ave;between Washington Pl and W 4th St;;West Village;(212-929-2441);Indian
Baluchi’s;;275 Greenwich St;at Water St;;Financial District;(212-571-5343);Indian
Baluchi’s;;193 Spring St;between Sullivan and Thompson Sts;;Soho;(212-226-2828);Indian
Baluchi’s;;1431 First Ave;between 74th and 75th Sts;;Upper East Side;(212-396-1400);Indian
Baluchi’s;;1149 First Ave;at 63rd St;;Upper East Side;(212-371-3535);Indian
Baluchi’s;;1724 Second Ave;between 88th and 89th Sts;;Upper East Side;(212-996-2600);Indian
Baluchi’s (CLOSED);;283 Columbus Ave;between 73rd and 74th Sts;;Upper West Side;(212-579-3900);Indian
Baluchi’s (CLOSED);;111 E 29th St;between Park Ave South and Lexington Ave;;Gramercy/Flatiron;(212-481-4545);Indian
Bamboo 52;;344 W 52nd St;between Eighth and Ninth Aves;;Midtown West;(212-315-2777);Asian: Pan-Asian
Bamiyan;;358 Third Ave;at 26th St;;Gramercy/Flatiron;(212-481-3232);Afghan
Bamn!;;37 St. Marks Pl;at Second Ave;;East Village;(888-400-2266);Eclectic
Bamn! (CLOSED);37 St. Marks Pl;;;;;;
Banana Leaf;;103 Lexington Ave;between 27th and 28th Sts;;Gramercy/Flatiron;(212-481-9100);Indian
Banc Café;;431 Third Ave;at 30th St;;Midtown East;(212-252-0146);French
Bandol Bistro;;181 E 78th St;between Lexington and Third Aves;;Upper East Side;(212-744-1800);French
Banjara;;97 First Ave;at 6th St;;East Village;(212-477-5956);Indian
Bann;;350 W 50th St;at Ninth Ave;;Midtown West;(212-582-4446);Korean
Bao Noodles;;391 Second Ave;between 22nd and 23rd Sts;;Gramercy/Flatiron;(212-725-7770);Vietnamese
Baoguette;;61 Lexington Ave;between 25th and 26th Sts;;Gramercy/Flatiron;(212-518-4089);Vietnamese
Bar 6;;502 Sixth Ave;between 12th and 13th Sts;;Greenwich Village;(212-691-1363);French
Bar Americain;;152 W 52nd St;between Sixth and Seventh Aves;;Midtown West;(212-265-9700);American Regional
Bar Baresco;;191 Seventh Ave;between 21st and 22nd Sts;;Chelsea;(212-675-5935);Italian
Bar Blanc;;142 W 10th St;between Greenwich Ave and Waverly Pl;;West Village;(212-255-2330);French
Bar Boulud;;1900 Broadway;at 64th St;;Upper West Side;(212-595-0303);French
Bar Breton;;254 Fifth Ave;between 28th and 29th Sts;;Gramercy/Flatiron;(212-213-4999);French
Bar Carrera;;175 Second Ave;between 11th and 12th Sts;;East Village;(212-375-1555);Spanish
Bar Carrera;;146 W Houston St;at MacDougal St;;Soho;(212-253-9500);Spanish
Bar Martignetti;;406 Broome St;at Cleveland Pl;;Chinatown/Little Italy;(212-680-5600);French
Bar Martignetti (CLOSED);406 Broome St;;;;;;
Bar Masa;Time Warner Center;;10 Columbus Circle;at 60th St;fourth floor;Upper West Side;(212-823-9800)
Bar Milano (CLOSED);;323 Third Ave;at 24th St;;Gramercy/Flatiron;(212-683-3035);Italian
Bar Pitti;;268 Sixth Ave;between Bleecker and Houston Sts;;Greenwich Village;(212-982-3300);Italian
Bar Q;;308–310 Bleecker St;between Seventh Ave South and Grove St;;West Village;(212-206-7817);Eclectic
Bar Q (CLOSED);308–310 Bleecker St;;;;;;
Bar Room at the Modern;;9 W 53rd St;between Fifth and Sixth Aves;;Midtown West;(212-333-1220);American Creative
Bar Stuzzichini;;928 Broadway;between 21st and 22nd Sts;;Gramercy/Flatiron;(212-780-5100);Italian
Bar Veloce;;176 Seventh Ave;between 20th and 21st Sts;;Chelsea;(212-629-5300);Italian
BarBao;;100 W 82nd St;at Columbus Ave;;Upper West Side;(212-501-0776);Vietnamese
BarBossa;;232 Elizabeth St;between Houston and Prince Sts;;Chinatown/Little Italy;(212-625-2340);Brazilian
BarFry (CLOSED);;50 Carmine St;between Bedford and Bleecker Sts;;West Village;(212-929-5050);Japanese
Baraonda;;1439 Second Ave;at 75th St;;Upper East Side;(212-288-8555);Italian
Barbarini Alimentari;;225 Front St;between Beekman St and Peck Slip;;Financial District;(212-227-8890);Italian
Barbarini Mercato;;227 Front St;between Beekman St and Peck Slip;;Financial District;(212-608-9622);Food or Beverage Shop
Barbes;;21 E 36th St;between Fifth and Madison Aves;;Midtown East;(212-684-0215);Moroccan
Barbetta;;321 W 46th St;between Eighth and Ninth Aves;;Midtown West;(212-246-9171);Italian
Barbounia;;250 Park Ave South;at 20th St;;Gramercy/Flatiron;(212-995-0242);Mediterranean
Barbuto;;775 Washington St;between Jane and W 12th Sts;;Meatpacking District;(212-924-9700);Italian
Barcibo Enoteca;;2020 Broadway;between 69th and 70th Sts;;Upper West Side;(212-595-2805);Italian
Barking Dog Luncheonette;;1678 Third Ave;at 94th St;;Upper East Side;(212-831-1800);American
Barking Dog Luncheonette;;150 E 34th St;between Lexington and Third Aves;;Midtown East;(212-871-3900);American
Barking Dog Luncheonette;;1453 York Ave;at 77th St;;Upper East Side;(212-861-3600);American
Barna;;365 Park Ave South;at 26th St;;Gramercy/Flatiron;(212-532-8300);Spanish
Barney Greengrass;;541 Amsterdam Ave;between 86th and 87th Sts;;Upper West Side;(212-724-4707);American
Barocco Hots;;94 Greenwich Ave;between 12th and 13th Sts;;West Village;(212-366-5936);Italian
Barocco To Go;;297 Church St;between White and Walker Sts;;Tribeca;(212-431-0065);Italian
Barocco To Go;;121 Greenwich Ave;between 12th and 13th Sts;;West Village;(212-366-6110);Italian
Barocco To Go;;43 W 22nd St;between Fifth and Sixth Aves;;Chelsea;(646-336-1375);Italian
Barolo;;398 West Broadway;between Broome and Spring Sts;;Soho;(212-226-1102);Italian
Basera;;357 E 50th St;between First and Second Aves;;Midtown East;(212-757-4545);Indian
Basera Indian Bistro;;745 Ninth Ave;between 50th and 51st Sts;;Midtown West;(212-757-9787);Indian
Basta Pasta;;37 W 17th St;between Fifth and Sixth Aves;;Chelsea;(212-366-0888);Italian
Batch;;150B W 10th St;at Waverly Pl;;West Village;(212-929-0250);Asian: Pan-Asian
Battery Gardens;Battery Park;;across from 17 State St;at Pearl St;Financial District;(212-809-5508);American
