restaurant;address;country
19th Street Food Extravaganza;51 W 19th St # 1;New York
1st Avenue Grocery & Deli;2239 1st Avenue;New York
2 Rivers Restaurant and Bar;10 Murray Street;New York
2 Seven 7;2 Seven 7;
2 Seven 7;277 Church St;New York
20 Mott St Restaurant;20 Mott St # 1;New York
2020;20 Warren;New York
2026 China King;2026 Lexington Av;New York
206 East 60ST Corporation;204 East 60th Street;New York
207 Grocery Store Corporation;528 West 207th Street;New York
21 Club;21 W 52nd St;New York
21 Club Restaurant;145 West 45 Street Suite 601;New York
211 New Taco Grill;211 East 14;New York
212 Fukumatsu Restaurant;212 East 52nd Street;New York
212 RESTAURANT;133 E 65 St;New York
213 Grand St Gourmet Inc;213 Grand Street;New York
213 Park Ave South Deli;213 Park Ave S;New York
2176 Grocery & Deli;2176 2nd Avenue;New York
21st Century Training Center;541 Avenue Of The Americ;New York
224 Avenue B Inc;224 Avenue B;New York
2252 5 Avenue Grocery;2252 5th Avenue;New York
23 Lexington Inc;23 Lexington Avenue;New York
235 9 Av;235 9 Av;New York
236 Columbus Farm Corporation;236 Columbus Avenue;New York
238 Madison Bistro;238 Madison Ave;
23rd St Food Plus;67 West 23rd Street;New York
24 8;240 Mulberry Street;New York
24 Deli Dot Com;262 West 38th Street Suite #1406;New York
24 Prince;24 Prince;New York
2413 Adam Clayton Powell Jr Grocery Inc;2413 Adam Clayton Powell;New York
243 Deli Grocery;243 Mulberry Street;New York
2561 Corp;2455 Broadway;New York
26 Seats;168 Avenue B;New York
26 St Deli;132 West 26th Street;New York
27 De Febrero Restaurant;1242 Saint Nicholas Avenue;New York
27 Standard;116 E 27th St;New York
274 Columbus Corp;274 Columbus Av;New York
28 Noodles;417 3 Av;New York
28 Noodles;28 Noodles;
2806 Deli & Grocery;2806 Frederick Douglass B;New York
2807 Deli Grocery Corp;2807 8 Av;New York
285 St Nicholas Deli;285 St Nicholas Av;New York
29 St Marks Place Restaurant Inc;29 St Marks Pl;New York
292 Cafe Inc;292 5th Avenue Floor 4;New York
29th Street Deli;264 5th Avenue;New York
3 Deli & Grill Inc;133 East 55;New York
30 Boca Corporation;30 West 48th Street Frnt 1;New York
307 E 54th Street Corp;307 E 54th St;New York
312 W 58stcoliseum;312 W 58th St # 1;New York
312 W 58stcoliseum;312 W 58stcoliseum;
324 Bowery Food Inc;324 Bowery;New York
343 Restaurant;343 East 85;New York
3451 Broadway Restaurant Inc;3451 Broadway;New York
35 Smoke & Grill;35 Lispenard;New York
356 W 44 St Inc;356 West 44th Street Frnt;New York
36 Bar & BBQ;5 West 36th Street Frnt;New York
362 Deli & Pizza;362 West Broadway;New York
362 Deli & Pizza;Pizzeria;
37 Peter Corp;9 East 37;New York
38th St Restaurant & Bakery;273 W 38th St;New York
39 Deli;335 Lexington Av;New York
3C'S Restaurant;241 Canal Street;New York
3Z Restaurant;280 Broadway;New York
3rd Avenue Deli Grocery;1850 3rd Avenue;New York
3rd Avenue Garden;1616 3rd Avenue;New York
4 Jays Cafe;31 West 47;New York
40/40 Club;6 West 25th Street;New York
400 W 23 St Restaurant Corp;400 W 23rd St;New York
4105 Food Plaza Inc;4105 Broadway;New York
4199 Crystal Too Corp;597 West 207;New York
420 Bar and Lounge;420 Amsterdam Avenue;New York
42nd Green Tree Food Inc;42 8th Avenue;New York
42nd Green Tree Food Inc;42nd Green Tree Food Inc;
42nd Street Eatery;234 West 42nd Street;New York
42nd Street Pizza Corporation;647 West 42nd Street;
43rd Street Restaurant LLC;800 2 Av;New York
44;44 W 44th St;New York
44 South West Italian Rest;621 9th Ave;New York
44.5;626 10 Av;New York
45 St Nicholas Food Corporation;123 West 112th Street;New York
450 Park LLC;450 Park Avenue Bsmt;New York
46 Grand St;46 Grand;New York
46 St Bakery;161 West 46;New York
48 Theater Deli;62 West 48th Street Apt 3R;New York
48 West 48th Grocery Inc;48 W 48th St;New York
48th Street Cafe Inc;6 E 48th St;New York
5 & 10 No Exaggeration;77 Greene St;New York
500 Cafe;9 W 42nd St;New York
500 Station Grocery Deli;500 W 213th St;New York
5035 Broadway Food Inc;5035 Broadway;New York
50th St Restaurant Operating LLC;805 3 Av;New York
510 E 11 Street Corporation;510 East 11th Street Apt 1;New York
5162;2040 5th Avenue;New York
520 Asian Restaurant Corp;520 8 Av;New York
53 St Deli;437 West 53;New York
536 Madison Avenue Restaurant;536 Madison Ave;New York
540 Park Restaurant;540 Park Ave;New York
54th Street Ltd Partners;3 E 54th St # 1265;New York
55 Wall;55 Wall Street;New York
550 8th Ave Restaurant Corp;265 W 37th St # 550;New York
56 Cafe Restaurant;1377 Avenue Of The Americas;New York
57 St Bake Corp;153 West 57;New York
57 St Pizza Corporation;862 10th Avenue Frnt;New York
5757 Restaurant;5757 Restaurant;
5757 Restaurant;57 East 57th Street;New York
580 2nd AV Food Corporation;1500 3rd Avenue;New York
588 Restaurant Corp Caridad;588 Amsterdam Av;New York
5th Avenue Cafe;2 E 14th St;New York
6 Av Finest Deli;761 Avenue Of The Americas;New York
609 Madison Market Inc;36 East 58th Street Frnt;New York
612 Gourmet Deli Corporation;612 8th Avenue;New York
62 Pearl Rice & Noodle Inc;62 Pearl Street;New York
65th Street Restaurant;60 East 65th Street;New York
67 Liberty Gourmet;67 Liberty Street;New York
67 Macombs Deli Grocery;67 Macombs Pl;New York
69 Mott Street Restaurant;69 Mott Street;New York
7 Ignicks Restaurant Inc;132 Ludlow Street;New York
7 St Food Vegetable & Grocery Inc;118 1st Avenue;New York
7-11 Associates Inc;109 Greene St;New York
71 Clinton Fresh Food;71 Clinton Street;New York
71 Irving Place Coffee & Tea Bar;71 Irving Place Frnt;New York
719 Brother Famous Deli;719 9 Av;New York
75 Park Place Farm Inc;75 Park Place;New York
76 York Healthy Food Cafe;1443 York Avenue;New York
77493;1633 Broadway;
79 Baxter Pub Inc;79 Baxter Street Apt 4;New York
79 Street Boat Basin Cafe;;New York
7th Avenue Deli;833 7 Av;New York
7th Avenue Deli Grocery;2299 Adam Clayton Powell;New York
8 AV Deli & Flowers;931 8th Avenue;New York
81 Farm Deli;201 East 81st Street Frnt;New York
81 Pearl Chinese Restaurant;81 Pearl Street;New York
810 Deli Inc;810 7th Avenue;New York
82-Lugan Food Corporation;2125 3rd Avenue;New York
82nd Street Deli;1577 2nd Avenue;New York
837 Deli Inc;837 Avenue Of The Americ;New York
85 Down;85 Avenue A;New York
875 Third Ave Metro Coffee Shop;875 3rd Ave;New York
879 Taco;1229 1st Avenue;New York
87th Deli & Grocery;1685 1st Avenue;New York
88 Allen Kitchen Inc;88 Allen;New York
88 Lex Grill Inc;1332 Lexington Ave;New York
88 Noodle House;565 Columbus Avenue;New York
88 Palace Restaurant;88 East Broadway;New York
888 Great Wall Kitchen;2722 8th Ave;New York
89 Gourmet Deli;1718 2nd Avenue Apt 2C;New York
90 St Grocery;1733 1st Avenue;New York
910 8 AV Corporation;802 9th Avenue Frnt;New York
915 Pub;915 2nd Avenue;New York
92nd Street Gourmet Deli & Grocery;1766 2nd Ave;New York
92nd Street Gourmet Deli & Grocery;301 East 92nd Street;New York
96 Rose Deli & Grocery;104 West 96;New York
964 Jumbo Pizza Coffee Shop;964 Amsterdam Avenue Bsmt;New York
99 Hudson Street Restaurant and Lounge;99 Hudson Street;New York
99 Miles To Philly;94 3 Av;New York
99 Miles To Philly Inc;94 3 Av;New York
99 Second Restaurant;99 2nd Ave;New York
999 Union Farm Corp;999 3rd Ave;New York
A & A Deli & Bagels Inc;95 Delancey Street;New York
A & B Deli Inc;251 Avenue Of The Americ;New York
A & B Restaurant;2134 8th Ave;New York
A & C Kitchen;136 Avenue C;New York
A & J Grand Enterprise Inc;64 Fulton;New York
A & K News & Candy Store Inc;162 East Bway;New York
A & M Roadhouse;57 Murray St;New York
A & M Seafood;2032 Madison Ave;New York
A & N Falfel;2715 Broadway;New York
A & R West Indian Restaurant;2345 8th Ave;New York
A & S Delicatessen;737 9th Avenue;New York
A & S Grovery Deli;25 W 37th St;New York
A & S Restaurant;2118 3rd Ave # 116;New York
A & Three S Food Corporation;55 West 47th Street Unit 355;New York
A & Y Food Center;1470 Lexington Av;New York
A J Kelly;6 Stone Street;New York
A LA Creole;317 West 141st Street;New York
A La Brasa;2651 Broadway;New York
A La Turka;1417 2nd Avenue @ 74th Street;New York
A M H Deli & Grocery;880 Amsterdam Av;New York
A Marok Bar & Grill;32 Cliff Street;New York
A Restaurant Charlotte;145 W 44th St;New York
A Salt & Battery;80 2nd Avenue Frnt;New York
A Slice of New York;727 8th Avenue;New York
A Taste Of Seafood;50 E 125th St;New York
A Taste Siam Thai Restauarnt;180 2nd Ave;New York
A Tavola Italian Diner;American;
A Tavola Italian Diner;1095 Lexington Ave;New York
A-1 Pizza Shop;505 Grand Street;New York
A-Mix 1;120 East 34;New York
A.O.C.;314 Bleecker Street;New York
ABID Inc DBA Subway;165 Church Street;New York
AER Restaurant;409 West 13;New York
AJ Maxwell's Steakhouse;57 W. 48th Street;New York
AJA;1068 First Avenue;New York
AKI On West 4th;181 West 4th Street;New York
AKI Sushi;366 West 52nd Street;New York
AL Bacio;710 2nd Avenue;New York
AL Dente;417 Amsterdam Avenue;New York
AL Forno;1484 2nd Avenue Frnt;New York
AL Halal Fast Food Inc;94 Saint Nicholas Place;New York
ALCA Pizza & Chicken Restaurant;3771 Broadway;New York
ALT Coffee Inc;Coffee Shop;
ALT Coffee Inc;137 Avenue A;New York
AMI Delicatessen;1493 1 Av;New York
ANAN Joyti Corporation;330 West 38th Street;New York
ARA;24 9th Avenue;New York
ARKA Lounge Inc;4488 Broadway;New York
ARTseen Inc.;28 East Tenth Street Apt. 9B;New York
AVI Taam-Tov Corporation;46 West 47th Street;New York
AVRA Restaurant;141 East 48th Street;New York
AYZA Wine & Chocolate Bar;11 West 31st Street;New York
AZUL East Inc;152 Stanton Street;New York
Aahirahs Palace;108 W 116th St;New York
Aangan Restaurant;330 W 46th St;New York
Aar Restaurants;509 Madison Ave;New York
Abbey Restaurant;237 West 105th Street Frnt 1;New York
Abbey Tavern;354 3rd Ave;New York
Abby Restaurant & Bar;254 5th Ave;New York
Abdul Alkandi;700 10th Avenue;New York
Abigael's Restaurant & Catering;1407 Broadway;New York
Abigaels Ny Glatt Restaurant;9 E 37th St;New York
Abitino Pizzeria & Restaurant;947 1st Avenue;New York
Abitino Pizzeria & Restaurant;733 2nd Avenue Frnt;New York
Abitino Pizzeria & Restaurant;1435 Broadway;New York
Above;234 West 42nd Street;New York
Abruzzi Restaurant;37 West 56th Street Frnt;New York
Absolutely 4th;228 West 4th Street Frnt;New York
Abyssinia Ethiopian Restrnt;35 Grand St;New York
Acadaddin Restaurant;101 Lexington Ave # 27;New York
Academy Cafe;343 2nd Avenue;New York
Acappella;1 Hudson Street;New York
Ace Bar;531 East 5th Street Frnt;New York
Ace Luck Thai;530 9th Avenue;New York
Aces & Eights Saloon;1683 1st Ave;
Acme Bar & Grill;9 Great Jones St # 9;New York
Acme Pleating & Fagoting Corporation;147 West 26th Street Floor 2;New York
Acorn Food Svc;500 Pearl St;New York
Acosta Antonio;934 Amsterdam Avenue;New York
Acqua;718 Amsterdam Avenue;New York
Acquapazza;36 West 52nd Street;New York
Acropolis Food Of Health Square;1 Herald Sq;New York
Acropolis Restaurant;11 Fulton Street;New York
Across the Street Inc;444 East 91st Street;New York
Acuaplas Restaurant;111 E. 128 St.;New York
Acute Cafe;110 West Broadway;New York
Ada;208 East 58th Street;New York
Adham Deli Grocery;2240 Adam Clayton Powell;New York
Adi's Deli;46 West 36th Street;New York
Adiletto's;812 Washington;New York
Adiletto's;650 West 42;New York
Admirals Galley the Inc;160 South Street;New York
Adria Wine Bar;26 Prince;New York
Adriana Pizzeria;255 3rd Avenue;New York
Adrianne's Pizza Bar;54 Stone;New York
Adriatic Italian Restaurant;321 1st Ave;New York
Adrienne;700 5th Avenue;New York
Aegean Restaurant;221 Columbus Av;New York
Afghan Restaurant;34 Saint Marks Place;New York
Afghan Shish Kebab;789 9th Ave;New York
Afghanistan Kebab House;Afghan;
Afghanistan Kebab House;764 9th Avenue;New York
Afghanistan Kebab House;155 W 46th St;New York
Afghanistan Kebab House 2;1345 2nd Avenue;New York
Africa Restaurant;247 W 116th St;New York
Africa Restaurant;346 W 53rd St;New York
African Progress Restaurant;2795 Frederick Dglss Boulevard;New York
African Sisters;62 E 116th St Bet.madison&park;New York
Agan Cheng;63 Avenue D;New York
Agave Restaurant;140 7th Avenue;New York
Agora Restaurant;1586 1st Ave # 1586;New York
Agozar Restaurant & Lounge;more info: Cuban;
Agozar Restaurant & Lounge;324 Bowery Street;New York
Agra Indian & Pakistan;807 Lexington Avenue;New York
Agra Restaurant;807 Lexington Avenue;
Agrodolce Inc;Fast Food;
Agrodolce Inc;168 Sullivan;New York
Agua Caliente Enterprises;117 Dyckman Street;New York
Ah Chihuahua Chihuahua's;330 East 53rd Street;New York
Ahmady Foods Corp;3351 Broadway;New York
Ai-Chi Restaurant Corp;61 Grove;New York
Aiello's Pizza Emporium;383 3rd Avenue;New York
Ainolaphek Inc;17 E River Piers;New York
Aisifik Diner Corp;343 2nd Ave;New York
Aisifik Diner Corp;Diner;
Aix Restaurant;2398 Broadway;New York
Ajanta India Restaurant;1237 Amsterdam Avenue;New York
Ajisai Japanese Restaurant;1466 1st Avenue Frnt;New York
Ajisai Japanese Restaurant;Japanese;
Ajisen Noodle Restaurant Inc;14 Mott Street Frnt;New York
Akahi Inc;292 Madison Avenue Frnt;New York
Akaihana En Restaurant;2164 Broadway;New York
Akira Miyazaki Inc;251 W 55th St;New York
Al Bacio;1679 3rd Ave;New York
Al Bustan;827 Third Avenue;New York
Al Bustan Restaurant;827 3rd Avenue;New York
Al Diwan;210 Avenue A/13th St.;New York
Al Lee Luncheonette;190 Lenox Ave;New York
Al Ponte Vecchio Restaurant;206 Thompson St;New York
Al's Deli;34 Rutgers Street;New York
Al's Delicatessen & Catering;458 7 Av;New York
Al-Baraka Mediterranian;154 East 55th Street;New York
Al-Len Cafe Inc;173 Chambers Street;New York
Aladdin Hotel;317 W 45th St # NY;New York
Alain Ducasse at Essex House;160 Central Park South;New York
Alaska Food Market;108 9 Avenue;New York
Alaskan Feast;27 Fulton Market;New York
Alaya Grocery And Deli Corp;177 Audubon Av;New York
Alba Speciality Seafood CO;233 Water Street;
Alba Tratoria Restaurant Inc;331 West 38;New York
Alberto Lastreto Inc;214 West 29;New York
Albrm Realty;135 E 55th St # 5;New York
Aldailam Deli Market;316 Saint Nicholas Avenue;New York
Aleems Coffee Shop;46 W 21st St;New York
Aleo;7 W 20th St;New York
Aleo Restaurant;7 W 20th St;New York
Alex's Deli;95 Macdougal Street;New York
Alexi On;25 W 56th St;New York
Alfama Restaurant;551 Hudson;New York
Alhaklain Khalid;3680 Broadway;New York
Ali Baba Restaurant;126 Macdougal Street;New York
Ali Baba Restaurant;212 East 34th Street;New York
Ali Baba Terrace;862 2nd Avenue;New York
Ali Baba of West Side;515 Amsterdam Avenue;New York
Alias Restaurant;76 Clinton Street;New York
Alibi;116 Macdougal Street;New York
Alice's Tea Cup;102 West 73rd Street;New York
Alice's Tea Cup Chapter II;156 East 64;New York
Alison on Dominick Street;38 Dominick St;New York
Aljuhaiem Deli;207 Clinton Street;New York
All American Deli;42 Water Street;New York
All American Deli;American;
All American Health Bar;24 E 42nd St;New York
All American Water Street Deli;42 Water Street;New York
All Natural Ben & Jerry's All Natural Vr;2722 Broadway;New York
All State Cafe;250 West 72nd Street Frnt;New York
Allan Dell Enterprises;430 West 14th Street;New York
Allegria Restaurant;1350 Avenue Of The Americ;New York
Allen Friedberg Restaurant;205 W 39th St;New York
Alleys End Restaurant;311 W 17th St;New York
Allora Restaurant Inc;1321 1st Ave # 1;New York
Allora S P A Inc;90 West Houston Street Bsmt;New York
Alnaham Express Deli & Grocery;2176 2nd Avenue;New York
Aloe Restaurant;406 East 9th St.;New York
Aloha 44 Inc;67 West 44th Street;New York
Alonia Restaurant Corporation;600 East 14th Street;New York
Alonso's Steakhouse;263 West 19th Street;New York
Alonti Cafe;450 Lexington Ave;New York
Alonti Cafe;639 3rd Avenue;New York
Alonzos Restaurant;302 E 45th St;New York
Alouette;2588 Broadway;New York
Alpha Fusion NYC;365 W. 34th Street;New York
Alpha Fusion NYC;365 W 39th Street;New York
Alpha Fusion NYC;Fusion;
Alpha One;348 7th Avenue;New York
Alphabet Cafe;202 East 7th Street;New York
Alphabet Cafe;Cafe;
Alpine Gourmet Farm;480 Fashion Avenue;New York
Als Deli;197 Madison Street;New York
Alta Restaurant;64 West 10th Street;New York
Alva;36 West 22nd Street;New York
Alvarez Dalila;375 1st Avenue;New York
Always Delicious;3867 10th Avenue;New York
Ama Deli;3600 Broadway;New York
Ama Restaurant;48 Macdougal;New York
Amakusa Restaurant;143 East 47th Street;New York
Amaranth Restaurant;21 East 62nd Street Frnt;New York
Amarone Ristorante;686 9th Ave;New York
Amaya Thai;234 East 4th Street;New York
Ambassador Grill & Restaurant;1 United Nations Plz;New York
Amber Asian Cuisine;1406 3 Av;New York
Amber Gramercy;381 Third Avenue;New York
Ambrosia Restaurant;273 1 Av;New York
America;9 e 18th St;New York
American;New World;
American Cafe Health;160 Broadway;New York
American Choice Deli;111 Delancey Street;New York
American East Fuzhou Restaurant;54 East Broadway Frnt;New York
American Festival;600 5th Ave # 30;New York
American Festival Cafe;20 W 50th St;New York
American Museum Restaurant;79 Central Park W;New York
American Restaurant Inc;2130 Broadway;New York
American Trash;1471 1st Ave;New York
Ameriego;1370 York Ave;New York
Ameritania Hotel;230 W 54th St # NY;New York
Amici 36;519 8 Av;New York
Amici MIEI;475 Broadway;New York
Amin Indian Cuisine;Indian;
Amin Indian Cuisine;155 E 87th St;New York
Amir Restaurant Corp;36 Avenue A # B;New York
Amir's Falafel;2911 Broadway;New York
Amirs Falafel & Gyros;901 Avenue Of The Americas;New York
Amity Restaurants;1134 Madison Avenue Frnt;New York
Ammos;52 Vanderbilt Av;New York
Amore Pizza Restaurant;147 Chambers Street;New York
Amsterdam Cafe;1207 Amsterdam Avenue;New York
Amsterdam Deli;321 Amsterdam Avenue;New York
Amsterdam Deli;481 Amsterdam Avenue;New York
Amsterdam Finest Deli;720 Amsterdam Avenue;New York
Amsterdam Restaurant;283 Amsterdam Ave;New York
Amsterdam's Bar & Rotisserie;428 Amsterdam Avenue;New York
Amuse Restaurant;108 West 18th Street Lbby;New York
Amy Ruth's Restaurant;113 West 116th Street;New York
Amy's Bread Retail Shop;250 Bleecker Street;New York
Amy's Bread Retail Shop;672 9th Avenue;New York
Amy's Bread Retail/Wholesale;75 9th Avenue;New York
An American Place;565 Lexington Avenue;New York
An American Place Restaurante;2 Park Ave;New York
Ana Deli;203 7th Avenue Frnt;New York
Ana's;2686 Broadway;New York
Anche Vivolo;222 East 58th Street;New York
Andre French Restaurant;242 W 56th St;New York
Andreas' Brick Oven Ristorante;307 3rd Avenue;New York
Andrew's 35 St Coffee Shop;463 7 Av;New York
Andrew's Coffee Shop;116 John Street;New York
Andrew's Coffee Shop;246 West 38th Street;New York
Andrews Coffee Shop;136 5th Ave;New York
Andrews Coffee Shop;1410 Broadway;New York
Andrews Coffee Shop;164 Madison Street;New York
Andrews Coffee Shop;166 5th Ave;New York
Andrews Coffee Shop;138 East 43rd Street;New York
Andrews Coffee Shop;164 Madison Ave;New York
Andrusha Restaurant;1370 Lexington Ave # 1;New York
Andy's Deli;59 4 Av;New York
Andy's Deli;518 Amsterdam Avenue;New York
Andy's Deli;295 Amsterdam Avenue;New York
Andy's Deli;106 7th Avenue;New York
Andy's Restaurant;2262 3 Av;New York
Anesis Cafe;42 West 35th Street Lbby;New York
Angel's Ristorante;1135 1st Avenue Frnt;New York
Angela's;524 West 36;New York
Angela's Coffee Shop;805 West 187th Street;New York
Angela's Gourmet Deli;1428 Avenue Of The Americ;New York
Angelas Cuisine;913 2nd Ave;New York
Angelica Kitchen;300 East 12th Street;
Angelina Cafe;36 Avenue A;New York
Angelinos Pizza Restaurant;3861 Broadway;New York
Angelo & Maxies Steakhouse;233 Park Avenue South;New York
Angelo of Mulberry St Restaurant;146 Mulberry Street;New York
Angelo's Classic;131 8 Av;New York
Angelo's Coal Oven Pizzeria;117 West 57th Street;New York
Angelos Express;564 Amsterdam Ave;New York
Angelos Pizzeria;1043 2nd Avenue;New York
Angelos Pizzeria;1697 Broadway;New York
Angels;401 West 48th Street Frnt;New York
Angels Take Out;365 E 62nd St;New York
Angler's & Writers;420 Hudson Street;New York
Angon On the Sixth;320 East 6th Street Frnt;New York
Angus Mcindoe Restaurant;258 West 44th Street;New York
Anitas Deli & Grocery;180 Lexington Avenue;New York
Anju;36 East 20th St;New York
Anna Caona Restaurant;1590 Saint Nicholas Ave;New York
Anna Maria Pizza Too;1592 1st Avenue;New York
Anna Maria Pizzeria;1592 1st Avenue;New York
Anna Maria Pizzeria;112 East 23rd Street Frnt;New York
Annam Restaurant Inc;40 Carmine St;New York
Annapurna Indian Restaurant;108 Lexington Ave;New York
Anndon Restaurant Corporation;16 West 22nd Street Frnt;New York
Anneliese's Pastries & Fine Foods Inc;1516 1st Ave;New York
Annie Moores Bar & Restaurant;50 East 43rd Street;New York
Annie's Restaurant;1381 3rd Avenue Frnt;New York
Annisa;13 Barrow Street;New York
Another Good Location;1372 Broadway;New York
Another Taste Of Seafood;57 Lenox Av;New York
Anotheroom Inc;249 West Broadway;New York
Antaranga Inc;11 W 29th St;New York
Antica Venezia;396 West Street (corner of W 10th St.);New York
Antique Cafe;234 West 27;New York
Antojitos Criollo;239 9th Ave;New York
Antonio Ristorante;140 W 13th St;New York
Antons Restaurant;259 W 4th St;New York
Anytime Cafe;142 Fulton;New York
Anytime Restaurant;116 Avenue C;New York
Anyway Cafe;32 East 2nd Street;New York
Aperitivo Restaurant Inc;29 W 56th St;New York
Apizz Restaurant;217 Eldridge Street;New York
Apna Taj;159 E. 55th Street;
Apollo Restaurant;333 Park Avenue South;New York
Apollo Restaurant;Arsenal Street Plaza;New York
Apollo Restaurant;(315) 788-3569;
Apolo Restaurant;168 Delancey Street Frnt;New York
Appetito;47 West 39th Street;New York
Applause Chinese Restaurant;24 E 33rd St;New York
Apple Jack Coffee Shop;230 West 55th Street Lowr;New York
Apple Restaurant & Bombar;17 Waverly Pl;New York
Apple Seed Taco Bell;115 East 23rd Street;New York
Applebee's;234 West 42nd Street;New York
Applebees;102 North End Avenue;New York
Apre' Scott's;353 Greenwich Street;New York
Aqua Grill Inc;210 Spring Street;New York
Aquamarina Restaurant;4060 Broadway;New York
Aquarmarine Asian Cuisine;713 2 Av;New York
Aquaterra;209 East 56;New York
Aquavit Restaurant;65 E 55th St;New York
Arabelle;37 East 64th Street;New York
Arai;174 Bleecker St # 1;New York
Aramark;695 Park Ave;New York
Arang;9 West 32nd Street 2nd Floor;New York
Arby's;305 Avenue Of The Americ;New York
Arc Chicken;1382 2nd Ave;New York
Arcade Pizza;1611 Saint Nicholas Avenue;New York
Arcadia Deli;110 West End Avenue Ofc;New York
Archer's;1643 1st Avenue Frnt;New York
Archway;116 Pinehurst Avenue;New York
Arezzo Ristorante;46 West 22nd St;New York
Argentine Pavillion Inc;32 W 46th St;New York
Aria Restaurant;253 E 52nd St;New York
Ariana Afghan Kebab Restaurant;787 9th Avenue Apt 3N;New York
Ariose Cafe;193 2nd Avenue;New York
Arioso;120 W 23rd St;New York
Aris' Gourmet Delicatessen;2566 Amsterdam Av;New York
Aristocratic Deli;208 West 23rd Street;New York
Aristotle Coffee Shop;350 Park Ave S;New York
Ariyoshi Japanese Restaurants;226 East 53rd Street Apt 2B;New York
Ariyoshi Japanese Restaurants;Japanese;
Arizona 206 Restaurant;206 East 60th Street;New York
Ark Restaurant;25 W 40th St;New York
Ark Restaurant Corporation;19 Fulton Street;New York
Ark Restaurant Corporation;85 5th Avenue Floor 14;New York
Ark Resturants Corporation;625 Broadway;
Arlecchino Ristorante Italiano;192 Bleecker St;New York
Arlette Restaurant;206 Dyckman Street;New York
Armstrongs Saloon;875 10th Ave # 1;New York
Arno;141 W 38th St;New York
Aroma;28 West 46th Street Frnt;New York
Aroma Chinese Restaurant;465 West 125th Street Apt 12;New York
Aroma Kitchen & Wine Bar;36 East 4;New York
Aron's Restaurant;60 West 48;New York
Arons Restaurant;15 W 47th St;New York
Around the Clock 24 Hour Restaurant;8 Stuyvesant Street;New York
Around the Clock Inc;484 9th Avenue;New York
Arqua Restaurant;281 Church Street;New York
Arriba Arriba Mexican Restaurant Inc;762 9th Ave;New York
Arriba Arriba!;1463 Third Avenue;
Arrow Seafood;22 Fulton Market;New York
Arsenal Cafe;830 5th Avenue;New York
Arshad AZAD;342 East 6th Street;New York
Arshile;166 1 Av;New York
Art Bar;52 8 Av;New York
Art Cafe;1657 Broadway;New York
Art Cafe Restaurant;1657 Broadway;New York
Art Crafters Inc;524 East 5th Street Frnt;New York
Arte Cafe;106 W 73rd St;New York
Arte Restaurant Corp;21 East 9;New York
Artepasta;81 Greenwich Avenue;New York
Arthur Tracher Fish & Chips;901 Avenue Of The Americas;New York
Arthur's Tavern;57 Grove Street;New York
Arties Delicatessen and Caterers;2290 Broadway;New York
