restaurant;neighborhood
Annie's;Upper E. Side
Annie's Fish Japanese Food;Upper E. Side
Annisa;W. Village
Anthos;Midtown West
Antica Roma;Chinatown
Antonio Veniero Pastries;E. Village
Apizz;Lower E. Side
Apollo Restaurant;Flatiron/U. Sq.
Apolo Restaurant;Lower E. Side
Appetito Restaurant;Midtown West
Applause Chinese Restaurant;Murray Hill
Apple Restaurant;E. Village
Applejack Diner;Midtown West
Aquagrill;TriBeCa/SoHo
Aquavit;Midtown West
Arabelle;Upper E. Side
Arezzo;Chelsea
Argentine Pavillion;Midtown West
Ariana Afghan Kebab Restaurant;Midtown West
Around The Clock 24 Hour;E. Village
Arqua;TriBeCa/SoHo
Arriba Arriba;Midtown West
Arriba Arriba East;Upper E. Side
Art Cafe Restaurant;Midtown West
Arte Cafe;Upper W. Side
Artepasta;W. Village
Artie's New York Delicatessen;Upper W. Side
Artisanal;Murray Hill
Arturo's;Upper E. Side
Arturo's Pizzeria;W. Village
Arté;E. Village
Ashton's Bar & Restaurant;Midtown East
Asia de Cuba;Murray Hill
Asiate;Upper W. Side
Assenzio;E. Village
Astor Court;Midtown East
Atlantic Grill;Upper E. Side
Atomic Wings;Upper E. Side
Atomic Wings;W. Village
August;W. Village
Aureole;Upper E. Side
Aveda Institute;TriBeCa/SoHo
Avenue A Sushi;E. Village
Avra;Midtown East
Awash;Upper W. Side
Azafran;TriBeCa/SoHo
Azalea;Midtown West
Azaza;Midtown East
Azul Bistro;Lower E. Side
Azuri Cafe;Midtown West
Azusa of Japan;Midtown West
B. Smith's (Midtown);Midtown West
BB Sandwich Bar;W. Village
BLT Burger;W. Village
BLT Fish;Chelsea
BLT Prime;Flatiron/U. Sq.
BLT Steak;Midtown East
BXL Cafe;Midtown West
Babbo;W. Village
Baby Bo's Burritos;Murray Hill
Back Porch;Murray Hill
Balcony Cafe;Midtown West
Baldo Vino;E. Village
Baldoria;Midtown West
Balducci's;Upper W. Side
Bali Nusa Indah;Midtown West
Ballato's;Lower E. Side
Balthazar;TriBeCa/SoHo
Baltic Restaurant;Murray Hill
Baluchi's;TriBeCa/SoHo
Baluchi's;W. Village
Baluchi's;Midtown West
Bamiyan;Flatiron/U. Sq.
Bandol Bistro;Upper E. Side
Bangkok Cafe;Flatiron/U. Sq.
Bangkok Grand Palace;Midtown East
Banjara;E. Village
Bank Cafe;Murray Hill
Bann;Midtown West
Bao Noodles;Flatiron/U. Sq.
Bar 89;TriBeCa/SoHo
Bar Americain;Midtown West
Bar Centrale;Midtown West
Bar Jamon;Flatiron/U. Sq.
Bar Masa;Upper W. Side
Bar Pitti;W. Village
Bar Room at the Modern;Midtown West
Bar Veloce;E. Village
BarBossa;Lower E. Side
Baraonda Restaurant;Upper E. Side
Barbes;Murray Hill
Barbetta;Midtown West
Barbounia;Flatiron/U. Sq.
Barbuto;W. Village
Bardolino;Upper E. Side
Bari;TriBeCa/SoHo
Barking Dog Luncheonette;Upper E. Side
Barmarche;TriBeCa/SoHo
Barna;Flatiron/U. Sq.
Barney Greengrass;Upper W. Side
Barolo;TriBeCa/SoHo
Barrymore's Restaurant;Midtown West
Basera Northern Indian Cuisine;Midtown East
Basilica;Midtown West
Basso Est;Lower E. Side
Basta Pasta Ristorante Italian;Flatiron/U. Sq.
Baxter Pub;Chinatown
Bay Leaf;Midtown West
Bayard's;Lower Manhattan
Beach Cafe;Upper E. Side
Beacon;Midtown West
Beatrice Inn;W. Village
Becco;Midtown West
Becketts Bar & Grill;Lower Manhattan
Beema Grill Inc;Midtown West
Bella Blu;Upper E. Side
Bella Cucina;Upper E. Side
Bella Luna;Upper W. Side
Bella Napoli;Midtown West
Bellavitae;W. Village
Bellizzi's Restaurant (CLOSED);Midtown West
Bello;Midtown West
Bello Sguardo;Upper W. Side
Ben & Jack's Steak House;Midtown East
Ben Benson's Steak House;Midtown West
Ben's Kosher Deli;Midtown West
Bengal Cafe;Upper W. Side
Bengal Express;Midtown West
Benito II;Chinatown
Benito's I;Chinatown
Benjamin Restaurant & Bar;Murray Hill
Bennie's Thai Cafe;Lower Manhattan
Benny's Burritos;W. Village
Benny's Burritos;E. Village
Benvenuti Ristorante;Midtown West
Beppe;Flatiron/U. Sq.
Bereket Turkish Kebab House;Lower E. Side
Better Burger;Murray Hill
Bettola;Upper W. Side
Beyoglu;Upper E. Side
Bianca;E. Village
Bice;Midtown East
Big Apple Diner;Murray Hill
Big Enchilada;Murray Hill
Big Enchilada;E. Village
Big Wong King;Chinatown
Bimmy's;W. Village
Bin 71;Upper W. Side
Bingo Seafood Restaurant;Chinatown
Biricchino;Midtown West
Bistro 43;Midtown West
Bistro Ten 18;Upper W. Side
Bistro du Nord;Upper E. Side
Bistro le Steak;Upper E. Side
Blake & Todd Restaurant;Midtown West
Blarney Rock Restaurant;Midtown West
Blarney Stone Restaurant;Lower Manhattan
Blarney Stone Restaurant;Midtown West
Blaue Gans;TriBeCa/SoHo
Blockheads;Midtown East
Blockheads;Murray Hill
Blockheads;Midtown West
Blue Fin;Midtown West
Blue Hill;W. Village
Blue Moon Mexican Cafe;Upper E. Side
Blue Ribbon;TriBeCa/SoHo
Blue Ribbon Bakery;W. Village
Blue Ribbon Sushi;TriBeCa/SoHo
Blue Smoke;Flatiron/U. Sq.
Blue Water Grill;Flatiron/U. Sq.
Bo-Ky Restaurant;Chinatown
Boat Basin Cafe;Upper W. Side
Bobby Van's Steakhouse;Midtown East
Boca Chica Restaurant;E. Village
Boi;Midtown East
Bolo;Flatiron/U. Sq.
Bombay Palace;Midtown West
Bombay Talkie;Chelsea
Bonafides Restaurant;E. Village
Bond 45;Midtown West
Bond Street;E. Village
Bongo;Chelsea
Bonsignour;W. Village
Boom Restaurant;TriBeCa/SoHo
Boonthai Restaurant;Upper E. Side
Boqueria;Flatiron/U. Sq.
Borgo Antico;E. Village
Borobudur Cafe;E. Village
Bos Noodle Shop;Midtown West
Bottino;Chelsea
Bottino Takeout;Chelsea
Bouchon Bakery;Upper W. Side
Bouley;TriBeCa/SoHo
Branzini;Midtown East
Braque;W. Village
Brasserie;Midtown East
Brasserie 360;Midtown East
Brasserie 8 1/2;Midtown West
Brasserie Julien;Upper E. Side
Bravo Gianni;Upper E. Side
Brazil Grill;Midtown West
Bread;TriBeCa/SoHo
Bread Bar at Tabla;Flatiron/U. Sq.
Bread Soul;Upper W. Side
Bread Tribeca;TriBeCa/SoHo
Breeze;Midtown West
Bricco Ristorante;Midtown West
Brick Lane Curry House;E. Village
Bridge Cafe;Lower Manhattan
Brio;Upper E. Side
Broadway Cottage;Upper W. Side
Broadway Diner;Midtown West
Broadway Diner;Midtown East
Broadway Restaurant;Upper W. Side
Broadway's Jerusalem II Kosher;Midtown West
Brooklyn Diner USA;Midtown West
BroomeDoggs;Lower E. Side
Brother Jimmy's Bait Shack;Upper E. Side
Brown;Chinatown
Brown's;Upper E. Side
Brunelli Ristorante - Italian Restaurant;Upper E. Side
Bruno Bakery;W. Village
Bruno Jamais Restaurant Club;Upper E. Side
Bruno Ristorante;Midtown East
Bryant Park Grill;Midtown West
Bubby's Restaurant Bar & Bkry;TriBeCa/SoHo
Buddakan New York;W. Village
Bukhara Grill;Upper E. Side
Bull & Bear Pub;Midtown East
Bull Run;Lower Manhattan
Buona Sera Restaurant;E. Village
Burger At Its Best;Flatiron/U. Sq.
Burger Joint;Upper W. Side
Burrito Bar;TriBeCa/SoHo
Burrito Loco Restaurant;W. Village
Butter;E. Village
Byblos Restaurant;Murray Hill
C S Barrington's;Midtown East
C00kie's Fine Foods;Chelsea
Cabo Rojo;Chelsea
Cacio e Pepe;E. Village
Cactus Cafe;W. Village
Caesars Restaurant;Murray Hill
Cafe 18 Giovi;Flatiron/U. Sq.
Cafe 2 and Terrace 5;Midtown West
Cafe 2000;Upper W. Side
Cafe Anytime;Chelsea
Cafe Asean;W. Village
Cafe Avenue;Upper W. Side
Cafe Axum;Midtown West
Cafe Biondo;Chinatown
Cafe Borgia Ii;TriBeCa/SoHo
Cafe Botanica;Midtown West
Cafe Boulud;Upper E. Side
Cafe Carlyle;Upper E. Side
Cafe Cento Sette;E. Village
Cafe Centro;Midtown East
Cafe Chin Chin;Midtown East
Cafe Cluny;W. Village
Cafe Colonial;TriBeCa/SoHo
Cafe Condesa;W. Village
Cafe Creole Inc;W. Village
Cafe D'Alsace;Upper E. Side
Cafe Du Cervin;Lower Manhattan
Cafe Edison;Midtown West
Cafe Eighty Two;Upper W. Side
Cafe Espanol;W. Village
Cafe Europa;Midtown West
Cafe Evergreen;Upper E. Side
Cafe Express;Midtown West
Cafe Fiorello;Upper W. Side
Cafe Frida;Upper W. Side
Cafe Giaradinetto;Murray Hill
Cafe Gigi;E. Village
Cafe Gitane;TriBeCa/SoHo
Cafe Greco;Upper E. Side
Cafe Habana;TriBeCa/SoHo
Cafe La Fontaine;E. Village
Cafe Lalo;Upper W. Side
Cafe Loup;W. Village
Cafe Lucca;W. Village
Cafe Luxembourg;Upper W. Side
Cafe Milou;W. Village
Cafe Mona Lisa;W. Village
Cafe New Yorker;Murray Hill
Cafe Noir;TriBeCa/SoHo
Cafe Orlin;E. Village
Cafe Palermo;Chinatown
Cafe Pierre;Midtown West
Cafe Rafaella;W. Village
Cafe Rakka;E. Village
Cafe Reggio;W. Village
Cafe Riazor;Chelsea
Cafe Roma;Upper W. Side
Cafe S.F.A;Midtown East
Cafe Sabarsky;Upper E. Side
Cafe Soleil;Midtown East
Cafe Spice;Midtown East
Cafe Spice;E. Village
Cafe St Francis;Midtown West
Cafe St. Bart's;Midtown East
Cafe Trevi;Upper E. Side
Cafe Un Deux Trois;Midtown West
Cafe Venezia;Murray Hill
Cafe Veronica;Midtown West
Cafe con Leche;Upper W. Side
Cafe de Bruxelles;W. Village
Cafe du Soleil;Upper W. Side
Cafecito;E. Village
Cafeteria at the Metropolitan Museum of Art;Upper E. Side
Caffe Bacio;Upper E. Side
Caffe Buon Gusto;Upper E. Side
Caffe Buon Gusto;Midtown East
Caffe Cielo;Midtown West
Caffe Del Corso;Midtown West
Caffe Della Pace;E. Village
Caffe Falai;TriBeCa/SoHo
Caffe Grazie;Upper E. Side
Caffe Med;Upper E. Side
Caffe Taci;Upper W. Side
Caffe Torino;W. Village
Caffe Tosca;Upper E. Side
Caffe Vivaldi;W. Village
Cajun Cafe & Grill;Chelsea
Calcutta Cafe;Upper W. Side
Calcutta Restaurant Inc;E. Village
Calidad Latina;Chelsea
California Burrito;Chelsea
California Burrito Co;Flatiron/U. Sq.
California Burrito Co;Lower Manhattan
California Burrito Co.;Upper E. Side
California Burritos;Midtown East
California Pizza Kitchen;Midtown East
California Pizza Oven;E. Village
Call Cuisine;Midtown East
Calle Ocho;Upper W. Side
Camaje;W. Village
Cambio Restaurant;Lower Manhattan
Camille's Restaurant;Upper W. Side
Campagnola Restaurant;Upper E. Side
Campus Eatery;E. Village
Canal House;TriBeCa/SoHo
Canaletto;Upper E. Side
Cancun Mexican Restaurant;Midtown West
Candle Cafe;Upper E. Side
Canyon Road;Upper E. Side
Capital Grille;Midtown East
Capri;Midtown West
Caprice Cafe;Upper W. Side
Capsouto Freres;TriBeCa/SoHo
Captain's Table;Midtown East
Capucine's Restaurant;Flatiron/U. Sq.
Cara Mia;Midtown West
Caracas Arepa Bar;E. Village
Caracello;Lower Manhattan
Caravan of Dreams;E. Village
Carino Ristorante Italiano;Upper E. Side
Carlyle Restaurant;Upper E. Side
Carmine's;Midtown West
Carmine's Italian Seafood;Lower Manhattan
Carmine's Takeout;Upper W. Side
Carne;Upper W. Side
Carnegie Deli;Midtown West
Carnegie Hill Brewing Co;Upper E. Side
Carnegie Restaurant;Upper E. Side
Carpos Cafe;W. Village
Casa;W. Village
Casa Adela;E. Village
Casa Bella Restaurant;Chinatown
Casa De Meglio Inc;Midtown West
Casa Di Pre Restaurant;W. Village
Casa Mono;Flatiron/U. Sq.
Casa North;Upper E. Side
Casa Victoria Cafe;W. Village
Casa la Femme North;Upper E. Side
Cascina;Midtown West
Casimir;E. Village
Caterina's Restaurant Corp;Murray Hill
Caviar Russe;Midtown East
Ceasar's Falafel;E. Village
Cedar's Of Lebanon;Midtown West
Celeste;Upper W. Side
Cellini;Midtown East
Cendrillon (CLOSED);TriBeCa/SoHo
Cendrillon (CLOSING FEB. 2009);TriBeCa/SoHo
Centolire;Upper E. Side
Centrico;TriBeCa/SoHo
Centro Vinoteca;W. Village
Century Cafe;Chinatown
Cercle Rouge;TriBeCa/SoHo
Champ Gourmet Croissant Shop;Lower Manhattan
Champagne's;Midtown West
Chandra;Upper W. Side
Chang Mi Restaurant;Midtown West
Chanoodle;Chinatown
Chanpen Thai;Midtown West
Chantale's Cajun Kitchen;Midtown West
Chanterelle;TriBeCa/SoHo
Charles's Southern-Style Kitchen;Harlem
Charlie Mom;W. Village
Charlie Mom;Upper E. Side
Chat 'n Chew;Flatiron/U. Sq.
Checkerboard Gourmet;Midtown East
Cheetah;Flatiron/U. Sq.
Chef 93;Upper E. Side
Chef Ho's Chinese Restaurant;Upper E. Side
Chelsea Cottage Chinese Rstrnt;Chelsea
Chelsea Golden Wok;Chelsea
Chelsea Grill;Chelsea
Chelsea Ristorante;Chelsea
Chelsea Square Restaurant;Chelsea
Chelsea Trattoria;Chelsea
Chelsea's Choice;Chelsea
Chen Express Kitchen;Chelsea
Chenab Pakistani & Indian;Midtown West
Chennai Garden;Murray Hill
Chester Fried Chicken;Lower E. Side
Cheung Hing Chinese Restaurant;Lower E. Side
Cheung Shing Restaurant;Upper W. Side
Chez Jacqueline Restaurant;W. Village
Chez Josephine;Midtown West
Chez Laurence Patisserie;Murray Hill
Chez Napoleon;Midtown West
Chez Olga;Upper E. Side
Chez Paris Cafe;Midtown West
Chez le Chef;Murray Hill
Chiam;Midtown East
Chick Chack Chicken;E. Village
Chicken Delight;Chelsea
Chicken Fair;Upper W. Side
Chicken Kitchen On Second;Upper E. Side
Chicken Stop;Upper W. Side
Chickpea;Lower E. Side
Chicky's On 86;Upper E. Side
Chihuahua Mexican Place;Upper E. Side
ChikaLicious;E. Village
Chimichurri Grill;Midtown West
Chin Chin Restaurant;Midtown East
China 99 Restaurant;Lower Manhattan
China Boy Kitchen Inc;Midtown East
China Chalet Restaurant;Lower Manhattan
China Fun;Upper W. Side
China Fun;Upper E. Side
China Gourmet Chinese Rstrnt;Midtown West
China Grill;Midtown West
China Kings Kitchen;Upper W. Side
China Kitchen;Harlem
China Peace;Midtown West
China Red Restaurant;Lower Manhattan
China Regency Restaurant;Midtown West
China Woks;E. Village
Chinar India Sweets & Rstrnt;Midtown West
Chinatown Brasserie;TriBeCa/SoHo
Chinatown Ice Cream Factory;Chinatown
Chinatown Restaurant;W. Village
Chinese Chicken Inc;Chelsea
Chinese Mirch;Murray Hill
Chirping Chicken;Flatiron/U. Sq.
Chirping Chicken;Upper W. Side
Chirping Chicken Lexington;Upper E. Side
Chiyono;E. Village
Cho Dang Gol;Midtown West
Chocolate Bar (CLOSED);W. Village
Choga;W. Village
Chola;Midtown East
Chopstick On First Ave;Flatiron/U. Sq.
Choshi;Flatiron/U. Sq.
Chow Bar;W. Village
Christina's;Murray Hill
Christine's;E. Village
Chu Garden;E. Village
Chung Moo Ro;Midtown West
Chung Wah Restaurant;Upper W. Side
Church & Dey;Lower Manhattan
Church Lounge, Tribeca Grand Hotel;TriBeCa/SoHo
Churchill's;Upper E. Side
Churrascaria Plataforma;Midtown West
Churrascaria Plataforma Tribeca;TriBeCa/SoHo
Ciao;W. Village
Ciao Bella Cafe;Upper E. Side
Ciao Soho;TriBeCa/SoHo
Cibar;Flatiron/U. Sq.
Cibo;Murray Hill
Ciccio & Tony's East;Murray Hill
Cilantro;Upper E. Side
Cinema Diner;Murray Hill
Cipriani Dolci;Midtown East
Cipriani Le Specialita;Midtown East
Circus;Midtown East
Ciro Trattoria;Midtown West
Citron 47;Midtown West
Citrus Bar & Grill;Upper W. Side
City Bakery;Flatiron/U. Sq.
City Cafe;Upper E. Side
City Crab & Seafood Co;Flatiron/U. Sq.
City Diner;Upper W. Side
City Grill;Midtown West
City Grill;Upper W. Side
City Hall;TriBeCa/SoHo
Clancy's;Midtown East
Classic Burrito;Midtown East
Cleopatra's Needle Restaurant;Upper W. Side
Coco Pazzo;Upper E. Side
Cody's Bar & Grill;TriBeCa/SoHo
Coffee Shop;Flatiron/U. Sq.
Col Legno;E. Village
Cola's;Chelsea
Colbeh Restaurant;Midtown West
Colors;E. Village
Columbia Cottage;Upper W. Side
Columbine;TriBeCa/SoHo
Comfort Diner;Midtown East
Compass;Upper W. Side
Cones;W. Village
Congee;Chinatown
Congee Village;Lower E. Side
Connolly Bar & Restaurant;Midtown West
Conservatory Restaurant;Midtown West
Cookshop;Chelsea
Cool Breeze;Harlem
Cooper Square Restaurant;E. Village
Coppola's Pizzeria Restaurant;Upper W. Side
Cordatos Deli & Bar;Lower Manhattan
Corfu Diner;Chelsea
Cornelia Street Cafe;W. Village
Corner Bistro;W. Village
Cornerstone Grill;TriBeCa/SoHo
Cornucopia On Park Ave;Murray Hill
Corrado Cafe;Midtown East
Corrado Cafe;Upper E. Side
Corrado Restaurant and Bakery;Flatiron/U. Sq.
Cortina;Upper E. Side
Cosmic Cantina;E. Village
Cosmos Restaurant;Flatiron/U. Sq.
Costa Azzurra Restaurant Inc;Chinatown
Costa Del Sol Restaurant;Midtown West
Cotan Restaurant;W. Village
Cottage;Flatiron/U. Sq.
Cottage Restaurant;Upper W. Side
Counter;E. Village
Country;Flatiron/U. Sq.
Country Cafe;Lower Manhattan
Country Cafe;TriBeCa/SoHo
Cove Restaurant;Lower Manhattan
Cowgirl Hall of Fame;W. Village
Cozy Soup & Burger Inc;E. Village
Craft;Flatiron/U. Sq.
Craftbar;Flatiron/U. Sq.
Crema;Chelsea
Cremcaffe;E. Village
Crif Dogs;E. Village
Crispo;W. Village
Cronies Restaurant;Upper E. Side
Crowne Plaza;Murray Hill
Cru;W. Village
Crudo;Lower E. Side
Crystal Fountain;Murray Hill
Cub Room;TriBeCa/SoHo
Cubana Cafe;TriBeCa/SoHo
Cucina & Co.;Midtown East
Cucina & Company — The Cellar At Macy's;Midtown West
Cucina Gourmet;Midtown West
Cucina Stagionale;W. Village
Cucina Vivolo;Upper E. Side
Cucina di Pesce;E. Village
Cupcake Cafe;Midtown West
Cupping Room Cafe;TriBeCa/SoHo
Curry & Curry India Restaurant;Murray Hill
Curry Curry Inc;W. Village
Curry In A Hurry;Murray Hill
Curry Leaf;Flatiron/U. Sq.
Curry Mahal Indian Restaurant;E. Village
D J Reynolds Restaurant;Midtown West
DB Bistro Moderne;Midtown West
Da Andrea;W. Village
Da Antonio;Midtown East
Da Ciro;Murray Hill
Da Filippo Restaurante Italian;Upper E. Side
Da Marino;Midtown West
Da Nico;Chinatown
Da Rosina;Midtown West
Da Silvano;W. Village
Da Silvano Cantinetta;W. Village
Da Tommaso;Midtown West
Da Umberto's;Chelsea
Da Valentino Pizzeria;Midtown West
Daikichi Inc;Midtown West
Daikichi Sushi;Upper W. Side
Daikichi Sushi;Upper E. Side
Daikichi Sushi;Lower Manhattan
Daikichi Sushi;Flatiron/U. Sq.
Daikichi Sushi;Midtown East
Daikichi Sushi;Chelsea
Daikichi Sushi;Midtown West
Daikichi Sushi Inc;E. Village
Daisy May's BBQ USA;Midtown West
Dakshin;Upper E. Side
Dalga;Upper E. Side
Dan Tempura House;Upper W. Side
Danal;Flatiron/U. Sq.
Dancin In The Moonlight Inc;TriBeCa/SoHo
Daniel;Upper E. Side
Danny's Grand Sea Palace Rstrt;Midtown West
Dano 254;Murray Hill
Dano Restaurant & Bar;Murray Hill
Dante Trattoria Ltd;W. Village
Danube (CLOSED);TriBeCa/SoHo
Daphne's Caribbean Express;E. Village
Dash Dogs;Lower E. Side
David Burke & Donatella;Upper E. Side
David's Chicken;Upper E. Side
Dawat Haute Indian Cuisine;Midtown East
Dean & Deluca Cafe;E. Village
Dean & Deluca Cafe;Midtown West
Deb's;TriBeCa/SoHo
Deborah;W. Village
Degustation Wine & Tasting Bar;E. Village
Del Frisco's;Midtown West
Del Posto;W. Village
Del Valle;Midtown West
Delectica;Murray Hill
Delightful Restaurant Inc;Harlem
Delizia Pizzeria & Restaurant;Upper E. Side
Delmonico's;Lower Manhattan
Delphi Restaurant Corp;TriBeCa/SoHo
Delphini Restaurant;Upper W. Side
Demarchelier Restaurant;Upper E. Side
Den Restaurant & Cafe;Upper E. Side
Dennis Foy;TriBeCa/SoHo
Desmond's Tavern;Murray Hill
Devi;Flatiron/U. Sq.
Diablo Royale;W. Village
Diamond Dairy Kosher Lnchntt;Midtown West
Dillon's Bar & Grill;Upper E. Side
Dim Sum Go Go;Chinatown
Diner On The Square;Chelsea
Dinosaur Bar-B-Que;Harlem
Dishes;Midtown East
District;Midtown West
Ditch Plains;W. Village
Divino Gastronomia Take-out;Upper E. Side
Divino Ristorante;Upper E. Side
Diwan;Midtown East
Dixie Rose;Chinatown
Django;Midtown East
Djerdan Burek;Midtown West
Do Hwa;W. Village
Doaba Diner;Upper E. Side
Doc Watson's;Upper E. Side
Docks Oyster Bar;Upper W. Side
Docks Oyster Bar;Murray Hill
Docks Oyster Bar (CLOSED);Upper W. Side
Dojo;W. Village
Dok Suni;E. Village
Dolce;Midtown East
Dolci On Park Cafe;Murray Hill
Domenico;Murray Hill
Don Giovanni;Midtown West
Don Giovanni Restaurant;Chelsea
Don's Bogam BBQ & Wine Bar;Murray Hill
Donahue's Bar & Restaurant;Murray Hill
Donguri;Upper E. Side
Donohue's Cafe Inc;Upper E. Side
Doori Club;Chelsea
Doozo Japanese Restaurant;W. Village
Dos Caminos;Flatiron/U. Sq.
Dos Caminos SoHo;TriBeCa/SoHo
Dosanko;Midtown East
Double Star Restaurant;Midtown West
Doughnut Plant;Lower E. Side
Dougie's Bbq & Grill;Upper W. Side
Downtown Cipriani;TriBeCa/SoHo
Downtown Food Svc;Lower Manhattan
Doyers Vietnamese Restaurant;Chinatown
Dragon Gold;Murray Hill
Dresner's Restaurant;Upper E. Side
Duane Park;TriBeCa/SoHo
Due;Upper E. Side
Dumpling King Ii;Midtown East
Dylan Prime;TriBeCa/SoHo
E J's Luncheonette;Upper W. Side
E J's Luncheonette;Upper E. Side
E.A.T.;Upper E. Side
Eamonn Doran At Madison Sq;Midtown West
Eamonn Doran Restaurant;Midtown East
Ear Inn;TriBeCa/SoHo
East;Murray Hill
East 53 Teriyaki House;Midtown East
East Bay Restaurant;Murray Hill
East Boat Restaurant Inc;Chinatown
East In The West;Murray Hill
East Japanese Restaurant;Midtown East
East Japanese Restaurant;Murray Hill
East Japanese Restaurant;Midtown West
East Japanese Restaurant;Flatiron/U. Sq.
East River Cafe;Midtown East
East Side Diner;Flatiron/U. Sq.
East Village Thai Restaurant;E. Village
Eastern Noodles;Chinatown
Easyway Communications Tech;W. Village
Eat & Run;Lower Manhattan
Eat Again Deli;Chelsea
Eat with Your Bear Hands Cafe;Midtown East
Eatery;Midtown West
Ecco;Lower Manhattan
Ecco L'italia Ristorante;W. Village
Ecco-La Restaurant;Upper E. Side
Eddie's;E. Village
Edgars Cafe;Upper W. Side
Edge;E. Village
Edo;Lower Manhattan
Edo Japanese Restaurant;Flatiron/U. Sq.
Edward's;TriBeCa/SoHo
Eight Mile Creek;TriBeCa/SoHo
Eileen's Special Cheesecake;TriBeCa/SoHo
Eisenberg Sandwich Shop;Flatiron/U. Sq.
El Azteca Mexican Restaurant;Midtown West
El Cantinero;E. Village
El Castillo De Jagua;Lower E. Side
El Centro;Midtown West
El Charro Espanol;W. Village
El Cid;W. Village
El Deportivo Restaurant;Midtown West
El Faro;W. Village
El Parador Cafe Inc;Murray Hill
El Paso;W. Village
El Paso Taqueria;Harlem
El Pote Espanol Restaurant;Murray Hill
El Quijote Bar & Restaurant;Chelsea
El Rincón Boricua;Harlem
El Rio Grande;Murray Hill
El Sabor Latino;Harlem
El Sombrero;Lower E. Side
El Vesuvo Restaurant;Harlem
Elephant & Castle;W. Village
Eleven Madison Park;Flatiron/U. Sq.
Elio's;Upper E. Side
Elite Cafe Restaurant;Upper W. Side
Ellen's Cafe;Lower Manhattan
Elmo;Chelsea
Elvie's Turo-Turo;E. Village
Emack & Bolio's;Upper W. Side
Emerald Pub;TriBeCa/SoHo
Empanada Mama;Midtown West
Empire Diner;Chelsea
Empire Four Seasons;Upper E. Side
Empire Szechuan Garden;Upper W. Side
Empire Szechuan Greenwich;W. Village
Empire Szechuan Kyoto Sushi;Upper W. Side
Empire Szechuan Village;W. Village
En Japanese Brasserie;W. Village
Encore;Midtown West
Ennio & Michael;W. Village
Enoteca I Trulli;Flatiron/U. Sq.
Epicerie Cafe Charbon;Lower E. Side
Epices du Traiteur;Upper W. Side
Equinox;Midtown East
Erminia Italian Restaurant;Upper E. Side
Esashi;E. Village
Esca;Midtown West
Esperanto;E. Village
