restaurant;address;country;addressGoogle
Alto;520 Madison Avenue;New York, NY, 10022;520 Madison Ave
Am Pm Fried Fish Chicken & Donuts;330 West 125th Street;New York, NY, 10027;330 W 125th St
Ama;48 MacDougal Street;New York, NY, 10012;48 MacDougal St
Ama Ya;234 East 4th Street;New York, NY, 10009;234 E 4th St
Amalia Restaurant;204 West 55th Street;New York, NY, 10019;204 W 55th St
Amaranth Restaurant;21 East 62nd Street;New York, NY, 10021;21 E 62nd St
Amarone;686 9th Avenue;New York, NY, 10036;686 9th Ave
Amazing Japanese & Thai Restaurant;;;
Amazing Thailand Restaurant;Amazing Japanese & Thai Restaurant;New York, NY, 10004;Amazing Japanese & Thai Restaurant
Ambassador Grill Lounge;1 United Nations Plaza;New York, NY, 10017;1 United Nations Plaza
Ambrosia;273 1st Avenue;New York, NY, 10003;273 1st Avenue
Ambrosia;8 West 45th Street;New York, NY, 10036;8 W 45th St
Ambrosia Cafe Ltd (CLOSED);158 East 45th Street;New York, NY, 10017;158 E 45th St
American East Fuzhou Restaurant;54 East Broadway;New York, NY, 10002;54 E Broadway
American Grill (CLOSED);117 2nd Avenue;New York, NY, 10003;117 2nd Ave
American Park;Battery Park;New York, NY, 10004;New York
Americana Deli;2657 Broadway;New York, NY, 10025;2657 Broadway
Ametller (CLOSED);35 Christopher Street;New York, NY, 10014;35 Christopher St
Amici II;165 Mulberry Street;New York, NY, 10013;165 Mulberry St
Amin;155 8th Avenue;New York, NY, 10013;155 8th Ave
Ammos;52 Vanderbilt Avenue;New York, NY, 10017;52 Vanderbilt Ave
Amor Cubano;2018 Third Ave;New York, NY, 10029;2018 3rd Ave
Amsterdam Restaurant and Tapas Lounge;1207 Amsterdam Ave;New York, NY, 10027;1207 Amsterdam Ave
Amy Ruth's;113 West 116th Street;New York, NY, 10026;113 W 116th St
Amy's Bread;Chelsea Mkt. 75 9th Avenue;New York, NY, 10011;75 9th Ave
Amy's Bread;672 9th Avenue;New York, NY, 10036;672 9th Ave
Amy's Bread;250 Bleecker Street;New York, NY, 10014;250 Bleecker St
Angelica Kitchen;300 East 12th Street;New York, NY, 10003;300 E 12th St
Angelica's Herb & Spice;147 1st Avenue;New York, NY, 10003;147 1st Avenue
Angelina Cafe;36 Avenue A;New York, NY, 10009;36 Avenue A
Angelo's Pizza;117 West 57th Street;New York, NY, 10019;117 W 57th St
Angelo's Pizzeria;1043 2nd Avenue;New York, NY, 10022;1043 2nd Ave
Angelo's Pizzeria;1697 Broadway;New York, NY, 10019;Ed Sullivan Theater
Angelo's of Mulberry Street;146 Mulberry Street;New York, NY, 10013;146 Mulberry St
Angels Restaurant;1135 1st Avenue;New York, NY, 10021;1135 1st Avenue
Angon On The Sixth;320 East 6th Street;New York, NY, 10003;320 E 6th St
Angus McIndoe;258 West 44th Street;New York, NY, 10036;258 W 44th St
Anh;363 2nd Avenue;New York, NY, 10016;363 2nd Ave
Anitas Deli Grocery;180 Lexington Avenue;New York, NY, 10016;Lexington Plaza
Anna Maria;238 East 14th Street;New York, NY, 10003;238 E 14th St
Anna Maria;112 East 23rd Street;New York, NY, 10010;112 E 23rd St
Anna Maria;1592 1st Avenue;New York, NY, 10028;1592 1st Avenue
Annie Moore's;50 East 43rd Street;New York, NY, 10017;50 E 43rd St
Annie's (CLOSED);1381 2nd Avenue;New York, NY, 10021;1381 2nd Ave
Annisa;13 Barrow Street;New York, NY, 10014;13 Barrow St
Anthos;36 West 52nd Street;New York, NY, 10019;36 W 52nd St
Antibes Bistro;127 1st Ave.;New York, NY, 10003;127 1st Avenue
Antibes Bistro;127 1st Avenue;New York, NY, 10003;127 1st Avenue
Antica Venezia;396 West Street;New York, NY, 10014;396 West St
Antique Cafe Chelsea;234 West 27th;New York, NY, 10001;234 W 27th St
Antique Garage;41 Mercer Street;New York, NY, 10013;41 Mercer St
Antonucci;170 East 81st Street;New York, NY, 10028;170 E 81st St
Anyway Cafe;34 East 2nd Street;New York, NY, 10003;34 E 2nd St
Aoki;234 West 48th Street;New York, NY, 10036;234 W 48th St
Aphrodisia;264 Bleecker Street;New York, NY, 10014;264 Bleecker St
Apizz;217 Eldridge Street;New York, NY, 10002;217 Eldridge St
Apple Restaurant & Bom Bar;17 Waverly Place;New York, NY, 10003;17 Waverly Pl
Applebaum's;431 7th Avenue;New York, NY, 10001;431 7th Ave
Aquagrill;210 Spring Street;New York, NY, 10013;210 Spring St
Aquamarine;713 2nd Avenue;New York, NY, 10017;713 2nd Ave
Aquavit;65 East 55th Street;New York, NY, 10022;65 E 55th St
Arabelle;Plaza Athenee Hotel 37 East 64th Street;New York, NY, 10021;37 E 64th St
Arang;9 West 32nd Street;New York, NY, 10001;9 W 32nd St
Argentine Pavilion;32 West 46th Street;New York, NY, 10036;32 W 46th St
Ariana Afghan Kebab;787 9th Avenue;New York, NY, 10019;787 9th Ave
Arno Ristorante;141 West 38th Street;New York, NY, 10018;141 W 38th St
Aroma Kitchen & Winebar;36 East 4th Street;New York, NY, 10003;36 E 4th St
Around the Clock;8 Stuyvesant Street;New York, NY, 10003;8 Stuyvesant St
Arqua;281 Church Street;New York, NY, 10013;281 Church St
Arte;21 East 9th Street;New York, NY, 10003;21 E 9th St
Arte Café;106 West 73rd Street;New York, NY, 10023;106 W 73rd St
Artepasta;81 Greenwich Avenue;New York, NY, 10014;81 Greenwich Ave
Artisanal;2 Park Avenue;New York, NY, 10016;2 Park Ave
Arturo's Pizzeria;106 West Houston Street;New York, NY, 10012;106 W Houston St
Asia De Cuba;Morgans Hotel 237 Madison Avenue;New York, NY, 10016;237 Madison Ave
Asia Society Garden Court Cafe;725 Park Avenue;New York, NY, 10021;725 Park Ave
Asian Dragon;207 East 59th Street;New York, NY, 10022;207 E 59th St
Asiate;Mandarin Oriental Hotel;New York, NY, 10023;80 Columbus Cir
Askew (CLOSED);504 La Guardia Place;New York, NY, 10012;504 LaGuardia Pl
Assenzio;205 East 4th Street;New York, NY, 10003;205 E 4th St
Astor Place;New York, NY, 10003;;New York
Astor Place;;;
Atelier;Ritz-Carlton Central Park;New York, NY, 10019;50 Central Park S
Atomic Wings;528 9th Avenue;New York, NY, 10018;528 9th Ave
Atomic Wings;184 1st Avenue;New York, NY, 10009;184 1st Avenue
Atomic Wings;311 Broadway - Lower Level;New York, NY, 10007;311 Broadway
Atomic Wings @ Bar Costal;1495 1st Avenue;New York, NY, 10021;1495 1st Avenue
Atomic Wings @ Down the Hatch;179 West 4th Street;New York, NY, 10014;179 West 4th Street
Atomic Wings @ The Blue Room;1140 2nd Avenue;New York, NY, 10021;1140 2nd Ave
Au Bon Pain;1 State Street Plaza;New York, NY, 10004;New York
Au Bon Pain;6 Union Square East;New York, NY, 10003;6 Union Square E
Au Bon Pain;684 Broadway;New York, NY, 10012;684 Broadway
Au Bon Pain;58 East 8th Street;New York, NY, 10003;58 E 8th St
Au Bon Pain;600 Lexington Avenue;New York, NY, 10022;600 Lexington Ave
Au Bon Pain;125 West 55th Street;New York, NY, 10019;125 W 55th St
Au Bon Pain in Macy's;151 West 34th Street;New York, NY, 10001;151 W 34th St
Au Bon Pain in Port Authority;625 8th Avenue;New York, NY, 10018;625 8th Ave
Au Bon Pain in the World Financial Center;200 Liberty Street;New York, NY, 10281;200 Liberty Street
Au Mandarin;World Financial Ctr.;New York, NY, 10281;230 Vesey St
August;359 Bleecker Street;New York, NY, 10014;359 Bleecker St
Aura Thai;462 9th Avenue;New York, NY, 10018;462 9th Ave
Aureole (CLOSED);34 East 61st Street;New York, NY, 10021;34 E 61st St
Aurora;510 Broome Street;New York, NY, 10013;510 Broome St
Avalon;47 W. 20th St.;New York, NY, 10011;47 W 20th St
Avra;141 East 48th Street;New York, NY, 10017;141 E 48th St
Awash;338 East 6th Street;New York, NY, 10003;338 E 6th St
Awash Ethiopian Restaurant;947 Amsterdam Avenue;New York, NY, 10025;947 Amsterdam Ave
Ayurveda Café;706 Amsterdam Avenue;New York, NY, 10025;706 Amsterdam Ave
Ayza Cafe & Wine Bar;11 West 31st Street;New York, NY, 10001;11 W 31st St
Azafran;77 Warren Street;New York, NY, 10007;77 Warren St
Azalea Ristorante;224 West 51st Street;New York, NY, 10019;224 W 51st St
Azucar (Guantanamera);939 8th Avenue;New York, NY, 10019;939 8th Ave
Azuki;239 Park Avenue South;New York, NY, 10003;239 Park Ave S
Azul Bistro;152 Stanton Street;New York, NY, 10002;152 Stanton St
Azuri Café;465 West 51st Street;New York, NY, 10019;465 W 51st St
B & H Dairy Restaurant;127 2nd Avenue;New York, NY, 10003;127 2nd Ave
B B Doyles;302 West 51st Street;New York, NY, 10019;302 W 51st St
B Flat;277 Church Street;New York, NY, 10013;277 Church St
B. B. King Blues Club;237 West 42nd Street;New York, NY, 10036;237 W 42nd St
B. Cafe;240 East 75th Street;New York, NY, 10021;240 E 75th St
B. Frites;1657 Broadway;New York, NY, 10019;1657 Broadway
B. Smith's Restaurant Row;320 West 46th Street;New York, NY, 10036;320 W 46th St
B3 Resturant & Lounge (Closed);33 Avenue B at 3rd Street;New York, NY, 10009;33 Avenue B
BB Sandwich Bar;120 West 3rd Street;New York, NY, 10012;120 W 3rd St
BED New York;530 West 27th Street, 6th floor;New York, NY, 10001;530 W 27th St 6th floor
BF&B Bar and Restaurant;1061 1st Avenue;New York, NY, 10022;1061 1st Avenue
BG;Bergdorf Goodman;New York, NY, 10019;754 5th Ave
BLT Market;1430 Avenue of the Americas;New York, NY, 10019;1430 6th Ave
BLT Prime;111 East 22nd Street;New York, NY, 10010;111 E 22nd St
BLT Steak;106 East 57th Street;New York, NY, 10022;106 E 57th St
Babbo;110 Waverly Place;New York, NY, 10011;110 Waverly Pl
Babouche;92 Prince Street;New York, NY, 10012;92 Prince St
Babu;99 MacDougal Street, downstairs;New York, NY, 10012;99 MacDougal St
Babycakes;248 Broome Street;New York, NY, 10002;248 Broome St
Bacaro;136 Division Street;New York, NY, 10002;136 Division St
Bachue;36 West 21st Street;New York, NY, 10010;36 W 21st St
Back Forty;190 Avenue B;New York, NY, 10009;190 Avenue B
Baden Baden;28 West 32nd Street;New York, NY, 10001;28 W 32nd St
Bagel Bean;1710 Broadway;New York, NY, 10019;1710 Broadway
Bagel Buffet;406 6th Avenue;New York, NY, 10011;406 6th Ave
Bagel Buffet;510 6th Avenue;New York, NY, 10011;510 6th Ave
Bagel Maven Cafe;362 7th Avenue;New York, NY, 10001;362 7th Ave
Bagel More;331 Lexington Avenue;New York, NY, 10016;331 Lexington Ave
Bagel Stix;891 8th Avenue;New York, AL, 10019;891 8th Ave
Bagelfeller's;36 W 48th Street;New York, NY, 10036;36 W 48th St
Bagels On The Square;7 Carmine Street;New York, NY, 10014;7 Carmine St
Baked Ideas;450 Broadway;New York, NY, 10013;450 Broadway
Baker Street Pub;1152 1st Avenue;New York, NY, 10002;1152 1st Avenue
Baldoria;249 West 49th Street;New York, NY, 10019;249 W 49th St
Bali Nusa Indah;651 9th Avenue;New York, NY, 10036;651 9th Ave
Balsley Park Farmers Market;57th St. & 9th Avenue;New York, NY, 10019;9th Ave & W 57th St
Balthazar;80 Spring Street;New York, NY, 10012;80 Spring St
Baluchi's;193 Spring Street;New York, NY, 10012;193 Spring St
Baluchi's;1565 2nd Avenue;New York, NY, 10028;1565 2nd Ave
Baluchi's;1149 1st Avenue;New York, NY, 10021;1149 1st Avenue
Baluchi's;1431 1st Avenue;New York, NY, 10021;1431 1st Avenue
Baluchi's;240 West 56th Streets;New York, NY, 10019;240 W 56th St
Baluchi's;111 East 29th Street;New York, NY, 10016;111 E 29th St
Baluchi's;224 East 53rd Street;New York, NY, 10022;224 E 53rd St
Baluchi's;283 Columbus Avenue;New York, NY, 10023;283 Columbus Ave
Baluchi's;240 West 56th Street;New York, NY, 10019;240 W 56th St
Baluchi's;1724 2nd Avenue;New York, NY, 10128;1724 2nd Ave
Baluchi's;361 6th Avenue;New York, NY, 10014;361 6th Ave
Baluchi's;104 2nd Avenue;New York, NY, 10003;104 2nd Ave
Bamboleo;170 Bleecker Street;New York, NY, 10012;170 Bleecker St
Bamboo 52;344 West 52nd Street;New York, NY, 10019;344 W 52nd St
Bamiyan;358 3rd Avenue;New York, NY, 10010;358 3rd Ave
Bamn;37 St. Marks Place;New York, NY, 10003;37 St Marks Pl
Bandito;33 Greenwich Avenue;New York, NY, 10014;33 Greenwich Ave
Bandol;181 East 78th Street;New York, NY, 10021;181 E 78th St
Bangkok Café;27 East 20th Street;New York, NY, 10003;27 E 20th St
Bangkok Center Market;104 Mosco Street;New York, NY, 10013;104 Mosco St
Bangkok Grand Palace;882 1st Avenue;New York, NY, 10022;882 1st Avenue
Bangkok House;360 West 46 Street;New York, NY, 10036;360 W 46th St
Banh Mi Saigon - under the Manhattan Bridge;;;
Banh Mi Sau Voi Cafe;101-105 Lafayette Street;New York, NY, 10013;101 Lafayette St #105
Banjara;97 1st Avenue;New York, NY, 10003;97 1st Avenue
Bann;350 West 50th Street;New York, NY, 10019;350 W 50th St
Bao 111;111 Avenue C;New York, NY, 10009;111 Loisaida Ave
Bao Noodles;391 2nd Avenue;New York, NY, 10010;391 2nd Ave
Bar 12;206 E 34th Street;New York, NY, 10019;206 E 34th St
Bar Americain;152 West 52nd Street;New York, NY, 10019;152 W 52nd St
Bar Blanc;142 W 10th St;New York, NY, 10014;142 W 10th St
Bar Martignetti;406 Broome Street;New York, NY, 10013;406 Broome St
Bar Masa;10 Columbus Circle, 4th fl.;New York, NY, 10019;10 Columbus Cir 4th fl
Bar Pitti;268 6th Avenue;New York, NY, 10014;268 6th Ave
Bar Six;502 6th Avenue;New York, NY, 10011;502 6th Ave
Bar Veloce;175 2nd Avenue;New York, NY, 10003;175 2nd Ave
Bar Veloce;176 7th Avenue;New York, NY, 10011;176 7th Ave
BarBossa;232 Elizabeth Street;New York, NY, 10012;232 Elizabeth St
BarFry (CLOSED);50 Carmine Street;New York, NY, 10014;50 Carmine St
Baraonda;1439 2nd Avenue;New York, NY, 10021;1439 2nd Ave
Barbaluc;135 East 65th Street;New York, NY, 10021;135 E 65th St
Barbes Manhattan;21 East 36th Street;New York, NY, 10016;21 E 36th St
Barbetta;321 West 46th Street;New York, NY, 10036;321 W 46th St
Barbuto;775 Washington Street;New York, NY, 10014;775 Washington St
Barbès;21 East 36th Street;New York, NY, 10016;21 E 36th St
Bari;529 Broadway;New York, NY, 10012;529 Broadway
Barking Dog;1453 York Avenue;New York, NY, 10021;1453 York Ave
Barking Dog;150 East 34th Street;New York, NY, 10016;150 E 34th St
Barking Dog;1678 3rd Avenue;New York, NY, 10128;1678 3rd Ave
Barmarché;14 Spring Street;New York, NY, 10012;14 Spring St
Barna;365 Park Avenue South;New York, NY, 10016;365 Park Ave S
Barney Greengrass;541 Amsterdam Avenue;New York, NY, 10024;541 Amsterdam Ave
Barneys NY 660 Madison Avenue, 9th fl.;;;
Barolo;398 West Broadway;New York, NY, 10012;398 W Broadway
Barrio Chino;253 Broome Street;New York, NY, 10002;253 Broome St
Basilica;676 9th Avenue;New York, NY, 10036;676 9th Ave
Basilica Restaurant;676 9th Avenue;New York, NY, 10036;676 9th Ave
Basso Est (CLOSED);198 Orchard Street;New York, NY, 10002;198 Orchard St
Basso56;234 West 56th Street;New York, NY, 10019;234 W 56th St
Basta Pasta;37 West 17th Street;New York, NY, 10011;37 W 17th St
Battery Gardens;SW corner of Battery Park;New York, NY, 10004;New York
Battery Park;;;
Bay Leaf;49 West 56th Street;New York, NY, 10019;49 W 56th St
Bayard's;1 Hanover Square;New York, NY, 10004;1 Hanover Square
Bayou;308 Lenox Avenue;New York, NY, 10027;308 Lenox Ave
Bbq Restaurant;21 University Place;New York, NY, 10003;21 University Pl
Beacon;25 West 56th Street;New York, NY, 10019;25 W 56th St
Beard Papa Sweets Cafe;2167 Broadway;New York, NY, 10024;2167 Broadway
Becco;355 West 46th Street;New York, NY, 10036;355 W 46th St
Belcourt;84 East 4th Street;New York, NY, 10003;84 E 4th St
Bella Blu;967 Lexington Avenue;New York, NY, 10021;967 Lexington Ave
Bella Cucina Incorporated;1297 Lexington Avenue;New York, NY, 10128;1297 Lexington Ave
Bella Luna;584 Columbus Avenue;New York, NY, 10024;584 Columbus Ave
Bella Napoli;150 West 49th Street;New York, NY, 10019;150 W 49th St
Bella Napoli;130 Madison Avenue;New York, NY, 10016;130 Madison Ave
Bella Napoli;257 7th Avenue;New York, NY, 10001;257 7th Ave
Bellavitae;21 Minetta Lane;New York, NY, 10012;21 Minetta Ln
Bello;863 9th Avenue;New York, NY, 10019;863 9th Ave
Bello Giardino;71W 71st;New York, NY, 10023;W 71st St
Bello Sguardo;410 Amsterdam Avenue;New York, NY, 10024;410 Amsterdam Ave
Bello's;130 St Marks Place;New York, NY, 10009;130 St Marks Pl
Belluno Ristorante;340 Lexington Avenue;New York, NY, 10016;340 Lexington Ave
Belly Delly Deli;1625 Broadway;New York, NY, 10019;1625 Broadway
Belmont Lounge;117 East 15th Street;New York, NY, 10003;117 E 15th St
Bem Bolado;2049 2nd Avenue at 105th Street;New York, NY, 10021;2049 2nd Ave
Ben & Jack's Steak House;219 East 44th Street;New York, NY, 10017;219 E 44th St
Ben Benson's Steakhouse;123 West 52nd Street;New York, NY, 10019;123 W 52nd St
Ben's Kosher Deli;209 West 38th Street;New York, NY, 10018;209 W 38th St
Ben's Pizza;123 MacDougal Street at West 3rd Street;New York, NY, 10012;123 MacDougal St
Benito One;174 Mulberry Street;New York, NY, 10013;174 Mulberry St
Benjamin Hote, 565 Lexington Avenue near 50th Street;;;
Benjamin Restaurant & Bar;603 2nd Avenue;New York, NY, 10016;603 2nd Ave
Bennies Thai Cafe;88 Fulton Street at Gold Street;New York, NY, 10038;88 Fulton St
Benny's Burritos;93 Avenue A;New York, NY, 10009;93 Avenue A
Benny's Burritos;113 Greenwich Avenue;New York, NY, 10014;113 Greenwich Ave
Beppe;45 East 22nd Street;New York, NY, 10010;45 E 22nd St
Bereket;187 East Houston Street;New York, NY, 10002;187 E Houston St
Bergdorf Goodman;;;
Best Cellars;1291 Lexington Avenue at 87th Street;New York, NY, 10028;1291 Lexington Ave
Bette (CLOSED);461 West 23rd Street;New York, NY, 10011;461 W 23rd St
Better Burger;565 3rd Avenue;New York, NY, 10016;565 3rd Ave
Better Burger;1614 2nd Avenue;New York, NY, 10028;1614 2nd Ave
Better Burger;178 8th Avenue;New York, NY, 10011;178 8th Ave
Better Burger;587 9th Avenue;New York, NY, 10036;587 9th Ave
Bettola;412 Amsterdam Avenue;New York, NY, 10024;412 Amsterdam Ave
Beyoglu;1431 3rd Avenue;New York, NY, 10028;1431 3rd Ave
Bianca;5 Bleecker Street;New York, NY, 10012;5 Bleecker St
Bice;7 East 54th Street;New York, NY, 10022;7 E 54th St
Big Al's;9 Thames Street,;New York, NY, 10006;9 Thames St
Big Booty Bread Co;261 West 23rd Street;New York, NY, 10011;261 W 23rd St
Big City Bar & Grill;1600 3rd Avenue at 90th Street;New York, NY, 10128;1600 3rd Ave
Big Daddy's - Park;239 Park Avenue S;New York, NY, 10003;239 Park Ave S
Big Daddy's Diner - East Side;1598 2nd Avenue;New York, NY, 10021;1598 2nd Ave
Big John;199 Orchard Street;New York, NY, 10002;199 Orchard St
Big Nick's;2175 Broadway;New York, NY, 10024;2175 Broadway
Billie's Black Bar, Lounge & Restaurant;271 West 119th Street;New York, NY, 10026;271 W 119th St
Billy's Bakery;184 9th Avenue;New York, NY, 10011;184 9th Ave
