restaurant;in;address1;address2;address3;neighborhood;phone;type;addressGoogle
66 (CLOSED);;241 Church St;between Leonard and Worth Sts;;Tribeca;(212-925-0202);Chinese;241 Church St
71 Clinton Fresh Food (CLOSED);;71 Clinton St;between Rivington and Stanton Sts;;Lower East Side;(212-614-6960);American Creative;71 Clinton St
7A;;109 Ave A;at 7th St;;East Village;(212-673-6583);American;109 Avenue A
809 Sangria Bar and Grill;;112 Dyckman St;between Nagle and Sherman Aves;;Inwood;(212-304-3800);Caribbean: Dominican;112 Dyckman St
88 Orchard;;88 Orchard St;between Broome and Grand Sts;;Lower East Side;(212-228-8880);Cafés;88 Orchard St
92YTribeca Cafe;;200 Hudson St;at Canal St;;Tribeca;(212-601-1000);Kosher;200 Hudson St
99 Miles to Philly;;94 Third Ave;between 12th and 13th Sts;;East Village;(212-253-2700);American;94 3rd Ave
99? Fresh Pizza;;569 Ninth Ave;at 41st St;;Midtown West;(212-268-1461);Italian;569 9th Ave
99c Fresh Pizza;;569 Ninth Ave;at 41st St;;Midtown West;(212-268-1461);Italian;569 9th Ave
?sküdar;;1405 Second Ave;between 73rd and 74th Sts;;Upper East Side;(212-988-2641);Turkish;1405 2nd Ave
A Café and Wine Room;;973 Columbus Ave;between 107th and 108th Sts;;Upper West Side;(212-222-2033);Eclectic;973 Columbus Ave
A Salt & Battery;;112 Greenwich Ave;between 12th and 13th Sts;;West Village;(212-691-2713);British & Irish;112 Greenwich Ave
A Salt & Battery (CLOSED);;80 Second Ave;between 4th and 5th Sts;;East Village;(212-254-6610);British & Irish;80 2nd Ave
A Voce;41 Madison Ave;;entrance on 26th St;between Madison Ave and Park Ave South;Gramercy/Flatiron;(212-545-8555);Italian;
A.O.C.;;314 Bleecker St;at Grove St;;West Village;(212-675-9463);French;314 Bleecker St
A.O.C. Bedford (CLOSED);;14 Bedford St;between Sixth Ave and Downing St;;West Village;(212-414-4764);Spanish;14 Bedford St
AQ Café;Scandinavia House;;58 Park Ave;between 37th and 38th Sts;Midtown East;(212-879-9779);Seafood;
AQ Kafé;;1800 Broadway;between 58th and 59th Sts;;Midtown West;(718-784-7364);Scandinavian;1800 Broadway
Abboccato;;138 W 55th St;between Sixth and Seventh Aves;;Midtown West;(212-265-4000);Italian;138 W 55th St
Abraço;;86 E 7th St;between First and Second Aves;;East Village;(212-388-9731);Cafés & diners;86 E 7th St
Absolute Bagels;;2788 Broadway;between 106th and 107th Sts;;Upper West Side;(212-932-2052);Cafés;2788 Broadway
Aburiya Kinnosuke;;213 E 45th St;between Second and Third Aves;;Midtown East;(212-867-5454);Japanese;213 E 45th St
Accademia di Vino;;1081 Third Ave;at 64th St;;Upper East Side;(212-888-6333);Italian;1081 3rd Ave
Acme Bar & Grill/Acme Underground;;9 Great Jones St;between Broadway and Lafayette St;;Greenwich Village;(212-420-1934);American Regional;9 Great Jones St
Acqua;;718 Amsterdam Ave;at 95th St;;Upper West Side;(212-222-2752);Italian;718 Amsterdam Ave
Acqua Pazza (CLOSED);;36 W 52nd St;between Fifth and Sixth Aves;;Midtown West;(212-582-6900);Italian;36 W 52nd St
Adelina Vegetarian Kitchen;119 E 17th St;;;;;;;
Adiletto’s;;812 Washington St;between Gansevoort and Horatio Sts;;Meatpacking District;(212-352-3581);Italian;812 Washington St
Adour Alain Ducasse at The St. Regis New York;;2 E 55th St;at Fifth Ave;;Midtown West;(212-710-2277);French;2 E 55th St
Adrienne’s Pizzabar;;53 Stone St;between Mill St and Coenties Alley;;Financial District;(212-248-3838);Italian;53 Stone St
Adä;;208 E 58th St;between Second and Third Aves;;Midtown East;(212-371-6060);Indian;208 E 58th St
Affettati;;131 E 7th St;between First Ave and Ave A;;East Village;(212-228-6875);Italian;131 E 7th St
Affettati (CLOSED);131 E 7th St;;;;;;;
After 8.5;;9 W 57th St;between Fifth and Sixth Aves;;Midtown West;(212-829-0812);French;East River Realty Company
Agata & Valentina;;1505 First Ave;at 79th St;;Upper East Side;(212-452-0690);Food or Beverage Shop;1505 1st Avenue
Agave;;140 Seventh Ave South;between Charles and W 10th Sts;;West Village;(212-989-2100);American Regional;140 7th Ave
Ago;;377 Greenwich St;at North Moore St;;Tribeca;(212-925-3797);Italian;377 Greenwich St
Ago;379 Greenwich St;;;;;;;
Agozar!;;324 Bowery;between Bleecker and Bond Sts;;East Village;(212-677-6773);Caribbean: Cuban;324 Bowery
Aja;;1066 First Ave;at 58th St;;Midtown East;(212-888-8008);Asian: Pan-Asian;1066 1st Avenue
Aja;;432 Sixth Ave;between 9th and 10th Sts;;Greenwich Village;(212-253-7100);Asian: Pan-Asian;432 6th Ave
Ajisai;;1466 First Ave;between 76th and 77th Sts;;Upper East Side;(212-717-5464);Japanese;1466 1st Avenue
Ajisen Noodle;;14 Mott St;between Chatham Sq and Pell St;;Chinatown/Little Italy;(212-267-9680);Japanese;14 Mott St
Akai Lounge;507 Columbus Ave;;;;;;;
Akdeniz;;19 W 46th St;between Fifth and Sixth Aves;;Midtown West;(212-575-2307);Turkish;19 W 46th St
Aki;;181 W 4th St;between Barrow and Jones Sts;;West Village;(212-989-5440);Japanese;181 West 4th Street
Al Baraka;;1613 Second Ave;between 83rd and 84th Sts;;Upper East Side;(212-744-2122);Moroccan;1613 2nd Ave
Al Bustan;;827 Third Ave;between 50th and 51st Sts;;Midtown East;(212-759-5933);Middle Eastern;827 3rd Ave
Al Diwan;;210 Ave A;at 13th St;;East Village;(212-375-1300);Middle Eastern;210 Avenue A
Alain Ducasse at the Essex House (CLOSED);;155 W 58th St;between Sixth and Seventh Aves;;Midtown West;(212-265-7300);French;155 W 58th St
Alan’s Falafel;;Cedar St;at Broadway;;Financial District;;Middle Eastern;Cedar St
Alcala;;342 E 46th St;between First and Second Aves;;Midtown East;(212-370-1866);Spanish;342 E 46th St
Alexandra;;455 Hudson St;between Barrow and Morton Sts;;West Village;(212-255-3838);American;455 Hudson St
Alfama;;551 Hudson St;at Perry St;;West Village;(212-645-2500);Portuguese;551 Hudson St
Alfanoose;;8 Maiden Lane;between Broadway and Nassau Sts;;Financial District;(212-528-4669);Middle Eastern;8 Maiden Ln
Alfredo of Rome;;4 W 49th St;at Fifth Ave;;Midtown West;(212-397-0100);Italian;4 W 49th St
Algonquin Hotel;;59 W 44th St;between Fifth and Sixth Aves;;Midtown West;(212-840-6800);American;59 W 44th St
Ali Baba;;212 E 34th St;between Second and Third Aves;;Midtown East;(212-683-9206);Turkish;212 E 34th St
Alias;;76 Clinton St;at Rivington St;;Lower East Side;(212-505-5011);American Creative;76 Clinton St
Alice's Tea Cup Chapter II;;156 E 64th Street;between Third and Lexington Aves;;Upper East Side;(212-486-9200);Cafés & diners;156 E 64th St
Alice’s Tea Cup;;102 W 73rd St;at Columbus Ave;;Upper West Side;(212-799-3006);Cafés & diners;102 W 73rd St
Alice’s Tea Cup;;220 E 81st St;between Second and Third Aves;;Upper East Side;(212-734-4832);Cafés & diners;220 E 81st St
Allegretti;;46 W 22nd St;at Sixth Ave;;Gramercy/Flatiron;(212-206-0555);French;46 W 22nd St
Allen & Delancey;;115 Allen St;at Delancey St;;Lower East Side;(212-253-5400);American Creative;115 Allen St
Alloro;;307 E 77th St;between First and Second Aves;;Upper East Side;(212-535-2866);Italian;307 E 77th St
Alma Grill;;134 E 48th St;at Lexington Ave;;Midtown East;(212-593-5900);American Creative;134 E 48th St
Almond;;12 E 22nd St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-228-7557);French;12 E 22nd St
Aloe Restaurant;;406 E 9th St;between First Ave and Avenue A;;East Village;(212-358-8400);American Creative;406 E 9th St
Alonso’s Steakhouse;;265 W 20th St;between Seventh and Eighth Aves;;Chelsea;(212-675-7749);Steakhouses;265 W 20th St
Alouette;;2588 Broadway;between 97th and 98th Sts;;Upper West Side;(212-222-6808);French;2588 Broadway
Alphabet Scoop;;543 E 11th St;between Aves A and B;;East Village;(212-982-1422);Food or Beverage Shop;543 E 11th St
Alta;;64 W 10th St;between Fifth and Sixth Aves;;Greenwich Village;(212-505-7777);Mediterranean;64 W 10th St
Alto;;11 E 53rd St;;;Midtown East;(212-308-1099);Italian;11 E 53rd St
Ama;;48 MacDougal St;between Houston and Prince Sts;;Soho;(212-358-1707);Italian;48 MacDougal St
Amai Tea & Bake House;;171 Third Ave;between 16th and 17th Sts;;Gramercy/Flatiron;(212-863-9630);Cafés & diners;171 3rd Ave
Amaranth;;21 E 62nd St;between Fifth and Madison Aves;;Upper East Side;(212-980-6700);Mediterranean;21 E 62nd St
Amber;;1406 Third Ave;at 80th St;;Upper East Side;(212-249-5020);Japanese;1406 3rd Ave
Amber;;221 Columbus Ave;at 70th St;;Upper West Side;(212-799-8100);Japanese;221 Columbus Ave
Amish Market;;53 Park Pl;at West Broadway;;Financial District;(212-608-3863);Food or Beverage Shop;53 Park Pl
Amma;;246 E 51st St;between Second and Third Aves;;Midtown East;(212-644-8330);Indian;246 E 51st St
Ammos;;52 Vanderbilt Ave;at 45th St;;Midtown East;(212-922-9999);Greek;52 Vanderbilt Ave
Amor Cubano;;2018 Third Ave;at 111th St;;East Harlem;(212-996-1220);Caribbean: Cuban;2018 3rd Ave
Amsterdam Restaurant and Tapas Lounge;;1207 Amsterdam Ave;between 119th and 120th Sts;;Columbia University–City College;(212-662-6330);Mediterranean;1207 Amsterdam Ave
Amy Ruth’s;;113 W 116th St;between Malcolm X Blvd (Lenox Ave) and Adam Clayton Powell Jr. Blvd (Seventh Ave);;Harlem;(212-280-8779);American Regional;113 W 116th St
Amy’s Bread;;672 Ninth Ave;between 46th and 47th Sts;;Midtown West;(212-977-2670);Cafés;672 9th Ave
Amy’s Bread;;75 Ninth Ave;between 15th and 16th Sts;;Chelsea;(212-462-4338);Cafés;75 9th Ave
Amy’s Bread;;250 Bleecker St;between Carmine and Leroy Sts;;West Village;(212-675-7802);Cafés;250 Bleecker St
An American Place;Lord & Taylor;;424 Fifth Ave;at 38th St;fifth floor;Midtown East;(212-827-5068);
Andavi;;91 Christopher St;at Bleecker St;;West Village;(212-604-9696);Italian;91 Christopher St
Angelica Kitchen;;300 E 12th St;between First and Second Aves;;East Village;(212-228-2909);Vegetarian & Organic;300 E 12th St
Angelina;;36B Ave A;between 2nd and 3rd Sts;;East Village;(212-533-7183);Eclectic;36B Avenue A
Angelo & Maxie’s;;233 Park Ave South;at 19th St;;Gramercy/Flatiron;(212-220-9200);Steakhouses;233 Park Ave S
Angelo’s of Mulberry Street;;146 Mulberry St;between Grand and Hester Sts;;Chinatown/Little Italy;(212-966-1277);Italian;146 Mulberry St
Angon on Sixth;;320 E 6th St;between First and Second Aves;;East Village;(212-260-8229);Indian;320 E 6th St
Angus McIndoe;;258 W 44th St;between Seventh and Eighth Aves;;Midtown West;(212-221-9222);American;258 W 44th St
Anh (CLOSED);;363 Third Ave;between 26th and 27th Sts;;Gramercy/Flatiron;(212-532-2858);Vietnamese;363 3rd Ave
Anna Maria;;112 E 23rd St;between Park and Lexington Aves;;Gramercy/Flatiron;(212-777-3200);Italian;112 E 23rd St
Annisa;;13 Barrow St;between Bleecker and W 4th Sts;;West Village;(212-741-6699);American Creative;13 Barrow St
Anthos;;36 W 52nd St;between Fifth and Sixth Aves;;Midtown West;(212-582-6900);Greek;36 W 52nd St
Antibes Bistro;;127 First Ave;between 7th and 8th Sts;;East Village;(212-533-6088);French;127 1st Avenue
Antica Venezia;;396 West St;at W 10th St;;West Village;(212-229-0606);Italian;396 West St
Antique Garage;;41 Mercer St;between Broome and Grand Sts;;Soho;(212-219-1019);Mediterranean;41 Mercer St
Antonucci;;170 E 81st St;between Lexington and Third Aves;;Upper East Side;(212-570-5100);Italian;170 E 81st St
Anyway Cafe;;34 E 2nd St;at Second Ave;;East Village;(212-473-5021);Russian;34 E 2nd St
AperiTIVO;;780 Third Ave;at 48th St;;Midtown East;(212-758-9402);Italian;780 3rd Ave
Apiary;;60 Third Ave;between 10th and 11th Sts;;East Village;(212-254-0888);American;60 3rd Ave
Apizz;;217 Eldridge St;at Stanton St;;Lower East Side;(212-253-9199);Italian;217 Eldridge St
Aquagrill;;210 Spring St;at Sixth Ave;;Soho;(212-274-0505);Seafood;210 Spring St
Aquavit;;65 E 55th St;between Madison and Park Aves;;Midtown West;(212-307-7311);Eclectic;65 E 55th St
Arabelle;Plaza Athénée;;37 E 64th St;between Madison and Park Aves;Upper East Side;(212-606-4647);American Creative;
Arcane;;111 Ave C;between 7th and 8th Sts;;East Village;(212-777-0477);French;111 Loisaida Ave
Archipelago (CLOSED);;333 Hudson St;at Charlton St;;Soho;(212-243-3345);Japanese;333 Hudson St
Arezzo (CLOSED);;46 W 22nd St;between Fifth and Sixth Aves;;Chelsea;(212-206-0555);Italian;46 W 22nd St
Ariana Afghan Kebab;;787 Ninth Ave;between 52nd and 53rd Sts;;Midtown West;(212-262-2323);Afghan;787 9th Ave
Arium;;31 Little West 12th St;between Greenwich and Washington Sts;;Meatpacking District;(212-463-8630);Cafés & diners;31 Little W 12th St
Ariyoshi;;806 Broadway;between 11th and 12th Sts;;East Village;(212-388-1884);Japanese;806 Broadway
Arlo & Esme;;42 E 1st St;between First and Second Aves;;East Village;(212-777-5617);Food or Beverage Shop;42 E 1st St
Armani/Ristorante 5th Avenue;717 Fifth Ave;;;;;;;
Aroma Espresso Bar;;145 Greene St;at Houston St;;Greenwich Village;(212-533-1094);Cafés & diners;145 Greene St
Aroma Espresso Bar;Daily 6am–11pm;;;;;;;
Aroma Espresso Bar;;161 W 72nd St;between Columbus and Amsterdam Aves;;Upper West Side;(no phone yet);Cafés & diners;161 W 72nd St
Aroma Kitchen & Winebar;;36 E 4th St;between Bowery and Lafayette St;;East Village;(212-375-0100);Italian;36 E 4th St
Arqua;;281 Church St;at White St;;Tribeca;(212-334-1888);Italian;281 Church St
Arriba Arriba!;;762 Ninth Ave;at 51st St;;Midtown West;(212-489-0810);Mexican;762 9th Ave
Artevino;;274 Columbus Ave;between 72nd and 73rd Sts;;Upper West Side;(212-875-2195);Italian;274 Columbus Ave
Artichoke Basille's Pizza & Brewery;;328 E 14th St;between First and Second Aves;;East Village;(212-228-2004);Italian;328 E 14th St
Artie’s Delicatessen;;2290 Broadway;at 83rd St;;Upper West Side;(212-579-5959);American;2290 Broadway
Artisanal;;2 Park Ave;at 32nd St;;Midtown East;(212-725-8585);French;2 Park Ave 20th floor
Artisanal Cheese Center;;500 W 37th St;at Tenth Ave;;Midtown West;(212-239-1200);French;500 W 37th St
Arturo’s Pizzeria;;106 W Houston St;at Thompson St;;Greenwich Village;(212-677-3820);Italian: Pizza;106 W Houston St
Arté;;21 E 9th St;between Fifth Ave and University Pl;;Greenwich Village;(212-473-0077);Italian;21 E 9th St
Asia de Cuba;Morgans Hotel;;237 Madison Ave;between 37th and 38th Sts;Midtown East;(212-726-7755);Asian: Pan-Asian;
Asiakan;;710 Amsterdam Ave;between 94th and 95th Sts;;Upper West Side;(212-280-8878);Asian: Pan-Asian;710 Amsterdam Ave
Asian Bistro;70 Seventh Ave;;;;;;;
Asiana?Restaurant & Bar?;;120 East 34th Street;between Lexington and Park Aves;;Midtown East;(212-712-7666);Asian: Pan-Asian;120 E 34th St
Asiate;Mandarin Oriental Hotel in the Time Warner Center;;80 Columbus Circle;at 60th St;Midtown West;(212-805-8881);Asian: Pan-Asian;
Askew;;504 La Guardia Pl;between Bleecker and Houston Sts;;Greenwich Village;(212-529-3560);Eclectic;504 LaGuardia Pl
Aspen;;30 W 22nd St;between Fifth and Sixth Aves;;Gramercy/Flatiron;(212-645-5040);American Creative;30 W 22nd St
Aspen Social Club;;157 W 47th St;between Sixth and Seventh Aves;;Midtown West;(212-221-7200);American;157 W 47th St
Assenzio;;205 E 4th St;between Aves A and B;;East Village;(212-677-9466);Italian;205 E 4th St
Astor Center;399 Lafayette St;;;;;;;
Astor Wines & Spirits;;399 Lafayette St;at 4th St;;Greenwich Village;(212-674-7500);Food or Beverage Shop;399 Lafayette St
At Vermilion;;480 Lexington Ave;at 46th St;;Midtown East;(212-871-6600);Eclectic;480 Lexington Ave
Ate Ave;;169 Eighth Ave;between 18th and 19th Sts;;Chelsea;(646-763-8355);American;169 8th Ave
Atlantic Grill;;1341 Third Ave;between 76th and 77th Sts;;Upper East Side;(212-988-9200);Seafood;1341 3rd Ave
Atlas;73 Second Ave;;;;;;;
Atomic Wings;;184 First Ave;between 11th & 12th;;East Village;(212-505-7272);American;184 1st Avenue
Atomic Wings;;528 Ninth Ave;between 39th and 40th Sts;;Midtown West;(212-760-9090);American;528 9th Ave
Atomic Wings;;179 W 4th St;between 6th and 7th Sts;;West Village;(212-627-9500);American;179 West 4th Street
Atomic Wings @ Bar Coastal;;1495 First Ave;at 78th St;;Upper East Side;(212-772-8400);American;1495 1st Avenue
Atomic Wings @ The Blue Room;;1140 Second Ave;at 60th St;;Upper East Side;(212-888-5777);American;1140 2nd Ave
Atria;;13–15 W 54th St;between Fifth and Sixth Aves;;Midtown West;(212-262-4600);Eclectic;13 W 54th St
August;;359 Bleecker St;between Charles and W 10th Sts;;West Village;(212-929-4774);Eclectic;359 Bleecker St
Aureole;;34 E 61st St;between Madison and Park Aves;;Upper East Side;(212-319-1660);American Creative;34 E 61st St
Aurora;;510 Broome St;between Thompson St and West Broadway;;Soho;(212-334-9020);Italian;510 Broome St
Aurora Soho;;510 Broome St;between Thompson St and West Broadway;;Soho;(212-334-9020);Italian;510 Broome St
Automatic Slims;;733 Washington St;at Bank St;;West Village;(212-645-8660);American Regional;733 Washington St
Avenue A Sushi;;103 Ave A;between 6th and 7th Sts;;East Village;(212-982-8109);Japanese;103 Avenue A
Avon Bistro;;155 E 52nd St;between Lexington and Third Aves;;Midtown East;(212-752-9587);Eclectic;155 E 52nd St
Avra;;141 E 48th St;between Lexington and Third Aves;;Midtown East;(212-759-8550);Greek;141 E 48th St
Awash;;947 Amsterdam Ave;between 106th and 107th Sts;;Upper West Side;(212-961-1416);African: Ethiopian;947 Amsterdam Ave
Awash;;338 E 6th St;between First and Second Aves;;East Village;(212-982-9589);African: Ethiopian;338 E 6th St
Ayurveda Café;;706 Amsterdam Ave;at 94th St;;Upper West Side;(212-932-2400);Indian;706 Amsterdam Ave
Ayza Café and Wine Bar;;11 W 31st St;between Fifth Ave and Broadway;;Midtown East;(212-714-2992);Eclectic;11 W 31st St
Azafrán;;77 Warren St;between Greenwich St and West Broadway;;Financial District;(212-284-0577);Spanish;77 Warren St
Azalea;;224 W 51st St;between Broadway and Eighth Aves;;Midtown West;(212-262-0105);Italian;224 W 51st St
Azucar;;939 Eighth Ave;between 55th and 56th Sts;;Midtown West;(212-262-5354);Caribbean: Cuban;939 8th Ave
Azul Argentine Bistro;;152 Stanton St;at Suffolk St;;Lower East Side;(646-602-2004);Argentine;152 Stanton St
Azáza;;891 First Ave;at 50th St;;Midtown East;(212-751-0700);Chinese;891 1st Avenue
B Bar and Grill;;40 E 4th St;at Bowery;;East Village;(212-475-2220);American;40 E 4th St
B-Bap Fusion Rice Bar;;830 Ninth Ave;between 54th and 55th Sts;;Midtown East;(212-315-0033);Korean;830 9th Ave
B. Cafe;;240 E 75th St;between Second and Third Aves;;Upper East Side;(212-249-3300);Belgian;240 E 75th St
B. Cafe West;;566 Amsterdam Ave;between 87th and 88th Sts;;Upper West Side;(212-873-0003);Belgian;566 Amsterdam Ave
B. Smith’s Restaurant;;Barbara Smith;a lifestyle guru who’s sort of like Martha Stewart;;only not a convicted felon;offers “global cuisine” at her relaxing restaurant....;American Regional;50 Broadway
B. Smith’s Restaurant;;320 W 46th St;between Eighth and Ninth Aves;;Midtown West;(212-315-1100);American Regional;320 W 46th St
B3 Restaurant & Lounge;;33 Ave B;at 3rd St;;East Village;(212-614-9755);American;33 Avenue B
BB Sandwich Bar;;120 W 3rd St;between MacDougal St and Sixth Ave;;Greenwich Village;(212-473-7500);American;120 W 3rd St
BCD Tofu House;;17 W 32nd St;between Fifth Ave and Broadway;;Midtown West;(212-967-1900);Korean;17 W 32nd St
BG;;754 Fifth Ave;between 57th and 58th Sts;;Midtown East;(212-872-8977);Cafés;754 5th Ave
BLT Burger;;470 Sixth Ave;between 11th and 12th Aves;;Greenwich Village;(212-243-8226);American;470 6th Ave
BLT Fish;;21 W 17th St;between Fifth and Sixth Aves;;Chelsea;(212-691-8888);Seafood;21 W 17th St
BLT Market;Ritz Carlton New York;;Central Park;1430 Sixth Ave;at Central Park South;Midtown West;(212-521-6125);
BLT Prime;;111 E 22nd St;between Park Ave South and Lexington Ave;;Gramercy/Flatiron;(212-995-8500);Steakhouses;111 E 22nd St
BLT Steak;;106 E 57th St;between Park and Lexington Aves;;Midtown East;(212-752-7470);Steakhouses;106 E 57th St
BRGR;;287 Seventh Ave;between 26th and 27th Sts;;Chelsea;(212-488-7500);American;287 7th Ave
BXL Cafe;;125 W43rd St;between Sixth and Seventh Ave;;Midtown West;(212-768-0200);Belgian;125 W 43rd St
Babbo;;110 Waverly Pl;between MacDougal St and Sixth Ave;;Greenwich Village;(212-777-0303);Italian;110 Waverly Pl
Babouche;;92 Prince St;at Mercer St;;Soho;(212-219-8155);Moroccan;92 Prince St
Baby Cakes;;248 Broome St;between Ludlow and Orchard Sts;;Lower East Side;(212-677-5047);Cafés & diners;248 Broome St
Bacaro;;136 Division St;between Ludlow and Orchard Sts;;Lower East Side;(212-941-5060);Italian;136 Division St
Back Forty;;190 Ave B;between 11th and 12th Sts;;East Village;(212-388-1990);American;190 Avenue B
Bagatelle;;409 W 13th St;between Ninth Ave and Washington St;;Meatpacking District;(212-675-2400);French;409 W 13th St
Bagicha (CLOSED);;226 W 79th St;at Broadway;;Upper West Side;(212-362-1767);Indian;226 W 79th St
Baldo Vino;;126 E 7th St;between First Ave and Ave A;;East Village;(212-979-0319);Italian;126 E 7th St
Baldoria;;249 W 49th St;between Broadway and Eighth Ave;;Midtown West;(212-582-0460);Italian;249 W 49th St
Bali Nusa Indah;;651 Ninth Ave;between 45th and 46th Sts;;Midtown West;(212-974-1875);Asian: Indonesian;651 9th Ave
Balthazar;;80 Spring St;between Broadway and Crosby St;;Soho;(212-965-1414);French;80 Spring St
Baluchi’s;;329 Third Ave;between 24th and 25th Sts;;Gramercy/Flatiron;(212-679-3434);Indian;329 3rd Ave
Baluchi’s;;224 E 53rd St;between Second and Third Aves;;Midtown East;(212-750-5515);Indian;224 E 53rd St
Baluchi’s;;240 W 56th St;between Broadway and Eighth Ave;;Midtown West;(212-397-0707);Indian;240 W 56th St
Baluchi’s;;104 Second Ave;between 6th and 7th Sts;;East Village;(212-780-6000);Indian;104 2nd Ave
Baluchi’s;;1565 Second Ave;between 81st and 82nd Sts;;Upper East Side;(212-288-4810);Indian;1565 2nd Ave
Baluchi’s;;361 Sixth Ave;between Washington Pl and W 4th St;;West Village;(212-929-2441);Indian;361 6th Ave
Baluchi’s;;275 Greenwich St;at Water St;;Financial District;(212-571-5343);Indian;275 Greenwich St
Baluchi’s;;193 Spring St;between Sullivan and Thompson Sts;;Soho;(212-226-2828);Indian;193 Spring St
Baluchi’s;;1431 First Ave;between 74th and 75th Sts;;Upper East Side;(212-396-1400);Indian;1431 1st Avenue
Baluchi’s;;1149 First Ave;at 63rd St;;Upper East Side;(212-371-3535);Indian;1149 1st Avenue
Baluchi’s;;1724 Second Ave;between 88th and 89th Sts;;Upper East Side;(212-996-2600);Indian;1724 2nd Ave
Baluchi’s (CLOSED);;283 Columbus Ave;between 73rd and 74th Sts;;Upper West Side;(212-579-3900);Indian;283 Columbus Ave
Baluchi’s (CLOSED);;111 E 29th St;between Park Ave South and Lexington Ave;;Gramercy/Flatiron;(212-481-4545);Indian;111 E 29th St
Bamboo 52;;344 W 52nd St;between Eighth and Ninth Aves;;Midtown West;(212-315-2777);Asian: Pan-Asian;344 W 52nd St
Bamiyan;;358 Third Ave;at 26th St;;Gramercy/Flatiron;(212-481-3232);Afghan;358 3rd Ave
Bamn!;;37 St. Marks Pl;at Second Ave;;East Village;(888-400-2266);Eclectic;37 St Marks Pl
Bamn! (CLOSED);37 St. Marks Pl;;;;;;;
Banana Leaf;;103 Lexington Ave;between 27th and 28th Sts;;Gramercy/Flatiron;(212-481-9100);Indian;103 Lexington Ave
Banc Café;;431 Third Ave;at 30th St;;Midtown East;(212-252-0146);French;431 3rd Ave
Bandol Bistro;;181 E 78th St;between Lexington and Third Aves;;Upper East Side;(212-744-1800);French;181 E 78th St
Banjara;;97 First Ave;at 6th St;;East Village;(212-477-5956);Indian;97 1st Avenue
Bann;;350 W 50th St;at Ninth Ave;;Midtown West;(212-582-4446);Korean;350 W 50th St
Bao Noodles;;391 Second Ave;between 22nd and 23rd Sts;;Gramercy/Flatiron;(212-725-7770);Vietnamese;391 2nd Ave
Baoguette;;61 Lexington Ave;between 25th and 26th Sts;;Gramercy/Flatiron;(212-518-4089);Vietnamese;61 Lexington Ave
Bar 6;;502 Sixth Ave;between 12th and 13th Sts;;Greenwich Village;(212-691-1363);French;502 6th Ave
Bar Americain;;152 W 52nd St;between Sixth and Seventh Aves;;Midtown West;(212-265-9700);American Regional;152 W 52nd St
Bar Baresco;;191 Seventh Ave;between 21st and 22nd Sts;;Chelsea;(212-675-5935);Italian;191 7th Ave
Bar Blanc;;142 W 10th St;between Greenwich Ave and Waverly Pl;;West Village;(212-255-2330);French;142 W 10th St
