restaurant;address;addressFix
154 Chelsea Deli Corp;154 7 Av;154 7th Ave, New York, NY 10011, USA
157 West 33 Gourmet Deli;157 West 33rd Street;157 W 33rd St, New York, NY 10001, USA
162 First Avenue Corporation;162 1st Avenue;162 1st Avenue, New York, NY 10009, USA
163 First Avenue Restaurant;163 1st Ave;163 1st Avenue, New York, NY 10003, USA
1631 Panda Kitchen Inc;1631 2 Av;1631 2 Av
1641 2nd Avenue Restaurant Inc;1641 2nd Ave;1641 2nd Ave, New York, NY 10028, USA
1657 Broadway Deli Ltd;1657 Broadway;1657 Broadway, New York, NY 10019, USA
168 E 116 Restaurant Corporation;168 East 116th Street;168 E 116th St, New York, NY 10029, USA
17 Battery Park Cafe;17 Battery Place Floor 1;17 Battery Pl Floor 1, New York, NY 10004, USA
17 Murray St Restaurant;17 Murray Street;17 Murray Street, New York, NY 10007, USA
17 Murray St Restaurant;17 Murray St Restaurant;17 Murray St Restaurant
180 Broadway Cafe;180 Broadway;Broadway & W 180th St, New York, NY 10033, USA
181 Janlo Co;4259 Broadway;4259 Broadway
1849;183 Bleecker Street;183 Bleecker St, New York, NY 10012, USA
1978 Convenience Espress;1978 1 Av;1st Avenue, New York, NY, USA
1991 Small Fish;1991 Broadway Frnt;1991 Broadway, New York, NY 10023, USA
1994 Sss Corp;901 Avenue Of The Americas;901 6th Ave, New York, NY 10001, USA
19th Street Food Extravaganza;51 W 19th St # 1;51 W 19th St #1, Bayonne, NJ 07002, USA
1st Avenue Grocery & Deli;2239 1st Avenue;2239 1st Avenue
2 Rivers Restaurant and Bar;10 Murray Street;10 Murray Street, Hobart TAS 7000, Australia
2 Seven 7;2 Seven 7;2 Seven 7
2 Seven 7;277 Church St;277 Church St, New York, NY 10013, USA
20 Mott St Restaurant;20 Mott St # 1;20 Mott St #1, Worcester, MA 01604, USA
2020;20 Warren;20 Warren
2026 China King;2026 Lexington Av;2026 Lexington Ave, New York, NY 10035, USA
206 East 60ST Corporation;204 East 60th Street;204 E 60th St, New York, NY 10022, USA
207 Grocery Store Corporation;528 West 207th Street;528 W 207th St, New York, NY 10034, USA
21 Club;21 W 52nd St;21 W 52nd St, New York, NY 10019, United States
21 Club Restaurant;145 West 45 Street Suite 601;145 W 45th St #601, New York, NY 10036, USA
211 New Taco Grill;211 East 14;211 E 14th St, New York, NY 10003, USA
212 Fukumatsu Restaurant;212 East 52nd Street;212 E 52nd St, New York, NY 10022, USA
212 RESTAURANT;133 E 65 St;133 E 65th St, New York, NY 10065, USA
213 Grand St Gourmet Inc;213 Grand Street;213 Grand St, New York, NY 10013, USA
213 Park Ave South Deli;213 Park Ave S;213 Park Ave S, New York, NY 10003, USA
2176 Grocery & Deli;2176 2nd Avenue;2176 2nd Ave, New York, NY 10029, USA
21st Century Training Center;541 Avenue Of The Americ;541 6th Ave, New York, NY 10011, USA
224 Avenue B Inc;224 Avenue B;224 Avenue B, New York, NY 10009, USA
2252 5 Avenue Grocery;2252 5th Avenue;2252 5th Avenue
23 Lexington Inc;23 Lexington Avenue;23 Lexington Ave, New York, NY 10010, USA
235 9 Av;235 9 Av;235 9 Av
236 Columbus Farm Corporation;236 Columbus Avenue;236 Columbus Avenue
238 Madison Bistro;238 Madison Ave;238 Madison Ave, New York, NY 10016, USA
23rd St Food Plus;67 West 23rd Street;67 W 23rd St, New York, NY 10010, USA
24 8;240 Mulberry Street;240 Mulberry St, New York, NY 10012, USA
24 Deli Dot Com;262 West 38th Street Suite #1406;262 W 38th St #1406, New York, NY 10018, USA
24 Prince;24 Prince;24 Prince St, New York, NY 10012, USA
2413 Adam Clayton Powell Jr Grocery Inc;2413 Adam Clayton Powell;2413 Adam Clayton Powell Jr Blvd, New York, NY 10030, USA
243 Deli Grocery;243 Mulberry Street;243 Mulberry St, New York, NY 10012, USA
2561 Corp;2455 Broadway;2455 Broadway St, Indianapolis, IN 46205, USA
26 Seats;168 Avenue B;168 Avenue B, New York, NY 10009, USA
26 St Deli;132 West 26th Street;132 W 26th St, New York, NY 10001, USA
27 De Febrero Restaurant;1242 Saint Nicholas Avenue;1242 St Nicholas Ave, New York, NY 10032, USA
27 Standard;116 E 27th St;116 E 27th St, New York, NY 10016, USA
274 Columbus Corp;274 Columbus Av;274 N Columbus Ave, Freeport, NY 11520, USA
28 Noodles;417 3 Av;417 3rd Ave, New York, NY 10016, USA
28 Noodles;28 Noodles;417 3rd Ave, New York, NY 10016, United States
2806 Deli & Grocery;2806 Frederick Douglass B;2806 Frederick Douglass Blvd, New York, NY 10039, USA
2807 Deli Grocery Corp;2807 8 Av;2807 8 Av
285 St Nicholas Deli;285 St Nicholas Av;285 St Nicholas Ave, New York, NY 10027, USA
29 St Marks Place Restaurant Inc;29 St Marks Pl;29 St Marks Pl, New York, NY 10003, USA
292 Cafe Inc;292 5th Avenue Floor 4;292 5th Ave Floor 4, New York, NY 10001, USA
29th Street Deli;264 5th Avenue;264 5th Ave, New York, NY 10001, USA
3 Deli & Grill Inc;133 East 55;133 E 55th St, Brooklyn, NY 11203, USA
30 Boca Corporation;30 West 48th Street Frnt 1;30 W 48th St, New York, NY 10036, USA
307 E 54th Street Corp;307 E 54th St;307 E 54th St, New York, NY 10022, USA
312 W 58stcoliseum;312 W 58th St # 1;312 W 58th St #1, New York, NY 10019, USA
312 W 58stcoliseum;312 W 58stcoliseum;312 W 58stcoliseum
324 Bowery Food Inc;324 Bowery;324 Bowery, New York, NY 10012, USA
343 Restaurant;343 East 85;343 E 85th St, New York, NY 10028, USA
3451 Broadway Restaurant Inc;3451 Broadway;3451 Broadway, New York, NY 10031, USA
35 Smoke & Grill;35 Lispenard;35 Lispenard St, New York, NY 10013, USA
356 W 44 St Inc;356 West 44th Street Frnt;356 W 44th St, New York, NY 10036, United States
36 Bar & BBQ;5 West 36th Street Frnt;5 W 36th St, Erie, PA 16508, USA
362 Deli & Pizza;362 West Broadway;362 W Broadway, New York, NY 10013, USA
362 Deli & Pizza;Pizzeria;Pizzeria
37 Peter Corp;9 East 37;9 E 37th St, New York, NY 10016, USA
38th St Restaurant & Bakery;273 W 38th St;273 W 38th St, New York, NY 10018, USA
39 Deli;335 Lexington Av;335 Lexington Ave, New York, NY 10016, USA
3C'S Restaurant;241 Canal Street;241 Canal St, New York, NY 10013, USA
3Z Restaurant;280 Broadway;280 Broadway, New York, NY 10007, USA
3rd Avenue Deli Grocery;1850 3rd Avenue;1850 N 3rd Ave, Upland, CA 91784, USA
3rd Avenue Garden;1616 3rd Avenue;1616 3rd Ave, Sacramento, CA 95818, USA
4 Jays Cafe;31 West 47;31 W 47th St, New York, NY 10036, USA
40/40 Club;6 West 25th Street;6 W 25th St, New York, NY 10010, USA
400 W 23 St Restaurant Corp;400 W 23rd St;400 W 23rd St, New York, NY 10011, USA
4105 Food Plaza Inc;4105 Broadway;4105 E Broadway, Long Beach, CA 90803, USA
4199 Crystal Too Corp;597 West 207;597 West 207
420 Bar and Lounge;420 Amsterdam Avenue;420 Amsterdam Ave, New York, NY 10024, USA
42nd Green Tree Food Inc;42 8th Avenue;W 42nd St & 8th Ave, New York, NY 10036, USA
42nd Green Tree Food Inc;42nd Green Tree Food Inc;42nd Green Tree Food Inc
42nd Street Eatery;234 West 42nd Street;234 W 42nd St, New York, NY 10036, USA
42nd Street Pizza Corporation;647 West 42nd Street;647 W 42nd St, New York, NY 10036, USA
43rd Street Restaurant LLC;800 2 Av;Viale Sondrio, 3, 20124 Milano MI, Italy
44;44 W 44th St;44 W 44th St, New York, NY 10036, USA
44 South West Italian Rest;621 9th Ave;621 9th Ave, Seattle, WA 98104, USA
44.5;626 10 Av;626 10 Av
45 St Nicholas Food Corporation;123 West 112th Street;123 W 112th St, New York, NY 10026, USA
450 Park LLC;450 Park Avenue Bsmt;450 Park Ave, New York, NY 10022, USA
46 Grand St;46 Grand;46 Grand St, New York, NY 10013, USA
46 St Bakery;161 West 46;161 W 46th St, Los Angeles, CA 90037, USA
48 Theater Deli;62 West 48th Street Apt 3R;62 W 48th St #3R, New York, NY 10036, USA
48 West 48th Grocery Inc;48 W 48th St;W 48th St, New York, NY, USA
48th Street Cafe Inc;6 E 48th St;6 E 48th St, New York, NY 10017, USA
5 & 10 No Exaggeration;77 Greene St;77 Greene St
500 Cafe;9 W 42nd St;9 W 42nd St, New York, NY 10036, USA
500 Station Grocery Deli;500 W 213th St;500 W 213th St, New York, NY 10034, USA
5035 Broadway Food Inc;5035 Broadway;5035 Broadway, New York, NY 10034, USA
50th St Restaurant Operating LLC;805 3 Av;805 3 Av
510 E 11 Street Corporation;510 East 11th Street Apt 1;510 E 11th St #1, New York, NY 10009, USA
5162;2040 5th Avenue;2040 5th Ave, New York, NY 10035, USA
520 Asian Restaurant Corp;520 8 Av;520 8th Ave, New York, NY 10018, USA
53 St Deli;437 West 53;437 W 53rd St, New York, NY 10019, USA
536 Madison Avenue Restaurant;536 Madison Ave;536 Madison Ave, New York, NY 10022, USA
540 Park Restaurant;540 Park Ave;540 Park Ave, New York, NY 10065, USA
54th Street Ltd Partners;3 E 54th St # 1265;3 E 54th St #1265, New York, NY 10022, USA
55 Wall;55 Wall Street;55 Wall St, New York, NY 10005, USA
550 8th Ave Restaurant Corp;265 W 37th St # 550;265 W 37th St #550, New York, NY 10018, USA
56 Cafe Restaurant;1377 Avenue Of The Americas;1377 6th Ave, New York, NY 10019, USA
57 St Bake Corp;153 West 57;153 W 57th St, New York, NY 10019, USA
57 St Pizza Corporation;862 10th Avenue Frnt;862 10th Ave, New York, NY 10019, USA
5757 Restaurant;5757 Restaurant;5757 Restaurant
5757 Restaurant;57 East 57th Street;57 East 57th Street
580 2nd AV Food Corporation;1500 3rd Avenue;1500 3rd Avenue
588 Restaurant Corp Caridad;588 Amsterdam Av;588 Amsterdam Ave, New York, NY 10024, USA
5th Avenue Cafe;2 E 14th St;2 E 14th St, New York, NY 10003, USA
6 Av Finest Deli;761 Avenue Of The Americas;761 6th Ave, New York, NY 10010, USA
609 Madison Market Inc;36 East 58th Street Frnt;36 E 58th St, New York, NY 10022, USA
612 Gourmet Deli Corporation;612 8th Avenue;612 8th Ave, New York, NY 10018, USA
62 Pearl Rice & Noodle Inc;62 Pearl Street;62 Pearl St, New York, NY 10004, USA
65th Street Restaurant;60 East 65th Street;60 E 65th St, New York, NY 10065, USA
67 Liberty Gourmet;67 Liberty Street;67 Liberty St, New York, NY 10005, USA
67 Macombs Deli Grocery;67 Macombs Pl;67 Macombs Pl, New York, NY 10039, USA
69 Mott Street Restaurant;69 Mott Street;69 Mott St, New York, NY 10013, USA
7 Ignicks Restaurant Inc;132 Ludlow Street;132 Ludlow St, New York, NY 10002, USA
7 St Food Vegetable & Grocery Inc;118 1st Avenue;1st Avenue, New York, NY, USA
7-11 Associates Inc;109 Greene St;109 Greene St, New York, NY 10012, USA
71 Clinton Fresh Food;71 Clinton Street;71 Clinton St, New York, NY 10002, USA
71 Irving Place Coffee & Tea Bar;71 Irving Place Frnt;71 Irving Pl, New York, NY 10003, USA
719 Brother Famous Deli;719 9 Av;719 9 Av
75 Park Place Farm Inc;75 Park Place;75 Park Pl, New York, NY 10007, USA
76 York Healthy Food Cafe;1443 York Avenue;1443 York Ave, New York, NY 10075, USA
77493;1633 Broadway;Paramount Plaza, 1633 Broadway, New York, NY 10019, USA
79 Baxter Pub Inc;79 Baxter Street Apt 4;79 Baxter St #4, New York, NY 10013, USA
79 Street Boat Basin Cafe;;
7th Avenue Deli;833 7 Av;833 7 Av
7th Avenue Deli Grocery;2299 Adam Clayton Powell;2299 Adam Clayton Powell Jr Blvd, New York, NY 10030, USA
8 AV Deli & Flowers;931 8th Avenue;931 8th Ave, New York, NY 10019, USA
81 Farm Deli;201 East 81st Street Frnt;201 E 81st St, New York, NY 10028, USA
81 Pearl Chinese Restaurant;81 Pearl Street;81 Pearl St, New York, NY 10004, USA
810 Deli Inc;810 7th Avenue;810 Seventh Avenue, New York, NY 10019, USA
82-Lugan Food Corporation;2125 3rd Avenue;2125 3rd Avenue
82nd Street Deli;1577 2nd Avenue;1577 2nd Ave, New York, NY 10028, USA
837 Deli Inc;837 Avenue Of The Americ;837 6th Ave, New York, NY 10001, USA
85 Down;85 Avenue A;85 Avenue A, New York, NY 10009, USA
875 Third Ave Metro Coffee Shop;875 3rd Ave;875 3rd Ave, New York, NY 10022, USA
879 Taco;1229 1st Avenue;1229 1st Avenue, New York, NY 10065, USA
87th Deli & Grocery;1685 1st Avenue;1685 1st Avenue, New York, NY 10128, USA
88 Allen Kitchen Inc;88 Allen;88 Allen St, New York, NY 10002, USA
88 Lex Grill Inc;1332 Lexington Ave;1332 Lexington Ave, New York, NY 10128, USA
88 Noodle House;565 Columbus Avenue;565 Columbus Ave, New York, NY 10024, USA
88 Palace Restaurant;88 East Broadway;88 E Broadway, New York, NY 10002, USA
888 Great Wall Kitchen;2722 8th Ave;2722 8th Ave, Council Bluffs, IA 51501, USA
89 Gourmet Deli;1718 2nd Avenue Apt 2C;1718 2nd Ave #2C, Des Moines, IA 50314, USA
90 St Grocery;1733 1st Avenue;1733 1st Avenue, New York, NY 10128, USA
910 8 AV Corporation;802 9th Avenue Frnt;802 9th Ave, New York, NY 10019, United States
915 Pub;915 2nd Avenue;Henry M. Jackson Federal Building, 915 2nd Ave, Seattle, WA 98104, USA
92nd Street Gourmet Deli & Grocery;1766 2nd Ave;1766 2nd Ave, New York, NY 10128, USA
92nd Street Gourmet Deli & Grocery;301 East 92nd Street;301 E 92nd St, New York, NY 10128, USA
96 Rose Deli & Grocery;104 West 96;104 W 96th St, New York, NY 10025, USA
964 Jumbo Pizza Coffee Shop;964 Amsterdam Avenue Bsmt;964 Amsterdam Ave, New York, NY 10025, USA
99 Hudson Street Restaurant and Lounge;99 Hudson Street;99 Hudson St, Jersey City, NJ 07302, United States
99 Miles To Philly;94 3 Av;94 3 Av
99 Miles To Philly Inc;94 3 Av;94 3 Av
99 Second Restaurant;99 2nd Ave;99 2nd Ave
999 Union Farm Corp;999 3rd Ave;Wells Fargo Center, 999 3rd Ave, Seattle, WA 98104, USA
A & A Deli & Bagels Inc;95 Delancey Street;95 Delancey St, New York, NY 10002, USA
A & B Deli Inc;251 Avenue Of The Americ;251 6th Ave, New York, NY 10014, USA
A & B Restaurant;2134 8th Ave;2134 8th Ave, Los Angeles, CA 90018, USA
A & C Kitchen;136 Avenue C;136 Avenue C
A & J Grand Enterprise Inc;64 Fulton;64 Fulton St, New York, NY 10038, USA
A & K News & Candy Store Inc;162 East Bway;162 E Broadway, New York, NY 10002, USA
A & M Roadhouse;57 Murray St;57 Murray St, Perth WA 6000, Australia
A & M Seafood;2032 Madison Ave;2032 Madison Ave, New York, NY 10035, USA
A & N Falfel;2715 Broadway;2715 Broadway Ave, West Palm Beach, FL 33407, USA
A & R West Indian Restaurant;2345 8th Ave;2345 8th Ave
A & S Delicatessen;737 9th Avenue;737 9th Ave, New York, NY 10019, USA
A & S Grovery Deli;25 W 37th St;25 W 37th St, New York, NY 10018, USA
A & S Restaurant;2118 3rd Ave # 116;2118 3rd Ave #116, New York, NY 10029, USA
A & Three S Food Corporation;55 West 47th Street Unit 355;55 W 47th St #355, New York, NY 10036, USA
A & Y Food Center;1470 Lexington Av;1470 Lexington Av
A J Kelly;6 Stone Street;6 Stone St, New York, NY 10004, USA
A LA Creole;317 West 141st Street;317 W 141st St, New York, NY 10030, USA
A La Brasa;2651 Broadway;2651 Broadway, New York, NY 10025, USA
A La Turka;1417 2nd Avenue @ 74th Street;1417 2nd Ave, New York, NY 10021, USA
A M H Deli & Grocery;880 Amsterdam Av;880 Amsterdam Av
A Marok Bar & Grill;32 Cliff Street;32 Cliff St, New York, NY 10038, USA
A Restaurant Charlotte;145 W 44th St;145 W 44th St, New York, NY 10036, USA
A Salt & Battery;80 2nd Avenue Frnt;80 2nd Ave, New York, NY 10003, USA
A Slice of New York;727 8th Avenue;727 8th Ave, Brackenridge, PA 15014, USA
A Taste Of Seafood;50 E 125th St;50 E 125th St, New York, NY 10035, USA
A Taste Siam Thai Restauarnt;180 2nd Ave;180 2nd Ave, New York, NY 10003, USA
A Tavola Italian Diner;American;American
A Tavola Italian Diner;1095 Lexington Ave;1095 Lexington Ave, New York, NY 10075, USA
A-1 Pizza Shop;505 Grand Street;505 Grand St, New York, NY 10002, USA
A-Mix 1;120 East 34;120 E 34th St, New York, NY 10016, USA
A.O.C.;314 Bleecker Street;314 Bleecker St, New York, NY 10014, USA
ABID Inc DBA Subway;165 Church Street;165 Church St, New York, NY 10007, USA
AER Restaurant;409 West 13;409 W 13th St, New York, NY 10014, USA
AJ Maxwell's Steakhouse;57 W. 48th Street;57 W 48th St, New York, NY 10036, USA
AJA;1068 First Avenue;1068 1st Avenue, New York, NY 10022, USA
AKI On West 4th;181 West 4th Street;181 West 4th Street, New York, NY 10014, USA
AKI Sushi;366 West 52nd Street;366 W 52nd St, New York, NY 10019, USA
AL Bacio;710 2nd Avenue;710 2nd Ave, New York, NY 10016, USA
AL Dente;417 Amsterdam Avenue;417 Amsterdam Ave, New York, NY 10024, USA
AL Forno;1484 2nd Avenue Frnt;1484 2nd Ave, New York, NY 10075, USA
AL Halal Fast Food Inc;94 Saint Nicholas Place;94 St Nicholas Pl, New York, NY 10031, USA
ALCA Pizza & Chicken Restaurant;3771 Broadway;3771 Broadway, New York, NY 10032, USA
ALT Coffee Inc;Coffee Shop;Coffee Shop
ALT Coffee Inc;137 Avenue A;137 Avenue A, New York, NY 10009, USA
AMI Delicatessen;1493 1 Av;1493 1st Avenue, New York, NY 10075, USA
ANAN Joyti Corporation;330 West 38th Street;330 W 38th St, New York, NY 10018, USA
ARA;24 9th Avenue;24 9th Ave, New York, NY 10014, USA
ARKA Lounge Inc;4488 Broadway;4488 Broadway, New York, NY 10040, USA
ARTseen Inc.;28 East Tenth Street Apt. 9B;28 E 10th St #9B, New York, NY 10003, USA
AVI Taam-Tov Corporation;46 West 47th Street;46 W 47th St, Bayonne, NJ 07002, USA
AVRA Restaurant;141 East 48th Street;141 E 48th St, New York, NY 10017, USA
AYZA Wine & Chocolate Bar;11 West 31st Street;11 W 31st St, New York, NY 10001, USA
AZUL East Inc;152 Stanton Street;152 Stanton St, New York, NY 10002, USA
Aahirahs Palace;108 W 116th St;108 W 116th St, New York, NY 10026, USA
Aangan Restaurant;330 W 46th St;330 W 46th St, New York, NY 10036, USA
Aar Restaurants;509 Madison Ave;509 Madison Ave, New York, NY 10022, USA
Abbey Restaurant;237 West 105th Street Frnt 1;237 West 105th St., Front 1, New York, NY 10025, United States
Abbey Tavern;354 3rd Ave;354 3rd Ave, New York, NY 10010, USA
Abby Restaurant & Bar;254 5th Ave;254 5th Ave, New York, NY 10001, USA
Abdul Alkandi;700 10th Avenue;700 10th Avenue
Abigael's Restaurant & Catering;1407 Broadway;1407 Broadway # 3310, New York, NY 10018, United States
Abigaels Ny Glatt Restaurant;9 E 37th St;9 E 37th St, New York, NY 10016, USA
Abitino Pizzeria & Restaurant;947 1st Avenue;947 1st Avenue, New York, NY 10022, USA
Abitino Pizzeria & Restaurant;733 2nd Avenue Frnt;733 2nd Ave, Roselle, NJ 07203, USA
Abitino Pizzeria & Restaurant;1435 Broadway;1435 Broadway, New York, NY 10018, USA
Above;234 West 42nd Street;234 W 42nd St, New York, NY 10036, USA
Abruzzi Restaurant;37 West 56th Street Frnt;37 W 56th St, New York, NY 10019, USA
Absolutely 4th;228 West 4th Street Frnt;228 West 4th Street, New York, NY 10014, USA
Abyssinia Ethiopian Restrnt;35 Grand St;35 Grand St, New York, NY 10013, USA
Acadaddin Restaurant;101 Lexington Ave # 27;101 Lexington Ave #27, New York, NY 10016, USA
Academy Cafe;343 2nd Avenue;343 2nd Avenue
Acappella;1 Hudson Street;1 Hudson St, Hudson, NY 12534, USA
Ace Bar;531 East 5th Street Frnt;531 East 5th Street Frnt
Ace Luck Thai;530 9th Avenue;530 9th Ave, New York, NY 10018, USA
Aces & Eights Saloon;1683 1st Ave;1683 1st Avenue, New York, NY 10128, USA
Acme Bar & Grill;9 Great Jones St # 9;9 Great Jones St #9, New York, NY 10012, USA
Acme Pleating & Fagoting Corporation;147 West 26th Street Floor 2;147 W 26th St Floor 2, New York, NY 10001, USA
Acorn Food Svc;500 Pearl St;500 Pearl St, New York, NY 10007, USA
Acosta Antonio;934 Amsterdam Avenue;934 Amsterdam Ave, New York, NY 10025, USA
Acqua;718 Amsterdam Avenue;718 Amsterdam Ave, New York, NY 10025, USA
Acquapazza;36 West 52nd Street;36 West 52nd Street
Acropolis Food Of Health Square;1 Herald Sq;1 Herald Sq, New York, NY 10001, USA
Acropolis Restaurant;11 Fulton Street;11 Fulton St, Brooklyn, NY 10038, USA
Across the Street Inc;444 East 91st Street;444 E 91st St, Los Angeles, CA 90003, USA
Acuaplas Restaurant;111 E. 128 St.;111 E. 128 St.
Acute Cafe;110 West Broadway;110 W Broadway, New York, NY 10013, USA
Ada;208 East 58th Street;208 E 58th St, New York, NY 10022, USA
Adham Deli Grocery;2240 Adam Clayton Powell;2240 Adam Clayton Powell Jr Blvd, New York, NY 10027, USA
Adi's Deli;46 West 36th Street;46 W 36th St, New York, NY 10018, USA
Adiletto's;812 Washington;812 Washington
Adiletto's;650 West 42;650 W 42nd St, New York, NY 10036, USA
Admirals Galley the Inc;160 South Street;160 South St, New York, NY 10038, USA
Adria Wine Bar;26 Prince;26 Prince St, New York, NY 10012, USA
Adriana Pizzeria;255 3rd Avenue;255 3rd Ave, Brooklyn, NY 11215, USA
Adrianne's Pizza Bar;54 Stone;54 Stone St, New York, NY 10004, USA
Adriatic Italian Restaurant;321 1st Ave;321 1st Avenue, New York, NY 10003, USA
Adrienne;700 5th Avenue;700 5th Ave, New York, NY 10019, USA
Aegean Restaurant;221 Columbus Av;221 Columbus Ave, Boston, MA 02116, USA
Afghan Restaurant;34 Saint Marks Place;34 St Marks Pl, New York, NY 10003, USA
Afghan Shish Kebab;789 9th Ave;789 9th Ave, New York, NY 10019, USA
Afghanistan Kebab House;Afghan;Afghanistan
Afghanistan Kebab House;764 9th Avenue;764 9th Ave, New York, NY 10019, USA
Afghanistan Kebab House;155 W 46th St;155 W 46th St, New York, NY 10036, USA
Afghanistan Kebab House 2;1345 2nd Avenue;1345 2nd Ave, New York, NY 10021, USA
Africa Restaurant;247 W 116th St;247 W 116th St, New York, NY 10026, USA
Africa Restaurant;346 W 53rd St;346 W 53rd St, New York, NY 10019, USA
African Progress Restaurant;2795 Frederick Dglss Boulevard;2795 Frederick Dglss Boulevard
African Sisters;62 E 116th St Bet.madison&park;62 E 116th St, New York, NY 10029, USA
Agan Cheng;63 Avenue D;63 Avenue D, New York, NY 10009, USA
Agave Restaurant;140 7th Avenue;140 7th Avenue
Agora Restaurant;1586 1st Ave # 1586;1586 1st Avenue #1586, New York, NY 10028, USA
Agozar Restaurant & Lounge;more info: Cuban;Cuba
Agozar Restaurant & Lounge;324 Bowery Street;324 Bowery, New York, NY 10012, USA
Agra Indian & Pakistan;807 Lexington Avenue;807 Lexington Ave, New York, NY 10065, USA
Agra Restaurant;807 Lexington Avenue;807 Lexington Ave, New York, NY 10065, USA
Agrodolce Inc;Fast Food;Fast Food
Agrodolce Inc;168 Sullivan;168 Sullivan Pl, Brooklyn, NY 11225, USA
Agua Caliente Enterprises;117 Dyckman Street;117 Dyckman St, New York, NY 10040, USA
Ah Chihuahua Chihuahua's;330 East 53rd Street;330 E 53rd St, New York, NY 10022, USA
Ahmady Foods Corp;3351 Broadway;3351 Broadway, New York, NY 10031, USA
Ai-Chi Restaurant Corp;61 Grove;61 Grove St, New York, NY 10014, USA
Aiello's Pizza Emporium;383 3rd Avenue;383 3rd Ave, New York, NY 10016, USA
Ainolaphek Inc;17 E River Piers;17 E River Piers
Aisifik Diner Corp;343 2nd Ave;343 2nd Ave
Aisifik Diner Corp;Diner;Diner
Aix Restaurant;2398 Broadway;2398 Broadway, New York, NY 10024, USA
Ajanta India Restaurant;1237 Amsterdam Avenue;1237 Amsterdam Ave, New York, NY 10027, USA
Ajisai Japanese Restaurant;1466 1st Avenue Frnt;1466 1st Avenue, New York, NY 10075, United States
Ajisai Japanese Restaurant;Japanese;Japanese
Ajisen Noodle Restaurant Inc;14 Mott Street Frnt;14 Mott St, New York, NY 10013, USA
Akahi Inc;292 Madison Avenue Frnt;292 Madison Avenue Frnt
Akaihana En Restaurant;2164 Broadway;2164 Broadway
Akira Miyazaki Inc;251 W 55th St;251 W 55th St, New York, NY 10019, USA
Al Bacio;1679 3rd Ave;1679 3rd Ave, New York, NY 10128, USA
Al Bustan;827 Third Avenue;827 3rd Ave, New York, NY 10022, USA
Al Bustan Restaurant;827 3rd Avenue;827 3rd Ave, Los Angeles, CA 90005, USA
Al Diwan;210 Avenue A/13th St.;210 Avenue A, New York, NY 10009, USA
