restaurant;address;country;addressGoogle
540 Park Restaurant;540 Park Ave;New York;540 Park Ave
54th Street Ltd Partners;3 E 54th St # 1265;New York;3 E 54th St #1265
55 Wall;55 Wall Street;New York;55 Wall St
550 8th Ave Restaurant Corp;265 W 37th St # 550;New York;265 W 37th St #550
56 Cafe Restaurant;1377 Avenue Of The Americas;New York;1377 6th Ave
57 St Bake Corp;153 West 57;New York;153 W 57th St
57 St Pizza Corporation;862 10th Avenue Frnt;New York;862 10th Ave
5757 Restaurant;5757 Restaurant;New York;5757 Restaurant
5757 Restaurant;57 East 57th Street;New York;E 57th St
580 2nd AV Food Corporation;1500 3rd Avenue;New York;1500 3rd Ave
588 Restaurant Corp Caridad;588 Amsterdam Av;New York;588 Amsterdam Ave
5th Avenue Cafe;2 E 14th St;New York;2 E 14th St
6 Av Finest Deli;761 Avenue Of The Americas;New York;761 6th Ave
609 Madison Market Inc;36 East 58th Street Frnt;New York;36 E 58th St
612 Gourmet Deli Corporation;612 8th Avenue;New York;612 8th Ave
62 Pearl Rice & Noodle Inc;62 Pearl Street;New York;62 Pearl St
65th Street Restaurant;60 East 65th Street;New York;60 E 65th St
67 Liberty Gourmet;67 Liberty Street;New York;67 Liberty St
67 Macombs Deli Grocery;67 Macombs Pl;New York;67 Macombs Pl
69 Mott Street Restaurant;69 Mott Street;New York;69 Mott St
7 Ignicks Restaurant Inc;132 Ludlow Street;New York;132 Ludlow St
7 St Food Vegetable & Grocery Inc;118 1st Avenue;New York;118 1st Avenue
7-11 Associates Inc;109 Greene St;New York;109 Greene St
71 Clinton Fresh Food;71 Clinton Street;New York;71 Clinton St
71 Irving Place Coffee & Tea Bar;71 Irving Place Frnt;New York;71 Irving Pl
719 Brother Famous Deli;719 9 Av;New York;719 9th Ave
75 Park Place Farm Inc;75 Park Place;New York;75 Park Pl
76 York Healthy Food Cafe;1443 York Avenue;New York;1443 York Ave
77493;1633 Broadway;New York;Paramount Plaza
79 Baxter Pub Inc;79 Baxter Street Apt 4;New York;79 Baxter St #4
79 Street Boat Basin Cafe;;New York;
7th Avenue Deli;833 7 Av;New York;833 7th Ave
7th Avenue Deli Grocery;2299 Adam Clayton Powell;New York;2299 Adam Clayton Powell Jr Blvd
8 AV Deli & Flowers;931 8th Avenue;New York;931 8th Ave
81 Farm Deli;201 East 81st Street Frnt;New York;201 E 81st St
81 Pearl Chinese Restaurant;81 Pearl Street;New York;81 Pearl St
810 Deli Inc;810 7th Avenue;New York;810 7th Ave
82-Lugan Food Corporation;2125 3rd Avenue;New York;2125 3rd Ave
82nd Street Deli;1577 2nd Avenue;New York;1577 2nd Ave
837 Deli Inc;837 Avenue Of The Americ;New York;837 2nd Ave
85 Down;85 Avenue A;New York;85 Avenue A
875 Third Ave Metro Coffee Shop;875 3rd Ave;New York;875 3rd Ave
879 Taco;1229 1st Avenue;New York;1229 1st Avenue
87th Deli & Grocery;1685 1st Avenue;New York;1685 1st Avenue
88 Allen Kitchen Inc;88 Allen;New York;88 Allen St
88 Lex Grill Inc;1332 Lexington Ave;New York;1332 Lexington Ave
88 Noodle House;565 Columbus Avenue;New York;565 Columbus Ave
88 Palace Restaurant;88 East Broadway;New York;88 E Broadway
888 Great Wall Kitchen;2722 8th Ave;New York;2722 Frederick Douglass Blvd
89 Gourmet Deli;1718 2nd Avenue Apt 2C;New York;1718 2nd Ave #2C
90 St Grocery;1733 1st Avenue;New York;1733 1st Avenue
910 8 AV Corporation;802 9th Avenue Frnt;New York;802 9th Ave
915 Pub;915 2nd Avenue;New York;915 2nd Ave
92nd Street Gourmet Deli & Grocery;1766 2nd Ave;New York;1766 2nd Ave
92nd Street Gourmet Deli & Grocery;301 East 92nd Street;New York;301 E 92nd St
96 Rose Deli & Grocery;104 West 96;New York;104 W 96th St
964 Jumbo Pizza Coffee Shop;964 Amsterdam Avenue Bsmt;New York;964 Amsterdam Ave
99 Hudson Street Restaurant and Lounge;99 Hudson Street;New York;99 Hudson St
99 Miles To Philly;94 3 Av;New York;94 3rd Ave
99 Miles To Philly Inc;94 3 Av;New York;94 3rd Ave
99 Second Restaurant;99 2nd Ave;New York;99 2nd Ave
999 Union Farm Corp;999 3rd Ave;New York;999 3rd Ave
A & A Deli & Bagels Inc;95 Delancey Street;New York;95 Delancey St
A & B Deli Inc;251 Avenue Of The Americ;New York;251 6th Ave
A & B Restaurant;2134 8th Ave;New York;2134 Frederick Douglass Blvd
A & C Kitchen;136 Avenue C;New York;136 Loisaida Ave
A & J Grand Enterprise Inc;64 Fulton;New York;64 Fulton St
A & K News & Candy Store Inc;162 East Bway;New York;162 E Broadway
A & M Roadhouse;57 Murray St;New York;57 Murray Street
A & M Seafood;2032 Madison Ave;New York;2032 Madison Ave
A & N Falfel;2715 Broadway;New York;2715 Broadway
A & R West Indian Restaurant;2345 8th Ave;New York;2345 Frederick Douglass Blvd
A & S Delicatessen;737 9th Avenue;New York;737 9th Ave
A & S Grovery Deli;25 W 37th St;New York;25 W 37th St
A & S Restaurant;2118 3rd Ave # 116;New York;2118 3rd Ave #116
A & Three S Food Corporation;55 West 47th Street Unit 355;New York;55 W 47th St #355
A & Y Food Center;1470 Lexington Av;New York;1470 Lexington Ave
A J Kelly;6 Stone Street;New York;6 Stone St
A LA Creole;317 West 141st Street;New York;317 W 141st St
A La Brasa;2651 Broadway;New York;2651 Broadway
A La Turka;1417 2nd Avenue @ 74th Street;New York;1417 2nd Ave
A M H Deli & Grocery;880 Amsterdam Av;New York;880 Amsterdam Ave
A Marok Bar & Grill;32 Cliff Street;New York;32 Cliff St
A Restaurant Charlotte;145 W 44th St;New York;145 W 44th St
A Salt & Battery;80 2nd Avenue Frnt;New York;80 2nd Ave
A Slice of New York;727 8th Avenue;New York;727 8th Ave
A Taste Of Seafood;50 E 125th St;New York;50 E 125th St
A Taste Siam Thai Restauarnt;180 2nd Ave;New York;180 2nd Ave
A Tavola Italian Diner;American;New York;New York
A Tavola Italian Diner;1095 Lexington Ave;New York;1095 Lexington Ave
A-1 Pizza Shop;505 Grand Street;New York;505 Grand St
A-Mix 1;120 East 34;New York;120 E 34th St
A.O.C.;314 Bleecker Street;New York;314 Bleecker St
ABID Inc DBA Subway;165 Church Street;New York;165 Church St
AER Restaurant;409 West 13;New York;409 W 13th St
AJ Maxwell's Steakhouse;57 W. 48th Street;New York;57 W 48th St
AJA;1068 First Avenue;New York;1068 1st Avenue
AKI On West 4th;181 West 4th Street;New York;181 West 4th Street
AKI Sushi;366 West 52nd Street;New York;366 W 52nd St
AL Bacio;710 2nd Avenue;New York;710 2nd Ave
AL Dente;417 Amsterdam Avenue;New York;417 Amsterdam Ave
AL Forno;1484 2nd Avenue Frnt;New York;1484 2nd Ave
AL Halal Fast Food Inc;94 Saint Nicholas Place;New York;94 St Nicholas Pl
ALCA Pizza & Chicken Restaurant;3771 Broadway;New York;3771 Broadway
ALT Coffee Inc;Coffee Shop;New York;Coffee Shop
ALT Coffee Inc;137 Avenue A;New York;137 Avenue A
AMI Delicatessen;1493 1 Av;New York;1493 1st Avenue
ANAN Joyti Corporation;330 West 38th Street;New York;330 W 38th St
ARA;24 9th Avenue;New York;24 9th Ave
ARKA Lounge Inc;4488 Broadway;New York;4488 Broadway
ARTseen Inc.;28 East Tenth Street Apt. 9B;New York;Devonshire House
AVI Taam-Tov Corporation;46 West 47th Street;New York;46 W 47th St
AVRA Restaurant;141 East 48th Street;New York;141 E 48th St
AYZA Wine & Chocolate Bar;11 West 31st Street;New York;11 W 31st St
AZUL East Inc;152 Stanton Street;New York;152 Stanton St
Aahirahs Palace;108 W 116th St;New York;108 W 116th St
Aangan Restaurant;330 W 46th St;New York;330 W 46th St
Aar Restaurants;509 Madison Ave;New York;509 Madison Ave
Abbey Restaurant;237 West 105th Street Frnt 1;New York;237 West 105th St.
Abbey Tavern;354 3rd Ave;New York;354 3rd Ave
Abby Restaurant & Bar;254 5th Ave;New York;254 5th Ave
Abdul Alkandi;700 10th Avenue;New York;700 10th Ave
Abigael's Restaurant & Catering;1407 Broadway;New York;1407 Broadway
Abigaels Ny Glatt Restaurant;9 E 37th St;New York;9 E 37th St
Abitino Pizzeria & Restaurant;947 1st Avenue;New York;947 1st Avenue
Abitino Pizzeria & Restaurant;733 2nd Avenue Frnt;New York;733 2nd Ave
Abitino Pizzeria & Restaurant;1435 Broadway;New York;1435 Broadway
Above;234 West 42nd Street;New York;234 W 42nd St
Abruzzi Restaurant;37 West 56th Street Frnt;New York;37 W 56th St
Absolutely 4th;228 West 4th Street Frnt;New York;228 West 4th Street
Abyssinia Ethiopian Restrnt;35 Grand St;New York;35 Grand St
Acadaddin Restaurant;101 Lexington Ave # 27;New York;101 Lexington Ave #27
Academy Cafe;343 2nd Avenue;New York;343 2nd Ave
Acappella;1 Hudson Street;New York;1 Hudson St
Ace Bar;531 East 5th Street Frnt;New York;531 E 5th St
Ace Luck Thai;530 9th Avenue;New York;530 9th Ave
Aces & Eights Saloon;1683 1st Ave;New York;1683 1st Avenue
Acme Bar & Grill;9 Great Jones St # 9;New York;9 Great Jones St #9
Acme Pleating & Fagoting Corporation;147 West 26th Street Floor 2;New York;147 W 26th St Floor 2
Acorn Food Svc;500 Pearl St;New York;500 Pearl St
Acosta Antonio;934 Amsterdam Avenue;New York;934 Amsterdam Ave
Acqua;718 Amsterdam Avenue;New York;718 Amsterdam Ave
Acquapazza;36 West 52nd Street;New York;36 W 52nd St
Acropolis Food Of Health Square;1 Herald Sq;New York;1 Herald Sq
Acropolis Restaurant;11 Fulton Street;New York;11 Fulton St
Across the Street Inc;444 East 91st Street;New York;444 E 91st St
Acuaplas Restaurant;111 E. 128 St.;New York;111 E 128th St
Acute Cafe;110 West Broadway;New York;110 W Broadway
Ada;208 East 58th Street;New York;208 E 58th St
Adham Deli Grocery;2240 Adam Clayton Powell;New York;2240 Adam Clayton Powell Jr Blvd
Adi's Deli;46 West 36th Street;New York;46 W 36th St
Adiletto's;812 Washington;New York;812 Washington St
Adiletto's;650 West 42;New York;650 W 42nd St
Admirals Galley the Inc;160 South Street;New York;160 South St
Adria Wine Bar;26 Prince;New York;26 Prince St
Adriana Pizzeria;255 3rd Avenue;New York;255 3rd Ave
Adrianne's Pizza Bar;54 Stone;New York;54 Stone St
Adriatic Italian Restaurant;321 1st Ave;New York;321 1st Avenue
Adrienne;700 5th Avenue;New York;700 5th Ave
Aegean Restaurant;221 Columbus Av;New York;221 Columbus Ave
Afghan Restaurant;34 Saint Marks Place;New York;34 St Marks Pl
Afghan Shish Kebab;789 9th Ave;New York;789 9th Ave
Afghanistan Kebab House;Afghan;New York;Afghan
Afghanistan Kebab House;764 9th Avenue;New York;764 9th Ave
Afghanistan Kebab House;155 W 46th St;New York;155 W 46th St
Afghanistan Kebab House 2;1345 2nd Avenue;New York;1345 2nd Ave
Africa Restaurant;247 W 116th St;New York;247 W 116th St
Africa Restaurant;346 W 53rd St;New York;346 W 53rd St
African Progress Restaurant;2795 Frederick Dglss Boulevard;New York;2795 Frederick Dglss Boulevard
African Sisters;62 E 116th St Bet.madison&park;New York;62 E 116th St
Agan Cheng;63 Avenue D;New York;63 Avenue D
Agave Restaurant;140 7th Avenue;New York;140 7th Ave
Agora Restaurant;1586 1st Ave # 1586;New York;1586 1st Avenue #1586
Agozar Restaurant & Lounge;more info: Cuban;New York;more info: Cuban
Agozar Restaurant & Lounge;324 Bowery Street;New York;324 Bowery
Agra Indian & Pakistan;807 Lexington Avenue;New York;807 Lexington Ave
Agra Restaurant;807 Lexington Avenue;New York;807 Lexington Ave
Agrodolce Inc;Fast Food;New York;Fast Food
Agrodolce Inc;168 Sullivan;New York;168 Sullivan St
Agua Caliente Enterprises;117 Dyckman Street;New York;117 Dyckman St
Ah Chihuahua Chihuahua's;330 East 53rd Street;New York;330 E 53rd St
Ahmady Foods Corp;3351 Broadway;New York;3351 Broadway
Ai-Chi Restaurant Corp;61 Grove;New York;61 Grove St
Aiello's Pizza Emporium;383 3rd Avenue;New York;383 3rd Ave
Ainolaphek Inc;17 E River Piers;New York;89 South St
Aisifik Diner Corp;343 2nd Ave;New York;343 2nd Ave
Aisifik Diner Corp;Diner;New York;Diner
Aix Restaurant;2398 Broadway;New York;2398 Broadway
Ajanta India Restaurant;1237 Amsterdam Avenue;New York;1237 Amsterdam Ave
Ajisai Japanese Restaurant;1466 1st Avenue Frnt;New York;1466 1st Avenue
Ajisai Japanese Restaurant;Japanese;New York;Japanese
Ajisen Noodle Restaurant Inc;14 Mott Street Frnt;New York;14 Mott St
Akahi Inc;292 Madison Avenue Frnt;New York;21 E 40th St
Akaihana En Restaurant;2164 Broadway;New York;2164 Broadway
Akira Miyazaki Inc;251 W 55th St;New York;251 W 55th St
Al Bacio;1679 3rd Ave;New York;1679 3rd Ave
Al Bustan;827 Third Avenue;New York;827 3rd Ave
Al Bustan Restaurant;827 3rd Avenue;New York;827 3rd Ave
Al Diwan;210 Avenue A/13th St.;New York;210 Avenue A
Al Lee Luncheonette;190 Lenox Ave;New York;190 Lenox Ave
Al Ponte Vecchio Restaurant;206 Thompson St;New York;206 Thompson St
Al's Deli;34 Rutgers Street;New York;34 Rutgers St
Al's Delicatessen & Catering;458 7 Av;New York;458 7th Ave
Al-Baraka Mediterranian;154 East 55th Street;New York;154 E 55th St
Al-Len Cafe Inc;173 Chambers Street;New York;173 Chambers St
Aladdin Hotel;317 W 45th St # NY;New York;317 W 45th St
Alain Ducasse at Essex House;160 Central Park South;New York;160 Central Park S
Alaska Food Market;108 9 Avenue;New York;108 9th Ave
Alaskan Feast;27 Fulton Market;New York;27 Fulton St
Alaya Grocery And Deli Corp;177 Audubon Av;New York;177 Audubon Ave
Alba Speciality Seafood CO;233 Water Street;New York;233 Water St
Alba Tratoria Restaurant Inc;331 West 38;New York;331 W 38th St
Alberto Lastreto Inc;214 West 29;New York;214 W 29th St
Albrm Realty;135 E 55th St # 5;New York;135 E 55th St #5
Aldailam Deli Market;316 Saint Nicholas Avenue;New York;316 St Nicholas Ave
Aleems Coffee Shop;46 W 21st St;New York;46 W 21st St
Aleo;7 W 20th St;New York;7 W 20th St
Aleo Restaurant;7 W 20th St;New York;7 W 20th St
Alex's Deli;95 Macdougal Street;New York;95 MacDougal St
Alexi On;25 W 56th St;New York;25 W 56th St
Alfama Restaurant;551 Hudson;New York;551 Hudson St
Alhaklain Khalid;3680 Broadway;New York;3680 Broadway
Ali Baba Restaurant;126 Macdougal Street;New York;126 MacDougal St
Ali Baba Restaurant;212 East 34th Street;New York;212 E 34th St
Ali Baba Terrace;862 2nd Avenue;New York;862 2nd Ave
Ali Baba of West Side;515 Amsterdam Avenue;New York;515 Amsterdam Ave
Alias Restaurant;76 Clinton Street;New York;76 Clinton St
Alibi;116 Macdougal Street;New York;116 MacDougal St
Alice's Tea Cup;102 West 73rd Street;New York;102 W 73rd St
Alice's Tea Cup Chapter II;156 East 64;New York;156 E 64th St
Alison on Dominick Street;38 Dominick St;New York;38 Dominick St
Aljuhaiem Deli;207 Clinton Street;New York;207 Clinton St
All American Deli;42 Water Street;New York;42 Water St
All American Deli;American;New York;New York
All American Health Bar;24 E 42nd St;New York;24 E 42nd St
All American Water Street Deli;42 Water Street;New York;42 Water St
All Natural Ben & Jerry's All Natural Vr;2722 Broadway;New York;2722 Broadway
All State Cafe;250 West 72nd Street Frnt;New York;250 W 72nd St
Allan Dell Enterprises;430 West 14th Street;New York;430 W 14th St
Allegria Restaurant;1350 Avenue Of The Americ;New York;1350 6th Ave
Allen Friedberg Restaurant;205 W 39th St;New York;205 W 39th St
Alleys End Restaurant;311 W 17th St;New York;311 W 17th St
Allora Restaurant Inc;1321 1st Ave # 1;New York;1321 1st Avenue #1
Allora S P A Inc;90 West Houston Street Bsmt;New York;90 W Houston St
Alnaham Express Deli & Grocery;2176 2nd Avenue;New York;2176 2nd Ave
Aloe Restaurant;406 East 9th St.;New York;406 E 9th St
Aloha 44 Inc;67 West 44th Street;New York;67 W 44th St
Alonia Restaurant Corporation;600 East 14th Street;New York;600 E 14th St
Alonso's Steakhouse;263 West 19th Street;New York;263 W 19th St
Alonti Cafe;450 Lexington Ave;New York;450 Lexington Ave
Alonti Cafe;639 3rd Avenue;New York;639 3rd Ave
Alonzos Restaurant;302 E 45th St;New York;302 E 45th St
Alouette;2588 Broadway;New York;2588 Broadway
Alpha Fusion NYC;365 W. 34th Street;New York;365 W 34th St
Alpha Fusion NYC;365 W 39th Street;New York;365 W 39th St
Alpha Fusion NYC;Fusion;New York;Fusion
Alpha One;348 7th Avenue;New York;348 7th Ave
Alphabet Cafe;202 East 7th Street;New York;202 E 7th St
Alphabet Cafe;Cafe;New York;Cafe
Alpine Gourmet Farm;480 Fashion Avenue;New York;480 Fashion Ave
Als Deli;197 Madison Street;New York;197 Madison St
Alta Restaurant;64 West 10th Street;New York;64 W 10th St
Alva;36 West 22nd Street;New York;36 W 22nd St
Alvarez Dalila;375 1st Avenue;New York;375 1st Avenue
Always Delicious;3867 10th Avenue;New York;3867 10th Ave
Ama Deli;3600 Broadway;New York;3600 Broadway
Ama Restaurant;48 Macdougal;New York;48 MacDougal St
Amakusa Restaurant;143 East 47th Street;New York;143 E 47th St
Amaranth Restaurant;21 East 62nd Street Frnt;New York;21 E 62nd St
Amarone Ristorante;686 9th Ave;New York;686 9th Ave
Amaya Thai;234 East 4th Street;New York;234 E 4th St
Ambassador Grill & Restaurant;1 United Nations Plz;New York;1 United Nations Plaza
Amber Asian Cuisine;1406 3 Av;New York;3 New York Ave #1406
Amber Gramercy;381 Third Avenue;New York;381 3rd Ave
Ambrosia Restaurant;273 1 Av;New York;273 1st Avenue
America;9 e 18th St;New York;9 E 18th St
American;New World;New York;New World
American Cafe Health;160 Broadway;New York;160 Broadway
American Choice Deli;111 Delancey Street;New York;111 Delancey St
American East Fuzhou Restaurant;54 East Broadway Frnt;New York;54 E Broadway
American Festival;600 5th Ave # 30;New York;600 5th Ave #30
American Festival Cafe;20 W 50th St;New York;20 W 50th St
American Museum Restaurant;79 Central Park W;New York;79 Central Park West
American Restaurant Inc;2130 Broadway;New York;2130 Broadway
American Trash;1471 1st Ave;New York;1471 1st Avenue
