restaurant;address1;address2;addressGoogle1
A-;1 Pizza Shop505 Grand St;Corner of E Bway;1 Pizza Shop505 Grand St
A-1 Pizza Shop;1 Pizza Shop505 Grand St;;1 Pizza Shop505 Grand St
A-1 Pizza Shop;505 Grand St;;505 Grand St
A-1Pizza Shop;505 Grand St;Corner of E Bway;505 Grand St
AJ Maxwell's Steakhouse;57 W 48th St;Btwn 5th & 6th Ave;57 W 48th St
AOC;314 Bleecker St;At Grove St;314 Bleecker St
AQ Kafe;1800 Broadway;Btwn 58th St & CPW;1800 Broadway
AQ Kafe18;00 Broadway;;1681 Broadway
AYZA Wine & Chocolate Bar;11 W 31st St;;11 W 31st St
Abboccato;136 W 55th St;Btwn 6th & 7th Ave;136 W 55th St
Abbondanza's;193 Bleecker St;Btwn 6th Ave & MacDougal St;193 Bleecker St
Abbondanza's (CLOSED);193 Bleecker St;;193 Bleecker St
Abigael's on Broadway;1407 Broadway;At 39th St;1407 Broadway
Abitino's Pizzeria;1435 Broadway;Btwn 40th & 41st St;1435 Broadway
Abitino's Pizzeria;1592 1st Ave;Btwn 82nd & 83rd St;1592 1st Avenue
Abitino's Pizzeria;733 2nd Ave;Btwn 39th & 40th St;733 2nd Ave
Abitino's Pizzeria;936 2nd Ave;At 49th St;936 2nd Ave
Above Restaurant;234 W 42nd St;Btwn 7th & 8th Ave;234 W 42nd St
Abraco;86 E 7th St;At 1st Ave;86 E 7th St
Abraco86 E;7th St;;E 7th St
Absinthe Wine Bar;111 7th St;;111 E 7th St
Absinthe Wine Bar;111 1st Ave;;111 1st Avenue
Absinthe Wine Bar;111 1st St;Btwn 1st Ave & Ave A;111 1st Avenue
Aburiya Kinnosuke;213 E 45th St;Btwn 2nd & 3rd Ave;213 E 45th St
Acappella;1 Hudson St;Btwn Chambers St & W Bway;1 Hudson St
Acapulco Caliente;3508 Broadway;Btwn 143rd & 144th St;3508 Broadway
Accademia di Vino;1081 3rd Ave;Btwn 63rd & 64th St;1081 3rd Ave
Ace Deli;1 E 28th St;Btwn 5th Ave & Madison Ave;1 E 28th St
Aceluck;530 9th Ave;Btwn 39th & 40th St;530 9th Ave
Aceluck53;0 9th Ave;;0 9th Ave
Aces & Eights Saloon;1683 1st Ave;Btwn 87th & 88th St;1683 1st Avenue
Acme Bar & Grill;9 Great Jones St;Btwn Bway & Lafayette St;9 Great Jones St
Acqua;718 Amsterdam Ave;At 95th St;718 Amsterdam Ave
Acqua at Peck Slip;21 Peck Slip;At Water St;21 Peck Slip
Adaro: Sushi & Pan Asian Cuisine;129 W 56th St;Btwn 6th & 7th Ave;129 W 56th St
Adour Alain Ducasse;2 E 55th St;At 5th Ave;2 E 55th St
Adriana Pizzeria;253 3rd Ave;Btwn 20th & 21st St;253 3rd Ave
Adriatic Italian Restaurant;321 1st Ave;Btwn 18th & 19th St;321 1st Avenue
Adrienne's Pizza Bar;87 Pearl St;At Broad St;87 Pearl St
Afghan Kebab House #;1764 9th Ave;Btwn 51st & 52nd St;1764 9th Ave
Afghan Kebab House II;1345 2nd Ave;Btwn 70th & 71st St;1345 2nd Ave
Africa Kine;256 W 116th St;Btwn 7th & 8th Ave;256 W 116th St
Africa Restaurant;247 W 116th St;Btwn 7th & 8th Ave;247 W 116th St
Against the Grain;620 E 6th St;Btwn Ave B & Ave C;620 E 6th St
Agave;140 7th Ave S;Btwn Charles & W 10th St;140 7th Ave S
Agave140;7th Ave S;;7th Ave S
Ago Ristorante;379 Greenwich St;At N Moore St;379 Greenwich St
Agozar!;324 Bowery;At Bleecker St;324 Bowery
Agozar!32;4 Bowery;;4 Bowery
Agra;807 Lexington Ave;Btwn 62nd & 63rd St;807 Lexington Ave
Aguirre;2126 2nd Ave;Btwn 109th & 110th St;2126 2nd Ave
Aguirre21;26 2nd Ave;;26 2nd Ave
Ah! Chihuahua's;330 E 53rd St;Btwn 1st & 2nd Ave;330 E 53rd St
Aja;1068 1st Ave;At 58th St;1068 1st Avenue
Aja;432 6th Ave;Btwn 9th & 10th St;432 6th Ave
Ajanta;1237 Amsterdam Ave;Btwn 120th & 121st St;1237 Amsterdam Ave
Ajanta123;7 Amsterdam Ave;;7 Amsterdam Ave
Aji Sushi;519 3rd Ave;Btwn 34th & 35th St;519 3rd Ave
Ajisen Noodle Restaurant;14 Mott St;At Chatham Sq;14 Mott St
Akai Lounge;507 Columbus Ave;Btwn 84th & 85th St;507 Columbus Ave
Akane;216 E 39th St;Btwn 2nd & 3rd Ave;216 E 39th St
Akane216 E;39th St;;W 39th St
Akdeniz;19 W 46th St;Btwn 5th & 6th Ave;19 W 46th St
Akdeniz19 W;46th St;;W 46th St
Aki;181 W 4th St;Btwn 6th & 7th Ave;181 West 4th Street
Aki Sushi;1425 York Ave;Btwn 75th & 76th St;1425 York Ave
Aki Sushi;3121 E 27th St;Btwn Lexington & Park Ave;E 27th St
Aki Sushi II;366 W 52nd St;Btwn 8th & 9th Ave;366 W 52nd St
Aki Sushi West;128 W 36th St;Btwn 6th & 7th Ave;128 W 36th St
Aki181 W;4th St;;West 4th Street
Akina Sushi;424 E 14th St;At 1st Ave;424 E 14th St
Akita;1771 1st Ave;Btwn 91st & 92nd Ave;1771 1st Avenue
Akita1771;1st Ave;;1st Avenue
Akwaba;62 E 116th St;Btwn Madison & Park Ave;62 E 116th St
Akwaba62 E;116th St;;E 116th St
Al Dente;417 Amsterdam Ave;At 80th St;417 Amsterdam Ave
Al Diwan;210 Avenue A;At 13th St;210 Avenue A
Al Forno;1484 2nd Ave;Btwn 77th & 78th St;1484 2nd Ave
Al's Delicatessen;458 7th Ave;Btwn 34th & 35th St;458 7th Ave
Al-Baraka;154 E 55th St;Btwn 3rd & Lexington Ave;154 E 55th St
Alachi Masala;488 Amsterdam Ave;Btwn 83rd & 84th St;488 Amsterdam Ave
Alan's Marketplace;27 Columbus Ave;Btwn 60th & 61st St;27 Columbus Ave
Alcala;342 E 46th St;Btwn 1st & 2nd Ave;342 E 46th St
Alcala342 E;46th St;;W 46th St
Aleo;7 W 20th St;Btwn 5th & 6th Ave;7 W 20th St
Aleo7 W 2;0th St;;0th St
Alexander the Great;374 8th Ave;At 29th St;374 8th Ave
Alexandra;455 Hudson St;Btwn Barrow & Morton St;455 Hudson St
Alfama;551 Hudson St;At Perry St;551 Hudson St
Alfanoose;8 Maiden Ln;Btwn Bway & Nassau St;8 Maiden Ln
Alfredo's of Rome;4 W 49th St;Btwn Rockefeller Plaza & 5th Ave;4 W 49th St
Ali Baba Turkish Cuisine;212 E 34th St;Btwn 2nd & 3rd Ave;212 E 34th St
Alias;76 Clinton St;At Rivington St;76 Clinton St
Alice's Tea Cup;102 W 73rd St;At Columbus Ave;102 W 73rd St
Alice's Tea Cup Chapter II;156 E 64th St;Btwn Lexington & 3rd Ave;156 E 64th St
Alice's Tea Cup Chapter III;220 E 81st St;Btwn 2nd & 3rd Ave;220 E 81st St
Alidoro;105 Sullivan St;Btwn Spring & Prince St;105 Sullivan St
Alidoro10;5 Sullivan St;;5 Sullivan St
All About Food;19 Waverly Pl;Btwn Mercer & Greene St;19 Waverly Pl
All American Deli;42 Water St;At Coenties Slip;42 Water St
Allegretti;46 W 22nd St;Btwn 5th & 6th Ave;46 W 22nd St
Allen & Delancey;115 Allen St;At Delancey St;115 Allen St
Alloro;307 E 77th St;Btwn 1st & 2nd Ave;307 E 77th St
Alloro307 E;77th St;;E 77th St
Almond;12 E 22nd St;Btwn Bway & Park Ave S;12 E 22nd St
Almond12 E;22nd St;;W 22nd St
Aloe;406 E 9th St;At Ave A;406 E 9th St
Aloe406 E;9th St;;W 9th St
Alonso's Steakhouse;265 W 20th St;Btwn 7th & 8th Ave;265 W 20th St
Alouette;2588 Broadway;Btwn 97th & 98th St;2588 Broadway
Alpha Fusion;365 W 34th St;At 9th Ave;365 W 34th St
Alta;64 W 10th St;Btwn 5th & 6th Ave;64 W 10th St
Alta64 W;10th St;;W 10th St
Alto;11 E 53rd St;Btwn Madison & 5th Ave;11 E 53rd St
Alto11 E;53rd St;;W 53rd St
Amadeus Pizza;408 8th Ave;Btwn 30th & 31st St;408 8th Ave
Amadeus Pizza;856 8th Ave;Btwn 51st & 52nd St;856 8th Ave
Amai;171 3rd Ave;Btwn 16th & 17th St;171 3rd Ave
Amalia;204 W 55th St;Btwn 7th Ave & Bway;204 W 55th St
Amalia204 W;55th St;;W 55th St
Amaranth;21 E 62d St;Btwn 5th & Madison Ave;21 E 62nd St
Amarok Bar & Grill;32 Cliff St;At Fulton St;32 Cliff St
Amarone;686 9th Ave;Btwn 47th & 48th St;686 9th Ave
Amarone68;6 9th Ave;;6 9th Ave
Amaya;234 E 4th St;At Ave B;234 E 4th St
Amaya234 E;4th St;;West 4th Street
Amazing;6666 Mott St;Btwn Bayard & Canal St;Mott St
Amazonia;498 9th Ave;Btwn 37th & 38th St;498 9th Ave
Ambassador Grill & Lounge;1 UN Plaza;At 1st Ave & 44th St;1 United Nations Plaza
Amber;221 Columbus Ave;At 70th St;221 Columbus Ave
Amber;381 3rd Ave;Btwn 27th & 28th St;381 3rd Ave
Amber;1406 3rd Ave;At 80th St;1406 3rd Ave
Amber1406;3rd Ave;;3rd Ave
Amber381;3rd Ave;;3rd Ave
Ambrosia;8 W 45th St;Btwn 5th & 6th Ave;8 W 45th St
Ambrosia;273 1st Ave;Btwn 15th & 16th St;273 1st Avenue
Amelia's;110 Varick St;At Broome St;110 Varick St
AmeriMex;135 E 28th St;At Lexington Ave;135 E 28th St
American East Fuzhou;54 E Broadway;Btwn Catherine & Market St;54 E Broadway
American Girl Place;609 5th Ave;At 49th St;609 5th Ave
Americana Deli;2657 Broadway;At 101st St;2657 Broadway
Americas;1159 3rd Ave;Btwn 67th & 68th St;1159 3rd Ave
Amici;36519 8th Ave;Btwn 35th & 36th St;8th Ave
Amici 365;19 8th Ave;;19 8th Ave
Amir's Falafel;2911 Broadway;Btwn 113th & 114th St;2911 Broadway
Amity Restaurant;1134 Madison Ave;Btwn 84th & 85th St;1134 Madison Ave
Amma;246 E 51st St;Btwn 2nd & 3rd Ave;246 E 51st St
Amma246 E;51st St;;W 51st St
Ammos Estiatorio;52 Vanderbilt Ave;Btwn 44th & 45th St;52 Vanderbilt Ave
Amor Cubano;2018 3rd Ave;At 111th St;2018 3rd Ave
Amsterdam Pizza & Restaurant;1343 Amsterdam Ave;Btwn 125th & 126th St;1343 Amsterdam Ave
Amsterdam Restaurant;1207 Amsterdam Ave;Btwn 119th & 120th St;1207 Amsterdam Ave
Amy Ruth's;113 W 116th St;Btwn Lenox & 7th Ave;113 W 116th St
Amy's Bread;250 Bleecker St.;At Leroy St;250 Bleecker St
Amy's Bread;75 9th Ave;Btwn 15th & 16th St;75 9th Ave
Amy's Bread;672 9th Ave;Btwn 46th & 47th St;672 9th Ave
Amy's Restaurant;586 W 207th St;Btwn Vermilyea Ave & Bway;586 W 207th St
An Choi;85 Orchard St;;85 Orchard St
Ancora Ristorante;11 Stone St;Btwn Whitehall & Broad St;11 Stone St
Andre's Cafe;1631 2nd Ave;Btwn 84th & 85th St;1631 2nd Ave
Andrew's Coffee Shop;246 W 38th St;Btwn 7th & 8th Ave;246 W 38th St
Andrew's Coffee Shop;463 7th Ave;At 35th St;463 7th Ave
Andrew's Coffee Shop;1410 Broadway;At 39th St;1410 Broadway
Andrew's Coffee Shop;116 John St;At Pearl St;116 John St
Andrew's Coffee Shop;316 W 34th St;Btwn 8th & 9th Ave;316 W 34th St
Andy's;2262 3rd Ave;At 123rd St;2262 3rd Ave
Andy's Deli;418 Columbus Ave;At 80th St;418 Columbus Ave
Andy's Deli;873 Broadway;At 18th St;873 Broadway
Andy's226;2 3rd Ave;;2 3rd Ave
Anesis Cafe;42 W 35th St;Btwn 5th & 6th Ave;42 W 35th St
Angela's Coffee Shop;805 W 187th St;Btwn Pinehurst & Fort Washington Ave;805 W 187th St
Angela's Rock 'N Roll Deli;1428 6th Ave;At 58th St;1428 6th Ave
Angelica Kitchen;300 E 12th St;Btwn 1st & 2nd Ave;300 E 12th St
Angelina Cafe;36 Avenue A;Btwn 2nd & 3rd St;36 Avenue A
Angelo and Maxie's;233 Park Ave S;At 19th St;233 Park Ave S
Angelo of Mulberry Street;146 Mulberry St;Btwn Hester & Grand St;146 Mulberry St
Angelo's Pizza;1043 2nd Ave;At 55th St;1043 2nd Ave
Angelo's Pizza;117 W 57th St;Btwn 6th & 7th Ave;117 W 57th St
Angels & Kings;500 E 11th St;At Ave A;500 E 11th St
Angon on the Sixth;320 E 6th St;Btwn 1st & 2nd Ave;320 E 6th St
Angus McIndoe;258 W 44th St;Btwn 8th Ave & Bway;258 W 44th St
Anita's Delicatessen;180 Lexington Ave;At 31st St;Lexington Plaza
Anna's;268 E 10th St;Btwn 1st Ave & Ave A;268 E 10th St
Anna's268 E;10th St;;W 10th St
Anneliese's;1516 1st Ave;At 79th St;1516 1st Avenue
Annie Moore's;50 E 43rd St;Btwn Madison & Vanderbilt Ave;50 E 43rd St
Annisa;13 Barrow St;Btwn 7th Ave S & W 4th St;13 Barrow St
Anthea Cafe;320 Lexington Ave;Btwn 38th & 39th St;320 Lexington Ave
Anthos;36 W 52nd St;Btwn 5th & 6th Ave;36 W 52nd St
Anthos36 W;52nd St;;E 52nd St
Antibes Bistro;112 Suffolk St;;112 Suffolk St
Antica Venezia;396 West St;At W 10th St;396 West St
Antik;356 Bowery;Btwn 3rd & 4th St;356 Bowery
Antique Cafe;55 W 26th St;Btwn 6th Ave & Bway;55 W 26th St
Antique Garage;41 Mercer St;Btwn Broome & Grand St;41 Mercer St
Antoinette's;2090 Frederick Douglass Blvd;Btwn 112th & 113th St;2090 Frederick Douglass Blvd
Antoinette's (CLOSED);2090 Frederick Douglass Blvd;Btwn 112th & 113th St;2090 Frederick Douglass Blvd
Antonucci;170 E 81st St;Btwn Lexington & 3rd Ave;170 E 81st St
Any Time Cafe;142 Fulton St;Btwn Bway & Nassau St;142 Fulton St
Any Time Cafe;17 John St;Btwn Nassau St & Bway;17 John St
Anyway Cafe;34 E 2nd St;At 2nd Ave;34 E 2nd St
Aoki;234 W 48th St;Btwn 8th Ave & Bway;234 W 48th St
Aoki234 W;48th St;;W 48th St
Aperitivo;780 3rd Ave;Btwn 48th & 49th St;780 3rd Ave
Apiary;60 3rd Ave;At 11th St;60 3rd Ave
Apiary60;3rd Ave;;3rd Ave
Apizz;217 Eldridge St;Btwn Stanton & Rivington St;217 Eldridge St
Apna Taj;159 E 55th St;;159 E 55th St
Apollo Restaurant;333 Park Ave S;Btwn 24th & 25th St;333 Park Ave S
Apolo Restaurant;168 Delancey St;At Clinton St;168 Delancey St
Apotheke;9 Doyers St;Btwn Bowery & Pell St;9 Doyers St
Apple;17 Waverly Pl;Btwn Greene & Mercer St;17 Waverly Pl
Applebaum's;431 7th Ave;Btwn 33rd & 34th St;431 7th Ave
Applebee's;234 W 42nd St;Btwn 7th & 8th Ave;234 W 42nd St
Applebee's;205 W 50th St;Btwn Bway & 7th Ave;205 W 50th St
Applebee's;102 N End Ave;At Vesey St;102 North End Ave
Applejack Diner;230 W 55th St;At Broadway;230 W 55th St
Aqua Marina;4060 Broadway Ave;At 171st St;4060 Broadway
Aquagrill;210 Spring St;At 6th Ave;210 Spring St
Aquamarine;713 2nd Ave;Btwn 38th & 39th St;713 2nd Ave
Aquavit;65 E 55th St;Btwn Park & Madison Ave;65 E 55th St
Aquavit Cafe;65 E 55th St;Btwn Park & Madison Ave;65 E 55th St
Aquavit65 E;55th St;;W 55th St
Ara;24 9th Ave;At 13th St;24 9th Ave
Arabelle;37 E 64th St;At Madison Ave;37 E 64th St
Arctica Bar & Grill;384 3rd Ave;Btwn 27th & 28th St;384 3rd Ave
Ariana;787 9th Ave;Btwn 52nd & 53rd St;787 9th Ave
Ariana787;9th Ave;;9th Ave
Arirang;32 W 32nd St;;32 W 32nd St
Arium;31 Little W 12th St;Btwn Washington St & 9th Ave;31 Little W 12th St
Ariyoshi;226 E 53rd St;Btwn 2nd & 3rd Ave;226 E 53rd St
Ariyoshi;810 Broadway;Btwn 11th & 12th St;810 Broadway
Armani/Ristorante;5th Avenue717 5th Ave;;5th Avenue717 5th Ave
Arno Ristorante;141 W 38th St;Btwn Broadway & 7th Ave;141 W 38th St
Aroma;36 E 4th St;Btwn Bowery & Lafayette St;36 E 4th St
Aroma Espresso Bar;145 Greene St;At Houston St;145 Greene St
Aroma Espresso Bar;161 W 72nd St;;161 W 72nd St
Aroma36 E;4th St;;West 4th Street
Arome;325 Broadway;Btwn Worth & Thomas St;325 Broadway
Arome Deli & Pizzeria;138 W 32nd St;Btwn 6th & 7th Ave;138 W 32nd St
Around the Clock;8 Stuyvesant St;Btwn 3rd Ave & 9th St;8 Stuyvesant St
Arqua;281 Church St;At White St;281 Church St
Arriba Arriba;1463 3rd Ave;Btwn 82nd & 83rd St;1463 3rd Ave
Arriba Arriba;762 9th Ave;At 51st St;762 9th Ave
Art Bar;52 8th Ave;Btwn Horatio & Jane St;52 8th Ave
Art Bar52;8th Ave;;8th Ave
Arte Around the Corner;274 Columbus Ave;At 73rd St;274 Columbus Ave
Arte Cafe;106 W 73rd St;Btwn Columbus & Amsterdam Ave;106 W 73rd St
Arte Restaurant;21 E 9th St;Btwn 5th Ave & University Pl;21 E 9th St
Artepasta;81 Greenwich Ave;Btwn Bank St & 7th Ave S;81 Greenwich Ave
Artichoke Pizza;328 E 14th St;Btwn 1st & 2nd Ave;328 E 14th St
Artie's Delicatessen;2290 Broadway;At 83rd St;2290 Broadway
Artisanal;2 Park Ave;At 32nd St;2 Park Ave 20th floor
Arturo's;1617 York Ave;At 85th St;1617 York Ave
Arturo's;106 W Houston St;At Thompson St;106 W Houston St
Arturo's Pizza;1610 York Ave;At 85th St;1610 York Ave
Asahi;311 W 48th St;Btwn 8th & 9th Ave;311 W 48th St
Asahi311 W;48th St;;W 48th St
Ashby's;64 W 22nd St;Btwn 5th & 6th Ave;64 W 22nd St
Ashby's64 W;22nd St;;W 22nd St
Ashkara;189 E Houston St;At Orchard St;189 E Houston St
Ashkara18;9 E Houston St;;9 E Houston St
Ashton's Cafe;805 3rd Ave;Btwn 49th & 50th St;805 3rd Ave
Ashton's Restaurant;208 E 50th St;Btwn 2nd & 3rd Ave;208 E 50th St
Asia Grill;1239 2nd Ave;At 65th St;1239 2nd Ave
Asia Grill & Ichiro;21239 2nd Ave;;2nd Ave
Asia Kan;710 Amsterdam Ave;Btwn 94th & 95th St;710 Amsterdam Ave
Asia Roma;40 Mulberry St;Btwn Worth & Bayard St;40 Mulberry St
Asia de Cuba;237 Madison Ave;Btwn 37th & 38th St;237 Madison Ave
Asian Bistro;70 7th Ave;At 14th St;70 7th Ave
Asian Bowl;155 E 52nd;Btwn Lexington & 3rd Ave;155 E 52nd St
Asian Express;236 E 23rd St;Btwn 2nd & 3rd Ave;236 E 23rd St
Asian Fusion on Stone;11 Stone St;Btwn Broad & Whitehall St;11 Stone St
Asiana;120 E 34th St;Btwn Park & Lexington Ave;120 E 34th St
Asiana (CLOSED);120 E 34th St;;120 E 34th St
Asiate;80 Columbus Circle;At 60th St;80 Columbus Cir
Aspen;30 W 22nd St;Btwn 5th & 6th Ave;30 W 22nd St
Aspen Social Club;157 W 47th St;Btwn 6th & 7th Ave;157 W 47th St
Aspen30 W;22nd St;;W 22nd St
Astor Court;2 E 55th St;At 5th Ave;2 E 55th St
Astra;979 3rd Ave;Btwn 58th & 59th St;979 3rd Ave
Astra979;3rd Ave;;3rd Ave
Astro Restaurant;101 W 55th St;Corner of 55th St;101 W 55th St
Astro Restaurant;1361 6th Ave;;1361 6th Ave
Ate Avenue;169 8th Ave;Btwn 18th & 19th St;169 8th Ave
Atlantic Catering;64 E 1st St;Btwn 1st & 2nd Ave;64 E 1st St
Atlantic Grill;1341 3rd Ave;Btwn 76th & 77th St;1341 3rd Ave
Atlas;73 2nd Ave;Btwn 4th & 5th St;73 2nd Ave
Atomic Wings;311 Broadway;Btwn Thomas & Duane St;311 Broadway
Atomic Wings;528 9th Ave;Btwn 39th & 40th St;528 9th Ave
Atomic Wings;2090 Frederick Douglass Blvd;Btwn 113th & 114th St;2090 Frederick Douglass Blvd
Atomic Wings;1140 2nd Ave;At 60th St;1140 2nd Ave
Atomic Wings;1495 1st Ave;At 78th St;1495 1st Avenue
Atomic Wings;184 1st Ave;Btwn 11th & 12th St;184 1st Avenue
Atomic Wings at Down the Hatch;179 W 4th St;Btwn 6th & 7th Ave;179 West 4th Street
Atria;13-15 W 54th St;Btwn 5th & 6th Ave;13 W 54th St
Atria13-1;5 W 54th St;;5 W 54th St
Atrium Gourmet Deli;485 7th Ave;Btwn 36th & 37th St;485 7th Ave
Au Mandarin;200 Vesey St;At West St;200 Vesey Street 3 World Financial Center 24 Floor
August;359 Bleecker St;Btwn Charles & W 10th St;359 Bleecker St
Aura;462 9th Ave;Btwn 35th & 36th St;462 9th Ave
Aureole;34 E 61st St;Btwn Madison & Park Ave;34 E 61st St
Aureole34 E;61st St;;E 61st St
Aurora SoHo;510 Broome St;Btwn Thompson St & W Broadway;510 Broome St
Aurum Mediterranean Bar & Grill;2252 1st Ave;Btwn 115th & 116th St;2252 1st Avenue
Austin's Cafe;10 Park Ave;At 34th St;10 Park Ave
Austin's Cafe;291 7th Ave;Btwn 26th & 27th St;291 7th Ave
Automatic Slims;733 Washington St;At Bank St;733 Washington St
Avalon Bar & Grill;16 E 32nd St;Btwn Madison & 5th Ave;16 E 32nd St
Avenue A Sushi;103 Avenue A;Btwn 6th & 7th St;103 Avenue A
Avi & David's Bagels;1046 3rd Ave;At 62nd St;1046 3rd Ave
Avon Bistro;155 E 52nd St;Btwn Lexington & 3rd Ave;155 E 52nd St
Avondale Caterers;155 E 52nd St;Btwn 3rd & Lexington Ave;155 E 52nd St
Avra;141 E 48th St;Btwn 3rd & Lexington Ave;141 E 48th St
Avra141 E;48th St;;W 48th St
Awash;947 Amsterdam Ave;Btwn 106th & 107th St;947 Amsterdam Ave
Awash;338 E 6th St;Btwn 1st & 2nd Ave;338 E 6th St
Awash338 E;6th St;;E 6th St
Ayurveda Cafe;706 Amsterdam Ave;At 94th St;706 Amsterdam Ave
Ayza Wine Bar & Chocolate Bar;11 W 31st St;Btwn 5th Ave & Broadway;11 W 31st St
Azalea;224 W 51st St;Btwn Bway & 8th Ave;224 W 51st St
Azalea224 W;51st St;;W 51st St
Azuki;520 8th Ave;At 36th St;520 8th Ave
Azuki Sushi;239 Park Ave S;Btwn 19th & 20th St;239 Park Ave S
Azuki520;8th Ave;;8th Ave
Azul Bistro;152 Stanton St;At Suffolk St;152 Stanton St
Azure;830 3rd Ave;At 51st St;830 3rd Ave
Azure830;3rd Ave;;3rd Ave
Azuri Cafe;465 W 51st St;Btwn 9th & 10th Ave;465 W 51st St
Azusa of Japan;3 E 44th St;At 5th Ave;3 E 44th St
Azza;137 E 55th St;At Lexington Ave;137 E 55th St
Azza137 E;55th St;;W 55th St
B & H Vegetarian Restaurant;127 2nd Ave;Btwn 7th & 8th St;127 2nd Ave
B Bar & Grill;40 E 4th St;At Bowery St;40 E 4th St
B Cup;212 Avenue B;At 13th St;212 Avenue B
B Express;174 Ave B;At 11th St;174 Avenue B
B Flat;277 Church St;Btwn Franklin & White St;277 Church St
B-Bap Fusion Rice Bar;830 9th ave;Btwn 54th & 55th St;830 9th Ave
B. Cafe;240 E 75th St;Btwn 2nd & 3rd Ave;240 E 75th St
B. Cafe West;566 Amsterdam Ave;Btwn 87th & 88th St;566 Amsterdam Ave
B. Cafe24;0 E 75th St;;0 E 75th St
B. Smith's;320 W 46th St;Btwn 8th & 9th Ave;320 W 46th St
BB Sandwich Bar;120 W 3rd St;At MacDougal St;120 W 3rd St
BB&R;1720 2nd Ave;Btwn 89th & 90th St;1720 2nd Ave
BB&R1720;2nd Ave;;2nd Ave
BBQ Chicken & Beer;232 7th Ave;Btwn 23rd & 24th St;232 7th Ave
BBQ Chicken & Beer (CLOSED);232 7th Ave;Btwn 23rd & 24th St;232 7th Ave
BBQ In Harlem;19 St Nicholas Ave;Btwn 111th & 112th St;19-25 St Nicholas Ave
BBQ In Harlem (CLOSED);19 St Nicholas Ave;;19-25 St Nicholas Ave
