restaurant;address;country;country_code;neighborhood;type;cost;addressGoogle
Boi To Go;800 Second Ave;New York;NY;Midtown East;Vietnamese;$$;800 2nd Ave
Bolo;23 E 22nd St;New York;NY;Flatiron;Spanish;$$$$;23 E 22nd St
Bombay Grill;344 Lexington Ave;New York;NY;;Indian;$$;344 Lexington Ave
Bombay Palace;30 W 52nd St;New York;NY;Midtown West;Indian;$$;30 W 52nd St
Bombay Talkie;189 Ninth Ave;New York;NY;Chelsea;Indian;$$;189 9th Ave
Bond 45;154 W 45th St;New York;NY;Midtown West;Italian;$$$;154 W 45th St
Bondi Road;153 Rivington St.;New York;NY;;Australian;$$;153 Rivington St
Bondst;6 Bond Street;New York;NY;TriBeCa;Japanese;$$$$;6 Bond St
Boom;152 Spring Street;New York;NY;SOHO;Italian;$$;152 Spring St
Boqueria;53 W. 19th St.;New York;NY;;Spanish;$$$;53 W 19th St
Borgo Antico;22 E 13th St;New York;NY;East Village;Italian;$$$;22 E 13th St
Bottino;246 10th Ave;New York;NY;Chelsea;Italian;$$$;246 10th Ave
Bouley;120 West Broadway;New York;NY;TriBeCa;French;$$$$$;120 W Broadway
Bourbon Street Bar & Grille;346 W 46th Street;New York;NY;;Creole-Cajun;$$$$;346 W 46th St
Brasserie;100 East 53rd St;New York;NY;Midtown East;French;$$$;100 E 53rd St
Brasserie 8 1/2;9 W 57th St;New York;NY;Midtown West;French;$$$$;East River Realty Company
Brasserie Julien;1422 3rd Ave (Between 80th & 81st Streets);New York;NY;Upper East Side;French;$$;1420-1422 3rd Ave
Bread;20 Spring St;New York;NY;NoLita;American;$$;20 Spring St
Bricco Ristorante;304 W 56th St;New York;NY;;;;304 W 56th St
Brick Lane Curry;342 East 6th St;New York;NY;East Village;Indian;$;342 E 6th St
Bridge Cafe;279 Water St;New York;NY;Financial District;American;$$$;279 Water St
Bright Food Shop;218 Eighth Ave;New York;NY;Chelsea;Asian;$;218 8th Ave
Broadway East;171 East Broadway;New York;NY;Lower East Side;American;$$$;171 E Broadway
Broadway Joe Steakhouse;315 West 46th Street;New York;NY;Theater;Steakhouse;$$$;315 W 46th St
Brother Jimmy's Bbq;1461 1st Ave;New York;NY;Midtown East;Southern;$;1461 1st Avenue
Bubba Gump Shrimp Co.;1501 Broadway;New York;NY;Midtown West;American;$;1501 Broadway
Bubble Loung;228 W Broadway;New York;NY;TriBeCa;Small Plates;$$$;228 W Broadway
Bubby's;120 Hudson St;New York;NY;TriBeCa;American;$;120 Hudson St
Buddakan;75 Ninth Ave;New York;NY;Chelsea;Fusion;$$$$;75 9th Ave
Buddha BBeeQ;1750 Second Ave.;New York;NY;Upper East Side;Korean;$;1750 2nd Ave
Buddha Bar;25 Little West 12th Street;New York;NY;Meatpacking District;Asian;$$$$;25 Little W 12th St
Buenos Aires;513 E Sixth St;New York;NY;East Village;Argentinean;$$;513 E 6th St
Bukhara Grill;217 E 49th St;New York;NY;Midtown East;Indian;$$;217 E 49th St
Bull Run;52 William St;New York;NY;Financial District;American;$$$;52 William St
Burger Joint;190 Bleecker St;New York;NY;Gramercy Park;American;$;190 Bleecker St
Burritoville;352 W 39th St;New York;NY;Midtown West;Southwestern;$;352 W 39th St
Butai;115 E 18th St;New York;NY;Gramercy Park;Japanese;$$$;115 E 18th St
Butter;415 Lafayette St;New York;NY;East Village;American;$$$;415 Lafayette St
Cabana;89 S St Pier 17 Pavilion;New York;NY;Upper East Side;Nuevo Latino;$$;89 South St
Cabrito;50 Carmine St.;New York;NY;;Fusion;;50 Carmine St
Cacio E Pepe;182 Second Ave;New York;NY;East Village;Italian;$$;182 2nd Ave
Cafe Asean;117 West 10th Street;New York;NY;;;;117 W 10th St
Cafe Blossom;466 Columbus Ave;New York;NY;;;;466 Columbus Ave
Cafe Centro;200 Park Ave;New York;NY;Midtown East;Mediterranean;$$$;MetLife Building
Cafe Con Leche;726 Amsterdam Ave;New York;NY;Upper West Side;Cuban;$;726 Amsterdam Ave
Cafe De Bruxelles;118 Greenwich Ave;New York;NY;West Village;Belgian;$$;118 Greenwich Ave
Cafe Des Artistes;1 W 67th Street;New York;NY;Upper West Side;French;$$$;1 W 67th St
Cafe Du Soleil;2723 Broadway;New York;NY;Upper West Side;French;$$$;2723 Broadway
Cafe Espanol;172 Bleecker Street;New York;NY;Greenwich Village;American;$;172 Bleecker St
Cafe Frida;368 Columbus Ave;New York;NY;Upper West Side;Mexican;$$;368 Columbus Ave
Cafe Gitane;242 Mott St;New York;NY;NoLita;French;$;242 Mott St
Cafe Gray;10 Columbus Circle, 3rd Fl;New York;NY;Upper West Side;French;$$$$$;10 Columbus Cir 3rd Fl
Cafe Habana;229 Elizabeth St;New York;NY;NoLita;Cuban;$;229 Elizabeth St
Cafe Joul;1070 First Avenue;New York;NY;Midtown East;French;$$;1070 1st Avenue
Cafe Lalo;201 W 83rd St;New York;NY;Upper West Side;American;$;201 W 83rd St
Cafe Loup;105 W 13th St;New York;NY;Greenwich Village;French;$$$;105 W 13th St
Cafe Mogador;101 St Marks Pl;New York;NY;East Village;Moroccan;$;101 St Marks Pl
Cafe Ronda;249-251 Columbus Ave;New York;NY;Upper West Side;Mediterranean;$$;249 Columbus Ave
Cafe Rustico East;230 East 29th St.;New York;NY;Midtown East;Italian;$$$;230 E 29th St
Cafe Select;212 Lafayette Street;New York;NY;;International;$$$;212 Lafayette St
Cafe Spice;72 University Pl;New York;NY;;;;72 University Pl
Cafe St. Barts;Park Avenue @ 50th St.;New York;NY;Upper East Side;American;$$$;Park Ave & E 50th St
Cafe Un Deux Trois;123 W 44th St;New York;NY;Midtown West;French;$$$;123 W 44th St
Cafeteria;119 Seventh Avenue;New York;NY;Chelsea;American;$;119 7th Ave
Caffe Falai;68 Clinton St.;New York;NY;SOHO;Italian;$$;68 Clinton St
Café Boulud;20 East 76th St;New York;NY;Upper East Side;French;$$$$;20 E 76th St
Café Sabarsky;1048 Fifth Ave;New York;NY;Upper East Side;Austrian;$$;1048 5th Ave
Calle Ocho;446 Columbus Avenue;New York;NY;Upper West Side;Cuban;$$;446 Columbus Ave
Camaje;85 Macdougal St;New York;NY;Greenwich Village;American;$$;85 MacDougal St
Camino Sur;336 W 37th St;New York;NY;Midtown West;South American;$$$;336 W 37th St
Campagnola;1382 First Ave;New York;NY;Upper East Side;Italian;$$$$;1382 1st Avenue
Candela;Candela, 92 Second Avenue;New York;NY;East Village;Cuban;$$;92 2nd Ave
Candle 79;154 E 79 St;New York;NY;Upper East Side;Vegetarian;$$;154 E 79th St
Candle Cafe;1307 Third Avenue;New York;NY;Upper East Side;Vegetarian;$;1307 3rd Ave
Canyon Road;1470 First Avenue;New York;NY;Upper East Side;Southwestern;$$;1470 1st Avenue
Capital Grille;155 E 42nd St;New York;NY;Midtown East;Steakhouse;$$$$;155 E 42nd St
Caracas Arepa Bar;91 East 7th St;New York;NY;East Village;South American;$;91 E 7th St
Carmine's;2450 Broadway;New York;NY;Midtown West;Italian;$$;2450 Broadway
Carnegie Deli;854 7th Ave;New York;NY;Midtown West;Deli;$;854 7th Ave
Casa;72 Bedford St;New York;NY;West Village;South American;$$;72 Bedford St
Casa La Femme North;1076 First Ave;New York;NY;Midtown East;African;$$$;1076 1st Avenue
Casa Mono;125 East 17th;New York;NY;Gramercy Park;Spanish;$$$;125 E 17th St
Casimir;103-105 Ave B;New York;NY;East Village;French;$$;103 Avenue B
Caterina's;316 East 53rd Street;New York;NY;Midtown East;Hungarian;$$$;316 E 53rd St
Celeste;502 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$;502 Amsterdam Ave
Cellini Restaurant;65 E 54th St;New York;NY;Midtown East;Italian;$$$;65 E 54th St
Cendrillon;45 Mercer St;New York;NY;SOHO;Southeast Asian;$$;45 Mercer St
Central Park Boathouse;Enter on E 72nd St;New York;NY;;;;Enter on E 72nd St
Cercle Rouge;241 W Broadway;New York;NY;TriBeCa;American;$$$;241 W Broadway
Chanterelle;2 Harrison St;New York;NY;TriBeCa;French;$$$$$;2 Harrison St
Charlie Palmer's Metrazur;East Balcony #4, 404 Grand Central Terminal, 42nd Street;New York;NY;Midtown East;American;$$$;89 E 42nd St
Chat 'N Chew;10 E 16th St;New York;NY;Union Square;American;$;10 E 16th St
Chemist Club Grill;Dylan Hotel;New York;NY;Midtown East;American;$$$;52 E 41st St
Chennai Garden;129 E 27 St;New York;NY;Gramercy Park;Indian;$;129 E 27th St
Chez Jacqueline;72 Macdougal St;New York;NY;Greenwich Village;French;$$$;72 MacDougal St
Chikalicious Dessert Bar;203 E 10th St;New York;NY;East Village;American;$;203 E 10th St
Chimichurri Grill;606 9th Avenue;New York;NY;Midtown West;South American;$$$;606 9th Ave
Chin Chin;216 E 49th St;New York;NY;Midtown East;Chinese;$$$;216 E 49th St
China Fun;246 Columbus Ave;New York;NY;Upper West Side;Chinese;$;246 Columbus Ave
China Grill;60 W 53rd St;New York;NY;Midtown West;Asian;$$$$;60 W 53rd St
China de Puebla;3143 Broadway;New York;NY;Harlem;Asian;;3143 Broadway
Chinatown Brasserie;380 Lafayette St;New York;NY;NoLita;Chinese;$$$;380 Lafayette St
Chino's;173 Third Ave;New York;NY;Gramercy Park;Asian;$;173 3rd Ave
Chipotle;100 Maiden Ln.;New York;NY;Financial District;Mexican;$;100 Maiden Ln
Chiyono;328 E. Sixth St.;New York;NY;;Japanese;$$;328 E 6th St
Cho Dang Gol;55 W 35th St;New York;NY;Midtown West;Korean;$;55 W 35th St
Chocolate Bar;48 8th Ave;New York;NY;Greenwich Village;Dessert;$$$;48 8th Ave
Chola;232 E 58th St;New York;NY;Midtown East;Indian;$$;232 E 58th St
Choshi Restaurant;77 Irving Pl;New York;NY;Greenwich Village;Japanese;$$;77 Irving Pl
Chow Bar;230 W Fourth St;New York;NY;West Village;Asian;$$;230 West 4th Street
Churrascaria Plataforma Ny;316 W 49th Street;New York;NY;Midtown West;South American;$$$;316 W 49th St
Cibo;767 Second Avenue;New York;NY;Midtown East;American;$$$;767 2nd Ave
Cilantro;1712 2nd Ave;New York;NY;Upper East Side;Southwestern;$;1712 2nd Ave
Cinema Cafe On 34th;505 3rd Ave;New York;NY;;;;505 3rd Ave
Circus;132 E 61st St;New York;NY;Upper East Side;South American;$$$;132 E 61st St
Citrus Bar & Grill;320 Amsterdam Ave;New York;NY;Upper West Side;Asian;$$;320 Amsterdam Ave
City Bakery;3 W 18th St;New York;NY;Flatiron;American;$;3 W 18th St
City Burger;1410 Broadway;New York;NY;Midtown West;American;$$;1410 Broadway
City Crab & Seafood;235 Park Ave S;New York;NY;Lower East Side;Seafood;$$$;235 Park Ave S
City Hall;131 Duane St;New York;NY;TriBeCa;Seafood;$$$;131 Duane St
Coffee Shop;29 Union Square West;New York;NY;Union Square;American;$;29 Union Square W
Colors;417 Lafayette St;New York;NY;East Village;International;$$$;417 Lafayette St
Columbus Bakery;474 Columbus Ave;New York;NY;;;;474 Columbus Ave
Comfort Diner;25 W 23rd St;New York;NY;Midtown East;American;$;25 W 23rd St
Compass;208 W 70th Street;New York;NY;Upper West Side;American;$$$;208 W 70th St
Convivio;45 Tudor City Pl;New York;NY;Midtown East;Italian;$$$$$;45 Tudor City Pl
Cookshop;156 10th Ave;New York;NY;Chelsea;American;$$$$;156 10th Ave
Coppola's Pizzeria Restaurant;206 W 79th St;New York;NY;Upper West Side;Italian;$$;206 W 79th St
Cornelia Street Cafe;29 Cornelia Street;New York;NY;Greenwich Village;American;$$$;29 Cornelia St
Corner Bistro;331 W 4th St;New York;NY;West Village;American;$;331 West 4th Street
Cosette;163 E 33rd St;New York;NY;Murray Hill;French;$$;163 E 33rd St
Cosi;53 E. Eighth St.;New York;NY;Greenwich Village;American;$;53 E 8th St
Counter;105 First Ave;New York;NY;East Village;Vegetarian;$$;105 1st Avenue
Country;90 Madison Ave, 2nd Fl;New York;NY;Gramercy Park;American;$$$$;90 Madison Ave 2nd Fl
Cowgirl;519 Hudson Street;New York;NY;West Village;Southwestern;$;519 Hudson St
Craft;43 E 19th St;New York;NY;Union Square;American;$$$$$;43 E 19th St
Craftbar;900 Broadway;New York;NY;Flatiron;American;$$$;900 Broadway
Craftsteak;85 10th Ave;New York;NY;Chelsea;Steakhouse;$$$$$;85 10th Ave
Crema Restaurante;111 West 17th Street;New York;NY;Chelsea;Mexican;$$$;111 W 17th St
Creole;2167 Third Ave;New York;NY;Harlem;Creole-Cajun;$$;2167 3rd Ave
Crisp;684 3rd Ave;New York;NY;Midtown East;Middle Eastern;$$;684 3rd Ave
Crispo;240 W 14th St;New York;NY;West Village;Italian;$$$;240 W 14th St
Crooked Knife;29 E. 30th Street;New York;NY;Murray Hill;British;$$;29 E 30th St
Cru;24 Fifth Ave;New York;NY;Greenwich Village;Mediterranean;$$$$;24 5th Ave
Crumbs Bake Shop;1371 3rd Ave;New York;NY;;;;1371 3rd Ave
Cuba;222 Thompson Street;New York;NY;Greenwich Village;Cuban;$$;222 Thompson St
Cuba Cafe;200 Eighth Ave;New York;NY;Chelsea;Cuban;$;200 8th Ave
Cubana Cafe;110 Thompson St;New York;NY;Greenwich Village;Cuban;$;110 Thompson St
Cube 63;63 Clinton St;New York;NY;Lower East Side;Japanese;$$;63 Clinton St
Cucina Di Pesce;87 E 4th St;New York;NY;East Village;Italian;$;87 E 4th St
Da Andrea;557 Hudson St;New York;NY;West Village;Italian;$$;557 Hudson St
Da Antonio;157 E 55th St;New York;NY;Midtown East;Italian;$$$$;157 E 55th St
Da Ciro;229 Lexington Ave;New York;NY;Murray Hill;Italian;$$;229 Lexington Ave
Da Nico;164 Mulberry St.;New York;NY;;Italian;$$;164 Mulberry St
Da Silvano;260 6th Avenue;New York;NY;Greenwich Village;Italian;$$$;260 6th Ave
Da Umberto;107 West 17th Street;New York;NY;;Italian;$$$;107 W 17th St
Dallas Bbq;27 W 72nd St;New York;NY;Upper West Side;American;$;27 W 72nd St
Danal;90 E 10th St;New York;NY;East Village;French;$$;90 E 10th St
Daniel;60 E 65th St;New York;NY;Upper East Side;French;$$$$$;60 E 65th St
Danube;30 Hudson St;New York;NY;TriBeCa;Austrian;$$$$$;30 Hudson St
David Burke at Bloomingdales;1000 Third Avenue;New York;NY;;American;$$$;1000 3rd Ave
