;restaurant;address;addressGoogle
69;Arby's;100 West 33rd Street;100 W 33rd St
70;Archipelago SoHo;333 Hudson Street;333 Hudson St
71;Arriba Arriba! - East;1463 Third Avenue;1463 3rd Ave
72;Arte Cafe;106 West 73rd Street;106 W 73rd St
73;Artisanal;2 Park Avenue;2 Park Ave
74;Asia Grill;1239 2nd Avenue;1239 2nd Ave
75;Asia de Cuba New York;237 Madison Avenue;237 Madison Ave
76;Asiana Restaurant and Bar;120 East 34th Street;120 E 34th St
77;Asiate;80 Columbus Cir. at 60th St.;80 Columbus Cir
78;Aspen;30 West 22nd Street;30 W 22nd St
79;Aspen Social Club;157 West 47th Street;157 W 47th St
80;Astor Court;2 East 55th Street;2 E 55th St
81;Atomic Wings;528 9th Avenue;528 9th Ave
82;Atomic Wings;1644 3rd Avenue;1644 3rd Ave
83;Atomic Wings at Down the Hatch;179 West 4th Street;179 West 4th Street
84;Auntie Anne's Pretzels;664 8th Avenue;664 8th Ave
85;Aureole;34 East 61st Street;34 E 61st St
86;Aurora;510 Broome Street;510 Broome St
87;Avi and David's;1046 3rd Avenue;1046 3rd Ave
88;Avra Estiatorio;141 East 48th Street;141 E 48th St
89;Azafran;77 Warren Street;77 Warren St
90;Azza;137 E. 55th St. at Lexington;136E E 55th St
91;B & T Supreme Pizza;132 East 86th Street;132 East 86th St
92;B. Cafe;240 East 75th Street;240 E 75th St
93;B. Smith's Restaurant Row;320 West 46th Street;320 W 46th St
94;BLT Fish Bistro Laurent Tourondel;21 West 17th Street;21 W 17th St
95;BLT Fish Bistro Laurent Tourondel;111 East 22nd Street;111 E 22nd St
96;BLT Market;1430 Avenue of the Americas;1430 6th Ave
97;BLT Steak, Bistro Laurent Tourondel;106 East 57th Street;106 E 57th St
98;Babbo;110 Waverly Place;110 Waverly Pl
99;Babouche SoHo;92 Prince Street;92 Prince St
100;Bagel & Bean;828 7th Avenue;828 7th Ave
101;Bagicha;226 West 79th Street;226 W 79th St
102;Baldoria;249 West 49th Street;249 W 49th St
103;Baluchi's West 56th Street;240 West 56th Street;240 W 56th St
104;Banana Leaf;103 Lexington Avenue;103 Lexington Ave
105;Bangkok House;360 West 360 46th Street;360 W 43rd St
106;Bann;350 West 50th Street;350 W 50th St
107;Bar Americain;152 West 52nd Street;152 W 52nd St
108;Bar Blanc;142 West 10th Street;142 W 10th St
109;Bar Boulud;1900 Broadway;1900 Broadway
110;Bar Q;308-310 Bleecker Street;308 Bleecker St
111;Bar Stuzzichini;928 Broadway;928 Broadway
112;Baraonda;1439 Second Avenue;1439 2nd Ave
113;Barbetta;321 West 46th Street;321 W 46th St
114;Barbounia;250 Park Avenue South;250 Park Ave S
115;Barbuto Restaurant;775 Washington Avenue;775 Washington St
116;Barking Dog;1453 York Avenue;1453 York Ave
117;Barna;365 Park Avenue South;365 Park Ave S
118;Barocco Kitchen;42 Union Square East;42 Union Square E
119;Baton Rouge Restaurant & Lounge;458 West 145th Street;458 W 145th St
120;Battery Gardens Restaurant;Inside Battery Park;Inside Battery Park
121;Beacon Restaurant;25 West 56th Street;25 W 56th St
122;Becco;355 West 46 Street;355 W 46th St
123;Beijing Wok Restaurant;1324 2nd Avenue;1324 2nd Ave
124;Bella Blu;967 Lexington Avenue;967 Lexington Ave
125;Bella Luna;584 Columbus Avenue;584 Columbus Ave
126;Bellavitae;24 Minetta Lane;24 Minetta Ln
127;Bellini;208 East 52nd Street;208 E 52nd St
128;Bello Sguardo;410 Amsterdam Avenue;410 Amsterdam Ave
129;Belluno;340 Lexington Avenue;340 Lexington Ave
130;Ben & Jerry's;Grand Central Terminal;89 E 42nd St
131;Ben & Jerry's;680 8th Avenue;680 8th Ave
132;Ben Benson's;123 West 52 Street;123 W 52nd St
133;Ben's Kosher Delicatessen;2099 West 38 Street;W 38th St
134;Benihana Japanese Steak House;47 West 56th Street;47 W 56th St
135;Benjamin Steakhouse;Manhattan · 52 East 41 Street;52 E 41st St
136;Bergdorf Goodman;2 West 58th Street;Bergdorf Goodman
137;Berger's Delicatessen;44 West 47 Street;44 W 47th St
138;Best Pizza;1038 1st Avenue;1038 1st Avenue
139;Big Nick;2175 Broadway;2175 Broadway
140;Big Nick's Burger Joint and Pizza Joint;2175 Broadway;2175 Broadway
141;Bistecca Fiorentina;317 West 46th Street;317 W 46th St
142;Bistro Chat Noir;22 East 66th Street;22 E 66th St
143;Bistro Desaret;227 East 56th Street;227 E 56th St
144;Bistro Les Amis;180 Spring Street;180 Spring St
145;Bistro Milano;1350 Avenue of the Americas;1350 6th Ave
146;Bivio Restaurant;637 Hudson Street;637 Hudson St
147;Blair Perrone Steak House;885 Second Avenue;885 2nd Ave
148;Blockhead's Burritos;499 3rd Avenue;499 3rd Ave
149;Blue Hill;75 Washington Place;75 Washington Pl
150;Blue Smoke;116 East 27th Street;116 E 27th St
151;Bobby Van's Steakhouse;25 Broad Street;25 Broad St
152;Bobby Van's Steakhouse;131 East 54th Street;131 E 54th St
153;Bobby Van's Steakhouse;230 Park Ave. at 46th St.;230 Park Ave
154;Bocca Restaurant;39 East 19th Street;39 E 19th St
155;Bocca di Bacco;828 Nineth Avenue;828 9th Ave
156;Body Restaurant and Lounge Harlem;701 West 135th Street;701 W 135th St
157;Bolo Restaurant & Bar;23 East 22nd Street;23 E 22nd St
158;Bond Street;6 Bond Street;6 Bond St
159;Boom Restaurant;152 Spring Street;152 Spring St
160;Borgo Antico;22 East 13th Street;22 E 13th St
161;Bottega Del Vino;7 East 59th Street;7 E 59th St
162;Bottino Restaurant;246 10th Avenue;246 10th Ave
163;Bouley Bakery Restaurant;120 West Broadway;120 W Broadway
164;Braai;329 West 51st Street;329 W 51st St
165;Braeburn Restaurant;117 Perry Street;117 Perry St
166;Brasserie 52;772 9th Avenue;772 9th Ave
167;Brasserie Cognac;1740 Broadway;1740 Broadway
168;Brasserie Julien;1422 Third Avenue;1422 3rd Ave
169;Brasserie Ruhlmann;45 Rockefeller Plaza;45 Rockefeller Plaza
170;Brazil Brazil;330 West 46th Street;330 W 46th St
171;Brazil Grill;787 8th Avenue;787 8th Ave
172;Brian Deli;153 Amsterdam Avenue;153 Amsterdam Ave
173;Brick Lane Curry House;306-308 East 6th Street;306 E 6th St #308
174;Broadway Joe Steakhouse;315 West 46 Street;315 W 46th St
175;Brother Jimmy's;181 Lexington Avenue;181 Lexington Ave
176;Brother Jimmy's;1644 3rd Avenue;1644 3rd Ave
177;Bryant Park Grill;25 West 40th Street;25 W 40th St
178;Bubble Lounge;228 West Broadway;228 W Broadway
179;Buddha Bar;25 Little West 12th Street;25 Little W 12th St
180;Bull Run;52 William Street;52 William St
181;Burger King;130 West 125th Street;130 W 125th St
182;Burger King;226 East 86th Street;226 East 86th St
183;Burger King;485 5th Avenue;485 5th Ave
184;Burger King;129 East 47th Street;129 E 47th St
185;Burger King;182 Broadway;182 Broadway
186;Burger King;146 Delancey Street;146 Delancey St
187;Burritoville;1487 2nd Avenue;1487 2nd Ave
188;Butai;115 East 18th Street;115 E 18th St
189;Butter;415 Lafayette Street;415 Lafayette St
190;Buzina Pop;1022A Lexington Avenue;1022A Lexington Ave
191;Cabana Carioca;123 West 45th Street;123 W 45th St
192;Cafe 82;2282 Broadway;2282 Broadway
193;Cafe Cluny;284 West 12th Street;284 W 12th St
194;Cafe D' Alsace;1695 2nd Avenue;1695 2nd Ave
195;Cafe Du Soleil;2723 Broadway Avenue;2723 Broadway
196;Cafe Espanol;172 Bleecker Street;172 Bleecker St
197;Cafe Frida;368 Columbus Avenue;368 Columbus Ave
198;Cafe Gray;10 Columbus Circle;10 Columbus Cir
199;Cafe Lalo;201 West 83 Street;201 W 83rd St
200;Cafe Luxembourg;200 West 70th;200 W 70th St
201;Cafe On Broadway;2350 Broadway;2350 Broadway
202;Cafe Pierre;5th Avenue at 61 Street;5th Ave & E 61st St
203;Cafe Socialista;505 West Street;505 W 37th St
204;Cafe St. Bart's;109 East 50th Street;109 E 50th St
205;Cafetasia;38 East 8th Street;38 E 8th St
206;Caffe Grazie;26 East 84th Street;26 E 84th St
207;Caffe Palermo;148 Mulberry Street;148 Mulberry St
208;Calico Jack's Cantina;800 Second Avenue;800 2nd Ave
209;Calle Ocho;446 Columbus Avenue;446 Columbus Ave
210;Candela;116 East 16th Street;116 E 16th St
211;Candle 79;154 East 79th Street;154 E 79th St
212;Cannonau;205 East 4th Street;205 E 4th St
213;Canyon Road;1470 1st Avenue;1470 1st Avenue
214;Capital Grille New York City;155 East 42nd Street;155 E 42nd St
215;Cara Mia;654 9th Avenue;654 9th Ave
216;Carmine's;2450 Broadway;2450 Broadway
217;Carne Vale;46 Avenue B;46 Avenue B
218;Caroline's Comedy Nation Restaurant;1626 Broadway;1626 Broadway
219;Carve Unique Sandwiches;760 8th Avenue;760 8th Ave
220;Casa Brasil;316 East 53 Street;316 E 53rd St
221;Casaville;633 Second Avenue;633 2nd Ave
222;Cascina Ristorante;647 Ninth Avenue;647 9th Ave
223;Caviar & Banana Brasserio;12 East 22nd Street;12 E 22nd St
224;Center Cut;44 West 63rd Street;44 W 63rd St.
225;Centovini;25 West Houston Street;25 W Houston St
226;Central Park BoatHouse;E. 72nd St. and Park Dr. N.;Park Ave & E 72nd St
227;Centrico;211 West Broadway;211 W Broadway
228;Centro Vinoteca;74 Seventh Avenue;74 7th Ave
229;Cesca Restaurant;164 West 75th Street;164 W 75th St
230;Chanterelle;2 Harrison Street;2 Harrison St
231;Chanto;133 Seventh Avenue South;133 7th Ave S
232;Charley's Grilled Subs;100 West 33rd Street;100 W 33rd St
233;Charlie Palmer's Metrazur;404 Grand Central Terminal, 42nd St.;89 E 42nd St
234;Chef Roland's;1354 Amsterdam Avenue;1354 Amsterdam Ave
235;Chez Jacqueline;72 MacDougal Street;72 MacDougal St
236;Chin Chin;216 East 49th Street;216 E 49th St
237;China 1 Restaurant & Lounge;50 Avenue B;50 Avenue B
238;China Evian;144 West 46 Street;144 W 46th St
239;China Grill New York;60 West 53rd Street;60 W 53rd St
240;China Moon;7 East 47 Street;7 E 47th St
241;China Place;3141 Broadway At W. 123rd St.;3141 Broadway At W. 123rd St.
242;China Regency;850 Seventh Avenue;850 7th Ave
243;Chinatown Brasserie;380 Lafayette Street;380 Lafayette St
244;Chinese Mirch;120 Lexington Avenue;120 Lexington Ave
245;Chipotle Mexican Grill;55 East 8th Street;55 E 8th St
246;Chipotle Mexican Grill;129 West 48th Street;129 W 48th St
247;Chop Suey;714 Seventh Avenue;714 7th Ave
248;Chubo Restaurant;6 Clinton Street;6 Clinton St
249;Chumley's;86 Bedford Street;86 Bedford St
250;Churrascaria Plataforma;316 West 49 Street;316 W 49th St
251;Ciaobella Ristorante Lounge;1640 2nd Avenue;1640 2nd Ave
252;Cibo;767 Second Avenue;767 2nd Ave
253;Cinco De Mayo;1711 2nd Avenue;1711 2nd Ave
254;Cinnabon;901 Avenue Of The Americas;901 6th Ave
255;Ciro Trattoria;813 8th Avenue;813 8th Ave
256;Cite;120 West 51st Street;120 W 51st St
257;Citrus Bar & Grill;320 Amsterdam Avenue;320 Amsterdam Ave
258;City Crab & Seafood Company;235 Park Avenue South;235 Park Ave S
259;City Hall;131 Duane Street;131 Duane St
260;City Lobster & Crab Company;121 West 49th Street;121 W 49th St
261;City Winery;155 Varick Street;155 Varick St
262;Claudio Pizzeria;598 10th Avenue;598 10th Ave
263;Coffee & Desserts (Show All);195 Grand Street;195 Grand St
264;Cold Stone Creamery;1651 Second Avenue;1651 2nd Ave
265;Colors;417 Lafayette Street;417 Lafayette St
266;Columbus Bakery;474 Columbus Avenue;474 Columbus Ave
267;Columbus Cafe;556 Columbus Avenue;556 Columbus Ave
268;Compass Restaurant New York;208 West 70th Street;208 W 70th St
269;Concord Garden Chinese & Thai Cuisine;990 Amsterdam Avenue;990 Amsterdam Ave
270;Conservatory;15 Central Park West;15 Central Park West
271;Cookshop;156 10th Avenue;156 10th Ave
272;Cooper's Tavern;481 Eighth Avenue;481 8th Ave
273;Core One Nine One;191 Orchard Street;191 Orchard St
274;Cornelia Street Cafe;29 Cornelia Street;29 Cornelia St
275;Cosi;54 Pine Street;54 Pine St
276;Cosi;2160 Broadway;2160 Broadway
277;Cosi;61 West 48th Street;61 W 48th St
278;Cosi;700 6th Avenue;700 6th Ave
279;Cosi;257 Park Avenue;257 Park Ave
280;Cost Legend (Average Price/Person):;"""Inexpensive"" = Generally < $15";"""Inexpensive"" = Generally < $15"
281;Counter;105 First Avenue;105 1st Avenue
282;Country;90 Madison Avenue;90 Madison Ave
283;Craft Restaurant;43 East 19th Street;43 E 19th St
284;Craftbar;900 Broadway;900 Broadway
285;Craftsteak;85 Tenth Avenue;US-NYC-8510
286;Crema Restaurante;111 West 17th Street;111 W 17th St
287;Crispo;240 West 14th Street;240 W 14th St
288;Croton Reservoir Tavern;108 West 40th Street;108 W 40th St
289;Cru Restaurant;24 5th Avenue;24 5th Ave
290;Cub Room;131 Sullivan Street;131 Sullivan St
291;Cuba;222 Thompson Street;222 Thompson St
292;Cuba Cafe;200 8th Avenue;200 8th Ave
293;D and S Pizza;691 10th Avenue;691 10th Ave
294;DB Bistro Moderne;55 West 44th Street;55 W 44th St
295;Da Marino;220 West 49th Street;220 W 49th St
296;Da Nico Ristorante;164 Mulberry Street;164 Mulberry St
297;Dalga Seafood Grill;401 East 62nd Street;401 E 62nd St
298;Daniel;60 East 65th Street;60 E 65th St
299;Danny's Grand Sea Palace;346 West 46th Street;346 W 46th St
300;Danube;30 Hudson Street;Goldman Sachs Tower
301;Davidburke & Donatella;133 East 61st Street;133 E 61st St
302;Decade;1117 1st Avenue;1117 1st Avenue
303;Del Frisco's of New York;1221 Avenue of the Americas;1221 6th Ave
304;Del Posto Ristorante;85 10th Avenue;US-NYC-8510
305;Delicatessen;54 Prince Street;54 Prince St
306;Delmonico's;56 Beaver Street;56 Beaver St
307;Destino;891 1st Avenue;891 1st Avenue
308;Dinosaur Bar B Que;646 West 131st Street;646 W 131st St
309;Dip Cafe;416 Third Avenue;416 3rd Ave
310;Dirt Candy;430 East 9th Street;430 E 9th St
311;District;130 West 46th Street;130 W 46th St
312;Divalicious Chocolate! Cafe;365 Broome Street;365 Broome St
313;Divertimento Bistro;432 East 13th Street;432 E 13th St
314;Domenico's;120 East 40th Street;120 E 40th St
315;Domino's Pizza;943 1st Avenue;943 1st Avenue
316;Domino's Pizza;799 East 13th Street;799 E 13th St
317;Donguri;309 East 83rd Street;309 E 83rd St
318;Dovetail;103 West 77th Street;103 W 77th St
319;Duke's;560 Third Avenue;560 3rd Ave
320;Dunkin Doughnuts;132 Nassau Street;132 Nassau St
321;Dunkin' Donuts;105 West 125th Street;105 W 125th St
322;Dunkin' Donuts;1391 Madison Avenue;1391 Madison Ave
323;Dunkin' Donuts;1630 Madison Avenue;1630 Madison Ave
324;Dunkin' Donuts;15 Penn Plaza;401 7th Ave
325;Dunkin' Donuts;1024 1st Avenue;1024 1st Avenue
326;Dylan Prime;62 Laight Street;62 Laight St
327;EN Japanese Brasserie;435 Hudson Street;435 Hudson St
328;Earl's Restaurant Bar;560 3rd Avenue;560 3rd Ave
329;Earth;116A 10th Avenue;116A 10th Ave
330;East Bay;491 1st Avenue;491 1st Avenue
331;East River Cafe;1111 First Avenue;1111 1st Avenue
332;Eighty One;45 West 81st Street;45 W 81st St
333;El Azteca;783 Ninth Avenue;783 9th Ave
334;El Parador;325 East 34th Street;325 E 34th St
335;El Puerto Seafood & Fish Market;511 West 125th Street;511 W 125th St
336;El Rio Grande;160 East 38th Street;160 E 38th St
337;El Tina #2;511 West 125th Street;511 W 125th St
338;Emack & Bolio's;81st Street and First Avenue;1st Avenue & E 81st St
339;Emperor Japanese Tapas Shabu;96 Bowery;96 Bowery
340;English Is Italian;622 3rd Avenue;622 3rd Ave
341;Epoque;401 West 50th Street;401 W 50th St
342;Erminia Ristorante;250 East 83rd Street;250 E 83rd St
343;Esca;402 West 43 Street;402 W 43rd St
344;Estiatorio Milos Restaurant;125 West 55th Street;125 W 55th St
345;Etats-Unis;242 East 81st Street;242 E 81st St
346;Etrusca Restaurant;125 West 53rd Street;125 W 53rd St
347;Euro Diner;738 8th Avenue;738 8th Ave
348;Euzkadi Restaurant;108 East Fourth Street;108 E 4th St
349;Expensive;1633 2nd Avenue;1633 2nd Ave
350;Expensive;1600 Broadway;1600 Broadway
351;Extra Virgin;259 West 4th Street;259 West 4th Street
352;Famiglia;686 8th Avenue;686 8th Ave
353;Fantino;112 Central Park South;112 Central Park S
354;Fast Food & Chains (Show All);221 7th Avenue;221 7th Ave
355;Fatty Crab;Manhattan · 643 Hudson Street;643 Hudson St
356;Felidia;243 East 58th Street;243 E 58th St
357;Ferrara's Cafe Italiano;195 Grand Street;195 Grand St
358;Film Center Cafe;635 Ninth Avenue;635 9th Ave
359;Financier Patisserie;35 Cedar Street;35 Cedar St
360;Fiorini;209 East 56th Street;209 E 56th St
361;Firebird Russian Restaurant;365 West 46th Street;365 W 46th St
362;Firenze Restaurant;1594 2nd Avenue;1594 2nd Ave
363;Five Napkin Burger;630 9th Avenue;630 9th Ave
364;Fives;700 Fifth Avenue;700 5th Ave
365;Fleur de Sel;5 East 20th Street;5 E 20th St
366;Flor de Sol Restaurant;361 Greenwich Street;361 Greenwich St
367;Floridita Restaurant;3219 Broadway;3219 Broadway
368;Foley's Fish House;714 Seventh Avenue;714 7th Ave
369;Frank's;410 West 12th Street;410 W 12th St
370;Frankie & Johnnie's Steakhouse;32 West 37th Street;32 W 37th St
371;Frederick's Madison;768 Madison Avenue;768 Madison Ave
372;Frere Jacques;13 East 37th Street;13 E 37th St
373;Fresco by Scotto;34 East 52nd Street;34 E 52nd St
374;Fresh Restaurant;105 Reade Street;105 Reade St
375;Fresh Tortillas;1739 2nd Avenue;1739 2nd Ave
376;Fulton;205 East 75th Street;205 E 75th St
377;Funky Nassau;127 East 7th Street;127 E 7th St
378;Gabriela's;688 Columbus Avenue;688 Columbus Ave
379;Gaby Restaurant;44 West 45th Street;44 W 45th St
380;Garage Restaurant and Cafe;99 Seventh Avenue South;99 7th Ave S
381;Garden Of Ono;18 Ninth Avenue;18 9th Ave
382;Gari;370 Columbus Avenue;370 Columbus Ave
383;Geisha Restaurant;33 East 61st Street;33 E 61st St
384;Genki Sushi;9 East 46 Street;9 E 46th St
385;Gente;153 East 45th Street;153 E 45th St
386;Geronimo;1600 3rd Avenue;1600 3rd Ave
387;Gizzi's Coffee;16 West 8th Street;16 W 8th St
388;Gobo Upper East Side;1426 3rd Avenue;1426 3rd Ave
389;Good Friend Restaurant;3210 Broadway;3210 Broadway
390;Gordon Ramsay;151 West 54th Street;151 W 54th St
391;Gotham Bar and Grill;12 East 12 Street;12 E 12th St
392;Gramercy 24;323 3rd Avenue;323 3rd Ave
393;Gramercy Tavern;42 East 20th Street;42 E 20th St
394;Grand Central Oyster Bar;89 East 42nd Street;89 E 42nd St
395;Grand Tier Restaurant;150 West 65th Street;150 W 65th St
396;Grays Papaya;539 8th Avenue;539 8th Ave
397;Grayz;13-15 West 54th Street;13 W 54th St
398;Great China Chinese Restaurant;1461 Amsterdam Avenue;1461 Amsterdam Ave
399;Grill 21;346 East 21st Street;346 E 21st St
400;Guantanamera;939 Eighth Avenue;939 8th Ave
401;Gusto Ristorante e Bar Americano;60 Greenwich Avenue;60 Greenwich Ave
402;Gyu-Kaku;34 Cooper Square;34 Cooper Sq
403;Gyu-Kaku;805 3rd Avenue;805 3rd Ave
404;HQ New York Bistro;90 Thompson Street;90 Thompson St
405;Hakata Grill;230 West 48th Street;230 W 48th St
406;Hale & Hearty Soups;Grand Central Terminal;89 E 42nd St
407;Happy Taco;1167 2nd Avenue;1167 2nd Ave
408;Harlem Tea Room;1793A Madison Avenue;1793A Madison Ave
409;Havana;27 West 38th Street;27 W 38th St
410;Havana Alma de Cuba;94 Christopher Street;94 Christopher St
411;Havana Central;151 West 46th Street;151 W 46th St
412;Havana Central;22 East 17th Street;22 E 17th St
413;Havana Central at The West End;2911 Broadway;2911 Broadway
414;Hawaiian Tropic Zone;729 Seventh Avenue;729 7th Ave
415;Heartland Brewery and Chophouse;127 W. 43rd St. at Times Square;127 W 43rd St
416;Hell's Kitchen;691 10th Avenue;691 10th Ave
417;Hill Country;30 West 26th Street;30 W 26th St
418;Houlihan's;2 Penn Plaza;2 Pennsylvania Plaza
419;Hudson River Cafe;697 West 133rd Street;697 W 133rd St
420;Hurapan Kitchen;29 7th Avenue South;29 7th Ave S
421;Hurley's;232 West 48th Street;232 W 48th St
422;Hurricane Island;1303 Third Avenue;1303 3rd Ave
423;I Trulli;122 East 27th Street;122 E 27th St
424;II Mulino;86 West 3 Street;86 W 3rd St
425;Ida Mae Kitchen -n- Lounge;111 West 38th Street;111 W 38th St
426;Iguana;240 West 54th Street;240 W 54th St
427;Il Bastardo;191 7th Avenue;191 7th Ave
428;Il Buco Restaurant;47 Bond Street;47 Bond St
429;Il Campanello Ristorante;136 West 31 Street;136 W 31st St
430;Il Cantinori;32 East 10th Street;32 E 10th St
431;Il Melograno;501 West 51st Street;501 W 51st St
432;Il Valentino;330 East 56th Street;330 E 56th St
433;Imperial Dragon;45 West 55th Street;45 W 55th St
434;In Vino Wine Bar and Restaurant;215 East Fourth Street;215 E 4th St
435;Inagiku;111 East 49 Street;111 E 49th St
436;Incredi Fusion;363 Third Avenue;363 3rd Ave
437;Indian Taj;181 Bleecker Street;181 Bleecker St
438;Indochine;430 Lafayette Street;430 Lafayette St
439;Inexpensive;3 East 37th Street;3 E 37th St
440;Inexpensive;738 8th Avenue;738 8th Ave
441;Insomnia Cookies;148 West 4th Street;148 West 4th Street
442;International (Show All);45 Tudor City Place;45 Tudor City Pl
443;International (Show All);537 9th Avenue;537 9th Ave
444;International (Show All);19 West 44th Street;19 W 44th St
445;International (Show All);2315 Broadway;2315 Broadway
446;International (Show All);45 East 20th Street;45 E 20th St
447;International (Show All);105 Hudson Street;105 Hudson St
448;International (Show All);430 Lafayette Street;430 Lafayette St
449;International (Show All);768 Madison Avenue;768 Madison Ave
450;Italian (Show All);191 7th Avenue;191 7th Ave
451;Italian (Show All);355 West 46 Street;355 W 46th St
452;Italian (Show All);85 10th Avenue;US-NYC-8510
453;Italian (Show All);45 Tudor City Place;45 Tudor City Pl
454;Italian (Show All);135 East 62nd Street;135 E 62nd St
455;Italian (Show All);501 West 51st Street;501 W 51st St
456;Italian (Show All);2315 Broadway;2315 Broadway
457;Jack's Luxury Oyster Bar;101 Second Avenue;101 2nd Ave
458;Jamba Juice;1026 Third Avenue;1026 3rd Ave
459;Jamba Juice;2341 Broadway;2341 Broadway
460;Jean Georges;1 Central Park West;1 Central Park West
461;Jewel Bako;239 East 5th Street;239 E 5th St
462;Jewel of India;15 West 44th Street;15 W 44th St
463;Jimmy Sung's;219 East 44th Street;219 E 44th St
464;JoJo;160 East 64th Street;160 E 64th St
465;Joe The Art of Coffee;141 Waverly Place;141 Waverly Pl
466;John's Pizzeria;260 West 44th Street;260 W 44th St
467;Jojo;160 East 64th Street;160 E 64th St
468;Josie's Restaurant;565 3rd Avenue;565 3rd Ave
469;Josie's West;300 Amsterdam Avenue;300 Amsterdam Ave
470;Jovia;135 East 62nd Street;135 E 62nd St
471;KFC;301 West 125th Street;301 W 125th St
472;KFC;One Penn Plaza;1 Pennsylvania Plaza
473;KFC;1402 Second Avenue;1402 2nd Ave
474;Kai;22 Madison Avenue;22 Madison Ave
475;Keens Steakhouse;72 West 36th Street;72 W 36th St
476;Kellari Taverna;19 West 44th Street;19 W 44th St
477;Kion;509 East 6th Street;509 E 6th St
478;Kobe Club;68 West 58th Street;68 W 58th St
479;Koi;40 West 40th Street;40 W 40th St
480;Kouzan;685 Amsterdam Avenue;685 Amsterdam Ave
481;Krispy Kreme;141 West 72nd Street;141 W 72nd St
