restaurant;address;neighborhood;addressGoogle
Ali Baba;212 E 34th St btwn Second and Third Aves;Midtown East;212 E 34th St
Alias;;Lower East Side;
Allen and Delancey;;Lower East Side;
Alloro;;Upper East Side;
Alma Grill;134 E 48th St at Lexington Ave;Midtown East;134 E 48th St at Lexington Ave
Alonso's Steakhouse;;Chelsea;
Alouette;;Upper West Side;
Alta;;Greenwich Village;
Alta Voce;;Park Slope;
Alto;;Midtown East;
Ama;48 MacDougal St btwn Houston and Prince...;SoHo;48 MacDougal St btwn Houston and Prince...
Amalia;204 W 55th St near Broadway;Midtown West;204 W 55th St
Amaranth;21 E 62nd St btwn Fifth and Madison Aves;Upper East Side;21 E 62nd St # 1
Ambassador Grill and Lounge;1 United Nations Plaza;Midtown East;1 United Nations Plaza
Amber;1406 Third Ave at 80th St;Upper East Side;1406 3rd Ave
Amma;;Midtown East;
Ammos;;Midtown East;
Ammos Estiatorio;52 Vanderbilt Ave btwn 44th and 45th Sts;Midtown East;52 Vanderbilt Ave btwn 44th and 45th Sts
Amsterdam Restaurant and Tapas Lounge;;Upper West Side;
Amy's Bread;75 Ninth Ave btwn 15th and 16th Sts;Midtown West;75 Ninth Ave btwn 15th and 16th Sts
Amy's Bread;75 Ninth Ave btwn 15th and 16th Sts;Chelsea;75 Ninth Ave btwn 15th and 16th Sts
Amy's Bread;75 Ninth Ave btwn 15th and 16th Sts;Greenwich Village;75 Ninth Ave btwn 15th and 16th Sts
An Choi;;Lower East Side;
Angelica Kitchen;;East Village;
Angelo's Coal Oven Pizza;117 W 57th St at Sixth Ave;Midtown West;117 W 57th St
Angelo's Coal Oven Pizza;117 W 57th St at Sixth Ave;Midtown East;117 W 57th St
Angelo's Pizzeria;1697 Broadway at 53rd St;Midtown West;Ed Sullivan Theater
Angus McIndoe;;Midtown West;
Annisa;;Greenwich Village;
Anthony's;426A Seventh Ave at 14th St;Park Slope;E 14th St
Anthos;;Midtown East;
Antica Venezia;;Greenwich Village;
Antique Garage;41 Mercer St btwn Broome and Grand Sts;SoHo;41 Mercer St
Antonucci;170 E 81 St btwn Lexington and 3rd Aves;Upper East Side;168 E 81st St
Apiary;;East Village;
Apizz;217 Elridge St btwn Stanton and...;Lower East Side;217 Eldridge St
Applewood;;Park Slope;
Apropos Cafe;186 5th Avenue at Sackett St;Park Slope;186 5th Avenue at Sackett St
Aquagrill;210 Spring St at 6th Ave;SoHo;210 Spring St
Aquavit;65 E 55th St btwn Park and Madison Aves;Midtown East;65 E 55th St
Aquavit Cafe;65 E 55th St btwn Park and Madison Aves;Midtown East;65 E 55th St
Arabelle;37 E. 64th St. at Madison Ave;Upper East Side;37 E 64th St
Archipelago (CLOSED);;SoHo;
Aretsky's Patroon;160 E 46th St btwn Lexington and 3rd...;Midtown East;160 E 46th St
Ariyoshi;806 Broadway btwn 11th and 12th Sts;East Village;806 Broadway btwn 11th and 12th Sts
Armani Ristorante;;Midtown West;
Aroma Kitchen and Winebar;36 E 4th St btwn Lafayette and Bowery;East Village;36 E 4th St btwn Lafayette and Bowery
Arte;21 E 9th St btwn Fifth Ave and...;Greenwich Village;21 E 9th St
Arte Cafe;106 W 73rd St btwn Columbus and...;Upper West Side;106 W 73rd St
Artichoke Basille's Pizza and Brewery;;East Village;
Artichoke Basille’s Pizza and Brewery;328 E 14th St btwn First and Second Aves;East Village;328 E 14th St
Artie's Delicatessen;2290 Broadway at 83rd St;Upper West Side;2290 Broadway
Arturo's Pizzeria;;Greenwich Village;
Asiate;;Midtown West;
Aspen Social Club;157 W 47th St btwn 6th and 7th Aves;Midtown West;157 W 47th St
Astor Court;;Midtown East;
Atlantic Grill;;Upper East Side;
Atlas Cafe;;East Village;
Atria;;Midtown West;
August;359 Bleecker St btwn Charles and W 10th...;Greenwich Village;359 Bleecker St
Aureole;;Upper East Side;
Aurora;510 Broome St btwn Thompson St and West...;SoHo;510 Broome St
Aurora Soho;510 Broome St btwn Thompson St and West...;SoHo;510 Broome St
Avenue A Sushi;103 Ave A btwn 6th and 7th Sts;East Village;New York
Avon Bistro;155 E 52 St btwn Lexington and 3rd Aves;Midtown East;155 East 52nd Street
Avon Bistro (CLOSED);;Midtown East;
Avra Estiatorio;;Midtown East;
Awash;338 E 6th St btwn First and Second Aves;Upper West Side;338 E 6th St btwn First and Second Aves
Awash;338 E 6th St btwn First and Second Aves;East Village;338 E 6th St btwn First and Second Aves
Ayza Cafe and Wine Bar;11 W 31st St btwn Fifth Ave and Broadway;Midtown East;11 W 31st St btwn Fifth Ave and Broadway
Azalea;224 W 51st St btwn Broadway and Eighth...;Midtown West;224 W 51st St
Azucar;939 Eighth Ave btwn 55th and 56th Sts;Midtown West;W 56th St
Azul Bistro;152 Stanton St at Suffolk St;Lower East Side;152 Stanton St
Azza;137 E 55th St btwn Lexington and 3rd...;Midtown East;136E E 55th St
B. Cafe;240 E 75th St btwn 2nd and 3rd Aves;Upper East Side;3rd Ave
B. Smith's;;Midtown West;
BB Sandwich Bar;;Greenwich Village;
BG;;Midtown West;
BLT Burger;;Greenwich Village;
BLT Market;;Midtown West;
BLT Steak;106 E 57th St btwn Park and Lexington...;Midtown East;106 E 57th St
Babbo;110 Waverly Place btwn MacDougal St and...;Greenwich Village;110 Waverly Pl
Babouche;92 Prince St at Mercer St;SoHo;92 Prince St
Babouche Park Slope;163 5th Ave at Lincoln Place;Park Slope;163 5th Ave
Bacaro;;Lower East Side;
Back Forty;;East Village;
Baldoria;;Midtown West;
Bali Nusa Indah;;Midtown West;
Balthazar;;SoHo;
Bamboo 52;;Midtown West;
Banc Cafe;431 Third Ave at 30th St;Midtown East;431 3rd Ave
Bandol Bistro;181 E 78th St btwn Lexington and Third...;Upper East Side;181 E 78th St
Banjara;97 1st Ave at 6th St;East Village;97 1st Avenue
Bann;350 W 50th St at Ninth Ave;Midtown West;350 W 50th St
Bao 111 (CLOSED);111 Ave C btwn 7th and 8th Sts;East Village;111 Ave C btwn 7th and 8th Sts
Bar 6;502 Sixth Ave btwn 12th and 13th Sts;Greenwich Village;502 Sixth Ave btwn 12th and 13th Sts
Bar Americain;152 W 52nd St btwn 6th and 7th Sts;Midtown West;152 W 52nd St btwn 6th and 7th Sts
Bar BQ;;Park Slope;
Bar Bao;;Upper West Side;
Bar Baresco;;Chelsea;
Bar Blanc;142 W 10th St btwn Greenwich Ave and...;Greenwich Village;142 W 10th St
Bar Boulud;1900 Broadway btwn 63rd and 64th Sts;Upper West Side;1900 Broadway btwn 63rd and 64th Sts
Bar Carrera;;East Village;
Bar Masa;;Midtown West;
Bar Pitti;;Greenwich Village;
Bar Q;;Greenwich Village;
Bar Q (CLOSED);;Greenwich Village;
Bar Room at the Modern;9 W 53rd St btwn Fifth and Sixth Aves;Midtown West;9 W 53rd St btwn Fifth and Sixth Aves
Bar Tano;457 Third Ave at 9th St;Park Slope;Third Ave.
Bar Toto;411 11th St at Sixth Ave;Park Slope;411 11th St
Bar Veloce;176 Seventh Ave btwn 20th and 21st Sts;Chelsea;176 Seventh Ave btwn 20th and 21st Sts
Baraonda;1439 Second Ave at 75th St;Upper East Side;1439 2nd Ave
Barbetta;321 W 46th St btwn 8th and 9th Aves;Midtown West;321 W 46th St
Barbuto;775 Washington St btwn Jane and 12th Sts;Greenwich Village;775 Washington St btwn Jane and 12th Sts
Barcibo Enoteca;;Upper West Side;
Barney Greengrass;;Upper West Side;
Barolo;;SoHo;
Barrio;;Park Slope;
Basta Pasta;;Chelsea;
Batch;150B W. 10th Street btwn Greenwich Ave...;Greenwich Village;150B W 10th St
Bay Leaf;;Midtown West;
Beacon;;Midtown West;
Becco;;Midtown West;
Beer Table;;Park Slope;
Beet;;Park Slope;
Belcourt;;East Village;
Bella Blu;;Upper East Side;
Bella Luna;;Upper West Side;
Bellavitae;;Greenwich Village;
Belleville;;Park Slope;
Bello Sguardo;;Upper West Side;
Ben Benson's Steakhouse;;Midtown West;
Ben and Jack's Steakhouse;;Midtown East;
Ben's Kosher Delicatessen;;Midtown West;
Benjamin Steakhouse;;Midtown East;
Benoit;;Midtown West;
Bereket;;Lower East Side;
Better Burger;561 Third Ave at 37th St;Midtown East;561 3rd Ave
Better Burger;561 Third Ave at 37th St;Chelsea;561 3rd Ave
Better Burger (CLOSED);;Upper East Side;
Bettola;412 Amsterdam Ave btwn 79th and 80th Sts;Upper West Side;412 Amsterdam Ave
Beyoglu;1431 Third Ave at 81st St;Upper East Side;1431 Third Ave at 81st St
Bianca;;East Village;
Bice;;Midtown East;
Big John;;Lower East Side;
Bin 71;;Upper West Side;
Birdbath;145 Seventh Ave So at Charles St;Greenwich Village;145 7th Ave S
Birdbath;145 Seventh Ave So at Charles St;East Village;145 7th Ave S
Biricchino;260 W 29th St at Eighth Ave;Chelsea;260 W 29th St
Bistecca Fiorentina;;Midtown West;
Bistro Cassis;;Upper West Side;
Bistro Citron;;Upper West Side;
Bistro Desaret;;Midtown East;
Bistro Le Steak;;Upper East Side;
Bistro Milano;1350 Avenue of the Americas at 55th St;Midtown West;1350 6th Ave
Bistro Ten 18;;Upper West Side;
Bistro du Nord;;Upper East Side;
Bistro les Amis;;SoHo;
Bistrouge;432 E 13th St btwn 1st and 2nd Aves;East Village;2nd Ave
Black Iron Burger Shop;540 E 5th St btwn Avenues A and B;East Village;540 E 5th St btwn Avenues A and B
Black Pearl (CLOSED);883 Union St btwn Seventh and Eighth...;Park Slope;883 Union St btwn Seventh and Eighth...
Bloomingdale Road;2398 Broadway at 88th St;Upper West Side;2398 Broadway
Bloomingdale Road (CLOSED);;Upper West Side;
Blossom Vegetarian Restaurant;187 Ninth Ave btwn 21st and 22nd Sts;Chelsea;187 Ninth Ave btwn 21st and 22nd Sts
Blue Fin;1567 Broadway at 47th St;Midtown West;1567 Broadway
Blue Hill;75 Washington Place btwn 6th Ave and...;Greenwich Village;75 Washington Pl
Blue Point;662 Ninth Ave at 46th St;Midtown West;662 9th Ave
Blue Ribbon Bakery;33 Downing St at Bedford St;Greenwich Village;33 Downing St
Blue Ribbon Bar;;Greenwich Village;
Blue Ribbon Brasserie;97 Sullivan St btwn Prince and Spring...;SoHo;97 Sullivan St
Blue Ribbon Park Slope;280 5th Ave btwn 1st St and Garfield Pl;Park Slope;280 5th Ave btwn 1st St and Garfield Pl
Blue Ribbon Sushi Bar and Grill;;Midtown West;
Blue Ribbon Sushi Manhattan;;SoHo;
Blue Ribbon Sushi Park Slope;;Park Slope;
Blue/Green (CLOSED);248 Mott St btwn Houston and Prince Sts;SoHo;248 Mott St btwn Houston and Prince Sts
Blue/Green (CLOSED);248 Mott St btwn Houston and Prince Sts;Upper East Side;248 Mott St btwn Houston and Prince Sts
Bluechili;251 W 51st St btwn Broadway and Eighth...;Midtown West;251 W 51st St
Bobby Van's Park Avenue;;Midtown East;
Bobby Van's Steakhouse;;Midtown East;
Bobo;181 W 10th St at 7th Ave So;Greenwich Village;181 W 10th St
Boca Chica;;East Village;
Bocca di Bacco;;Midtown West;
Boi;246 E 44th St btwn Second and Third Aves;Midtown East;246 E 44th St
Boka;;East Village;
Bombay Bistro;;Midtown East;
Bombay Frankie;994 Amsterdam Ave btwn 109th and 110th...;Upper West Side;994 Amsterdam Ave btwn 109th and 110th...
Bombay Palace;30 W 52nd St btwn Fifth and Sixth Aves;Midtown West;30 W 52nd St
Bombay Talkie;;Chelsea;
Bond 45;;Midtown West;
Bond St;6 Bond St btwn Broadway and Lafayette St;East Village;6 Bond St
Bondi Road;153 Rivington St btwn Suffolk and...;Lower East Side;153 Rivington St btwn Suffolk and...
Bone Lick Park;75 Greenwich Ave btwn Seventh Ave South...;Greenwich Village;75 Greenwich Ave
Bongo;299 Tenth Ave btwn 27th and 28th Sts;Chelsea;299 Tenth Ave btwn 27th and 28th Sts
Bonnie's Grill;;Park Slope;
Boom;152 Spring St btwn West Broadway and...;SoHo;152 Spring St btwn West Broadway and...
Bottega Del Vino;;Upper East Side;
Bottino;248 10th Ave btwn 24th and 25th Sts;Chelsea;248 10th Ave btwn 24th and 25th Sts
Boucarou;64 E 1st St btwn 1st and 2nd Aves;Lower East Side;49 Bleecker St
Bouchon Bakery;10 Columbus Circle btwn 58th and 60th...;Midtown West;10 Columbus Cir
Boutique Del Vino;;SoHo;
Braai;329 West 51st St btwn 8th and 9th Aves;Midtown West;329 W 51st St
Braeburn;117 Perry St btwn Greenwich and Hudson...;Greenwich Village;117 Perry St
Brasserie;100 E 53rd St btwn Lexington and Park...;Midtown East;100 E 53rd St
Brasserie 360;;Upper East Side;
Brasserie 52;772 Ninth Ave btwn 51st and 52nd Sts;Midtown West;772 Ninth Ave btwn 51st and 52nd Sts
Brasserie 8 1/2;;Midtown West;
Brasserie Athenee;;Midtown West;
Brasserie Cognac;1740 Broadway at 55th St;Midtown West;1740 Broadway
Brasserie Julien;;Upper East Side;
Brasserie Ruhlmann;45 Rockefeller Plaza btwn 5th and 6th...;Midtown West;45 Rockefeller Plaza
Bravo Gianni;230 E 63rd St btwn Second and Third Aves;Upper East Side;230 E 63rd St
Brawta Caribbean Outpost;447 Seventh Ave btwn 15th and 16th Sts;Park Slope;447 Seventh Ave btwn 15th and 16th Sts
Brazil Brazil;330 W 46th St btwn Eighth and Ninth Aves;Midtown West;252 W 46th St
Brazil Grill;787 8th Ave at 48th St;Midtown West;787 8th Ave
Bread and Olive;24 W 45th St btwn Fifth and Sixth Aves;Midtown West;24 W 45th St
Breeze;661 Ninth Ave btwn 45th and 46th Sts;Midtown West;661 Ninth Ave btwn 45th and 46th Sts
Brgr;287 7th Ave btwn 26th and 27th Sts;Chelsea;287 7th Ave btwn 26th and 27th Sts
Bricco;;Midtown West;
Brick Lane Too;;Midtown East;
Bricklane Curry House;;East Village;
Brio;;Upper East Side;
Broadway East;171 East Broadway btwn Jefferson and...;Lower East Side;171 E Broadway
Broadway Joe Steakhouse;;Midtown West;
Brooklyn Diner USA;212 W 57th St btwn Seventh Ave and...;Midtown West;212 W 57th St
Brooklyn Fish Camp;162 Fifth Ave btwn DeGraw and Douglass...;Park Slope;162 5th Ave
Brooklyn Flipster's;444 9th St;Park Slope;444 9th St
Brookvin;;Park Slope;
Brown Cafe;;Lower East Side;
Bruno Jamais Restaurant Club;24 E 81st St at Madison Ave;Upper East Side;24 E 81st St at Madison Ave
Bruno Ristorante;240 E 58th St btwn Second and Third Aves;Midtown East;240 E 58th St
Bryant Park Cafe and Grill;;Midtown West;
Buddakan;75 9th Ave at 16th St;Chelsea;75 9th Ave
Buenos Aires;;East Village;
Bull and Bear;;Midtown East;
Bun;;SoHo;
Burger Heaven;802 Lexington Ave at 62nd St;Upper East Side;802 Lexington Ave
Burger Heaven;802 Lexington Ave at 62nd St;Midtown East;802 Lexington Ave
Burger Joint;;Midtown West;
Burgers and Cupcakes;265 W 23 St btwn Seventh and Eighth Aves;Chelsea;265 W 23 St btwn Seventh and Eighth Aves
Burrito Bar and Kitchen;;Park Slope;
Bussaco;833 Union St btwn 6th and 7th Aves;Park Slope;833 Union St btwn 6th and 7th Aves
Butcher Bay;511 E 5th St btwn Avenues A and B;East Village;511 E 5th St btwn Avenues A and B
Butterfield 8;5 E 38th St btwn Fifth and Madison Aves;Midtown East;5 E 38th St btwn Fifth and Madison Aves
Buzina Pop;;Upper East Side;
Byblos;;Midtown East;
Cabana;1022 Third Ave btwn 60th and 61st Sts;Upper East Side;1022 Third Ave btwn 60th and 61st Sts
Cabrito;;Greenwich Village;
Cacio E Pepe;;East Village;
Cacio e Vino;;East Village;
Cafe Asean;;Greenwich Village;
Cafe Boulud;;Upper East Side;
Cafe Centro;;Midtown East;
Cafe Cluny;;Greenwich Village;
Cafe Condesa;;Greenwich Village;
Cafe Edison;228 W 47th St btwn Broadway and Eighth...;Midtown West;228 W 47th St
Cafe Evergreen;1288 First Ave at 69th St;Upper East Side;1288 First Ave at 69th St
Cafe Fiorello;1900 Broadway btwn 63rd and 64th Sts;Upper West Side;1900 Broadway btwn 63rd and 64th Sts
Cafe Frida;368 Columbus Ave btwn 77th and 78th Sts;Upper West Side;368 Columbus Ave
Cafe Joul;;Upper East Side;
Cafe Katja;;Lower East Side;
Cafe Loup;;Greenwich Village;
Cafe Luxembourg;200 W 70th St Amsterdam Ave;Upper West Side;200 W 70th St
Cafe Mogador;101 St Marks Pl btwn First Ave and Ave A;East Village;101 St Marks Pl btwn First Ave and Ave A
Cafe Pierre;;Midtown East;
Cafe Ronda;249 Columbus Ave btwn 71st and 72nd Sts;Upper West Side;249 Columbus Ave btwn 71st and 72nd Sts
Cafe SFA;;Midtown West;106 W 145th St
Cafe Sabarsky;;Upper East Side;106 W 145th St
Cafe Soleil;1016 Second Ave btwn 53rd and 54th Sts;Midtown East;54th St
Cafe Spice;;Greenwich Village;
Cafe Spice;;Midtown West;
Cafe Steinhof;422 Seventh Ave at 14th St;Park Slope;422 7th Ave
Cafe con Leche;424 Amsterdam Ave btwn 80th and 81st Sts;Upper West Side;E 81st St
Cafe d'Alsace;1695 2nd Ave at 88th St;Upper East Side;1695 2nd Ave
Cafe de Bruxelles;;Greenwich Village;
Cafe des Artistes;1 W 67th St at Central Park West;Upper West Side;1 W 67th St
Cafe@RMA;;Chelsea;
Cafecito;;East Village;
Cafetasia;;Greenwich Village;
Cafeteria;;Chelsea;
Caffe Emilia;;East Village;
Caffe Falai;265 Lafayette St at Prince St;SoHo;265 Lafayette St
Caffe Grazie;26 E. 84th St btwn Madison and 5th Aves;Upper East Side;26 E 84th St
Caffe Linda;;Midtown East;
Calle Ocho;;Upper West Side;
CamaJe Bistro;;Greenwich Village;
Cambodian Cuisine;;Upper East Side;
Campagnola;1382 First Ave btwn 73rd and 74th Sts;Upper East Side;E 74th St
Campo;;Upper West Side;
Canaletto;208 E 60th St btwn 2nd and 3rd Aves;Upper East Side;3rd Ave
Candle 79;;Upper East Side;
Candle Cafe;;Upper East Side;
Cannonau;205 E 4th St btwn Aves A and B;East Village;205 E 4th St btwn Aves A and B
Canyon Road;;Upper East Side;
Caracas Arepa Bar;;East Village;
Caravan of Dreams;;East Village;
Carbone;331 W 38th St btwn Eight and Ninth Aves;Midtown West;331 W 38th St
Carl's Steaks;507 Third Ave btwn 34th and 35th Sts;Midtown East;507 Third Ave btwn 34th and 35th Sts
Carmine's;200 W 44th St btwn Seventh Ave and...;Midtown West;200 W 44th St
Carmine's;200 W 44th St btwn Seventh Ave and...;Upper West Side;200 W 44th St
Carne (CLOSED);2737 Broadway at 105th St;Upper West Side;2737 Broadway
Carne Vale;;East Village;
Carnegie Deli;;Midtown West;
Casa;72 Bedford St at Commerce St;Greenwich Village;72 Bedford St
Casa Adela;;East Village;
Casa La Femme;;Greenwich Village;
Casa la Femme North;;Midtown East;
Casablanca Tea Room;164 Mercer St btwn Houston and Prince...;SoHo;164 Mercer St btwn Houston and Prince...
Casanis;;Lower East Side;
Cascina;647 Ninth Ave btwn 45th and 46th Sts;Midtown West;647 Ninth Ave btwn 45th and 46th Sts
Casellula Cheese and Wine Cafe;401 W 52nd St at Ninth Ave;Midtown West;401 W 52nd St
Casimir;103-105 Ave B btwn 6th and 7th Sts;East Village;103-105 Ave B btwn 6th and 7th Sts
Cavatappo Wine Bar;1728 Second Ave btwn 89th and 90th Sts;Upper East Side;1728 Second Ave btwn 89th and 90th Sts
Caviar Russe - Wave Sushi;;Midtown East;
Celeste;;Upper West Side;
Cellini;;Midtown East;
Cendrillon;;SoHo;
Center Cut;;Upper West Side;
Centolire;1167 Madison Ave btwn 85th and 86th Sts;Upper East Side;1000 5th Ave
Centovini;25 W Houston St at Greene St;SoHo;25 W Houston St
Central Park Boathouse Restaurant;Central Park Lake at 72nd St;Upper East Side;Central Park Lake at 72nd St
Centro Vinoteca;;Greenwich Village;
Chai Home Kitchen;;Midtown West;
Chat Noir;;Upper East Side;
Chez Jacqueline;72 MacDougal St btwn Bleecker and...;Greenwich Village;72 MacDougal St
Chez Josephine;;Midtown West;
Chez Napoleon;;Midtown West;
Chiam;160 E 48th St btwn Lexington and Third...;Midtown East;160 E 48th St btwn Lexington and Third...
Chickie Pig's;121 Ludlow St btwn Delancey and...;Lower East Side;121 Ludlow St
Chickpea;;East Village;
ChikaLicious Puddin';;East Village;
Chikalicious;;East Village;
Chimichurri Grill;606 Ninth Ave btwn 43rd and 44th Sts;Midtown West;606 Ninth Ave btwn 43rd and 44th Sts
Chin Chin;216 E 49th St btwn Second and Third Aves;Midtown East;216 E 49th St
China 1;;East Village;
China Fun;246 Columbus Ave btwn 71st and 72nd Sts;Upper West Side;246 Columbus Ave btwn 71st and 72nd Sts
China Fun;246 Columbus Ave btwn 71st and 72nd Sts;Upper East Side;246 Columbus Ave btwn 71st and 72nd Sts
China Grill;60 W 53rd St btwn 5th and 6th Aves;Midtown West;60 W 53rd St
China de Puebla (CLOSED);3143 Broadway at La Salle St;Upper West Side;3143 Broadway
Chinatown Brasserie;;East Village;
Chip Shop;;Park Slope;
Chiyono;;East Village;
Cho Cho San;;Greenwich Village;
Cho Dang Gol;55 W 35th St btwn 5th and 6th Aves;Midtown West;6th Ave
Choga;;Greenwich Village;
Chola;232 E 58th St btwn Second and Third Aves;Midtown East;232 E 58th St
Chop Suey;;Midtown West;
Chow Bar;230 W 4th St at 10th St;Greenwich Village;230 West 4th Street
Churrascaria Plataforma;316 W 49th St btwn Eighth and Ninth Aves;Midtown West;316 W 49th St
Ciaobella;;Upper East Side;
Cilantro;1712 2nd Ave at 89th St;Upper West Side;1712 2nd Ave
Cilantro;1712 2nd Ave at 89th St;Upper East Side;1712 2nd Ave
Cipolla Rossa;1762 1st Ave btwn 91st and 92nd Sts;Upper East Side;1762 1st Avenue
Cipriani Dolci;;Midtown East;
Circus;;Upper East Side;
Citrus Bar and Grill;;Upper West Side;
City Burger;1410 Broadway at 39th St;Midtown West;1410 Broadway
City Lobster and Crab Company;;Midtown West;
City Winery;;SoHo;
Clo Wine Bar;;Upper West Side;
Clubhouse Cafe;155 West 46th St btwn 6th and 7th Aves;Midtown West;155 West 46th St btwn 6th and 7th Aves
Co.;230 9th Ave btwn 24th and 25th Sts;Chelsea;230 9th Ave btwn 24th and 25th Sts
Coco Roco;392 Fifth Ave btwn 6th and 7th Sts;Park Slope;392 Fifth Ave btwn 6th and 7th Sts
Col Legno;231 E 9th St btwn Second and Third Aves;East Village;231 E 9th St btwn Second and Third Aves
Colors;;East Village;
Commerce;;Greenwich Village;
Compass;208 W 70th St at Amsterdam Ave;Upper West Side;208 W 70th St
Cong Ly;124 Hester St at Chrystie St;Lower East Side;124 Hester St
Congee Bowery;207 Bowery at Rivington St;Lower East Side;207 Bowery
Congee Restaurant;;Lower East Side;
Congee Village;100 Allen St btwn Broome and Delancey...;Lower East Side;100 Allen St
Convivio;;Midtown East;
Convivium Osteria;68 5th Ave btwn Bergen St and St Marks...;Park Slope;68 5th Ave
Cookshop;;Chelsea;
Cooper's Tavern;481 8th Ave at 35th Street;Midtown West;481 8th Ave
Coppola's;;Upper West Side;
Core One Nine One (CLOSED);;Lower East Side;
Cork and Fin;;Upper East Side;
Cornelia Street Cafe;29 Cornelia St btwn Bleecker and W 4th...;Greenwich Village;18-20 Cornelia St
Corner Bistro;;Greenwich Village;
Cosette;163 E 33rd St btwn Lexington and Third...;Midtown East;163 E 33rd St
Counter;105 First Ave btwn 6th and 7th Sts;East Village;105 First Ave btwn 6th and 7th Sts
Country Cafe;69 Thompson St btwn Broome and Spring...;SoHo;69 Thompson St
Cowgirl;519 Hudson St at 10th St;Greenwich Village;519 Hudson St
Craftsteak;85 10th Ave at 15th St;Chelsea;85 10th Ave
Crave Ceviche and Wine Bar (CLOSED);946 Second Ave btwn 50th and 51st Sts;Midtown East;W 51st St
Crave on 42nd Street;650 W 42nd St at 11th Ave;Midtown West;650 W 42nd St
Crema Restaurante;111 W 17th St btwn 6th and 7th Aves;Chelsea;111 W 17th St btwn 6th and 7th Aves
Crif Dogs;113 St Marks Pl btwn First Ave and Ave A;East Village;113 St Marks Pl
Crispo;240 W 14th St btwn 7th and 8th Aves;Greenwich Village;240 W 14th St
Cru;24 5th Ave at 9th St;Greenwich Village;24 5th Ave
Cub Room;131 Sullivan St at Prince St;SoHo;131 Sullivan St
Cub Room Cafe;;SoHo;
Cuba;;Greenwich Village;
Cuba Cafe;200 Eighth Ave btwn 20th and 21st Sts;Chelsea;200 Eighth Ave btwn 20th and 21st Sts
Cubana Cafe;;SoHo;
Cube 63;;Lower East Side;
Cucina di Pesce;87 E 4th St btwn Second and Third Aves;East Village;87 E 4th St btwn Second and Third Aves
Curry-Ya;214 East 10th St btwn 1st and 2nd Aves;East Village;214 East 10th St btwn 1st and 2nd Aves
DB Bistro Moderne;55 W 44th St btwn 5th and 6th Aves;Midtown West;55 W 44th St btwn 5th and 6th Aves
