0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_neighborhood;1_address;1_addressGoogle;1_country;1_country_code;1_type;1_cost;1_type_r
Loreley;Lower East Side;;7 Rivington St;;;;;;Loreley Restaurant & Biergaerten;Lower East Side;7 Rivington St.;7 Rivington St;New York;NY;;;German
Loreley;Lower East Side;;7 Rivington St;;;;;;Loreley Restaurant & Biergaerten;Lower East Side;7 Rivington St.;7 Rivington St;New York;NY;;;German
Mama Mexico;;214 E. 49th St.;214 E 49th St;New York;NY;;;;Mama Mexico -;;214 East 49th Street;214 E 49th St;New York;NY;;;
Marseille;Midtown West;630 Ninth Ave;630 9th Ave;New York;NY;French;$$$;;Marseille Restaurant;Midtown West;630 Ninth Avenue;630 9th Ave;New York;NY;;;French
Miss Maude's Spoonbread Too;Harlem;547 Lenox Ave;547 Lenox Ave;New York;NY;Southern;$;;Miss Maude’s Spoonbread Too;Harlem; 547 Malcolm X Blvd (Lenox Ave)-between 137th and 138th Sts;547 Malcolm X Blvd;New York;NY;American Regional;;
Molyvos;Midtown West;871 7th Avenue;871 7th Ave;New York;NY;Greek;$$$;;Molyvos Restaurant;Midtown West;871 7th Ave;871 7th Ave;New York;NY;;;Greek
Oceana;Midtown East;55 E 54th St;55 E 54th St;New York;NY;Seafood;$$$$;;Oceana Restaurant;Midtown East;55 E 54th St;55 E 54th St;New York;NY;;;Seafood
Onieal's Grand Street;SOHO;174 Grand St;174 Grand St;New York;NY;American;$$$;;Onieals Grand Street;nan;174 Grand Street;174 Grand St;New York;NY;;;nan
Onieal's Grand Street;SOHO;174 Grand St;174 Grand St;New York;NY;American;$$$;;Onieals Grand Street;nan;174 Grand Street;174 Grand St;New York;NY;;;nan
Pescatore;Midtown East;955-957 2nd Ave;955 2nd Ave;New York;NY;Indian;$$$;;Pescatore Restaurant;Midtown East;955 2nd Ave;955 2nd Ave;New York;NY;;;Italian
Petite Abeille;W. Village;;;;;;;;Petite Abelle;West Village;466 Hudson Street;466 Hudson St;New York;NY;;;Belgian
Petite Abeille;Greenwich Village;466 Hudson St btwn Barrow and Grove Sts;466 Hudson St;;;;;;Petite Abelle;West Village;466 Hudson Street;466 Hudson St;New York;NY;;;Belgian
Ping's Seafood;Chinatown;22 Mott St;22 Mott St;New York;NY;Chinese;$;;Ping's Seafood Restaurant;Chinatown;22 Mott St.;22 Mott St;New York;NY;;;nan
Pomme Frites;;123 2nd Ave;123 2nd Ave;New York;NY;Belgian;$;;Pommes Frites;;123 2nd Ave;123 2nd Ave;New York;NY;;;
Remi;Midtown West;145 W 53rd St;145 W 53rd St;New York;NY;Italian;$$$;;Remi Restaurant;Midtown West;145 W 53rd St;145 W 53rd St;New York;NY;;;Italian
Revival;Harlem;2367 Frederick Douglass Blvd;2367 Frederick Douglass Blvd;New York;NY;Caribbean;$$;;Revival Restaurant Bar Lounge;Harlem;2367 Frederick Douglass Blvd;2367 Frederick Douglass Blvd;New York;NY;;;American
Sal Anthony's S.P.Q.R.;Little Italy;133 Mulberry St;133 Mulberry St;New York;NY;Italian;$$;;Sal Anthony's SPQR;nan;133 Mulberry St-;133 Mulberry St;New York;NY;;;nan
Scalinatella;Upper East Side;201 East 61st Street;201 E 61st St;New York;NY;Italian;$$$$;;Scalinatella Restaurant;Upper East Side;201 E 61st St;201 E 61st St;New York;NY;;;Italian
Shun Lee Palace;Midtown East;155 E 55th Street;155 E 55th St;New York;NY;Chinese;$$$;;Shun Lee Palace East;Midtown East;155 E 55th St;155 E 55th St;New York;NY;;;Chinese
Shun Lee West;Upper West Side;43 W 65th St btwn Central Park West and...;43 W 65th St;;;;;;Shun Lee West Lincoln Ctr;Upper West Side;43 W 65th St;43 W 65th St;New York;NY;;;Chinese
Strip House;Greenwich Village;13 E 12th St;13 E 12th St;New York;NY;Steakhouse;$$$;;Strip House - New York;Greenwich Village;13 East 12th Street;13 E 12th St;New York;NY;;;Steakhouses
The Cupping Room Cafe;;359 West Broadway;359 W Broadway;New York;NY;;;;The Cupping Room Cafe, Inc.;Soho;359 W. Broadway;359 W Broadway;New York;NY;;;American
The Cupping Room Cafe;;359 West Broadway;359 W Broadway;New York;NY;;;;The Cupping Room Cafe, Inc.;Soho;359 W. Broadway;359 W Broadway;New York;NY;;;nan
Tse Yang;Midtown East;34 East 51st Street;34 E 51st St;New York;NY;Chinese;$$$;;Tse Yang Restaurant;Midtown East;34 E 51st St;34 E 51st St;New York;NY;;;Chinese
Vatan;Gramercy Park;409 Third Ave;409 3rd Ave;New York;NY;Indian;$$;;Vatan Indian Restaurant;Gramercy/Flatiron;409 3rd Ave;409 3rd Ave;New York;NY;;;Indian
Vespa Cibobouno;;1625 Second Ave;1625 2nd Ave;New York;NY;;;;Vespa Cibobuono;Upper East Side; 1625 Second Ave-between 84th and 85th Sts;1625 2nd Ave;New York;NY;;;Italian
Wollensky's Grill;Midtown East;205 East 49th Street;205 E 49th St;New York;NY;American;$$$;;Wollenskys Grill;Midtown East;201 E 49th St;201 E 49th St;New York;NY;;;Steakhouses
Yuca Bar;East Village;111 Ave A;111 Avenue A;New York;NY;Nuevo Latino;$;;Yuca Bar & Restaurant;East Village;111 Avenue A;111 Avenue A;New York;NY;;;Latin American
Angelo & Maxie's Steakhouse;Gramercy;;;;;;;;Angelo & Maxies Steakhouse;Gramercy/Flatiron;233 Park Avenue South;233 Park Ave S;New York;NY;;;Steakhouses
Barbetta;Midtown West;321 W 46th Street;321 W 46th St;New York;NY;;$$$;Italian;Barbetta Restaurant;Midtown West;321 West 46th Street;321 W 46th St;New York;NY;;;Italian
Ben Benson's Steak House;Midtown West;219 E 44th St;219 E 44th St;New York;NY;;$$$$;Steakhouse;Ben Benson's Steakhouse;Midtown West;123 West 52nd Street;123 W 52nd St;New York;NY;;;Steakhouses
Biricchino;Chelsea;260 W 29th St at Eighth Ave;260 W 29th St;;;;;;Biricchino Northern Italian Restaurant;Chelsea;260 West 29th Street;260 W 29th St;New York;NY;;;Italian
Carnegie John's;Midtown West;;;;;;;;Carnegie John’s;Midtown West; W 56th St-at Seventh Ave;W 56th St;New York;NY;Eclectic;;
Dylan's Candy Bar;Upper East Side;;;;;;;;Dylan’s Candy Bar;Upper East Side; 1011 Third Ave-at 60th St;1011 3rd Ave;New York;NY;Food or Beverage Shop;;
Hiroko's Place;Soho;;;;;;;;Hiroko’s Place;Soho;75 Thompson St.;75 Thompson St;New York;NY;;;nan
La Petite Auberge;Gramercy;;;;;;;;La Petite Auberge Inc;Gramercy/Flatiron;116 Lexington Ave;116 Lexington Ave;New York;NY;;;French
Le Bateau Ivre;Midtown East;;;;;;;;Le Bateau Ivre Inc;Midtown East;230 East 51ST Street;230 E 51st St;New York;NY;;;French
M. Rohrs' House of Fine Teas & Coffees;Upper East Side;;;;;;;;M. Rohrs’ House of Fine Teas and Coffees;Upper East Side; 310 E 86th St-between First and Second Aves;310 East 86th St;New York;NY;Cafés & diners;;
Nick & Toni's Café;Upper West Side;;;;;;;;Nick & Tonis Cafe;Upper West Side;100 W 67th St;100 W 67th St;New York;NY;;;Mediterranean
Noodle Bar;Lower East Side;172 Orchard St at Stanton St;172 Orchard St;;;;;;Noodle Bar Lower East Side;Lower East Side; 172 Orchard St-at Stanton St;172 Orchard St;New York;NY;Asian: Pan-Asian;;
Skylight Diner;Midtown West;;;;;;;;Skylight Diner Inc;Midtown West;402 W 34th St;402 W 34th St;New York;NY;;;Cafés & diners
Soul Fixins;Midtown West;;371 W 34th St;;;;;;Soul Fixins';Midtown West;371 W 34th St-At 9th Ave;371 W 34th St;New York;NY;;;American Regional
SouthWest NY;Financial District;;;;;;;;SouthWestNY;Financial District; 2 World Ficial Center-between Liberty and Vesey Sts;Two World Trade Center;New York;NY;American Regional;;
Southern Hospitality;Upper East Side;;;;;;;;Southern Hospitality BBQ;Upper East Side;1460 Second Avenue;1460 2nd Ave;New York;NY;;;Barbeque
Chennai Garden;Gramercy;129 E 27 St;129 E 27th St;New York;NY;;$;Indian;Chennai Garden Inc;Gramercy/Flatiron;129 East 27;129 E 27th St;New York;NY;;;Indian
Country Cafe;SoHo;;69 Thompson St;;;;;;Country Café;Soho; 69 Thompson St-between Broome and Spring Sts;69 Thompson St;New York;NY;French;;
Fitzer's;Midtown East;;;;;;;;Fitzer’s;Midtown East;Fitzpatrick Manhattan Hotel -687 Lexington Avebetween 56th and 57th Sts;;New York;NY;British & Irish;;
Forlini's Restaurant;Chinatown;;;;;;;;Forlini’s Restaurant;Chinatown;93 Baxter St.;93 Baxter St;New York;NY;;;nan
George O'Neill's;Midtown East;;;;;;;;George O’Neill’s;Midtown East; 145 E 50th St-between Lexington and Third Aves;145 E 50th St;New York;NY;Steakhouses;;
Lombardi's;Nolita;32 Spring St;32 Spring St;New York;NY;;$;Pizza;Lombardis;Chinatown/Little Italy;32 Spring St;32 Spring St;New York;NY;;;Italian: Pizza
Otto Enoteca Pizzeria;Greenwich Village;1 Fifth Ave;1 5th Ave;New York;NY;;$$$$;Italian;Otto Enoteca and Pizzeria;Greenwich Village;1 5th Ave-At 8th St;1 5th Ave;New York;NY;;;Italian: Pizza
Brasserie Athenee;Midtown West;9 W 57th St;East River Realty Company;New York;NY;;$$$$;French;Brasserie AthenÃ©e;Midtown West;300 W 46th St-At 8th Ave;300 W 46th St;New York;NY;;;French
Brasserie Athenee;Midtown West;;nan;;;;;;Brasserie AthenÃ©e;Midtown West;300 W 46th St-At 8th Ave;300 W 46th St;New York;NY;;;French
Brasserie Athenee;Midtown West;;nan;;;;;;Brasserie AthenÃ©e;Midtown West;300 W 46th St-At 8th Ave;300 W 46th St;New York;NY;;;French
Butai;Gramercy;115 E 18th St;115 E 18th St;New York;NY;;$$$;Japanese;Butai Restaurant;Gramercy/Flatiron;115 East 18;115 E 18th St;New York;NY;;;Japanese
La Fonda Del Sol;Midtown East;;;;;;;;La Fonda del Sol;Midtown East; 200 Park Ave-at 44th St and Vanderbilt Ave;MetLife Building;New York;NY;Spanish;;
Sapphire;Upper W. Side;1845 Broadway;1845 Broadway;New York;NY;;$$$;Indian;Sapphire Indian;Upper West Side;1845 Broadway;1845 Broadway;New York;NY;;;Indian
Tarallucci E Vino;Gramercy / Flatiron;;;;;;;;Tarallucci e Vino;Gramercy/Flatiron; 15 E 18th St-between Fifth Ave and Broadway;15 E 18th St;New York;NY;Cafés;;
Banc Cafe;Midtown East;431 Third Ave at 30th St;431 3rd Ave;;;;;;Banc Café;Midtown East; 431 Third Ave-at 30th St;431 3rd Ave;New York;NY;French;;
Blue Point;Midtown West;662 Ninth Ave at 46th St;662 9th Ave;;;;;;Blue Point Seafood;Midtown West;662 9th Ave-At 46th St;662 9th Ave;New York;NY;;;French
Braeburn;Greenwich Village;117 Perry St btwn Greenwich and Hudson...;117 Perry St;;;;;;Braeburn Restaurant;Greenwich Village;117 Perry Street;117 Perry St;New York;NY;;;American
Carbone;Midtown West;331 W 38th St btwn Eight and Ninth Aves;331 W 38th St;;;;;;Carbone Ristorante Italiano;Midtown West;331 W 38th St-Btwn 8th & 9th Ave;331 W 38th St;New York;NY;;;Italian
Casablanca Tea Room;SoHo;164 Mercer St btwn Houston and Prince...;164 Mercer St btwn Houston and Prince...;;;;;;CasablancaTea Room;Soho;164 Mercer;164 Mercer St;New York;NY;;;Moroccan
Da Andrea;W. Village;557 Hudson St;557 Hudson St;New York;NY;;$$;Italian;Da Andrea (CLOSED);West Village; 557 Hudson St-between Perry and W 11th Sts;557 Hudson St;New York;NY;Italian;;
El Parador Cafe;Midtown East;;;;;;;;El Parador Cafe Inc;Midtown East;325 E 34th St;325 E 34th St;New York;NY;;;Mexican
Friedman's Lunch;Chelsea;;;;;;;;Friedmans Lunch;Chelsea;75 9th Ave-;75 9th Ave;New York;NY;;;American
Gazala Place;Midtown West;709 Ninth Ave at 49th St;709 9th Ave;;;;;;Gazala's Place;Midtown West;709 9th Ave-Btwn 48th & 49th St;709 9th Ave;New York;NY;;;Middle Eastern
Indian Bread Co;Greenwich Village;194 Bleecker St btwn Sixth Ave and...;194 Bleecker St;;;;;;Indian Bread Co.;Greenwich Village; 194 Bleecker St-between Sixth Ave and MacDougal St;194 Bleecker St;New York;NY;Indian;;
Philip Marie;W. Village;569 Hudson St;569 Hudson St;New York;NY;;$$$;American;Philip Marie Restaurant;West Village;569 Hudson St;569 Hudson St;New York;NY;;;American
Red Bamboo;Greenwich Village;140 W 4th St btwn MacDougal St and...;140 West 4th Street;;;;;;Red Bamboo Vegetarian Soul Café;Greenwich Village;140 West 4th Street;140 West 4th Street;New York;NY;;;Vegetarian & Organic
Sant Ambroeus;Upper East Side;73 W 71st St;73 W 71st St;New York;NY;;$$;Southwestern;Sant Ambroeus Ltd;Upper East Side;1000 Madison Ave;1000 Madison Ave;New York;NY;;;Italian
Sant Ambroeus;Upper East Side;;nan;;;;;;Sant Ambroeus Ltd;Upper East Side;1000 Madison Ave;1000 Madison Ave;New York;NY;;;Italian
Sant Ambroeus;Upper East Side;;nan;;;;;;Sant Ambroeus Ltd;Upper East Side;1000 Madison Ave;1000 Madison Ave;New York;NY;;;Italian
Schnipper's Quality Kitchen;Midtown West;;;;;;;;Schnipper’s Quality Kitchen;Midtown West;The New York Times Building -620 Eighth Aveat 41st St;;New York;NY;American;;
Spring Street Natural;SoHo;62 Spring St at Lafayette St;62 Spring St;;;;;;Spring Street Natural Restaurant;Soho;62 Spring St.;62 Spring St;New York;NY;;;Vegetarian & Organic
Wogie's Bar and Grill;Greenwich Village;39 Greenwich Ave at Charles St;39 Greenwich Ave;;;;;;Wogies Bar & Grill;West Village;39 Greenwich Ave-At Charles St;39 Greenwich Ave;New York;NY;;;American
Wogie's Bar and Grill;Greenwich Village;39 Greenwich Ave at Charles St;39 Greenwich Ave;;;;;;Wogies Bar & Grill;nan;39 Greenwich Ave-At Charles St;39 Greenwich Ave;New York;NY;;;nan
Alias;Lower E. Side;76 Clinton St;76 Clinton St;New York;NY;;$$$;American;Alias Restaurant;Lower East Side;76 Clinton Street;76 Clinton St;New York;NY;;;American Creative
Arte Cafe;Upper W. Side;106 W 73rd St;106 W 73rd St;New York;NY;;$$;Italian;Arte Café;nan;106 West 73rd Street;106 W 73rd St;New York;NY;;;nan
Candle Cafe;Upper E. Side;;nan;;;;;;Candle Café;Upper East Side; 1307 Third Ave-between 74th and 75th Sts;1307 3rd Ave;New York;NY;Vegetarian & Organic;;
Candle Cafe;Upper E. Side;1307 Third Avenue;1307 3rd Ave;New York;NY;;$;Vegetarian;Candle Café;Upper East Side; 1307 Third Ave-between 74th and 75th Sts;1307 3rd Ave;New York;NY;Vegetarian & Organic;;
Candle Cafe;Upper E. Side;154 E 79 St;154 E 79th St;New York;NY;;$$;Vegetarian;Candle Café;Upper East Side; 1307 Third Ave-between 74th and 75th Sts;1307 3rd Ave;New York;NY;Vegetarian & Organic;;
Candle Cafe;Upper East Side;154 E 79 St;1307 3rd Ave;New York;NY;;$$;Vegetarian;Candle Café;Upper East Side; 1307 Third Ave-between 74th and 75th Sts;1307 3rd Ave;New York;NY;Vegetarian & Organic;;
Dok Suni;E. Village;;nan;;;;;;Dok Suni's;East Village;119 First Ave.;119 1st Avenue;New York;NY;;;nan
Dok Suni;E. Village;;nan;;;;;;Dok Suni's;East Village;119 First Ave.;119 1st Avenue;New York;NY;;;nan
Dok Suni;E. Village;119 First Ave;119 1st Avenue;New York;NY;;$$;Korean;Dok Suni's;East Village;119 First Ave.;119 1st Avenue;New York;NY;;;nan
Dok Suni;E. Village;119 First Ave;119 1st Avenue;New York;NY;;$$;Korean;Dok Suni's;East Village;119 First Ave.;119 1st Avenue;New York;NY;;;nan
Dok Suni's;East Village;119 First Ave;119 1st Avenue;New York;NY;;$$;Korean;Dok Sunis Restaurant;East Village;119 1st Ave;119 1st Avenue;New York;NY;;;Korean
Good Enough To Eat;Upper W. Side;483 West Amsterdam Avenue;483 Amsterdam Ave;New York;NY;;$;American;Good Enough to Eat;Upper West Side; 483 Amsterdam Ave-between 83rd and 84th Sts;483 Amsterdam Ave;New York;NY;American;;
Heidelberg;Upper E. Side;1648 2nd Ave;1648 2nd Ave;New York;NY;;$$;German;Heidelberg Restaurant;Upper East Side;1648 2nd Ave;1648 2nd Ave;New York;NY;;;German
La Paella;E. Village;214 E Ninth St;214 E 9th St;New York;NY;;$$;Spanish;La Paella East;East Village;214 E 9th St;214 E 9th St;New York;NY;;;Spanish
Momofuku Noodle Bar;E. Village;207 2nd Ave;207 2nd Ave;New York;NY;;$$$;Asian;Momofuku Ssam Bar;East Village;207 2nd Ave-At 13th St;207 2nd Ave;New York;NY;;;Korean
Momofuku Bakery and Milk Bar;East Village;163 First Ave;163 1st Avenue;New York;NY;;$$$$;Chinese;Momofuku Ko;East Village; 163 First Ave-at 10th St;163 1st Avenue;New York;NY;Japanese;;
Tabla;Gramercy / Flatiron;11 Madison Ave;11 Madison Ave;New York;NY;;$$$$;Indian;Tabla Bread Bar;Gramercy/Flatiron; 11 Madison Ave-at 25th St;11 Madison Ave;New York;NY;;;Indian
Al Bustan;Midtown East;827 Third Ave;827 3rd Ave;New York;NY;;$$$;Middle Eastern;Al Bustan Restaurant;Midtown East;827 3rd Avenue;827 3rd Ave;New York;NY;;;Middle Eastern
Brasserie 8 1/2;Midtown East;9 W 57th St;East River Realty Company;New York;NY;;$$$$;French;Brasserie 8½;Midtown West;9 West 57th Street;East River Realty Company;New York;NY;;;French
Citrus;Upper West Side;320 Amsterdam Ave;320 Amsterdam Ave;New York;NY;;$$;Asian;Citrus Bar & Grill;Upper West Side; 320 Amsterdam Ave-at 75th St;320 Amsterdam Ave;New York;NY;Eclectic;;
New Bo Ky Restaurant;Chinatown;80 Bayard St;80 Bayard St;New York;NY;;$;Asian;New Bo-Ky;Chinatown/Little Italy;80 Bayard Street;80 Bayard St;New York;NY;;;Chinese
Pasha - NYC;Upper West Side;70 W 71st St;70 W 71st St;New York;NY;;$$$;Middle Eastern;Pasha Restaurant;Upper West Side;70 W 71st St;70 W 71st St;New York;NY;;;Turkish
Perry St.;W. Village;176 Perry St;176 Perry St;New York;NY;;$$$$;French;Perry Street;West Village;176 Perry Street;176 Perry St;New York;NY;;;American
Sparks;Midtown East;210 E 46th Street;210 E 46th St;New York;NY;;$$$;Steakhouse;Sparks Steak House;Midtown East;210 E 46th St;210 E 46th St;New York;NY;;;Steakhouses
Takahachi;Tribeca;145 Duane St;145 Duane St;New York;NY;;$$;Japanese;Takahachi Tribeca Restaurant;Tribeca;145 Duane Street;145 Duane St;New York;NY;;;Japanese
The Pizzeria;West Village;310 W Fourth St;310 West 4th Street;New York;NY;;$$$;American;The Place;West Village; 310 W 4th St-between Bank and W 12th Sts;310 West 4th Street;New York;NY;Mediterranean;;
Trio;Midtown East;49 West 44th Street;167 E 33rd St;New York;NY;;$$$$;French;Trio Restaurant & Bar;Midtown East;167 E 33rd Street;167 E 33rd St;New York;NY;;;Mediterranean
Veselka;East Village;144 2nd Ave;144 2nd Ave;New York;NY;;$;American;Veselka Restaurant;East Village;144 2nd Ave;144 2nd Ave;New York;NY;;;Eastern European
Veselka;E. Village;144 2nd Ave;144 2nd Ave;New York;NY;;$;American;Veselka Restaurant;East Village;144 2nd Ave;144 2nd Ave;New York;NY;;;Eastern European
Zarela;Midtown East;953 Second Ave;953 2nd Ave;New York;NY;;$$$;Mexican;Zarela Restaurant;Midtown East;953 2nd Avenue;953 2nd Ave;New York;NY;;;Mexican
Arturo's Pizzeria;Greenwich Village;106 W Houston St;106 W Houston St;New York;NY;;$;Italian;Arturos Restaurant;Greenwich Village;106 West Houston Street;106 W Houston St;New York;NY;;;Italian: Pizza
Avra;Midtown East;141 E 48th St;141 E 48th St;New York;NY;;$$$$;Greek;Avra Estiatorio;Midtown East;141 East 48th Street;141 E 48th St;New York;NY;;;Greek
China Grill - New York;Midtown West;60 W 53rd St;60 W 53rd St;New York;NY;;$$$$;Asian;China Grill New York;Midtown West;60 West 53rd Street;60 W 53rd St;New York;NY;;;Asian: Pan-Asian
Crema;Chelsea;111 West 17th Street;111 W 17th St;New York;NY;;$$$;Mexican;Crema Restaurante;Chelsea;111 West 17th Street;111 W 17th St;New York;NY;;;Mexican
Frankie & Johnnie's;Midtown West;32 W 37th St;32 W 37th St;New York;NY;;$$$;Steakhouse;Frankie & Johnnie's Steakhouse;Midtown West;32 West 37th Street;32 W 37th St;New York;NY;;;Steakhouses
La Bonne Soup;Midtown West;;nan;;;;;;La Bonne Soupe;Midtown West; 48 W 55th St-between Fifth and Sixth Aves;48 W 55th St;New York;NY;French;;
Le Beaujolais;Midtown West;155 W 51st St;155 W 51st St;New York;NY;;$$$$$;Seafood;Le Bernardin;Midtown West; 155 W 51st St-between Sixth and Seventh Aves;155 W 51st St;New York;NY;French;;
Mediterranean;Upper E. Side;1260 Second Ave;1260 2nd Ave;New York;NY;;$$;Italian;Mediterraneo;nan;1260 2nd Ave-At 66th St;1260 2nd Ave;New York;NY;;;nan
Sevilla Restaurant & Bar;W. Village;62 Charles St& West 4th St;62 Charles St;New York;NY;;$$;Spanish;Sevilla Restaurant Bar;nan;62 Charles Street;62 Charles St;New York;NY;;;nan
Sushi Yasu;Midtown West;204 E 43rd St;204 E 43rd St;New York;NY;;$$$$$;Japanese;Sushi Yasuda;Midtown East; 204 E 43rd St-between Second and Third Aves;204 E 43rd St;New York;NY;Japanese;;
Table d'Hote;Upper E. Side;;nan;;;;;;Table d'Hôte;Upper East Side;44 East 92nd Street;44 E 92nd St;New York;NY;;;French
