Name;Neighborhood;Address;Country;Country code;Type;Cost;Phone
Sachiko's On 25 Clinton;Lower East Side;25 Clinton St;New York;NY;Japanese;$$$;(212-253-2900)
Sammy's Roumanian Steak House;Lower East Side;157 Chrystie St;New York;NY;European \ Eastern European;$$$;(212-673-0330)
Sparks Steak House;Midtown East;210 E 46th Street;New York;NY;Steakhouse;$$$;
Tello's Ristorante;Chelsea;263 W 19th St;New York;NY;Italian;$$;
The Four Seasons Restaurant;Midtown East;99 E 52nd St;New York;NY;Continental \ American Creative;$$$$;(212-754-9494)
Vespa Cibobouno;Upper East Side;1625 Second Ave;New York;NY;Italian;;(212-472-2050)
Wollensky's Grill;Midtown East;205 East 49th Street;New York;NY;American \ Steakhouses;$$$;(212-753-0444)
Yuca Bar & Restaurant;East Village;111 Ave A;New York;NY;Nuevo Latino;$;
10 Downing Food and Wine;West Village;;New York;NY;American Creative;;(212-255-0300)
Carnegie John's;Midtown West;;New York;NY;Eclectic;;
Dylan's Candy Bar;Upper East Side;;New York;NY;Food or Beverage Shop;;(646-735-0078)
Elvie's Turo-Turo;East Village;;New York;NY;Asian: Filipino;;(212-473-7785)
Fresco on the Go;Midtown East;;New York;NY;Italian;;(212-754-2700)
Gabriela’s Restaurante and Tequila Bar;Upper West Side;;New York;NY;Mexican;;(212-961-9600)
Hiroko's Place;Soho;;New York;NY;;;
Le Veau d'Or;Upper East Side;;New York;NY;French;;(212-838-8133)
Lucky Cheng's;East Village;;New York;NY;Asian: Pan-Asian;;(212-473-0516)
M. Rohrs’ House of Fine Teas and Coffees;Upper East Side;;New York;NY;Cafés & diners;;(212-772-2513)
Noodle Bar Lower East Side;Lower East Side;172 Orchard St at Stanton St;New York;NY;Asian: Pan-Asian;;(212-228-9833)
Soul Fixins';Midtown West;371 W 34th St-At 9th Ave;New York;NY;American Regional;;(212-736-1345)
SouthWest NY;Financial District;;New York;NY;American Regional;;(212-945-0528)
Trattoria dell'Arte;Midtown West;;New York;NY;Italian;;(212-245-9800)
Vince & Eddie's;Upper West Side;;New York;NY;American;;(212-721-0068)
Wondee Siam III;Midtown West;;New York;NY;Thai;;(212-245-4601)
Yaffa Cafe;East Village;;New York;NY;American;;(212-674-9302)
Chat 'n' Chew;Union Square;10 E 16th St;New York;NY;American;$;
Country Cafe;SoHo;69 Thompson St btwn Broome and Spring...;New York;NY;French;;(212-966-5417)
Fitzer's;Midtown East;;New York;NY;British & Irish;;(212-355-0100)
Forlini's Restaurant;Chinatown;;New York;NY;;;
George O'Neill's;Midtown East;;New York;NY;Steakhouses;;(212-888-1220)
SobaKoh;East Village;;New York;NY;Japanese;;(212-254-2244)
Brasserie AthenÃ©e;Midtown West;;New York;NY;French;;(212-399-1100)
La Fonda Del Sol;Midtown East;;New York;NY;Spanish;;(212-867-6767)
Tarallucci E Vino;Gramercy / Flatiron;;New York;NY;Cafés;;(212-228-5400)
Ayza Cafe and Wine Bar;Midtown East;11 W 31st St btwn Fifth Ave and Broadway;New York;NY;Eclectic;;(212-714-2992)
Banc Cafe;Midtown East;431 Third Ave at 30th St;New York;NY;French;;(212-252-0146)
Fairway Cafe and Steakhouse;Upper West Side;;New York;NY;American;;(212-595-1888)
Gazala's Place;Midtown West;709 Ninth Ave at 49th St;New York;NY;Middle Eastern;;(212-245-0709)
Gyu-kaku;Midtown East;;New York;NY;Japanese;;(212-702-8816)
Indian Bread Co.;Greenwich Village;194 Bleecker St btwn Sixth Ave and...;New York;NY;Indian;;(212-228-1909)
Schnipper's Quality Kitchen;Midtown West;;New York;NY;American;;(212-921-2400)
La Bonne Soupe;Midtown West;;New York;NY;French;;(212-586-7650)
dell'anima;West Village;;New York;NY;Italian;;(212-366-6633)
Gordon Ramsay at The London;Midtown West;151 W 54th St-Btwn 6th & 7th Ave;New York;NY;;;
Lugo Caffe;Midtown West;;New York;NY;Italian;;(212-760-2700)
Mas (Farmhouse);Greenwich Village;39 Downing St;New York;NY;American;$$$$;
Rhong Tiam;Greenwich Village;541 La Guardia Pl-between Bleecker and W 3rd Sts;New York;NY;Thai;;(212-477-0600)
Waldy's Wood Fired Pizza and Penne;Chelsea;800 6th Ave.;New York;NY;;;
Le Boeuf a la Mode;Upper East Side;539 E 81st St;New York;NY;French;$$$;
'Cesca;Upper West Side;164 W 75th St;New York;NY;Italian;$$$;
'Ino;Greenwich Village;21 Bedford St;New York;NY;Italian;$;
'Inoteca;Lower East Side;98 Rivington St;New York;NY;Italian;$$;
2 West;Financial District;;New York;NY;American \ Steakhouses;$$$;(917-790-2525)
21 Club;Midtown West;21 W 52nd St;New York;NY;American;$$$;
26 Seats;East Village;168 Ave B;New York;NY;French;$$;(212-677-4787)
44;Midtown West;44 W 44th Street;New York;NY;American;$$$;
5 Napkin Burger;Hell's Kitchen;630 Ninth Ave;New York;NY;American;$$;(212-757-2277)
5 Ninth;Meatpacking District;5 Ninth Ave;New York;NY;International \ Eclectic;$$$;(212-929-9460)
71 Irving Place;Gramercy Park;71 Irving Pl;New York;NY;American;$;
A;Harlem;947 Columbus Ave;New York;NY;Caribbean;$;
A Voce;Gramercy / Flatiron;;New York;NY;Italian;;(212-545-8555)
A.O.C.;West Village;314 Bleecker St;New York;NY;French;$$;(212-675-9463)
A.O.C. Bedford;Greenwich Village;14 Bedford St;New York;NY;French;$$$;
Abboccato;Midtown West;136 W 55th St;New York;NY;Italian;$$$$;(212-265-4000)
Acqua;Upper West Side;718 Amsterdam Ave.;New York;NY;Italian;$$$$;(212-222-2752)
Acqua;Upper West Side;;New York;NY;Italian;;(212-222-2752)
Ada;Midtown East;208 E 58th Street;New York;NY;Indian;$$$;
Agave;West Village;;New York;NY;American Regional;;(212-989-2100)
Akdeniz;Midtown West;19 W 46th St;New York;NY;Mediterranean \ Turkish;$;(212-575-2307)
Aki;Greenwich Village;181 W Fourth St;New York;NY;Caribbean \ Japanese;$$$;(212-989-5440)
Aki;West Village;;New York;NY;Japanese;;(212-989-5440)
Al Bustan Restaurant;Midtown East;827 Third Ave;New York;NY;Middle Eastern;$$$;
Alexandra;West Village;455 Hudson St;New York;NY;American;$$;(212-255-3838)
Alfama;Greenwich Village;551 Hudson St;New York;NY;Portuguese;$$;(212-645-2500)
Alfama;West Village;;New York;NY;Portuguese;;(212-645-2500)
Ali Baba;Midtown East;212 E 34th St btwn Second and Third Aves;New York;NY;Turkish;;(212-683-9206)
Alias;Lower East Side;76 Clinton St;New York;NY;American \ American Creative;$$$;(212-505-5011)
Alice's Tea Cup;Upper West Side;102 West. 73 st;New York;NY;American;$;
Allegretti;Flatiron;46 West 22nd St;New York;NY;French;$$$$;(212-206-0555)
Allegretti;Gramercy / Flatiron;;New York;NY;French;;(212-206-0555)
Allen & Delancey;Lower East Side;115 Allen St;New York;NY;American \ American Creative;$$$;(212-253-5400)
Almond;Flatiron;12 E 22nd Street;New York;NY;French;$$$$$;(212-228-7557)
Almond;Gramercy / Flatiron;;New York;NY;French;;(212-228-7557)
Alouette;Upper West Side;2588 Broadway;New York;NY;French;$$$;(212-222-6808)
Alta;Greenwich Village;64 West 10th Street;New York;NY;Mediterranean;$$$;(212-505-7777)
Alto;Midtown East;520 Madison Ave;New York;NY;Italian;$$$$$;(212-308-1099)
Amaranth;Upper East Side;21 E. 62nd St.;New York;NY;Mediterranean;$$$;(212-980-6700)
Amaranth;Upper East Side;;New York;NY;Mediterranean;;(212-980-6700)
Amazing 66;Chinatown;66 Mott Street;New York;NY;Chinese;$$;
Amber;Upper East Side;1406 Third Ave.;New York;NY;Pan-Asian \ Japanese;$$;(212-249-5020)
Amber;Upper East Side;1406 Third Ave-at 80th St;New York;NY;Japanese;;(212-249-5020)
Amma;Midtown East;246 E 51st St;New York;NY;Indian;$$$$;(212-644-8330)
Ammos Estiatorio;Midtown East;52 Vanderbilt Ave;New York;NY;Greek;$$$;
Amy Ruth's;Harlem;113 W 116th St;New York;NY;Southern;$;
Angelica Kitchen;East Village;300 E 12th St;New York;NY;Vegetarian \ Vegetarian & Organic;$;(212-228-2909)
Angelo & Maxies Steakhouse;Midtown West;233 Park Ave South (19th St);New York;NY;Steakhouse;$$$;
Annisa;Greenwich Village;13 Barrow Street;New York;NY;American \ American Creative;$$$$$;(212-741-6699)
Annisa;West Village;;New York;NY;American Creative;;(212-741-6699)
Anthos;Midtown West;36 W 52nd St;New York;NY;Mediterranean \ Greek;$$$$;(212-582-6900)
Apiary;East Village;60 Third Ave.;New York;NY;American;$$$$;(212-254-0888)
Apizz;Lower East Side;217 Eldridge St;New York;NY;Italian;$$$;(212-253-9199)
Aquagrill;SOHO;210 Spring St;New York;NY;Seafood;$$$$;(212-274-0505)
Aquagrill;Soho;;New York;NY;Seafood;;(212-274-0505)
Aquagrill;SoHo;210 Spring St at 6th Ave;New York;NY;Seafood;;(212-274-0505)
Aquavit;Midtown West;65 East 55th Street;New York;NY;Scandinavian \ Eclectic;$$$$;(212-307-7311)
Arqua;TriBeCa;281 Church Street;New York;NY;Italian;$$$;(212-334-1888)
Arqua;Tribeca;;New York;NY;Italian;;(212-334-1888)
Asia De Cuba;Murray Hill;237 Madison Ave;New York;NY;Asian;$$$$;
Asiakan;Upper West Side;710 Amsterdam Ave.;New York;NY;Pan-Asian \ Asian: Pan-Asian;$;(212-280-8878)
Asiate;Midtown West;;New York;NY;Asian: Pan-Asian;;(212-805-8881)
Aspen;Gramercy/Flatiron;30 W 22nd St;New York;NY;American Creative;;(212-645-5040)
Aspen;Gramercy / Flatiron;;New York;NY;American Creative;;(212-645-5040)
Aspen Social Club;Midtown West;157 W 47th St;New York;NY;American;$$$$;(212-221-7200)
Atlantic Grill;Upper East Side;1341 Third Ave;New York;NY;Seafood;$$$;(212-988-9200)
August;West Village;359 Bleecker St;New York;NY;European \ Eclectic;$$$;(212-929-4774)
August;Greenwich Village;359 Bleecker St btwn Charles and W 10th...;New York;NY;Eclectic;;(212-929-4774)
Aureole;Upper East Side;;New York;NY;American Creative;;(212-319-1660)
Aurora;SoHo;510 Broome St btwn Thompson St and West...;New York;NY;Italian;;(212-334-9020)
Avra Estiatorio;Midtown East;141 E 48th St;New York;NY;Greek;$$$$;
Awash;Upper West Side;947 Amsterdam Ave.;New York;NY;Ethiopian \ African: Ethiopian;;(212-961-1416)
Awash;Upper West Side;;New York;NY;African: Ethiopian;;(212-961-1416)
Azafran;TriBeCa;77 Warren St;New York;NY;Spanish;$$$;(212-284-0577)
Azucar;Midtown West;939 Eighth Avenue;New York;NY;Cuban \ Caribbean: Cuban;$$;(212-262-5354)
B. Smith's Restaurant Row;Midtown West;320 West 46th St;New York;NY;Southern;$$$;
BLT Fish;Flatiron;21 W 17th St;New York;NY;Seafood;$$;(212-691-8888)
BLT Fish;Chelsea;;New York;NY;Seafood;;(212-691-8888)
BLT Prime;Gramercy Park;111 East 22nd Street;New York;NY;American \ Steakhouses;$$$$;(212-995-8500)
BLT Steak;Midtown East;106 E 57th St;New York;NY;Steakhouse \ Steakhouses;$$$$$;(212-752-7470)
Babbo;Greenwich Village;110 Waverly Pl;New York;NY;Italian;$$$$;(212-777-0303)
Baldoria;Midtown West;249 West 49th Street;New York;NY;Italian;$$$$;(212-582-0460)
Bali Nusa Indah Restaurant Inc;;651 9th Ave;New York;NY;Indonesian;;
Balthazar;SOHO;80 Spring Street;New York;NY;French;$$$;(212-965-1414)
Balthazar;Soho;;New York;NY;French;;(212-965-1414)
Banjara;East Village;97 First Ave;New York;NY;Indian;$$;(212-477-5956)
Bann;Theater;350 W 50th St;New York;NY;Korean;$$$;(212-582-4446)
Bann;Midtown West;;New York;NY;Korean;;(212-582-4446)
Bao 111;East Village;111 Ave C;New York;NY;Asian;$$;
Bar Americain;Midtown West;152 W 52nd St;New York;NY;American \ American Regional;$$$$;(212-265-9700)
Bar Martignetti;Chinatown/Little Italy;406 Broome St.;New York;NY;French;;(212-680-5600)
Bar Pitti;Greenwich Village;268 Sixth Avenue;New York;NY;Italian;$$;(212-982-3300)
Baraonda;Upper East Side;1439 Second Avenue;New York;NY;Italian;;(212-288-8555)
Baraonda;Upper East Side;;New York;NY;Italian;;(212-288-8555)
Barbetta;Midtown East;321 W 46th Street;New York;NY;Italian;$$$;(212-246-9171)
Barbetta;Midtown West;;New York;NY;Italian;;(212-246-9171)
Barbounia;Flatiron;250 Park Ave South;New York;NY;Mediterranean;$$$$;(212-995-0242)
Barbounia;Gramercy / Flatiron;;New York;NY;Mediterranean;;(212-995-0242)
Barney Greengrass;Upper West Side;541 Amsterdam Ave;New York;NY;Deli \ American;$;(212-724-4707)
Barolo;SOHO;398 West Broadway;New York;NY;Italian;$$$;(212-226-1102)
Barolo;Soho;;New York;NY;Italian;;(212-226-1102)
Basta Pasta;Flatiron;37 W 17th St;New York;NY;Italian;$$;(212-366-0888)
Basta Pasta;Chelsea;;New York;NY;Italian;;(212-366-0888)
Battery Gardens;Financial District;;New York;NY;American;$$$;(212-809-5508)
Bay Leaf;Midtown West;49 W 56th Street;New York;NY;Indian;$$;(212-957-1818)
Beacon;Midtown West;25 West 56th St (Between 5th & 6th Avenues);New York;NY;American;$$$$;(212-332-0500)
Becco;Midtown West;355 W 46th St;New York;NY;Italian;$$$;(212-397-7597)
Bellavitae;Greenwich Village;21 Minetta Ln;New York;NY;Italian;$$$;(212-473-5121)
Bello;;863 Ninth Ave;New York;NY;;;
Bello Sguardo;Upper West Side;410 Amsterdam Ave;New York;NY;Mediterranean;$$;(212-873-6252)
Ben & Jack's Steak House;Midtown East;219 E 44th St;New York;NY;Steakhouse;$$$$;
Ben's Kosher Deli;Midtown West;209 West 38th Street;New York;NY;Deli;$;
Beppe;Flatiron;45 E 22nd St;New York;NY;Italian;$$$;(212-982-8422)
Bettola;Upper West Side;412 Amsterdam Ave;New York;NY;Italian;$$;(212-787-1660)
Beyoglu;Upper East Side;1431 Third Avenue;New York;NY;Mediterranean \ Turkish;$$;(212-650-0850)
Bianca;NoLita;5 Bleecker St;New York;NY;Italian;$$;(212-260-4666)
Bianca;East Village;;New York;NY;Italian;;(212-260-4666)
Bistro Cassis;Upper West Side;225 Columbus Ave;New York;NY;French;$$;(212-579-3966)
Bistro Citron;Upper West Side;473 Columbus Ave.;New York;NY;French;;(212-400-9401)
Bistro Citron;Upper West Side;;New York;NY;French;;(212-400-9401)
Bistro Les Amis;SOHO;180 Spring St/Thompson;New York;NY;French;$$;
Bistro Ten 18;Upper West Side;1018 Amsterdam Ave;New York;NY;American;$$;(212-662-7600)
Blaue Gans;TriBeCa;139 Duane Street;New York;NY;German \ Austrian;$$$;(212-571-8880)
Blaue Gans;Tribeca;;New York;NY;Austrian;;(212-571-8880)
Blockheads Mexican Diner;Midtown West;954 Second Ave;New York;NY;Mexican;$;
Bloomingdale Road;Upper West Side;2398 Broadway;New York;NY;American;$$$;(212-874-7400)
Bloomingdale Road;Upper West Side;;New York;NY;American;;(212-874-7400)
Blue 9 Burger;East Village;92 3rd Ave;New York;NY;American \ Cafés & diners;$;(212-979-0053)
Blue Fin;Midtown West;;New York;NY;Seafood;$$$;(212-918-1400)
Blue Hill;Greenwich Village;75 Washington Place;New York;NY;American;$$$$;(212-539-1776)
Blue Ribbon;SOHO;97 Sullivan Street;New York;NY;American \ American Creative;$$$;(212-274-0404)
Blue Ribbon Bakery;Greenwich Village;33 Downing Street;New York;NY;American \ Eclectic;$$;(212-337-0404)
Blue Ribbon Bakery;West Village;;New York;NY;Eclectic;;(212-337-0404)
Blue Ribbon Sushi;SOHO;119 Sullivan St;New York;NY;Sushi \ Japanese;$$$;(212-343-0404)
Blue Ribbon Sushi;Soho;;New York;NY;Japanese;;(212-343-0404)
Blue Smoke;Gramercy Park;116 E 27th St;New York;NY;Barbecue \ Barbeque;$$;(212-447-7733)
Blue Smoke;Gramercy / Flatiron;;New York;NY;Barbeque;;(212-447-7733)
Blue Water Grill;Union Square;31 Union Square West;New York;NY;Seafood;$$$;(212-675-9500)
Bluechili;Midtown West;251 W 51st St;New York;NY;Asian \ Asian: Pan-Asian;$$;(212-246-3330)
Bobo;Greenwich Village;181 W. 10th St.;New York;NY;European \ Eclectic;$$$$;(212-488-2626)
Bobo;West Village;;New York;NY;Eclectic;;(212-488-2626)
Boca Chica;East Village;13 First Avenue;New York;NY;South American \ Latin American;$;(212-473-0108)
Boi;Midtown East;246 East 44th Street;New York;NY;Vietnamese;$$;(212-681-6541)
Bolo;Flatiron;23 E 22nd St;New York;NY;Spanish;$$$$;
Bombay Grill;;344 Lexington Ave;New York;NY;Indian;$$;
Bombay Palace;Midtown West;30 W 52nd St;New York;NY;Indian;$$;(212-541-7777)
Bombay Talkie;Chelsea;189 Ninth Ave;New York;NY;Indian;$$;(212-242-1900)
Bond 45;Midtown West;154 W 45th St;New York;NY;Italian;$$$;(212-869-4545)
Bondi Road;Lower East Side;153 Rivington St.;New York;NY;Australian \ Australian & New Zealand;$$;(212-253-5311)
Bondi Road;Lower East Side;;New York;NY;Australian & New Zealand;;(212-253-5311)
Boom;SOHO;152 Spring Street;New York;NY;Italian;$$;(212-431-3663)
Boom;Soho;;New York;NY;Italian;;(212-431-3663)
Boqueria;Soho;;New York;NY;Spanish;;(212-343-4255)
Borgo Antico;East Village;22 E 13th St;New York;NY;Italian;$$$;(212-807-1313)
Bottino;Chelsea;246 10th Ave;New York;NY;Italian;$$$;(212-206-6766)
Bouley;Tribeca;;New York;NY;French;;(212-964-2525)
Bourbon Street Bar & Grille;Midtown West;346 W 46th Street;New York;NY;Creole-Cajun \ American Regional;$$$$;(212-245-2030)
Brasserie;Midtown East;100 East 53rd St;New York;NY;French;$$$;(212-751-4840)
Brasserie Julien;Upper East Side;1422 3rd Ave (Between 80th & 81st Streets);New York;NY;French;$$;(212-744-6327)
Bread;NoLita;20 Spring St;New York;NY;American \ Italian;$$;(212-334-1015)
Bridge Cafe;Financial District;279 Water St;New York;NY;American;$$$;(212-227-3344)
Bright Food Shop;Chelsea;218 Eighth Ave;New York;NY;Asian;$;
Broadway East;Lower East Side;171 East Broadway;New York;NY;American \ Vegetarian & Organic;$$$;(212-228-3100)
Bubba Gump Shrimp Co.;Midtown West;1501 Broadway;New York;NY;American;$;
Bubby's;TriBeCa;120 Hudson St;New York;NY;American;$;
Buddakan;Chelsea;75 Ninth Ave;New York;NY;Fusion \ Chinese;$$$$;(212-989-6699)
Buddha BBeeQ;Upper East Side;1750 Second Ave.;New York;NY;Korean;$;(212-348-7041)
Buddha Bar;Meatpacking District;25 Little West 12th Street;New York;NY;Asian \ Asian: Pan-Asian;$$$$;(212-647-7314)
Buenos Aires;East Village;513 E Sixth St;New York;NY;Argentinean \ Argentine;$$;(212-228-2775)
Bukhara Grill;Midtown East;217 E 49th St;New York;NY;Indian;$$;
Bull Run;Financial District;52 William St;New York;NY;American;$$$;
Burger Joint;Midtown West;;New York;NY;American;;(212-245-5000)
Butai;Gramercy Park;115 E 18th St;New York;NY;Japanese;$$$;(212-387-8885)
Butter;East Village;415 Lafayette St;New York;NY;American;$$$;(212-253-2828)
Cabrito;West Village;50 Carmine St.;New York;NY;Fusion \ Mexican;;(212-929-5050)
Cafe Asean;West Village;117 West 10th Street;New York;NY;Asian: Pan-Asian;;(212-633-0348)
Cafe Asean;West Village;;New York;NY;Asian: Pan-Asian;;(212-633-0348)
Cafe Con Leche;Upper West Side;726 Amsterdam Ave;New York;NY;Cuban;$;
Cafe De Bruxelles;West Village;118 Greenwich Ave;New York;NY;Belgian;$$;
Cafe Des Artistes;Upper West Side;1 W 67th Street;New York;NY;French;$$$;
Cafe Espanol;Greenwich Village;172 Bleecker Street;New York;NY;American;$;
Cafe Frida;Upper West Side;368 Columbus Ave;New York;NY;Mexican;$$;(212-712-2929)
Cafe Gitane;NoLita;242 Mott St;New York;NY;French \ Moroccan;$;(212-334-9552)
Cafe Joul;Midtown East;1070 First Avenue;New York;NY;French;$$;
Cafe Lalo;Upper West Side;201 W 83rd St;New York;NY;American;$;
Cafe Loup;Greenwich Village;105 W 13th St;New York;NY;French;$$$;(212-255-4746)
Cafe Mogador;East Village;101 St Marks Pl;New York;NY;Moroccan;$;
Cafe Ronda;Upper West Side;249-251 Columbus Ave;New York;NY;Mediterranean \ Argentine;$$;(212-579-9929)
Cafe Select;;212 Lafayette Street;New York;NY;International;$$$;
Cafe Un Deux Trois;Midtown West;123 W 44th St;New York;NY;French;$$$;
Cafeteria;Chelsea;119 Seventh Avenue;New York;NY;American;$;(212-414-1717)
Caffe Falai;SoHo;265 Lafayette St at Prince St;New York;NY;Cafés & diners;;(917-338-6207)
Café Boulud;Upper East Side;20 East 76th St;New York;NY;French;$$$$;(212-772-2600)
Café Sabarsky;Upper East Side;;New York;NY;Austrian;$$;(212-288-0665)
Calle Ocho;Upper West Side;446 Columbus Avenue;New York;NY;Cuban \ Caribbean;$$;(212-873-5025)
Camaje;Greenwich Village;85 Macdougal St;New York;NY;American \ French;$$;(212-673-8184)
Camino Sur;Midtown West;336 W 37th St;New York;NY;South American;$$$;
Campagnola;Upper East Side;1382 First Ave;New York;NY;Italian;$$$$;(212-861-1102)
Candle 79;Upper East Side;154 E 79 St;New York;NY;Vegetarian \ Vegetarian & Organic;$$;(212-537-7179)
Canyon Road;Upper East Side;1470 First Avenue;New York;NY;Southwestern \ American Regional;$$;(212-734-1600)
Caracas Arepa Bar;East Village;91 East 7th St;New York;NY;South American \ Latin American: Venezuelan;$;(212-228-5062)
Carnegie Deli;Midtown West;854 7th Ave;New York;NY;Deli \ American;$;(212-757-2245)
Casa;West Village;72 Bedford St;New York;NY;South American \ Brazilian;$$;(212-366-9410)
Casa;Greenwich Village;72 Bedford St at Commerce St;New York;NY;Brazilian;;(212-366-9410)
Casimir;East Village;103-105 Ave B;New York;NY;French;$$;(212-358-9683)
Caterina's;Midtown East;316 East 53rd Street;New York;NY;Hungarian;$$$;
Celeste;Upper West Side;502 Amsterdam Ave;New York;NY;Italian;$$;(212-874-4559)
Cendrillon;SOHO;45 Mercer St;New York;NY;Southeast Asian \ Asian: Filipino;$$;(212-343-9012)
Cendrillon;Soho;;New York;NY;Asian: Filipino;;(212-343-9012)
Cercle Rouge;TriBeCa;241 W Broadway;New York;NY;American \ French;$$$;(212-226-6252)
Cercle Rouge;Tribeca;;New York;NY;French;;(212-226-6252)
Chanterelle;TriBeCa;2 Harrison St;New York;NY;French;$$$$$;(212-966-6960)
Chanterelle;Tribeca;;New York;NY;French;;(212-966-6960)
Charlie Palmer's Metrazur;Midtown East;East Balcony #4, 404 Grand Central Terminal, 42nd Street;New York;NY;American;$$$;
Chennai Garden;Gramercy Park;129 E 27 St;New York;NY;Indian;$;(212-689-1999)
Chez Jacqueline;Greenwich Village;72 Macdougal St;New York;NY;French;$$$;(212-505-0727)
Chikalicious Dessert Bar;East Village;203 E 10th St;New York;NY;American;$;
Chimichurri Grill;Midtown West;606 9th Avenue;New York;NY;South American \ Argentine;$$$;(212-586-8655)
