0_restaurant;0_neighborhood;0_address;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_country;1_neighborhood;1_type;1_phone;1_type_r
Beyoglu;Upper East Side;1431 Third Avenue;New York;NY;Mediterranean;$$;;Beyoglu14;31 3rd Ave-;;;;;
Big Nick's Burger Joint;Upper West Side;2175 Broadway;New York;NY;American;$;;Big Nick's Burger Joint and Pizza Joint;2175 Broadway;;;;;
Bistro Ten 18;Upper West Side;1018 Amsterdam Ave;New York;NY;American;$$;;Bistro du Nord; 1312 Madison Ave-at 93rd St;New York;Upper East Side;French;(212-289-0997);
Bistro Ten 18;Upper W. Side;;;;;;;Bistro du Nord; 1312 Madison Ave-at 93rd St;New York;Upper East Side;French;(212-289-0997);
Black Pearl;Chelsea;37 W. 26th Street;New York;NY;Seafood;$$;;Black Pearl (CLOSED); 37 W 26th St-between Broadway and Sixth Ave;New York;Chelsea;Seafood;(212-532-9900);
Bloomingdale Road;;2398 Broadway;New York;NY;American;$$$;;Bloomingdale Road (CLOSED);2398 Broadway -;New York;;;;
Blue Ribbon Bakery;Greenwich Village;33 Downing Street;New York;NY;American;$$;;Blue Ribbon Bakery & Cafe;33 Bedford Street;New York;;;;
Bobby Van's Steakhouse-Park Avenue;Midtown East;230 Park Avenue;New York;NY;Steakhouse;$$$;;Bobby Van’s Steakhouse; 230 Park Ave-at 46th St;New York;Midtown East;Steakhouses;(212-867-5490);
Boi To Go;Midtown East;800 Second Ave;New York;NY;Vietnamese;$$;;Boi to Go;800 2nd Avenue;New York, NY, 10017;;;;
Brasserie 8 1/2;Midtown West;9 W 57th St;New York;NY;French;$$$$;;Brasserie 8½;9 West 57th Street;New York, NY, 10019;;;;
Brick Lane Curry;East Village;342 East 6th St;New York;NY;Indian;$;;Brick Lane Curry House; 306–308 E 6th St-between First and Second Aves;New York;East Village;Indian;(212-979-2900);
Bright Food Shop;Chelsea;218 Eighth Ave;New York;NY;Asian;$;;Bright Food Shop (CLOSED); 216 Eighth Ave-at 21st St;New York;Chelsea;Eclectic;(212-243-4433);
Bubba Gump Shrimp Co.;Midtown West;1501 Broadway;New York;NY;American;$;;Bubba Gump Shrimp Company; 1501 Broadway-at 44th St;New York;Midtown West;Seafood;(212-391-7100);
Bubble Loung;TriBeCa;228 W Broadway;New York;NY;Small Plates;$$$;;Bubble Lounge;228 W Broadway;New York;;;;
Burger Joint;Gramercy Park;190 Bleecker St;New York;NY;American;$;;Burger Joint (CLOSED);190 Bleecker Street;New York, NY, 10012;;;;
Butter;East Village;415 Lafayette St;New York;NY;American;$$$;;Butter Lane; 123 E 7th St-between First Ave and Ave A;New York;East Village;American;(212-677-2880);
Butter;E. Village;;;;;;;Butter Lane; 123 E 7th St-between First Ave and Ave A;New York;East Village;American;(212-677-2880);
Cafe Espanol;Greenwich Village;172 Bleecker Street;New York;NY;American;$;;Cafe Espanol On Carmine;78 Carmine Street;New York;;;;
Cafe Gray;Upper West Side;10 Columbus Circle, 3rd Fl;New York;NY;French;$$$$$;;Cafe Greco; 1390 Second Ave-between 71st and 72nd Sts;New York;Upper East Side;Mediterranean;(212-737-4300);
Cafe Habana;NoLita;229 Elizabeth St;New York;NY;Cuban;$;;Cafe Habana To Go;229 Elizabeth Street;New York, NY, 10012;;;;
Cafe Select;;212 Lafayette Street;New York;NY;International;$$$;;Cafe Socialista;505 West Street;;;;;
Carnegie Deli;Midtown West;854 7th Ave;New York;NY;Deli;$;;Carnegie Delicatessen;854 7th Ave.;New York;West 50s;;;
Cendrillon;SOHO;45 Mercer St;New York;NY;Southeast Asian;$$;;Cendrillon (CLOSED);45 Mercer St -;New York;;;;
Central Park Boathouse;Upper East Side;;;;;;;Central Park Boathouse Restaurant;Central Park Lake -park entrance on Fifth Aveat 72nd St;New York;Upper East Side;Seafood;(212-517-2233);
Chennai Garden;Gramercy Park;129 E 27 St;New York;NY;Indian;$;;Chennai Garden Inc;129 East 27;New York;;;;
Chimichurri Grill;Midtown West;606 9th Avenue;New York;NY;South American;$$$;;Chimichurri Grill Corporation;606 9th Avenue Apt 4;New York;;;;
Chiyono;;328 E. Sixth St.;New York;NY;Japanese;$$;;Chiyono32;8 E 6th St-;;;;;
Columbus Bakery;;474 Columbus Ave;New York;NY;;;;Columbus Cafe;556 Columbus Ave;New York;;;;
Coppola's Pizzeria Restaurant;Upper West Side;206 W 79th St;New York;NY;Italian;$$;;Coppolas Pizzeria Restaurant;206 W 79th St;New York;;;;
Cornelia Street Cafe;Greenwich Village;29 Cornelia Street;New York;NY;American;$$$;;Cornelia Street Café; 29 Cornelia St-between Bleecker and W 4th Sts;New York;Greenwich Village;;(212-989-9319);American
Cornelia Street Cafe;West Village;;;;;;;Cornelia Street Café; 29 Cornelia St-between Bleecker and W 4th Sts;New York;Greenwich Village;;(212-989-9319);American
Cosette;Murray Hill;163 E 33rd St;New York;NY;French;$$;;Cosette16;3 E 33rd St-;;;;;
Counter;East Village;105 First Ave;New York;NY;Vegetarian;$$;;Counter10;5 1st Ave-;;;;;
Crisp;Midtown East;684 3rd Ave;New York;NY;Middle Eastern;$$;;Crisp684;3rd Ave-;;;;;
Da Andrea;West Village;557 Hudson St;New York;NY;Italian;$$;;Da Andrea (CLOSED); 557 Hudson St-between Perry and W 11th Sts;New York;West Village;Italian;(212-367-1979);
Da Andrea;W. Village;;;;;;;Da Andrea (CLOSED); 557 Hudson St-between Perry and W 11th Sts;New York;West Village;Italian;(212-367-1979);
Da Andrea;Greenwich Village;557 Hudson St btwn Perry and W 11th Sts;;;;;;Da Andrea (CLOSED); 557 Hudson St-between Perry and W 11th Sts;New York;West Village;Italian;(212-367-1979);
Da Ciro;Murray Hill;229 Lexington Ave;New York;NY;Italian;$$;;Da Ciro22;9 Lexington Ave-;;;;;
Da Silvano;Greenwich Village;260 6th Avenue;New York;NY;Italian;$$$;;Da Silvano Bistecca; 260 Sixth Ave-between Bleecker and W Houston Sts;New York;Greenwich Village;Steakhouses;(212-844-0282);
Da Silvano;West Village;;;;;;;Da Silvano Bistecca; 260 Sixth Ave-between Bleecker and W Houston Sts;New York;Greenwich Village;Steakhouses;(212-844-0282);
Delmonico's;Financial District;56 Beaver Street;New York;NY;American;$$$$$;;Delmonico’s; 56 Beaver St-at South William St;New York;Financial District;American;(212-509-1144);
Delmonico's;Financial/Battery Pk;;;;;;;Delmonico’s; 56 Beaver St-at South William St;New York;Financial District;American;(212-509-1144);
Demarchelier;;50 E. 86th St.;New York;NY;;;;Demarchelier Restaurant;50 E 86th St;New York;;;;
Dok Suni;East Village;119 First Ave;New York;NY;Korean;$$;;Dok Suni's;119 First Ave.;New York;East Village;;;
Dok Suni;E. Village;;;;;;;Dok Suni's;119 First Ave.;New York;East Village;;;
Dolce Vita;;181 Grand Street;New York;NY;;;;Dolce Vita (CLOSED);181 Grand St-;;;;;
Duane Park Cafe;TriBeCa;157 Duane St;New York;NY;American;$$$;;Duane Park Patisserie;179 Duane Street;New York, NY, 10013;;;;
E.A.T.;Upper East Side;1064 Madison Avenue;New York;NY;American;$$;;E.A.T.106;4 Madison Ave-;;;;;
Eatery;Midtown West;798 9th Ave;New York;NY;American;$;;Eatery798;9th Ave-;;;;;
El Parador Cafe;Murray Hill;325 E 34th St;New York;NY;Mexican;$$;;El Parador Cafe Inc;325 E 34th St;New York;;;;
Estiatorio Milos;Midtown West;125 West 55th Street;New York;NY;Greek;$$$$;;Estiatorio Milos Restaurant;125 West 55th Street;New York;;;;
Fig & Olive Kitchen & Tasting Bar;Upper East Side;808 Lexington Ave;New York;NY;Mediterranean;$$;;Fig & Olive Kitchen and Bar; 808 Lexington Avenue-between 62nd and 63rd Sts;New York;Upper East Side;Mediterranean;(212-207-4555);
Francisco's Centro Vasco;Chelsea;;;;;;;Francisco’s Centro Vasco; 159 W 23rd St-between Sixth and Seventh Aves;New York;Chelsea;Seafood;(212-645-6224);
French Roast;Upper West Side;2340 Broadway;New York;NY;Breakfast;$;;French Roast Cafe;2340 Broadway-At 85th St;;;;;
French Roast;Greenwich Village;2340 Broadway at 85th St;;;;;;French Roast Cafe;2340 Broadway-At 85th St;;;;;
Friend Of a Farmer;Gramercy Park;77 Irving Pl;New York;NY;American;$;;Friend of A Farmer;77 Irving Pl-Btwn 18th & 19th St;New York;Gramercy/Flatiron;;(212-477-2188);American
Funky Diner;Upper West Side;466 Columbus Ave.;New York;NY;American;$;;Funky Diner (CLOSED);466 Columbus Avenue;New York, NY, 10024;;;;
Giorgione 508;SOHO;508 Greenwich St;New York;NY;Continental;$$$;;Giorgione 508 (CLOSED); 508 Greenwich St-at Spring St;New York;Soho;Italian;(212-219-2444);
Gramercy Tavern;Union Square;42 E 20th St;New York;NY;American;$$$$;;Gramercy Tavern Corp;42 E 20th St;New York;;;;
Gray's Papaya;Upper West Side;2090 Broadway;New York;NY;American;$;;Grays Papaya;2090 Broadway # 1;New York;;;;
Great Jones Cafe;East Village;;;;;;;Great Jones Café; 54 Great Jones St-between Bowery and Lafayette St;New York;East Village;;(212-674-9304);American Regional
Great Jones Cafe;E. Village;;;;;;;Great Jones Café; 54 Great Jones St-between Bowery and Lafayette St;New York;East Village;;(212-674-9304);American Regional
Great N.Y. Noodle Town;Chinatown;28 Bowery;New York;NY;Chinese;$;;Great N.Y. Noodletown;28 Bowery;New York;Chinatown;;;
Grifone Restaurant;Midtown East;244 E 46th St;New York;NY;Italian;$$$;;Grifone Restaurant Corp;244 E 46th St;New York;;;;
Hatsuhana;Midtown East;237 Park Ave;New York;NY;Sushi;$$$$;;Hatsuhana Park;237 Park Ave-At 46th St;;;;;
Hill Country;Chelsea;30 W. 26th St.;New York;NY;Barbecue;$$;;Hill Country Barbecue;30 W 26th St.;New York;Chelsea;;;
Houston's Restaurant;Midtown East;153 E 53rd St;New York;NY;American;$$;;Houstons Restaurant;53 East 53rd Street;New York;;;;
Il Valentino;Midtown East;330 East 56th Street;New York;NY;Italian;$$$;;Il Valentino Inc;330 E 56th St;New York;;;;
Ippudo;East Village;65 4th Ave;New York;NY;Japanese;$$$;;Ippudo NY; 65 Fourth Ave-between 9th and 10th Sts;New York;East Village;Japanese;(212-388-0088);
Island Burgers & Shakes;Midtown West;766 9th Ave;New York;NY;American;$;;Island Burgers And Shakes;766 9th Avenue;New York, NY, 10001;;;;
Jackson Hole;;232 E 64th St;New York;NY;;;;Jackson Hole Burgers;232 E 64th St;;;;;
Jacques-Imo's;Upper West Side;366 Columbus Ave;New York;NY;Creole-Cajun;$$;;Jacques-Imo's NYC;366 Columbus Avenue;New York, NY, 10023;;;;
Jean Georges;Upper West Side;1 Central Park W;New York;NY;French;$$$$$;;Jean Georges Restaurant;1 Central Park W;New York;;;;
Johnny Utah's;Midtown West;;;;;;;Johnny Utah’s;Club Quarters Hotel -25 W 51st Stbetween Fifth and Sixth Aves;New York;Midtown West;American;(212-265-8824);
L'Entrecote;;1057 First Ave.;New York;NY;;;;L'Entrecote (CLOSED);1057 1st Avenue;New York, NY, 10022;;;;
La Boite En Bois;Upper West Side;75 W 68th St;New York;NY;French;$$$;;La Boite en Bois; 75 W 68th St-between Columbus Ave and Central Park West;New York;Upper West Side;French;(212-874-2705);
La Grenouille;Midtown East;3 E 52nd St;New York;NY;French;$$$$;;La Grenouille Restaurant;3 E 52nd St;New York;;;;
La Paella;East Village;214 E Ninth St;New York;NY;Spanish;$$;;La Paella East;214 E 9th St;New York;;;;
Lavagna;;545 E. Fifth St.;New York;NY;Italian;$$$;;Lavagna54;5 E 5th St-;;;;;
Le Madeleine;Midtown West;403 W 43rd Street;New York;NY;French;$$$;;Le Madeleine (CLOSED);403 West 43rd Street;New York, NY, 10036;;;;
Lombardi's;NoLita;32 Spring St;New York;NY;Pizza;$;;Lombardis;32 Spring St;New York;;;;
Lucien;East Village;14 1st Ave;New York;NY;French;$$;;Lucien14;1st Ave-;;;;;
Luzia's;;429 Amsterdam Ave.;New York;NY;;;;Luzia's42;9 Amsterdam Ave-;;;;;
Mama Mexico;;214 E. 49th St.;New York;NY;;;;Mama Mexico -;214 East 49th Street;New York;;;;
Markt;Flatiron;676 6th Avenue;New York;NY;Belgian;$$$;;Markt676;6th Ave-;;;;;
Matsuri;;369 W 16th St;New York;NY;;;;Matsuri36;9 W 16th St-;;;;;
Mi Cocina;West Village;57 Jane St;New York;NY;Mexican;$$$;;Mi Cocina (CLOSED); 57 Jane St-at Hudson St;New York;West Village;Mexican;(212-627-8273);
Mi Cocina;Greenwich Village;57 Jane St at Hudson St;;;;;;Mi Cocina (CLOSED); 57 Jane St-at Hudson St;New York;West Village;Mexican;(212-627-8273);
Mickey Mantle's;Midtown East;42 Central Park South;New York;NY;American;$$$;;Mickey Mantle's Restaurant;42 Central Park South;;;;;
Midtown;Midtown East;155 E 55th Street;New York;NY;American;$;;Midtown Deli;322 East 34th Street;New York, NY, 10016;;;;
Mingala Burmese;East Village;21-23 E Seventh St;New York;NY;Southeast Asian;$;;Mingala Burmese Restaurant;21 E 7th St;New York;;;;
Miracle Bar & Grill;West Village;415 Bleecker St;New York;NY;Southwestern;$$;;Miracle Bar & Grill (CLOSED);415 Bleecker St-;;;;;
Miss Maude's Spoonbread Too;Harlem;547 Lenox Ave;New York;NY;Southern;$;;Miss Maude’s Spoonbread Too; 547 Malcolm X Blvd (Lenox Ave)-between 137th and 138th Sts;New York;Harlem;American Regional;(212-690-3100);
Mo Pitkin's;East Village;34 Ave A;New York;NY;Jewish;$$;;Mo Pitkin's (CLOSED);34 Avenue A;New York, NY, 10009;;;;
Momofuku Noodle Bar;East Village;171 First Ave.;New York;NY;Chinese;$$$;;Momofuku Ssam Bar;207 2nd Ave-At 13th St;New York;East Village;;(212-254-3500);Korean
Momofuku Noodle Bar;E. Village;;;;;;;Momofuku Ssam Bar;207 2nd Ave-At 13th St;New York;East Village;;(212-254-3500);Korean
Mon Petit Cafe;Upper East Side;801 Lexington Ave;New York;NY;French;$$;;Mon Petit Cafe Inc;801 Lexington Ave;New York;;;;
Morandi;Greenwich Village;211 Waverly Place;New York;NY;Italian;$$$;;Morandi21;1 Waverly Pl-;;;;;
Moustache;West Village;90 Bedford Street;New York;NY;Middle Eastern;$;;Moustache Pitza;90 Bedford St Ground;New York;;;;
Mr. K's;Midtown East;570 Lexington Ave;New York;NY;Chinese;$$$;;Mr. K's57;0 Lexington Ave-;;;;;
Mustang Sally's;Chelsea;324 Seventh Avenue;New York;NY;American;$$;;Mustang Sallys Saloon;324 7th Ave;New York;;;;
Nicky's Vietnamese Sandwiches;East Village;150 E 2nd St;New York;NY;American;$;;Nicky’s Vietnamese Sandwiches; 150 E 2nd St-between Aves A and B;New York;East Village;Vietnamese;(212-388-1088);
Niko's Mediterranean Grill;Upper West Side;2161 Broadway;New York;NY;Greek;$;;Niko's Mediterranean Grill & Bistro;2161 Broadway;New York;West 70s;;;
Noble Food & Wine;NoLita;7 Spring Street;New York;NY;American;$$$;;Noble Food and Wine;7 Sping Street;New York, NY, 10012;;;;
Nocello;Midtown West;257 West 55th St;New York;NY;Italian;$$$;;Nocello25;7 W 55th St-;;;;;
Nocello;Theater;257 West 55th Street;New York;NY;Italian;$$$$;;Nocello25;7 W 55th St-;;;;;
Old Devil Moon;East Village;511 E 12th St;New York;NY;Southern;$;;Old Devil Moon (CLOSED); 511 E 12th St-between Aves A and B;New York;East Village;American Regional;(212-475-4357);
Old Homestead;Meatpacking District;56 9th Ave;New York;NY;Steakhouse;$$$$;;Old Homestead Gourmet Shop;56 9th Ave;New York;;;;
Olives;Union Square;201 Park Ave S - W Hotel;New York;NY;Mediterranean;$$$;;Olives NY;201 Park Ave S-At 17th St;;;;;
Onieal's Grand Street;SOHO;174 Grand St;New York;NY;American;$$$;;Onieals Grand Street;174 Grand Street;New York, NY, 10013;;;;
Osteria Gelsi;Midtown West;507 Ninth Ave;New York;NY;Italian;$$$;;Osteria Laguna; 209 E 42nd St-between Second and Third Aves;New York;Midtown East;Italian;(212-557-0001);
Paladar;Lower East Side;161 Ludlow St;New York;NY;Nuevo Latino;$$;;Paladar16;1 Ludlow St-;;;;;
Payard Bistro;Upper East Side;1032 Lexington Avenue;New York;NY;French;$$$;;Payard Patisserie & Bistro;1032 Lexington Avenue;;;;;
Pepe Giallo;;253 10th Ave;New York;NY;;;;Pepe Giallo To Go;253 10th Ave-At 25th St;;;;;
Philip Marie;West Village;569 Hudson St;New York;NY;American;$$$;;Philip Marie Restaurant;569 Hudson St;New York;;;;
Philip Marie;Greenwich Village;569 Hudson St at 11th St;;;;;;Philip Marie Restaurant;569 Hudson St;New York;;;;
Piadina;Greenwich Village;57 W 10th St;New York;NY;Italian;$$;;Piadina57 W;10th St-;;;;;
Ping's Seafood;Chinatown;22 Mott St;New York;NY;Chinese;$;;Ping's Seafood Restaurant;22 Mott St.;New York;Chinatown;;;
Pomme Frites;;123 2nd Ave;New York;NY;Belgian;$;;Pommes Frites;123 2nd Ave;New York;;;;
Pongal;Murray Hill;110 Lexington Ave.;New York;NY;Indian;$$;;Pongal Inc;110 Lexington Ave;New York;;;;
Primitivo Osteria;West Village;202 West 14th Street;New York;NY;Italian;$$$;;Primitivo Osteria (CLOSED);202 W 14th St-;;;;;
Raoul's;SOHO;180 Prince St;New York;NY;French;$$$;;Raoul's18;0 Prince St-;;;;;
Rocking Horse;Chelsea;182 Eighth Ave;New York;NY;Mexican;$$;;Rocking Horse Cafe; 182 Eighth Ave-between 19th and 20th Sts;New York;Chelsea;Mexican;(212-463-9511);
Russian Samovar;Midtown West;256 W 52nd St;New York;NY;Continental;$$$;;Russian Samovar Restaurant;256 W 52nd St;New York;;;;
Sachiko's On 25 Clinton;Lower East Side;25 Clinton St;New York;NY;Japanese;$$$;;Sachiko's On Clinton;25 Clinton Street;New York;;;;
Sal Anthony's S.P.Q.R.;Little Italy;133 Mulberry St;New York;NY;Italian;$$;;Sal Anthony's SPQR;133 Mulberry St-;;;;;
Sambuca;Upper West Side;20 W 72nd St;New York;NY;Italian;$$;;Sambuca20 W;72nd St-;;;;;
Sammy's Roumanian;Lower East Side;157 Chrystie St;New York;NY;European;$$$;;Sammy's Roumanian Steak House; 157 Chrystie St-;New York;Lower East Side;Eastern European;(212-673-0330);
Sammy's Roumanian;Lower E. Side;;;;;;;Sammy's Roumanian Steak House; 157 Chrystie St-;New York;Lower East Side;Eastern European;(212-673-0330);
Sapphire;Upper West Side;1845 Broadway;New York;NY;Indian;$$$;;Sapphire Indian;1845 Broadway;New York, NY, 10023;;;;
Sardi's;Midtown West;234 West 44th Street;New York;NY;Continental;$$$;;Sardi's23;4 W 44th St-;;;;;
Scalinatella;Upper East Side;201 East 61st Street;New York;NY;Italian;$$$$;;Scalinatella Restaurant;201 E 61st St;New York;;;;
Scarlatto;Theater District;;;;;;;Scarpetta; 355 W 14th St-at Ninth Ave;New York;Meatpacking District;Italian;(212-691-0555);
Sfoglia;Upper East Side;1402 Lexington Avenue;New York;NY;Italian;$$$$;;Sfoglia14;02 Lexington Ave-;;;;;
Shaburi;Murray Hill;125 E 39th St;New York;NY;Japanese;$$$;;Shaburi12;5 E 39th St-;;;;;
Shun Lee Palace;Midtown East;155 E 55th Street;New York;NY;Chinese;$$$;;Shun Lee Palace East;155 E 55th St;New York;;;;
Shun Lee West;;43 W. 65th St.;New York;NY;Chinese;$$$;;Shun Lee West Lincoln Ctr;43 W 65th St;New York;;;;
Sip Sak;Midtown East;928 Second Ave;New York;NY;Middle Eastern;$;;Sip Sak92;8 2nd Ave-;;;;;
Soba-Ya;East Village;229 E Ninth St;New York;NY;Asian;$;;Soba-ya; 229 E 9th St-between Second and Third Aves;New York;East Village;Japanese;(212-533-6966);
Soba-Ya;E. Village;;;;;;;Soba-ya; 229 E 9th St-between Second and Third Aves;New York;East Village;Japanese;(212-533-6966);
Sofrito;;400 E. 57th St.;New York;NY;Nuevo Latino;$$;;Sofrito40;0 E 57th St-;;;;;
Sparks Steak House;Midtown East;210 E 46th Street;New York;NY;Steakhouse;$$$;;Sparks Steakhouse;210 East 46th Street;New York;nan;;nan;nan
Spice;East Village;104 Second Ave.;New York;NY;Thai;$$;;Spice Cove; 326 E 6th St-between First and Second Aves;New York;East Village;Indian;(212-674-8884);
Spigolo;Upper East Side;1561 Second Ave;New York;NY;Italian;$$$;;Spigolo15;61 2nd Ave-;;;;;
Spotlight Live;Theater;1604 Broadway;New York;NY;American;$$$$;;Spotlight Live (CLOSED);1604 Broadway -;New York;;;;
Strip House;Greenwich Village;13 E 12th St;New York;NY;Steakhouse;$$$;;Strip House - New York;13 East 12th Street;;;;;
Sushi Seki;Upper East Side;1143 1st Ave;New York;NY;Sushi;$$$;;Sushi Sen-Nin; 1420 Third Ave-between 80th and 81st Sts;New York;Upper East Side;Japanese;(212-889-2208);
Sushi Seki;Upper E. Side;;;;;;;Sushi Sen-Nin; 1420 Third Ave-between 80th and 81st Sts;New York;Upper East Side;Japanese;(212-889-2208);
Taboon;Midtown West;773 10th Ave;New York;NY;Mediterranean;$$$;;Taboon773;10th Ave-;;;;;
Takahachi Tribeca;TriBeCa;145 Duane St;New York;NY;Japanese;$$;;Takahachi Tribeca Restaurant;145 Duane Street;New York, NY, 10013;;;;
Tartine;West Village;253 W 11th St;New York;NY;French;$;;Tartine25;3 W 11th St-;;;;;
Tea & Sympathy;West Village;108 Greenwich Ave;New York;NY;British;$;;Tea & Sympathy Inc;108 Greenwich Ave # 1;New York;;;;
The Cupping Room Cafe;;359 West Broadway;New York;NY;;;;The Cupping Room Cafe, Inc.;359 W. Broadway;New York;Soho;;;
The Four Seasons;Midtown East;99 E 52nd St;New York;NY;Continental;$$$$;;The Four Seasons Restaurant; 99 E 52nd St-between Park and Lexington Aves;New York;Midtown East;American Creative;(212-754-9494);
The House;Gramercy Park;121 E. 17th Street;New York;NY;Mediterranean;$$$$;;The House Of Brews;363 West 46th Street;New York, NY, 10036;;;;
The Place on West 10th;Greenwich Village;142 W 10th St;New York;NY;American;$$$;;The Place on West 10th (CLOSED);142 West 10th Street;New York, NY, 10014;;;;
Tia Pol;Chelsea;205 Tenth Ave;New York;NY;Spanish;$$;;Tia Pol20;5 10th Ave-;;;;;
Trattoria Dell'Arte;Midtown West;900 Seventh Ave;New York;NY;Italian;$$$;;Trattoria Dellarte;900 7th Ave;New York;;;;
Tribeca Grill;TriBeCa;375 Greenwich St;New York;NY;American;$$$;;Tribeca Grill Reservations;375 Greenwich St;New York;;;;
Tuscan Square;Midtown West;16 W 51st St;New York;NY;Italian;$$$;;Tuscan Square (CLOSED);16 West 51st Street;New York, NY, 10020;;;;
Uncle Jack's Steakhouse-Nyc;Midtown East;440 9th Avenue;New York;NY;Steakhouse;$$$;;Uncle Jack’s Steak House; 440 Ninth Ave-between 34th and 35th Sts;New York;Midtown West;Steakhouses;(212-244-0005);
Veritas;Union Square;43 E 20th St;New York;NY;American;$$$$;;Veritas43 E;20th St-;;;;;
Via Brasil;Midtown West;34 W 46 St;New York;NY;South American;$$;;Via Brasil Inc;34 W 46th St;New York;;;;
Vincent's Restaurant;Little Italy;119 Mott St;New York;NY;Italian;$$;;Vincents Clam Bar;119 Mott St;New York;;;;
Westville;West Village;210 W 10th St;New York;NY;American;$;;Westville East; 173 Ave A-at 11th St;New York;East Village;American;(212-677-2033);
Wildwood BBQ;Gramercy Park;225 Park Avenue South;New York;NY;Barbecue;$$$;;Wildwood Barbeque; 225 Park Ave South-between 18th and 19th Sts;New York;Gramercy/Flatiron;Barbeque;(212-533-2500);
Wo Hop Restaurant;;17 Mott St;New York;NY;;;;Wo On Restaurant Inc;16 Mott St;New York;;;;
Wollensky's Grill;Midtown East;205 East 49th Street;New York;NY;American;$$$;;Wollenskys Grill;201 E 49th St;New York;;;;
Yama;Midtown East;38-40 Carmine St;New York;NY;Sushi;$$;;Yama 49; 308 E 49th St-at Second Ave;New York;Midtown East;Japanese;(212-355-3370);
Zona Rosa;;40 W 56th St;New York;NY;;;;Zona Rosa (CLOSED);40 W 56th St -;New York;;;;
A Salt & Battery;West Village;;;;;;;A Salt & Battery (CLOSED); 80 Second Ave-between 4th and 5th Sts;New York;East Village;British & Irish;(212-254-6610);
A Salt & Battery;W. Village;;;;;;;A Salt & Battery (CLOSED); 80 Second Ave-between 4th and 5th Sts;New York;East Village;British & Irish;(212-254-6610);
