restaurant;neighborhood;address;addressGoogle;country;country_code;type;cost;type_r
Akdeniz;Midtown West;19 W 46th St;19 W 46th St;New York;NY;Mediterranean;$;
Aki;Greenwich Village;181 W Fourth St;181 West 4th Street;New York;NY;Caribbean;$$$;
Al Bustan Restaurant;Midtown East;827 Third Ave;827 3rd Ave;New York;NY;Middle Eastern;$$$;
Alexandra;West Village;455 Hudson St;455 Hudson St;New York;NY;American;$$;
Alfama;Greenwich Village;551 Hudson St;551 Hudson St;New York;NY;Portuguese;$$;
Alfredo Of Rome;;4 W 49th St;4 W 49th St;New York;NY;;;
Ali Baba;Murray Hill;206 E 34th St;206 E 34th St;New York;NY;Turkish;$;
Alias;Lower East Side;76 Clinton St;76 Clinton St;New York;NY;American;$$$;
Alice's Tea Cup;Upper West Side;102 West. 73 st;102 W 73rd St;New York;NY;American;$;
Allegretti;Flatiron;46 West 22nd St;46 W 22nd St;New York;NY;French;$$$$;
Allen & Delancey;Lower East Side;115 Allen St;115 Allen St;New York;NY;American;$$$;
Almond;Flatiron;12 E 22nd Street;12 E 22nd St;New York;NY;French;$$$$$;
Alonso's Steakhouse;Chelsea;265 West 20th St;265 W 20th St;New York;NY;Steakhouse;$$$;
Alouette;Upper West Side;2588 Broadway;2588 Broadway;New York;NY;French;$$$;
Alta;Greenwich Village;64 West 10th Street;64 W 10th St;New York;NY;Mediterranean;$$$;
Alto;Midtown East;520 Madison Ave;520 Madison Ave;New York;NY;Italian;$$$$$;
Amalia;Midtown West;;;New York;NY;Mediterranean;$$$$;
Amaranth;;21 E. 62nd St.;21 E 62nd St;New York;NY;Mediterranean;$$$;
Amazing 66;Chinatown;66 Mott Street;66 Mott St;New York;NY;Chinese;$$;
Ambassador Grill and Lounge;Midtown East;1 United Nations Plaza;1 United Nations Plaza;New York;NY;International;$$$;
Amber;;1406 Third Ave.;1406 3rd Ave;New York;NY;Pan-Asian;$$;
Amma;Midtown East;246 E 51st St;246 E 51st St;New York;NY;Indian;$$$$;
Ammos Estiatorio;Midtown East;52 Vanderbilt Ave;52 Vanderbilt Ave;New York;NY;Greek;$$$;
Amy Ruth's;Harlem;113 W 116th St;113 W 116th St;New York;NY;Southern;$;
Amy's Bread;Midtown West;75 Ninth Ave;75 9th Ave;New York;NY;American;$;
Angelica Kitchen;East Village;300 E 12th St;300 E 12th St;New York;NY;Vegetarian;$;
Angelo & Maxies Steakhouse;Midtown West;233 Park Ave South (19th St);233 Park Ave S;New York;NY;Steakhouse;$$$;
Angelo's Of Mulberry Street;Little Italy;146 Mulberry St Fl 1;146 Mulberry St Fl 1;New York;NY;Italian;$$$;
Annisa;Greenwich Village;13 Barrow Street;13 Barrow St;New York;NY;American;$$$$$;
Anthos;Midtown West;36 W 52nd St;36 W 52nd St;New York;NY;Mediterranean;$$$$;
Apiary;East Village;60 Third Ave.;60 3rd Ave;New York;NY;American;$$$$;
Apizz;Lower East Side;217 Eldridge St;217 Eldridge St;New York;NY;Italian;$$$;
Aq Cafe;Murray Hill;58 Park Ave;58 Park Ave;New York;NY;Scandinavian;$;
Aquagrill;SOHO;210 Spring St;210 Spring St;New York;NY;Seafood;$$$$;
Aquavit;Midtown West;65 East 55th Street;65 E 55th St;New York;NY;Scandinavian;$$$$;
Arezzo;Flatiron;46 W 22nd St;46 W 22nd St;New York;NY;Italian;$$$;
Aroma;NoLita;36 E Fourth St;36 E 4th St;New York;NY;Italian;$$;
Arqua;TriBeCa;281 Church Street;281 Church St;New York;NY;Italian;$$$;
Arriba Arriba!;Upper East Side;1463 Third Ave;1463 3rd Ave;New York;NY;American;$;
Artichoke;East Village;328 E 14th St;328 E 14th St;New York;NY;Pizza;$$;
Artie's Deli;;2290 Broadway;2290 Broadway;New York;NY;;;
Artisanal;Lower East Side;2 Park Avenue;2 Park Ave;New York;NY;French;$$$;
Arturo's Restaurants;Greenwich Village;106 W Houston St;106 W Houston St;New York;NY;Italian;$;
Asia De Cuba;Murray Hill;237 Madison Ave;237 Madison Ave;New York;NY;Asian;$$$$;
Asiakan;Upper West Side;710 Amsterdam Ave.;710 Amsterdam Ave;New York;NY;Pan-Asian;$;
Asiate;Upper West Side;80 Columbus Cir at 60th Street;80 Columbus Cir;New York;NY;French;$$$$;
Aspen;;30 W 22nd St;30 W 22nd St;New York;NY;;;
Aspen Social Club;Midtown West;157 W 47th St;157 W 47th St;New York;NY;American;$$$$;
Atlantic Grill;Upper East Side;1341 Third Ave;1341 3rd Ave;New York;NY;Seafood;$$$;
Atnhos;;36 W. 52nd Street;36 W 52nd St;New York;NY;Greek;$$$$;
Au Mandarin;Financial District;200-250 Vesey St;200 Vesey St;New York;NY;Chinese;$$;
August;West Village;359 Bleecker St;359 Bleecker St;New York;NY;European;$$$;
Aureole;Midtown East;34 E 61st St (Between Park and Madison);34 E 61st St (Between Park and Madison);New York;NY;American;$$$$$;
Aurora;SOHO;51 Broome St.;51 Broome St;New York;NY;Italian;$$;
Avra Estiatorio;Midtown East;141 E 48th St;141 E 48th St;New York;NY;Greek;$$$$;
Awash;;947 Amsterdam Ave.;947 Amsterdam Ave;New York;NY;Ethiopian;;
Azafran;TriBeCa;77 Warren St;77 Warren St;New York;NY;Spanish;$$$;
Azucar;Midtown West;939 Eighth Avenue;939 8th Ave;New York;NY;Cuban;$$;
Azuri Cafe;Midtown West;465 W 51st St;465 W 51st St;New York;NY;Jewish;$;
Azza;Midtown East;137 E. 55th Street;137 E 55th St;New York;NY;Moroccan;$$$$;
B. Smith's Restaurant Row;Midtown West;320 West 46th St;320 W 46th St;New York;NY;Southern;$$$;
BLT Fish;Flatiron;21 W 17th St;21 W 17th St;New York;NY;Seafood;$$;
BLT Prime;Gramercy Park;111 East 22nd Street;111 E 22nd St;New York;NY;American;$$$$;
BLT Steak;Midtown East;106 E 57th St;106 E 57th St;New York;NY;Steakhouse;$$$$$;
Babbo;Greenwich Village;110 Waverly Pl;110 Waverly Pl;New York;NY;Italian;$$$$;
Baldoria;Midtown West;249 West 49th Street;249 W 49th St;New York;NY;Italian;$$$$;
Bali Nusa Indah Restaurant Inc;;651 9th Ave;651 9th Ave;New York;NY;Indonesian;;
Balthazar;SOHO;80 Spring Street;80 Spring St;New York;NY;French;$$$;
Banjara;East Village;97 First Ave;97 1st Avenue;New York;NY;Indian;$$;
Bann;Theater;350 W 50th St;350 W 50th St;New York;NY;Korean;$$$;
Bao 111;East Village;111 Ave C;111 Loisaida Ave;New York;NY;Asian;$$;
Bar Americain;Midtown West;152 W 52nd St;152 W 52nd St;New York;NY;American;$$$$;
Bar Boa;Upper West Side;100 W 82nd Street;100 W 82nd St;New York;NY;Vietnamese;$$$$;
Bar Jamon;NY;52 Irving Pl.;52 Irving Pl;New York;NY;Spanish;$$$;
Bar Martignetti;;406 Broome St.;406 Broome St;New York;NY;;;
Bar Pitti;Greenwich Village;268 Sixth Avenue;268 6th Ave;New York;NY;Italian;$$;
Baraonda;;1439 Second Avenue;1439 2nd Ave;New York;NY;;;
Barbetta;Midtown East;321 W 46th Street;321 W 46th St;New York;NY;Italian;$$$;
Barbounia;Flatiron;250 Park Ave South;250 Park Ave S;New York;NY;Mediterranean;$$$$;
Barmarche;NoLita;14 Spring St;14 Spring St;New York;NY;American;$$;
Barney Greengrass;Upper West Side;541 Amsterdam Ave;541 Amsterdam Ave;New York;NY;Deli;$;
Barolo;SOHO;398 West Broadway;398 W Broadway;New York;NY;Italian;$$$;
Basta Pasta;Flatiron;37 W 17th St;37 W 17th St;New York;NY;Italian;$$;
Battery Gardens;Financial District;Inside Battery Parkacross From 17 State St;17 State St;New York;NY;American;$$$;
Bay Leaf;Midtown West;49 W 56th Street;49 W 56th St;New York;NY;Indian;$$;
Bb Sandwich Bar;West Village;120 W Third St;120 W 3rd St;New York;NY;American;$;
Beacon;Midtown West;25 West 56th St (Between 5th & 6th Avenues);25 W 56th St;New York;NY;American;$$$$;
Becco;Midtown West;355 W 46th St;355 W 46th St;New York;NY;Italian;$$$;
Bellavitae;Greenwich Village;21 Minetta Ln;21 Minetta Ln;New York;NY;Italian;$$$;
Bello;;863 Ninth Ave;863 9th Ave;New York;NY;;;
Bello Sguardo;Upper West Side;410 Amsterdam Ave;410 Amsterdam Ave;New York;NY;Mediterranean;$$;
Ben & Jack's Steak House;Midtown East;219 E 44th St;219 E 44th St;New York;NY;Steakhouse;$$$$;
Ben's Kosher Deli;Midtown West;209 West 38th Street;209 W 38th St;New York;NY;Deli;$;
Beppe;Flatiron;45 E 22nd St;45 E 22nd St;New York;NY;Italian;$$$;
Bette;Chelsea;461 W 23rd St;461 W 23rd St;New York;NY;European;$$$;
Bettola;Upper West Side;412 Amsterdam Ave;412 Amsterdam Ave;New York;NY;Italian;$$;
Beyoglu;Upper East Side;1431 Third Avenue;1431 3rd Ave;New York;NY;Mediterranean;$$;
Bianca;NoLita;5 Bleecker St;5 Bleecker St;New York;NY;Italian;$$;
Big Nick's Burger Joint;Upper West Side;2175 Broadway;2175 Broadway;New York;NY;American;$;
Big Wong;;67 Mott St;67 Mott St;New York;NY;;;
Bistro Cassis;Upper West Side;225 Columbus Ave;225 Columbus Ave;New York;NY;French;$$;
Bistro Citron;;473 Columbus Ave.;473 Columbus Ave;New York;NY;;;
Bistro Les Amis;SOHO;180 Spring St/Thompson;180 Spring St;New York;NY;French;$$;
Bistro Ten 18;Upper West Side;1018 Amsterdam Ave;1018 Amsterdam Ave;New York;NY;American;$$;
Black Iron Burger Shop;East Village;540 E 5th St;540 E 5th St;New York;NY;American;$$$;
Black Pearl;Chelsea;37 W. 26th Street;37 W 26th St;New York;NY;Seafood;$$;
Blaue Gans;TriBeCa;139 Duane Street;139 Duane St;New York;NY;German;$$$;
Blockheads Mexican Diner;Midtown West;954 Second Ave;954 2nd Ave;New York;NY;Mexican;$;
Bloomingdale Road;;2398 Broadway;2398 Broadway;New York;NY;American;$$$;
Blossom;;187 Ninth Ave.;187 9th Ave;New York;NY;Vegetarian;$$;
Blue 9 Burger;East Village;92 3rd Ave;92 3rd Ave;New York;NY;American;$;
Blue Fin;Midtown West;1567 Broadway at 47th;1567 Broadway;New York;NY;Seafood;$$$;
Blue Hill;Greenwich Village;75 Washington Place;75 Washington Pl;New York;NY;American;$$$$;
Blue Ribbon;SOHO;97 Sullivan Street;97 Sullivan St;New York;NY;American;$$$;
Blue Ribbon Bakery;Greenwich Village;33 Downing Street;33 Downing St;New York;NY;American;$$;
Blue Ribbon Sushi;SOHO;119 Sullivan St;119 Sullivan St;New York;NY;Sushi;$$$;
Blue Smoke;Gramercy Park;116 E 27th St;116 E 27th St;New York;NY;Barbecue;$$;
Blue Water Grill;Union Square;31 Union Square West;31 Union Square W;New York;NY;Seafood;$$$;
Bluechili;Midtown West;251 W 51st St;251 W 51st St;New York;NY;Asian;$$;
Bobby Van's Grill - 50th Street;Midtown West;135 W 50th St;135 W 50th St;New York;NY;Italian;$$$;
Bobby Van's Steakhouse-54th Street;Midtown East;131 E 54th Street;131 E 54th St;New York;NY;Steakhouse;$$$;
Bobby Van's Steakhouse-Park Avenue;Midtown East;230 Park Avenue;230 Park Ave;New York;NY;Steakhouse;$$$;
Bobo;Greenwich Village;181 W. 10th St.;181 W 10th St;New York;NY;European;$$$$;
Boca Chica;East Village;13 First Avenue;13 1st Avenue;New York;NY;South American;$;
Boi;Midtown East;246 East 44th Street;246 E 44th St;New York;NY;Vietnamese;$$;
Boi To Go;Midtown East;800 Second Ave;800 2nd Ave;New York;NY;Vietnamese;$$;
Bolo;Flatiron;23 E 22nd St;23 E 22nd St;New York;NY;Spanish;$$$$;
Bombay Grill;;344 Lexington Ave;344 Lexington Ave;New York;NY;Indian;$$;
Bombay Palace;Midtown West;30 W 52nd St;30 W 52nd St;New York;NY;Indian;$$;
Bombay Talkie;Chelsea;189 Ninth Ave;189 9th Ave;New York;NY;Indian;$$;
Bond 45;Midtown West;154 W 45th St;154 W 45th St;New York;NY;Italian;$$$;
Bondi Road;;153 Rivington St.;153 Rivington St;New York;NY;Australian;$$;
Bondst;TriBeCa;6 Bond Street;6 Bond St;New York;NY;Japanese;$$$$;
Boom;SOHO;152 Spring Street;152 Spring St;New York;NY;Italian;$$;
Boqueria;;53 W. 19th St.;53 W 19th St;New York;NY;Spanish;$$$;
Borgo Antico;East Village;22 E 13th St;22 E 13th St;New York;NY;Italian;$$$;
Bottino;Chelsea;246 10th Ave;246 10th Ave;New York;NY;Italian;$$$;
Bouley;TriBeCa;120 West Broadway;120 W Broadway;New York;NY;French;$$$$$;
Bourbon Street Bar & Grille;;346 W 46th Street;346 W 46th St;New York;NY;Creole-Cajun;$$$$;
Brasserie;Midtown East;100 East 53rd St;100 E 53rd St;New York;NY;French;$$$;
Brasserie 8 1/2;Midtown West;9 W 57th St;East River Realty Company;New York;NY;French;$$$$;
Brasserie Julien;Upper East Side;1422 3rd Ave (Between 80th & 81st Streets);1420-1422 3rd Ave;New York;NY;French;$$;
Bread;NoLita;20 Spring St;20 Spring St;New York;NY;American;$$;
Bricco Ristorante;;304 W 56th St;304 W 56th St;New York;NY;;;
Brick Lane Curry;East Village;342 East 6th St;342 E 6th St;New York;NY;Indian;$;
Bridge Cafe;Financial District;279 Water St;279 Water St;New York;NY;American;$$$;
Bright Food Shop;Chelsea;218 Eighth Ave;218 8th Ave;New York;NY;Asian;$;
Broadway East;Lower East Side;171 East Broadway;171 E Broadway;New York;NY;American;$$$;
Broadway Joe Steakhouse;Theater;315 West 46th Street;315 W 46th St;New York;NY;Steakhouse;$$$;
Brother Jimmy's Bbq;Midtown East;1461 1st Ave;1461 1st Avenue;New York;NY;Southern;$;
Bubba Gump Shrimp Co.;Midtown West;1501 Broadway;1501 Broadway;New York;NY;American;$;
Bubble Loung;TriBeCa;228 W Broadway;228 W Broadway;New York;NY;Small Plates;$$$;
Bubby's;TriBeCa;120 Hudson St;120 Hudson St;New York;NY;American;$;
Buddakan;Chelsea;75 Ninth Ave;75 9th Ave;New York;NY;Fusion;$$$$;
Buddha BBeeQ;Upper East Side;1750 Second Ave.;1750 2nd Ave;New York;NY;Korean;$;
Buddha Bar;Meatpacking District;25 Little West 12th Street;25 Little W 12th St;New York;NY;Asian;$$$$;
Buenos Aires;East Village;513 E Sixth St;513 E 6th St;New York;NY;Argentinean;$$;
Bukhara Grill;Midtown East;217 E 49th St;217 E 49th St;New York;NY;Indian;$$;
Bull Run;Financial District;52 William St;52 William St;New York;NY;American;$$$;
Burger Joint;Gramercy Park;190 Bleecker St;190 Bleecker St;New York;NY;American;$;
Burritoville;Midtown West;352 W 39th St;352 W 39th St;New York;NY;Southwestern;$;
Butai;Gramercy Park;115 E 18th St;115 E 18th St;New York;NY;Japanese;$$$;
Butter;East Village;415 Lafayette St;415 Lafayette St;New York;NY;American;$$$;
Cabana;Upper East Side;89 S St Pier 17 Pavilion;89 South St;New York;NY;Nuevo Latino;$$;
Cabrito;;50 Carmine St.;50 Carmine St;New York;NY;Fusion;;
Cafe Asean;;117 West 10th Street;117 W 10th St;New York;NY;;;
Cafe Blossom;;466 Columbus Ave;466 Columbus Ave;New York;NY;;;
Cafe Centro;Midtown East;200 Park Ave;MetLife Building;New York;NY;Mediterranean;$$$;
Cafe Con Leche;Upper West Side;726 Amsterdam Ave;726 Amsterdam Ave;New York;NY;Cuban;$;
Cafe De Bruxelles;West Village;118 Greenwich Ave;118 Greenwich Ave;New York;NY;Belgian;$$;
Cafe Des Artistes;Upper West Side;1 W 67th Street;1 W 67th St;New York;NY;French;$$$;
Cafe Du Soleil;Upper West Side;2723 Broadway;2723 Broadway;New York;NY;French;$$$;
Cafe Espanol;Greenwich Village;172 Bleecker Street;172 Bleecker St;New York;NY;American;$;
Cafe Frida;Upper West Side;368 Columbus Ave;368 Columbus Ave;New York;NY;Mexican;$$;
Cafe Gitane;NoLita;242 Mott St;242 Mott St;New York;NY;French;$;
Cafe Gray;Upper West Side;10 Columbus Circle, 3rd Fl;10 Columbus Cir 3rd Fl;New York;NY;French;$$$$$;
Cafe Habana;NoLita;229 Elizabeth St;229 Elizabeth St;New York;NY;Cuban;$;
Cafe Joul;Midtown East;1070 First Avenue;1070 1st Avenue;New York;NY;French;$$;
Cafe Lalo;Upper West Side;201 W 83rd St;201 W 83rd St;New York;NY;American;$;
Cafe Loup;Greenwich Village;105 W 13th St;105 W 13th St;New York;NY;French;$$$;
Cafe Mogador;East Village;101 St Marks Pl;101 St Marks Pl;New York;NY;Moroccan;$;
Cafe Ronda;Upper West Side;249-251 Columbus Ave;249 Columbus Ave;New York;NY;Mediterranean;$$;
Cafe Rustico East;Midtown East;230 East 29th St.;230 E 29th St;New York;NY;Italian;$$$;
Cafe Select;;212 Lafayette Street;212 Lafayette St;New York;NY;International;$$$;
Cafe Spice;;72 University Pl;72 University Pl;New York;NY;;;
Cafe St. Barts;Upper East Side;Park Avenue @ 50th St.;Park Ave & E 50th St;New York;NY;American;$$$;
Cafe Un Deux Trois;Midtown West;123 W 44th St;123 W 44th St;New York;NY;French;$$$;
Cafeteria;Chelsea;119 Seventh Avenue;119 7th Ave;New York;NY;American;$;
Caffe Falai;SOHO;68 Clinton St.;68 Clinton St;New York;NY;Italian;$$;
Café Boulud;Upper East Side;20 East 76th St;20 E 76th St;New York;NY;French;$$$$;
Café Sabarsky;Upper East Side;1048 Fifth Ave;1048 5th Ave;New York;NY;Austrian;$$;
Calle Ocho;Upper West Side;446 Columbus Avenue;446 Columbus Ave;New York;NY;Cuban;$$;
Camaje;Greenwich Village;85 Macdougal St;85 MacDougal St;New York;NY;American;$$;
Camino Sur;Midtown West;336 W 37th St;336 W 37th St;New York;NY;South American;$$$;
Campagnola;Upper East Side;1382 First Ave;1382 1st Avenue;New York;NY;Italian;$$$$;
Candela;East Village;Candela, 92 Second Avenue;92 2nd Ave;New York;NY;Cuban;$$;
Candle 79;Upper East Side;154 E 79 St;154 E 79th St;New York;NY;Vegetarian;$$;
Canyon Road;Upper East Side;1470 First Avenue;1470 1st Avenue;New York;NY;Southwestern;$$;
Capital Grille;Midtown East;155 E 42nd St;155 E 42nd St;New York;NY;Steakhouse;$$$$;
Caracas Arepa Bar;East Village;91 East 7th St;91 E 7th St;New York;NY;South American;$;
Carmine's;Midtown West;2450 Broadway;2450 Broadway;New York;NY;Italian;$$;
Carnegie Deli;Midtown West;854 7th Ave;854 7th Ave;New York;NY;Deli;$;
Casa;West Village;72 Bedford St;72 Bedford St;New York;NY;South American;$$;
Casa La Femme North;Midtown East;1076 First Ave;1076 1st Avenue;New York;NY;African;$$$;
Casa Mono;Gramercy Park;125 East 17th;125 E 17th St;New York;NY;Spanish;$$$;
Casimir;East Village;103-105 Ave B;103 Avenue B;New York;NY;French;$$;
Caterina's;Midtown East;316 East 53rd Street;316 E 53rd St;New York;NY;Hungarian;$$$;
Celeste;Upper West Side;502 Amsterdam Ave;502 Amsterdam Ave;New York;NY;Italian;$$;
Cellini Restaurant;Midtown East;65 E 54th St;65 E 54th St;New York;NY;Italian;$$$;
Cendrillon;SOHO;45 Mercer St;45 Mercer St;New York;NY;Southeast Asian;$$;
Central Park Boathouse;;Enter on E 72nd St;Enter on E 72nd St;New York;NY;;;
Cercle Rouge;TriBeCa;241 W Broadway;241 W Broadway;New York;NY;American;$$$;
Chanterelle;TriBeCa;2 Harrison St;2 Harrison St;New York;NY;French;$$$$$;
Charlie Palmer's Metrazur;Midtown East;East Balcony #4, 404 Grand Central Terminal, 42nd Street;89 E 42nd St;New York;NY;American;$$$;
Chemist Club Grill;Midtown East;Dylan Hotel;52 E 41st St;New York;NY;American;$$$;
Chennai Garden;Gramercy Park;129 E 27 St;129 E 27th St;New York;NY;Indian;$;
Chez Jacqueline;Greenwich Village;72 Macdougal St;72 MacDougal St;New York;NY;French;$$$;
Chikalicious Dessert Bar;East Village;203 E 10th St;203 E 10th St;New York;NY;American;$;
Chimichurri Grill;Midtown West;606 9th Avenue;606 9th Ave;New York;NY;South American;$$$;
Chin Chin;Midtown East;216 E 49th St;216 E 49th St;New York;NY;Chinese;$$$;
China Grill;Midtown West;60 W 53rd St;60 W 53rd St;New York;NY;Asian;$$$$;
China de Puebla;Harlem;3143 Broadway;3143 Broadway;New York;NY;Asian;;
Chinatown Brasserie;NoLita;380 Lafayette St;380 Lafayette St;New York;NY;Chinese;$$$;
Chino's;Gramercy Park;173 Third Ave;173 3rd Ave;New York;NY;Asian;$;
Chipotle;Financial District;100 Maiden Ln.;100 Maiden Ln;New York;NY;Mexican;$;
Chiyono;;328 E. Sixth St.;328 E 6th St;New York;NY;Japanese;$$;
Cho Dang Gol;Midtown West;55 W 35th St;55 W 35th St;New York;NY;Korean;$;
Chocolate Bar;Greenwich Village;48 8th Ave;48 8th Ave;New York;NY;Dessert;$$$;
Chola;Midtown East;232 E 58th St;232 E 58th St;New York;NY;Indian;$$;
Choshi Restaurant;Greenwich Village;77 Irving Pl;77 Irving Pl;New York;NY;Japanese;$$;
Chow Bar;West Village;230 W Fourth St;230 West 4th Street;New York;NY;Asian;$$;
Cibo;Midtown East;767 Second Avenue;767 2nd Ave;New York;NY;American;$$$;
Cinema Cafe On 34th;;505 3rd Ave;505 3rd Ave;New York;NY;;;
Circus;Upper East Side;132 E 61st St;132 E 61st St;New York;NY;South American;$$$;
City Bakery;Flatiron;3 W 18th St;3 W 18th St;New York;NY;American;$;
City Burger;Midtown West;1410 Broadway;1410 Broadway;New York;NY;American;$$;
City Crab & Seafood;Lower East Side;235 Park Ave S;235 Park Ave S;New York;NY;Seafood;$$$;
City Hall;TriBeCa;131 Duane St;131 Duane St;New York;NY;Seafood;$$$;
Coffee Shop;Union Square;29 Union Square West;29 Union Square W;New York;NY;American;$;
Colors;East Village;417 Lafayette St;417 Lafayette St;New York;NY;International;$$$;
Columbus Bakery;;474 Columbus Ave;474 Columbus Ave;New York;NY;;;
Comfort Diner;Midtown East;25 W 23rd St;25 W 23rd St;New York;NY;American;$;
Compass;Upper West Side;208 W 70th Street;208 W 70th St;New York;NY;American;$$$;
Convivio;Midtown East;45 Tudor City Pl;45 Tudor City Pl;New York;NY;Italian;$$$$$;
Cookshop;Chelsea;156 10th Ave;156 10th Ave;New York;NY;American;$$$$;
Coppola's Pizzeria Restaurant;Upper West Side;206 W 79th St;206 W 79th St;New York;NY;Italian;$$;
Cornelia Street Cafe;Greenwich Village;29 Cornelia Street;29 Cornelia St;New York;NY;American;$$$;
Corner Bistro;West Village;331 W 4th St;331 West 4th Street;New York;NY;American;$;
Cosette;Murray Hill;163 E 33rd St;163 E 33rd St;New York;NY;French;$$;
Cosi;Greenwich Village;53 E. Eighth St.;53 E 8th St;New York;NY;American;$;
Counter;East Village;105 First Ave;105 1st Avenue;New York;NY;Vegetarian;$$;
Country;Gramercy Park;90 Madison Ave, 2nd Fl;90 Madison Ave 2nd Fl;New York;NY;American;$$$$;
Cowgirl;West Village;519 Hudson Street;519 Hudson St;New York;NY;Southwestern;$;
Craft;Union Square;43 E 19th St;43 E 19th St;New York;NY;American;$$$$$;
Craftbar;Flatiron;900 Broadway;900 Broadway;New York;NY;American;$$$;
Craftsteak;Chelsea;85 10th Ave;85 10th Ave;New York;NY;Steakhouse;$$$$$;
Crema Restaurante;Chelsea;111 West 17th Street;111 W 17th St;New York;NY;Mexican;$$$;
Creole;Harlem;2167 Third Ave;2167 3rd Ave;New York;NY;Creole-Cajun;$$;
Crisp;Midtown East;684 3rd Ave;684 3rd Ave;New York;NY;Middle Eastern;$$;
Crispo;West Village;240 W 14th St;240 W 14th St;New York;NY;Italian;$$$;
Crooked Knife;Murray Hill;29 E. 30th Street;29 E 30th St;New York;NY;British;$$;
Cru;Greenwich Village;24 Fifth Ave;24 5th Ave;New York;NY;Mediterranean;$$$$;
Crumbs Bake Shop;;1371 3rd Ave;1371 3rd Ave;New York;NY;;;
Cuba;Greenwich Village;222 Thompson Street;222 Thompson St;New York;NY;Cuban;$$;
Cuba Cafe;Chelsea;200 Eighth Ave;200 8th Ave;New York;NY;Cuban;$;
Cubana Cafe;Greenwich Village;110 Thompson St;110 Thompson St;New York;NY;Cuban;$;
Cube 63;Lower East Side;63 Clinton St;63 Clinton St;New York;NY;Japanese;$$;
Cucina Di Pesce;East Village;87 E 4th St;87 E 4th St;New York;NY;Italian;$;
Da Andrea;West Village;557 Hudson St;557 Hudson St;New York;NY;Italian;$$;
Da Antonio;Midtown East;157 E 55th St;157 E 55th St;New York;NY;Italian;$$$$;
Da Ciro;Murray Hill;229 Lexington Ave;229 Lexington Ave;New York;NY;Italian;$$;
Da Nico;;164 Mulberry St.;164 Mulberry St;New York;NY;Italian;$$;
Da Silvano;Greenwich Village;260 6th Avenue;260 6th Ave;New York;NY;Italian;$$$;
Da Umberto;;107 West 17th Street;107 W 17th St;New York;NY;Italian;$$$;
Dallas Bbq;Upper West Side;27 W 72nd St;27 W 72nd St;New York;NY;American;$;
Danal;East Village;90 E 10th St;90 E 10th St;New York;NY;French;$$;
Daniel;Upper East Side;60 E 65th St;60 E 65th St;New York;NY;French;$$$$$;
Danube;TriBeCa;30 Hudson St;30 Hudson St;New York;NY;Austrian;$$$$$;
David Burke at Bloomingdales;;1000 Third Avenue;1000 3rd Ave;New York;NY;American;$$$;
Davidburke & Donatella;Upper East Side;133 E 61st St;133 E 61st St;New York;NY;American;$$$$;
Dawat;Midtown East;210 E 58th St;210 E 58th St;New York;NY;Indian;$$$;
DeGrezia;Midtown East;231 E 50th St;231 E 50th St;New York;NY;Italian;$$$;
