0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r
Bluechili;Midtown West;251 W 51st St;251 W 51st St;New York;NY;Asian;$$;
Bobby Van's Grill - 50th Street;Midtown West;135 W 50th St;135 W 50th St;New York;NY;Italian;$$$;
Bobo;Greenwich Village;181 W. 10th St.;181 W 10th St;New York;NY;European;$$$$;
Bombay Grill;;344 Lexington Ave;344 Lexington Ave;New York;NY;Indian;$$;
Bombay Palace;Midtown West;30 W 52nd St;30 W 52nd St;New York;NY;Indian;$$;
Bombay Talkie;Chelsea;189 Ninth Ave;189 9th Ave;New York;NY;Indian;$$;
Bond 45;Midtown West;154 W 45th St;154 W 45th St;New York;NY;Italian;$$$;
Bondi Road;;153 Rivington St.;153 Rivington St;New York;NY;Australian;$$;
Bondst;TriBeCa;6 Bond Street;6 Bond St;New York;NY;Japanese;$$$$;
Boom;SOHO;152 Spring Street;152 Spring St;New York;NY;Italian;$$;
Boqueria;;53 W. 19th St.;53 W 19th St;New York;NY;Spanish;$$$;
Bourbon Street Bar & Grille;;346 W 46th Street;346 W 46th St;New York;NY;Creole-Cajun;$$$$;
Brasserie;Midtown East;100 East 53rd St;100 E 53rd St;New York;NY;French;$$$;
Bricco Ristorante;;304 W 56th St;304 W 56th St;New York;NY;;;
Bright Food Shop;Chelsea;218 Eighth Ave;218 8th Ave;New York;NY;Asian;$;
Broadway East;Lower East Side;171 East Broadway;171 E Broadway;New York;NY;American;$$$;
Brother Jimmy's Bbq;Midtown East;1461 1st Ave;1461 1st Avenue;New York;NY;Southern;$;
Bubba Gump Shrimp Co.;Midtown West;1501 Broadway;1501 Broadway;New York;NY;American;$;
Buddakan;Chelsea;75 Ninth Ave;75 9th Ave;New York;NY;Fusion;$$$$;
Buddha BBeeQ;Upper East Side;1750 Second Ave.;1750 2nd Ave;New York;NY;Korean;$;
Buenos Aires;East Village;513 E Sixth St;513 E 6th St;New York;NY;Argentinean;$$;
Bukhara Grill;Midtown East;217 E 49th St;217 E 49th St;New York;NY;Indian;$$;
Burger Joint;Gramercy Park;190 Bleecker St;190 Bleecker St;New York;NY;American;$;
Burritoville;Midtown West;352 W 39th St;352 W 39th St;New York;NY;Southwestern;$;
Cabana;Upper East Side;89 S St Pier 17 Pavilion;89 South St;New York;NY;Nuevo Latino;$$;
Cabrito;;50 Carmine St.;50 Carmine St;New York;NY;Fusion;;
Cafe Asean;;117 West 10th Street;117 W 10th St;New York;NY;;;
Cafe Blossom;;466 Columbus Ave;466 Columbus Ave;New York;NY;;;
Cafe Con Leche;Upper West Side;726 Amsterdam Ave;726 Amsterdam Ave;New York;NY;Cuban;$;
Cafe De Bruxelles;West Village;118 Greenwich Ave;118 Greenwich Ave;New York;NY;Belgian;$$;
Cafe Des Artistes;Upper West Side;1 W 67th Street;1 W 67th St;New York;NY;French;$$$;
Cafe Du Soleil;Upper West Side;2723 Broadway;2723 Broadway;New York;NY;French;$$$;
Cafe Espanol;Greenwich Village;172 Bleecker Street;172 Bleecker St;New York;NY;American;$;
Cafe Habana;NoLita;229 Elizabeth St;229 Elizabeth St;New York;NY;Cuban;$;
Cafe Joul;Midtown East;1070 First Avenue;1070 1st Avenue;New York;NY;French;$$;
Cafe Loup;Greenwich Village;105 W 13th St;105 W 13th St;New York;NY;French;$$$;
Cafe Mogador;East Village;101 St Marks Pl;101 St Marks Pl;New York;NY;Moroccan;$;
Cafe Rustico East;Midtown East;230 East 29th St.;230 E 29th St;New York;NY;Italian;$$$;
Cafe Select;;212 Lafayette Street;212 Lafayette St;New York;NY;International;$$$;
Cafe Spice;;72 University Pl;72 University Pl;New York;NY;;;
Cafe St. Barts;Upper East Side;Park Avenue @ 50th St.;Park Ave & E 50th St;New York;NY;American;$$$;
Cafe Un Deux Trois;Midtown West;123 W 44th St;123 W 44th St;New York;NY;French;$$$;
Cafeteria;Chelsea;119 Seventh Avenue;119 7th Ave;New York;NY;American;$;
Caffe Falai;SOHO;68 Clinton St.;68 Clinton St;New York;NY;Italian;$$;
Café Boulud;Upper East Side;20 East 76th St;20 E 76th St;New York;NY;French;$$$$;
Café Sabarsky;Upper East Side;1048 Fifth Ave;1048 5th Ave;New York;NY;Austrian;$$;
Camino Sur;Midtown West;336 W 37th St;336 W 37th St;New York;NY;South American;$$$;
Candela;East Village;Candela, 92 Second Avenue;92 2nd Ave;New York;NY;Cuban;$$;
Carmine's;Midtown West;2450 Broadway;2450 Broadway;New York;NY;Italian;$$;
Carnegie Deli;Midtown West;854 7th Ave;854 7th Ave;New York;NY;Deli;$;
Casa La Femme North;Midtown East;1076 First Ave;1076 1st Avenue;New York;NY;African;$$$;
Caterina's;Midtown East;316 East 53rd Street;316 E 53rd St;New York;NY;Hungarian;$$$;
Cendrillon;SOHO;45 Mercer St;45 Mercer St;New York;NY;Southeast Asian;$$;
Central Park Boathouse;;Enter on E 72nd St;Enter on E 72nd St;New York;NY;;;
Charlie Palmer's Metrazur;Midtown East;East Balcony #4, 404 Grand Central Terminal, 42nd Street;89 E 42nd St;New York;NY;American;$$$;
Chemist Club Grill;Midtown East;Dylan Hotel;52 E 41st St;New York;NY;American;$$$;
Chez Jacqueline;Greenwich Village;72 Macdougal St;72 MacDougal St;New York;NY;French;$$$;
Chimichurri Grill;Midtown West;606 9th Avenue;606 9th Ave;New York;NY;South American;$$$;
China de Puebla;Harlem;3143 Broadway;3143 Broadway;New York;NY;Asian;;
Chinatown Brasserie;NoLita;380 Lafayette St;380 Lafayette St;New York;NY;Chinese;$$$;
Chipotle;Financial District;100 Maiden Ln.;100 Maiden Ln;New York;NY;Mexican;$;
Chiyono;;328 E. Sixth St.;328 E 6th St;New York;NY;Japanese;$$;
Cho Dang Gol;Midtown West;55 W 35th St;55 W 35th St;New York;NY;Korean;$;
Chocolate Bar;Greenwich Village;48 8th Ave;48 8th Ave;New York;NY;Dessert;$$$;
Chola;Midtown East;232 E 58th St;232 E 58th St;New York;NY;Indian;$$;
Cibo;Midtown East;767 Second Avenue;767 2nd Ave;New York;NY;American;$$$;
Cinema Cafe On 34th;;505 3rd Ave;505 3rd Ave;New York;NY;;;
Circus;Upper East Side;132 E 61st St;132 E 61st St;New York;NY;South American;$$$;
City Burger;Midtown West;1410 Broadway;1410 Broadway;New York;NY;American;$$;
City Crab & Seafood;Lower East Side;235 Park Ave S;235 Park Ave S;New York;NY;Seafood;$$$;
Coffee Shop;Union Square;29 Union Square West;29 Union Square W;New York;NY;American;$;
Columbus Bakery;;474 Columbus Ave;474 Columbus Ave;New York;NY;;;
Comfort Diner;Midtown East;25 W 23rd St;25 W 23rd St;New York;NY;American;$;
Convivio;Midtown East;45 Tudor City Pl;45 Tudor City Pl;New York;NY;Italian;$$$$$;
Cookshop;Chelsea;156 10th Ave;156 10th Ave;New York;NY;American;$$$$;
Cornelia Street Cafe;Greenwich Village;29 Cornelia Street;29 Cornelia St;New York;NY;American;$$$;
Cosi;Greenwich Village;53 E. Eighth St.;53 E 8th St;New York;NY;American;$;
Craft;Union Square;43 E 19th St;43 E 19th St;New York;NY;American;$$$$$;
Craftsteak;Chelsea;85 10th Ave;85 10th Ave;New York;NY;Steakhouse;$$$$$;
Creole;Harlem;2167 Third Ave;2167 3rd Ave;New York;NY;Creole-Cajun;$$;
Crisp;Midtown East;684 3rd Ave;684 3rd Ave;New York;NY;Middle Eastern;$$;
Crooked Knife;Murray Hill;29 E. 30th Street;29 E 30th St;New York;NY;British;$$;
Cru;Greenwich Village;24 Fifth Ave;24 5th Ave;New York;NY;Mediterranean;$$$$;
Crumbs Bake Shop;;1371 3rd Ave;1371 3rd Ave;New York;NY;;;
Cuba;Greenwich Village;222 Thompson Street;222 Thompson St;New York;NY;Cuban;$$;
Cuba Cafe;Chelsea;200 Eighth Ave;200 8th Ave;New York;NY;Cuban;$;
Cubana Cafe;Greenwich Village;110 Thompson St;110 Thompson St;New York;NY;Cuban;$;
Cube 63;Lower East Side;63 Clinton St;63 Clinton St;New York;NY;Japanese;$$;
Cucina Di Pesce;East Village;87 E 4th St;87 E 4th St;New York;NY;Italian;$;
Da Nico;;164 Mulberry St.;164 Mulberry St;New York;NY;Italian;$$;
Da Umberto;;107 West 17th Street;107 W 17th St;New York;NY;Italian;$$$;
Dallas Bbq;Upper West Side;27 W 72nd St;27 W 72nd St;New York;NY;American;$;
Danal;East Village;90 E 10th St;90 E 10th St;New York;NY;French;$$;
David Burke at Bloomingdales;;1000 Third Avenue;1000 3rd Ave;New York;NY;American;$$$;
Davidburke & Donatella;Upper East Side;133 E 61st St;133 E 61st St;New York;NY;American;$$$$;
DeGrezia;Midtown East;231 E 50th St;231 E 50th St;New York;NY;Italian;$$$;
Del Frisco's;Midtown West;1221 Sixth Ave;1221 6th Ave;New York;NY;Steakhouse;$$$$;
Del Posto;Chelsea;85 10th Ave;85 10th Ave;New York;NY;Italian;$$$$$;
Delta Grill;Midtown West;700 Ninth Ave;700 9th Ave;New York;NY;Creole-Cajun;$$;
Demarchelier;;50 E. 86th St.;50 East 86th St;New York;NY;;;
Dervish Turkish;Midtown West;146 West 47th Street;146 W 47th St;New York;NY;Middle Eastern;$$;
Desnuda;East Village;122 E 7th St;122 E 7th St;New York;NY;Seafood;$$$;
Dim Sum Go Go;Chinatown;5 E Broadway;5 E Broadway;New York;NY;Chinese;$;
Dinosaur Bar-B-Que;Harlem;646 W 131st St;646 W 131st St;New York;NY;American;$;
Ditch Plains;;29 Bedford St.;29 Bedford St;New York;NY;;;
Diva;SOHO;341 W Broadway;341 W Broadway;New York;NY;Italian;$$$;
Do Hwa;Greenwich Village;55 Carmine St;55 Carmine St;New York;NY;Korean;$$;
Dolce Vita;;181 Grand Street;181 Grand St;New York;NY;;;
Don Pedro's;Upper East Side;1865 Second Ave;1865 2nd Ave;New York;NY;Caribbean;$$;
Dos Caminos;;825 Third Ave.;825 3rd Ave;New York;NY;Mexican;$$$;
Dos Caminos Park;Gramercy Park;373 Park Ave South;373 Park Ave S;New York;NY;Mexican;$$;
Dos Caminos Soho;SOHO;475 West Broadway;475 W Broadway;New York;NY;Mexican;$$$;
Duke's;;99 E. 19th St.;99 E 19th St;New York;NY;Barbecue;$$$;
East Of Eighth;;254 West 23rd St;254 W 23rd St;New York;NY;;;
Eatery;Midtown West;798 9th Ave;798 9th Ave;New York;NY;American;$;
Eight Mile Creek;Little Italy;240 Mulberry St;240 Mulberry St;New York;NY;Australian;$$;
El Charro Espanol;Greenwich Village;4 Charles St;4 Charles St;New York;NY;Spanish;$$$;
El Malecon;Harlem;4141 Broadway;4141 Broadway;New York;NY;Caribbean;$;
El Rio Grande;Midtown East;160 East 38th Street;160 E 38th St;New York;NY;Southwestern;$$$;
Elmo;Chelsea;156 Seventh Ave;156 7th Ave;New York;NY;American;$$;
Employees Only;West Village;510 Hudson St;510 Hudson St;New York;NY;European;$$$;
Epicerie;East Village;170 Orchard St;170 Orchard St;New York;NY;French;$$;
Epices Inc;Upper West Side;103 W 70th St;103 W 70th St;New York;NY;Mediterranean;$$;
Esca;Midtown West;402 W 43rd St;402 W 43rd St;New York;NY;Italian;$$$$;
Espn Zone;Midtown West;1472 Broadway;1472 Broadway;New York;NY;American;$;
Essex;Lower East Side;120 Essex St;120 Essex St;New York;NY;American;$;
Estancia 460;Midtown West;460 Greenwich St;460 Greenwich St;New York;NY;Argentinean;$$;
Estiatorio Milos;Midtown West;125 West 55th Street;125 W 55th St;New York;NY;Greek;$$$$;
Ethiopian Restaurant;Upper East Side;The, 1582 York Ave;1582 York Ave;New York;NY;African;$;
Eva's Health Food;;11 W. 8th Street;11 W 8th St;New York;NY;;;
F.illi Ponte;;39 Desbrosses St.;39 Desbrosses St;New York;NY;Italian;$$$$;
FR.OG;SOHO;71 Spring Street;71 Spring St;New York;NY;French;$$$;
Fat Hippo;;71 Clinto St.;71 Clinton St;New York;NY;;;
Fatty Crab;Meatpacking District;643 Hudson Street;643 Hudson St;New York;NY;Indonesian;$$;
Felidia;Midtown East;243 East 58th Street;243 E 58th St;New York;NY;Italian;$$$$;
Felix;SOHO;340 W Broadway;340 W Broadway;New York;NY;French;$$;
Fiamma Osteria;SOHO;206 Spring Street;206 Spring St;New York;NY;Italian;$$$;
Fig and Olive Downton;Meatpacking District;420 W. 13th Street;420 W 13th St;New York;NY;Mediterranean;$$$;
Film Center Cafe;Midtown West;635 9th Avenue;635 9th Ave;New York;NY;American;$$;
Fish;Greenwich Village;280 Bleecker St;280 Bleecker St;New York;NY;Seafood;$$;
Five Points;NoLita;31 Great Jones Street;31 Great Jones St;New York;NY;American;$$$;
Flor De Mayo;Upper West Side;484 Amsterdam Ave;484 Amsterdam Ave;New York;NY;Chinese;$;
Florent;Meatpacking District;69 Gansevoort St;69 Gansevoort St;New York;NY;American;$;
Forge;TriBeCa;134 Reade St;134 Reade St;New York;NY;American;$$$$;
Francisco's Centro Vasco;;159 W 23rd St;159 W 23rd St;New York;NY;;;
Frank's;Chelsea;410 W 16th St;410 W 16th St;New York;NY;Italian;$$$;
Fred's Restaurant;;476 Amsterdam Ave;476 Amsterdam Ave;New York;NY;;;
Frederick's;Midtown West;8 West 58th Street;8 W 58th St;New York;NY;Asian;$$$;
French Roast;Upper West Side;2340 Broadway;2340 Broadway;New York;NY;Breakfast;$;
Funky Diner;Upper West Side;466 Columbus Ave.;466 Columbus Ave;New York;NY;American;$;
Gammeeok Restaurant;Midtown West;43 W 32nd St;43 W 32nd St;New York;NY;Korean;$;
Garage Restaurant and Cafe;Chelsea;99 7th Avenue;99 7th Ave;New York;NY;American;$$$;
Gascogne;Chelsea;158 8th Avenue;158 8th Ave;New York;NY;French;$$$;
Gaucho Steak Co.;;752 10th Ave.;752 10th Ave;New York;NY;Argentinean;$$;
Gavroche;West Village;212 W 14th St;212 W 14th St;New York;NY;French;$$$;
Ginger;Upper East Side;1400 Fifth Ave;1400 5th Ave;New York;NY;Chinese;$;
Giorgione 508;SOHO;508 Greenwich St;508 Greenwich St;New York;NY;Continental;$$$;
Gobo;;1426 Third Ave.;1426 3rd Ave;New York;NY;Vegetarian;$$;
Golden Unicorn;;18 E Broadway;18 E Broadway;New York;NY;;;
Gonzalez Y Gonzalez;SOHO;625 Broadway;625 Broadway;New York;NY;Mexican;$$$;
Good;West Village;89 Greenwich St;89 Greenwich St;New York;NY;American;$$;
Goodies;Chinatown;1 E Broadway;1 E Broadway;New York;NY;Chinese;$;
Gramercy Tavern;Union Square;42 E 20th St;42 E 20th St;New York;NY;American;$$$$;
Gray's Papaya;Hell's Kitchen;539 8th Avenue;539 8th Ave;New York;NY;Fast Food;$;
Great Jones Cafe;NoLita;54 Great Jones St;54 Great Jones St;New York;NY;Southern;$;
Great N.Y. Noodle Town;Chinatown;28 Bowery;28 Bowery;New York;NY;Chinese;$;
Grey Dog's Coffee Ltd;Greenwich Village;33 Carmine St;33 Carmine St;New York;NY;American;$;
Grotto Azzurra;Little Italy;177 Mulberry St;177 Mulberry St;New York;NY;Italian;$$$;
Gus's Place;Greenwich Village;192 Bleecker Street;192 Bleecker St;New York;NY;Greek;$;
Gyu-Kaku;Midtown East;805 3rd Ave;805 3rd Ave;New York;NY;Japanese;$$;
Gyu-Kaku Japanese;East Village;34 Cooper Square;34 Cooper Sq;New York;NY;Japanese;$$;
HQ;;90 Thompson St;90 Thompson St;New York;NY;;;
Hallo Berlin;;626 10th Ave.;626 10th Ave;New York;NY;German;$;
Hangawi;Murray Hill;12 E 32nd Street;12 E 32nd St;New York;NY;Korean;$$$;
Haru-Park Ave.;Flatiron;280 Park Ave;280 Park Ave;New York;NY;Sushi;$$;
Havana Central;Midtown West;151 W 46th Street;151 W 46th St;New York;NY;Cuban;$$;
Havana Central - Union Square;Union Square;22 E 17th St;22 E 17th St;New York;NY;Cuban;$$;
Hea;East Village;145 E. 13th St.;145 E 13th St;New York;NY;Pan-Asian;$$$;
Heartland Brewery;Midtown West;1285 Sixth Ave;1285 6th Ave;New York;NY;American;$$;
Hedeh;NoLita;57 Great Jones St;57 Great Jones St;New York;NY;Sushi;$$$;
Hell's Kitchen;Midtown West;679 Ninth Ave;679 9th Ave;New York;NY;Mexican;$$$;
Highline;Meatpacking District;835 Washington St;835 Washington St;New York;NY;Asian;$$;
Hill Country;Chelsea;30 W. 26th St.;30 W 26th St;New York;NY;Barbecue;$$;
Hispaniola;Harlem;839 W 181st St;839 W 181st St;New York;NY;Asian;$$;
Home;Greenwich Village;20 Cornelia St;20 Cornelia St;New York;NY;American;$$;
Houston's;;378 Park Ave. S.;378 Park Ave S;New York;NY;American;$$;
Hsf;Chinatown;46 Bowery;46 Bowery;New York;NY;Chinese;$;
Hudson Cafeteria;Midtown West;356 West 58th Street;356 W 58th St;New York;NY;American;$$$;
Hummus Place;;109 St. Marks Pl.;109 St Marks Pl;New York;NY;;;
Hunan Park Restaurant;;235 Columbus Ave;235 Columbus Ave;New York;NY;;;
I Sodi;Greenwich Village;105 Christopher St;105 Christopher St;New York;NY;Italian;$$$;
I Tre Merli;SOHO;463 W Broadway;463 W Broadway;New York;NY;Italian;$$$;
I Trulli;Gramercy Park;122 E 27th St;122 E 27th St;New York;NY;Italian;$$$;
Icon;Midtown East;130 E 39th Street;130 E 39th St;New York;NY;American;$$$;
Ideya;SOHO;349 W Broadway;349 W Broadway;New York;NY;Caribbean;$$;
Iguana;;240 W 54th St;240 W 54th St;New York;NY;;;
Il Buco;NoLita;47 Bond St;47 Bond St;New York;NY;Italian;$$$;
Il Cantinori;Greenwich Village;32 East 10th St;32 E 10th St;New York;NY;Italian;$$$$;
Il Gattopardo;Midtown West;33 W 54th St;33 W 54th St;New York;NY;Italian;$$$;
Il Mulino;Greenwich Village;86 W 3rd St;86 W 3rd St;New York;NY;Italian;$$$$;
Il Valentino;Midtown East;330 East 56th Street;330 E 56th St;New York;NY;Italian;$$$;
Inagiku;Midtown East;111 East 49th Street;111 E 49th St;New York;NY;Sushi;$$$$;
Indus Valley;Upper West Side;2636 Broadway;2636 Broadway;New York;NY;Indian;$$;
Industria Argentina;;329 Greenwich St.;329 Greenwich St;New York;NY;Argentinean;$$$;
Inn LW12;Meatpacking District;7 Ninth Avenue;7 9th Ave;New York;NY;British;$$$;
Insieme;Midtown West;777 Seventh Avenue;777 7th Ave;New York;NY;Italian;$$$$;
Island Burgers & Shakes;Midtown West;766 9th Ave;766 9th Ave;New York;NY;American;$;
Ivo & Lulu;SOHO;558 Broome St;558 Broome St;New York;NY;Caribbean;$;
Jacks Bar and Restaurant;Theater;147West 40th Street;147 W 40th St;New York;NY;American;$$$;
Jackson Hole;;232 E 64th St;232 E 64th St;New York;NY;;;
Jacques-Imo's;Upper West Side;366 Columbus Ave;366 Columbus Ave;New York;NY;Creole-Cajun;$$;
Jaipur's;Midtown East;1007 2nd Avenue;1007 2nd Ave;New York;NY;Indian;$;
Jane;Greenwich Village;100 W Houston St;100 W Houston St;New York;NY;American;$$$;
Jekyll & Hyde Club;Greenwich Village;1409 Ave Of The Americas;1409 6th Ave;New York;NY;American;$$;
Jerry's;SOHO;101 Prince St;101 Prince St;New York;NY;American;$$;
Jezebel;Midtown West;630 Ninth Ave;630 9th Ave;New York;NY;Southern;$$$;
Joe's Pizza;Greenwich Village;7 Carmine St;7 Carmine St;New York;NY;Pizza;$;
John's Of 12th Street;East Village;302 E 12th St;302 E 12th St;New York;NY;Italian;$$;
Johnny Utah's;;25 W. 51st St.;25 W 51st St;New York;NY;;;
Joseph's Restaurant;Wall Street;St Hanover Sq;Hanover Square;New York;NY;Italian;$$$;
Kabab Factory;Murray Hill;101 Lexington Avenue;101 Lexington Ave;New York;NY;Indian;$$;
Kaijou;Financial District;21 South End Street;21 South End Ave;New York;NY;Japanese;$$;
Kampuchea;;78 Rivington St.;78 Rivington St;New York;NY;Cambodian;;
Kanoyama;East Village;175 Second Ave;175 2nd Ave;New York;NY;Sushi;$$;
Keens Steakhouse;Midtown West;72 W 36th St;72 W 36th St;New York;NY;Steakhouse;$$$;
Kellari Taverna;Midtown West;19 W 44th St;19 W 44th St;New York;NY;Greek;$$;
Kelley & Ping;SOHO;127 Greene St;127 Greene St;New York;NY;Asian;$;
Kin Khao;SOHO;171 Spring Street;171 Spring St;New York;NY;Asian;$$;
