level_0;level_1;ristorante;indirizzoOriginale;quartiere;Score;0_restaurant;0_neighborhood;0_address;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_country;1_neighborhood;1_type;1_phone;1_type_r
6622;74;1,000;1,000;1,000;3,000;Ali Baba;Midtown East;212 E 34th St btwn Second and Third Aves;;;;;;Ali Baba; 212 E 34th St-between Second and Third Aves;New York;Midtown East;Turkish;(212-683-9206);
43;13797;1,000;1,000;1,000;3,000;Amazing 66;Chinatown;66 Mott Street;New York;NY;Chinese;$$;;Amazing 66;66 Mott St.;New York;Chinatown;;;
56;119;1,000;1,000;1,000;3,000;Apizz;Lower East Side;217 Eldridge St;New York;NY;Italian;$$$;;Apizz; 217 Eldridge St-at Stanton St;New York;Lower East Side;Italian;(212-253-9199);
6636;120;1,000;1,000;1,000;3,000;Aquagrill;SoHo;210 Spring St at 6th Ave;;;;;;Aquagrill; 210 Spring St-at Sixth Ave;New York;Soho;Seafood;(212-274-0505);
62;133;1,000;1,000;1,000;3,000;Arqua;TriBeCa;281 Church Street;New York;NY;Italian;$$$;;Arqua; 281 Church St-at White St;New York;Tribeca;Italian;(212-334-1888);
6646;161;1,000;1,000;1,000;3,000;August;Greenwich Village;359 Bleecker St btwn Charles and W 10th...;;;;;;August; 359 Bleecker St-between Charles and W 10th Sts;New York;West Village;Eclectic;(212-929-4774);
6647;163;1,000;1,000;1,000;3,000;Aurora;SoHo;510 Broome St btwn Thompson St and West...;;;;;;Aurora; 510 Broome St-between Thompson St and West Broadway;New York;Soho;Italian;(212-334-9020);
93;211;1,000;1,000;1,000;3,000;Banjara;East Village;97 First Ave;New York;NY;Indian;$$;;Banjara; 97 First Ave-at 6th St;New York;East Village;Indian;(212-477-5956);
108;253;1,000;1,000;1,000;3,000;Battery Gardens;Financial District;Inside Battery Parkacross From 17 State St;New York;NY;American;$$$;;Battery Gardens;Battery Park -across from 17 State Stat Pearl St;New York;Financial District;American;(212-809-5508);
111;255;1,000;1,000;1,000;3,000;Beacon;Midtown West;25 West 56th St (Between 5th & 6th Avenues);New York;NY;American;$$$$;;Beacon; 25 W 56th St-between Fifth and Sixth Aves;New York;Midtown West;American;(212-332-0500);
121;277;1,000;1,000;1,000;3,000;Beyoglu;Upper East Side;1431 Third Avenue;New York;NY;Mediterranean;$$;;Beyoglu; 1431 Third Ave-at 81st St;New York;Upper East Side;Turkish;(212-650-0850);
128;295;1,000;1,000;1,000;3,000;Bistro Ten 18;Upper West Side;1018 Amsterdam Ave;New York;NY;American;$$;;Bistro Ten 18; 1018 Amsterdam Ave-at 110th St;New York;Upper West Side;American;(212-662-7600);
139;313;1,000;1,000;1,000;3,000;Blue Ribbon Bakery;Greenwich Village;33 Downing Street;New York;NY;American;$$;;Blue Ribbon Bakery; 33 Downing St-at Bedford St;New York;West Village;Eclectic;(212-337-0404);
148;323;1,000;1,000;1,000;3,000;Boca Chica;East Village;13 First Avenue;New York;NY;South American;$;;Boca Chica; 13 First Ave-at 1st St;New York;East Village;Latin American;(212-473-0108);
166;367;1,000;1,000;1,000;3,000;Brasserie Julien;Upper East Side;1422 3rd Ave (Between 80th & 81st Streets);New York;NY;French;$$;;Brasserie Julien; 1422 Third Ave-between 80th and 81st Sts;New York;Upper East Side;French;(212-744-6327);
212;449;1,000;1,000;1,000;3,000;Cafeteria;Chelsea;119 Seventh Avenue;New York;NY;American;$;;Cafeteria; 119 Seventh Ave-at 17th St;New York;Chelsea;American;(212-414-1717);
6772;509;1,000;1,000;1,000;3,000;Casa;Greenwich Village;72 Bedford St at Commerce St;;;;;;Casa; 72 Bedford St-at Commerce St;New York;West Village;Brazilian;(212-366-9410);
242;13841;1,000;1,000;1,000;3,000;Chikalicious Dessert Bar;East Village;203 E 10th St;New York;NY;American;$;;Chikalicious Dessert Bar;203 E 10th St.;New York;East Village;;;
6791;587;1,000;1,000;1,000;3,000;Chow Bar;Greenwich Village;230 W 4th St at 10th St;;;;;;Chow Bar; 230 W 4th St-at 10th St;New York;West Village;Asian: Pan-Asian;(212-633-2212);
260;602;1,000;1,000;1,000;3,000;City Burger;Midtown West;1410 Broadway;New York;NY;American;$$;;City Burger; 1410 Broadway-at 39th St;New York;Midtown West;American;(212-997-7770);
268;625;1,000;1,000;1,000;3,000;Convivio;Midtown East;45 Tudor City Pl;New York;NY;Italian;$$$$$;;Convivio; 45 Tudor City Pl-at 43rd St;New York;Midtown East;Italian;(212-599-5045);
272;635;1,000;1,000;1,000;3,000;Corner Bistro;West Village;331 W 4th St;New York;NY;American;$;;Corner Bistro; 331 W 4th St-at Jane St;New York;West Village;American;(212-242-9502);
6807;639;1,000;1,000;1,000;3,000;Cosette;Midtown East;163 E 33rd St btwn Lexington and Third...;;;;;;Cosette; 163 E 33rd St-between Lexington and Third Aves;New York;Midtown East;French;(212-889-5489);
277;644;1,000;1,000;1,000;3,000;Cowgirl;West Village;519 Hudson Street;New York;NY;Southwestern;$;;Cowgirl; 519 Hudson St-at 10th St;New York;West Village;American Regional;(212-633-1133);
6809;644;1,000;1,000;1,000;3,000;Cowgirl;Greenwich Village;519 Hudson St at 10th St;;;;;;Cowgirl; 519 Hudson St-at 10th St;New York;West Village;American Regional;(212-633-1133);
6812;654;1,000;1,000;1,000;3,000;Crispo;Greenwich Village;240 W 14th St btwn 7th and 8th Aves;;;;;;Crispo; 240 W 14th St-between Seventh and Eighth Aves;New York;West Village;Italian;(212-229-1818);
286;657;1,000;1,000;1,000;3,000;Cru;Greenwich Village;24 Fifth Ave;New York;NY;Mediterranean;$$$$;;Cru; 24 Fifth Ave-at 9th St;New York;Greenwich Village;American Creative;(212-529-1700);
311;717;1,000;1,000;1,000;3,000;Delta Grill;Midtown West;700 Ninth Ave;New York;NY;Creole-Cajun;$$;;Delta Grill; 700 Ninth Ave-at 48th St;New York;Midtown West;American Regional;(212-956-0934);
6832;736;1,000;1,000;1,000;3,000;Ditch Plains;Greenwich Village;29 Bedford St at Downing St;;;;;;Ditch Plains; 29 Bedford St-at Downing St;New York;West Village;Seafood;(212-633-0202);
6841;757;1,000;1,000;1,000;3,000;Dos Caminos Soho;SoHo;475 West Broadway at Houston St;;;;;;Dos Caminos Soho; 475 West Broadway-at Houston St;New York;Soho;Mexican;(212-277-4300);
347;816;1,000;1,000;1,000;3,000;Eleven Madison Park;Gramercy Park;11 Madison Ave;New York;NY;American;$$$$$;;Eleven Madison Park; 11 Madison Ave-at 24th St;New York;Gramercy/Flatiron;American Creative;(212-889-0905);
6861;829;1,000;1,000;1,000;3,000;Employees Only;Greenwich Village;510 Hudson St btwn Christopher and West...;;;;;;Employees Only; 510 Hudson St-between Christopher and W 10th Sts;New York;West Village;American Creative;(212-242-3021);
377;880;1,000;1,000;1,000;3,000;Fish;Greenwich Village;280 Bleecker St;New York;NY;Seafood;$$;;Fish; 280 Bleecker St-at Jones St;New York;West Village;Seafood;(212-727-2879);
390;919;1,000;1,000;1,000;3,000;French Roast;Upper West Side;2340 Broadway;New York;NY;Breakfast;$;;French Roast; 2340 Broadway-at 85th St;New York;Upper West Side;Cafés;(212-799-1533);
6901;976;1,000;1,000;1,000;3,000;Good;Greenwich Village;89 Greenwich Ave btwn Bank and W 12th...;;;;;;Good; 89 Greenwich Ave-between Bank and W 12th Sts;New York;West Village;American;(212-691-8080);
6923;1088;1,000;1,000;1,000;3,000;Ideya;SoHo;349 West Broadway btwn Broome and Grand...;;;;;;Ideya; 349 West Broadway-between Broome and Grand Sts;New York;Soho;Latin American;(212-625-1441);
464;1090;1,000;1,000;1,000;3,000;Il Bastardo;Chelsea;191 Seventh Ave;New York;NY;Steakhouse;$$$;;Il Bastardo; 161 Seventh Ave 21st St-;New York;Chelsea;Italian;(212-675-5980);
475;1119;1,000;1,000;1,000;3,000;Indus Valley;Upper West Side;2636 Broadway;New York;NY;Indian;$$;;Indus Valley; 2636 Broadway-at 100th St;New York;Upper West Side;Indian;(212-222-9222);
490;1156;1,000;1,000;1,000;3,000;Japonica;Greenwich Village;100 University Pl;New York;NY;Sushi;$$$;;Japonica; 100 University Pl-at 12th St;New York;Greenwich Village;Japanese;(212-243-7752);
510;1208;1,000;1,000;1,000;3,000;Kanoyama;East Village;175 Second Ave;New York;NY;Sushi;$$;;Kanoyama; 175 Second Ave-at 11th St;New York;East Village;Japanese;(212-777-5266);
551;1313;1,000;1,000;1,000;3,000;Land Thai Kitchen;Upper West Side;450 Amsterdam Ave;New York;NY;Thai;$$;;Land Thai Kitchen; 450 Amsterdam Ave-at 82nd St;New York;Upper West Side;Thai;(212-501-8121);
6972;1341;1,000;1,000;1,000;3,000;Le Monde;Upper West Side;2885 Broadway btwn 112th and 113th Sts;;;;;;Le Monde; 2885 Broadway-between 112th and 113th Sts;New York;Upper West Side;French;(212-531-3939);
573;14091;1,000;1,000;1,000;3,000;Lima's Taste;West Village;122 Christopher St;New York;NY;South American;$;;Lima's Taste;122 Christopher St-At Bedford St;New York;West Village;;(212-242-0010);Peruvian
577;13947;1,000;1,000;1,000;3,000;Little Owl;West Village;90 Bedford Street;New York;NY;American;$$$;;Little Owl;90 Bedford;New York;West Village;;;
6987;1389;1,000;1,000;1,000;3,000;Loreley;Lower East Side;7 Rivington St btwn Bowery and Chrystie...;;;;;;Loreley; 7 Rivington St-between Bowery and Chrystie St;New York;Lower East Side;German;(212-253-7077);
600;13955;1,000;1,000;1,000;3,000;Mamlouk;East Village;211 East 4th St;New York;NY;Middle Eastern;$$$;;Mamlouk;211 E. Fourth St.;New York;East Village;;;
606;1466;1,000;1,000;1,000;3,000;Mare;Chelsea;198 Eighth Ave;New York;NY;Seafood;$$;;Mare; 198 Eighth Ave-at 20th St;New York;Chelsea;Seafood;(212-675-7522);
607;13959;1,000;1,000;1,000;3,000;Maremma;West Village;228 W 10th St;New York;NY;Italian;$$$;;Maremma;228 W 10th St.;New York;West Village;;;
612;1480;1,000;1,000;1,000;3,000;Marseille;Midtown West;630 Ninth Ave;New York;NY;French;$$$;;Marseille; 630 Ninth Ave-at 44th St;New York;Midtown West;French;(212-333-3410);
624;1511;1,000;1,000;1,000;3,000;Mercadito Grove;West Village;100 Seventh Ave S;New York;NY;Mexican;$$;;Mercadito Grove; 100 Seventh Ave South-at Grove St;New York;West Village;Mexican;(212-647-0830);
7024;1511;1,000;1,000;1,000;3,000;Mercadito Grove;Greenwich Village;100 Seventh Ave So at Grove St;;;;;;Mercadito Grove; 100 Seventh Ave South-at Grove St;New York;West Village;Mexican;(212-647-0830);
648;1551;1,000;1,000;1,000;3,000;Momofuku Ko;East Village;163 First Ave;New York;NY;Chinese;$$$$;;Momofuku Ko; 163 First Ave-at 10th St;New York;East Village;Japanese;(no phone);
7059;1663;1,000;1,000;1,000;3,000;Novecento;SoHo;343 W Broadway btwn Broome and Grand Sts;;;;;;Novecento; 343 West Broadway-between Broome and Grand Sts;New York;Soho;Argentine;(212-925-4706);
698;1680;1,000;1,000;1,000;3,000;Oliva;Lower East Side;161 East Houston Street;New York;NY;American;$$;;Oliva; 161 E Houston St-at Allen St;New York;Lower East Side;Spanish;(212-228-4143);
703;1688;1,000;1,000;1,000;3,000;One;Meatpacking District;1 Little West 12th St;New York;NY;American;$$$;;One; 1 Little West 12th St-at Ninth Ave;New York;Meatpacking District;Eclectic;(212-255-9717);
708;1693;1,000;1,000;1,000;3,000;Open the Sesame;Lower East Side;198A Orchard St.;New York;NY;Thai;$;;Open the Sesame; 198A Orchard St-at Houston St;New York;Lower East Side;Thai;(212-777-7009);
7079;1748;1,000;1,000;1,000;3,000;Paris Commune;Greenwich Village;99 Bank St at Greenwich St;;;;;;Paris Commune; 99 Bank St-at Greenwich St;New York;West Village;French;(212-929-0509);
7094;1798;1,000;1,000;1,000;3,000;Petite Abeille;Greenwich Village;466 Hudson St btwn Barrow and Grove Sts;;;;;;Petite Abeille; 466 Hudson St-between Barrow and Grove Sts;New York;West Village;Belgian;(212-741-6479);
751;1802;1,000;1,000;1,000;3,000;Philip Marie;West Village;569 Hudson St;New York;NY;American;$$$;;Philip Marie; 569 Hudson St-at 11th St;New York;West Village;American;(212-242-6200);
7096;1802;1,000;1,000;1,000;3,000;Philip Marie;Greenwich Village;569 Hudson St at 11th St;;;;;;Philip Marie; 569 Hudson St-at 11th St;New York;West Village;American;(212-242-6200);
791;1889;1,000;1,000;1,000;3,000;Rainbow Room;Midtown West;30 Rockefeller Plaza65th Floor;New York;NY;Italian;$$$$;;Rainbow Room;30 Rockefeller Plaza -between 49th and 50th Sts65th floor;New York;Midtown West;Italian;(212-632-5000);
795;1905;1,000;1,000;1,000;3,000;Redeye Grill;Midtown West;890 Seventh Ave;New York;NY;American;$$$;;Redeye Grill; 890 Seventh Ave-at 56th St;New York;Midtown West;Seafood;(212-541-9000);
800;1915;1,000;1,000;1,000;3,000;Revival;Harlem;2367 Frederick Douglass Blvd;New York;NY;Caribbean;$$;;Revival; 2367 Frederick Douglass Blvd (Eighth Ave)-at 127th St;New York;Harlem;American;(212-222-8338);
7122;1932;1,000;1,000;1,000;3,000;Risotteria;Greenwich Village;270 Bleecker St at Morton St;;;;;;Risotteria; 270 Bleecker St-at Morton St;New York;West Village;Italian;(212-924-6664);
806;1938;1,000;1,000;1,000;3,000;Roberto Passon;Midtown West;741 Ninth Ave;New York;NY;Italian;$$$;;Roberto Passon; 741 Ninth Ave-at 50th St;New York;Midtown West;Italian;(212-582-5599);
811;1954;1,000;1,000;1,000;3,000;Rosa Mexicano;Upper West Side;61 Columbus Avenue;New York;NY;Mexican;$$$;;Rosa Mexicano; 61 Columbus Ave-at 62nd St;New York;Upper West Side;Mexican;(212-977-7700);
841;2029;1,000;1,000;1,000;3,000;Saucy;Upper East Side;1409 York Avenue;New York;NY;International;$$;;Saucy; 1409 York Ave-at 75th St;New York;Upper East Side;Eclectic;(212-249-3700);
7158;2064;1,000;1,000;1,000;3,000;Shaburi;Midtown East;125 E 39th St btwn Park and Lexington...;;;;;;Shaburi; 125 E 39th St-between Park and Lexington Aves;New York;Midtown East;Japanese;(212-867-6999);
859;2067;1,000;1,000;1,000;3,000;Shake Shack;Upper West Side;366 Columbus Ave;New York;NY;American;$$;;Shake Shack; 366 Columbus Ave-at 77th St;New York;Upper West Side;American;(no phone yet);
7166;2085;1,000;1,000;1,000;3,000;Shun Lee Cafe;Upper West Side;43 W 65th St btwn Central Park West and...;;;;;;Shun Lee Cafe; 43 W 65th St-between Central Park West and Columbus Ave;New York;Upper West Side;Chinese;(212-769-3888);
7167;2087;1,000;1,000;1,000;3,000;Shun Lee West;Upper West Side;43 W 65th St btwn Central Park West and...;;;;;;Shun Lee West; 43 W 65th St-between Central Park West and Columbus Ave;New York;Upper West Side;Chinese;(212-595-8895);
867;2108;1,000;1,000;1,000;3,000;Smith & Wollensky;Midtown East;797 Third Ave;New York;NY;Steakhouse;$$$;;Smith & Wollensky; 797 Third Ave-at 49th St;New York;Midtown East;Steakhouses;(212-753-1530);
882;2158;1,000;1,000;1,000;3,000;Spigolo;Upper East Side;1561 Second Ave;New York;NY;Italian;$$$;;Spigolo; 1561 Second Ave-at 81st St;New York;Upper East Side;Italian;(212-744-1100);
884;14026;1,000;1,000;1,000;3,000;Spotted Pig;West Village;The, 314 W 11th St;New York;NY;British;$$$;;Spotted Pig;314 W 11th St.;New York;West Village;;;
7209;2195;1,000;1,000;1,000;3,000;Surya;Greenwich Village;302 Bleecker St btwn Seventh Ave South...;;;;;;Surya; 302 Bleecker St-between Seventh Ave South and Grove St;New York;West Village;Indian;(212-807-7770);
909;2226;1,000;1,000;1,000;3,000;Tabla;Gramercy Park;11 Madison Ave;New York;NY;Indian;$$$$;;Tabla; 11 Madison Ave-at 25th St;New York;Gramercy/Flatiron;Indian;(212-889-0667);
7221;2236;1,000;1,000;1,000;3,000;Tailor;SoHo;525 Broome St btwn Thompson and...;;;;;;Tailor; 525 Broome St-between Thompson and Sullivan Sts;New York;Soho;Cafés & diners;(212-334-5182);
918;2256;1,000;1,000;1,000;3,000;Tartine;West Village;253 W 11th St;New York;NY;French;$;;Tartine; 253 W 11th St-at 4th St;New York;West Village;French;(212-229-2611);
7228;2256;1,000;1,000;1,000;3,000;Tartine;Greenwich Village;253 W 11th St at 4th St;;;;;;Tartine; 253 W 11th St-at 4th St;New York;West Village;French;(212-229-2611);
932;2309;1,000;1,000;1,000;3,000;The Harrison;TriBeCa;355 Greenwich St;New York;NY;American;$$$;;The Harrison; 355 Greenwich St-at Harrison St;New York;Tribeca;American;(212-274-9310);
936;2328;1,000;1,000;1,000;3,000;The New French;Greenwich Village;522 Hudson St;New York;NY;French;$$$;;The New French; 522 Hudson St-at 10th St;New York;West Village;Eclectic;(212-807-7357);
7248;2343;1,000;1,000;1,000;3,000;The Place;Greenwich Village;310 W 4th St btwn Bank and W 12th Sts;;;;;;The Place; 310 W 4th St-between Bank and W 12th Sts;New York;West Village;Mediterranean;(212-924-2711);
953;2417;1,000;1,000;1,000;3,000;Tribeca Grill;TriBeCa;375 Greenwich St;New York;NY;American;$$$;;Tribeca Grill; 375 Greenwich St-at Franklin St;New York;Tribeca;American;(212-941-3900);
7298;2534;1,000;1,000;1,000;3,000;Woo Lae Oak;SoHo;148 Mercer St btwn Prince and Houston St;;;;;;Woo Lae Oak; 148 Mercer St-between Houston and Prince Sts;New York;Soho;Korean;(212-925-8200);
1018;2580;1,000;1,000;1,000;3,000;Zeytin;Upper West Side;519 Columbus Ave;New York;NY;Turkish;$$;;Zeytin; 519 Columbus Ave-at 85th St;New York;Upper West Side;Turkish;(212-579-1145);
1020;2583;1,000;1,000;1,000;3,000;Zoma;Harlem;2084 Frederick Douglass Blvd.;New York;NY;Ethiopian;$$;;Zoma; 2084 Frederick Douglass Blvd (Eighth Ave)-at 113th St;New York;Harlem;African: Ethiopian;(212-662-0620);
6602;2;1,000;1,000;1,000;3,000;1 Dominick;SoHo;1 Dominick St at Sixth Ave;;;;;;1 Dominick; 1 Dominick St-between Sixth Ave and Varick St;New York;Soho;Italian;(212-647-0202);
6606;19;1,000;1,000;1,000;3,000;508;SoHo;508 Greenwich St at Spring St;;;;;;508; 508 Greenwich St-between Canal and Spring Sts;New York;Soho;Mediterranean;(212-219-2444);
6626;89;1,000;1,000;1,000;3,000;Ama;SoHo;48 MacDougal St btwn Houston and Prince...;;;;;;Ama; 48 MacDougal St-between Houston and Prince Sts;New York;Soho;Italian;(212-358-1707);
6633;114;1,000;1,000;1,000;3,000;Antique Garage;SoHo;41 Mercer St btwn Broome and Grand Sts;;;;;;Antique Garage; 41 Mercer St-between Broome and Grand Sts;New York;Soho;Mediterranean;(212-219-1019);
6640;128;1,000;1,000;1,000;3,000;Ariyoshi;East Village;806 Broadway btwn 11th and 12th Sts;;;;;;Ariyoshi; 806 Broadway-between 11th and 12th Sts;New York;East Village;Japanese;(212-388-1884);
6663;215;1,000;1,000;1,000;3,000;Bar 6;Greenwich Village;502 Sixth Ave btwn 12th and 13th Sts;;;;;;Bar 6; 502 Sixth Ave-between 12th and 13th Sts;New York;Greenwich Village;French;(212-691-1363);
6666;218;1,000;1,000;1,000;3,000;Bar Blanc;Greenwich Village;142 W 10th St btwn Greenwich Ave and...;;;;;;Bar Blanc; 142 W 10th St-between Greenwich Ave and Waverly Pl;New York;West Village;French;(212-255-2330);
6683;274;1,000;1,000;1,000;3,000;Better Burger;Midtown East;561 Third Ave at 37th St;;;;;;Better Burger; 561 Third Ave-at 37th St;New York;Midtown East;American;(212-949-7528);
6688;288;1,000;1,000;1,000;3,000;Biricchino;Chelsea;260 W 29th St at Eighth Ave;;;;;;Biricchino; 260 W 29th St-at Eighth Ave;New York;Chelsea;Italian;(212-695-6690);
6710;340;1,000;1,000;1,000;3,000;Bone Lick Park;Greenwich Village;75 Greenwich Ave btwn Seventh Ave South...;;;;;;Bone Lick Park; 75 Greenwich Ave-between Seventh Ave South and Bank St;New York;West Village;Barbeque;(212-647-9600);
6716;363;1,000;1,000;1,000;3,000;Brasserie 52;Midtown West;772 Ninth Ave btwn 51st and 52nd Sts;;;;;;Brasserie 52; 772 Ninth Ave-between 51st and 52nd Sts;New York;Midtown West;French;(212-586-5005);
6737;411;1,000;1,000;1,000;3,000;Butcher Bay;East Village;511 E 5th St btwn Avenues A and B;;;;;;Butcher Bay; 511E 5th St-between Aves A and B;New York;East Village;American Regional;(212-260-1333);
6815;669;1,000;1,000;1,000;3,000;Curry-Ya;East Village;214 East 10th St btwn 1st and 2nd Aves;;;;;;Curry-Ya; 214 E 10th St-between First and Second Aves;New York;East Village;Japanese;(866-602-8779);
6827;714;1,000;1,000;1,000;3,000;Delicatessen;SoHo;54 Prince St at Lafayette St;;;;;;Delicatessen; 54 Prince St-at Lafayette St;New York;Soho;Eclectic;(212-226-0211);
6830;727;1,000;1,000;1,000;3,000;Diablo Royale;Greenwich Village;189 W 10th Street btwn W 4th and...;;;;;;Diablo Royale; 189 W 10th Street-between W 4th and Bleecker;New York;West Village;Mexican;(212-620-0223);
6835;742;1,000;1,000;1,000;3,000;DoSirak;Greenwich Village;30 E 13th St btwn Fifth Ave and...;;;;;;DoSirak; 30 E 13th St-between Fifth Ave and University Pl;New York;Greenwich Village;Korean;(646-336-1685);
6842;762;1,000;1,000;1,000;3,000;Downtown Cipriani;SoHo;376 West Broadway btwn Broome and...;;;;;;Downtown Cipriani; 376 West Broadway-between Broome and Spring Sts;New York;Soho;Italian;(212-343-0999);
6846;775;1,000;1,000;1,000;3,000;EN Japanese Brasserie;Greenwich Village;435 Hudson St at Leroy St;;;;;;EN Japanese Brasserie; 435 Hudson St-at Leroy St;New York;West Village;Japanese;(212-647-9196);
6852;806;1,000;1,000;1,000;3,000;El Paso;Greenwich Village;134 W Houston St btwn MacDougal and...;;;;;;El Paso; 134 W Houston St-between MacDougal and Sullivan Sts;New York;Greenwich Village;Mexican;(212-673-0828);
6864;849;1,000;1,000;1,000;3,000;Ethos;Midtown East;495 Third Ave btwn 33rd and 34th Sts;;;;;;Ethos; 495 Third Ave-between 33rd and 34th Sts;New York;Midtown East;Greek;(212-252-1972);
6865;851;1,000;1,000;1,000;3,000;Evergreen Shanghai;Midtown East;10 E 38th St btwn Fifth and Madison Aves;;;;;;Evergreen Shanghai; 10 E 38th St-between Fifth and Madison Aves;New York;Midtown East;Chinese;(212-448-1199);
6880;886;1,000;1,000;1,000;3,000;Fives;Midtown West;700 Fifth Ave at 55th St;;;;;;Fives;Peninsula Hotel -700 Fifth Aveat 55th St;New York;Midtown East;American Creative;(212-903-3918);
