Name;Neighborhood;Address;Country;Country code;Type;Cost;Phone
154 Chelsea Deli Corp;;154 7 Av;New York;NY;;;
157 West 33 Gourmet Deli;;157 West 33rd Street;New York;NY;;;
16 Handles;East Village;153 2nd Ave.;New York;NY;;;
162 First Avenue Corporation;;162 1st Avenue;New York;NY;;;
163 First Avenue Restaurant;;163 1st Ave;New York;NY;;;
1631 Panda Kitchen Inc;;1631 2 Av;New York;NY;;;
1641 2nd Avenue Restaurant Inc;;1641 2nd Ave;New York;NY;;;
1657 Broadway Gourmet;;1657 Broadway;New York;NY;;;
168 E 116 Restaurant Corporation;;168 East 116th Street;New York;NY;;;
17 Battery Park Cafe;;17 Battery Place Floor 1;New York;NY;;;
17 Bleecker;East Village;;New York;NY;;;
17 Murray;;17 Murray Street;New York;NY;;;
17 Murray Street Restaurant;Tribeca/soho;;New York;NY;;;
180 Broadway Cafe;;180 Broadway;New York;NY;;;
181 Janlo Co;;4259 Broadway;New York;NY;;;
181st St Bakery & Deli;;808 181st St-;New York;NY;;;
1849;;183 Bleecker Street;New York;NY;;;
1978 Convenience Espress;;1978 1 Av;New York;NY;;;
1991 Small Fish;;1991 Broadway Frnt;New York;NY;;;
1994 Sss Corp;;901 Avenue Of The Americas;New York;NY;;;
19th Street Food Extravaganza;;51 W 19th St # 1;New York;NY;;;
1st Avenue Grocery & Deli;;2239 1st Avenue;New York;NY;;;
1st St Bakery & Deli;;808 181st St-;New York;NY;;;
2 Bros. Pizza;East Village;;New York;NY;;;
2 Dyckman St;;;New York;NY;;;
2 Rivers Bar and ReStaurant;;10 Murray St;New York;NY;American;;
2 Seven 7;;2 Seven 7;New York;NY;;;
2 West;;2 West Street, Ritz-Carlton Hotel;New York;NY;;;
2 West;Battery Park City;;New York;NY;;;
20 Mott St Restaurant;;20 Mott St # 1;New York;NY;;;
202 Cafe;Chelsea;;New York;NY;;;
202 at Chelsea Market;Chelsea;75 Ninth Ave-at 16th St;New York;NY;British & Irish;;(646-638-0115)
2020;;20 Warren;New York;NY;;;
2026 China King;;2026 Lexington Av;New York;NY;;;
206 East 60ST Corporation;;204 East 60th Street;New York;NY;;;
207 Grocery Store Corporation;;528 West 207th Street;New York;NY;;;
21 Club;Midtown West;21 W 52nd St;New York;NY;American;$$$;
21 Club Restaurant;;145 West 45 Street Suite 601;New York;NY;;;
211 New Taco Grill;;211 East 14;New York;NY;;;
212 Fukumatsu Restaurant;;212 East 52nd Street;New York;NY;;;
212 RESTAURANT;;133 E 65 St;New York;NY;;;
212 Restaurant & Bar;Upper East Side;;New York;NY;American Creative;;(212-249-6565)
213 Grand Street Gourmet;Chinatown;213 Grand St.;New York;NY;;;
213 Park Ave South Deli;;213 Park Ave S;New York;NY;;;
2176 Grocery & Deli;;2176 2nd Avenue;New York;NY;;;
218 Lafayette St;;;New York;NY;;;
21st Century Training Center;;541 Avenue Of The Americ;New York;NY;;;
22 West Restaurant And Lounge;Harlem;;New York;NY;;;
224 Avenue B Inc;;224 Avenue B;New York;NY;;;
2252 5 Avenue Grocery;;2252 5th Avenue;New York;NY;;;
23 Lexington Inc;;23 Lexington Avenue;New York;NY;;;
235 9 Av;;235 9 Av;New York;NY;;;
236 Columbus Farm Corporation;;236 Columbus Avenue;New York;NY;;;
238 Madison Bistro;;238 Madison Ave;New York;NY;;;
23rd St Food Plus;;67 West 23rd Street;New York;NY;;;
23rd Street Bagels;;170 West 23rd Street;New York;NY;;;
24 8;;240 Mulberry Street;New York;NY;;;
24 Deli Dot Com;;262 West 38th Street Suite #1406;New York;NY;;;
24 Prince;Chinatown/little Italy;24 Prince St-between Elizabeth and Mott Sts;New York;NY;American;;(212-226-8624)
24 Prince;Nolita;;New York;NY;;;
2413 Adam Clayton Powell Jr Grocery Inc;;2413 Adam Clayton Powell;New York;NY;;;
243 Deli Grocery;;243 Mulberry Street;New York;NY;;;
2561 Corp;;2455 Broadway;New York;NY;;;
26 Seats;E. Village;168 Ave B;New York;NY;French;$$;(212-677-4787)
26 St Deli;;132 West 26th Street;New York;NY;;;
27 De Febrero Restaurant;;1242 Saint Nicholas Avenue;New York;NY;;;
27 Standard;;116 E 27th St;New York;NY;;;
274 Columbus Corp;;274 Columbus Av;New York;NY;;;
28 Noodles;;417 3 Av;New York;NY;;;
2806 Deli & Grocery;;2806 Frederick Douglass B;New York;NY;;;
2807 Deli Grocery Corp;;2807 8 Av;New York;NY;;;
285 St Nicholas Deli;;285 St Nicholas Av;New York;NY;;;
29 St Marks Place Restaurant Inc;;29 St Marks Pl;New York;NY;;;
292 Cafe Inc;;292 5th Avenue Floor 4;New York;NY;;;
29th Street Deli;;264 5th Avenue;New York;NY;;;
2nd Ave Deli;Midtown East;;New York;NY;American;;(212-698-9000)
2nd Ave Deli RIP;;156 2nd Avenue;New York;NY;;;
2nd Avenue Deli;Murray Hill/kips Bay;;New York;NY;;;
2nd Street Cafe;Park Slope;;New York;NY;;;
3 Deli & Grill Inc;;133 East 55;New York;NY;;;
3 E;;65th St-At Lexington Ave;New York;NY;;;
3 J's Pizza;;1603 2nd Avenue;New York;NY;;;
30 Boca Corporation;;30 West 48th Street Frnt 1;New York;NY;;;
307 E 54th Street Corp;;307 E 54th St;New York;NY;;;
312 W 58stcoliseum;;312 W 58stcoliseum;New York;NY;;;
324 Bowery Food Inc;;324 Bowery;New York;NY;;;
33 E 65th St;;;New York;NY;;;
33 Gourmet Deli;;157 West 33rd Street;New York;NY;;;
33 Ristorante;Chelsea;196 Eighth Ave-at 20th St;New York;NY;Italian;;(212-242-4551)
343 Restaurant;;343 East 85;New York;NY;;;
3451 Broadway Restaurant Inc;;3451 Broadway;New York;NY;;;
35;;Lispenard St-Btwn Church St & Broadway;New York;NY;;;
35 Smoke & Grill;;35 Lispenard;New York;NY;;;
356 W 44 St Inc;;356 West 44th Street Frnt;New York;NY;;;
36 Bar & BBQ;;5 West 36th Street Frnt;New York;NY;;;
36 Bar and Barbecue;Midtown West;;New York;NY;;;
362 Deli & Pizza;;362 West Broadway;New York;NY;;;
37 Peter Corp;;9 East 37;New York;NY;;;
38th St Restaurant & Bakery;;273 W 38th St;New York;NY;;;
38th Street Restaurant and Bakery;Midtown West;;New York;NY;;;
39 Deli;;335 Lexington Av;New York;NY;;;
3C'S Restaurant;;241 Canal Street;New York;NY;;;
3Z Restaurant;;280 Broadway;New York;NY;;;
3rd Avenue Deli Grocery;;1850 3rd Avenue;New York;NY;;;
3rd Avenue Garden;;1616 3rd Avenue;New York;NY;;;
4 & X;;622 10th Ave-At 44th St;New York;NY;;;
4 Fusion;;132 West 58th Street;New York;NY;;;
4 Jays Cafe;;31 West 47;New York;NY;;;
4& X;;622 10th Ave-At 44th St;New York;NY;;;
40 Carrots;;1000 Third Avenue, Bloomingdale's 7th floor;New York;NY;;;
40 Carrots;Upper East Side;;New York;NY;;;
40 Club;;6 W 25th St-;New York;NY;;;
40 Club6 W;;25th St-;New York;NY;;;
40/40;;40 Club6 W 25th St-;New York;NY;;;
400 W 23 St Restaurant Corp;;400 W 23rd St;New York;NY;;;
41 Greenwich Avenue;West Village;;New York;NY;;;
4105 Food Plaza Inc;;4105 Broadway;New York;NY;;;
4199 Crystal Too Corp;;597 West 207;New York;NY;;;
420 Bar and Lounge;;420 Amsterdam Avenue;New York;NY;;;
42nd Green Tree Food Inc;;42 8th Avenue;New York;NY;;;
42nd Street Eatery;;234 West 42nd Street;New York;NY;;;
42nd Street Pizza Corporation;;647 West 42nd Street;New York;NY;;;
43rd Street Restaurant LLC;;800 2 Av;New York;NY;;;
44;Midtown West;44 W 44th Street;New York;NY;American;$$$;
44 & X Hell's Kitchen;Hell's Kitchen;;New York;NY;;;
44 & X Hell's Kitchen;West 40s;622 10th Ave.;New York;NY;American;;(212-977-1170)
44 1/2;Midtown West;626 Tenth Ave-between 44th and 45th Sts;New York;NY;Cafés & diners;;(212-399-4450)
44 Restaurant @ The Royalton Hotel;;44 West 44th Street;New York;NY;;;
44 South West Italian Rest;Midtown West;621 9th Ave;New York;NY;Italian;;(212-315-4582)
44 Sw Ristorante Lounge;;621 9th Avenue;New York;NY;;;
44 and X Hell's Kitchen;Midtown West;;New York;NY;American;$$$;
44 ½;;626 10th Avenue;New York;NY;;;
44&X;;622 10th Avenue;New York;NY;;;
44.5;;626 10 Av;New York;NY;;;
45 St Nicholas Food Corporation;;123 West 112th Street;New York;NY;;;
450 Park LLC;;450 Park Avenue Bsmt;New York;NY;;;
46 Grand St;;46 Grand;New York;NY;;;
46 St Bakery;;161 West 46;New York;NY;;;
48 Theater Deli;;62 West 48th Street Apt 3R;New York;NY;;;
48 West 48th Grocery Inc;;48 W 48th St;New York;NY;;;
48th Street Cafe Inc;;6 E 48th St;New York;NY;;;
4fusion (CLOSED);Midtown West;132 W 58th St-between Sixth and Seventh Aves;New York;NY;Eclectic;;(212-247-8887)
5;;757 E 57th St-;New York;NY;;;
5 & 10 No Exaggeration;;77 Greene St;New York;NY;;;
5 Brothers Gourmet Market;;689 10th Avenue;New York;NY;;;
5 Napkin Burger;Hell's Kitchen;630 Ninth Ave;New York;NY;American;$$;(212-757-2277)
5 Ninth;W. Village;;New York;NY;;;
5 Ninth Restaurant;Meatpacking District;5 Ninth Ave;New York;NY;International \ Eclectic;$$$;(212-929-9460)
5's at The Peninsula New York;Midtown West;;New York;NY;;;
500 Cafe;;9 W 42nd St;New York;NY;;;
500 Cafe;Midtown West;;New York;NY;;;
500 Station Grocery Deli;;500 W 213th St;New York;NY;;;
5035 Broadway Food Inc;;5035 Broadway;New York;NY;;;
508;;;New York;NY;;;
508;Soho;508 Greenwich St at Spring St;New York;NY;Mediterranean;;(212-219-2444)
508 Greenwich St;;;New York;NY;;;
508 Restaurant & Bar;Tribeca - Downtown;;New York;NY;;;
50th St Restaurant Operating LLC;;805 3 Av;New York;NY;;;
510 E 11 Street Corporation;;510 East 11th Street Apt 1;New York;NY;;;
5162;;2040 5th Avenue;New York;NY;;;
520 Asian Restaurant Corp;;520 8 Av;New York;NY;;;
53 St Deli;;437 West 53;New York;NY;;;
535 Eat & Drink;W. Village;;New York;NY;;;
536 Madison Avenue Restaurant;;536 Madison Ave;New York;NY;;;
540 Park;Midtown East;;New York;NY;American;;(212-339-4050)
540 Park Restaurant;Upper East Side;540 Park Ave at 61st St;New York;NY;;;
54th Street Ltd Partners;;3 E 54th St # 1265;New York;NY;;;
55 Wall;;55 Wall Street;New York;NY;;;
550 8th Ave Restaurant Corp;;265 W 37th St # 550;New York;NY;;;
56 Cafe Restaurant;;1377 Avenue Of The Americas;New York;NY;;;
57;Midtown East;;New York;NY;;;
57 - Four Seasons Hotel New York;Midtown East;;New York;NY;;;
57 E 57th St;;;New York;NY;;;
57 St Bake Corp;;153 West 57;New York;NY;;;
57 St Pizza Corporation;;862 10th Avenue Frnt;New York;NY;;;
5757 Restaurant;;57 East 57th Street;New York;NY;;;
580 2nd AV Food Corporation;;1500 3rd Avenue;New York;NY;;;
588 Restaurant Corp Caridad;;588 Amsterdam Av;New York;NY;;;
5th Avenue Cafe;;2 E 14th St;New York;NY;;;
6 Av Finest Deli;;761 Avenue Of The Americas;New York;NY;;;
609 Madison Market Inc;;36 East 58th Street Frnt;New York;NY;;;
612 Gourmet Deli Corporation;;612 8th Avenue;New York;NY;;;
62 Pearl Rice & Noodle Inc;;62 Pearl Street;New York;NY;;;
65th Street Restaurant;;60 East 65th Street;New York;NY;;;
66;Tribeca/soho;;New York;NY;;;
66 (CLOSED);Tribeca;241 Church St-between Leonard and Worth Sts;New York;NY;Chinese;;(212-925-0202)
67 Liberty Gourmet;;67 Liberty Street;New York;NY;;;
67 Macombs Deli Grocery;;67 Macombs Pl;New York;NY;;;
69;;69 Bayard Street;New York;NY;;;
69 Bayard St;;;New York;NY;;;
69 Mott Street Restaurant;;69 Mott Street;New York;NY;;;
696 Gourmet Deli;;696 3rd Avenue;New York;NY;;;
7 Ignicks Restaurant Inc;;132 Ludlow Street;New York;NY;;;
7 Square (CLOSED);;224 West 49th Street;New York;NY;;;
7 St Food Vegetable & Grocery Inc;;118 1st Avenue;New York;NY;;;
7-11 Associates Inc;;109 Greene St;New York;NY;;;
71 Clinton Fresh Food;Lower East Side;71 Clinton Street;New York;NY;American Creative;;(212-614-6960)
71 Irving Place Coffee & Tea Bar;Gramercy;71 Irving Pl;New York;NY;American;$;
719 Brother Famous Deli;;719 9 Av;New York;NY;;;
75 Nassau Street Restaurant;Lower Manhattan;;New York;NY;;;
75 Park Place Farm Inc;;75 Park Place;New York;NY;;;
76 York Healthy Food Cafe;;1443 York Avenue;New York;NY;;;
77493;;1633 Broadway;New York;NY;;;
77493;Midtown West;;New York;NY;American;$$;
79 Baxter Pub Inc;;79 Baxter Street Apt 4;New York;NY;;;
79 Street Boat Basin Cafe;;;New York;NY;;;
7A Cafe;E. Village;;New York;NY;American;;(212-673-6583)
7th Avenue Deli;;833 7 Av;New York;NY;;;
7th Avenue Deli Grocery;;2299 Adam Clayton Powell;New York;NY;;;
8 AV Deli & Flowers;;931 8th Avenue;New York;NY;;;
809 Sangria Bar & Grill;Wash Hts/inwood;;New York;NY;;;
809 Sangria Bar and Grill;Inwood;112 Dyckman St-between Nagle and Sherman Aves;New York;NY;Caribbean: Dominican;;(212-304-3800)
81 Farm Deli;;201 East 81st Street Frnt;New York;NY;;;
81 Pearl Chinese Restaurant;;81 Pearl Street;New York;NY;;;
81 Pearl Chinese Restaurant;Lower Manhattan;;New York;NY;;;
810 Deli Inc;;810 7th Avenue;New York;NY;;;
82-Lugan Food Corporation;;2125 3rd Avenue;New York;NY;;;
82nd Street Deli;;1577 2nd Avenue;New York;NY;;;
837 Deli Inc;;837 Avenue Of The Americ;New York;NY;;;
85 Down;;85 Avenue A;New York;NY;;;
875 Third Ave Metro Coffee Shop;;875 3rd Ave;New York;NY;;;
879 Taco;;1229 1st Avenue;New York;NY;;;
87th Deli & Grocery;;1685 1st Avenue;New York;NY;;;
88 Allen Kitchen Inc;;88 Allen;New York;NY;;;
88 Lex Grill Inc;;1332 Lexington Ave;New York;NY;;;
88 Noodle & Oriental House;;565 Columbus Avenue;New York;NY;;;
88 Orchard;Lower East Side;;New York;NY;Cafés;;(212-228-8880)
88 Palace;East Village;88 E Broadway;New York;NY;;;
88 Reach House;;88 Division Street;New York;NY;;;
888 Great Wall Kitchen;;2722 8th Ave;New York;NY;;;
89 Gourmet Deli;;1718 2nd Avenue Apt 2C;New York;NY;;;
90 St Grocery;;1733 1st Avenue;New York;NY;;;
910 8 AV Corporation;;802 9th Avenue Frnt;New York;NY;;;
915 Pub;;915 2nd Avenue;New York;NY;;;
92YTribeca Cafe;Tribeca;200 Hudson St-at Canal St;New York;NY;Kosher;;(212-601-1000)
92nd Street Gourmet Deli & Grocery;;1766 2nd Ave;New York;NY;;;
94 Deli and Salad;;94 Fulton Street;New York;NY;;;
96 Rose Deli & Grocery;;104 West 96;New York;NY;;;
964 Jumbo Pizza Coffee Shop;;964 Amsterdam Avenue Bsmt;New York;NY;;;
97th Street Greenmarket;;97th Street;New York;NY;;;
99 Cent Fresh Pizza;;569 9th Avenue;New York;NY;;;
99 Hudson Street Restaurant and Lounge;;99 Hudson Street;New York;NY;;;
99 Miles To Philly Inc;;94 3 Av;New York;NY;;;
99 Miles To Philly Inc;East Village;;New York;NY;American;;(212-253-2700)
99 Second Restaurant;;99 2nd Ave;New York;NY;;;
999 Union Farm Corp;;999 3rd Ave;New York;NY;;;
99¢ Fresh Pizza;Midtown East;;New York;NY;Italian;;(212-268-1461)
9th Street Market (CLOSED);;337 East 9TH Street;New York;NY;;;
?sküdar;Upper W. Side;;New York;NY;Turkish;;(212-988-2641)
A;;;New York;NY;;;
A;Harlem;947 Columbus Ave;New York;NY;Caribbean;$;
A & A Deli & Bagels Inc;;95 Delancey Street;New York;NY;;;
A & B Deli Inc;;251 Avenue Of The Americ;New York;NY;;;
A & B Restaurant;;2134 8th Ave;New York;NY;;;
A & C Kitchen;;136 Avenue C;New York;NY;;;
A & J Grand Enterprise Inc;;64 Fulton;New York;NY;;;
A & K News & Candy Store Inc;;162 East Bway;New York;NY;;;
A & M Roadhouse;;57 Murray St;New York;NY;;;
A & M Seafood;;2032 Madison Ave;New York;NY;;;
A & N Falfel;;2715 Broadway;New York;NY;;;
A & N Falfel;Upper W. Side;;New York;NY;;;
A & R West Indian Restaurant;;2345 8th Ave;New York;NY;;;
A & R West Indian Restaurant;Harlem;;New York;NY;;;
A & S Delicatessen;;737 9th Avenue;New York;NY;;;
A & S Grovery Deli;;25 W 37th St;New York;NY;;;
A & S Restaurant;;2118 3rd Ave # 116;New York;NY;;;
A & Three S Food Corporation;;55 West 47th Street Unit 355;New York;NY;;;
A & Y Food Center;;1470 Lexington Av;New York;NY;;;
A Cafe;;109 Avenue A-At 7th St;New York;NY;;;
A Cafe And Wine Room;Upper West Side;973 Columbus Avenue;New York;NY;French \ Eclectic;$$$;(212-222-2033)
A Casa Fox;;173 Orchard St-Btwn Allen St & Ludlow;New York;NY;;;
A Casa Fox;Lower East Side;;New York;NY;;;
A J Kelly;;6 Stone Street;New York;NY;;;
A J Kelly;Lower Manhattan;;New York;NY;;;
A LA Creole;;317 West 141st Street;New York;NY;;;
A La Brasa;;2651 Broadway;New York;NY;;;
A La Turka;;1417 2nd Avenue @ 74th Street;New York;NY;;;
A La Turka;Upper East Side;;New York;NY;;;
A M H Deli & Grocery;;880 Amsterdam Av;New York;NY;;;
A Marok Bar & Grill;;32 Cliff Street;New York;NY;;;
A Restaurant Charlotte;;145 W 44th St;New York;NY;;;
A Salt & Battery;East Village;80 2nd Avenue Frnt;New York;NY;British & Irish;;(212-254-6610)
A Salt & Battery;W. Village;;New York;NY;British & Irish;;(212-691-2713)
A Salt and Battery;Greenwich Village;;New York;NY;;;
A Slice of New York;;727 8th Avenue;New York;NY;;;
A Taste Of Seafood;;50 E 125th St;New York;NY;;;
A Taste Of Seafood;Harlem;;New York;NY;;;
A Taste Of Siam;E. Village;;New York;NY;;;
A Taste Siam Thai Restauarnt;;180 2nd Ave;New York;NY;;;
A Tavola Italian Diner;;1095 Lexington Ave;New York;NY;;;
A Voce;;41 Madison Ave-At 26th St;New York;NY;;;
A Voce;Flatiron/u. Sq.;;New York;NY;;;
A&A Coffee Shop;;46 W 21st St-Btwn 5th & 6th Ave;New York;NY;;;
A-;;1 Pizza Shop505 Grand St-Corner of E Bway;New York;NY;;;
A-1 Pizza Shop;;1 Pizza Shop505 Grand St-;New York;NY;;;
A-1Pizza Shop;;505 Grand St-Corner of E Bway;New York;NY;;;
A-Mix 1;;120 East 34;New York;NY;;;
A.J Maxwells - Steakhouse;;57 West 48 Street;New York;NY;;;
A.O.C. Bedford;Greenwich Village;14 Bedford St;New York;NY;French \ Spanish;$$$;(212-414-4764)
A.O.C. Bedford;West Village;314 Bleecker St;New York;NY;French \ Spanish;$$;(212-414-4764)
A.O.C., (l’Ail ou la Cuisse);West Village;;New York;NY;Spanish;;(212-414-4764)
ABID Inc DBA Subway;;165 Church Street;New York;NY;;;
ACME Bar & Grill;East Village;;New York;NY;;;
AER Restaurant;;409 West 13;New York;NY;;;
AJ Maxwell's;Midtown West;;New York;NY;;;
AJ Maxwell's - Steakhouse;Theater District;;New York;NY;;;
AJ Maxwell's Steakhouse;;57 W. 48th Street;New York;NY;;;
AJ Maxwell's Steakhouse;Midtown West;;New York;NY;;;
AJA;;1068 First Avenue;New York;NY;;;
AKI On West 4th;;181 West 4th Street;New York;NY;;;
AKI Sushi;;366 West 52nd Street;New York;NY;;;
AL Bacio;;710 2nd Avenue;New York;NY;;;
AL Dente;;417 Amsterdam Avenue;New York;NY;;;
AL Forno;;1484 2nd Avenue Frnt;New York;NY;;;
AL Halal Fast Food Inc;;94 Saint Nicholas Place;New York;NY;;;
ALCA Pizza & Chicken Restaurant;;3771 Broadway;New York;NY;;;
ALT Coffee Inc;;137 Avenue A;New York;NY;;;
AMA;Soho;;New York;NY;;;
AMI Delicatessen;;1493 1 Av;New York;NY;;;
ANAN Joyti Corporation;;330 West 38th Street;New York;NY;;;
AOC;;314 Bleecker St-At Grove St;New York;NY;;;
AQ Cafe;;58 Park Avenue;New York;NY;;;
AQ Café;Midtown East;;New York;NY;Seafood;;(212-879-9779)
AQ Café, Scandinavia House;Murray Hill/kips Bay;;New York;NY;;;
AQ Kafe;;1800 Broadway-Btwn 58th St & CPW;New York;NY;;;
AQ Kafe;Midtown East;;New York;NY;;;
AQ Kafe18;;00 Broadway-;New York;NY;;;
AQ Kafé;Midtown West;1800 Broadway-between 58th and 59th Sts;New York;NY;Scandinavian;;(718-784-7364)
AQ Kafé;Upper West Side;;New York;NY;;;
ARA;;24 9th Avenue;New York;NY;;;
ARKA Lounge Inc;;4488 Broadway;New York;NY;;;
ARTseen Inc.;;28 East Tenth Street Apt. 9B;New York;NY;;;
AVI Taam-Tov Corporation;;46 West 47th Street;New York;NY;;;
AVRA Restaurant;;141 East 48th Street;New York;NY;;;
AYZA Wine & Chocolate Bar;;11 West 31st Street;New York;NY;;;
AZ;;21 West 17th Street;New York;NY;;;
AZUL East Inc;;152 Stanton Street;New York;NY;;;
Aahirahs Palace;;108 W 116th St;New York;NY;;;
Aangan Restaurant;;330 W 46th St;New York;NY;;;
Aar Restaurants;;509 Madison Ave;New York;NY;;;
Abb Goo Jung Korean Restaurant;;10 West 32nd Street;New York;NY;;;
Abbey Restaurant;;237 West 105th Street Frnt 1;New York;NY;;;
Abbey Tavern;;354 3rd Ave;New York;NY;;;
Abboccato;Midtown West;136 W 55th St;New York;NY;Italian;$$$$;(212-265-4000)
Abbondanza's;West Village;;New York;NY;;;
Abbondanza's (CLOSED);;193 Bleecker St-;New York;NY;;;
Abby Restaurant & Bar;;254 5th Ave;New York;NY;;;
Abdul Alkandi;;700 10th Avenue;New York;NY;;;
Abigael's;Murray Hill;;New York;NY;;;
Abigael's Restaurant & Catering;;1407 Broadway;New York;NY;;;
Abigael's on Broadway;;1407 Broadway-At 39th St;New York;NY;;;
Abigaels Ny Glatt Restaurant;;9 E 37th St;New York;NY;;;
Abitino Pizzeria & Restaurant;;1435 Broadway;New York;NY;;;
Abitino's;;947 1st Avenue;New York;NY;;;
Abitino's Pizzeria;;1435 Broadway-Btwn 40th & 41st St;New York;NY;;;
Above;Midtown West;;New York;NY;;;
Above Restaurant;;234 W 42nd St-Btwn 7th & 8th Ave;New York;NY;;;
Abraco Espresso;East Village;86 E 7th St-At 1st Ave;New York;NY;;;
Abraco86 E;;7th St-;New York;NY;;;
Abraço;East Village;86 E 7th St-between First and Second Aves;New York;NY;Cafés & diners;;(212-388-9731)
Abruzzi;Midtown West;;New York;NY;;;
Abruzzi Restaurant;;37 West 56th Street Frnt;New York;NY;;;
Absinthe Wine Bar;;111 7th St-;New York;NY;;;
Absinthe Wine Bar;East Village;111 1st Ave at 7th St;New York;NY;;;
Absolute Bagels;Upper West Side;2788 Broadway-between 106th and 107th Sts;New York;NY;Cafés;;(212-932-2052)
Absolutely 4th;;228 West 4th Street Frnt;New York;NY;;;
