restaurant;address;addressGoogle;country;neighborhood;type;phone;type_r
Alfanoose; 8 Maiden Lane-between Broadway and Nassau Sts;8 Maiden Ln;New York;Financial District;Middle Eastern;(212-528-4669);
Ali Baba; 212 E 34th St-between Second and Third Aves;212 E 34th St;New York;Midtown East;Turkish;(212-683-9206);
Alias; 76 Clinton St-at Rivington St;76 Clinton St;New York;Lower East Side;American Creative;(212-505-5011);
Alice's Tea Cup Chapter II; 156 E 64th Street-between Third and Lexington Aves;156 E 64th St;New York;Upper East Side;Cafés & diners;(212-486-9200);
Alice’s Tea Cup; 102 W 73rd St-at Columbus Ave;102 W 73rd St;New York;Upper West Side;Cafés & diners;(212-799-3006);
Allegretti; 46 W 22nd St-at Sixth Ave;46 W 22nd St;New York;Gramercy/Flatiron;French;(212-206-0555);
Allen & Delancey; 115 Allen St-at Delancey St;115 Allen St;New York;Lower East Side;American Creative;(212-253-5400);
Alloro; 307 E 77th St-between First and Second Aves;307 E 77th St;New York;Upper East Side;Italian;(212-535-2866);
Alma Grill; 134 E 48th St-at Lexington Ave;134 E 48th St;New York;Midtown East;American Creative;(212-593-5900);
Almond; 12 E 22nd St-between Broadway and Park Ave South;12 E 22nd St;New York;Gramercy/Flatiron;French;(212-228-7557);
Aloe Restaurant; 406 E 9th St-between First Ave and Avenue A;406 E 9th St;New York;East Village;American Creative;(212-358-8400);
Alonso’s Steakhouse; 265 W 20th St-between Seventh and Eighth Aves;265 W 20th St;New York;Chelsea;Steakhouses;(212-675-7749);
Alouette; 2588 Broadway-between 97th and 98th Sts;2588 Broadway;New York;Upper West Side;French;(212-222-6808);
Alphabet Scoop; 543 E 11th St-between Aves A and B;543 E 11th St;New York;East Village;Food or Beverage Shop;(212-982-1422);
Alta; 64 W 10th St-between Fifth and Sixth Aves;64 W 10th St;New York;Greenwich Village;Mediterranean;(212-505-7777);
Alto; 11 E 53rd St-;11 E 53rd St;New York;Midtown East;Italian;(212-308-1099);
Ama; 48 MacDougal St-between Houston and Prince Sts;48 MacDougal St;New York;Soho;Italian;(212-358-1707);
Amai Tea & Bake House; 171 Third Ave-between 16th and 17th Sts;171 3rd Ave;New York;Gramercy/Flatiron;Cafés & diners;(212-863-9630);
Amaranth; 21 E 62nd St-between Fifth and Madison Aves;21 E 62nd St;New York;Upper East Side;Mediterranean;(212-980-6700);
Amber; 1406 Third Ave-at 80th St;1406 3rd Ave;New York;Upper East Side;Japanese;(212-249-5020);
Amish Market; 53 Park Pl-at West Broadway;53 Park Pl;New York;Financial District;Food or Beverage Shop;(212-608-3863);
Amma; 246 E 51st St-between Second and Third Aves;246 E 51st St;New York;Midtown East;Indian;(212-644-8330);
Ammos; 52 Vanderbilt Ave-at 45th St;52 Vanderbilt Ave;New York;Midtown East;Greek;(212-922-9999);
Amor Cubano; 2018 Third Ave-at 111th St;2018 3rd Ave;New York;East Harlem;Caribbean: Cuban;(212-996-1220);
Amy Ruth’s; 113 W 116th St-between Malcolm X Blvd (Lenox Ave) and Adam Clayton Powell Jr. Blvd (Seventh Ave);113 W 116th St;New York;Harlem;American Regional;(212-280-8779);
Amy’s Bread; 672 Ninth Ave-between 46th and 47th Sts;672 9th Ave;New York;Midtown West;Cafés;(212-977-2670);
An American Place;Lord & Taylor -424 Fifth Aveat 38th St;;New York;fifth floor;(212-827-5068);Midtown East;
Andavi; 91 Christopher St-at Bleecker St;91 Christopher St;New York;West Village;Italian;(212-604-9696);
Angelica Kitchen; 300 E 12th St-between First and Second Aves;300 E 12th St;New York;East Village;Vegetarian & Organic;(212-228-2909);
Angelina; 36B Ave A-between 2nd and 3rd Sts;36B Avenue A;New York;East Village;Eclectic;(212-533-7183);
Angelo’s of Mulberry Street; 146 Mulberry St-between Grand and Hester Sts;146 Mulberry St;New York;Chinatown/Little Italy;Italian;(212-966-1277);
Angus McIndoe; 258 W 44th St-between Seventh and Eighth Aves;258 W 44th St;New York;Midtown West;American;(212-221-9222);
Anh (CLOSED); 363 Third Ave-between 26th and 27th Sts;363 3rd Ave;New York;Gramercy/Flatiron;Vietnamese;(212-532-2858);
Anna Maria; 112 E 23rd St-between Park and Lexington Aves;112 E 23rd St;New York;Gramercy/Flatiron;Italian;(212-777-3200);
Annisa; 13 Barrow St-between Bleecker and W 4th Sts;13 Barrow St;New York;West Village;American Creative;(212-741-6699);
Anthos; 36 W 52nd St-between Fifth and Sixth Aves;36 W 52nd St;New York;Midtown West;Greek;(212-582-6900);
Antibes Bistro; 127 First Ave-between 7th and 8th Sts;127 1st Avenue;New York;East Village;French;(212-533-6088);
Antica Venezia; 396 West St-at W 10th St;396 West St;New York;West Village;Italian;(212-229-0606);
Antique Garage; 41 Mercer St-between Broome and Grand Sts;41 Mercer St;New York;Soho;Mediterranean;(212-219-1019);
Anyway Cafe; 34 E 2nd St-at Second Ave;34 E 2nd St;New York;East Village;Russian;(212-473-5021);
Apiary; 60 Third Ave-between 10th and 11th Sts;60 3rd Ave;New York;East Village;American;(212-254-0888);
Apizz; 217 Eldridge St-at Stanton St;217 Eldridge St;New York;Lower East Side;Italian;(212-253-9199);
Aquagrill; 210 Spring St-at Sixth Ave;210 Spring St;New York;Soho;Seafood;(212-274-0505);
Arabelle;Plaza Athénée -37 E 64th Stbetween Madison and Park Aves;;New York;Upper East Side;American Creative;(212-606-4647);
Arcane; 111 Ave C-between 7th and 8th Sts;111 Loisaida Ave;New York;East Village;French;(212-777-0477);
Arezzo (CLOSED); 46 W 22nd St-between Fifth and Sixth Aves;46 W 22nd St;New York;Chelsea;Italian;(212-206-0555);
Ariana Afghan Kebab; 787 Ninth Ave-between 52nd and 53rd Sts;787 9th Ave;New York;Midtown West;Afghan;(212-262-2323);
Arium; 31 Little West 12th St-between Greenwich and Washington Sts;31 Little W 12th St;New York;Meatpacking District;Cafés & diners;(212-463-8630);
Ariyoshi; 806 Broadway-between 11th and 12th Sts;806 Broadway;New York;East Village;Japanese;(212-388-1884);
Arlo & Esme; 42 E 1st St-between First and Second Aves;42 E 1st St;New York;East Village;Food or Beverage Shop;(212-777-5617);
Armani/Ristorante 5th Avenue;717 Fifth Ave -;;New York;;;;
Aroma Espresso Bar; 145 Greene St-at Houston St;145 Greene St;New York;Greenwich Village;Cafés & diners;(212-533-1094);
Aroma Kitchen & Winebar; 36 E 4th St-between Bowery and Lafayette St;36 E 4th St;New York;East Village;Italian;(212-375-0100);
Arqua; 281 Church St-at White St;281 Church St;New York;Tribeca;Italian;(212-334-1888);
Arriba Arriba!; 762 Ninth Ave-at 51st St;762 9th Ave;New York;Midtown West;Mexican;(212-489-0810);
Artevino; 274 Columbus Ave-between 72nd and 73rd Sts;274 Columbus Ave;New York;Upper West Side;Italian;(212-875-2195);
Artichoke Basille's Pizza & Brewery; 328 E 14th St-between First and Second Aves;328 E 14th St;New York;East Village;Italian;(212-228-2004);
Artisanal; 2 Park Ave-at 32nd St;2 Park Ave 20th floor;New York;Midtown East;French;(212-725-8585);
Artisanal Cheese Center; 500 W 37th St-at Tenth Ave;500 W 37th St;New York;Midtown West;French;(212-239-1200);
Arturo’s Pizzeria; 106 W Houston St-at Thompson St;106 W Houston St;New York;Greenwich Village;Italian: Pizza;(212-677-3820);
Arté; 21 E 9th St-between Fifth Ave and University Pl;21 E 9th St;New York;Greenwich Village;Italian;(212-473-0077);
Asia de Cuba;Morgans Hotel -237 Madison Avebetween 37th and 38th Sts;;New York;Midtown East;Asian: Pan-Asian;(212-726-7755);
Asiakan; 710 Amsterdam Ave-between 94th and 95th Sts;710 Amsterdam Ave;New York;Upper West Side;Asian: Pan-Asian;(212-280-8878);
Asian Bistro;70 Seventh Ave -;;New York;;;;
Asiate;Mandarin Oriental Hotel in the Time Warner Center -80 Columbus Circleat 60th St;;New York;Midtown West;Asian: Pan-Asian;(212-805-8881);
Askew; 504 La Guardia Pl-between Bleecker and Houston Sts;504 LaGuardia Pl;New York;Greenwich Village;Eclectic;(212-529-3560);
Aspen; 30 W 22nd St-between Fifth and Sixth Aves;30 W 22nd St;New York;Gramercy/Flatiron;American Creative;(212-645-5040);
Aspen Social Club; 157 W 47th St-between Sixth and Seventh Aves;157 W 47th St;New York;Midtown West;American;(212-221-7200);
Assenzio; 205 E 4th St-between Aves A and B;205 E 4th St;New York;East Village;Italian;(212-677-9466);
Astor Center;399 Lafayette St -;;New York;;;;
Astor Wines & Spirits; 399 Lafayette St-at 4th St;399 Lafayette St;New York;Greenwich Village;Food or Beverage Shop;(212-674-7500);
At Vermilion; 480 Lexington Ave-at 46th St;480 Lexington Ave;New York;Midtown East;Eclectic;(212-871-6600);
Atlantic Grill; 1341 Third Ave-between 76th and 77th Sts;1341 3rd Ave;New York;Upper East Side;Seafood;(212-988-9200);
Atlas;73 Second Ave -;;New York;;;;
Atomic Wings; 184 First Ave-between 11th & 12th;184 1st Avenue;New York;East Village;American;(212-505-7272);
Atomic Wings @ The Blue Room; 1140 Second Ave-at 60th St;1140 2nd Ave;New York;Upper East Side;American;(212-888-5777);
Atria; 13–15 W 54th St-between Fifth and Sixth Aves;13 W 54th St;New York;Midtown West;Eclectic;(212-262-4600);
August; 359 Bleecker St-between Charles and W 10th Sts;359 Bleecker St;New York;West Village;Eclectic;(212-929-4774);
Aureole; 34 E 61st St-between Madison and Park Aves;34 E 61st St;New York;Upper East Side;American Creative;(212-319-1660);
Avenue A Sushi; 103 Ave A-between 6th and 7th Sts;103 Avenue A;New York;East Village;Japanese;(212-982-8109);
Avon Bistro; 155 E 52nd St-between Lexington and Third Aves;155 E 52nd St;New York;Midtown East;Eclectic;(212-752-9587);
Avra; 141 E 48th St-between Lexington and Third Aves;141 E 48th St;New York;Midtown East;Greek;(212-759-8550);
Awash; 947 Amsterdam Ave-between 106th and 107th Sts;947 Amsterdam Ave;New York;Upper West Side;African: Ethiopian;(212-961-1416);
Azalea; 224 W 51st St-between Broadway and Eighth Aves;224 W 51st St;New York;Midtown West;Italian;(212-262-0105);
Azucar; 939 Eighth Ave-between 55th and 56th Sts;939 8th Ave;New York;Midtown West;Caribbean: Cuban;(212-262-5354);
Azáza; 891 First Ave-at 50th St;891 1st Avenue;New York;Midtown East;Chinese;(212-751-0700);
B-Bap Fusion Rice Bar; 830 Ninth Ave-between 54th and 55th Sts;830 9th Ave;New York;Midtown East;Korean;(212-315-0033);
B. Cafe; 240 E 75th St-between Second and Third Aves;240 E 75th St;New York;Upper East Side;Belgian;(212-249-3300);
B. Cafe West; 566 Amsterdam Ave-between 87th and 88th Sts;566 Amsterdam Ave;New York;Upper West Side;Belgian;(212-873-0003);
B. Smith’s Restaurant; Barbara Smith-a lifestyle guru who’s sort of like Martha Stewart;50 Broadway;New York;only not a convicted felon;American Regional;offers “global cuisine” at her relaxing restaurant....;
BB Sandwich Bar; 120 W 3rd St-between MacDougal St and Sixth Ave;120 W 3rd St;New York;Greenwich Village;American;(212-473-7500);
BCD Tofu House; 17 W 32nd St-between Fifth Ave and Broadway;17 W 32nd St;New York;Midtown West;Korean;(212-967-1900);
BG; 754 Fifth Ave-between 57th and 58th Sts;754 5th Ave;New York;Midtown East;Cafés;(212-872-8977);
BLT Burger; 470 Sixth Ave-between 11th and 12th Aves;470 6th Ave;New York;Greenwich Village;American;(212-243-8226);
BLT Fish; 21 W 17th St-between Fifth and Sixth Aves;21 W 17th St;New York;Chelsea;Seafood;(212-691-8888);
BLT Market;Ritz Carlton New York -Central Park1430 Sixth Ave;;New York;at Central Park South;(212-521-6125);Midtown West;
BLT Prime; 111 E 22nd St-between Park Ave South and Lexington Ave;111 E 22nd St;New York;Gramercy/Flatiron;Steakhouses;(212-995-8500);
BLT Steak; 106 E 57th St-between Park and Lexington Aves;106 E 57th St;New York;Midtown East;Steakhouses;(212-752-7470);
BRGR; 287 Seventh Ave-between 26th and 27th Sts;287 7th Ave;New York;Chelsea;American;(212-488-7500);
BXL Cafe; 125 W43rd St-between Sixth and Seventh Ave;125 W 43rd St;New York;Midtown West;Belgian;(212-768-0200);
Babbo; 110 Waverly Pl-between MacDougal St and Sixth Ave;110 Waverly Pl;New York;Greenwich Village;Italian;(212-777-0303);
Baby Cakes; 248 Broome St-between Ludlow and Orchard Sts;248 Broome St;New York;Lower East Side;Cafés & diners;(212-677-5047);
Bacaro; 136 Division St-between Ludlow and Orchard Sts;136 Division St;New York;Lower East Side;Italian;(212-941-5060);
Back Forty; 190 Ave B-between 11th and 12th Sts;190 Avenue B;New York;East Village;American;(212-388-1990);
Bagatelle; 409 W 13th St-between Ninth Ave and Washington St;409 W 13th St;New York;Meatpacking District;French;(212-675-2400);
Bagicha (CLOSED); 226 W 79th St-at Broadway;226 W 79th St;New York;Upper West Side;Indian;(212-362-1767);
Baldoria; 249 W 49th St-between Broadway and Eighth Ave;249 W 49th St;New York;Midtown West;Italian;(212-582-0460);
Bali Nusa Indah; 651 Ninth Ave-between 45th and 46th Sts;651 9th Ave;New York;Midtown West;Asian: Indonesian;(212-974-1875);
Balthazar; 80 Spring St-between Broadway and Crosby St;80 Spring St;New York;Soho;French;(212-965-1414);
Baluchi’s; 329 Third Ave-between 24th and 25th Sts;329 3rd Ave;New York;Gramercy/Flatiron;Indian;(212-679-3434);
Baluchi’s (CLOSED); 283 Columbus Ave-between 73rd and 74th Sts;283 Columbus Ave;New York;Upper West Side;Indian;(212-579-3900);
Bamboo 52; 344 W 52nd St-between Eighth and Ninth Aves;344 W 52nd St;New York;Midtown West;Asian: Pan-Asian;(212-315-2777);
Bamiyan; 358 Third Ave-at 26th St;358 3rd Ave;New York;Gramercy/Flatiron;Afghan;(212-481-3232);
Bamn! (CLOSED);37 St. Marks Pl -;;New York;;;;
Banana Leaf; 103 Lexington Ave-between 27th and 28th Sts;103 Lexington Ave;New York;Gramercy/Flatiron;Indian;(212-481-9100);
Banc Café; 431 Third Ave-at 30th St;431 3rd Ave;New York;Midtown East;French;(212-252-0146);
Bandol Bistro; 181 E 78th St-between Lexington and Third Aves;181 E 78th St;New York;Upper East Side;French;(212-744-1800);
Banjara; 97 First Ave-at 6th St;97 1st Avenue;New York;East Village;Indian;(212-477-5956);
Bann; 350 W 50th St-at Ninth Ave;350 W 50th St;New York;Midtown West;Korean;(212-582-4446);
Bao Noodles; 391 Second Ave-between 22nd and 23rd Sts;391 2nd Ave;New York;Gramercy/Flatiron;Vietnamese;(212-725-7770);
Baoguette; 61 Lexington Ave-between 25th and 26th Sts;61 Lexington Ave;New York;Gramercy/Flatiron;Vietnamese;(212-518-4089);
Bar 6; 502 Sixth Ave-between 12th and 13th Sts;502 6th Ave;New York;Greenwich Village;French;(212-691-1363);
Bar Americain; 152 W 52nd St-between Sixth and Seventh Aves;152 W 52nd St;New York;Midtown West;American Regional;(212-265-9700);
Bar Baresco; 191 Seventh Ave-between 21st and 22nd Sts;191 7th Ave;New York;Chelsea;Italian;(212-675-5935);
Bar Blanc; 142 W 10th St-between Greenwich Ave and Waverly Pl;142 W 10th St;New York;West Village;French;(212-255-2330);
Bar Boulud; 1900 Broadway-at 64th St;1900 Broadway;New York;Upper West Side;French;(212-595-0303);
Bar Breton; 254 Fifth Ave-between 28th and 29th Sts;254 5th Ave;New York;Gramercy/Flatiron;French;(212-213-4999);
Bar Carrera; 175 Second Ave-between 11th and 12th Sts;175 2nd Ave;New York;East Village;Spanish;(212-375-1555);
Bar Martignetti; 406 Broome St-at Cleveland Pl;406 Broome St;New York;Chinatown/Little Italy;French;(212-680-5600);
Bar Martignetti (CLOSED);406 Broome St -;;New York;;;;
Bar Masa;Time Warner Center -10 Columbus Circleat 60th St;;New York;fourth floor;(212-823-9800);Upper West Side;
Bar Pitti; 268 Sixth Ave-between Bleecker and Houston Sts;268 6th Ave;New York;Greenwich Village;Italian;(212-982-3300);
Bar Q; 308–310 Bleecker St-between Seventh Ave South and Grove St;308 Bleecker St;New York;West Village;Eclectic;(212-206-7817);
Bar Q (CLOSED);308–310 Bleecker St -;;New York;;;;
Bar Room at the Modern; 9 W 53rd St-between Fifth and Sixth Aves;9 W 53rd St;New York;Midtown West;American Creative;(212-333-1220);
Bar Stuzzichini; 928 Broadway-between 21st and 22nd Sts;928 Broadway;New York;Gramercy/Flatiron;Italian;(212-780-5100);
Bar Veloce; 176 Seventh Ave-between 20th and 21st Sts;176 7th Ave;New York;Chelsea;Italian;(212-629-5300);
BarBao; 100 W 82nd St-at Columbus Ave;100 W 82nd St;New York;Upper West Side;Vietnamese;(212-501-0776);
BarBossa; 232 Elizabeth St-between Houston and Prince Sts;232 Elizabeth St;New York;Chinatown/Little Italy;Brazilian;(212-625-2340);
BarFry (CLOSED); 50 Carmine St-between Bedford and Bleecker Sts;50 Carmine St;New York;West Village;Japanese;(212-929-5050);
Baraonda; 1439 Second Ave-at 75th St;1439 2nd Ave;New York;Upper East Side;Italian;(212-288-8555);
Barbarini Alimentari; 225 Front St-between Beekman St and Peck Slip;225 Front St;New York;Financial District;Italian;(212-227-8890);
Barbarini Mercato; 227 Front St-between Beekman St and Peck Slip;227 Front St;New York;Financial District;Food or Beverage Shop;(212-608-9622);
Barbes; 21 E 36th St-between Fifth and Madison Aves;21 E 36th St;New York;Midtown East;Moroccan;(212-684-0215);
Barbetta; 321 W 46th St-between Eighth and Ninth Aves;321 W 46th St;New York;Midtown West;Italian;(212-246-9171);
Barbounia; 250 Park Ave South-at 20th St;250 Park Ave S;New York;Gramercy/Flatiron;Mediterranean;(212-995-0242);
Barbuto; 775 Washington St-between Jane and W 12th Sts;775 Washington St;New York;Meatpacking District;Italian;(212-924-9700);
Barcibo Enoteca; 2020 Broadway-between 69th and 70th Sts;2020 Broadway;New York;Upper West Side;Italian;(212-595-2805);
Barking Dog Luncheonette; 1678 Third Ave-at 94th St;1678 3rd Ave;New York;Upper East Side;American;(212-831-1800);
Barna; 365 Park Ave South-at 26th St;365 Park Ave S;New York;Gramercy/Flatiron;Spanish;(212-532-8300);
Barocco Hots; 94 Greenwich Ave-between 12th and 13th Sts;94 Greenwich Ave;New York;West Village;Italian;(212-366-5936);
Barocco To Go; 297 Church St-between White and Walker Sts;297 Church St;New York;Tribeca;Italian;(212-431-0065);
Barolo; 398 West Broadway-between Broome and Spring Sts;398 W Broadway;New York;Soho;Italian;(212-226-1102);
Basera; 357 E 50th St-between First and Second Aves;357 E 50th St;New York;Midtown East;Indian;(212-757-4545);
Basera Indian Bistro; 745 Ninth Ave-between 50th and 51st Sts;745 9th Ave;New York;Midtown West;Indian;(212-757-9787);
Basta Pasta; 37 W 17th St-between Fifth and Sixth Aves;37 W 17th St;New York;Chelsea;Italian;(212-366-0888);
Batch; 150B W 10th St-at Waverly Pl;150B W 10th St;New York;West Village;Asian: Pan-Asian;(212-929-0250);
Battery Gardens;Battery Park -across from 17 State Stat Pearl St;;New York;Financial District;American;(212-809-5508);
Bay Leaf; 49 W 56th St-between Fifth and Sixth Aves;49 W 56th St;New York;Midtown West;Indian;(212-957-1818);
Beacon; 25 W 56th St-between Fifth and Sixth Aves;25 W 56th St;New York;Midtown West;American;(212-332-0500);
Beard Papa’s; 2167 Broadway-between 76th and 77th Sts;2167 Broadway;New York;Upper West Side;Cafés;(212-799-3770);
Becco; 355 W 46th St-between Eighth and Ninth Aves;355 W 46th St;New York;Midtown West;Italian;(212-397-7597);
Belcourt; 84 E 4th St-at Second Ave;84 E 4th St;New York;East Village;Mediterranean;(212-979-2034);
Bella Blu; 967 Lexington Ave-between 70th and 71st Sts;967 Lexington Ave;New York;Upper East Side;Italian;(212-988-4624);
Bella Cucina; 1293 Lexington Ave-at 87th St;1293 Lexington Ave;New York;Upper East Side;Italian;(212-289-9004);
Bellavitae; 24 Minetta Ln-at Sixth Ave;24 Minetta Ln;New York;Greenwich Village;Italian;(212-473-5121);
Belle de Jour; 259 Front St-between Dover St and Peck Slip;259 Front St;New York;Financial District;French;(212-226-7676);
Bello Sguardo; 410 Amsterdam Ave-between 79th and 80th Sts;410 Amsterdam Ave;New York;Upper West Side;Mediterranean;(212-873-6252);
Benoit; 60 W 55th St-between Fifth and Sixth Aves;60 W 55th St;New York;Midtown West;French;(646-943-7373);
Ben’s Kosher Delicatessen; 209 W 38th St-between Seventh and Eighth Aves;209 W 38th St;New York;Midtown West;Kosher;(212-398-2367);
Beppe; 45 E 22nd St-between Broadway and Park Ave South;45 E 22nd St;New York;Gramercy/Flatiron;Italian;(212-982-8422);
Bereket; 187 E Houston St-at Orchard St;187 E Houston St;New York;Lower East Side;Turkish;(212-475-7700);
Berry Bistro; 430 E 14th St-between Ave A and First Ave;430 E 14th St;New York;East Village;American Creative;(646-695-4244);
