0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_neighborhood;1_address;1_addressGoogle;1_country;1_country_code;1_type;1_cost;1_type_r
Artie's Deli;;2290 Broadway;2290 Broadway;New York;NY;;;;Artie's Delicatessen;nan;2290 Broadway-At 83rd St;2290 Broadway;New York;NY;;;nan
Aureole;Upper E. Side;;nan;;;;;;Aureole (CLOSED);Upper East Side;34 East 61st Street;34 E 61st St;New York;NY;;;American Creative
Awash;;947 Amsterdam Ave.;947 Amsterdam Ave;New York;NY;Ethiopian;;;Awash Ethiopian Restaurant;Upper West Side;947 Amsterdam Avenue;947 Amsterdam Ave;New York;NY;;;African: Ethiopian
Awash;Upper W. Side;;nan;;;;;;Awash Ethiopian Restaurant;Upper West Side;947 Amsterdam Avenue;947 Amsterdam Ave;New York;NY;;;African: Ethiopian
Azucar;Midtown West;939 Eighth Avenue;939 8th Ave;New York;NY;Cuban;$$;;Azucar (Guantanamera);Midtown West;939 8th Avenue;939 8th Ave;New York;NY;;;Caribbean: Cuban
Azuri Cafe;Midtown West;465 W 51st St;465 W 51st St;New York;NY;Jewish;$;;Azuri Café;nan;465 West 51st Street;465 W 51st St;New York;NY;;;nan
BLT Fish;Flatiron;21 W 17th St;21 W 17th St;New York;NY;Seafood;$$;;BLT Fish Bistro Laurent Tourondel;Chelsea;21 West 17th Street;21 W 17th St;New York;NY;;;Seafood
BLT Fish;Chelsea;;;;;;;;BLT Fish Bistro Laurent Tourondel;Chelsea;21 West 17th Street;21 W 17th St;New York;NY;;;Seafood
Babbo;Greenwich Village;110 Waverly Pl;110 Waverly Pl;New York;NY;Italian;$$$$;;Babbo Ristorante e Enoteca;Greenwich Village;110 Waverly Pl.;110 Waverly Pl;New York;NY;;;Italian
Bann;Theater;350 W 50th St;350 W 50th St;New York;NY;Korean;$$$;;Bann Restaurant;Midtown West;350 West 50;350 W 50th St;New York;NY;;;Korean
Bann;Midtown West;;;;;;;;Bann Restaurant;Midtown West;350 West 50;350 W 50th St;New York;NY;;;Korean
Barmarche;NoLita;14 Spring St;14 Spring St;New York;NY;American;$$;;Barmarché;nan;14 Spring Street;14 Spring St;New York;NY;;;nan
Becco;Midtown West;355 W 46th St;355 W 46th St;New York;NY;Italian;$$$;;Becco Restaurant Inc;Midtown West;355 West 46th Street;355 W 46th St;New York;NY;;;Italian
Bianca;NoLita;5 Bleecker St;5 Bleecker St;New York;NY;Italian;$$;;Bianca Restaurant;East Village;5 Bleecker Street;5 Bleecker St;New York;NY;;;Italian
Bianca;E. Village;;nan;;;;;;Bianca Restaurant;East Village;5 Bleecker Street;5 Bleecker St;New York;NY;;;Italian
Big Wong;;67 Mott St;67 Mott St;New York;NY;;;;Big Wong King;;67 Mott St-Btwn Bayard & Canal St;67 Mott St;;NY;;;
Black Pearl;Chelsea;37 W. 26th Street;37 W 26th St;New York;NY;Seafood;$$;;Black Pearl (CLOSED);Chelsea; 37 W 26th St-between Broadway and Sixth Ave;37 W 26th St;New York;NY;Seafood;;
Blossom;;187 Ninth Ave.;187 9th Ave;New York;NY;Vegetarian;$$;;Blossom Restaurant & Cafe;nan;187 9th Avenue;187 9th Ave;New York;NY;;;nan
Blossom;;187 Ninth Ave.;187 9th Ave;New York;NY;Vegetarian;$$;;Blossom Restaurant & Cafe;nan;187 9th Avenue;187 9th Ave;New York;NY;;;nan
Blue Fin;Midtown West;1567 Broadway at 47th;1567 Broadway;New York;NY;Seafood;$$$;;Blue Fin at W New York Times Square Hote;;1567 Broadway;1567 Broadway;New York;NY;;;
Bond 45;Midtown West;154 W 45th St;154 W 45th St;New York;NY;Italian;$$$;;Bond 45 Italian Kitchen Steak & Seafood;Midtown West;154 West 45;154 W 45th St;New York;NY;;;Italian
Bondi Road;;153 Rivington St.;153 Rivington St;New York;NY;Australian;$$;;Bondi Road Fish And Chips;Lower East Side;153 Rivington Street;153 Rivington St;New York;NY;;;Australian & New Zealand
Bondi Road;Lower East Side;;;;;;;;Bondi Road Fish And Chips;Lower East Side;153 Rivington Street;153 Rivington St;New York;NY;;;Australian & New Zealand
Boom;SOHO;152 Spring Street;152 Spring St;New York;NY;Italian;$$;;Boom Restaurant;Soho;152 Spring Street;152 Spring St;New York;NY;;;Italian
Boom;SoHo;;nan;;;;;;Boom Restaurant;Soho;152 Spring Street;152 Spring St;New York;NY;;;Italian
Bright Food Shop;Chelsea;218 Eighth Ave;218 8th Ave;New York;NY;Asian;$;;Bright Food Shop (CLOSED);Chelsea; 216 Eighth Ave-at 21st St;216 8th Ave;New York;NY;Eclectic;;
Burger Joint;Gramercy Park;190 Bleecker St;190 Bleecker St;New York;NY;American;$;;Burger Joint (CLOSED);;190 Bleecker Street;190 Bleecker St;New York, NY, 10012;NY;;;
Cafe Habana;NoLita;229 Elizabeth St;229 Elizabeth St;New York;NY;Cuban;$;;Cafe Habana To Go;Chinatown/Little Italy;229 Elizabeth Street;229 Elizabeth St;New York;NY;;;Caribbean: Cuban
Candela;East Village;Candela, 92 Second Avenue;92 2nd Ave;New York;NY;Cuban;$$;;Candela Candela;;92 Second Ave;92 2nd Ave;New York;NY;;;
Carnegie Deli;Midtown West;854 7th Ave;854 7th Ave;New York;NY;Deli;$;;Carnegie Delicatessen;West 50s;854 7th Ave.;854 7th Ave;New York;NY;;;nan
Carnegie Deli;Midtown West;854 7th Ave;854 7th Ave;New York;NY;Deli;$;;Carnegie Delicatessen;West 50s;854 7th Ave.;854 7th Ave;New York;NY;;;American
Chola;Midtown East;232 E 58th St;232 E 58th St;New York;NY;Indian;$$;;Chola Eclectic Indian Cuisine;Midtown East;232 East 58th Street Frnt;232 E 58th St;New York;NY;;;Indian
Cornelia Street Cafe;Greenwich Village;29 Cornelia Street;29 Cornelia St;New York;NY;American;$$$;;Cornelia Street Café;Greenwich Village; 29 Cornelia St-between Bleecker and W 4th Sts;29 Cornelia St;New York;NY;;;American
Craft;Union Square;43 E 19th St;43 E 19th St;New York;NY;American;$$$$$;;Craft Restaurant;Gramercy/Flatiron;43 East 19th Street;43 E 19th St;New York;NY;;;American
Cru;Greenwich Village;24 Fifth Ave;24 5th Ave;New York;NY;Mediterranean;$$$$;;Cru Restaurant;;24 5th Avenue;24 5th Ave;;NY;;;
Da Nico;;164 Mulberry St.;164 Mulberry St;New York;NY;Italian;$$;;Da Nico Ristorante;Chinatown/Little Italy;164 Mulberry Street;164 Mulberry St;New York;NY;;;Italian
Da Nico;Chinatown;;;;;;;;Da Nico Ristorante;Chinatown/Little Italy;164 Mulberry Street;164 Mulberry St;New York;NY;;;Italian
Del Posto;Chelsea;85 10th Ave;85 10th Ave;New York;NY;Italian;$$$$$;;Del Posto Ristorante;;85 10th Avenue;85 10th Ave;;NY;;;
Demarchelier;;50 E. 86th St.;50 East 86th St;New York;NY;;;;Demarchelier Restaurant;Upper East Side;50 E 86th St;50 East 86th St;New York;NY;;;French
Dim Sum Go Go;Chinatown;5 E Broadway;5 E Broadway;New York;NY;Chinese;$;;Dim Sum go go;Chinatown/Little Italy;5 E Broadway-Btwn Catherine St & Chatham Sq;5 E Broadway;New York;NY;;;Chinese
Diva;SOHO;341 W Broadway;341 W Broadway;New York;NY;Italian;$$$;;Diva Restaurant & Bar;Soho;341 W Broadway;341 W Broadway;New York;NY;;;Italian
Diva;SoHo;;;;;;;;Diva Restaurant & Bar;Soho;341 W Broadway;341 W Broadway;New York;NY;;;Italian
Dolce Vita;;181 Grand Street;181 Grand St;New York;NY;;;;Dolce Vita (CLOSED);nan;181 Grand St-;181 Grand St;New York;NY;;;nan
Dolce Vita;SoHo;181 Grand St btwn Baxter and Mulberry...;181 Grand St;;;;;;Dolce Vita (CLOSED);nan;181 Grand St-;181 Grand St;New York;NY;;;nan
El Charro Espanol;Greenwich Village;4 Charles St;4 Charles St;New York;NY;Spanish;$$$;;El Charro Restaurant;nan;4 Charles Street;4 Charles St;New York;NY;;;nan
Epicerie;East Village;170 Orchard St;170 Orchard St;New York;NY;French;$$;;Epicerie Cafe Charbon;;170 Orchard St-At Stanton St;170 Orchard St;;NY;;;
Epices Inc;Upper West Side;103 W 70th St;103 W 70th St;New York;NY;Mediterranean;$$;;Epices du Traiteur;Upper West Side; 103 W 70th St-between Columbus Ave and Broadway;103 W 70th St;New York;NY;Mediterranean;;
Essex;Lower East Side;120 Essex St;120 Essex St;New York;NY;American;$;;Essex Restaurant;Lower East Side;120 Essex Street;120 Essex St;New York;NY;;;Eclectic
Estiatorio Milos;Midtown West;125 West 55th Street;125 W 55th St;New York;NY;Greek;$$$$;;Estiatorio Milos Restaurant;Midtown West;125 West 55th Street;125 W 55th St;New York;NY;;;Greek
FR.OG;SOHO;71 Spring Street;71 Spring St;New York;NY;French;$$$;;FROG;nan;71 Spring St-Btwn Crosby & Lafayette St;71 Spring St;New York;NY;;;nan
Felidia;Midtown East;243 East 58th Street;243 E 58th St;New York;NY;Italian;$$$$;;Felidia Ristorante Inc;Midtown East;243 E 58th St;243 E 58th St;New York;NY;;;Italian
Florent;Meatpacking District;69 Gansevoort St;69 Gansevoort St;New York;NY;American;$;;Florent (CLOSED);Meatpacking District; 69 Gansevoort St-between Greenwich and Washington Sts;69 Gansevoort St;New York;NY;French;;
Frederick's;Midtown West;8 West 58th Street;8 W 58th St;New York;NY;Asian;$$$;;Frederick's Bar & Lounge;;8 West 58th Street;8 W 58th St;New York, NY, 10019;NY;;;
French Roast;Upper West Side;2340 Broadway;2340 Broadway;New York;NY;Breakfast;$;;French Roast Cafe;Upper West Side;2340 Broadway-At 85th St;2340 Broadway;New York;NY;;;Cafés
French Roast;Greenwich Village;2340 Broadway at 85th St;2340 Broadway;;;;;;French Roast Cafe;Upper West Side;2340 Broadway-At 85th St;2340 Broadway;New York;NY;;;Cafés
Funky Diner;Upper West Side;466 Columbus Ave.;466 Columbus Ave;New York;NY;American;$;;Funky Diner (CLOSED);;466 Columbus Avenue;466 Columbus Ave;New York, NY, 10024;NY;;;
Ginger;Upper East Side;1400 Fifth Ave;1400 5th Ave;New York;NY;Chinese;$;;Ginger (CLOSED);Harlem; 1400 Fifth Ave-at 116th St;1400 5th Ave;New York;NY;Chinese;;
Ginger;Harlem;;;;;;;;Ginger (CLOSED);Harlem; 1400 Fifth Ave-at 116th St;1400 5th Ave;New York;NY;Chinese;;
Gonzalez Y Gonzalez;SOHO;625 Broadway;625 Broadway;New York;NY;Mexican;$$$;;Gonzalez y Gonzalez;;625 Broadway-Btwn Houston & Bleecker St;625 Broadway;;NY;;;
Gramercy Tavern;Union Square;42 E 20th St;42 E 20th St;New York;NY;American;$$$$;;Gramercy Tavern Corp;Gramercy/Flatiron;42 E 20th St;42 E 20th St;New York;NY;;;American Creative
Gramercy Tavern;Gramercy / Flatiron;;;;;;;;Gramercy Tavern Corp;Gramercy/Flatiron;42 E 20th St;42 E 20th St;New York;NY;;;American Creative
Great Jones Cafe;NoLita;54 Great Jones St;54 Great Jones St;New York;NY;Southern;$;;Great Jones Café;East Village; 54 Great Jones St-between Bowery and Lafayette St;54 Great Jones St;New York;NY;;;American Regional
Great Jones Cafe;E. Village;;nan;;;;;;Great Jones Café;East Village; 54 Great Jones St-between Bowery and Lafayette St;54 Great Jones St;New York;NY;;;American Regional
Great N.Y. Noodle Town;Chinatown;28 Bowery;28 Bowery;New York;NY;Chinese;$;;Great N.Y. Noodletown;Chinatown;28 Bowery;28 Bowery;New York;NY;;;
HQ;;90 Thompson St;90 Thompson St;New York;NY;;;;HQ (CLOSED);Soho; 90 Thompson St-between Prince and Spring Sts;90 Thompson St;New York;NY;American;;
Hill Country;Chelsea;30 W. 26th St.;30 W 26th St;New York;NY;Barbecue;$$;;Hill Country Barbecue;Chelsea;30 W 26th St.;30 W 26th St;New York;NY;;;Barbeque
Hsf;Chinatown;46 Bowery;46 Bowery;New York;NY;Chinese;$;;Hsf Restaurant;;46 Bowery;46 Bowery;New York;NY;;;
Il Buco;NoLita;47 Bond St;47 Bond St;New York;NY;Italian;$$$;;Il Buco Restaurant;nan;47 Bond Street;47 Bond St;New York;NY;;;nan
Il Cantinori;Greenwich Village;32 East 10th St;32 E 10th St;New York;NY;Italian;$$$$;;Il Cantinori Restaurant Inc;Greenwich Village;32 E 10th St;32 E 10th St;New York;NY;;;Italian
Il Valentino;Midtown East;330 East 56th Street;330 E 56th St;New York;NY;Italian;$$$;;Il Valentino Inc;;330 E 56th St;330 E 56th St;New York;NY;;;
Inagiku;Midtown East;111 East 49th Street;111 E 49th St;New York;NY;Sushi;$$$$;;Inagiku Japanese Restaurant at the Waldo;;111 East 49th Street;111 E 49th St;New York;NY;;;
Island Burgers & Shakes;Midtown West;766 9th Ave;766 9th Ave;New York;NY;American;$;;Island Burgers And Shakes;nan;766 9th Avenue;766 9th Ave;New York;NY;;;nan
Jackson Hole;;232 E 64th St;232 E 64th St;New York;NY;;;;Jackson Hole Burgers;;232 E 64th St;232 E 64th St;New York;NY;;;
Jacques-Imo's;Upper West Side;366 Columbus Ave;366 Columbus Ave;New York;NY;Creole-Cajun;$$;;Jacques’ Brasserie;Upper East Side; 204 E 85th St-between Second and Third Aves;204 E 85th St;New York;NY;French;;
Jaipur's;Midtown East;1007 2nd Avenue;1007 2nd Ave;New York;NY;Indian;$;;Jaipur's Indian Cuisine;East 50s;1007 2nd Ave.;1007 2nd Ave;New York;NY;;;Indian
Jerry's;SOHO;101 Prince St;101 Prince St;New York;NY;American;$$;;Jerry's (CLOSED);;101 Prince Street;101 Prince St;New York, NY, 10012;NY;;;
Johnny Utah's;Midtown West;;;;;;;;Johnny Utah’s;Midtown West;Club Quarters Hotel -25 W 51st Stbetween Fifth and Sixth Aves;;New York;NY;American;;
Kampuchea;;78 Rivington St.;78 Rivington St;New York;NY;Cambodian;;;Kampuchea Restaurant;Lower East Side;78 Rivington St-At Allen St;78 Rivington St;New York;NY;;;Asian: Cambodian
Kampuchea;Lower East Side;;nan;;;;;;Kampuchea Restaurant;Lower East Side;78 Rivington St-At Allen St;78 Rivington St;New York;NY;;;Asian: Cambodian
Kin Khao;SOHO;171 Spring Street;171 Spring St;New York;NY;Asian;$$;;Kin Khao Restaurant;;171 Spring St;171 Spring St;New York;NY;;;
L'Entrecote;;1057 First Ave.;1057 1st Avenue;New York;NY;;;;L'Entrecote (CLOSED);;1057 1st Avenue;1057 1st Avenue;New York, NY, 10022;NY;;;
La Grolla;;413 Amsterdam Ave;413 Amsterdam Ave;New York;NY;;;;La Grolla Ristorante;nan;413 Amsterdam Avenue;413 Amsterdam Ave;New York;NY;;;nan
La Palapa;East Village;214 E Ninth St;214 E 9th St;New York;NY;;$$;Spanish;La Palapa Cocina Mexicana;West Village;359 Sixth Ave.;359 6th Ave;New York;NY;;;Mexican
Landmarc;Gramercy Park;179 W Broadway;179 W Broadway;New York;NY;French;$$$;;Landmarc Restaurant;;179 W Broadway;179 W Broadway;New York;NY;;;
Leela Lounge;;1 W. Third St.;1 W 3rd St;New York;NY;Indian;$$;;Leela Lounge & Restaurant;Greenwich Village;1 West 3rd Street;1 W 3rd St;New York;NY;;;Indian
Leela Lounge;Greenwich Village;;;;;;;;Leela Lounge & Restaurant;Greenwich Village;1 West 3rd Street;1 W 3rd St;New York;NY;;;Indian
Londel's Supper Club;Harlem;2620 Frederick Douglas Blvd;2620 Frederick Douglass Blvd;New York;NY;Southern;$$;;Londels Restaurant;;2620 8th Ave;2620 Frederick Douglass Blvd;New York;NY;;;
Loreley;;7 Rivington St.;7 Rivington St;New York;NY;German;;;Loreley Restaurant & Biergaerten;Lower East Side;7 Rivington St.;7 Rivington St;New York;NY;;;German
Loreley;Lower E. Side;;nan;;;;;;Loreley Restaurant & Biergaerten;Lower East Side;7 Rivington St.;7 Rivington St;New York;NY;;;German
Loreley;Lower East Side;;7 Rivington St;;;;;;Loreley Restaurant & Biergaerten;Lower East Side;7 Rivington St.;7 Rivington St;New York;NY;;;German
Loreley;Lower East Side;;7 Rivington St;;;;;;Loreley Restaurant & Biergaerten;Lower East Side;7 Rivington St.;7 Rivington St;New York;NY;;;German
Lucy Latin Kitchen;Flatiron;35 E 18th St;35 E 18th St;New York;NY;Nuevo Latino;$$$;;Lucy of Gramercy;Gramercy/Flatiron; 35 E 18th St-between Broadway and Park Avenue South;35 E 18th St;New York;NY;Latin American;;
Lure;SOHO;142 Mercer St, Downstairs;142 Mercer St;New York;NY;Seafood;$$$$;;Lure Fishbar;Soho; 142 Mercer St-at Prince St;142 Mercer St;New York;NY;Seafood;;
Mama Mexico;;214 E. 49th St.;214 E 49th St;New York;NY;;;;Mama Mexico -;;214 East 49th Street;214 E 49th St;New York;NY;;;
Mara's Homemade;East Village;342 E Sixth St;342 E 6th St;New York;NY;Creole-Cajun;$$;;Maracas;West Village;33 Greenwich Ave-Btwn 6th & 7th Ave;33 Greenwich Ave;New York;NY;;;Mexican
Marseille;Midtown West;630 Ninth Ave;630 9th Ave;New York;NY;French;$$$;;Marseille Restaurant;Midtown West;630 Ninth Avenue;630 9th Ave;New York;NY;;;French
Mesa Grill;Flatiron;102 5th Ave;102 5th Ave;New York;NY;Southwestern;$$$$;;Mesa Grill Restaurant;Gramercy/Flatiron;102 Fifth Avenue;102 5th Ave;New York;NY;;;American Regional
Mesa Grill;Gramercy / Flatiron;;;;;;;;Mesa Grill Restaurant;Gramercy/Flatiron;102 Fifth Avenue;102 5th Ave;New York;NY;;;American Regional
Miss Maude's Spoonbread Too;Harlem;547 Lenox Ave;547 Lenox Ave;New York;NY;Southern;$;;Miss Maude’s Spoonbread Too;Harlem; 547 Malcolm X Blvd (Lenox Ave)-between 137th and 138th Sts;547 Malcolm X Blvd;New York;NY;American Regional;;
Mo Pitkin's;East Village;34 Ave A;34 Avenue A;New York;NY;Jewish;$$;;Mo Pitkin's (CLOSED);;34 Avenue A;34 Avenue A;New York, NY, 10009;NY;;;
Molyvos;Midtown West;871 7th Avenue;871 7th Ave;New York;NY;Greek;$$$;;Molyvos Restaurant;Midtown West;871 7th Ave;871 7th Ave;New York;NY;;;Greek
Mustang Sally's;Chelsea;324 Seventh Avenue;324 7th Ave;New York;NY;American;$$;;Mustang Sallys Saloon;nan;324 7th Ave;324 7th Ave;New York;NY;;;nan
Nebraska Beef;Wall Street;15 Stone St;15 Stone St;New York;NY;Steakhouse;$$$$;;Nebraska Steak House;;15 Stone St-Btwn Whitehall & Broad St;15 Stone St;;NY;;;
Nougatine;Upper West Side;;;;;;;;Nougatine and Mistral Terrace;Upper West Side;Trump International Hotel & Tower -1 Central Park Westat Columbus Circle;;New York;NY;French;;
Nyonya;Little Italy;194 Grand Street;194 Grand St;New York;NY;Malaysian;$;;Nyonya Cuisine Penang;Chinatown/Little Italy;194 Grand St;194 Grand St;New York;NY;;;Asian: Malaysian
Oceana;Midtown East;55 E 54th St;55 E 54th St;New York;NY;Seafood;$$$$;;Oceana Restaurant;Midtown East;55 E 54th St;55 E 54th St;New York;NY;;;Seafood
Olives;Union Square;201 Park Ave S - W Hotel;201 Park Ave S;New York;NY;Mediterranean;$$$;;Olives NY;;201 Park Ave S-At 17th St;201 Park Ave S;;NY;;;
Omen;SOHO;113 Thompson Street;113 Thompson St;New York;NY;Japanese;$$$;;Omen Restaurant;Soho;113 Thompson St;113 Thompson St;New York;NY;;;Japanese
Omen;SoHo;;nan;;;;;;Omen Restaurant;Soho;113 Thompson St;113 Thompson St;New York;NY;;;Japanese
Onieal's Grand Street;SOHO;174 Grand St;174 Grand St;New York;NY;American;$$$;;Onieals Grand Street;nan;174 Grand Street;174 Grand St;New York;NY;;;nan
Onieal's Grand Street;SOHO;174 Grand St;174 Grand St;New York;NY;American;$$$;;Onieals Grand Street;nan;174 Grand Street;174 Grand St;New York;NY;;;nan
Pepe Giallo;;253 10th Ave;253 10th Ave;New York;NY;;;;Pepe Giallo To Go;Chelsea;253 10th Ave-At 25th St;253 10th Ave;New York;NY;;;Italian
Pepe Giallo;Chelsea;;;;;;;;Pepe Giallo To Go;Chelsea;253 10th Ave-At 25th St;253 10th Ave;New York;NY;;;Italian
Pepe Rosso;SOHO;149 Sullivan St;149 Sullivan St;New York;NY;Italian;$;;Pepe Rosso To Go;Soho;149 Sullivan St-Btwn Prince & Houston St;149 Sullivan St;New York;NY;;;Italian
Pepe Rosso;SOHO;149 Sullivan St;149 Sullivan St;New York;NY;Italian;$;;Pepe Rosso To Go;nan;149 Sullivan St-Btwn Prince & Houston St;149 Sullivan St;New York;NY;;;nan
Persimmon;;277 E 10th St;277 E 10th St;New York;NY;Korean;$$$$;;Persimmon Kimchi House;East Village;277 E. 10th St.;277 E 10th St;New York;NY;;;Korean
Persimmon;East Village;;;;;;;;Persimmon Kimchi House;East Village;277 E. 10th St.;277 E 10th St;New York;NY;;;Korean
Pescatore;Midtown East;955-957 2nd Ave;955 2nd Ave;New York;NY;Indian;$$$;;Pescatore Restaurant;Midtown East;955 2nd Ave;955 2nd Ave;New York;NY;;;Italian
Petite Abeille;W. Village;;;;;;;;Petite Abelle;West Village;466 Hudson Street;466 Hudson St;New York;NY;;;Belgian
Petite Abeille;Greenwich Village;466 Hudson St btwn Barrow and Grove Sts;466 Hudson St;;;;;;Petite Abelle;West Village;466 Hudson Street;466 Hudson St;New York;NY;;;Belgian
Pig Heaven;Midtown West;1540 Second Ave;1540 2nd Ave;New York;NY;Chinese;$$;;Pig Heaven Restaurant;Upper East Side;1540 2nd Ave;1540 2nd Ave;New York;NY;;;Chinese
Pig Heaven;Upper E. Side;;nan;;;;;;Pig Heaven Restaurant;Upper East Side;1540 2nd Ave;1540 2nd Ave;New York;NY;;;Chinese
Ping's Seafood;Chinatown;22 Mott St;22 Mott St;New York;NY;Chinese;$;;Ping's Seafood Restaurant;Chinatown;22 Mott St.;22 Mott St;New York;NY;;;nan
Po;Greenwich Village;31 Cornelia St;31 Cornelia St;New York;NY;Italian;$$$;;Po Restaurant;;31 Cornelia St;31 Cornelia St;New York;NY;;;
Poke;;343 E. 85th St.;343 E 85th St;New York;NY;Sushi;$$;;Poke Restaurant;;343 E 85th St-Btwn 1st & 2nd Ave;343 E 85th St;;NY;;;
Pomme Frites;;123 2nd Ave;123 2nd Ave;New York;NY;Belgian;$;;Pommes Frites;;123 2nd Ave;123 2nd Ave;New York;NY;;;
Pongal;Murray Hill;110 Lexington Ave.;110 Lexington Ave;New York;NY;Indian;$$;;Pongal Inc;;110 Lexington Ave;110 Lexington Ave;New York;NY;;;
Primitivo Osteria;West Village;202 West 14th Street;202 W 14th St;New York;NY;Italian;$$$;;Primitivo Osteria (CLOSED);nan;202 W 14th St-;202 W 14th St;New York;NY;;;nan
Puttanesca;Midtown West;859 9th Avenue;859 9th Ave;New York;NY;Italian;$$;;Puttanesca Italian Restaurant;West 50s;859 9th Ave.;859 9th Ave;New York;NY;;;Italian
Remi;Midtown West;145 W 53rd St;145 W 53rd St;New York;NY;Italian;$$$;;Remi Restaurant;Midtown West;145 W 53rd St;145 W 53rd St;New York;NY;;;Italian
Revival;Harlem;2367 Frederick Douglass Blvd;2367 Frederick Douglass Blvd;New York;NY;Caribbean;$$;;Revival Restaurant Bar Lounge;Harlem;2367 Frederick Douglass Blvd;2367 Frederick Douglass Blvd;New York;NY;;;American
Riingo;Midtown East;205 E. 45th St;205 E 45th St;New York;NY;Japanese;$$$$;;Riingo Restaurant;;205 East 45th Street;205 E 45th St;New York, NY, 10017;NY;;;
Sal Anthony's S.P.Q.R.;Little Italy;133 Mulberry St;133 Mulberry St;New York;NY;Italian;$$;;Sal Anthony's SPQR;nan;133 Mulberry St-;133 Mulberry St;New York;NY;;;nan
Savoy;SOHO;70 Prince St;70 Prince St;New York;NY;American;$$$;;Savoy Restaurant;Soho;70 Prince Street;70 Prince St;New York;NY;;;American Creative
Savoy;SoHo;;nan;;;;;;Savoy Restaurant;Soho;70 Prince Street;70 Prince St;New York;NY;;;American Creative
Savoy;SoHo;;nan;;;;;;Savoy Restaurant;Soho;70 Prince Street;70 Prince St;New York;NY;;;American Creative
Savoy;Soho;;nan;;;;;;Savoy Restaurant;Soho;70 Prince Street;70 Prince St;New York;NY;;;American Creative
Savoy;SoHo;;nan;;;;;;Savoy Restaurant;Soho;70 Prince Street;70 Prince St;New York;NY;;;American Creative
Scaletta;Midtown West;50 W 77th St;50 W 77th St;New York;NY;Italian;$$$;;Scaletta Restaurant;nan;50 West 77th Street;50 W 77th St;New York;NY;;;nan
