level_0;level_1;ristorante;indirizzo;Score;restaurant_x;address_x;addressGoogle_x;country_x;neighborhood_x;type_x;phone_x;restaurant_y;address_y;addressGoogle_y;country_y;neighborhood_y;type_y;phone_y
3421;263;0,858;1;1,858;Bella BLU Restaurant;967 Lexington Avenue;967 Lexington Ave;New York;;;;Bella Blu; 967 Lexington Ave-between 70th and 71st Sts;967 Lexington Ave;New York;Upper East Side;Italian;(212-988-4624)
3501;288;0,892;1;1,893;Big Nick's Pizza;2175 Broadway;2175 Broadway;New York;;;;Big Nick’s; 2175 Broadway-between 76th and 77th Sts;2175 Broadway;New York;Upper West Side;American;(212-362-9238)
3501;3500;0,872;1;1,872;Big Nick's Pizza;2175 Broadway;2175 Broadway;New York;;;;Big Nick's Burger and Pizza Joint;2175 Broadway;2175 Broadway;New York;;;
8029;3500;0,927;1;1,927;Big Nick's Burger Joint and Pizza Joint;2175 Broadway;2175 Broadway;;;;;Big Nick's Burger and Pizza Joint;2175 Broadway;2175 Broadway;New York;;;
3590;312;0,893;1;1,893;Blossom Vegan Restaurant & Cafe;187 9 Av;187 9th Ave;New York;;;;Blossom Vegetarian Restaurant; 187 Ninth Ave-between 21st and 22nd Sts;187 9th Ave;New York;Chelsea;Vegetarian & Organic;(212-627-1144)
3612;325;0,982;1;1,982;Bobby Van's Steakhouse;230 Park Avenue;The Helmsley Building;New York;;;;Bobby Van’s Steakhouse; 230 Park Ave-at 46th St;The Helmsley Building;New York;Midtown East;Steakhouses;(212-867-5490)
3613;326;0,946;1;1,946;Bobby's Fish and Seafood Restaurant Inc;3842 9th Avenue;3842 9th Ave;New York;;;;Bobby’s Fish and Seafood Restaurant CLOSED; 3842 Ninth Ave-at 206th St;3842 9th Ave;New York;Inwood;Seafood;(212-304-9440)
3621;336;0,862;1;1,862;Bolo;23 E 22nd St (Between Broadway And Park;23 E 22nd St;New York;;;;Bolo (CLOSED); 23 E 22nd St-between Broadway and Park Ave South;23 E 22nd St;New York;Gramercy/Flatiron;Spanish;(212-228-2200)
3663;370;0,973;1;1,973;Brasserie 8 1 2;9 West 57th Street;East River Realty Company;New York;;;;Brasserie 8 1/2; 9 W 57th St-between Fifth and Sixth Aves;East River Realty Company;New York;Midtown West;French;(212-829-0812)
12780;370;0,930;1;1,930;Brasserie 8½;9 West 57th Street;East River Realty Company;New York, NY, 10019;;;;Brasserie 8 1/2; 9 W 57th St-between Fifth and Sixth Aves;East River Realty Company;New York;Midtown West;French;(212-829-0812)
3734;396;0,910;1;1,910;Bruno Restaurant;240 E 58th St;240 E 58th St;New York;;;;Bruno Ristorante; 240 E 58th St-between Second and Third Aves;240 E 58th St;New York;Midtown East;Italian;(212-688-4190)
3995;496;0,880;1;1,880;Calle OCHO;446 Columbus Av;446 Columbus Ave;New York;;;;Calle Ocho; 446 Columbus Ave-between 81st and 82nd Sts;446 Columbus Ave;New York;Upper West Side;Caribbean;(212-873-5025)
4021;504;0,986;1;1,986;Capital Grill;155 East 42;155 E 42nd St;New York;;;;Capital Grille; 155 E 42nd St-between Lexington and Third Aves;155 E 42nd St;New York;Midtown East;Steakhouses;(212-953-2000)
8056;504;0,900;1;1,900;Capital Grille New York City;155 East 42nd Street;155 E 42nd St;;;;;Capital Grille; 155 E 42nd St-between Lexington and Third Aves;155 E 42nd St;New York;Midtown East;Steakhouses;(212-953-2000)
4030;506;0,857;1;1,857;Capsouto Freres Bistro Restaurant;451 Washington Street;451 Washington St;New York;;;;Capsouto Frères; 451 Washington St-at Watts St;451 Washington St;New York;Tribeca;French;(212-966-4900)
4056;512;0,872;1;1,872;Carmine's Takeout;2450 Broadway;2450 Broadway;New York;;;;Carmine’s; 2450 Broadway-between 90th and 91st Sts;2450 Broadway;New York;Upper West Side;Italian;(212-362-2200)
4056;4055;0,882;1;1,882;Carmine's Takeout;2450 Broadway;2450 Broadway;New York;;;;Carmine's Restrnt;2450 Broadway;2450 Broadway;New York;;;
4085;526;0,914;1;1,914;Casbah Rouge;2841 Broadway;2841 Broadway;New York;;;;Casbah Rouge (CLOSED); 2841 Broadway-between 110th and 111th Sts;2841 Broadway;New York;Upper West Side;Moroccan;(212-932-2222)
4091;529;0,933;1;1,933;Cast Iron Cafe;641 Avenue Of The Americ;641 6th Ave;New York;;;;Cast-Iron Cafe; 641 Sixth Ave-between 19th and 20th Sts;641 6th Ave;New York;Chelsea;Cafés;(212-462-2244)
4247;567;0,885;1;1,885;Chickie Pig's Brick Oven;121 Ludlow Street;121 Ludlow St;New York;;;;Chickie Pig’s; 121 Ludlow St-between Delancey and Rivington Sts;121 Ludlow St;New York;Lower East Side;Italian: Pizza;(212-982-9822)
4360;604;0,876;1;1,876;Cipriani At 55 Wall;55 Wall St;55 Wall St;New York;;;;Cipriani Club 55; 55 Wall St-between Hanover and William Sts;55 Wall St;New York;Financial District;Italian;(212-699-4096)
4375;611;0,918;1;1,918;City Crab & Seafood Company;235 Park Ave South;235 Park Ave S;New York;;;;City Crab and Seafood Company; 235 Park Ave South-at 19th St;235 Park Ave S;New York;Gramercy/Flatiron;Seafood;(212-529-3800)
4458;639;0,835;1;1,835;Coppolas Pizzeria Restaurant;206 W 79th St;206 W 79th St;New York;;;;Coppola’s; 206 W 79th St-between Amsterdam Ave and Broadway;206 W 79th St;New York;Upper West Side;Italian;(212-877-3840)
4543;690;0,824;1;1,824;Dae Dong Manhattan Inc;17 W 32nd St;17 W 32nd St;New York;;;;Dae Dong Restaurant (CLOSED); 17 W 32nd St-between Fifth Ave and Broadway;17 W 32nd St;New York;Midtown West;Korean;(212-967-1900)
4652;762;0,870;1;1,870;Dok Sunis Restaurant;119 1st Ave;119 1st Avenue;New York;;;;Dok Suni’s; 119 First Ave-between St. Marks Pl and E 7th St;119 1st Avenue;New York;East Village;Korean;(212-477-9506)
4680;781;0,967;1;1,967;Dukes;99 E 19th St;99 E 19th St;New York;;;;Duke’s; 99 E 19th St-between Park Ave South and Irving Pl;99 E 19th St;New York;Gramercy/Flatiron;American Regional;(212-260-2922)
4780;831;0,829;1;1,829;Elios Restaurant;1621 2nd Ave;1621 2nd Ave;New York;;;;Elio’s; 1621 Second Ave-between 84th and 85th Sts;1621 2nd Ave;New York;Upper East Side;Italian;(212-772-2242)
4787;834;0,964;1;1,964;Elvies Turo Turo;214 1st Ave;214 1st Avenue;New York;;;;Elvie’s Turo-Turo; 214 First Ave-between 12th and 13th Sts;214 1st Avenue;New York;East Village;Asian: Filipino;(212-473-7785)
4829;860;0,866;1;1,866;Etats Unis Restaurant;242 E 81st St;242 E 81st St;New York;;;;Etats-Unis; 242 E 81st St-between Second and Third Aves;242 E 81st St;New York;Upper East Side;American Creative;(212-517-8826)
4928;904;0,938;1;1,938;Flea Market;131 Avenue A;131 Avenue A;New York;;;;Flea Market Cafe; 131 Ave A-between St. Marks Pl and 9th St;131 Avenue A;New York;East Village;French;(212-358-9280)
5015;958;0,992;1;1,992;Gabriels Bar & Restaurant;11 W 60th St;11 W 60th St;New York;;;;Gabriel’s Bar & Restaurant; 11 W 60th St-between Broadway and Columbus Ave;11 W 60th St;New York;Upper West Side;Italian;(212-956-4600)
5058;980;0,858;1;1,858;Gigino Restaurant;323 Greenwich St;323 Greenwich St;New York;;;;Gigino Trattoria; 323 Greenwich St-between Duane and Reade Sts;323 Greenwich St;New York;Tribeca;Italian;(212-431-1112)
5059;985;0,894;1;1,894;Gin Lane;355 West 14th Street;355 W 14th St;New York;;;;Gin Lane (CLOSED); 355 W 14th St-at Ninth Ave;355 W 14th St;New York;Meatpacking District;American;(212-691-0555)
5122;1008;0,959;1;1,959;Gotham Bar & Grill;12 E 12th St;12 E 12th St;New York;;;;Gotham Bar and Grill; 12 E 12th St-between Fifth Ave and University Pl;12 E 12th St;New York;Greenwich Village;American Creative;(212-620-4020)
5341;1098;0,978;1;1,978;Hudson Corner Cafe;570 Hudson St;570 Hudson St;New York;;;;Hudson Corner Café; 570 Hudson St-at 11th St;570 Hudson St;New York;West Village;American;(212-229-2727)
5372;1107;0,971;1;1,971;I Copi;432 East 9th Street;432 E 9th St;New York;;;;I Coppi; 432 E 9th St-between First Ave and Ave A;432 E 9th St;New York;East Village;Italian;(212-254-2263)
5443;1156;0,870;1;1,870;Isabellas Restaurant;359 Columbus Ave;359 Columbus Ave;New York;;;;Isabella’s; 359 Columbus Ave-at 77th St;359 Columbus Ave;New York;Upper West Side;Mediterranean;(212-724-2100)
5510;1194;0,890;1;1,890;Jewel Of India Restaurant;15 W 44th St;15 W 44th St;New York;;;;Jewel of India; 15 W 44th St-between Fifth and Sixth Aves;15 W 44th St;New York;Midtown West;Indian;(212-869-5544)
5620;1244;0,964;1;1,964;Keens Steak House;72 W 36th St;72 W 36th St;New York;;;;Keens Steakhouse; 72 W 36th St-between Fifth and Sixth Aves;72 W 36th St;New York;Midtown West;Steakhouses;(212-947-3636)
5676;1273;0,900;1;1,900;Kobma;611 Hudson St;611 Hudson St;New York;;;;Kobma Thai; 611 Hudson St-between Jane and W 12th Sts;611 Hudson St;New York;West Village;Japanese;(212-645-8622)
5681;1277;0,937;1;1,937;Kong Kee Food;240 Grand St;240 Grand St;New York;;;;Kong Kee Food Corp.; 240 Grand St-at Bowery;240 Grand St;New York;Chinatown/Little Italy;Chinese;(212-966-1350)
5691;1287;0,933;1;1,933;Kum Gang Inc;49 W 32nd St;49 W 32nd St;New York;;;;Kum Gang San; 49 W 32nd St-at Broadway;49 W 32nd St;New York;Midtown West;Korean;(212-967-0909)
5721;1311;0,914;1;1,914;La Casalinga;120 1st Ave;120 1st Avenue;New York;;;;La Casalinga (CLOSED); 120 First Ave-between St. Marks Pl and 7th St;120 1st Avenue;New York;East Village;Italian;(212-979-1246)
13261;1311;0,931;1;1,931;La Casalinga Restaurant (CLOSED);120 1ST Avenue;120 1st Avenue;New York, NY, 10009;;;;La Casalinga (CLOSED); 120 First Ave-between St. Marks Pl and 7th St;120 1st Avenue;New York;East Village;Italian;(212-979-1246)
5845;1382;0,905;1;1,905;Le Streghe;331 W Broadway;331 W Broadway;New York;;;;Le Streghe (CLOSED); 331 West Broadway-at Grand St;331 W Broadway;New York;Soho;Italian;(212-343-2080)
5846;1383;0,905;1;1,905;Le Tableau;511 E 5th St;511 E 5th St;New York;;;;Le Tableau (CLOSED); 511 E 5th St-between Aves A and B;511 E 5th St;New York;East Village;French;(212-260-1333)
5851;1384;0,914;1;1,914;Le Veau Dor;129 E 60th St;129 E 60th St;New York;;;;Le Veau d’Or; 129 E 60th St-between Park and Lexington Aves;129 E 60th St;New York;Upper East Side;French;(212-838-8133)
5889;1399;0,956;1;1,956;Life Cafe;343 E 10th St;343 E 10th St;New York;;;;Life Café; 343 E 10th St-at Ave B;343 E 10th St;New York;East Village;American;(212-477-8791)
5917;1417;0,980;1;1,980;Lombardis;32 Spring St;32 Spring St;New York;;;;Lombardi’s; 32 Spring St-between Mott and Mulberry Sts;32 Spring St;New York;Chinatown/Little Italy;Italian: Pizza;(212-941-7994)
5948;1429;0,985;1;1,985;Lucky Chengs;24 First Avenue;24 1st Avenue;New York;;;;Lucky Cheng’s; 24 First Ave-between 1st and 2nd Sts;24 1st Avenue;New York;East Village;Asian: Pan-Asian;(212-473-0516)
5961;1434;0,989;1;1,989;Lukes Bar & Grill;1394 3rd Ave;1394 3rd Ave;New York;;;;Luke’s Bar & Grill; 1394 Third Ave-between 79th and 80th Sts;1394 3rd Ave;New York;Upper East Side;American;(212-249-7070)
5972;1441;0,927;1;1,927;Lupes East L A Kitchen Inc;110 Avenue Of The Americas;110 6th Ave;New York;;;;Lupe’s East L.A. Kitchen; 110 Sixth Ave-at Watts St;110 6th Ave;New York;Soho;Mexican;(212-966-1326)
5976;1445;0,971;1;1,971;Luzias;429 Amsterdam Ave;429 Amsterdam Ave;New York;;;;Luzia’s; 429 Amsterdam Ave-between 80th and 81st Sts;429 Amsterdam Ave;New York;Upper West Side;Portuguese;(212-595-2000)
5998;1466;0,964;1;1,964;Madras Cafe;79 2nd Ave;79 2nd Ave;New York;;;;Madras Café; 79 Second Ave-between 4th and 5th Sts;79 2nd Ave;New York;East Village;Indian;(212-254-8002)
6114;1533;0,887;1;1,887;Mayrose;920 Broadway;920 Broadway;New York;;;;Mayrose (CLOSED); 920 Broadway-at 21st St;920 Broadway;New York;Gramercy/Flatiron;American;(212-533-3663)
6184;1559;0,900;1;1,900;Mi Cocina;57 Jane St;57 Jane St;New York;;;;Mi Cocina (CLOSED); 57 Jane St-at Hudson St;57 Jane St;New York;West Village;Mexican;(212-627-8273)
6201;1562;0,862;1;1,862;Michaels Restaurant;24 W 55th St;24 W 55th St;New York;;;;Michael’s; 24 W 55th St-between Fifth and Sixth Aves;24 W 55th St;New York;Midtown West;American;(212-767-0555)
6405;1652;0,969;1;1,969;New Leaf Cafe;Fort Tryon Park;Riverside;New York;;;;New Leaf Café; Fort Tryon Park-1 Margaret Corbin Dr;Riverside;New York;Washington Heights;American;(212-568-5323)
6436;1665;0,926;1;1,926;Nick & Tonis Cafe;100 W 67th St;100 W 67th St;New York;;;;Nick & Toni’s; 100 W 67th St-between Columbus Ave and Broadway;100 W 67th St;New York;Upper West Side;Mediterranean;(212-496-4000)
13435;1665;0,843;1;1,843;Nick And Toni's Cafe;100 West 67th Street;100 W 67th St;New York, NY, 10023;;;;Nick & Toni’s; 100 W 67th St-between Columbus Ave and Broadway;100 W 67th St;New York;Upper West Side;Mediterranean;(212-496-4000)
6448;1671;0,829;1;1,829;Ninos Restaurant;1354 1st Ave;1354 1st Avenue;New York;;;;Nino’s; 1354 First Ave-between 72nd and 73rd Sts;1354 1st Avenue;New York;Upper East Side;Italian;(212-988-0002)
6479;1703;0,822;1;1,822;Novitas Restaurant;102 E 22nd St;102 E 22nd St;New York;;;;Novitá; 102 E 22nd St-at Park Ave South;102 E 22nd St;New York;Gramercy/Flatiron;Italian;(212-677-2222)
6524;1716;0,922;1;1,922;Old Devil Moon;511 East 12th Street;511 E 12th St;New York;;;;Old Devil Moon (CLOSED); 511 E 12th St-between Aves A and B;511 E 12th St;New York;East Village;American Regional;(212-475-4357)
6555;1731;0,957;1;1,957;Onieals Grand Street Bar;174 Grand St;174 Grand St;New York;;;;Onieal’s Grand Street; 174 Grand St-between Centre Market Pl and Mulberry St;174 Grand St;New York;Chinatown/Little Italy;American;(212-941-9119)
6693;1806;0,850;1;1,850;Pauls Palace;131 2nd Ave;131 2nd Ave;New York;;;;Paul’s; 131 Second Ave-between St. Marks Pl and E 7th St;131 2nd Ave;New York;East Village;Cafés & diners;(212-529-3097)
6701;1811;0,863;1;1,863;Pearl;18 Cornelia St;18 Cornelia St;New York;;;;Pearl Oyster Bar; 18 Cornelia St-between Bleecker and W 4th Sts;18 Cornelia St;New York;West Village;Seafood;(212-691-8211)
6723;1828;0,980;1;1,980;Pergola Des Artistes;252 W 46th St;252 W 46th St;New York;;;;Pergola des Artistes; 252 W 46th St-between Broadway and Eighth Ave;252 W 46th St;New York;Midtown West;French;(212-302-7500)
6738;1839;0,985;1;1,985;Petes Tavern;129 E 18th St;129 E 18th St;New York;;;;Pete’s Tavern; 129 E 18th St-at Irving Pl;129 E 18th St;New York;Gramercy/Flatiron;American;(212-473-7676)
6890;1938;0,842;1;1,842;Raouls Restaurant;180 Prince St;180 Prince St;New York;;;;Raoul’s; 180 Prince St-between Sullivan and Thompson Sts;180 Prince St;New York;Soho;French;(212-966-3518)
7102;2069;0,875;1;1,875;Sarges Deli & Restaurant;548 3rd Ave;548 3rd Ave;New York;;;;Sarge’s Deli; 548 Third Ave-between 36th and 37th Sts;548 3rd Ave;New York;Midtown East;American;(212-679-0442)
7144;2094;0,971;1;1,971;Seppis;123 West 56th Street;123 W 56th St;New York;;;;Seppi’s; 123 W 56th St-between Sixth and Seventh Aves;123 W 56th St;New York;Midtown West;French;(212-708-7444)
7150;2102;0,944;1;1,944;Sette Mezzo;969 Lexington Ave;969 Lexington Ave;New York;;;;Settemezzo; 969 Lexington Ave-between 70th and 71st Sts;969 Lexington Ave;New York;Upper East Side;Italian;(212-472-0400)
7160;2111;0,948;1;1,948;Shaffer City Oyster Bar;5 W 21st St;5 W 21st St;New York;;;;Shaffer City Oyster Bar & Grill; 5 W 21st St-between Fifth and Sixth Aves;5 W 21st St;New York;Chelsea;Seafood;(212-255-9827)
7215;2138;0,910;1;1,910;Silver Swan;41 E 20th St;41 E 20th St;New York;;;;Silver Swan (CLOSED); 41 E 20th St-between Broadway and Park Ave South;41 E 20th St;New York;Gramercy/Flatiron;German;(212-254-3611)
7479;2316;0,975;1;1,975;Ted's Montana Grill;110 W. 51st Street;110 W 51st St;New York;;;;Ted’s Montana Grill; 110 W 51st St-between Sixth and Seventh Aves;110 W 51st St;New York;Midtown West;American;(212-245-5220)
7544;2424;0,900;1;1,900;Tien Garden Inc;170 Allen St;170 Allen St;New York;;;;Tiengarden; 170 Allen St-between Rivington and Stanton Sts;170 Allen St;New York;Lower East Side;Vegetarian & Organic;(212-388-1364)
13839;2424;0,874;1;1,874;Tiengarden Vegan Restaurant;170 Allen Street;170 Allen St;New York, NY, 10002;;;;Tiengarden; 170 Allen St-between Rivington and Stanton Sts;170 Allen St;New York;Lower East Side;Vegetarian & Organic;(212-388-1364)
7562;2436;0,900;1;1,900;Tokyo Pop;2728 Broadway;2728 Broadway;New York;;;;Tokyo Pop (CLOSED); 2728 Broadway-at 104th St;2728 Broadway;New York;Upper West Side;Japanese;(212-932-1000)
7671;2495;0,887;1;1,887;Uncle Moes Burritos;14 W 19th St;14 W 19th St;New York;;;;Uncle Moe’s; 14 W 19th St-between Fifth and Sixth Aves;14 W 19th St;New York;Chelsea;Mexican;(212-727-9400)
7674;2498;0,938;1;1,938;Uncle Vanya;315 W 54th St;315 W 54th St;New York;;;;Uncle Vanya Cafe; 315 W 54th St-between Eighth and Ninth Aves;315 W 54th St;New York;Midtown West;Russian;(212-262-0542)
7854;2583;0,988;1;1,988;Wollenskys Grill;201 E 49th St;201 E 49th St;New York;;;;Wollensky’s Grill; 201 E 49th St-at Third Ave;201 E 49th St;New York;Midtown East;Steakhouses;(212-753-0444)
7960;2857;0,882;1;1,882;88 Noodle & Oriental House;565 Columbus Avenue;565 Columbus Ave;;;;;88 Noodle House;565 Columbus Avenue;565 Columbus Ave;New York;;;
7964;43;0,976;1;1,976;Accademia Di Vino;1081 Third Avenue;1081 3rd Ave;;;;;Accademia di Vino; 1081 Third Ave-at 64th St;1081 3rd Ave;New York;Upper East Side;Italian;(212-888-6333)
7965;46;0,910;1;1,910;Acqua Pazza;36 West 52nd Street;36 W 52nd St;;;;;Acqua Pazza (CLOSED); 36 W 52nd St-between Fifth and Sixth Aves;36 W 52nd St;New York;Midtown West;Italian;(212-582-6900)
7986;99;0,949;1;1,949;Amsterdam Restaurant & Tapas Lounge;1207 Amsterdam Avenue;1207 Amsterdam Ave;;;;;Amsterdam Restaurant and Tapas Lounge; 1207 Amsterdam Ave-between 119th and 120th Sts;1207 Amsterdam Ave;New York;Columbia University–City College;Mediterranean;(212-662-6330)
7997;147;0,881;1;1,881;Asiana Restaurant and Bar;120 East 34th Street;120 E 34th St;;;;;Asiana?Restaurant & Bar?; 120 East 34th Street-between Lexington and Park Aves;120 E 34th St;New York;Midtown East;Asian: Pan-Asian;(212-712-7666)
8010;201;0,887;1;1,887;Bagicha;226 West 79th Street;226 W 79th St;;;;;Bagicha (CLOSED); 226 W 79th St-at Broadway;226 W 79th St;New York;Upper West Side;Indian;(212-362-1767)
8011;3324;0,862;1;1,862;Baluchi's West 56th Street;240 West 56th Street;240 W 56th St;;;;;Baluchis;240 West 56th Street;240 W 56th St;New York;;;
8018;3429;0,878;1;1,878;Bellini;208 East 52nd Street;208 E 52nd St;;;;;Bellini Restaurant;208 E 52nd St;208 E 52nd St;New York;;;
8019;3435;0,878;1;1,878;Belluno;340 Lexington Avenue;340 Lexington Ave;;;;;Belluno Ristorante;340 Lexington Avenue;340 Lexington Ave;New York;;;
8021;3443;0,900;1;1,900;Ben Benson's;123 West 52 Street;123 W 52nd St;;;;;Ben Benson's Steak House;123 W 52nd St;123 W 52nd St;New York;;;
12753;3443;0,975;1;1,975;Ben Benson's Steakhouse;123 West 52nd Street;123 W 52nd St;New York, NY, 10019;;;;Ben Benson's Steak House;123 W 52nd St;123 W 52nd St;New York;;;
8026;3467;0,931;1;1,931;Berger's Delicatessen;44 West 47 Street;44 W 47th St;;;;;Berger's Delicatessen Restaurant;44 West 47th Street;44 W 47th St;New York;;;
8038;355;0,975;1;1,975;Bottega Del Vino;7 East 59th Street;7 E 59th St;;;;;Bottega del Vino; 7 East 59th St-at Fifth Ave;7 E 59th St;New York;Midtown East;Italian;(212-223-3028)
8040;3648;0,900;1;1,900;Bouley Bakery Restaurant;120 West Broadway;120 W Broadway;;;;;Bouley Restaurant;120 W Broadway;120 W Broadway;New York;;;
8040;359;0,891;1;1,891;Bouley Bakery Restaurant;120 West Broadway;120 W Broadway;;;;;Bouley Bakery & Market; 120 West Broadway-at Duane St;120 W Broadway;New York;Tribeca;Food or Beverage Shop;(212-608-5829)
8046;409;0,894;1;1,894;Bull Run;52 William Street;52 William St;;;;;Bull Run (CLOSED); 52 William St-at Pine St;52 William St;New York;Financial District;American;(212-859-2200)
8071;4267;0,885;1;1,885;China Evian;144 West 46 Street;144 W 46th St;;;;;China Evian Restaurant Inc;144 W 46th St;144 W 46th St;New York;;;
8073;4280;0,908;1;1,908;China Regency;850 Seventh Avenue;850 7th Ave;;;;;China Regency Restaurant;850 7th Avenue Frnt 1;850 7th Ave;New York;;;
8074;591;0,900;1;1,900;Chop Suey;714 Seventh Avenue;714 7th Ave;;;;;Chop Suey (CLOSED); 714 Seventh Ave-between 47th and 48th Sts;714 7th Ave;New York;Midtown West;Korean;(212-261-5200)
8086;4447;0,904;1;1,904;Conservatory;15 Central Park West;15 Central Park West;;;;;Conservatory Restaurant;15 Central Park W;15 Central Park West;New York;;;
8088;640;0,931;1;1,931;Core One Nine One;191 Orchard Street;191 Orchard St;;;;;Core One Nine One (CLOSED); 191 Orchard St-between Houston and Stanton Sts;191 Orchard St;New York;Lower East Side;American Creative;(212-228-9888)
8100;729;0,964;1;1,964;Delmonico's;56 Beaver Street;56 Beaver St;;;;;Delmonico’s; 56 Beaver St-at South William St;56 Beaver St;New York;Financial District;American;(212-509-1144)
8102;745;0,956;1;1,956;Dinosaur Bar B Que;646 West 131st Street;646 W 131st St;;;;;Dinosaur Bar-B-Que; 646 W 131st St-between Broadway and Riverside Dr;646 W 131st St;New York;Columbia University–City College;Barbeque;(212-694-1777)
8112;4696;0,884;1;1,884;East Bay;491 1st Avenue;491 1st Avenue;;;;;East Bay Restaurant;491 1st Ave;491 1st Avenue;New York;;;
8114;4732;0,864;1;1,864;El Azteca;783 Ninth Avenue;783 9th Ave;;;;;El Azteca Mexican Restaurant;783 9th Avenue Frnt;783 9th Ave;New York;;;
8115;818;0,933;1;1,933;El Parador;325 East 34th Street;325 E 34th St;;;;;El Parador Cafe; 325 E 34th St-between First and Second Aves;325 E 34th St;New York;Midtown East;Mexican;(212-679-6812)
4756;818;0,958;1;1,958;El Parador Cafe Inc;325 E 34th St;325 E 34th St;New York;;;;El Parador Cafe; 325 E 34th St-between First and Second Aves;325 E 34th St;New York;Midtown East;Mexican;(212-679-6812)
8117;4766;0,893;1;1,893;El Rio Grande;160 East 38th Street;160 E 38th St;;;;;El Rio Grande Restaurant Inc;160 E 38th St;160 E 38th St;New York;;;
8121;845;0,885;1;1,885;English Is Italian;622 3rd Avenue;622 3rd Ave;;;;;English is Italian (CLOSED); 622 Third Ave-at 40th St;622 3rd Ave;New York;Midtown East;Italian;(212-404-1700)
