Name;Neighborhood;Address;Country;Country code;Type;Cost;1_country_code;1_cost
79 Baxter Pub Inc;;;New York;NY;;;NY;
79 Street Boat Basin Cafe;;;New York;NY;;;NY;
7A;E. Village;;New York;NY;;;;
7A Cafe;East Village;;New York;NY;American;;NY;
7th Avenue Deli;;;New York;NY;;;NY;
7th Avenue Deli Grocery;;;New York;NY;;;NY;
8 AV Deli & Flowers;;;New York;NY;;;NY;
809 Sangria Bar & Grill;Wash Hts/inwood;;New York;NY;;;;
809 Sangria Bar and Grill;Inwood;;New York;NY;Caribbean: Dominican;;NY;
81 Farm Deli;;;New York;NY;;;NY;
81 Pearl Chinese Restaurant;;;New York;NY;;;NY;
810 Deli Inc;;;New York;NY;;;NY;
82-Lugan Food Corporation;;;New York;NY;;;NY;
82nd Street Deli;;;New York;NY;;;NY;
837 Deli Inc;;;New York;NY;;;NY;
85 Down;;;New York;NY;;;NY;
875 Third Ave Metro Coffee Shop;;;New York;NY;;;NY;
879 Taco;;;New York;NY;;;NY;
87th Deli & Grocery;;;New York;NY;;;NY;
88 Allen Kitchen Inc;;;New York;NY;;;NY;
88 Lex Grill Inc;;;New York;NY;;;NY;
88 Noodle & Oriental House;;;New York;NY;;;NY;
88 Orchard;Lower East Side;;New York;NY;;;;
88 Palace;East Village;;New York;NY;;;NY;
88 Reach House;;;New York;NY;;;NY;
888 Great Wall Kitchen;;;New York;NY;;;NY;
89 Gourmet Deli;;;New York;NY;;;NY;
90 St Grocery;;;New York;NY;;;NY;
910 8 AV Corporation;;;New York;NY;;;NY;
915 Pub;;;New York;NY;;;NY;
92YTribeca Cafe;Tribeca;;New York;NY;Kosher;;NY;
92nd Street Gourmet Deli & Grocery;;;New York;NY;;;NY;
94 Deli and Salad;;;New York;NY;;;NY;
96 Rose Deli & Grocery;;;New York;NY;;;NY;
964 Jumbo Pizza Coffee Shop;;;New York;NY;;;NY;
97th Street Greenmarket;;;New York;NY;;;NY;
99 Cent Fresh Pizza;;;New York;NY;;;NY;
99 Hudson Street Restaurant and Lounge;;;New York;NY;;;NY;
99 Miles To Philly Inc;;;New York;NY;;;NY;
99 Miles to Philly;East Village;;New York;NY;;;;
99 Second Restaurant;;;New York;NY;;;NY;
999 Union Farm Corp;;;New York;NY;;;NY;
99c Fresh Pizza;Midtown West;;New York;NY;Italian;;NY;
99¢ Fresh Pizza;Midtown East;;New York;NY;;;;
9th Street Market (CLOSED);;;New York;NY;;;NY;
?sküdar;Upper East Side;;New York;NY;Turkish;;NY;
A;;;New York;NY;;;;
A & A Deli & Bagels Inc;;;New York;NY;;;NY;
A & B Deli Inc;;;New York;NY;;;NY;
A & B Restaurant;;;New York;NY;;;NY;
A & C Kitchen;;;New York;NY;;;NY;
A & J Grand Enterprise Inc;;;New York;NY;;;NY;
A & K News & Candy Store Inc;;;New York;NY;;;NY;
A & M Roadhouse;;;New York;NY;;;NY;
A & M Seafood;;;New York;NY;;;NY;
A & N Falfel;;;New York;NY;;;NY;
A & R West Indian Restaurant;;;New York;NY;;;NY;
A & S Delicatessen;;;New York;NY;;;NY;
A & S Grovery Deli;;;New York;NY;;;NY;
A & S Restaurant;;;New York;NY;;;NY;
A & Three S Food Corporation;;;New York;NY;;;NY;
A & Y Food Center;;;New York;NY;;;NY;
A Cafe;;;New York;NY;;;NY;
A Cafe And Wine Room;Upper West Side;;New York;NY;Eclectic;;NY;
A Casa Fox;;;New York;NY;;;NY;
A J Kelly;;;New York;NY;;;NY;
A LA Creole;;;New York;NY;;;NY;
A La Brasa;;;New York;NY;;;NY;
A La Turka;;;New York;NY;;;NY;
A M H Deli & Grocery;;;New York;NY;;;NY;
A Marok Bar & Grill;;;New York;NY;;;NY;
A Restaurant Charlotte;;;New York;NY;;;NY;
A Salt & Battery;W. Village;;New York;NY;;;;
A Salt & Battery (CLOSED);East Village;;New York;NY;British & Irish;;NY;
A Salt and Battery;Greenwich Village;;New York;NY;;;;
A Slice of New York;;;New York;NY;;;NY;
A Taste Of Seafood;;;New York;NY;;;NY;
A Taste Of Siam;E. Village;;New York;NY;;;;
A Taste Siam Thai Restauarnt;;;New York;NY;;;NY;
A Tavola Italian Diner;;;New York;NY;;;NY;
A Voce;Flatiron/u. Sq.;;New York;NY;;;;
A&A Coffee Shop;;;New York;NY;;;NY;
A-;;;New York;NY;;;NY;
A-1Pizza Shop;;;New York;NY;;;NY;
A-Mix 1;;;New York;NY;;;NY;
A.J Maxwells - Steakhouse;;;New York;NY;;;NY;
A.O.C.;Greenwich Village;;New York;NY;French;$$$;;
A.O.C. Bedford;West Village;;New York;NY;French;$$;;
A.O.C., (l’Ail ou la Cuisse);West Village;;New York;NY;;;;
ABID Inc DBA Subway;;;New York;NY;;;NY;
ACME Bar & Grill;East Village;;New York;NY;;;;
AER Restaurant;;;New York;NY;;;NY;
AJ Maxwell's;Midtown West;;New York;NY;;;;
AJ Maxwell's - Steakhouse;Theater District;;New York;NY;;;;
AJ Maxwell's Steakhouse;;;New York;NY;;;NY;
AJA;;;New York;NY;;;NY;
AKI On West 4th;;;New York;NY;;;NY;
AKI Sushi;;;New York;NY;;;NY;
AL Bacio;;;New York;NY;;;NY;
AL Dente;;;New York;NY;;;NY;
AL Forno;;;New York;NY;;;NY;
AL Halal Fast Food Inc;;;New York;NY;;;NY;
ALCA Pizza & Chicken Restaurant;;;New York;NY;;;NY;
ALT Coffee Inc;;;New York;NY;;;NY;
AMA;Soho;;New York;NY;;;;
AMI Delicatessen;;;New York;NY;;;NY;
ANAN Joyti Corporation;;;New York;NY;;;NY;
AOC;;;New York;NY;;;NY;
AQ Cafe;;;New York;NY;;;NY;
AQ Café;Midtown East;;New York;NY;Seafood;;NY;
AQ Café, Scandinavia House;Murray Hill;;New York;NY;;;NY;
AQ Kafe;;;New York;NY;;;NY;
AQ Kafe18;;;New York;NY;;;NY;
AQ Kafé;Midtown West;;New York;NY;Scandinavian;;NY;
ARA;;;New York;NY;;;NY;
ARKA Lounge Inc;;;New York;NY;;;NY;
ARTseen Inc.;;;New York;NY;;;NY;
AVI Taam-Tov Corporation;;;New York;NY;;;NY;
AVRA Restaurant;;;New York;NY;;;NY;
AYZA Wine & Chocolate Bar;;;New York;NY;;;NY;
AZ;;;New York;NY;;;NY;
AZUL East Inc;;;New York;NY;;;NY;
Aahirahs Palace;;;New York;NY;;;NY;
Aangan Restaurant;;;New York;NY;;;NY;
Aar Restaurants;;;New York;NY;;;NY;
Abb Goo Jung Korean Restaurant;;;New York;NY;;;NY;
Abbey Restaurant;;;New York;NY;;;NY;
Abbey Tavern;;;New York;NY;;;NY;
Abboccato;Midtown West;;New York;NY;Italian;$$$$;;
Abboccato Restaurant;;;New York;NY;;;NY;
Abbondanza's;West Village;;New York;NY;;;;
Abbondanza's (CLOSED);;;New York;NY;;;NY;
Abby Restaurant & Bar;;;New York;NY;;;NY;
Abdul Alkandi;;;New York;NY;;;NY;
Abigael's;Murray Hill;;New York;NY;;;;
Abigael's Restaurant & Catering;;;New York;NY;;;NY;
Abigael's on Broadway;;;New York;NY;;;NY;
Abigaels Ny Glatt Restaurant;;;New York;NY;;;NY;
Abitino's;;;New York;NY;;;NY;
Abitino's Pizzeria;;;New York;NY;;;NY;
Above;Midtown West;;New York;NY;;;;
Above Restaurant;;;New York;NY;;;NY;
Abraco;;;New York;NY;;;NY;
Abraco Espresso;East Village;;New York;NY;;;;
Abraco86 E;;;New York;NY;;;NY;
Abraço;East Village;;New York;NY;Cafés & diners;;NY;
Abruzzi;Midtown West;;New York;NY;;;;
Abruzzi Restaurant;;;New York;NY;;;NY;
Absinthe;East Village;;New York;NY;;;;
Absinthe Wine Bar;;;New York;NY;;;NY;
Absolute Bagels;Upper West Side;;New York;NY;Cafés;;NY;
Absolutely 4th;;;New York;NY;;;NY;
Abuela's Cocina;;;New York;NY;;;NY;
Aburiya Kinnosuke;Midtown East;;New York;NY;;;;
Abyssinia Ethiopian Grocery;;;New York;NY;;;NY;
Abyssinia Ethiopian Restrnt;;;New York;NY;;;NY;
Acadaddin Restaurant;;;New York;NY;;;NY;
Academy Cafe;;;New York;NY;;;NY;
Acapella;Little Italy;;New York;NY;;;NY;
Acappella;Tribeca/soho;;New York;NY;;;;
Acapulco Caliente;;;New York;NY;;;NY;
Accademia Di Vino;Upper East Side;;New York;NY;;;;
Ace Bar;;;New York;NY;;;NY;
Ace Deli;;;New York;NY;;;NY;
Aceluck;;;New York;NY;;;NY;
Aceluck Thai;;;New York;NY;;;NY;
Aceluck53;;;New York;NY;;;NY;
Aces & Eights Saloon;;;New York;NY;;;NY;
Acker, Merrall & Condit;;;New York;NY;;;NY;
Acme Bar & Grill;;;New York;NY;;;NY;
Acme Bar & Grill/Acme Underground;Greenwich Village;;New York;NY;American Regional;;NY;
Acme Bar and Grill;Greenwich Village;;New York;NY;;;;
Acme Pleating & Fagoting Corporation;;;New York;NY;;;NY;
Acme Underground;Greenwich Village;;New York;NY;;;NY;
Acorn Food Svc;;;New York;NY;;;NY;
Acosta Antonio;;;New York;NY;;;NY;
Acqua;;;New York;NY;Italian;$$$$;;
Acqua Pazza;Midtown West;;New York;NY;Italian;;NY;
Acqua at Peck Slip;;;New York;NY;;;NY;
Acquapazza;;;New York;NY;;;NY;
Acquario (CLOSED);;;New York;NY;;;NY;
Acropolis Food Of Health Square;;;New York;NY;;;NY;
Acropolis Restaurant;;;New York;NY;;;NY;
Across the Street Inc;;;New York;NY;;;NY;
Acuaplas Restaurant;;;New York;NY;;;NY;
Acute Cafe;;;New York;NY;;;NY;
Ada;;;New York;NY;;;NY;
Adaro: Sushi & Pan Asian Cuisine;;;New York;NY;;;NY;
Adelina Vegetarian Kitchen;;;New York;NY;;;NY;
Adham Deli Grocery;;;New York;NY;;;NY;
Adi's Deli;;;New York;NY;;;NY;
Adiletto's;Meatpacking District;;New York;NY;Italian;;NY;
Admirals Galley the Inc;;;New York;NY;;;NY;
Adour Alain Ducasse;;;New York;NY;;;NY;
Adour Alain Ducasse at The St. Regis New York;Midtown East;;New York;NY;;;;
Adria Wine Bar;;;New York;NY;;;NY;
Adriana Pizzeria;;;New York;NY;;;NY;
Adrianne's Pizza Bar;;;New York;NY;;;NY;
Adriatic;;;New York;NY;;;;
Adriatic Pizzeria & Restaurant;East Village;;New York;NY;;;NY;
Adrienne;;;New York;NY;;;NY;
Adrienne's Pizza Bar;;;New York;NY;;;NY;
Adrienne's Pizzabar;;;New York;NY;;;NY;
Adrienne’s Pizzabar;Financial District;;New York;NY;Italian;;NY;
Adä;Midtown East;;New York;NY;;;;
Aegean Restaurant;;;New York;NY;;;NY;
Affettati;East Village;;New York;NY;Italian;;NY;
Affettati (CLOSED);;;New York;NY;;;NY;
Afghan Kebab House;;;New York;NY;;;NY;
Afghan Kebab House #;;;New York;NY;;;NY;
Afghan Kebab House II;;;New York;NY;;;;
Afghan Restaurant;;;New York;NY;;;NY;
Afghan Shish Kebab;;;New York;NY;;;NY;
Afghanistan Kebab House;;;New York;NY;;;NY;
Afghanistan Kebab House 2;;;New York;NY;;;NY;
Africa 2 Restaurant;;;New York;NY;;;NY;
Africa Kine Restaurant;;;New York;NY;;;NY;
Africa Restaurant # 1;;;New York;NY;;;NY;
African Progress Restaurant;;;New York;NY;;;NY;
African Sisters;;;New York;NY;;;NY;
After 8.5;Midtown West;;New York;NY;French;;NY;
Against the Grain;;;New York;NY;;;NY;
Agan Cheng;;;New York;NY;;;NY;
Agata & Valentina;Upper East Side;;New York;NY;Food or Beverage Shop;;NY;
Agata & Valentina Ristorante;;;New York;NY;;;NY;
Agata and Valentina Ristorante;Upper East Side;;New York;NY;;;;
Agave;Greenwich Village;;New York;NY;Southwestern;$$;;
Agave Restaurant;West Village;;New York;NY;American Regional;;NY;
Agave140;;;New York;NY;;;NY;
Ago;Tribeca;;New York;NY;;;;
Ago Restaurant;;;New York;NY;;;NY;
Ago Ristorante;;;New York;NY;;;NY;
Agora Restaurant;;;New York;NY;;;NY;
Agozar;;;New York;NY;;;NY;
Agozar Restaurant & Lounge;;;New York;NY;;;NY;
Agozar!;E. Village;;New York;NY;;;;
Agozar!32;;;New York;NY;;;NY;
Agra;;;New York;NY;;;NY;
Agra Indian Pakistan Rest;;;New York;NY;;;NY;
Agra Restaurant;;;New York;NY;;;NY;
Agrodolce Inc;;;New York;NY;;;NY;
Agua Caliente Enterprises;;;New York;NY;;;NY;
Aguirre;;;New York;NY;;;NY;
Aguirre21;;;New York;NY;;;NY;
Ah Chihua Hua;Midtown East;;New York;NY;;;;
Ah Chihuahua;;;New York;NY;;;NY;
Ah! Chihuahua's;;;New York;NY;;;NY;
Ahmady Foods Corp;;;New York;NY;;;NY;
Ai-Chi Restaurant Corp;;;New York;NY;;;NY;
Aiello's Pizza Emporium;;;New York;NY;;;NY;
Ainolaphek Inc;;;New York;NY;;;NY;
Aisifik Diner Corp;;;New York;NY;;;NY;
Aix Brasserie;Upper West Side;;New York;NY;French;$$$$;;
Aix Brasserie (CLOSED);;;New York;NY;;;NY;
Aix Restaurant;;;New York;NY;;;NY;
Aj Maxwell's - Steakhouse;Midtown West;;New York;NY;Steakhouse;$$$$;;
Aja;Midtown East;;New York;NY;;;;
Aja Asian Bistro & Lounge;East 50s;;New York;NY;;;NY;
Aja Asian Bistro and Lounge;;;New York;NY;;;NY;
Ajanta;;;New York;NY;;;NY;
Ajanta123;;;New York;NY;;;NY;
Aji Ichiban;;;New York;NY;;;NY;
Aji Sushi;;;New York;NY;;;NY;
Ajisai Japanese Restaurant;Upper East Side;;New York;NY;Japanese;;NY;
Ajisen Noodle;Chinatown;;New York;NY;;;;
Ajisen Noodle Restaurant;;;New York;NY;;;NY;
Aka Café;;;New York;NY;;;NY;
Akahi Inc;;;New York;NY;;;NY;
Akai Lounge;;;New York;NY;;;NY;
Akaihana En Restaurant;;;New York;NY;;;NY;
Akane;;;New York;NY;;;;
Akane216 E;;;New York;NY;;;NY;
Akdeniz;Midtown West;;New York;NY;Turkish;;NY;
