0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_addressGoogle;1_country;1_neighborhood;1_type;1_phone;1_type_r
Da Andrea;West Village;557 Hudson St;557 Hudson St;New York;NY;Italian;$$;;Da Andrea (CLOSED); 557 Hudson St-between Perry and W 11th Sts;557 Hudson St;New York;West Village;Italian;(212-367-1979);
Da Silvano;Greenwich Village;260 6th Avenue;260 6th Ave;New York;NY;Italian;$$$;;Da Silvano Bistecca; 260 Sixth Ave-between Bleecker and W Houston Sts;260 6th Ave;New York;Greenwich Village;Steakhouses;(212-844-0282);
Degustation;East Village;239 E Fifth St;239 E 5th St;New York;NY;Spanish;$$$;;Degustation Wine & Tasting Bar;239 E 5th St.;239 E 5th St;New York;East Village;;;
Django;Midtown East;480 Lexington Avenue;480 Lexington Ave;New York;NY;French;$$$;;Django (CLOSED); 480 Lexington Ave-at 46th St;480 Lexington Ave;New York;Midtown East;Mediterranean;(212-871-6600);
Dok Suni;East Village;119 First Ave;119 1st Avenue;New York;NY;Korean;$$;;Dok Suni's;119 First Ave.;119 1st Avenue;New York;East Village;;;
Epices Inc;Upper West Side;103 W 70th St;103 W 70th St;New York;NY;Mediterranean;$$;;Epices du Traiteur; 103 W 70th St-between Columbus Ave and Broadway;103 W 70th St;New York;Upper West Side;Mediterranean;(212-579-5904);
Falai;Lower East Side;68 Clinton St;68 Clinton St;New York;NY;Italian;$$$;;Falai Panetteria; 79 Clinton St-at Rivington St;79 Clinton St;New York;Lower East Side;Cafés & diners;(212-777-8956);
Fig & Olive Kitchen & Tasting Bar;Upper East Side;808 Lexington Ave;808 Lexington Ave;New York;NY;Mediterranean;$$;;Fig & Olive Kitchen and Bar; 808 Lexington Avenue-between 62nd and 63rd Sts;808 Lexington Ave;New York;Upper East Side;Mediterranean;(212-207-4555);
Florent;Meatpacking District;69 Gansevoort St;69 Gansevoort St;New York;NY;American;$;;Florent (CLOSED); 69 Gansevoort St-between Greenwich and Washington Sts;69 Gansevoort St;New York;Meatpacking District;French;(212-989-5779);
Ginger;Harlem;;;;;;;;Ginger (CLOSED); 1400 Fifth Ave-at 116th St;1400 5th Ave;New York;Harlem;Chinese;(212-423-1111);
Gordon Ramsay;Midtown West;The London NYC;151 W 54th St;New York;NY;French;$$$$$;;Gordon Ramsay at The London;The London NYC Hotel -151 W 54th Stbetween Sixth and Seventh Aves;;New York;Midtown West;Eclectic;(212-468-8888);
Great Jones Cafe;East Village;;;;;;;;Great Jones Café; 54 Great Jones St-between Bowery and Lafayette St;54 Great Jones St;New York;East Village;;(212-674-9304);American Regional
Great N.Y. Noodle Town;Chinatown;28 Bowery;28 Bowery;New York;NY;Chinese;$;;Great N.Y. Noodletown;28 Bowery;28 Bowery;New York;Chinatown;;;
Hill Country;Chelsea;30 W. 26th St.;30 W 26th St;New York;NY;Barbecue;$$;;Hill Country Barbecue;30 W 26th St.;30 W 26th St;New York;Chelsea;;;
Il Bastardo;Chelsea;191 Seventh Ave;191 7th Ave;New York;NY;Steakhouse;$$$;;Il Bordello; 470 W 23rd St-at Tenth Ave;470 W 23rd St;New York;Chelsea;Italian;(212-206-9065);
Ippudo;East Village;65 4th Ave;65 4th Ave;New York;NY;Japanese;$$$;;Ippudo NY; 65 Fourth Ave-between 9th and 10th Sts;65 4th Ave;New York;East Village;Japanese;(212-388-0088);
Johnny Utah's;Midtown West;;;;;;;;Johnny Utah’s;Club Quarters Hotel -25 W 51st Stbetween Fifth and Sixth Aves;;New York;Midtown West;American;(212-265-8824);
Kampuchea;Lower East Side;;;;;;;;Kampuchea Noodle Bar; 78 Rivington St-at Allen St;78 Rivington St;New York;Lower East Side;Asian: Cambodian;(212-529-3901);
Kefi;Upper West Side;222 W. 79th St.;222 W 79th St;New York;NY;Greek;$$$;;Kefi (CLOSED); 222 W 79th St-between Amsterdam Ave and Broadway;222 W 79th St;New York;Upper West Side;Greek;(212-873-0200);
Lan;East Village;56 Third Ave;56 3rd Ave;New York;NY;Sushi;$$;;Lan Cafe;342 E 6th St-Btwn 1st & 2nd Ave;342 E 6th St;New York;East Village;;(212-228-8325);Vietnamese
Loreley;Lower East Side;7 Rivington St btwn Bowery and Chrystie...;7 Rivington St;;;;;;Loreley Restaurant & Biergaerten;7 Rivington St.;7 Rivington St;New York;Lower East Side;;;
Mamlouk;East Village;211 East 4th St;211 E 4th St;New York;NY;Middle Eastern;$$$;;Mamlouk (CLOSED); 211 E 4th St-between Aves A and B;211 E 4th St;New York;East Village;Middle Eastern;(212-529-3477);
Mi Cocina;West Village;57 Jane St;57 Jane St;New York;NY;Mexican;$$$;;Mi Cocina (CLOSED); 57 Jane St-at Hudson St;57 Jane St;New York;West Village;Mexican;(212-627-8273);
Miss Maude's Spoonbread Too;Harlem;547 Lenox Ave;547 Lenox Ave;New York;NY;Southern;$;;Miss Maude’s Spoonbread Too; 547 Malcolm X Blvd (Lenox Ave)-between 137th and 138th Sts;547 Malcolm X Blvd;New York;Harlem;American Regional;(212-690-3100);
Momofuku Ko;East Village;163 First Ave;163 1st Avenue;New York;NY;Chinese;$$$$;;Momofuku Milk Bar and Bakery;207 Second Ave.;207 2nd Ave;New York;East Village;;;
Momofuku Noodle Bar;East Village;171 First Ave.;171 1st Avenue;New York;NY;Chinese;$$$;;Momofuku Ssam Bar;207 2nd Ave-At 13th St;207 2nd Ave;New York;East Village;;(212-254-3500);Korean
Neptune Room;Upper West Side;511 Amsterdam Ave;511 Amsterdam Ave;New York;NY;Seafood;$$$$;;Neptune Room Restaurant & Bait Bar (CLOSED); 511 Amsterdam Ave-at 84th St;511 Amsterdam Ave;New York;Upper West Side;Seafood;(212-496-4100);
Nougatine;Upper West Side;;;;;;;;Nougatine and Mistral Terrace;Trump International Hotel & Tower -1 Central Park Westat Columbus Circle;;New York;Upper West Side;French;(212-299-3900);
Old Devil Moon;East Village;511 E 12th St;511 E 12th St;New York;NY;Southern;$;;Old Devil Moon (CLOSED); 511 E 12th St-between Aves A and B;511 E 12th St;New York;East Village;American Regional;(212-475-4357);
Otto;Greenwich Village;1 Fifth Ave;1 5th Ave;New York;NY;Italian;$$$$;;Otto Enoteca Pizzeria; 1 Fifth Ave-at 8th St;1 5th Ave;New York;Greenwich Village;Italian: Pizza;(212-995-9559);
Payard Bistro;Upper East Side;1032 Lexington Avenue;1032 Lexington Ave;New York;NY;French;$$$;;Payard Patisserie & Bistro;1032 Lexington Avenue;1032 Lexington Ave;New York;Upper East Side;;(212-717-5252);French
Pepe Giallo;Chelsea;;;;;;;;Pepe Giallo To Go;253 10th Ave-At 25th St;253 10th Ave;New York;Chelsea;;(212-242-6055);Italian
Pera;Midtown East;303 Madison Avenue;303 Madison Ave;New York;NY;Mediterranean;$$$$;;Pera Mediterranean Brasserie; 303 Madison Ave-between 41st and 42nd Sts;303 Madison Ave;New York;Midtown East;Mediterranean;(212-878-6301);
Persimmon;East Village;;;;;;;;Persimmon Kimchi House;277 E. 10th St.;277 E 10th St;New York;East Village;;;
Ping's Seafood;Chinatown;22 Mott St;22 Mott St;New York;NY;Chinese;$;;Ping's Seafood Restaurant;22 Mott St.;22 Mott St;New York;Chinatown;;;
Ribot;Midtown East;;;;;;;;Ribot (CLOSED); 780 Third Ave-at 48th St;780 3rd Ave;New York;Midtown East;Mediterranean;(212-355-3700);
Roberto Passon;Midtown West;741 Ninth Ave;741 9th Ave;New York;NY;Italian;$$$;;Robert’s Steakhouse; 603 W 45th St-at Eleventh Ave;603 W 45th St;New York;Midtown West;Steakhouses;(212-245-0002);
Rocking Horse;Chelsea;182 Eighth Ave;182 8th Ave;New York;NY;Mexican;$$;;Rocking Horse Cafe; 182 Eighth Ave-between 19th and 20th Sts;182 8th Ave;New York;Chelsea;Mexican;(212-463-9511);
Roppongi Restaurant;Upper West Side;200 W 81st St;200 W 81st St;New York;NY;Sushi;$$;;Rosa Mexicano; 61 Columbus Ave-at 62nd St;61 Columbus Ave;New York;Upper West Side;Mexican;(212-977-7700);
Sachiko's On 25 Clinton;Lower East Side;25 Clinton St;25 Clinton St;New York;NY;Japanese;$$$;;Sachiko's on Clinton;25 Clinton St-Btwn Houston & Stanton St;25 Clinton St;New York;Lower East Side;;(212-253-2900);Japanese
Sammy's Roumanian;Lower East Side;157 Chrystie St;157 Chrystie St;New York;NY;European;$$$;;Sammy's Roumanian Steak House; 157 Chrystie St-;157 Chrystie St;New York;Lower East Side;Eastern European;(212-673-0330);
Spice;East Village;104 Second Ave.;104 2nd Ave;New York;NY;Thai;$$;;Spice Cove; 326 E 6th St-between First and Second Aves;326 E 6th St;New York;East Village;Indian;(212-674-8884);
Sushi Seki;Upper East Side;1143 1st Ave;1143 1st Avenue;New York;NY;Sushi;$$$;;Sushi Sen-Nin; 1420 Third Ave-between 80th and 81st Sts;1420 3rd Ave;New York;Upper East Side;Japanese;(212-889-2208);
Tabla;Gramercy / Flatiron;;;;;;;;Tabla Bread Bar; 11 Madison Ave-at 25th St;11 Madison Ave;New York;Gramercy/Flatiron;Indian;(212-889-0667);
Tello's;Chelsea;263 W 19th St;263 W 19th St;New York;NY;Italian;$$;;Tello's Ristorante;263 W 19th St.;263 W 19th St;New York;Chelsea;;;
The Four Seasons;Midtown East;99 E 52nd St;99 E 52nd St;New York;NY;Continental;$$$$;;The Four Seasons Restaurant; 99 E 52nd St-between Park and Lexington Aves;99 E 52nd St;New York;Midtown East;American Creative;(212-754-9494);
Wollensky's Grill;Midtown East;205 East 49th Street;205 E 49th St;New York;NY;American;$$$;;Wollenskys Grill;201 E 49th St;201 E 49th St;New York;Midtown East;;(212-753-0444);Steakhouses
Yama;Midtown East;38-40 Carmine St;38-40 Carmine St;New York;NY;Sushi;$$;;Yama 49; 308 E 49th St-at Second Ave;308 E 49th St;New York;Midtown East;Japanese;(212-355-3370);
Yuca Bar;East Village;111 Ave A;111 Avenue A;New York;NY;Nuevo Latino;$;;Yuca Bar & Restaurant;111 Avenue A;111 Avenue A;New York;East Village;;;
Zerza;East Village;304 E Sixth St;304 E 6th St;New York;NY;Moroccan;$$;;Zerza Mediterrano; 308 E 6th St-between First and Second Aves;308 E 6th St;New York;East Village;Moroccan;(212-529-8250);
10 Downing Food & Wine;West Village;;;;;;;;10 Downing Food and Wine;10 Downing Street;10 Downing St;New York;West Village;;(212-255-0300);American Creative
202;Chelsea;;;;;;;;202 Cafe;Chelsea Mkt | 75 Ninth Ave.;75 9th Ave;New York;Chelsea;;;
2Eat@Saks;Midtown East;;;;;;;;2nd Ave Deli; 162 E 33rd St-between Lexington and Third Aves;162 E 33rd St;New York;Midtown East;American;(212-698-9000);
Aloe;East Village;;;;;;;;Aloe Restaurant; 406 E 9th St-between First Ave and Avenue A;406 E 9th St;New York;East Village;American Creative;(212-358-8400);
Azul;Lower East Side;;;;;;;;Azul Argentine Bistro; 152 Stanton St-at Suffolk St;152 Stanton St;New York;Lower East Side;Argentine;(646-602-2004);
Barking Dog;Upper East Side;;;;;;;;Barking Dog Luncheonette; 1678 Third Ave-at 94th St;1678 3rd Ave;New York;Upper East Side;American;(212-831-1800);
Bella Blu;Upper East Side;;;;;;;;Bella Cucina; 1293 Lexington Ave-at 87th St;1293 Lexington Ave;New York;Upper East Side;Italian;(212-289-9004);
Brasserie 44;Midtown West;;;;;;;;Brasserie 52; 772 Ninth Ave-between 51st and 52nd Sts;772 9th Ave;New York;Midtown West;French;(212-586-5005);
Brio;Upper East Side;;;;;;;;Brio Forno; 137 E 61st St-between Park and Lexington Aves;137 E 61st St;New York;Upper East Side;Italian;(212-980-2300);
Cafe Luka;Upper East Side;;;;;;;;Cafe Luxembourg; 200 W 70th St-between Amsterdam and West End Aves;200 W 70th St;New York;Upper West Side;French;(212-873-7411);
Café Pierre;Upper East Side;;;;;;;;Café Pierre (CLOSED; 2 E 61st St-at Fifth Ave;2 E 61st St;New York;Upper East Side;slated to reopen in 2009);(212-940-8195);
Café con Leche;Upper West Side;;;;;;;;Café d'Alsace; 1695 Second Ave-at 88th St;1695 2nd Ave;New York;Upper East Side;French;(212-722-5133);
Café des Artistes;Upper West Side;;;;;;;;Café du Soleil; 2723 Broadway-between 104th and 105th Sts;2723 Broadway;New York;Upper West Side;French;(212-316-5000);
Carnegie John's;Midtown West;;;;;;;;Carnegie John’s; W 56th St-at Seventh Ave;W 56th St;New York;Midtown West;Eclectic;;
Churrascaria Tribeca;Tribeca;;;;;;;;Churrascarria Plataforma; 221 West Broadway-between Franklin and White Sts;221 W Broadway;New York;Tribeca;Brazilian;(212-925-6969);
Citrus;Upper West Side;;;;;;;;Citrus Bar & Grill; 320 Amsterdam Ave-at 75th St;320 Amsterdam Ave;New York;Upper West Side;Eclectic;(212-595-0500);
Clinton St. Baking Co. & Restaurant;Lower East Side;;;;;;;;Clinton St. Baking Company;4 Clinton St.;4 Clinton St;New York;Lower East Side;;;
Delicia Brazil;West Village;;;;;;;;Delicia Brazil Restaurant;322 W 11th St.;322 W 11th St;New York;West Village;;;
Diwan;Midtown East;;;;;;;;Diwan Restaurant; 148 E 48th St-between Lexington and Third Aves;148 E 48th St;New York;Midtown East;Indian;(212-593-5425);
Doma;West Village;;;;;;;;Doma Cafe and Gallery; 17 Perry St-at Seventh Ave South;17 Perry St;New York;West Village;Cafés;(212-929-4339);
Dylan's Candy Bar;Upper East Side;;;;;;;;Dylan’s Candy Bar; 1011 Third Ave-at 60th St;1011 3rd Ave;New York;Upper East Side;Food or Beverage Shop;(646-735-0078);
Elvie's Turo-Turo;East Village;;;;;;;;Elvies Turo Turo;214 1st Ave;214 1st Avenue;New York;East Village;;(212-473-7785);Asian: Filipino
Fresco on the Go;Midtown East;;;;;;;;Fresco on the go;40 E 52nd St-Btwn Madison Ave & Park Ave;40 E 52nd St;New York;Midtown East;;(212-754-2700);Italian
Gaam;Midtown West;;;;;;;;Gaam (CLOSED); 11 W 30th St-between Fifth Ave and Broadway;11 W 30th St;New York;Midtown West;Indian;(212-239-0666);
Gabriela's Restaurante y Tequila Bar;Upper West Side;;;;;;;;Gabriela’s Restaurante and Tequila Bar; 688 Columbus Ave-between 93rd and 94th Sts;688 Columbus Ave;New York;Upper West Side;Mexican;(212-961-9600);
Greenwich Steak & Burger;Tribeca;;;;;;;;Greenwich Steak & Burger (CLOSED); 369 Greenwich St-at Franklin St;369 Greenwich St;New York;Tribeca;Steakhouses;(212-625-1010);
Gusto Organics;West Village;;;;;;;;Gusto Ristorante e Bar Americano; 60 Greenwich Ave-at Perry St;60 Greenwich Ave;New York;West Village;Italian;(212-924-8000);
Hiroko's Place;Soho;;;;;;;;Hiroko’s Place;75 Thompson St.;75 Thompson St;New York;Soho;;nan;nan
Ishikura Restaurant;East Village;;;;;;;;Ishikura Sushi;67 First Ave.;67 1st Avenue;New York;East Village;;;
Jiannetto's Pizza & Catering;Midtown East;;;;;;;;Jiannetto’s Pizza truck; E 47th St-at Park Ave;E 47th St;New York;Midtown East;Italian: Pizza;;
La Rural;Upper West Side;;;;;;;;La Rural Bistro Argentino; 768 Amsterdam Ave-between 97th and 98th Sts;768 Amsterdam Ave;New York;Upper West Side;Argentine;(212-749-2929);
Le Veau d'Or;Upper East Side;;;;;;;;Le Veau d’Or; 129 E 60th St-between Park and Lexington Aves;129 E 60th St;New York;Upper East Side;French;(212-838-8133);
Le Zie;Chelsea;;;;;;;;Le Zie 2000; 172 Seventh Ave-between 20th and 21st Sts;172 7th Ave;New York;Chelsea;Italian;(212-206-8686);
Lily's Bar;Midtown East;;;;;;;;Lily's Restaurant; 501 Lexington Ave-between 47th and 48th sts;501 Lexington Ave;New York;Midtown East;Eclectic;(212-838-0844);
Lucky Cheng's;East Village;;;;;;;;Lucky Chengs;24 First Avenue;24 1st Avenue;New York;East Village;;(212-473-0516);Asian: Pan-Asian
M. Rohrs' House of Fine Teas & Coffees;Upper East Side;;;;;;;;M. Rohrs’ House of Fine Teas and Coffees; 310 E 86th St-between First and Second Aves;310 East 86th St;New York;Upper East Side;Cafés & diners;(212-772-2513);
Maracas Bar and Grill;West Village;;;;;;;;Maracas Mexican Bar & Grill; 33 Greenwich Ave-between Sixth and Seventh Aves;33 Greenwich Ave;New York;West Village;Mexican;(212-593-6600);
Metro Grill;Midtown West;;;;;;;;Metro Marche;625 8th Ave-At 41st St;625 8th Ave;New York;Midtown West;;(212-239-1010);French
Mooncake Foods;Soho;;;;;;;;Moondance (CLOSED); 80 Sixth Ave-between Canal and Grand Sts;80 6th Ave;New York;Soho;Cafés & diners;(212-226-1191);
Nam;Tribeca;;;;;;;;Nam Phuong; 19 Sixth Ave-at Walker St;19 6th Ave;New York;Tribeca;Vietnamese;(212-431-7715);
New Chao Chow;Chinatown;;;;;;;;New Chao Chow Restaurant;111 Mott St.;111 Mott St;New York;Chinatown;;;
New Pasteur;Chinatown;;;;;;;;New Pasteur Restaurant;85 Baxter St.;85 Baxter St;New York;Chinatown;;;
Nick & Toni's Café;Upper West Side;;;;;;;;Nick & Toni’s; 100 W 67th St-between Columbus Ave and Broadway;100 W 67th St;New York;Upper West Side;Mediterranean;(212-496-4000);
Noodle Bar;Lower East Side;172 Orchard St at Stanton St;172 Orchard St;;;;;;Noodle Bar Lower East Side; 172 Orchard St-at Stanton St;172 Orchard St;New York;Lower East Side;Asian: Pan-Asian;(212-228-9833);
Osteria al Doge;Midtown West;;;;;;;;Osteria del Circo; 120 W 55th St-between Sixth and Seventh Aves;120 W 55th St;New York;Midtown West;Italian;(212-265-3636);
Paradou Marché;Lower East Side;;;;;;;;Paradou Marché (CLOSED); 120 Essex St-at Delancey St;120 Essex St;New York;Lower East Side;Eclectic;;
Pascalou;Upper East Side;;;;;;;;Pasha; 70 W 71st St-between Central Park West and Columbus Ave;70 W 71st St;New York;Upper West Side;Turkish;(212-579-8751);
Patsy’s;Midtown West;;;;;;;;Patsy’s Italian Restaurant; 236 W 56th St-between Broadway and Eighth Ave;236 W 56th St;New York;Midtown West;Italian;(212-247-3491);
Persephone;Upper East Side;;;;;;;;Persepolis; 1407 Second Ave-between 73rd and 74th Sts;1407 2nd Ave;New York;Upper East Side;Middle Eastern;(212-535-1100);
Phil's Pizza;West Village;;;;;;;;Philip Marie; 569 Hudson St-at 11th St;569 Hudson St;New York;West Village;American;(212-242-6200);
Potluck;Chelsea;;;;;;;;Potluck Asian Cuisine; 255 W 26th St-between Seventh and Eighth Aves;255 W 26th St;New York;Chelsea;Asian: Pan-Asian;(212-929-3848);
Roti Roll Bombay Frankie;Upper West Side;;;;;;;;Rouge Tomate; 10 E 60th St-between Fifth and Madison Aves;10 E 60th St;New York;Upper East Side;Eclectic;(646-237-8977);
Sasabune;Upper East Side;;;;;;;;Sasabune NY; 401 E 73rd St-at First Ave;401 E 73rd St;New York;Upper East Side;Japanese;(212-249-8583);
Sel & Poivre;Upper East Side;;;;;;;;Sel Et Poivre;853 Lexington Avenue;853 Lexington Ave;New York;Upper East Side;;(212-517-5780);French
Sette Mezzo;Upper East Side;;;;;;;;Settemezzo; 969 Lexington Ave-between 70th and 71st Sts;969 Lexington Ave;New York;Upper East Side;Italian;(212-472-0400);
Seymour Burton;East Village;;;;;;;;Seymour Burton (CLOSED); 511 E 5th St-between Aves A and B;511 E 5th St;New York;East Village;American;(212-260-1333);
Shabu-Tatsu;East Village;;;;;;;;Shabu-Tatsu Downtown;216 E 10th St.;216 E 10th St;New York;East Village;;;
Shun Lee;Upper West Side;;;;;;;;Shun Lee Cafe; 43 W 65th St-between Central Park West and Columbus Ave;43 W 65th St;New York;Upper West Side;Chinese;(212-769-3888);
Soul Fixins;Midtown West;;371 W 34th St;;;;;;Soul Fixins';371 W 34th St-At 9th Ave;371 W 34th St;New York;Midtown West;;(212-736-1345);American Regional
SouthWest NY;Financial District;;;;;;;;SouthWestNY; 2 World Ficial Center-between Liberty and Vesey Sts;Two World Trade Center;New York;Financial District;American Regional;(212-945-0528);
Sticky Rice;Lower East Side;;;;;;;;Sticky Rice Thai Barbecue; 85 Orchard St-between Broome and Grand Sts;85 Orchard St;New York;Lower East Side;Thai;(212-274-8208);
Surf City Squeeze;West Village;;;;;;;;Surya; 302 Bleecker St-between Seventh Ave South and Grove St;302 Bleecker St;New York;West Village;Indian;(212-807-7770);
Sushi a-go-go;Upper West Side;;;;;;;;Sushi of Gari; 402 E 78th St-between First and York Aves;402 E 78th St;New York;Upper East Side;Japanese;(212-517-5340);
S’MAC;East Village;;;;;;;;S’Mac; 345 E 12th St-between First and Second Aves;345 E 12th St;New York;East Village;American;(212-358-7912);
Takahachi;Tribeca;;;;;;;;Takahachi Tribeca; 145 Duane St-between Church St and West Broadway;145 Duane St;New York;Tribeca;Japanese;(212-571-1830);
Tanti Baci Caffe;West Village;;;;;;;;Tanti Baci Flower Room; 135 Seventh Ave South-between Charles and W 10th Sts;135 7th Ave S;New York;West Village;Italian;(212-727-8333);
Taïm;West Village;;;;;;;;Tea & Sympathy; 108–110 Greenwich Ave-between 12th and 13th Sts;108 Greenwich Ave;New York;West Village;British & Irish;(212-989-9735);
Thalassa;Tribeca;;;;;;;;Thalassa Restuarant;179 Franklin St.;179 Franklin St;New York;Tribeca;;;
The Mercury Dime;East Village;246 E 5th St btwn Cooper Square and...;200 E 5th St;;;;;;The Mermaid Inn; 96 Second Ave-between 5th and 6th Sts;96 2nd Ave;New York;East Village;Seafood;(212-674-5870);
The Odeon;Tribeca;;;;;;;;The Odeon Ice Cream Cart; 145 West Broadway-between Duane and Thomas Sts;145 W Broadway;New York;Tribeca;Cafés & diners;(no phone);
The Pizzeria;West Village;;;;;;;;The Place; 310 W 4th St-between Bank and W 12th Sts;310 West 4th Street;New York;West Village;Mediterranean;(212-924-2711);
The Shark Bar;Upper West Side;;;;;;;;The Shark Bar Restaurant; 307 Amsterdam Ave-between 74th and 75th Sts;307 Amsterdam Ave;New York;Upper West Side;American Regional;(212-874-8500);
Trattoria dell'Arte;Midtown West;;;;;;;;Trattoria dell’Arte; 900 Seventh Ave-between 56th and 57th Sts;900 7th Ave;New York;Midtown West;Italian;(212-245-9800);
Tribeca Hana;Tribeca;;;;;;;;Tribeca Max; 181 Duane St-at Greenwich St;181 Duane St;New York;Tribeca;Italian;(212-966-5939);
Vince & Eddie's;Upper West Side;;;;;;;;Vince & Ediies;70 W 68th St;70 W 68th St;New York;Upper West Side;;(212-721-0068);American
Wondee Siam;Midtown West;;;;;;;;Wondee Siam II; 813 Ninth Ave-between 53rd and 54th Sts;813 9th Ave;New York;Midtown West;Thai;(917-286-1726);
Wondee Siam II;Midtown West;;;;;;;;Wondee Siam III; 641 Tenth Ave-between 45th and 46th Sts;641 Amsterdam Ave;New York;Midtown West;Thai;(212-245-4601);
