;0_restaurant;0_address;0_country
1436;Cafe Classico;35 West 57th Street Frnt;New York
1437;Cafe Colonial;73 East Houston Street;New York
1438;Cafe Con Leche;726 Amsterdam Avenue Frnt;New York
1439;Cafe Con Leche;424 Amsterdam Avenue;New York
1440;Cafe Concepts;888 7th Avenue Suite 203;New York
1441;Cafe Cosenza;126 W 32nd St;New York
1442;Cafe Creative;100 Park Avenue Lbby;New York
1443;Cafe Creole Inc;99 Macdougal St;New York
1444;Cafe Crocodile;354 E 74th St;New York
1445;Cafe Daniello's Pizzeria Restaurant;Italian;
1446;Cafe Daniello's Pizzeria Restaurant;1072 2 Av;New York
1447;Cafe Del Mar;89 Macdougal;New York
1448;Cafe Delbar;945 Columbus Avenue;New York
1449;Cafe Des Artistes;1 West 67th Street;New York
1450;Cafe Des Sports;329 W 51st St;New York
1451;Cafe Deville;103 3rd Ave;New York
1452;Cafe Dixie Rose;388 Broome Street;New York
1453;Cafe Du Soleil;245 West 104;New York
1454;Cafe DuPont;1038 1st Avenue;New York
1455;Cafe Dunkin Donuts;210 E 14th St;New York
1456;Cafe Eighty Two;2282 Broadway;New York
1457;Cafe El Portal;174 Elizabeth Street;New York
1458;Cafe Espanol;172 Bleecker St;New York
1459;Cafe Espanol On Carmine;78 Carmine Street;New York
1460;Cafe Europa;205 West 57th Street;New York
1461;Cafe Europa;1177 Avenue Of The Americ;New York
1462;Cafe Europa of 57th St Inc;205 West 57th Street;New York
1463;Cafe Express;348 7th Avenue;New York
1464;Cafe Fes;246 W 4th St;New York
1465;Cafe Fonduta;120 E 57th St;New York
1466;Cafe Fonduta Pasta;32 Water Street;New York
1467;Cafe Fresh;1241 Amsterdam Av;New York
1468;Cafe GIGI;417 East 9th Street Frnt;New York
1469;Cafe Giardinetto;735 2nd Avenue;New York
1470;Cafe Gitane;242 Mott St;New York
1471;Cafe Grand Marnier;211 W 56th St;New York
1472;Cafe Greco;1390 2 Av;New York
1473;Cafe Habana;229 Elizabeth Street;New York
1474;Cafe Hanover;5 Hanover Square;New York
1475;Cafe Health Exchange;2 Maiden Lane;New York
1476;Cafe Hoggar;73 Second Ave;New York
1477;Cafe I Ii Iii;2 Park Ave # 1;New York
1478;Cafe Iguana;240 West 54;New York
1479;Cafe International;1518 1st Ave # 1;New York
1480;Cafe Journal;47 E 29th St;New York
1481;Cafe Jupiter;228 W 10th St;New York
1482;Cafe K;8 East 48th Street Frnt;New York
1483;Cafe LA Palette;50 Macdougal Street Frnt;New York
1484;Cafe LALO;201 West 83rd Street Frnt;New York
1485;Cafe LUKA;1319 1st Avenue;New York
1486;Cafe La Fontaine;36 E 4th St;New York
1487;Cafe Lin Inc;106 Delancey Street;New York
1488;Cafe Loon Loon;160 East 25th Street;New York
1489;Cafe Loup;105 West 13th Street;New York
1490;Cafe Luxembourg;200 West 70th Street;New York
1491;Cafe M;995 5th Ave;New York
1492;Cafe Margaux;175 Avenue B;New York
1493;Cafe Mark;125 East 23rd Street;New York
1494;Cafe Mauriya Garden;129 East 27th Street Frnt;New York
1495;Cafe Medina;9 East 17th Street;New York
1496;Cafe Metro;75 Rockefeller Plz;New York
1497;Cafe Metro;127 East 60th Street Frnt;New York
1498;Cafe Metro;466 Lexington Avenue;New York
1499;Cafe Metro;530 Fashion Avenue;New York
1500;Cafe Metro;1221 Avenue Of The Americ;New York
1501;Cafe Metro Express;400 Madison Avenue;New York
1502;Cafe Metropolitian;14 E 53rd St;New York
1503;Cafe Mingala;1393B 2nd Avenue;New York
1504;Cafe Mogador;101 Saint Marks Place;New York
1505;Cafe Mona Lisa;122 Christopher;New York
1506;Cafe Monas Place;344 Lexington Ave;New York
1507;Cafe Monte;58 2 Av;New York
1508;Cafe Mozart;154 W 70th St Off Broadway;New York
1509;Cafe Napoleon;365 West 50th Street Frnt;New York
1510;Cafe Napoli;191 Hester Street;New York
1511;Cafe Napoli;191 Hester St;New York
1512;Cafe Nicholson Inc;323 East 58th Street;New York
1513;Cafe Noir;32 Grand St;New York
1514;Cafe Nosidam;768 Madison Avenue;New York
1515;Cafe Ole;453 West 54th Street;New York
1516;Cafe On Broadway;2350 Broadway;New York
1517;Cafe Opaline;580 Madison Av;New York
1518;Cafe Orlin;41 St Marks Pl;New York
1519;Cafe Pappagallo;891 8th Ave;New York
1520;Cafe Rakka;(212) 982-9166;
1521;Cafe Rakka;81 Saint Marks Place;New York
1522;Cafe Restaurant Du Cervin;13 S William St;New York
1523;Cafe Restaurant El International Inc;616 Amsterdam Avenue;New York
1524;Cafe Risque;2 Bank Street Frnt;New York
1525;Cafe Roma;175 West 90th Street Apt 3K;New York
1526;Cafe Roma Pizzeria;459 Park Ave S;New York
1527;Cafe Ronda;249 Columbus Avenue;New York
1528;Cafe Rustico East Trattoria Pizza & Past;230 East 29;New York
1529;Cafe Sabarsky;1048 5th Avenue;New York
1530;Cafe Sage;108 John;New York
1531;Cafe San Martin;143 East 49th Street;New York
1532;Cafe Sorrento;132 Mulberry St;New York
1533;Cafe Spice;109 East 42nd Street;New York
1534;Cafe Spice Inc;72 University Pl;New York
1535;Cafe St John;1018 Amsterdam Ave;New York
1536;Cafe St. Bart's;109 E 50th St;New York
1537;Cafe Stromboli;30 E 13th St;New York
1538;Cafe Tal;11 W 47th St;New York
1539;Cafe Tartufo;1081 3rd Ave;New York
1540;Cafe Thirty-First;220 West 31st Street;New York
1541;Cafe Tina;184 Prince Street Apt 1;New York
1542;Cafe Tina;287 Bleecker St;New York
1543;Cafe Topsy;575 Hudson Street;New York
1544;Cafe Trend Inc;596 3rd Avenue;New York
1545;Cafe Trevi;1570 1st Avenue;New York
1546;Cafe Un Deux Trois;123 W 44th St;New York
1547;Cafe Usa;220 E 42nd St # 16;New York
1548;Cafe Variety;118 3rd Ave;New York
1549;Cafe Venezia;56 E 41st St;New York
1550;Cafe Viva Natural Pizza;179 2nd Ave;New York
1551;Cafe WHA;115 Macdougal Street;New York
1552;Cafe Wall St;80 Wall Street Ph;New York
1553;Cafe Word Of Mouth;1012 Lexington Ave;New York
1554;Cafe Yola;337 E 10th St # 1;New York
1555;Cafe de Milan;54 East 59th Street;New York
1556;Cafe de Paris;924 Second Avenue;New York
1557;Cafe'o;622 3rd Avenue;New York
1558;Cafecito;185 Avenue Centre;New York
1559;Cafeteria;119 7th Avenue;
1560;Cafeteria Corporate Office;54 West 21st Street;New York
1561;Caffe Bacio;1223 3rd Avenue;New York
1562;Caffe Bianco Inc;1486 2nd Avenue;New York
1563;Caffe Buon Giorno Inc;162 E 55th St;New York
1564;Caffe Buon Gusto;1009 Second Ave;New York
1565;Caffe Buon Gusto;236 E. 77th Street;New York
1566;Caffe Cielo;881 8th Avenue;New York
1567;Caffe Dante Inc;79 Macdougal Street Frnt;New York
1568;Caffe Del Corso;19 West 55;New York
1569;Caffe Del Corso;19 W 55th St;New York
1570;Caffe Dell'artista;46 Greenwich Avenue;New York
1571;Caffe Della Pace;48 East 7th Street Frnt;New York
1572;Caffe Forte Inc;754 9th Ave;New York
1573;Caffe Grazie;26 East 84th Street Frnt;New York
1574;Caffe Linda;145 East 49th Street;New York
1575;Caffe Medical;1268 2nd Avenue;New York
1576;Caffe Palermo;148 Mulberry St;New York
1577;Caffe Popolo;351 Columbus Ave;New York
1578;Caffe Reggio;119 Macdougal Street;New York
1579;Caffe Rellini;206 Thompson Street;New York
1580;Caffe Rosso;284 West 12;New York
1581;Caffe Torino;139 W. 10th St;New York
1582;Caffe Tosca;260 E 72nd St;New York
1583;Caffe Valdino Inc;225 Sullivan Street Frnt;New York
1584;Caffe Vivaldi;32 Jones Street Frnt;New York
1585;Caffe Vivaldi;32 Jones St;New York
1586;Caffe' Rafaella;134 7th Avenue South;New York
1587;Cajun Cafe;901 Avenue Of The Americ;New York
1588;Cajun Cafe & Grill;901 Avenue Of The Americas;New York
1589;Cajun Restaurant;129 8th Ave;New York
1590;Cal's;55 W 21st St;New York
1591;Calcutta Cafe;2735 Broadway;New York
1592;Calcutta Cuisine Of India;175 East 83;New York
1593;Calcutta Restaurant Inc;324 East 6th Street Frnt;New York
1594;Caliban;360 3rd Avenue Frnt;New York
1595;Calico Jack's Cantina;800 2nd Avenue;New York
1596;Calidad Latina Restaurant;132 9 Av;New York
1597;Caliente Cab CO;61 7th Avenue South Frnt;New York
1598;Caliente Cab CO;21 Waverly Place;New York
1599;California Burrito;750 7th Ave;New York
1600;California Burrito;100 W 33rd St # 7;New York
1601;California Burrito;172 7th Ave;New York
1602;California Burrito CO;250 Vesey Street;New York
1603;California Burrito Co;295 Park Ave S;New York
1604;California Lovers Corporation;38 Union Square East;New York
1605;California Pizza Kitchen;201 E 60th St;New York
1606;California Pizza Oven;122 University Place;New York
1607;Calle OCHO;446 Columbus Av;New York
1608;Calo & Co;18 E 41stst Grround;New York
1609;Camaje;85 Macdougal;New York
1610;Camaradas El Barrio;2241 1 Av;New York
1611;Camba Lache;406 East 64;New York
1612;Camel Cafe;28 West 33rd Street;New York
1613;Camel Cafe;5 E 19th St;New York
1614;Camilles Restaurants;1135 Amsterdam Av;New York
1615;Camino Sur;336 West 37;New York
1616;Campagna;24 East 21st Street;New York
1617;Campagnola Restaurant;1382 1st Avenue Frnt;New York
1618;Campanile Restaurant Inc;30 East 29th Street;New York
1619;Campus Eatery;31 West 4th Street;New York
1620;Campus Eatery;31 W 4th St # 1;New York
1621;Can Restaurant;482 W Broadway;New York
1622;Canaan Japanese Restaurant;154 West 29th Street;New York
1623;Canal House;310 W Broadway;New York
1624;Canaletto;208 East 60th Street Frnt;New York
1625;Cancun Restaurant;937 Eighth Avenue;New York
1626;Candela Candela;92 Second Ave;New York
1627;Candela Restaurant;116 E 16th St;New York
1628;Candido;1606 1st Ave;New York
1629;Candle Cafe;1307 3rd Ave # 1;
1630;Candlewood Oaks Corporation;708 3rd Avenue;New York
1631;Canteen;142 Mercer St;New York
1632;Cantinetta;260 Sixth Ave;New York
1633;Canton Restaurant;45 Division Street;New York
1634;Canyon Road Bar & Grill;1470 1st Avenue;New York
1635;Capellini Pasta Group;26 Carmine St;New York
1636;Capital Grill;155 East 42;New York
1637;Capital Grille;155 East 42;New York
1638;Capitale Restaurant;130 Bowery;New York
1639;Capitol Restaurant;4933 Broadway;New York
1640;Capitol Sushi Restaurant;29 2nd Ave;New York
1641;Capo Verde;589 Fort Washington Avenue;New York
1642;Capri Bakery Corporation;186 East 116th Street;New York
1643;Capri Restaurant;1342 Saint Nicholas Avenue;New York
1644;Capri Restaurant & Pizzeria;532 Main Street;New York
1645;Caprice Cafe;199 Columbus Ave # 1;New York
1646;Capsouto Freres Bistro Restaurant;451 Washington Street;New York
1647;Captain Cafe;196 Orchard Street;New York
1648;Captain's Ketch Restaurant;181 Pearl Street;New York
1649;Captains Table Restaurant & Fish Market;860 2 Av;New York
1650;Capucine's Restaurant;327 2nd Avenue;New York
1651;Caracas Arepa Bar;91 East 7;New York
1652;Caracello;108 Greenwich Street;New York
1653;Caravan of Dreams Restaurant;405 East 6th Street Apt 1;New York
1654;Caravelle La Restaurant;33 W 55th St # 1;New York
1655;Cardamomm Fine Indian Cuisine;100 Lexington Avenue;New York
1656;Cardpro Inc;1776 2nd Avenue;New York
1657;Caribbean American Restaurant;64 West 116th Street;New York
1658;Caribbean Kitchen;901 Avenue Of The Americ;New York
1659;Caribbean Spice Restaurant;402 West 44th Street Frnt;New York
1660;Caribe;117 Perry St;New York
1661;Caribe Ocean Restaurant Corp;2153 Amsterdam Av;New York
1662;Caribe On The Hudson Restaurant;348 Dyckman;New York
1663;Caribiner Producers;16 West 61st Street;New York
1664;Caridad;554 W 181st St;New York
1665;Caridad Restaurant;4799 Broadway;New York
1666;Caridad Restaurant;1004 Saint Nicholas Avenue;New York
1667;Caridad Restaurant;565 West 207th Street;New York
1668;Caridad Restaurant;455 E 116th St;New York
1669;Caridad Restaurant;3533 Broadway;New York
1670;Carino Ristorante Italiano;1710 2nd Avenue;New York
1671;Carlitos Cafe Ey Galeria;1701 Lexington Av;New York
1672;Carlow East;1254 Lexington Avenue Frnt;New York
1673;Carlton New York;22 East 29th Street;New York
1674;Carmine's;200 West 44th Street;New York
1675;Carmine's Italian Seafood Restaurant;140 Beekman Street Frnt;New York
1676;Carmine's Restrnt;2450 Broadway;
1677;Carmine's Takeout;2450 Broadway;New York
1678;Carne;2737 Broadway;New York
1679;Carnegie Delicatessen & Restaurant;854 7th Avenue Frnt;New York
1680;Carnegie Delicatessen & Restaurant;854 7 Avenue;New York
1681;Carnegie Hall Restaurants;154 W 57th St;New York
1682;Carnegie Restaurant;1361 Lex Av;New York
1683;Carnevale;410 Amsterdam Ave;New York
1684;Carousel Cafe Inc;75 Clarkson St;New York
1685;Carpos Cafe;189 Bleecker St;New York
1686;Carribean Restaurant;166 East 118th Street;New York
1687;Carrols Corp;635 Madison Ave # 400;New York
1688;Carryhot;511 West 33 Street;New York
1689;Carter Joseph H Inc;33 Fulton Street;New York
1690;Caruso's;162 West 34th Street;New York
1691;Caruso's Pizza;42 Broadway;New York
1692;Caruso's Pizza;204 Broadway Frnt;New York
1693;Carusso Pizza I;1 Penn Plz;New York
1694;Casa Bella Restaurant;127 Mulberry Street;
1695;Casa Di Meglio;235 W 48th St;New York
1696;Casa Di Pre Restrnt;283 West 12;New York
1697;Casa La Femme;150 Wooster St # 1;New York
1698;Casa MIA;225 East 24th Street;New York
1699;Casa Mexicana Nyc;133 Ludlow Street;New York
1700;Casa Pacifico;4247 Broadway;New York
1701;Casa Restaurant;72 Bedford Street;New York
1702;Casa Victoria Cafe;271 Bleecker St;New York
1703;Casa de Los Tacos Restaurant;2277 1st Avenue;New York
1704;Casabianca Pizzeria;503 West 57th Street Frnt;New York
1705;Casablanca Cafe;235 East 53rd Street;New York
1706;CasablancaTea Room;164 Mercer;New York
1707;Casanis;81 Ludlow;New York
1708;Casanova Pizzeria Restaurant;664 9th Avenue;New York
1709;Casaville;(212) 685-8558;
1710;Casaville;633 2nd Avenue;New York
1711;Casbah Rouge;2841 Broadway;New York
1712;Cascina;647 9th Ave;New York
1713;Cascina Downtown;281 Bleecker St;New York
1714;Casimir Restaurant;103 Avenue B;
1715;Casserola Cafe Restaurant Inc;944 Columbus Avenue;New York
1716;Cassina USA Inc;155 East 56th Street Ph;New York
1717;Cassis On Stone;52 Stone Street;New York
1718;Cast Iron Cafe;641 Avenue Of The Americ;New York
1719;Castellano Restaurant;138 West 55th Street;New York
1720;Castillo de Jagua Restaurant;125 Avenue D Frnt;New York
1721;Castle Village Owners Corporation;120 Cabrini Boulevard;New York
1722;Catania Imports;105 Mulberry Street;New York
1723;Caterina's Restaurant;316 East 53rd Street Frnt;New York
1724;Caterinas Restaurant Corp;213 E 38th St # 1;New York
1725;Cathy's MKT;790 Lexington Avenue Frnt;New York
1726;Catwalk Bar & Cafe;2 West 35th Street;New York
1727;Cavaliere;192 3rd Avenue;New York
1728;Cavatappo Wine Bar;1728 2 Av;New York
1729;Cazuelas Restaurant;559 Hudson St;New York
1730;Cbb Restaurant;314 W 36th St;New York
1731;Cbr Restaurant Inc;244 E 53rd St;New York
1732;Ceasar's Falafel;32 Saint Marks Place;New York
1733;Ceasars Pizza;861 Broadway;New York
1734;Cecil's Restaurant;304 East 42nd Street;New York
1735;Cedar Tavern;82 University Place;New York
1736;Cedar Tavern;82 University Pl;New York
1737;Cedars Of Lebanon;8 W 38th St;New York
1738;Celebrity Delicatessen;700 8th Avenue;New York
1739;Celeste Restaurant;502 Amsterdam Av;
1740;Cellini;65 E 54th St;New York
1741;Cendrillon;45 Mercer Street Frnt;New York
1742;Cent'Anni Restaurant;50 Carmine St;New York
1743;Centolire;1167 Madison Ave;New York
1744;Central Bar;109 East 9th Street Frnt;New York
1745;Central Buffet Inc;195 Centre Street;New York
1746;Central Fish Market;527 9th Avenue;New York
1747;Central Harlem Deli Grocery;187 West 135th Street;New York
1748;Central Market;52 Vanderbilt Avenue;New York
1749;Central Market;202 West 34th Street;New York
1750;Central Market;30 Rockefeller Plaza;New York
1751;Central Market Grill;412 Lexington Avenue;New York
1752;Central Park Cafe;760 Columbus Ave;New York
1753;Central Park Super Deli;50 West 72nd Street Apt 812;New York
1754;Central Tavern;101 West Street;New York
1755;Centre Seafood Inc;206 Centre Street;New York
1756;Ceramies Corporation;145 East 60th Street Frnt;New York
1757;Cercle Rouge;241 West Broadway;New York
1758;Cerutti & Miller;40 West 17th Street;New York
1759;Cesar Place;1229 Saint Nicholas Avenue;New York
1760;Cesca;164 West 75;New York
1761;Cestbon Deli;17 W 20th St # 1;New York
1762;Cevicheria Grove Inc;100 7 Av;New York
1763;Cfn Of New York Inc;370 Lexington Ave # 11;New York
1764;Cha Kuan Restaurant;34 E 8th St;New York
1765;Cham Dubu;55 West 35;New York
1766;Chambord Deli;1377 Avenue Of The Americ;New York
1767;Champ Gourmet Croissant Shop;30 Broad Street;New York
1768;Champagnes;20 W 55th St # 1;New York
1769;Champions Sports Bar;525 Lexington Avenue;New York
1770;Champs Gourmet Deli;71 Broadway;New York
1771;Chan's Kitchen;4421 Broadway;New York
1772;Chan's Kitchen;155 Sherman Avenue # A;New York
1773;Chandni Food Inc;11 West 29;New York
1774;Chandresh Food Corporation;28 Water Street;New York
1775;Chang Mi Restaurant;46 W 56th St;New York
1776;Chang NING Corporation;106 West 32nd Street;New York
1777;Chango;239 Park Ave South;New York
1778;Channel Deli Grocery;1618 Madison Avenue;New York
1779;Chanpen Thai Restaurant;761 9th Avenue;New York
1780;Chans Garden Restaurant;1003 Columbus Ave;New York
1781;Chantales Cajun Kitchen;510 9th Ave;New York
1782;Chanterelle;2 Harrison St;New York
1783;Chao Chow;111 Mott Street Frnt;New York
1784;Chardy Deli Grocery;1694 Park Avenue;New York
1785;Charisma Group Inc;2370 Adam Clayton Powell Jr Bl;New York
1786;Charles Southern Style Kitchen;2837 Frederick Douglass B Frnt;New York
1787;Charles West Delicatessen;690 Washington Street;New York
1788;Charleston Bistro;345 7th Avenue;New York
1789;Charley Os;9 Pennsylvania Plz;New York
1790;Charley Os Shubert Alley At 45;218 W 45th St;New York
1791;Charlie Mom;47 7th Ave S # 1;New York
1792;Charlie Mom Chinese Cuisine;464 Avenue Of The Americ;New York
1793;Charlie Mom Chinese Restaurant;408 8th Ave;New York
1794;Charlie Mom Noodle Shop;404 Ave Of The Americas # 10011;New York
1795;Charlie Mom Restaurant;1491 1st Avenue Frnt;New York
1796;Charlie's Pizza;1501 Saint Nicholas Avenue;New York
1797;Charlies;110 Trinity Place;New York
1798;Charlies On Fifth Ave Inc;2014 5th Ave;New York
1799;Charro Mexicano Inc;564 Amsterdam Avenue;New York
1800;Chat 'n' Chew;10 E 16th St;New York
1801;Chatham and Campbell Oriental Caffes Lim;95 1st Avenue;New York
1802;Chatkhara;103 Lexington Ave;New York
1803;Chaz & Wilsons Grill;201 W 79th St;New York
1804;Che 2020;149 8th Ave;New York
1805;Che' Bella Pizza;1215 Amsterdam Avenue;New York
1806;Cheap Shots Inc;140 1 Av;New York
1807;Checkerboard Gourmet;519 Madison Ave;New York
1808;Checkers;62 West 62nd Street;New York
1809;Checkers Chargrilled Chicken & Ribs;201 East 34th Street;New York
1810;Checkmate;150 West 82nd Street;New York
1811;Cheesy Pizza Inc;2640 Broadway;New York
1812;Chef & Company;8 West 18th Street;New York
1813;Chef 28 Restaurant;29 East 28th Street Frnt;New York
1814;Chef 93;1424 Lexington Ave;New York
1815;Chef Cafe Intl;184 11th Ave;New York
1816;Chef Ho's Chinese Restaurant;1720 2nd Avenue;New York
1817;Chef's Kitchen;58 E 56th St;New York
1818;Chefs 93;1424 Lexington Ave;New York
1819;Chelsea Better Burger Corporation;265 West 19th Street;New York
1820;Chelsea Bistro & Bar;358 West 23rd Street;New York
1821;Chelsea Brewing;Pier 62;New York
1822;Chelsea Commons Restaurant;242 10th Ave;New York
1823;Chelsea Commons Restaurant;463 W 24th St;New York
1824;Chelsea Cottage Chinese Restaurant;206 9th Avenue Frnt;New York
1825;Chelsea Feast;505 W 23rd St;New York
1826;Chelsea Gallery Restaurant;72 7th Avenue;New York
1827;Chelsea Golden Wok;209 8th Ave;New York
1828;Chelsea Gourmet Deli;259 7th Avenue;New York
1829;Chelsea Gourmet Deli Inc;234 8 Av;New York
1830;Chelsea Grill;135 8th Ave;New York
1831;Chelsea Grill;135 Eighth Avenue;New York
1832;Chelsea Lobster Co;156 7th Ave;New York
1833;Chelsea Matchbox Limited;403 West 24th Street;New York
1834;Chelsea Morans Sea Food Inc;146 10th Ave;New York
1835;Chelsea SQ Restaurant;368 West 23rd Street Frnt;New York
1836;Chelsea Trattoria;108 8th Avenue Frnt;New York
1837;Chelseas Choice Inc;210 7th Ave;New York
1838;Chen Chang HUA;2133 3rd Avenue;New York
1839;Chen Chinese Restaurant;1495 St Nicholas Av;New York
1840;Chen Express Kitchen;199 7 Av;New York
1841;Chen Hall Restaurant;10 Murray Street;New York
1842;Chen Wong Restaurant;197 Madison Street;New York
1843;Chen Zhi Cheng;60 Mulberry St;New York
1844;Chen's Garden Restaurant;1902 Adam Clayton Powell;New York
1845;Chen's Gourmet;1097 2nd Avenue;New York
1846;Chenab Restaurant;540 9th Avenue;New York
1847;Chenab Restaurant Inc;540 9th Avenue;New York
1848;Cheng Restaurant;1614 Saint Nicholas Avenue;New York
1849;Chennai Garden Inc;129 East 27;New York
1850;Chens Garden Restaurant;1902 7th Ave;New York
1851;Cherin Sushi;306 East 6;New York
1852;Cherry Chinese Rest;2468 7th Ave # 1;New York
1853;Cherry Tavern;441 East 6th Street Frnt;New York
1854;Cherry at W New York the Tuscany Hotel;120 East 39th Street;New York
1855;Chester Fried Chicken;384 Grand Street;New York
1856;Cheung Hing Chinese Restaurant;213 East Broadway;New York
1857;Cheung Seng Restaurant;24 8th Ave;New York
1858;Cheung Shing Restaurant;452 Amsterdam Avenue;New York
1859;Chevy's Fresh Mex;102 North End Avenue;New York
1860;Chevys Fresh Mex Restaurant;259 West 42nd Street;New York
1861;Chevys Lunchnette;798 9th Ave;New York
1862;Cheyenne Diner;411 9th Avenue;
1863;Chez Bernard;323 W Broadway;
1864;Chez Bernard;323 West Broadway;
1865;Chez Brigitte Restaurant;77 Greenwich Avenue;New York
1866;Chez Gourmet;281 5th Avenue;New York
1867;Chez Jacqueline;72 Macdougal St;New York
1868;Chez Josephine Limited;414 West 42nd Street Frnt;New York
1869;Chez Laurence Patisserie Inc;245 Madison Avenue;New York
1870;Chez Le Chef Inc;127 Lexington Avenue;New York
1871;Chez Michallet Restaurant;90 Bedford St;New York
1872;Chez Paris Cafe;135 West 56th Street;New York
1873;Chez Suzette Restaurant;675 9th Avenue;New York
1874;Chez Suzette Restaurant;675 9th Avenue Frnt;New York
1875;Chiam Restaurant;160 East 48th Street;New York
1876;Chicago Blues;73 8th Ave;New York
1877;Chichi Steak;135 Christopher Street Frnt;New York
1878;Chick Chuck Chicken Inc;121 University Pl;New York
1879;Chicken Bar;145 E 52nd St # 1;New York
1880;Chicken Delight;269 8th Ave # 1;New York
1881;Chicken Fair;2071 Broadway # 1;New York
1882;Chicken Fair Inc;2393 Broadway;New York
1883;Chicken House;270 West 36th Street;New York
1884;Chicken Kitchen;980 2nd Ave;New York
1885;Chicken Kitchen;42 E 23rd St;New York
1886;Chicken Kitchen On Second;1177 2nd Avenue;New York
1887;Chicken Stop;584 Amsterdam Avenue;New York
1888;Chickenfest;2818 Broadway;New York
1889;Chickenfest Garden Cafe;413 E 71st St;New York
1890;Chickie Pig's Brick Oven;121 Ludlow Street;New York
1891;Chicky's On 86 Street;355 East 86th Street;New York
1892;Chicos Pizza & Mexican Food;343 Saint Nicholas Avenue;New York
1893;Chihuahua Mexican Place;1452 2nd Avenue;New York
1894;ChikaLicious Dessert Bar;203 E 10th St;
1895;Chikibu 2;188 2nd Ave;New York
1896;Chikubu Japanese Restaurant;12 East 44th Street Frnt;New York
1897;Childs Restaurant;27 W 34th St;New York
1898;Childs Restaurant;604 5th Ave;New York
1899;Childs Restaurant;560 5th Ave;New York
1900;Chili Peppers;198 Orchard Street;New York
1901;Chimichurri Grill Corporation;606 9th Avenue Apt 4;New York
1902;Chin-Chin Restaurant Inc;216 East 49th Street Frnt;New York
1903;Chin-Ya Restaurant;210 West 55th Street;New York
1904;China 1;50 Avenue B;New York
1905;China 1 Kitchen;609 Main Street;New York
1906;China 59 Restaurant;59 Nassau Street Bsmt;New York
1907;China 99 Restaurant;64 Fulton Street;New York
1908;China Cafe;205 Pearl Street;New York
1909;China Chalet;47 Broadway;New York
1910;China Chalet;90 Broad Street;New York
1911;China Chalet Restaurant;110 John Street;New York
1912;China Club;268 West 47th Street Floor 2;New York
1913;China Cottage;316 W 36th St;New York
1914;China Evian Restaurant Inc;144 W 46th St;New York
1915;China Express;435 Park Avenue;New York
1916;China Fun;246 Columbus Avenue;New York
1917;China Fun;250 E 65th St;New York
1918;China Gourmet Chinese Restaurant;877 8th Avenue;New York
1919;China Grill;60 West 53rd Street;New York
1920;China House Restaurant;353 Grand St;New York
1921;China Inn Chinese Restaurant;38 Monroe St # Ef4;New York
1922;China Internet Cafe Bar;33 Henry;New York
1923;China King;1415 5th Ave;New York
1924;China Kitchen Restaurant;1 West 125th Street;New York
1925;China Lantern Express;2245 1 Av;New York
1926;China Moon;38 Avenue B;New York
1927;China Moon;1946 1st Avenue;New York
1928;China Moon;7 East 47;New York
1929;China Palace;21 East 33rd Street;New York
1930;China Place;3141 Broadway;New York
1931;China Red Restaurant;118 Chambers Street;New York
1932;China Regency Restaurant;850 7th Avenue Frnt 1;New York
1933;China Seas Inc;152 Madison Avenue;New York
1934;China Shalom Glatt Kosher Inc;686 Columbus Ave;New York
1935;China Star;595 West 207th Street;New York
1936;China Star Restaurant;330 8th Avenue;New York
1937;China Stop;330 8th Ave;New York
1938;China Taste On Bleeker Restaurant;277 Bleecker St;New York
1939;China Wok Restaurant;816 West 187th Street;New York
1940;China Woks;221 Avenue B Frnt;New York
1941;Chinar India Sweets And Restaurant;156 W 29th St;New York
1942;Chinar India Sweets And Restaurant;204 W 50th St;New York
1943;Chinatown Brokerage House;197 Worth Street;New York
1944;Chinatown Chinese Restaurant;250 East Houston Street Frnt 4;New York
1945;Chinatown East;1650 3 Av;New York
1946;Chinatown East;1650 3rd Ave # 1;New York
1947;Chinatown Kitchen;514 Amsterdam Ave;New York
1948;Chinatown Palace Chinese Fast Food Inc;592 8th Avenue;New York
1949;Chinatown Restaurant;47 W 14th St;New York
1950;Chinatown Restaurant;259 East Broadway;New York
1951;Chinatown Restaurant;238 E 14th St;New York
1952;Chinatown Restaurant;219 East 23;New York
1953;Chinese American Brother Enterprise Inc;295 Grand Street;New York
1954;Chinese Chicken Inc;230 7th Avenue Frnt;New York
1955;Chinese Fried Chicken;908 Saint Nicholas Ave;New York
1956;Chinese Mirch;120 Lexington Avenue;New York
1957;Chinese Museum & Chinese Dragon;8 Mott Street;New York
1958;Chinese Restaurant;152 E 110th St;New York
1959;Chino's Asian Tapas;173 Third Avenue;New York
1960;Chipotle;150 East 52nd Street;New York
1961;Chipotle;19 Saint Marks Place;New York
1962;Chipotle Mexican Grill;283 7 Av;New York
1963;Chipotle Mexican Grill;200 Varick;New York
1964;Chipotle Mexican Grill;510 Avenue Of The Americas;New York
1965;Chipotle Mexican Grill 0681;620 9 Av;New York
1966;Chirping Chicken;42 W 33rd St;New York
1967;Chirping Chicken;377 1st Ave;New York
1968;Chirping Chicken;350 Amsterdam Avenue;New York
1969;Chirping Chicken Lexington Corporation;1260 Lexington Avenue;New York
1970;Chitose Japanese Rstrnt;1144 1st Ave;New York
1971;Chiu Fai Kitchen;142 Hamilton Pl;New York
1972;Choi Jade Garden;4093 Broadway;New York
