;restaurant;address;neighborhood;addressGoogle
36;Ada;;Midtown East;
37;Adour Alain Ducasse;;Midtown East;
38;Agata and Valentina Ristorante;1513 First Ave at E 79th St;Upper East Side;1513 First Ave at E 79th St
39;Agave;140 7th Avenue South btwn 10th and W...;Greenwich Village;140 7th Ave S
40;Agozar;;East Village;
41;Aja;1068 First Ave at 58th St;Midtown East;1068 First Ave at 58th St
42;Akdeniz;;Midtown West;
43;Aki On West 4th;;Greenwich Village;
44;Al Baraka;1613 Second Ave btwn 83rd and 84th Sts;Upper East Side;1613 Second Ave btwn 83rd and 84th Sts
45;Al Bustan;;Midtown East;
46;Al Di La;248 5th Ave at Carroll St;Park Slope;248 5th Ave
47;Alcala;;Midtown East;
48;Alchemy;;Park Slope;
49;Alexandra;;Greenwich Village;
50;Alfama;;Greenwich Village;
51;Alfredo's of Rome;;Midtown West;
52;Ali Baba;212 E 34th St btwn Second and Third Aves;Midtown East;212 E 34th St
53;Alias;;Lower East Side;
54;Allen and Delancey;;Lower East Side;
55;Alloro;;Upper East Side;
56;Alma Grill;134 E 48th St at Lexington Ave;Midtown East;134 E 48th St at Lexington Ave
57;Alonso's Steakhouse;;Chelsea;
58;Alouette;;Upper West Side;
59;Alta;;Greenwich Village;
60;Alta Voce;;Park Slope;
61;Alto;;Midtown East;
62;Ama;48 MacDougal St btwn Houston and Prince...;SoHo;48 MacDougal St btwn Houston and Prince...
63;Amalia;204 W 55th St near Broadway;Midtown West;204 W 55th St
64;Amaranth;21 E 62nd St btwn Fifth and Madison Aves;Upper East Side;21 E 62nd St # 1
65;Ambassador Grill and Lounge;1 United Nations Plaza;Midtown East;1 United Nations Plaza
66;Amber;1406 Third Ave at 80th St;Upper East Side;1406 3rd Ave
67;Amma;;Midtown East;
68;Ammos;;Midtown East;
69;Ammos Estiatorio;52 Vanderbilt Ave btwn 44th and 45th Sts;Midtown East;52 Vanderbilt Ave btwn 44th and 45th Sts
70;Amsterdam Restaurant and Tapas Lounge;;Upper West Side;
71;Amy's Bread;75 Ninth Ave btwn 15th and 16th Sts;Midtown West;75 Ninth Ave btwn 15th and 16th Sts
72;Amy's Bread;75 Ninth Ave btwn 15th and 16th Sts;Chelsea;75 Ninth Ave btwn 15th and 16th Sts
73;Amy's Bread;75 Ninth Ave btwn 15th and 16th Sts;Greenwich Village;75 Ninth Ave btwn 15th and 16th Sts
74;An Choi;;Lower East Side;
75;Angelica Kitchen;;East Village;
76;Angelo's Coal Oven Pizza;117 W 57th St at Sixth Ave;Midtown West;117 W 57th St
77;Angelo's Coal Oven Pizza;117 W 57th St at Sixth Ave;Midtown East;117 W 57th St
78;Angelo's Pizzeria;1697 Broadway at 53rd St;Midtown West;Ed Sullivan Theater
79;Angus McIndoe;;Midtown West;
80;Annisa;;Greenwich Village;
81;Anthony's;426A Seventh Ave at 14th St;Park Slope;E 14th St
82;Anthos;;Midtown East;
83;Antica Venezia;;Greenwich Village;
84;Antique Garage;41 Mercer St btwn Broome and Grand Sts;SoHo;41 Mercer St
85;Antonucci;170 E 81 St btwn Lexington and 3rd Aves;Upper East Side;168 E 81st St
86;Apiary;;East Village;
87;Apizz;217 Elridge St btwn Stanton and...;Lower East Side;217 Eldridge St
88;Applewood;;Park Slope;
89;Apropos Cafe;186 5th Avenue at Sackett St;Park Slope;186 5th Avenue at Sackett St
90;Aquagrill;210 Spring St at 6th Ave;SoHo;210 Spring St
91;Aquavit;65 E 55th St btwn Park and Madison Aves;Midtown East;65 E 55th St
92;Aquavit Cafe;65 E 55th St btwn Park and Madison Aves;Midtown East;65 E 55th St
93;Arabelle;37 E. 64th St. at Madison Ave;Upper East Side;37 E 64th St
94;Archipelago (CLOSED);;SoHo;
95;Aretsky's Patroon;160 E 46th St btwn Lexington and 3rd...;Midtown East;160 E 46th St
96;Ariyoshi;806 Broadway btwn 11th and 12th Sts;East Village;806 Broadway btwn 11th and 12th Sts
97;Armani Ristorante;;Midtown West;
98;Aroma Kitchen and Winebar;36 E 4th St btwn Lafayette and Bowery;East Village;36 E 4th St btwn Lafayette and Bowery
99;Arte;21 E 9th St btwn Fifth Ave and...;Greenwich Village;21 E 9th St
100;Arte Cafe;106 W 73rd St btwn Columbus and...;Upper West Side;106 W 73rd St
101;Artichoke Basille's Pizza and Brewery;;East Village;
102;Artichoke Basille’s Pizza and Brewery;328 E 14th St btwn First and Second Aves;East Village;328 E 14th St
103;Artie's Delicatessen;2290 Broadway at 83rd St;Upper West Side;2290 Broadway
104;Arturo's Pizzeria;;Greenwich Village;
105;Asiate;;Midtown West;
106;Aspen Social Club;157 W 47th St btwn 6th and 7th Aves;Midtown West;157 W 47th St
107;Astor Court;;Midtown East;
108;Atlantic Grill;;Upper East Side;
109;Atlas Cafe;;East Village;
110;Atria;;Midtown West;
111;August;359 Bleecker St btwn Charles and W 10th...;Greenwich Village;359 Bleecker St
112;Aureole;;Upper East Side;
113;Aurora;510 Broome St btwn Thompson St and West...;SoHo;510 Broome St
114;Aurora Soho;510 Broome St btwn Thompson St and West...;SoHo;510 Broome St
115;Avenue A Sushi;103 Ave A btwn 6th and 7th Sts;East Village;New York
116;Avon Bistro;155 E 52 St btwn Lexington and 3rd Aves;Midtown East;155 East 52nd Street
117;Avon Bistro (CLOSED);;Midtown East;
118;Avra Estiatorio;;Midtown East;
119;Awash;338 E 6th St btwn First and Second Aves;Upper West Side;338 E 6th St btwn First and Second Aves
120;Awash;338 E 6th St btwn First and Second Aves;East Village;338 E 6th St btwn First and Second Aves
121;Ayza Cafe and Wine Bar;11 W 31st St btwn Fifth Ave and Broadway;Midtown East;11 W 31st St btwn Fifth Ave and Broadway
122;Azalea;224 W 51st St btwn Broadway and Eighth...;Midtown West;224 W 51st St
123;Azucar;939 Eighth Ave btwn 55th and 56th Sts;Midtown West;W 56th St
124;Azul Bistro;152 Stanton St at Suffolk St;Lower East Side;152 Stanton St
125;Azza;137 E 55th St btwn Lexington and 3rd...;Midtown East;136E E 55th St
126;B. Cafe;240 E 75th St btwn 2nd and 3rd Aves;Upper East Side;3rd Ave
127;B. Smith's;;Midtown West;
128;BB Sandwich Bar;;Greenwich Village;
129;BG;;Midtown West;
130;BLT Burger;;Greenwich Village;
131;BLT Market;;Midtown West;
132;BLT Steak;106 E 57th St btwn Park and Lexington...;Midtown East;106 E 57th St
133;Babbo;110 Waverly Place btwn MacDougal St and...;Greenwich Village;110 Waverly Pl
134;Babouche;92 Prince St at Mercer St;SoHo;92 Prince St
135;Babouche Park Slope;163 5th Ave at Lincoln Place;Park Slope;163 5th Ave
136;Bacaro;;Lower East Side;
137;Back Forty;;East Village;
138;Baldoria;;Midtown West;
139;Bali Nusa Indah;;Midtown West;
140;Balthazar;;SoHo;
141;Bamboo 52;;Midtown West;
142;Banc Cafe;431 Third Ave at 30th St;Midtown East;431 3rd Ave
143;Bandol Bistro;181 E 78th St btwn Lexington and Third...;Upper East Side;181 E 78th St
144;Banjara;97 1st Ave at 6th St;East Village;97 1st Avenue
145;Bann;350 W 50th St at Ninth Ave;Midtown West;350 W 50th St
146;Bao 111 (CLOSED);111 Ave C btwn 7th and 8th Sts;East Village;111 Ave C btwn 7th and 8th Sts
147;Bar 6;502 Sixth Ave btwn 12th and 13th Sts;Greenwich Village;502 Sixth Ave btwn 12th and 13th Sts
148;Bar Americain;152 W 52nd St btwn 6th and 7th Sts;Midtown West;152 W 52nd St btwn 6th and 7th Sts
149;Bar BQ;;Park Slope;
150;Bar Bao;;Upper West Side;
151;Bar Baresco;;Chelsea;
152;Bar Blanc;142 W 10th St btwn Greenwich Ave and...;Greenwich Village;142 W 10th St
153;Bar Boulud;1900 Broadway btwn 63rd and 64th Sts;Upper West Side;1900 Broadway btwn 63rd and 64th Sts
154;Bar Carrera;;East Village;
155;Bar Masa;;Midtown West;
156;Bar Pitti;;Greenwich Village;
157;Bar Q;;Greenwich Village;
158;Bar Q (CLOSED);;Greenwich Village;
159;Bar Room at the Modern;9 W 53rd St btwn Fifth and Sixth Aves;Midtown West;9 W 53rd St btwn Fifth and Sixth Aves
160;Bar Tano;457 Third Ave at 9th St;Park Slope;Third Ave.
161;Bar Toto;411 11th St at Sixth Ave;Park Slope;411 11th St
162;Bar Veloce;176 Seventh Ave btwn 20th and 21st Sts;Chelsea;176 Seventh Ave btwn 20th and 21st Sts
163;Baraonda;1439 Second Ave at 75th St;Upper East Side;1439 2nd Ave
164;Barbetta;321 W 46th St btwn 8th and 9th Aves;Midtown West;321 W 46th St
165;Barbuto;775 Washington St btwn Jane and 12th Sts;Greenwich Village;775 Washington St btwn Jane and 12th Sts
166;Barcibo Enoteca;;Upper West Side;
167;Barney Greengrass;;Upper West Side;
168;Barolo;;SoHo;
169;Barrio;;Park Slope;
170;Basta Pasta;;Chelsea;
171;Batch;150B W. 10th Street btwn Greenwich Ave...;Greenwich Village;150B W 10th St
172;Bay Leaf;;Midtown West;
173;Beacon;;Midtown West;
174;Becco;;Midtown West;
175;Beer Table;;Park Slope;
176;Beet;;Park Slope;
177;Belcourt;;East Village;
178;Bella Blu;;Upper East Side;
179;Bella Luna;;Upper West Side;
180;Bellavitae;;Greenwich Village;
181;Belleville;;Park Slope;
182;Bello Sguardo;;Upper West Side;
183;Ben Benson's Steakhouse;;Midtown West;
184;Ben and Jack's Steakhouse;;Midtown East;
185;Ben's Kosher Delicatessen;;Midtown West;
186;Benjamin Steakhouse;;Midtown East;
187;Benoit;;Midtown West;
188;Bereket;;Lower East Side;
189;Better Burger;561 Third Ave at 37th St;Midtown East;561 3rd Ave
190;Better Burger;561 Third Ave at 37th St;Chelsea;561 3rd Ave
191;Better Burger (CLOSED);;Upper East Side;
192;Bettola;412 Amsterdam Ave btwn 79th and 80th Sts;Upper West Side;412 Amsterdam Ave
193;Beyoglu;1431 Third Ave at 81st St;Upper East Side;1431 Third Ave at 81st St
194;Bianca;;East Village;
195;Bice;;Midtown East;
196;Big John;;Lower East Side;
197;Bin 71;;Upper West Side;
198;Birdbath;145 Seventh Ave So at Charles St;Greenwich Village;145 7th Ave S
199;Birdbath;145 Seventh Ave So at Charles St;East Village;145 7th Ave S
200;Biricchino;260 W 29th St at Eighth Ave;Chelsea;260 W 29th St
201;Bistecca Fiorentina;;Midtown West;
202;Bistro Cassis;;Upper West Side;
203;Bistro Citron;;Upper West Side;
204;Bistro Desaret;;Midtown East;
205;Bistro Le Steak;;Upper East Side;
206;Bistro Milano;1350 Avenue of the Americas at 55th St;Midtown West;1350 6th Ave
207;Bistro Ten 18;;Upper West Side;
208;Bistro du Nord;;Upper East Side;
209;Bistro les Amis;;SoHo;
210;Bistrouge;432 E 13th St btwn 1st and 2nd Aves;East Village;2nd Ave
211;Black Iron Burger Shop;540 E 5th St btwn Avenues A and B;East Village;540 E 5th St btwn Avenues A and B
212;Black Pearl (CLOSED);883 Union St btwn Seventh and Eighth...;Park Slope;883 Union St btwn Seventh and Eighth...
213;Bloomingdale Road;2398 Broadway at 88th St;Upper West Side;2398 Broadway
214;Bloomingdale Road (CLOSED);;Upper West Side;
215;Blossom Vegetarian Restaurant;187 Ninth Ave btwn 21st and 22nd Sts;Chelsea;187 Ninth Ave btwn 21st and 22nd Sts
216;Blue Fin;1567 Broadway at 47th St;Midtown West;1567 Broadway
217;Blue Hill;75 Washington Place btwn 6th Ave and...;Greenwich Village;75 Washington Pl
218;Blue Point;662 Ninth Ave at 46th St;Midtown West;662 9th Ave
219;Blue Ribbon Bakery;33 Downing St at Bedford St;Greenwich Village;33 Downing St
220;Blue Ribbon Bar;;Greenwich Village;
221;Blue Ribbon Brasserie;97 Sullivan St btwn Prince and Spring...;SoHo;97 Sullivan St
222;Blue Ribbon Park Slope;280 5th Ave btwn 1st St and Garfield Pl;Park Slope;280 5th Ave btwn 1st St and Garfield Pl
223;Blue Ribbon Sushi Bar and Grill;;Midtown West;
224;Blue Ribbon Sushi Manhattan;;SoHo;
225;Blue Ribbon Sushi Park Slope;;Park Slope;
226;Blue/Green (CLOSED);248 Mott St btwn Houston and Prince Sts;SoHo;248 Mott St btwn Houston and Prince Sts
227;Blue/Green (CLOSED);248 Mott St btwn Houston and Prince Sts;Upper East Side;248 Mott St btwn Houston and Prince Sts
228;Bluechili;251 W 51st St btwn Broadway and Eighth...;Midtown West;251 W 51st St
229;Bobby Van's Park Avenue;;Midtown East;
230;Bobby Van's Steakhouse;;Midtown East;
231;Bobo;181 W 10th St at 7th Ave So;Greenwich Village;181 W 10th St
232;Boca Chica;;East Village;
233;Bocca di Bacco;;Midtown West;
234;Boi;246 E 44th St btwn Second and Third Aves;Midtown East;246 E 44th St
235;Boka;;East Village;
236;Bombay Bistro;;Midtown East;
237;Bombay Frankie;994 Amsterdam Ave btwn 109th and 110th...;Upper West Side;994 Amsterdam Ave btwn 109th and 110th...
238;Bombay Palace;30 W 52nd St btwn Fifth and Sixth Aves;Midtown West;30 W 52nd St
239;Bombay Talkie;;Chelsea;
240;Bond 45;;Midtown West;
241;Bond St;6 Bond St btwn Broadway and Lafayette St;East Village;6 Bond St
242;Bondi Road;153 Rivington St btwn Suffolk and...;Lower East Side;153 Rivington St btwn Suffolk and...
243;Bone Lick Park;75 Greenwich Ave btwn Seventh Ave South...;Greenwich Village;75 Greenwich Ave
244;Bongo;299 Tenth Ave btwn 27th and 28th Sts;Chelsea;299 Tenth Ave btwn 27th and 28th Sts
245;Bonnie's Grill;;Park Slope;
246;Boom;152 Spring St btwn West Broadway and...;SoHo;152 Spring St btwn West Broadway and...
247;Bottega Del Vino;;Upper East Side;
248;Bottino;248 10th Ave btwn 24th and 25th Sts;Chelsea;248 10th Ave btwn 24th and 25th Sts
249;Boucarou;64 E 1st St btwn 1st and 2nd Aves;Lower East Side;49 Bleecker St
250;Bouchon Bakery;10 Columbus Circle btwn 58th and 60th...;Midtown West;10 Columbus Cir
251;Boutique Del Vino;;SoHo;
252;Braai;329 West 51st St btwn 8th and 9th Aves;Midtown West;329 W 51st St
253;Braeburn;117 Perry St btwn Greenwich and Hudson...;Greenwich Village;117 Perry St
254;Brasserie;100 E 53rd St btwn Lexington and Park...;Midtown East;100 E 53rd St
255;Brasserie 360;;Upper East Side;
256;Brasserie 52;772 Ninth Ave btwn 51st and 52nd Sts;Midtown West;772 Ninth Ave btwn 51st and 52nd Sts
257;Brasserie 8 1/2;;Midtown West;
258;Brasserie Athenee;;Midtown West;
259;Brasserie Cognac;1740 Broadway at 55th St;Midtown West;1740 Broadway
260;Brasserie Julien;;Upper East Side;
261;Brasserie Ruhlmann;45 Rockefeller Plaza btwn 5th and 6th...;Midtown West;45 Rockefeller Plaza
262;Bravo Gianni;230 E 63rd St btwn Second and Third Aves;Upper East Side;230 E 63rd St
263;Brawta Caribbean Outpost;447 Seventh Ave btwn 15th and 16th Sts;Park Slope;447 Seventh Ave btwn 15th and 16th Sts
264;Brazil Brazil;330 W 46th St btwn Eighth and Ninth Aves;Midtown West;252 W 46th St
265;Brazil Grill;787 8th Ave at 48th St;Midtown West;787 8th Ave
266;Bread and Olive;24 W 45th St btwn Fifth and Sixth Aves;Midtown West;24 W 45th St
267;Breeze;661 Ninth Ave btwn 45th and 46th Sts;Midtown West;661 Ninth Ave btwn 45th and 46th Sts
268;Brgr;287 7th Ave btwn 26th and 27th Sts;Chelsea;287 7th Ave btwn 26th and 27th Sts
269;Bricco;;Midtown West;
270;Brick Lane Too;;Midtown East;
271;Bricklane Curry House;;East Village;
272;Brio;;Upper East Side;
273;Broadway East;171 East Broadway btwn Jefferson and...;Lower East Side;171 E Broadway
274;Broadway Joe Steakhouse;;Midtown West;
275;Brooklyn Diner USA;212 W 57th St btwn Seventh Ave and...;Midtown West;212 W 57th St
276;Brooklyn Fish Camp;162 Fifth Ave btwn DeGraw and Douglass...;Park Slope;162 5th Ave
277;Brooklyn Flipster's;444 9th St;Park Slope;444 9th St
278;Brookvin;;Park Slope;
279;Brown Cafe;;Lower East Side;
280;Bruno Jamais Restaurant Club;24 E 81st St at Madison Ave;Upper East Side;24 E 81st St at Madison Ave
281;Bruno Ristorante;240 E 58th St btwn Second and Third Aves;Midtown East;240 E 58th St
282;Bryant Park Cafe and Grill;;Midtown West;
283;Buddakan;75 9th Ave at 16th St;Chelsea;75 9th Ave
284;Buenos Aires;;East Village;
285;Bull and Bear;;Midtown East;
286;Bun;;SoHo;
287;Burger Heaven;802 Lexington Ave at 62nd St;Upper East Side;802 Lexington Ave
288;Burger Heaven;802 Lexington Ave at 62nd St;Midtown East;802 Lexington Ave
289;Burger Joint;;Midtown West;
290;Burgers and Cupcakes;265 W 23 St btwn Seventh and Eighth Aves;Chelsea;265 W 23 St btwn Seventh and Eighth Aves
291;Burrito Bar and Kitchen;;Park Slope;
292;Bussaco;833 Union St btwn 6th and 7th Aves;Park Slope;833 Union St btwn 6th and 7th Aves
293;Butcher Bay;511 E 5th St btwn Avenues A and B;East Village;511 E 5th St btwn Avenues A and B
294;Butterfield 8;5 E 38th St btwn Fifth and Madison Aves;Midtown East;5 E 38th St btwn Fifth and Madison Aves
295;Buzina Pop;;Upper East Side;
296;Byblos;;Midtown East;
297;Cabana;1022 Third Ave btwn 60th and 61st Sts;Upper East Side;1022 Third Ave btwn 60th and 61st Sts
298;Cabrito;;Greenwich Village;
299;Cacio E Pepe;;East Village;
300;Cacio e Vino;;East Village;
301;Cafe Asean;;Greenwich Village;
302;Cafe Boulud;;Upper East Side;
303;Cafe Centro;;Midtown East;
304;Cafe Cluny;;Greenwich Village;
305;Cafe Condesa;;Greenwich Village;
306;Cafe Edison;228 W 47th St btwn Broadway and Eighth...;Midtown West;228 W 47th St
307;Cafe Evergreen;1288 First Ave at 69th St;Upper East Side;1288 First Ave at 69th St
308;Cafe Fiorello;1900 Broadway btwn 63rd and 64th Sts;Upper West Side;1900 Broadway btwn 63rd and 64th Sts
309;Cafe Frida;368 Columbus Ave btwn 77th and 78th Sts;Upper West Side;368 Columbus Ave
310;Cafe Joul;;Upper East Side;
311;Cafe Katja;;Lower East Side;
312;Cafe Loup;;Greenwich Village;
313;Cafe Luxembourg;200 W 70th St Amsterdam Ave;Upper West Side;200 W 70th St
314;Cafe Mogador;101 St Marks Pl btwn First Ave and Ave A;East Village;101 St Marks Pl btwn First Ave and Ave A
315;Cafe Pierre;;Midtown East;
316;Cafe Ronda;249 Columbus Ave btwn 71st and 72nd Sts;Upper West Side;249 Columbus Ave btwn 71st and 72nd Sts
317;Cafe SFA;;Midtown West;106 W 145th St
318;Cafe Sabarsky;;Upper East Side;106 W 145th St
319;Cafe Soleil;1016 Second Ave btwn 53rd and 54th Sts;Midtown East;54th St
320;Cafe Spice;;Greenwich Village;
321;Cafe Spice;;Midtown West;
322;Cafe Steinhof;422 Seventh Ave at 14th St;Park Slope;422 7th Ave
323;Cafe con Leche;424 Amsterdam Ave btwn 80th and 81st Sts;Upper West Side;E 81st St
324;Cafe d'Alsace;1695 2nd Ave at 88th St;Upper East Side;1695 2nd Ave
325;Cafe de Bruxelles;;Greenwich Village;
326;Cafe des Artistes;1 W 67th St at Central Park West;Upper West Side;1 W 67th St
327;Cafe@RMA;;Chelsea;
328;Cafecito;;East Village;
329;Cafetasia;;Greenwich Village;
330;Cafeteria;;Chelsea;
331;Caffe Emilia;;East Village;
332;Caffe Falai;265 Lafayette St at Prince St;SoHo;265 Lafayette St
333;Caffe Grazie;26 E. 84th St btwn Madison and 5th Aves;Upper East Side;26 E 84th St
334;Caffe Linda;;Midtown East;
335;Calle Ocho;;Upper West Side;
336;CamaJe Bistro;;Greenwich Village;
337;Cambodian Cuisine;;Upper East Side;
338;Campagnola;1382 First Ave btwn 73rd and 74th Sts;Upper East Side;E 74th St
339;Campo;;Upper West Side;
340;Canaletto;208 E 60th St btwn 2nd and 3rd Aves;Upper East Side;3rd Ave
341;Candle 79;;Upper East Side;
342;Candle Cafe;;Upper East Side;
343;Cannonau;205 E 4th St btwn Aves A and B;East Village;205 E 4th St btwn Aves A and B
344;Canyon Road;;Upper East Side;
345;Caracas Arepa Bar;;East Village;
346;Caravan of Dreams;;East Village;
347;Carbone;331 W 38th St btwn Eight and Ninth Aves;Midtown West;331 W 38th St
348;Carl's Steaks;507 Third Ave btwn 34th and 35th Sts;Midtown East;507 Third Ave btwn 34th and 35th Sts
349;Carmine's;200 W 44th St btwn Seventh Ave and...;Midtown West;200 W 44th St
350;Carmine's;200 W 44th St btwn Seventh Ave and...;Upper West Side;200 W 44th St
351;Carne (CLOSED);2737 Broadway at 105th St;Upper West Side;2737 Broadway
352;Carne Vale;;East Village;
353;Carnegie Deli;;Midtown West;
354;Casa;72 Bedford St at Commerce St;Greenwich Village;72 Bedford St
355;Casa Adela;;East Village;
356;Casa La Femme;;Greenwich Village;
357;Casa la Femme North;;Midtown East;
358;Casablanca Tea Room;164 Mercer St btwn Houston and Prince...;SoHo;164 Mercer St btwn Houston and Prince...
359;Casanis;;Lower East Side;
360;Cascina;647 Ninth Ave btwn 45th and 46th Sts;Midtown West;647 Ninth Ave btwn 45th and 46th Sts
361;Casellula Cheese and Wine Cafe;401 W 52nd St at Ninth Ave;Midtown West;401 W 52nd St
362;Casimir;103-105 Ave B btwn 6th and 7th Sts;East Village;103-105 Ave B btwn 6th and 7th Sts
363;Cavatappo Wine Bar;1728 Second Ave btwn 89th and 90th Sts;Upper East Side;1728 Second Ave btwn 89th and 90th Sts
364;Caviar Russe - Wave Sushi;;Midtown East;
365;Celeste;;Upper West Side;
366;Cellini;;Midtown East;
367;Cendrillon;;SoHo;
368;Center Cut;;Upper West Side;
369;Centolire;1167 Madison Ave btwn 85th and 86th Sts;Upper East Side;1000 5th Ave
370;Centovini;25 W Houston St at Greene St;SoHo;25 W Houston St
371;Central Park Boathouse Restaurant;Central Park Lake at 72nd St;Upper East Side;Central Park Lake at 72nd St
372;Centro Vinoteca;;Greenwich Village;
373;Chai Home Kitchen;;Midtown West;
374;Chat Noir;;Upper East Side;
375;Chez Jacqueline;72 MacDougal St btwn Bleecker and...;Greenwich Village;72 MacDougal St
376;Chez Josephine;;Midtown West;
377;Chez Napoleon;;Midtown West;
378;Chiam;160 E 48th St btwn Lexington and Third...;Midtown East;160 E 48th St btwn Lexington and Third...
379;Chickie Pig's;121 Ludlow St btwn Delancey and...;Lower East Side;121 Ludlow St
380;Chickpea;;East Village;
381;ChikaLicious Puddin';;East Village;
382;Chikalicious;;East Village;
383;Chimichurri Grill;606 Ninth Ave btwn 43rd and 44th Sts;Midtown West;606 Ninth Ave btwn 43rd and 44th Sts
384;Chin Chin;216 E 49th St btwn Second and Third Aves;Midtown East;216 E 49th St
385;China 1;;East Village;
386;China Fun;246 Columbus Ave btwn 71st and 72nd Sts;Upper West Side;246 Columbus Ave btwn 71st and 72nd Sts
387;China Fun;246 Columbus Ave btwn 71st and 72nd Sts;Upper East Side;246 Columbus Ave btwn 71st and 72nd Sts
388;China Grill;60 W 53rd St btwn 5th and 6th Aves;Midtown West;60 W 53rd St
389;China de Puebla (CLOSED);3143 Broadway at La Salle St;Upper West Side;3143 Broadway
390;Chinatown Brasserie;;East Village;
391;Chip Shop;;Park Slope;
392;Chiyono;;East Village;
393;Cho Cho San;;Greenwich Village;
394;Cho Dang Gol;55 W 35th St btwn 5th and 6th Aves;Midtown West;6th Ave
395;Choga;;Greenwich Village;
396;Chola;232 E 58th St btwn Second and Third Aves;Midtown East;232 E 58th St
397;Chop Suey;;Midtown West;
398;Chow Bar;230 W 4th St at 10th St;Greenwich Village;230 West 4th Street
399;Churrascaria Plataforma;316 W 49th St btwn Eighth and Ninth Aves;Midtown West;316 W 49th St
400;Ciaobella;;Upper East Side;
401;Cilantro;1712 2nd Ave at 89th St;Upper West Side;1712 2nd Ave
402;Cilantro;1712 2nd Ave at 89th St;Upper East Side;1712 2nd Ave
403;Cipolla Rossa;1762 1st Ave btwn 91st and 92nd Sts;Upper East Side;1762 1st Avenue
404;Cipriani Dolci;;Midtown East;
405;Circus;;Upper East Side;
406;Citrus Bar and Grill;;Upper West Side;
407;City Burger;1410 Broadway at 39th St;Midtown West;1410 Broadway
408;City Lobster and Crab Company;;Midtown West;
409;City Winery;;SoHo;
410;Clo Wine Bar;;Upper West Side;
411;Clubhouse Cafe;155 West 46th St btwn 6th and 7th Aves;Midtown West;155 West 46th St btwn 6th and 7th Aves
412;Co.;230 9th Ave btwn 24th and 25th Sts;Chelsea;230 9th Ave btwn 24th and 25th Sts
413;Coco Roco;392 Fifth Ave btwn 6th and 7th Sts;Park Slope;392 Fifth Ave btwn 6th and 7th Sts
414;Col Legno;231 E 9th St btwn Second and Third Aves;East Village;231 E 9th St btwn Second and Third Aves
415;Colors;;East Village;
416;Commerce;;Greenwich Village;
417;Compass;208 W 70th St at Amsterdam Ave;Upper West Side;208 W 70th St
418;Cong Ly;124 Hester St at Chrystie St;Lower East Side;124 Hester St
419;Congee Bowery;207 Bowery at Rivington St;Lower East Side;207 Bowery
420;Congee Restaurant;;Lower East Side;
421;Congee Village;100 Allen St btwn Broome and Delancey...;Lower East Side;100 Allen St
422;Convivio;;Midtown East;
423;Convivium Osteria;68 5th Ave btwn Bergen St and St Marks...;Park Slope;68 5th Ave
424;Cookshop;;Chelsea;
425;Cooper's Tavern;481 8th Ave at 35th Street;Midtown West;481 8th Ave
426;Coppola's;;Upper West Side;
427;Core One Nine One (CLOSED);;Lower East Side;
428;Cork and Fin;;Upper East Side;
