;restaurant;address;country;addressGoogle
53;Absolute Bagels;2788 Broadway;New York, NY, 10025;2788 Broadway
54;Abuela's Cocina;1758 1st Avenue;New York, NY, 10128;1758 1st Avenue
55;Aburiya Kinnosuke;213 E. 45th St.;New York, NY, 10017;213 E 45th St
56;Abyssinia Ethiopian Grocery;225 West 116th Street;New York, NY, 10026;225 W 116th St
57;Acappella;1 Hudson Street;New York, NY, 10013;1 Hudson St
58;Accademia di Vino;1081 3rd Avenue;New York, NY, 10021;1081 3rd Ave
59;Aceluck Thai;530 9th Avenue;New York, NY, 10018;530 9th Ave
60;Acker, Merrall & Condit;160 West 72nd Street;New York, NY, 10023;160 W 72nd St
61;Acme Bar & Grill;9 Great Jones Street;New York, NY, 10012;9 Great Jones St
62;Acqua;718 Amsterdam Avenue;New York, NY, 10025;718 Amsterdam Ave
63;Acqua Pazza (CLOSED);36 West 52nd Street;New York, NY, 10019;36 W 52nd St
64;Acquario (CLOSED);5 Bleecker Street.;New York, NY, 10012;5 Bleecker St
65;Ada;208 East 58th Street;New York, NY, 10022;208 E 58th St
66;Adrienne's Pizza Bar;54 Stone Street;New York, NY, 10004;54 Stone St
67;Afghan Kebab House;155 West 46th Street;New York, NY, 10036;155 W 46th St
68;Africa 2 Restaurant;346 West 53rd Street;New York, NY, 10019;346 W 53rd St
69;Africa Kine Restaurant;256 West 116th Street;New York, NY, 10026;256 W 116th St
70;Africa Restaurant # 1;247 West 116th Street;New York, NY, 10026;247 W 116th St
71;Agata & Valentina Ristorante;1513 1st Avenue;New York, NY, 10021;1513 1st Avenue
72;Agave;140 7th Avenue South;New York, NY, 10014;140 7th Ave
73;Agra Indian Pakistan Rest;807 Lexington Avenue;New York, NY, 10021;807 Lexington Ave
74;Ah Chihuahua;330 East 53RD Street;New York, NY, 10022;330 E 53rd St
75;Aix Brasserie (CLOSED);2398 Broadway;New York, NY, 10024;2398 Broadway
76;Aja;1068 1st Avenue;New York, NY, 10022;1068 1st Avenue
77;Aji Ichiban;167 Hester Street;New York, NY, 10013;167 Hester St
78;Aji Ichiban;37 Mott Street;New York, NY, 10013;37 Mott St
79;Aji Ichiban;188 Lafayette Street;New York, NY, 10012;188 Lafayette St
80;Ajisai;1466 1st Avenue;New York, NY, 10021;1466 1st Avenue
81;Aka Café;49 Clinton Street;New York, NY, 10002;49 Clinton St
82;Akdeniz;19 West 46th Street;New York, NY, 10036;19 W 46th St
83;Aki;181 West 4th Street;New York, NY, 10014;181 West 4th Street
84;Aki Sushi;121 East 27th Street;New York, NY, 10016;121 E 27th St
85;Aki Sushi West;128 W 36th Street;New York, NY, 10018;128 W 36th St
86;Al Baraka;1613 2nd Avenue;New York, NY, 10028;1613 2nd Ave
87;Al Bustan;827 2nd Avenue;New York, NY, 10022;827 2nd Ave
88;Al Forno Pizzeria;1484 2nd Avenue;New York, NY, 10021;1484 2nd Ave
89;Al-Baraka;154 East 55th Street;New York, NY, 10022;154 E 55th St
90;Alain Ducasse (CLOSED);155 West 58th Street;New York, NY, 10019;155 W 58th St
91;Alcala;342 East 46th Street;New York, NY, 10017;342 E 46th St
92;Alex Hotel 205 East 45th Street;;;
93;Alexandra;455 Hudson Street;New York, NY, 10014;455 Hudson St
94;Alfama;551 Hudson Street;New York, NY, 10014;551 Hudson St
95;Alfanoose;8 Moiden Lane;New York, NY, 10038;8 Moiden Lane
96;Alfredo of Rome;4 West 49th Street;New York, NY, 10019;4 W 49th St
97;Algonquin Hotel Round Table;59 West 44th Street;New York, NY, 10036;59 W 44th St
98;Ali Baba;206 East 34th Street;New York, NY, 10016;206 E 34th St
99;Ali Baba;212 East 34th Street;New York, NY, 10016;212 E 34th St
100;Alias;76 Clinton Street;New York, NY, 10002;76 Clinton St
101;Alibaba;515 Amsterdam Avenue;New York, NY, 10024;515 Amsterdam Ave
102;Alice's Tea Cup;102 West 73rd Street;New York, NY, 10023;102 W 73rd St
103;All About Food;19 Waverly Place;New York, NY, 10003;19 Waverly Pl
104;Allen & Delancey;115 Allen St.;New York, NY, 10002;115 Allen St
105;Alleva Dairy;188 Grand Street;New York, NY, 10013;188 Grand St
106;Alloro;307 East 77th Street;New York, NY, 10021;307 E 77th St
107;Alma Grill;Radisson Lexington Hotel;New York, NY, 10017;511 Lexington Avenue At
108;Almond Flower Bistro (CLOSED);96 Bowery Street;New York, NY, 10002;96 Bowery
109;Aloe;406 East 9th Street;New York, NY, 10009;406 E 9th St
110;Alouette;2588 Broadway;New York, NY, 10025;2588 Broadway
111;Alphabet Kitchen;171 Avenue A;New York, NY,;171 Avenue A
112;Alta;64 West 10th Street;New York, NY, 10011;64 W 10th St
113;Alto;520 Madison Avenue;New York, NY, 10022;520 Madison Ave
114;Am Pm Fried Fish Chicken & Donuts;330 West 125th Street;New York, NY, 10027;330 W 125th St
115;Ama;48 MacDougal Street;New York, NY, 10012;48 MacDougal St
116;Ama Ya;234 East 4th Street;New York, NY, 10009;234 E 4th St
117;Amalia Restaurant;204 West 55th Street;New York, NY, 10019;204 W 55th St
118;Amaranth Restaurant;21 East 62nd Street;New York, NY, 10021;21 E 62nd St
119;Amarone;686 9th Avenue;New York, NY, 10036;686 9th Ave
120;Amazing Japanese & Thai Restaurant;;;
121;Amazing Thailand Restaurant;Amazing Japanese & Thai Restaurant;New York, NY, 10004;Amazing Japanese & Thai Restaurant
122;Ambassador Grill Lounge;1 United Nations Plaza;New York, NY, 10017;1 United Nations Plaza
123;Ambrosia;273 1st Avenue;New York, NY, 10003;273 1st Avenue
124;Ambrosia;8 West 45th Street;New York, NY, 10036;8 W 45th St
125;Ambrosia Cafe Ltd (CLOSED);158 East 45th Street;New York, NY, 10017;158 E 45th St
126;American East Fuzhou Restaurant;54 East Broadway;New York, NY, 10002;54 E Broadway
127;American Grill (CLOSED);117 2nd Avenue;New York, NY, 10003;117 2nd Ave
128;American Park;Battery Park;New York, NY, 10004;New York
129;Americana Deli;2657 Broadway;New York, NY, 10025;2657 Broadway
130;Ametller (CLOSED);35 Christopher Street;New York, NY, 10014;35 Christopher St
131;Amici II;165 Mulberry Street;New York, NY, 10013;165 Mulberry St
132;Amin;155 8th Avenue;New York, NY, 10013;155 8th Ave
133;Ammos;52 Vanderbilt Avenue;New York, NY, 10017;52 Vanderbilt Ave
134;Amor Cubano;2018 Third Ave;New York, NY, 10029;2018 3rd Ave
135;Amsterdam Restaurant and Tapas Lounge;1207 Amsterdam Ave;New York, NY, 10027;1207 Amsterdam Ave
136;Amy Ruth's;113 West 116th Street;New York, NY, 10026;113 W 116th St
137;Amy's Bread;Chelsea Mkt. 75 9th Avenue;New York, NY, 10011;75 9th Ave
138;Amy's Bread;672 9th Avenue;New York, NY, 10036;672 9th Ave
139;Amy's Bread;250 Bleecker Street;New York, NY, 10014;250 Bleecker St
140;Angelica Kitchen;300 East 12th Street;New York, NY, 10003;300 E 12th St
141;Angelica's Herb & Spice;147 1st Avenue;New York, NY, 10003;147 1st Avenue
142;Angelina Cafe;36 Avenue A;New York, NY, 10009;36 Avenue A
143;Angelo's Pizza;117 West 57th Street;New York, NY, 10019;117 W 57th St
144;Angelo's Pizzeria;1043 2nd Avenue;New York, NY, 10022;1043 2nd Ave
145;Angelo's Pizzeria;1697 Broadway;New York, NY, 10019;Ed Sullivan Theater
146;Angelo's of Mulberry Street;146 Mulberry Street;New York, NY, 10013;146 Mulberry St
147;Angels Restaurant;1135 1st Avenue;New York, NY, 10021;1135 1st Avenue
148;Angon On The Sixth;320 East 6th Street;New York, NY, 10003;320 E 6th St
149;Angus McIndoe;258 West 44th Street;New York, NY, 10036;258 W 44th St
150;Anh;363 2nd Avenue;New York, NY, 10016;363 2nd Ave
151;Anitas Deli Grocery;180 Lexington Avenue;New York, NY, 10016;Lexington Plaza
152;Anna Maria;238 East 14th Street;New York, NY, 10003;238 E 14th St
153;Anna Maria;112 East 23rd Street;New York, NY, 10010;112 E 23rd St
154;Anna Maria;1592 1st Avenue;New York, NY, 10028;1592 1st Avenue
155;Annie Moore's;50 East 43rd Street;New York, NY, 10017;50 E 43rd St
156;Annie's (CLOSED);1381 2nd Avenue;New York, NY, 10021;1381 2nd Ave
157;Annisa;13 Barrow Street;New York, NY, 10014;13 Barrow St
158;Anthos;36 West 52nd Street;New York, NY, 10019;36 W 52nd St
159;Antibes Bistro;127 1st Ave.;New York, NY, 10003;127 1st Avenue
160;Antibes Bistro;127 1st Avenue;New York, NY, 10003;127 1st Avenue
161;Antica Venezia;396 West Street;New York, NY, 10014;396 West St
162;Antique Cafe Chelsea;234 West 27th;New York, NY, 10001;234 W 27th St
163;Antique Garage;41 Mercer Street;New York, NY, 10013;41 Mercer St
164;Antonucci;170 East 81st Street;New York, NY, 10028;170 E 81st St
165;Anyway Cafe;34 East 2nd Street;New York, NY, 10003;34 E 2nd St
166;Aoki;234 West 48th Street;New York, NY, 10036;234 W 48th St
167;Aphrodisia;264 Bleecker Street;New York, NY, 10014;264 Bleecker St
168;Apizz;217 Eldridge Street;New York, NY, 10002;217 Eldridge St
169;Apple Restaurant & Bom Bar;17 Waverly Place;New York, NY, 10003;17 Waverly Pl
170;Applebaum's;431 7th Avenue;New York, NY, 10001;431 7th Ave
171;Aquagrill;210 Spring Street;New York, NY, 10013;210 Spring St
172;Aquamarine;713 2nd Avenue;New York, NY, 10017;713 2nd Ave
173;Aquavit;65 East 55th Street;New York, NY, 10022;65 E 55th St
174;Arabelle;Plaza Athenee Hotel 37 East 64th Street;New York, NY, 10021;37 E 64th St
175;Arang;9 West 32nd Street;New York, NY, 10001;9 W 32nd St
176;Argentine Pavilion;32 West 46th Street;New York, NY, 10036;32 W 46th St
177;Ariana Afghan Kebab;787 9th Avenue;New York, NY, 10019;787 9th Ave
178;Arno Ristorante;141 West 38th Street;New York, NY, 10018;141 W 38th St
179;Aroma Kitchen & Winebar;36 East 4th Street;New York, NY, 10003;36 E 4th St
180;Around the Clock;8 Stuyvesant Street;New York, NY, 10003;8 Stuyvesant St
181;Arqua;281 Church Street;New York, NY, 10013;281 Church St
182;Arte;21 East 9th Street;New York, NY, 10003;21 E 9th St
183;Arte Café;106 West 73rd Street;New York, NY, 10023;106 W 73rd St
184;Artepasta;81 Greenwich Avenue;New York, NY, 10014;81 Greenwich Ave
185;Artisanal;2 Park Avenue;New York, NY, 10016;2 Park Ave
186;Arturo's Pizzeria;106 West Houston Street;New York, NY, 10012;106 W Houston St
187;Asia De Cuba;Morgans Hotel 237 Madison Avenue;New York, NY, 10016;237 Madison Ave
188;Asia Society Garden Court Cafe;725 Park Avenue;New York, NY, 10021;725 Park Ave
189;Asian Dragon;207 East 59th Street;New York, NY, 10022;207 E 59th St
190;Asiate;Mandarin Oriental Hotel;New York, NY, 10023;80 Columbus Cir
191;Askew (CLOSED);504 La Guardia Place;New York, NY, 10012;504 LaGuardia Pl
192;Assenzio;205 East 4th Street;New York, NY, 10003;205 E 4th St
193;Astor Place;New York, NY, 10003;;New York
194;Astor Place;;;
195;Atelier;Ritz-Carlton Central Park;New York, NY, 10019;50 Central Park S
196;Atomic Wings;528 9th Avenue;New York, NY, 10018;528 9th Ave
197;Atomic Wings;184 1st Avenue;New York, NY, 10009;184 1st Avenue
198;Atomic Wings;311 Broadway - Lower Level;New York, NY, 10007;311 Broadway
199;Atomic Wings @ Bar Costal;1495 1st Avenue;New York, NY, 10021;1495 1st Avenue
200;Atomic Wings @ Down the Hatch;179 West 4th Street;New York, NY, 10014;179 West 4th Street
201;Atomic Wings @ The Blue Room;1140 2nd Avenue;New York, NY, 10021;1140 2nd Ave
202;Au Bon Pain;1 State Street Plaza;New York, NY, 10004;New York
203;Au Bon Pain;6 Union Square East;New York, NY, 10003;6 Union Square E
204;Au Bon Pain;684 Broadway;New York, NY, 10012;684 Broadway
205;Au Bon Pain;58 East 8th Street;New York, NY, 10003;58 E 8th St
206;Au Bon Pain;600 Lexington Avenue;New York, NY, 10022;600 Lexington Ave
207;Au Bon Pain;125 West 55th Street;New York, NY, 10019;125 W 55th St
208;Au Bon Pain in Macy's;151 West 34th Street;New York, NY, 10001;151 W 34th St
209;Au Bon Pain in Port Authority;625 8th Avenue;New York, NY, 10018;625 8th Ave
210;Au Bon Pain in the World Financial Center;200 Liberty Street;New York, NY, 10281;200 Liberty Street
211;Au Mandarin;World Financial Ctr.;New York, NY, 10281;230 Vesey St
212;August;359 Bleecker Street;New York, NY, 10014;359 Bleecker St
213;Aura Thai;462 9th Avenue;New York, NY, 10018;462 9th Ave
214;Aureole (CLOSED);34 East 61st Street;New York, NY, 10021;34 E 61st St
215;Aurora;510 Broome Street;New York, NY, 10013;510 Broome St
216;Avalon;47 W. 20th St.;New York, NY, 10011;47 W 20th St
217;Avra;141 East 48th Street;New York, NY, 10017;141 E 48th St
218;Awash;338 East 6th Street;New York, NY, 10003;338 E 6th St
219;Awash Ethiopian Restaurant;947 Amsterdam Avenue;New York, NY, 10025;947 Amsterdam Ave
220;Ayurveda Café;706 Amsterdam Avenue;New York, NY, 10025;706 Amsterdam Ave
221;Ayza Cafe & Wine Bar;11 West 31st Street;New York, NY, 10001;11 W 31st St
222;Azafran;77 Warren Street;New York, NY, 10007;77 Warren St
223;Azalea Ristorante;224 West 51st Street;New York, NY, 10019;224 W 51st St
224;Azucar (Guantanamera);939 8th Avenue;New York, NY, 10019;939 8th Ave
225;Azuki;239 Park Avenue South;New York, NY, 10003;239 Park Ave S
226;Azul Bistro;152 Stanton Street;New York, NY, 10002;152 Stanton St
227;Azuri Café;465 West 51st Street;New York, NY, 10019;465 W 51st St
228;B & H Dairy Restaurant;127 2nd Avenue;New York, NY, 10003;127 2nd Ave
229;B B Doyles;302 West 51st Street;New York, NY, 10019;302 W 51st St
230;B Flat;277 Church Street;New York, NY, 10013;277 Church St
231;B. B. King Blues Club;237 West 42nd Street;New York, NY, 10036;237 W 42nd St
232;B. Cafe;240 East 75th Street;New York, NY, 10021;240 E 75th St
233;B. Frites;1657 Broadway;New York, NY, 10019;1657 Broadway
234;B. Smith's Restaurant Row;320 West 46th Street;New York, NY, 10036;320 W 46th St
235;B3 Resturant & Lounge (Closed);33 Avenue B at 3rd Street;New York, NY, 10009;33 Avenue B
236;BB Sandwich Bar;120 West 3rd Street;New York, NY, 10012;120 W 3rd St
237;BED New York;530 West 27th Street, 6th floor;New York, NY, 10001;530 W 27th St 6th floor
238;BF&B Bar and Restaurant;1061 1st Avenue;New York, NY, 10022;1061 1st Avenue
239;BG;Bergdorf Goodman;New York, NY, 10019;754 5th Ave
240;BLT Market;1430 Avenue of the Americas;New York, NY, 10019;1430 6th Ave
241;BLT Prime;111 East 22nd Street;New York, NY, 10010;111 E 22nd St
242;BLT Steak;106 East 57th Street;New York, NY, 10022;106 E 57th St
243;Babbo;110 Waverly Place;New York, NY, 10011;110 Waverly Pl
244;Babouche;92 Prince Street;New York, NY, 10012;92 Prince St
245;Babu;99 MacDougal Street, downstairs;New York, NY, 10012;99 MacDougal St
246;Babycakes;248 Broome Street;New York, NY, 10002;248 Broome St
247;Bacaro;136 Division Street;New York, NY, 10002;136 Division St
248;Bachue;36 West 21st Street;New York, NY, 10010;36 W 21st St
249;Back Forty;190 Avenue B;New York, NY, 10009;190 Avenue B
250;Baden Baden;28 West 32nd Street;New York, NY, 10001;28 W 32nd St
251;Bagel Bean;1710 Broadway;New York, NY, 10019;1710 Broadway
252;Bagel Buffet;406 6th Avenue;New York, NY, 10011;406 6th Ave
253;Bagel Buffet;510 6th Avenue;New York, NY, 10011;510 6th Ave
254;Bagel Maven Cafe;362 7th Avenue;New York, NY, 10001;362 7th Ave
255;Bagel More;331 Lexington Avenue;New York, NY, 10016;331 Lexington Ave
256;Bagel Stix;891 8th Avenue;New York, AL, 10019;891 8th Ave
257;Bagelfeller's;36 W 48th Street;New York, NY, 10036;36 W 48th St
258;Bagels On The Square;7 Carmine Street;New York, NY, 10014;7 Carmine St
259;Baked Ideas;450 Broadway;New York, NY, 10013;450 Broadway
260;Baker Street Pub;1152 1st Avenue;New York, NY, 10002;1152 1st Avenue
261;Baldoria;249 West 49th Street;New York, NY, 10019;249 W 49th St
262;Bali Nusa Indah;651 9th Avenue;New York, NY, 10036;651 9th Ave
263;Balsley Park Farmers Market;57th St. & 9th Avenue;New York, NY, 10019;9th Ave & W 57th St
264;Balthazar;80 Spring Street;New York, NY, 10012;80 Spring St
265;Baluchi's;193 Spring Street;New York, NY, 10012;193 Spring St
266;Baluchi's;1565 2nd Avenue;New York, NY, 10028;1565 2nd Ave
267;Baluchi's;1149 1st Avenue;New York, NY, 10021;1149 1st Avenue
268;Baluchi's;1431 1st Avenue;New York, NY, 10021;1431 1st Avenue
269;Baluchi's;240 West 56th Streets;New York, NY, 10019;240 W 56th St
270;Baluchi's;111 East 29th Street;New York, NY, 10016;111 E 29th St
271;Baluchi's;224 East 53rd Street;New York, NY, 10022;224 E 53rd St
272;Baluchi's;283 Columbus Avenue;New York, NY, 10023;283 Columbus Ave
273;Baluchi's;240 West 56th Street;New York, NY, 10019;240 W 56th St
274;Baluchi's;1724 2nd Avenue;New York, NY, 10128;1724 2nd Ave
275;Baluchi's;361 6th Avenue;New York, NY, 10014;361 6th Ave
276;Baluchi's;104 2nd Avenue;New York, NY, 10003;104 2nd Ave
277;Bamboleo;170 Bleecker Street;New York, NY, 10012;170 Bleecker St
278;Bamboo 52;344 West 52nd Street;New York, NY, 10019;344 W 52nd St
279;Bamiyan;358 3rd Avenue;New York, NY, 10010;358 3rd Ave
280;Bamn;37 St. Marks Place;New York, NY, 10003;37 St Marks Pl
281;Bandito;33 Greenwich Avenue;New York, NY, 10014;33 Greenwich Ave
282;Bandol;181 East 78th Street;New York, NY, 10021;181 E 78th St
283;Bangkok Café;27 East 20th Street;New York, NY, 10003;27 E 20th St
284;Bangkok Center Market;104 Mosco Street;New York, NY, 10013;104 Mosco St
285;Bangkok Grand Palace;882 1st Avenue;New York, NY, 10022;882 1st Avenue
286;Bangkok House;360 West 46 Street;New York, NY, 10036;360 W 46th St
287;Banh Mi Saigon - under the Manhattan Bridge;;;
288;Banh Mi Sau Voi Cafe;101-105 Lafayette Street;New York, NY, 10013;101 Lafayette St #105
289;Banjara;97 1st Avenue;New York, NY, 10003;97 1st Avenue
290;Bann;350 West 50th Street;New York, NY, 10019;350 W 50th St
291;Bao 111;111 Avenue C;New York, NY, 10009;111 Loisaida Ave
292;Bao Noodles;391 2nd Avenue;New York, NY, 10010;391 2nd Ave
293;Bar 12;206 E 34th Street;New York, NY, 10019;206 E 34th St
294;Bar Americain;152 West 52nd Street;New York, NY, 10019;152 W 52nd St
295;Bar Blanc;142 W 10th St;New York, NY, 10014;142 W 10th St
296;Bar Martignetti;406 Broome Street;New York, NY, 10013;406 Broome St
297;Bar Masa;10 Columbus Circle, 4th fl.;New York, NY, 10019;10 Columbus Cir 4th fl
298;Bar Pitti;268 6th Avenue;New York, NY, 10014;268 6th Ave
299;Bar Six;502 6th Avenue;New York, NY, 10011;502 6th Ave
300;Bar Veloce;175 2nd Avenue;New York, NY, 10003;175 2nd Ave
301;Bar Veloce;176 7th Avenue;New York, NY, 10011;176 7th Ave
302;BarBossa;232 Elizabeth Street;New York, NY, 10012;232 Elizabeth St
303;BarFry (CLOSED);50 Carmine Street;New York, NY, 10014;50 Carmine St
304;Baraonda;1439 2nd Avenue;New York, NY, 10021;1439 2nd Ave
305;Barbaluc;135 East 65th Street;New York, NY, 10021;135 E 65th St
306;Barbes Manhattan;21 East 36th Street;New York, NY, 10016;21 E 36th St
307;Barbetta;321 West 46th Street;New York, NY, 10036;321 W 46th St
308;Barbuto;775 Washington Street;New York, NY, 10014;775 Washington St
309;Barbès;21 East 36th Street;New York, NY, 10016;21 E 36th St
310;Bari;529 Broadway;New York, NY, 10012;529 Broadway
311;Barking Dog;1453 York Avenue;New York, NY, 10021;1453 York Ave
312;Barking Dog;150 East 34th Street;New York, NY, 10016;150 E 34th St
313;Barking Dog;1678 3rd Avenue;New York, NY, 10128;1678 3rd Ave
314;Barmarché;14 Spring Street;New York, NY, 10012;14 Spring St
315;Barna;365 Park Avenue South;New York, NY, 10016;365 Park Ave S
316;Barney Greengrass;541 Amsterdam Avenue;New York, NY, 10024;541 Amsterdam Ave
317;Barneys NY 660 Madison Avenue, 9th fl.;;;
318;Barolo;398 West Broadway;New York, NY, 10012;398 W Broadway
319;Barrio Chino;253 Broome Street;New York, NY, 10002;253 Broome St
320;Basilica;676 9th Avenue;New York, NY, 10036;676 9th Ave
321;Basilica Restaurant;676 9th Avenue;New York, NY, 10036;676 9th Ave
322;Basso Est (CLOSED);198 Orchard Street;New York, NY, 10002;198 Orchard St
323;Basso56;234 West 56th Street;New York, NY, 10019;234 W 56th St
324;Basta Pasta;37 West 17th Street;New York, NY, 10011;37 W 17th St
325;Battery Gardens;SW corner of Battery Park;New York, NY, 10004;New York
326;Battery Park;;;
327;Bay Leaf;49 West 56th Street;New York, NY, 10019;49 W 56th St
328;Bayard's;1 Hanover Square;New York, NY, 10004;1 Hanover Square
329;Bayou;308 Lenox Avenue;New York, NY, 10027;308 Lenox Ave
330;Bbq Restaurant;21 University Place;New York, NY, 10003;21 University Pl
331;Beacon;25 West 56th Street;New York, NY, 10019;25 W 56th St
332;Beard Papa Sweets Cafe;2167 Broadway;New York, NY, 10024;2167 Broadway
333;Becco;355 West 46th Street;New York, NY, 10036;355 W 46th St
334;Belcourt;84 East 4th Street;New York, NY, 10003;84 E 4th St
335;Bella Blu;967 Lexington Avenue;New York, NY, 10021;967 Lexington Ave
336;Bella Cucina Incorporated;1297 Lexington Avenue;New York, NY, 10128;1297 Lexington Ave
337;Bella Luna;584 Columbus Avenue;New York, NY, 10024;584 Columbus Ave
338;Bella Napoli;150 West 49th Street;New York, NY, 10019;150 W 49th St
339;Bella Napoli;130 Madison Avenue;New York, NY, 10016;130 Madison Ave
340;Bella Napoli;257 7th Avenue;New York, NY, 10001;257 7th Ave
341;Bellavitae;21 Minetta Lane;New York, NY, 10012;21 Minetta Ln
342;Bello;863 9th Avenue;New York, NY, 10019;863 9th Ave
343;Bello Giardino;71W 71st;New York, NY, 10023;W 71st St
344;Bello Sguardo;410 Amsterdam Avenue;New York, NY, 10024;410 Amsterdam Ave
345;Bello's;130 St Marks Place;New York, NY, 10009;130 St Marks Pl
346;Belluno Ristorante;340 Lexington Avenue;New York, NY, 10016;340 Lexington Ave
347;Belly Delly Deli;1625 Broadway;New York, NY, 10019;1625 Broadway
348;Belmont Lounge;117 East 15th Street;New York, NY, 10003;117 E 15th St
349;Bem Bolado;2049 2nd Avenue at 105th Street;New York, NY, 10021;2049 2nd Ave
350;Ben & Jack's Steak House;219 East 44th Street;New York, NY, 10017;219 E 44th St
351;Ben Benson's Steakhouse;123 West 52nd Street;New York, NY, 10019;123 W 52nd St
352;Ben's Kosher Deli;209 West 38th Street;New York, NY, 10018;209 W 38th St
353;Ben's Pizza;123 MacDougal Street at West 3rd Street;New York, NY, 10012;123 MacDougal St
354;Benito One;174 Mulberry Street;New York, NY, 10013;174 Mulberry St
355;Benjamin Hote, 565 Lexington Avenue near 50th Street;;;
356;Benjamin Restaurant & Bar;603 2nd Avenue;New York, NY, 10016;603 2nd Ave
357;Bennies Thai Cafe;88 Fulton Street at Gold Street;New York, NY, 10038;88 Fulton St
358;Benny's Burritos;93 Avenue A;New York, NY, 10009;93 Avenue A
359;Benny's Burritos;113 Greenwich Avenue;New York, NY, 10014;113 Greenwich Ave
360;Beppe;45 East 22nd Street;New York, NY, 10010;45 E 22nd St
361;Bereket;187 East Houston Street;New York, NY, 10002;187 E Houston St
362;Bergdorf Goodman;;;
