;restaurant;address;neighborhood;addressGoogle
157;Baluchi's;90 W 3rd St.;Greenwich Village;90 W 3rd St
158;Baluchi's;275 Greenwich St.;Financial District;275 Greenwich St
159;Baluchi's;240 W 56th St.;West 50s;240 W 56th St
160;Baluchi's;361 6th Ave.;West Village;361 6th Ave
161;Baluchi's;193 Spring St.;Soho;193 Spring St
162;Baluchi's;1724 Second Ave.;East 90s;1724 2nd Ave
163;Baluchi's;329 Third Ave.;Murray Hill;329 3rd Ave
164;Baluchi's;1565 2nd Ave.;East 80s;1565 2nd Ave
165;Baluchi's;111 E 29th St.;Murray Hill;111 E 29th St
166;Bambou;243 E 14th St.;East Village;243 E 14th St
167;Bamiyan;358 Third Ave.;Gramercy Park;358 3rd Ave
168;Bamn!;37 St. Marks Pl.;Soho;37 St Marks Pl
169;Banh Mi So 1;369 Broome St.;Soho;369 Broome St
170;Banjara;97 First Ave.;East Village;97 1st Avenue
171;Bann;350 W 50th St.;West 50s;350 W 50th St
172;Baoguette;61 Lexington Ave.;Flatiron;61 Lexington Ave
173;Bar Americain;152 W 52nd St.;West 50s;152 W 52nd St
174;Bar Baresco;191 Seventh Ave.;Chelsea;191 7th Ave
175;Bar Boulud;1900 Broadway;West 60s;1900 Broadway
176;Bar Breton;254 5th Ave.;Chelsea;254 5th Ave
177;Bar Masa;10 Columbus Circle;West 60s;10 Columbus Cir
178;Bar Milano;323 Third Ave.;Gramercy Park;323 3rd Ave
179;Bar Pitti;268 6th Ave.;West Village;268 6th Ave
180;Bar Q;308 Bleecker St.;West Village;308 Bleecker St
181;Bar Six;502 6th Ave.;West Village;502 6th Ave
182;Bar Stuzzichini;928 Broadway;Flatiron;928 Broadway
183;Bar Veloce;175 2nd Ave.;East Village;175 2nd Ave
184;Barbone;186 Ave. B;East Village;186 Avenue B
185;Barney Greengrass;541 Amsterdam Ave.;West 80s;541 Amsterdam Ave
186;Barrio Chino;253 Broome St,;Lower East Side;253 Broome St
187;Belcourt;84 E 4th St.;East Village;84 E 4th St
188;Bella Napoli;130 Madison Ave.;Murray Hill;130 Madison Ave
189;Bello's;130 Saint Marks Pl.;East Village;130 St Marks Pl
190;Bennie's;88 Fulton St.;Financial District;88 Fulton St
191;Benny's Burritos;93 Avenue A;East Village;93 Avenue A
192;Benoit;60 W 55th St.;West 50s;60 W 55th St
193;Beppe;45 E 22nd St.;Flatiron;45 E 22nd St
194;Bereket;187 E Houston St.;Lower East Side;187 E Houston St
195;Berry Bistro;430 E 14th St.;East Village;430 E 14th St
196;Beyoglu;1431 3rd Ave.;East 80s;1431 3rd Ave
197;Bianca;5 Bleecker St.;Greenwich Village;5 Bleecker St
198;Big Arc Chicken;233 1st Ave.;East Village;233 1st Avenue
199;Big Daddy's Diner;239 Park Ave. S;Flatiron;239 Park Ave S
200;Big Daddy's Diner;1596 Second Ave.;East 80s;1596 2nd Ave
201;Birdies;149 1st Ave.;East Village;149 1st Avenue
202;Biscuit BBQ;230 5th Ave.;West 40s;230 5th Ave
203;Bistrouge;432 E. 13th St.;East Village;432 E 13th St
204;Bite;335 Lafayette St.;Soho;335 Lafayette St
205;Bite Me Best;138 Ave. C;East Village;138 Loisaida Ave
206;Black Iron Burger;540 E 5th St.;East Village;540 E 5th St
207;Black Iron Burger Shop;540 East 5th St.;East Village;540 E 5th St
208;Blaue Gans;139 Duane St.;Tribeca;139 Duane St
209;Bleecker Street Pizza;69 7th Ave. South;West Village;69 7th Ave S
210;Blue 9 Burger;92 3rd Ave.;East Village;92 3rd Ave
211;Blue Fin;1567 Broadway;West 40s;1567 Broadway
212;Blue Hill;75 Washington Place;West Village;75 Washington Pl
213;Blue Owl;196 2nd Ave.;East Village;196 2nd Ave
214;Blue Ribbon Bakery;33 Downing St.;West Village;33 Downing St
215;Blue Ribbon Brasserie;97 Sullivan St.;Soho;97 Sullivan St
216;Blue Ribbon Sushi;119 Sullivan St.;Soho;119 Sullivan St
217;Blue Smoke;116 E 27th St.;Murray Hill;116 E 27th St
218;Blue Water Grill;31 Union Sq W;Union Square;31 Union Square W
219;Boat Basin Café;79th St.;West 70s;E 79th St
220;Bocca;39 E 19th St.;Greenwich Village;39 E 19th St
221;Boi To Go;800 Second Avenue;East 40s;800 2nd Ave
222;Boka;9 St. Mark’s Place;East Village;9 St Marks Pl
223;Bombay Talkie;189 9th Ave.;Chelsea;189 9th Ave
224;BonBon Chicken;98 Chambers St.;Financial District;98 Chambers St
225;BonChon Chicken;314 5th Ave. | 2nd Fl;Chelsea;314 5th Ave 2nd Fl
226;Bona Fides;60 2nd Ave,;East Village;60 2nd Ave
227;Bond St;6 Bond St.;Nolita;6 Bond St
228;Bond Street Restaurant;6 Bond St.;Greenwich Village;6 Bond St
229;Bondi Road;153 Rivington St.;East Village;153 Rivington St
230;Bongo;299 10th Ave.;Chelsea;299 10th Ave
231;Bonjoo;107 1st Ave.;East Village;107 1st Avenue
232;Boqueria;53 W 19th St.;Chelsea;53 W 19th St
233;Borgo Antico;22 E 13th St.;Union Square;22 E 13th St
234;Bottino;246 10th Ave.;Chelsea;246 10th Ave
235;Boucarou Lounge;64 E 1st St,;East Village;64 E 1st St
236;Bouchon Bakery;10 Columbus Circle;West 50s;10 Columbus Cir
237;Bouley Bakery & Market;130 W Broadway;Tribeca;130 W Broadway
238;Bounce Deuce;103 2nd Ave.;East Village;103 2nd Ave
239;Bourgeois Pig Cafe;122 E 7th St.;East Village;122 E 7th St
240;Bowery Wine Company;13 E 1st St.;East Village;13 E 1st St
241;Brasserie Les Halles;411 Park Avenue South;Gramercy Park;411 Park Ave S
242;Brasserie Ruhlmann;45 Rockefeller Plz.;West 40s;45 Rockefeller Plaza
243;Bread;301 Church;Tribeca;301 Church St
244;Bread Tribeca;301 Church;Tribeca;301 Church St
245;Bread and Olive;24 W 45th St.;West 40s;24 W 45th St
246;Brick Lane Curry House;306-308 E. 6th St.;East Village;306 E 6th St #308
247;Broadway East;171 E Broadway;East Village;171 E Broadway
248;Bruschetteria;92 Rivington St.;East Village;92 Rivington St
249;Bubby's;120 Hudson St.;Tribeca;120 Hudson St
250;Buddakan;75 9th Ave.;Meatpacking District;75 9th Ave
251;Buenos Aires;513 E 6th;East Village;513 E 6th St
252;Bun Soho;143 Grand St.;Soho;143 Grand St
253;Burger Creations;52 E 8th St.;East Village;52 E 8th St
254;Burger Heaven;20 E 49th St.;East 40s;20 E 49th St
255;Burger Heaven;804 Lexington Ave.;East 60s;804 Lexington Ave
256;Burger Heaven;9 E 53rd St.;East 50s;9 E 53rd St
257;Burger Heaven;291 Madison Ave.;Murray Hill;291 Madison Ave
258;Burger Heaven;536 Madison Ave.;East 50s;536 Madison Ave
259;Burger Joint;241 Third Ave.;East Village;241 3rd Ave
260;Burger Joint;118 W 56th St.;West 50s;118 W 56th St
261;Burger and Gyro Express;442 E 14th St.;East Village;442 E 14th St
262;Butcher Bay;511 E 5th St.;East Village;511 E 5th St
263;Butter Lane Cupcakes;123 E 7th St.;East Village;123 E 7th St
264;Butter Restaurant;415 Lafayette St.;Greenwich Village;415 Lafayette St
265;C & F Restaurant;171 Hester;Chinatown;171 Hester St
266;Cabrito;50 Carmine St.;Soho;50 Carmine St
267;Cacio e Pepe;182 Second Ave.;East Village;182 2nd Ave
268;Cacio e Vino;80 Second Ave.;East Village;80 2nd Ave
269;Cafe 81;81 E 7th St.;East Village;81 E 7th St
270;Cafe Addis;435 W 125th St.;Morningside Heights;435 W 125th St
271;Cafe Boulud;20 E 76th St.;East 70s;20 E 76th St
272;Cafe Brama;157 2nd Ave.;East Village;157 2nd Ave
273;Cafe Centosette;160 2nd Ave.;East Village;160 2nd Ave
274;Cafe Cortadito;210 E 3rd St.;East Village;210 E 3rd St
275;Cafe Gitane;242 Mott St.;Little Italy;242 Mott St
276;Cafe Habana;229 Elizabeth St.;Little Italy;229 Elizabeth St
277;Cafe Himalaya;78 E 1st St.;East Village;78 E 1st St
278;Cafe Katja;79 Orchard St.;East Village;79 Orchard St
279;Cafe Mocha;116 2nd Ave.;East Village;116 2nd Ave
280;Cafe Orlin;41 St. Marks Pl.;East Village;39 St Marks Inc
281;Cafe Petisco;189 E Broadway;East Village;189 E Broadway
282;Cafe Sabarsky;1048 5th Ave.;East 80s;1048 5th Ave
283;Cafe Zaiya;69 Cooper Square;East Village;69 Cooper Sq
284;Cafe Zaiya;18 E 41st St.;East 40s;18 E 41st St
285;Cafe con Leche;424 Amsterdam Ave.;West 90s;424 Amsterdam Ave
286;Cafe des Artistes;1 W67th St.;West 60s;1 W 67th St
287;Cafecito;185 Ave. C;East Village;185 Loisaida Ave
288;Cafetasia;38 E 8th St.;Greenwich Village;38 E 8th St
289;Cafeteria;119 7th Ave.;Chelsea;119 7th Ave
290;Caffe Capri;165 Church St.;Tribeca;165 Church St
291;Caffe Emilia;139 1st Ave.;East Village;139 1st Avenue
292;Caffe Falai;265 Lafayette St.;Soho;265 Lafayette St
293;Caffe Grazie;26 E. 84th St.;East 80s;26 E 84th St
294;Caffe Linda;145 E. 49th St.;East 40s;145 E 49th St
295;Caffe Novecento;343 W Broadway;Soho;343 W Broadway
296;Caffe Pepe Rosso;127 Avenue C;East Village;127 Loisaida Ave
297;Café DeVille;103 3rd Ave.;East Village;103 3rd Ave
298;Café Edison;228 W 47th St.;West 40s;228 W 47th St
299;Café Habana;229 Elizabeth St.;Greenwich Village;229 Elizabeth St
300;Café Loup;105 W 13th St.;West Village;105 W 13th St
301;Café Mogador;101 St. Marks Pl.;East Village;101 St Marks Pl
302;Café Rakka;38 Ave. B;East Village;38 Avenue B
303;Café Spice;72 University Place;Greenwich Village;72 University Pl
304;Café Spice;54 W 55th St.;West 50s;54 W 55th St
305;Café Spice Express;Grand Central Terminal;East 40s;89 E 42nd St
306;Café Zaiya;69 Cooper Square;East Village;69 Cooper Sq
307;Café con Leche;726 Amsterdam Ave.;West 90s;726 Amsterdam Ave
308;Café des Artistes;1 W67th St.;West 60s;1 W 67th St
309;Café el Portal;174 Elizabeth St.;Nolita;174 Elizabeth St
310;Calcutta;324 E 6th St.;East Village;324 E 6th St
311;Calidad Latina;132 9th Ave.;Chelsea;132 9th Ave
312;CamaJe;85 MacDougal St.;Greenwich Village;85 MacDougal St
313;Cambodian Cuisine;1664 Third Ave.;East 90s;1664 3rd Ave
314;Candela Candela;92 2nd Ave,;East Village;92 2nd Ave
315;Cannonau (fka Assenzio);205 E 4th St.;East Village;205 E 4th St
316;Cantinetta;260 6th Ave.;West Village;260 6th Ave
317;Cantoon Garden;22 Elizabeth St.;Chinatown;22 Elizabeth St
318;Captain's Café;34 East 32nd Street;Murray Hill;34 E 32nd St
319;Caracas Arepa Bar;91 E 7th St.;East Village;1/2
320;Caravan of Dreams;405 E. Sixth St.;East Village;405 E 6th St
321;Caridad;4799 Broadway;Inwood;4799 Broadway
322;Caridad La Original;588 Amsterdam Ave.;West 80s;588 Amsterdam Ave
323;Caridad Restaurant;18 E 33rd St.;Murray Hill;18 E 33rd St
324;Carl's Steaks;507 Third Ave.;Murray Hill;507 3rd Ave
325;Carmine's;200 W 44th St.;West 40s;200 W 44th St
326;Carne;2737 Broadway;West 100s;2737 Broadway
327;Carnegie Delicatessen;854 7th Ave.;West 50s;854 7th Ave
328;Carve;760 Eighth Ave.;West 40s;760 8th Ave
329;Casa Adela;66 Ave. C;East Village;66 Loisaida Ave
330;Casa Havana;190 Eighth Ave.;West Village;190 8th Ave
331;Casa La Femme;140 Charles St.;Greenwich Village;140 Charles St
332;Casa Mono;52 Irving Pl.;Flatiron;52 Irving Pl
333;Casanis;81 Ludlow St.;East Village;81 Ludlow St
334;Casimir;103-105 Ave. B;East Village;103 Avenue B
335;Celeste;502 Amsterdam Ave.;West 80s;502 Amsterdam Ave
336;Centovini;25 W Houston St.;Soho;25 W Houston St
337;Centro Español La Nacional;239 W 14th St.;Chelsea;239 W 14th St
338;Centro Vinoteca;74 Seventh Ave. S.;West Village;74 7th Ave S
339;CentroPizze;201 E 10th St,;East Village;201 E 10th St
340;Cha An Japanese Tea House;230 E 9th St.;East Village;230 E 9th St
341;Cha-An;230 E 9th St.;East Village;230 E 9th St
342;Chanoodle;79 Mulberry St.;Tribeca;79 Mulberry St
343;Charles' Southern Style Kitchen;2839 Eighth Ave.;Harlem;2839 Frederick Douglass Blvd
344;Chat 'n' Chew;10 E 16th St.;Union Square;10 E 16th St
345;Cheesy Pizza;2640 Broadway;West 100s;2640 Broadway
346;Chelsea Bistro and Bar;358 W 23rd St.;Chelsea;358 W 23rd St
347;Chelsea Thai Wholesale;75 Ninth Ave.;Chelsea;75 9th Ave
348;Chennai Garden;129 E 27th St.;Murray Hill;129 E 27th St
349;Cherin Sushi;306 E 6th St.;East Village;306 E 6th St
350;Chez Betty Cafe;256 E 3rd St.;East Village;256 E 3rd St
351;Chez Napoleon;365 W 50th St.;West 50s;365 W 50th St
352;Chickpea;210 E. 14th St.;East Village;210 E 14th St
353;Chikalicious;203 E. 10th St.;East Village;203 E 10th St
354;Chikalicious Dessert Bar;203 E 10th St.;East Village;203 E 10th St
355;Chimichurri Grill;606 Ninth Ave.;West 40s;606 9th Ave
356;China 1 Restaurant and Lounge;50 Avenue B;East Village;50 Avenue B
357;China North Dumpling;15 Essex St.;Chinatown;15 Essex St
358;China Town;250 E Houston St.;Chinatown;250 E Houston St
359;Chinese Food;25B Henry St.;Chinatown;25B Henry St
360;Chinese Mirch;120 Lexington Ave.;Murray Hill;120 Lexington Ave
361;Chipotle;19 St. Marks Pl.;East Village;19 St Marks Pl
362;Chiyono;328 East 6th St.;Greenwich Village;328 E 6th St
363;Cho Cho San;15 W. 8th St.;West Village;15 W 8th St
364;Cho Dang Gol;55 W 35th St.;Chelsea;55 W 35th St
365;Chocolate Bar;127 E 7th St.;East Village;127 E 7th St
366;Chocolate Bar at Henri Bendel;712 5th Ave.;West 50s;712 Fifth Avenue
367;Chola;232 E 58th St.;East 50s;232 E 58th St
368;Chomp;250 E 14th St.;East Village;250 E 14th St
369;Chop Suey;714 Seventh Ave.;West 40s;714 7th Ave
370;Churrascaria Plataforma;316 W 49th St.;West 40s;316 W 49th St
371;City Bakery;3 W 18th St.;Chelsea;3 W 18th St
372;City Lobster & Crab Co.;121 W. 49th St.;West 40s;121 W 49th St
373;City Winery;155 Varick St.;Tribeca;155 Varick St
374;Clinton St. Baking Company;4 Clinton St.;Lower East Side;4 Clinton St
375;Co.;230 9th Ave,;Chelsea;230 9th Ave
376;Coffee Shop;29 Union Square W;Union Square;29 Union Square W
377;Col Legno;231 E. Ninth St.;East Village;231 E 9th St
378;Colbeh;43 W 39th;Garment District;43 W 39th St
379;Cold Stone Creamery;1651 2nd Ave.;East 80s;1651 2nd Ave
380;Colors;417 Lafayette St.;East Village;417 Lafayette St
381;Comfort Diner;214 E. 45th St.;East 40s;214 E 45th St
382;Cong Ly;124 Hester St.;Lower East Side;124 Hester St
383;Congee;98 Bowery;Chinatown;98 Bowery
384;Congee Bowery;207 Bowery;Lower East Side;207 Bowery
385;Congee Village;100 Allen St.;Lower East Side;100 Allen St
386;Convivio;45 Tudor City Pl.;East 40s;45 Tudor City Pl
387;Cookout Grill;207 W 14th St.;West Village;207 W 14th St
388;Cookshop;156 10th Ave.;West Village;156 10th Ave
389;Copper Chimney;126 E 28th St.;Murray Hill;126 E 28th St
390;Coppola's East;378 3rd Ave.;Murray Hill;378 3rd Ave
391;Cornelia Street Cafe;29 Cornelia St.;West Village;29 Cornelia St
392;Corner Shop;643 Broadway;Greenwich Village;643 Broadway
393;Cosette;163 E 33rd St.;Murray Hill;163 E 33rd St
394;Cosi;257 Park Avenue S.;Flatiron;257 Park Ave S
395;Cosmic Cantina;101 Third Ave.;East Village;101 3rd Ave
396;Counter;105 First Ave.;East Village;105 1st Avenue
397;Country;90 Madison Ave.;Murray Hill;90 Madison Ave
398;Country Cafe;69 Thompson St.;Soho;69 Thompson St
399;Cozy Soup & Burger;739 Broadway;East Village;739 Broadway
400;Craft;43 E. 19th St.;Union Square;43 E 19th St
401;Craftsteak;85 10th Ave.;Chelsea;US-NYC-8510
402;Crave on 42nd;650 West 42nd St.;West 40s;650 W 42nd St
403;Crema Restaurante;111 W. 17th St.;Chelsea;111 W 17th St
404;Creole;2167 Third Ave.;East Harlem;2167 3rd Ave
405;Creperie;135 Ludlow St.;Lower East Side;135 Ludlow St
406;Crif Dogs;113 St. Marks Place;East Village;113 St Marks Pl
407;Crispo;240 W. 14th St.;Chelsea;240 W 14th St
408;Crooked Tree Creperie;110 Saint Marks Pl.;East Village;110 St Marks Pl
409;Croton Reservoir Tavern;108 w. 40th St.;Garment District;108 W 40th St
410;Cru;24 5th Ave.;West Village;24 5th Ave
411;Cuba Cafe;200 8th Ave.;Chelsea;200 8th Ave
412;Cube 63;63 Clinton;Lower East Side;63 Clinton St
413;Cucina & Co.;151 W. 34th St.;Chelsea;151 W 34th St
414;Cucina de Pesce;87 E. 4th St.;Greenwich Village;87 E 4th St
415;Cuisine of Pakistan;478 Ninth Ave.;Garment District;478 9th Ave
416;Curly's Vegetarian Lunch;328 E 14th St.;East Village;328 E 14th St
417;Curry Leaf;99 Lexington Ave.;Murray Hill;99 Lexington Ave
418;Curry in a Hurry;119 Lexington Ave.;Murray Hill;119 Lexington Ave
419;Curry-Ya;214 E 10th St.;East Village;214 E 10th St
