level_0;level_1;ristorante;indirizzoOriginale;indirizzoGoogle;Score;0_restaurant;0_address;0_addressFix;1_restaurant;1_address;1_neighborhood;1_type;1_cost;1_addressFix
326,000;343,000;1,000;1,000;1,000;3,000;Dylan Prime;62 Laight Street;62 Laight St, New York, NY 10013, USA;Dylan Prime;62 Laight St;TriBeCa;Steakhouse;$$$$$;62 Laight St, New York, NY 10013, USA
327,000;361,000;1,000;1,000;1,000;3,000;EN Japanese Brasserie;435 Hudson Street;435 Hudson St, New York, NY 10014, USA;En Japanese Brasserie;435 Hudson St;West Village;Japanese;$$$;435 Hudson St, New York, NY 10014, USA
336,000;354,000;1,000;1,000;1,000;3,000;El Rio Grande;160 East 38th Street;160 East 38th Street, New York, NY 10016, USA;El Rio Grande;160 East 38th Street;Midtown East;Southwestern;$$$;160 East 38th Street, New York, NY 10016, USA
343,000;365,000;1,000;1,000;1,000;3,000;Esca;402 West 43 Street;402 W 43rd St, New York, NY 10036, USA;Esca;402 W 43rd St;Midtown West;Italian;$$$$;402 W 43rd St, New York, NY 10036, USA
351,000;375,000;1,000;1,000;1,000;3,000;Extra Virgin;259 West 4th Street;259 West 4th Street, New York, NY 10014, USA;Extra Virgin;259 W 4th St;West Village;Mediterranean;$$;259 West 4th Street, New York, NY 10014, USA
355,000;380,000;1,000;1,000;1,000;3,000;Fatty Crab;Manhattan · 643 Hudson Street;643 Hudson St, New York, NY 10014, USA;Fatty Crab;643 Hudson Street;Meatpacking District;Indonesian;$$;643 Hudson St, New York, NY 10014, USA
356,000;381,000;1,000;1,000;1,000;3,000;Felidia;243 East 58th Street;243 E 58th St, New York, NY 10022, USA;Felidia;243 East 58th Street;Midtown East;Italian;$$$$;243 E 58th St, New York, NY 10022, USA
358,000;386,000;1,000;1,000;1,000;3,000;Film Center Cafe;635 Ninth Avenue;635 9th Ave, New York, NY 10036, USA;Film Center Cafe;635 9th Avenue;Midtown West;American;$$;635 9th Ave, New York, NY 10036, USA
363,000;11,000;1,000;1,000;1,000;3,000;Five Napkin Burger;630 9th Avenue;630 9th Ave, New York, NY 10036, USA;5 Napkin Burger;630 Ninth Ave;Hell's Kitchen;American;$$;630 9th Ave, New York, NY 10036, USA
365,000;390,000;1,000;1,000;1,000;3,000;Fleur de Sel;5 East 20th Street;5 E 20th St, New York, NY 10003, USA;Fleur De Sel;5 E 20th St;Flatiron;French;$$$$$;5 E 20th St, New York, NY 10003, USA
370,000;398,000;1,000;1,000;1,000;3,000;Frankie & Johnnie's Steakhouse;32 West 37th Street;32 W 37th St, New York, NY 10018, USA;Frankie & Johnnie's Steakhouse;32 W 37th St;Midtown West;Steakhouse;$$$;32 W 37th St, New York, NY 10018, USA
371,000;402,000;1,000;1,000;1,000;3,000;Frederick's Madison;768 Madison Avenue;768 Madison Ave, New York, NY 10065, USA;Frederick's Madison;768 Madison Ave;Upper East Side;Mediterranean;$$$$;768 Madison Ave, New York, NY 10065, USA
373,000;405,000;1,000;1,000;1,000;3,000;Fresco by Scotto;34 East 52nd Street;34 E 52nd St, New York, NY 10022, USA;Fresco by Scotto;34 E 52nd St;Midtown East;Italian;$$$;34 E 52nd St, New York, NY 10022, USA
378,000;410,000;1,000;1,000;1,000;3,000;Gabriela's;688 Columbus Avenue;688 Columbus Ave, New York, NY 10025, USA;Gabriela's;688 Columbus Avenue;Upper West Side;Mexican;$$;688 Columbus Ave, New York, NY 10025, USA
382,000;414,000;1,000;1,000;1,000;3,000;Gari;370 Columbus Avenue;370 Columbus Ave, New York, NY 10024, USA;Gari;370 Columbus Ave;Upper West Side;Sushi;$$$$$;370 Columbus Ave, New York, NY 10024, USA
393,000;432,000;1,000;1,000;1,000;3,000;Gramercy Tavern;42 East 20th Street;42 E 20th St, New York, NY 10003, USA;Gramercy Tavern;42 E 20th St;Union Square;American;$$$$;42 E 20th St, New York, NY 10003, USA
396,000;434,000;1,000;1,000;1,000;3,000;Grays Papaya;539 8th Avenue;539 8th Ave, New York, NY 10018, USA;Gray's Papaya;539 8th Avenue;Hell's Kitchen;Fast Food;$;539 8th Ave, New York, NY 10018, USA
403,000;443,000;1,000;1,000;1,000;3,000;Gyu-Kaku;805 3rd Avenue;805 3rd Ave, New York, NY 10022, USA;Gyu-Kaku;805 3rd Ave;Midtown East;Japanese;$$;805 3rd Ave, New York, NY 10022, USA
410,000;453,000;1,000;1,000;1,000;3,000;Havana Alma de Cuba;94 Christopher Street;94 Christopher St, New York, NY 10014, USA;Havana Alma De Cuba;94 Christopher St;West Village;Cuban;$$;94 Christopher St, New York, NY 10014, USA
411,000;454,000;1,000;1,000;1,000;3,000;Havana Central;151 West 46th Street;151 W 46th St, New York, NY 10036, USA;Havana Central;151 W 46th Street;Midtown West;Cuban;$$;151 W 46th St, New York, NY 10036, USA
417,000;464,000;1,000;1,000;1,000;3,000;Hill Country;30 West 26th Street;30 W 26th St, New York, NY 10010, USA;Hill Country;30 W. 26th St.;Chelsea;Barbecue;$$;30 W 26th St, New York, NY 10010, USA
419,000;472,000;1,000;1,000;1,000;3,000;Hudson River Cafe;697 West 133rd Street;697 W 133rd St, New York, NY 10027, USA;Hudson River Café;697 West 133rd ST.;Harlem;American;$$;697 W 133rd St, New York, NY 10027, USA
423,000;478,000;1,000;1,000;1,000;3,000;I Trulli;122 East 27th Street;122 E 27th St, New York, NY 10016, USA;I Trulli;122 E 27th St;Gramercy Park;Italian;$$$;122 E 27th St, New York, NY 10016, USA
426,000;481,000;1,000;1,000;1,000;3,000;Iguana;240 West 54th Street;240 W 54th St, New York, NY 10019, USA;Iguana;240 W 54th St;;;;240 W 54th St, New York, NY 10019, USA
430,000;486,000;1,000;1,000;1,000;3,000;Il Cantinori;32 East 10th Street;32 E 10th St, New York, NY 10003, USA;Il Cantinori;32 East 10th St;Greenwich Village;Italian;$$$$;32 E 10th St, New York, NY 10003, USA
432,000;491,000;1,000;1,000;1,000;3,000;Il Valentino;330 East 56th Street;330 E 56th St, New York, NY 10022, USA;Il Valentino;330 East 56th Street;Midtown East;Italian;$$$;330 E 56th St, New York, NY 10022, USA
435,000;492,000;1,000;1,000;1,000;3,000;Inagiku;111 East 49 Street;111 E 49th St, New York, NY 10017, USA;Inagiku;111 East 49th Street;Midtown East;Sushi;$$$$;111 E 49th St, New York, NY 10017, USA
438,000;493,000;1,000;1,000;1,000;3,000;Indochine;430 Lafayette Street;430 Lafayette St, New York, NY 10003, USA;Indochine;430 Lafayette St;East Village;French;$$$;430 Lafayette St, New York, NY 10003, USA
476,000;535,000;1,000;1,000;1,000;3,000;Kellari Taverna;19 West 44th Street;19 W 44th St, New York, NY 10036, USA;Kellari Taverna;19 W 44th St;Midtown West;Greek;$$;19 W 44th St, New York, NY 10036, USA
460,000;512,000;1,000;1,000;1,000;3,000;Jean Georges;1 Central Park West;1 Central Park West, New York, NY 10023, USA;Jean Georges;1 Central Park W;Upper West Side;French;$$$$$;1 Central Park West, New York, NY 10023, USA
462,000;515,000;1,000;1,000;1,000;3,000;Jewel of India;15 West 44th Street;15 W 44th St, New York, NY 10036, USA;Jewel Of India;15 W 44th St;Midtown West;Indian;$$;15 W 44th St, New York, NY 10036, USA
464,000;517,000;1,000;1,000;1,000;3,000;JoJo;160 East 64th Street;160 E 64th St, New York, NY 10065, USA;JoJo;160 E 64th St;Upper East Side;French;$$$$;160 E 64th St, New York, NY 10065, USA
467,000;517,000;1,000;1,000;1,000;3,000;Jojo;160 East 64th Street;160 E 64th St, New York, NY 10065, USA;JoJo;160 E 64th St;Upper East Side;French;$$$$;160 E 64th St, New York, NY 10065, USA
475,000;533,000;1,000;1,000;1,000;3,000;Keens Steakhouse;72 West 36th Street;72 W 36th St, New York, NY 10018, USA;Keens Steakhouse;72 W 36th St;Midtown West;Steakhouse;$$$;72 W 36th St, New York, NY 10018, USA
484,000;557,000;1,000;1,000;1,000;3,000;La Belle Vie;184 8th Avenue;184 8th Ave, New York, NY 10011, USA;La Belle Vie;184 Eighth Ave;Chelsea;French;$$;184 8th Ave, New York, NY 10011, USA
497,000;580,000;1,000;1,000;1,000;3,000;Le Bernardin;155 West 51st Street;155 W 51st St, New York, NY 10019, USA;Le Bernardin;155 W 51st St;Midtown West;Seafood;$$$$$;155 W 51st St, New York, NY 10019, USA
502,000;591,000;1,000;1,000;1,000;3,000;Le Souk;47 Avenue B;47 Avenue B, New York, NY 10009, USA;Le Souk;47 Ave B;Midtown East;African;$$;47 Avenue B, New York, NY 10009, USA
507,000;605,000;1,000;1,000;1,000;3,000;Lomito;300 Spring Street;300 Spring St, New York, NY 10013, USA;Lomito;300 Spring St;SOHO;Argentinean;$$$;300 Spring St, New York, NY 10013, USA
512,000;613,000;1,000;1,000;1,000;3,000;Lucy Latin Kitchen;35 East 18th Street;35 E 18th St, New York, NY 10003, USA;Lucy Latin Kitchen;35 E 18th St;Flatiron;Nuevo Latino;$$$;35 E 18th St, New York, NY 10003, USA
514,000;614,000;1,000;1,000;1,000;3,000;Lupa;170 Thompson Street;170 Thompson St, New York, NY 10012, USA;Lupa;170 Thompson St;Greenwich Village;Italian;$$$$;170 Thompson St, New York, NY 10012, USA
520,000;622,000;1,000;1,000;1,000;3,000;Maloney and Porcelli;37 East 50th Street;37 E 50th St, New York, NY 10022, USA;Maloney & Porcelli;37 E 50th St;Midtown East;Steakhouse;$$$$;37 E 50th St, New York, NY 10022, USA
522,000;631,000;1,000;1,000;1,000;3,000;Mara's Homemade;342 East 6th Street;342 E 6th St, New York, NY 10003, USA;Mara's Homemade;342 E Sixth St;East Village;Creole-Cajun;$$;342 E 6th St, New York, NY 10003, USA
527,000;640,000;1,000;1,000;1,000;3,000;Mary's Fish Camp;64 Charles Street;Via Charles Gounod, 20092 Cinisello Balsamo MI, Italy;Mary's Fish Camp;64 Charles St;West Village;Seafood;$$;Via Charles Gounod, 20092 Cinisello Balsamo MI, Italy
546,000;654,000;1,000;1,000;1,000;3,000;Mercer Kitchen;99 Prince Street;99 Prince St, New York, NY 10012, USA;Mercer Kitchen;99 Prince Street;SOHO;American;$$$$;99 Prince St, New York, NY 10012, USA
550,000;662,000;1,000;1,000;1,000;3,000;Mezzaluna;1295 3rd Avenue;1295 3rd Ave, New York, NY 10021, USA;Mezzaluna;1295 3rd Ave;Upper East Side;American;$$;1295 3rd Ave, New York, NY 10021, USA
553,000;665,000;1,000;1,000;1,000;3,000;Michael's;24 West 55th Street;24 W 55th St, New York, NY 10019, USA;Michael's;24 W 55th St;Midtown West;Californian;$$$$;24 W 55th St, New York, NY 10019, USA
557,000;676,000;1,000;1,000;1,000;3,000;Molyvos;871 7th Avenue;871 7th Ave, New York, NY 10019, USA;Molyvos;871 7th Avenue;Midtown West;Greek;$$$;871 7th Ave, New York, NY 10019, USA
568,000;699,000;1,000;1,000;1,000;3,000;Neo Sushi;2298 Broadway;2298 Broadway, New York, NY 10024, USA;Neo Sushi;2298 Broadway;Upper West Side;Sushi;$$$$;2298 Broadway, New York, NY 10024, USA
576,000;721,000;1,000;1,000;1,000;3,000;Novecento;343 West Broadway;343 W Broadway, New York, NY 10013, USA;Novecento;343 W Broadway;SOHO;South American;$$$;343 W Broadway, New York, NY 10013, USA
578,000;725,000;1,000;1,000;1,000;3,000;Oceana;55 East 54th Street;55 E 54th St, New York, NY 10022, USA;Oceana;55 E 54th St;Midtown East;Seafood;$$$$;55 E 54th St, New York, NY 10022, USA
