restaurant;addressGoogle;neighborhood;country;country_code;type;cost;phone;source
Aquagrill;210 Spring St;Soho;New York;NY;Seafood;$$$$;(212-274-0505);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Aquavit;65 E 55th St;East 50s;New York;NY;Scandinavian / Eclectic;$$$$;(212-307-7311);"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Arka Lounge;4488 Broadway;Washington Heights;New York;NY;;;;VillageVoice
Arno Ristorante;141 W 38th St;Garment District;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; SavoryCities"
Arqua;281 Church St;Tribeca;New York;NY;Italian;$$$;(212-334-1888);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; NYTimes"
Artichoke Basille's Pizza & Brewery;328 E 14th St;East Village;New York;NY;Italian;;(212-228-2004);"VillageVoice; NYMag; TimeOut; SavoryCities"
Artie's;2290 Broadway;West 80s;New York;NY;;;;"VillageVoice; FoodBuzz"
Artisanal;2 Park Ave 20th floor;Murray Hill;New York;NY;French;;(212-725-8585);"VillageVoice; MenuPages; OpenTable; NYMag; TimeOut; NYTimes"
Arturo's Pizza;1610 York Ave;East 80s;New York;NY;;;;"VillageVoice; MenuPages; NYMag; ActiveDiner; SavoryCities; NYTimes"
Ashkara;189 E Houston St;Lower East Side;New York;NY;;;;"VillageVoice; MenuPages; NYMag"
Asia De Cuba;237 Madison Ave;Murray Hill;New York;NY;Asian;$$$$;;"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; NYTimes"
Assenzio;205 E 4th St;East Village;New York;NY;Italian;;(212-677-9466);"VillageVoice; TasteSpace; TimeOut; NYTimes"
Atelier, Ritz-Carlton Hotel;50 Central Park S;West 50s;New York;NY;;;;VillageVoice
Atomic Wings;184 1st Avenue;East Village;New York;NY;American;;(212-505-7272);"VillageVoice; TasteSpace; MenuPages; ActiveDiner; TimeOut; NYTimes"
Atria;13 W 54th St;West 50s;New York;NY;Eclectic;;(212-262-4600);"VillageVoice; MenuPages; OpenTable; TimeOut; SavoryCities"
Au Mandarin;200 Vesey Street 3 World Financial Center 24 Floor;Battery Park City;New York;NY;;;;"VillageVoice; MenuPages; NYMag; ActiveDiner"
August;359 Bleecker St;West Village;New York;NY;European / Eclectic;$$$;(212-929-4774);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Avra;141 E 48th St;East 40s;New York;NY;Greek;;(212-759-8550);"VillageVoice; TasteSpace; MenuPages; TimeOut; NYTimes"
Awash;338 E 6th St;East Village;New York;NY;African: Ethiopian;;(212-982-9589);"VillageVoice; TasteSpace; MenuPages; NYMag; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Azul Bistro;152 Stanton St;Lower East Side;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; SavoryCities; NYTimes"
Azuri Café;465 W 51st St;West 50s;New York;NY;Jewish;$;;"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; NYTimes"
B & H Dairy Restaurant;127 2nd Ave;East Village;New York;NY;;;;"VillageVoice; TasteSpace"
B Bar & Grill;40 E 4th St;East Village;New York;NY;American;;(212-475-2220);"VillageVoice; MenuPages; TimeOut"
B Cup;212 Avenue B;East Village;New York;NY;;;;"VillageVoice; MenuPages"
B'un;143 Grand St;Chinatown;New York;NY;Vietnamese;;(212-431-7999);"VillageVoice; TimeOut"
B-Bap Fusion Rice Bar;830 9th Ave;West 50s;New York;NY;Korean;;(212-315-0033);"VillageVoice; MenuPages; NYMag; TimeOut"
B. Cafe;240 E 75th St;East 80s;New York;NY;Belgian;;(212-249-3300);"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; NYMag; TimeOut; SavoryCities"
B. Smith Restaurant;W 48th St & 8th Ave;West 40s;New York;NY;;;;"VillageVoice; OpenTable"
BB Sandwich Bar;120 W 3rd St;Greenwich Village;New York;NY;American;$;(212-473-7500);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
BBQ;261 8th Ave;Chelsea;New York;NY;;;;VillageVoice
BBQ;1265 3rd Ave;East 70s;New York;NY;;;;VillageVoice
BBQ;3965 Broadway;Washington Heights;New York;NY;;;;VillageVoice
BG Restaurant;754 5th Ave 7th Fl;West 50s;New York;NY;;;;VillageVoice
BLT Burger;470 6th Ave;West Village;New York;NY;American;;(212-243-8226);"VillageVoice; MenuPages; NYMag; TimeOut; SavoryCities; NYTimes"
BLT Fish;21 W 17th St;Chelsea;New York;NY;Seafood;$$;(212-691-8888);"VillageVoice; MenuPages; NYMag; FoodBuzz; TimeOut; NYTimes"
BLT Market;1430 6th Ave;West 50s;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; NYMag; SavoryCities"
BLT Prime;111 E 22nd St;Murray Hill;New York;NY;American / Steakhouses;$$$$;(212-995-8500);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; NYTimes"
BLT Steak;106 E 57th St;East 50s;New York;NY;Steakhouse;$$$$$;(212-752-7470);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
BLVD - Bowery Bistro;199 Bowery;East Village;New York;NY;;;;"VillageVoice; MenuPages"
Babbo;110 Waverly Pl;West Village;New York;NY;Italian;$$$$;(212-777-0303);"VillageVoice; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Babbo Ristorante e Enoteca;110 Waverly Pl;Greenwich Village;New York;NY;;;;VillageVoice
BabyCakes NYC;248 Broome St;Lower East Side;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages"
Bacaro;136 Division St;Lower East Side;New York;NY;Italian;;(212-941-5060);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Back Forty;190 Avenue B;East Village;New York;NY;American;;(212-388-1990);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Baldoria;249 W 49th St;West 40s;New York;NY;Italian;$$$$;(212-582-0460);"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Bali Nusa Indah;651 9th Ave;West 40s;New York;NY;Indonesian / Asian: Indonesian;;(212-974-1875);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Balkh Kebab & Restaurant;789 9th Ave;West 50s;New York;NY;;;;VillageVoice
Ballato;55 E Houston St;Nolita;New York;NY;;;;"VillageVoice; NYMag; NYTimes"
Balthazar;80 Spring St;Soho;New York;NY;French;$$$;(212-965-1414);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Baluchi's;90 W 3rd St;Greenwich Village;New York;NY;;;;"VillageVoice; MenuPages; ActiveDiner; NYTimes"
Baluchi's;275 Greenwich St;Financial District;New York;NY;Indian;;(212-571-5343);"VillageVoice; MenuPages; TimeOut; NYTimes"
Baluchi's;240 W 56th St;West 50s;New York;NY;Indian;;(212-397-0707);"VillageVoice; TasteSpace; MenuPages; ActiveDiner; TimeOut; NYTimes"
Baluchi's;361 6th Ave;West Village;New York;NY;Indian;;(212-929-2441);"VillageVoice; TasteSpace; MenuPages; TimeOut; NYTimes"
Baluchi's;193 Spring St;Soho;New York;NY;Indian;;(212-226-2828);"VillageVoice; TasteSpace; MenuPages; TimeOut; NYTimes"
Baluchi's;1724 2nd Ave;East 90s;New York;NY;Indian;;(212-996-2600);"VillageVoice; TasteSpace; MenuPages; ActiveDiner; TimeOut; NYTimes"
Baluchi's;329 3rd Ave;Murray Hill;New York;NY;Indian;;(212-679-3434);"VillageVoice; MenuPages; TimeOut; NYTimes"
Baluchi's;1565 2nd Ave;East 80s;New York;NY;Indian;;(212-288-4810);"VillageVoice; TasteSpace; ActiveDiner; TimeOut; NYTimes"
Baluchi's;111 E 29th St;Murray Hill;New York;NY;;;;"VillageVoice; TasteSpace; ActiveDiner; NYTimes"
Bambou;243 E 14th St;East Village;New York;NY;;;;VillageVoice
Bamiyan;358 3rd Ave;Gramercy Park;New York;NY;Afghan;;(212-481-3232);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; NYTimes"
Bamn!;37 St Marks Pl;Soho;New York;NY;Eclectic;;(888-400-2266);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut"
Banh Mi So 1;369 Broome St;Soho;New York;NY;;;;VillageVoice
Banjara;97 1st Avenue;East Village;New York;NY;Indian;$$;(212-477-5956);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Bann;350 W 50th St;West 50s;New York;NY;Korean;$$$;(212-582-4446);"VillageVoice; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Baoguette;61 Lexington Ave;Flatiron;New York;NY;Vietnamese;;(212-518-4089);"VillageVoice; MenuPages; NYMag; TimeOut"
Bar Americain;152 W 52nd St;West 50s;New York;NY;American;$$$$;(212-265-9700);"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Bar Baresco;191 7th Ave;Chelsea;New York;NY;Italian;;(212-675-5935);"VillageVoice; MenuPages; OpenTable; NYMag; TimeOut; SavoryCities"
Bar Boulud;1900 Broadway;West 60s;New York;NY;French;;(212-595-0303);"VillageVoice; MenuPages; OpenTable; DiningGuide; NYMag; TimeOut; SavoryCities"
Bar Breton;254 5th Ave;Chelsea;New York;NY;Italian / French;;(212-675-5935);"VillageVoice; MenuPages; OpenTable; NYMag; TimeOut; SavoryCities"
Bar Masa;10 Columbus Cir;West 60s;New York;NY;;;;"VillageVoice; MenuPages; NYMag; SavoryCities; NYTimes"
Bar Milano;323 3rd Ave;Gramercy Park;New York;NY;Italian;;(212-683-3035);"VillageVoice; MenuPages; NYMag; TimeOut"
Bar Pitti;268 6th Ave;West Village;New York;NY;Italian;$$;(212-982-3300);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Bar Q;308 Bleecker St;West Village;New York;NY;Eclectic;;(212-206-7817);"VillageVoice; MenuPages; OpenTable; DiningGuide; NYMag; TimeOut; SavoryCities"
Bar Six;502 6th Ave;West Village;New York;NY;;;;"VillageVoice; TasteSpace"
Bar Stuzzichini;928 Broadway;Flatiron;New York;NY;Italian;;(212-780-5100);"VillageVoice; MenuPages; OpenTable; DiningGuide; NYMag; TimeOut"
Bar Veloce;175 2nd Ave;East Village;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYMag; ActiveDiner; SavoryCities; NYTimes"
Barbone;186 Avenue B;East Village;New York;NY;;;;"VillageVoice; OpenTable; NYMag; ActiveDiner; NYTimes"
Barney Greengrass;541 Amsterdam Ave;West 80s;New York;NY;Deli / American;$;(212-724-4707);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Barrio Chino;253 Broome St;Lower East Side;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; SavoryCities"
Belcourt;84 E 4th St;East Village;New York;NY;Mediterranean;;(212-979-2034);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Bella Napoli;130 Madison Ave;Murray Hill;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; ActiveDiner; NYTimes"
Bello's;130 St Marks Pl;East Village;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYMag; NYTimes"
Bennie's;88 Fulton St;Financial District;New York;NY;;;;VillageVoice
Benny's Burritos;93 Avenue A;East Village;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYMag; NYTimes"
Benoit;60 W 55th St;West 50s;New York;NY;French;;(646-943-7373);"VillageVoice; NYMag; TimeOut; SavoryCities"
Beppe;45 E 22nd St;Flatiron;New York;NY;Italian;$$$;(212-982-8422);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; NYTimes"
Bereket;187 E Houston St;Lower East Side;New York;NY;Turkish;;(212-475-7700);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Berry Bistro;430 E 14th St;East Village;New York;NY;American Creative;;(646-695-4244);"VillageVoice; MenuPages; TimeOut"
