restaurant;addressGoogle;neighborhood;country;country_code;type;cost;phone;source
Aspen Social Club;157 W 47th St;Times Square;New York;NY;American;$$$$;(212-221-7200);"OpenTable; FoodBuzz; TimeOut; SavoryCities"
Atria;13 W 54th St;Midtown West;New York;NY;Eclectic;;(212-262-4600);"OpenTable; VillageVoice; TimeOut; SavoryCities"
Aureole;34 E 61st St (Between Park and Madison);Upper East Side;New York;NY;American;$$$$$;(212-319-1660);"OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Aurora - Soho;510 Broome St;SoHo;New York;NY;Italian;;(212-334-9020);"OpenTable; NYMag; TimeOut; SavoryCities"
Avra Estiatorio;141 E 48th St;Midtown East;New York;NY;Greek;$$$$;;"OpenTable; NYMag; FoodBuzz; SavoryCities"
B. Cafe;240 E 75th St;Upper East Side;New York;NY;Belgian;;(212-249-3300);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; VillageVoice; TimeOut; SavoryCities"
B. Smith's Restaurant Row;320 W 46th St;Theater District;New York;NY;Southern / American Regional;$$$;offers “global cuisine” at her relaxing restaurant....;"OpenTable; TasteSpace; DiningGuide; FoodBuzz; ActiveDiner; VillageVoice; TimeOut"
BLT Market;1430 6th Ave;Midtown West;New York;NY;;;(212-521-6125);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; VillageVoice; TimeOut; SavoryCities"
Baldoria;249 W 49th St;Midtown West;New York;NY;Italian;$$$$;(212-582-0460);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; ActiveDiner; VillageVoice; TimeOut; SavoryCities; NYTimes"
Bar Americain;152 W 52nd St;Midtown West;New York;NY;American;$$$$;(212-265-9700);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; ActiveDiner; VillageVoice; TimeOut; SavoryCities; NYTimes"
Bar Baresco;191 7th Ave;Chelsea;New York;NY;Italian / French;;(212-675-5935);"OpenTable; NYMag; VillageVoice; TimeOut; SavoryCities"
Bar Blanc;142 W 10th St;West Village;New York;NY;Vietnamese / French;$$$$;(212-255-2330);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities"
Bar Boulud;1900 Broadway;Lincoln Center;New York;NY;French;;(212-595-0303);"OpenTable; NYMag; VillageVoice; TimeOut; SavoryCities"
Bar Breton;191 7th Ave;Chelsea;New York;NY;Italian / French;;(212-675-5935);"OpenTable; NYMag; VillageVoice; TimeOut; SavoryCities"
Bar Q;308 Bleecker St;West Village;New York;NY;Eclectic;;(212-206-7817);"OpenTable; NYMag; VillageVoice; TimeOut; SavoryCities"
Bar Stuzzichini;928 Broadway;Gramercy / Flatiron;New York;NY;Italian;;(212-780-5100);"OpenTable; NYMag; VillageVoice; TimeOut"
Baraonda;1439 2nd Ave;Upper East Side;New York;NY;nan / Italian;;(212-288-8555);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities"
Barbao;186 Avenue B;Upper West Side;New York;NY;Vietnamese;;(212-501-0776);"OpenTable; NYMag; VillageVoice; TimeOut; SavoryCities; NYTimes"
Barbounia;250 Park Ave S;Gramercy / Flatiron;New York;NY;Mediterranean;$$$$;(212-995-0242);"OpenTable; NYMag; FoodBuzz; VillageVoice; TimeOut; NYTimes"
Barbuto;775 Washington St;Meatpacking District;New York;NY;Italian;;(212-924-9700);"OpenTable; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities; NYTimes"
Barmarche;14 Spring St;NoLita;New York;NY;American;$$;;"OpenTable; TasteSpace; MenuPages; FoodBuzz; NYTimes"
Barna;365 Park Ave S;Murray Hill;New York;NY;Spanish;;(212-532-8300);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; TimeOut; NYTimes"
Basera Indian Bistro;745 9th Ave;Hell's Kitchen;New York;NY;Indian;;(212-757-9787);"OpenTable; TimeOut"
Beacon;25 W 56th St;Midtown West;New York;NY;American;$$$$;(212-332-0500);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Becco;355 W 46th St;Theater District;New York;NY;Italian;$$$;(212-397-7597);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Bella Blu;967 Lexington Ave;Upper East Side;New York;NY;Italian;;(212-988-4624);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; TimeOut; SavoryCities; NYTimes"
Bella Luna - NYC;584 Columbus Ave;Upper West Side;New York;NY;;;;"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; ActiveDiner; SavoryCities; NYTimes"
Ben Benson's Steakhouse;123 W 52nd St;Midtown West;New York;NY;Steakhouses;;(212-581-8888);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Ben and Jack's Steakhouse;219 E 44th St;Midtown East;New York;NY;Steakhouses;;(212-682-5678);"OpenTable; TimeOut; SavoryCities"
Benjamin Steakhouse;52 E 41st St;Midtown East;New York;NY;Steakhouses;;(212-297-9177);"OpenTable; NYMag; TimeOut; SavoryCities"
Big Daddy's;239 Park Ave S;Upper East Side;New York;NY;;;;"OpenTable; TasteSpace; MenuPages; NYMag; VillageVoice"
Bistecca Fiorentina;317 W 46th St;Theater District;New York;NY;;;;"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; SavoryCities"
Bistro 61;1113 1st Avenue;Upper East Side;New York;NY;American;$$;(212-662-7600);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Bistro Chat Noir;473 Columbus Ave;Upper East Side;New York;NY;nan / French;;(212-400-9401);"OpenTable; TasteSpace; MenuPages; FoodBuzz; TimeOut; SavoryCities"
Bistro Desaret;227 E 56th St;Midtown East;New York;NY;French;;(212-207-8777);"OpenTable; NYMag; TimeOut; SavoryCities"
Bistro Milano;1350 6th Ave;Midtown West;New York;NY;Italian;;(212-757-2600);"OpenTable; TimeOut; SavoryCities"
Bistro Ten 18;1018 Amsterdam Ave;Upper West Side;New York;NY;American;$$;(212-662-7600);"OpenTable; TasteSpace; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Blaue Gans;139 Duane St;TriBeCa - Downtown;New York;NY;German / Austrian;$$$;(212-571-8880);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; NYTimes"
Bloomingdale Road;2398 Broadway;Upper West Side;New York;NY;American / nan;$$$;(212-874-7400);"OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities"
Blue Hill;75 Washington Pl;West Village;New York;NY;American;$$$$;(212-539-1776);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Blue Smoke;116 E 27th St;Gramercy / Flatiron;New York;NY;Barbecue;$$;(212-447-7733);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; VillageVoice; TimeOut; NYTimes"
Bobby Van's Grill - 50th Street;135 W 50th St;Theater District;New York;NY;Italian;$$$;;"OpenTable; FoodBuzz"
Bobby Van's Grill - Broad Street;135 W 50th St;Financial District;New York;NY;Italian;$$$;;"OpenTable; FoodBuzz"
Bobby Van's Steakhouse - 54th Street;131 E 54th St;Midtown East;New York;NY;Steakhouse;$$$;(212-867-5490);"OpenTable; TasteSpace; MenuPages; DiningGuide; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Bobby Van's Steakhouse - Broad Street;131 E 54th St;Financial District;New York;NY;Steakhouse;$$$;(212-867-5490);"OpenTable; TasteSpace; MenuPages; DiningGuide; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Bocca di Bacco;828 9th Ave;Hell's Kitchen;New York;NY;Italian;;(212-265-8828);"OpenTable; NYMag; TimeOut; SavoryCities"
Boom;152 Spring St;SoHo;New York;NY;Italian;$$;(212-431-3663);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities"
Borgo Antico;22 E 13th St;Union Square;New York;NY;Italian;$$$;(212-807-1313);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; VillageVoice; TimeOut; NYTimes"
Bottega Del Vino;7 E 59th St;Upper East Side;New York;NY;Italian;;(212-223-3028);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; TimeOut; SavoryCities"
Bottino;246 10th Ave;Chelsea;New York;NY;Italian;$$$;(212-206-6766);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Boucarou;64 E 1st St;Lower East Side;New York;NY;;;;"OpenTable; TasteSpace; MenuPages; NYMag; ActiveDiner; VillageVoice; SavoryCities"
Bouley;120 W Broadway;TriBeCa - Downtown;New York;NY;French;$$$$$;(212-964-2525);"OpenTable; TasteSpace; NYMag; FoodBuzz; TimeOut; NYTimes"
Bourbon Street Bar & Grill;346 W 46th St;Theater District;New York;NY;Creole-Cajun / American Regional;$$$$;(212-245-2030);"OpenTable; NYMag; FoodBuzz; TimeOut"
Braai;329 W 51st St;Hell's Kitchen;New York;NY;;;;"OpenTable; SavoryCities"
Brasserie;200 E 60th St;Midtown East;New York;NY;French / American;$$$;(212-751-4840);"OpenTable; TasteSpace; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Brasserie 44;East River Realty Company;Midtown West;New York;NY;French / American;$$$;(212-751-4840);"OpenTable; TasteSpace; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Brasserie 8 1/2;East River Realty Company;Midtown East;New York;NY;French / American;$$$;(212-751-4840);"OpenTable; TasteSpace; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Brasserie Athenee;100 E 53rd St;Theater District;New York;NY;French;$$$;(212-751-4840);"OpenTable; FoodBuzz; ActiveDiner; TimeOut; SavoryCities"
Brasserie Cognac;100 E 53rd St;Midtown West;New York;NY;French;$$$;(212-751-4840);"OpenTable; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Brasserie Ruhlmann;45 Rockefeller Plaza;Rockefeller Center Midtown;New York;NY;French;$$;(212-744-6327);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Brazil Brazil;787 8th Ave;Theater District;New York;NY;;;;"OpenTable; TasteSpace; MenuPages; DiningGuide; ActiveDiner; SavoryCities; NYTimes"
Brazil Grill;787 8th Ave;Theater District;New York;NY;;;;"OpenTable; TasteSpace; MenuPages; DiningGuide; ActiveDiner; SavoryCities; NYTimes"
Bricklane Curry House;342 E 6th St;East Village;New York;NY;Indian;;(212-979-2900);"OpenTable; TasteSpace; NYMag; VillageVoice; TimeOut; SavoryCities; NYTimes"
Broadway East;171 E Broadway;Lower East Side;New York;NY;American / Vegetarian & Organic;$$$;(212-228-3100);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities"
Broadway Joe Steakhouse;315 W 46th St;Theater District;New York;NY;Steakhouse;$$$;;"OpenTable; FoodBuzz; SavoryCities"
Bubble Lounge - NYC;228 W Broadway;TriBeCa - Downtown;New York;NY;Small Plates;$$$;;"OpenTable; FoodBuzz; ActiveDiner"
Bun Soho;143 Grand St;SoHo;New York;NY;;;;"OpenTable; VillageVoice"
Butai;115 E 18th St;Union Square;New York;NY;Japanese;$$$;(212-387-8885);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; TimeOut"
Butter;415 Lafayette St;NoHo;New York;NY;American;$$$;(212-253-2828);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; TimeOut; NYTimes"
Buzina Pop;1022A Lexington Ave;Upper East Side;New York;NY;Brazilian;;(212-879-6190);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; TimeOut; SavoryCities"
Cacio e Vino;80 2nd Ave;East Village;New York;NY;Italian;;(212-228-3269);"OpenTable; TasteSpace; MenuPages; NYMag; VillageVoice; TimeOut; SavoryCities"
Cafe Cluny;90 Madison Ave;West Village;New York;NY;French;;(212-255-6900);"OpenTable; TasteSpace; NYMag; TimeOut; SavoryCities; NYTimes"
Cafe D' Alsace;1695 2nd Ave;Upper East Side;New York;NY;French;;(212-722-5133);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; TimeOut; SavoryCities; NYTimes"
Cafe Frida;368 Columbus Ave;Upper West Side;New York;NY;Mexican;$$;(212-712-2929);"OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Cafe Luxembourg;200 W 70th St;Lincoln Center;New York;NY;;;;"OpenTable; SavoryCities; NYTimes"
Cafe Notte;1626 2nd Ave;Upper East Side;New York;NY;Cafés & diners;;(212-288-5203);"OpenTable; TimeOut"
Cafe Spice - NYC;72 University Pl;East Village;New York;NY;;;;"OpenTable; TasteSpace; MenuPages; FoodBuzz; SavoryCities; NYTimes"
Cafe des Artistes;1 W 67th St;Lincoln Center;New York;NY;;;;"OpenTable; SavoryCities"
Cafe du Soleil;2723 Broadway;Upper West Side;New York;NY;French;$$$;(212-316-5000);"OpenTable; NYMag; FoodBuzz; TimeOut; NYTimes"
Caffe Grazie;26 E 84th St;Upper East Side;New York;NY;;;;"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; ActiveDiner; VillageVoice; SavoryCities; NYTimes"
Café Boulud;20 E 76th St;Upper East Side;New York;NY;French;$$$$;(212-772-2600);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; VillageVoice; TimeOut; SavoryCities; NYTimes"
Café Centro;MetLife Building;Midtown East;New York;NY;Mediterranean;$$$;;"OpenTable; NYMag; FoodBuzz; ActiveDiner; SavoryCities; NYTimes"
Calle Ocho;446 Columbus Ave;Upper West Side;New York;NY;Cuban / Caribbean;$$;(212-873-5025);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Candle 79;154 E 79th St;Upper East Side;New York;NY;Vegetarian;$$;(212-537-7179);"OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities"
Cannonau;205 E 4th St btwn Aves A and B;East Village;New York;NY;;;;"OpenTable; NYMag; SavoryCities"
Canyon Road;1470 1st Avenue;Upper East Side;New York;NY;Southwestern / American Regional;$$;(212-734-1600);"OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Cara Mia;654 9th Ave;Hell's Kitchen;New York;NY;;;;"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; NYTimes"
Casaville;633 2nd Ave;Murray Hill;New York;NY;Moroccan;;(212-685-8558);"OpenTable; NYMag; TimeOut"
Cascina;647 9th Ave;Theater District;New York;NY;Italian;;(212-245-4422);"OpenTable; NYMag; TimeOut; SavoryCities; NYTimes"
Cavatappo Grill;1712 1st Avenue;Upper East Side;New York;NY;Italian;;(212-987-9260);"OpenTable; TimeOut"
Cellini;65 E 54th St;Midtown East;New York;NY;Italian;;(212-751-1555);"OpenTable; TasteSpace; MenuPages; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Centovini;25 W Houston St;SoHo;New York;NY;Italian;;(212-219-2113);"OpenTable; NYMag; VillageVoice; TimeOut; SavoryCities"
Central Park BoatHouse;Enter on E 72nd St;Midtown East;New York;NY;nan / Seafood;;(212-517-2233);"OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities"
Centrico;211 W Broadway;TriBeCa - Downtown;New York;NY;Italian / Latin American;;(212-734-7711);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; TimeOut; SavoryCities; NYTimes"
Centro Vinoteca;74 7th Ave S;West Village;New York;NY;Italian;;(212-367-7470);"OpenTable; NYMag; VillageVoice; TimeOut; SavoryCities; NYTimes"
Cercle Rouge;241 W Broadway;TriBeCa - Downtown;New York;NY;American / French;$$$;(212-226-6252);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; NYTimes"
Cesca;164 W 75th St;Upper West Side;New York;NY;Italian;$$$;(212-787-6300);"OpenTable; NYMag; FoodBuzz; ActiveDiner; VillageVoice; TimeOut; SavoryCities; NYTimes"
Chanterelle;2 Harrison St;TriBeCa - Downtown;New York;NY;French;$$$$$;(212-966-6960);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; ActiveDiner; TimeOut; NYTimes"
Charlotte;243 West 4th Street;Theater District;New York;NY;Mediterranean;;"(no phone; reservations@restaurantcharles.com)";"OpenTable; TimeOut"
Chez Jacqueline;72 MacDougal St;West Village;New York;NY;French;$$$;(212-505-0727);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Chez Lucienne;245 Madison Ave;Harlem;New York;NY;;;;"OpenTable; TasteSpace; TimeOut"
China 1;246 Columbus Ave;Lower East Side;New York;NY;Chinese;$;(212-375-0665);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
China Grill - New York;60 W 53rd St;Midtown West;New York;NY;Asian;$$$$;(212-333-7788);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Chinatown Brasserie;380 Lafayette St;NoHo;New York;NY;Chinese;$$$;(212-533-7000);"OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Chinese Mirch;120 Lexington Ave;Murray Hill;New York;NY;Chinese;;(212-532-3663);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; ActiveDiner; VillageVoice; TimeOut; NYTimes"
Chola;145 Bleecker St;Midtown East;New York;NY;Indian / Korean;$$;(212-598-5946);"OpenTable; TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Ciaobella;1640 2nd Ave;Upper East Side;New York;NY;Italian;;(212-794-8560);"OpenTable; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Cibo;767 2nd Ave;Murray Hill;New York;NY;American;$$$;;"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; ActiveDiner; NYTimes"
Ciro Trattoria;813 8th Ave;Theater District;New York;NY;;;;"OpenTable; TasteSpace; DiningGuide; NYTimes"
Citrus Bar & Grill;320 Amsterdam Ave;Upper West Side;New York;NY;Asian / Eclectic;$$;(212-595-0500);"OpenTable; TasteSpace; MenuPages; DiningGuide; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
City Crab & Seafood Company;235 Park Ave S;Gramercy / Flatiron;New York;NY;Seafood;$$$;(212-529-3800);"OpenTable; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; ActiveDiner; TimeOut; NYTimes"
City Hall;131 Duane St;TriBeCa - Downtown;New York;NY;Seafood / American;$$$;(212-227-7777);"OpenTable; TasteSpace; MenuPages; DiningGuide; FoodBuzz; TimeOut; NYTimes"
City Winery;2441 Broadway;West Village;New York;NY;;;;"OpenTable; TasteSpace; MenuPages; NYMag; ActiveDiner; VillageVoice; SavoryCities; NYTimes"
Commodore Grill;Lexington Ave & E 42nd St;Midtown East;New York;NY;;;;"OpenTable; TasteSpace"
