restaurant;addressGoogle;neighborhood;country;country_code;type;cost;phone
Abitino's;947 1st Avenue;East 50s;New York;NY;;;
Above;234 W 42nd St;West 40s;New York;NY;;;
Abraco;86 E 7th St;East Village;New York;NY;Cafés & diners;;(212-388-9731)
Absinthe Wine Bar;111 1st Avenue;East Village;New York;NY;;;
Aburiya Kinnosuke;213 E 45th St;East 40s;New York;NY;Japanese;;(212-867-5454)
Acapella;1 Hudson St;Little Italy;New York;NY;;;
Accademia di Vino;1081 3rd Ave;East 60s;New York;NY;Italian;;(212-888-6333)
Acme Bar & Grill;9 Great Jones St;Nolita;New York;NY;American Regional;;(212-420-1934)
Acme Underground;9 Great Jones St;Greenwich Village;New York;NY;;;
Acqua;718 Amsterdam Ave;West 90s;New York;NY;Italian;$$$$;(212-222-2752)
Acqua at Peck Slip;21 Peck St;South Street Seaport;New York;NY;;;
Adriatic Pizzeria & Restaurant;321 1st Avenue;East Village;New York;NY;;;
Adrienne's Pizzabar;54 Stone St;Financial District;New York;NY;;;
Afghan Kebab House;1345 2nd Ave;East 70s;New York;NY;;;
Afghan Kebab House;764 9th Ave;West 50s;New York;NY;;;
Africa Kine;256 W 116th St;Harlem;New York;NY;;;
Against the Grain;620 E 6th St;East Village;New York;NY;;;
Agave;140 7th Ave;West Village;New York;NY;American Regional;;(212-989-2100)
Agozar Restaurant & Lounge;324 Bowery;Greenwich Village;New York;NY;;;
Agozar!;324 Bowery;Greenwich Village;New York;NY;Caribbean: Cuban;;(212-677-6773)
Aja;432 6th Ave;Greenwich Village;New York;NY;Asian: Pan-Asian;;(212-253-7100)
Aja Asian Bistro & Lounge;1068 1st Avenue;East 50s;New York;NY;;;
Aji Sushi;519 3rd Ave;Murray Hill;New York;NY;;;
Akdeniz;19 W 46th St;West 40s;New York;NY;Mediterranean / Turkish;$;(212-575-2307)
Aki Sushi;366 W 52nd St;West 50s;New York;NY;;;
Aki Sushi;1425 York Ave;East 70s;New York;NY;;;
Aki Sushi;121 E 27th St;Gramercy Park;New York;NY;;;
Akina Sushi;424 E 14th St;East Village;New York;NY;;;
Al Baraka;1613 2nd Ave;East 80s;New York;NY;Moroccan;;(212-744-2122)
Al Bustan;827 3rd Ave;East 50s;New York;NY;Middle Eastern;;(212-759-5933)
Al Diwan;210 Avenue A;East Village;New York;NY;Middle Eastern;;(212-375-1300)
Albert's Mofongo House;4762 Broadway;Inwood;New York;NY;;;
Alcala;342 E 46th St;East 40s;New York;NY;Spanish;;(212-370-1866)
Alexandra;455 Hudson St;West Village;New York;NY;American;$$;(212-255-3838)
Alfama;551 Hudson St;West Village;New York;NY;Portuguese;$$;(212-645-2500)
Alfredo's of Rome;4 W 49th St;West 40s;New York;NY;nan / Italian;;(212-397-0100)
Ali Baba;212 E 34th St;Murray Hill;New York;NY;Turkish;;(212-683-9206)
Alias;76 Clinton St;Lower East Side;New York;NY;American;$$$;(212-505-5011)
Alibaba;515 Amsterdam Ave;West 80s;New York;NY;;;
Alice's Tea Cup;102 W 73rd St;West 70s;New York;NY;American / Cafés & diners;$;(212-799-3006)
Alidoro;105 Sullivan St;Greenwich Village;New York;NY;;;
Allegretti;46 W 22nd St;Chelsea;New York;NY;French;$$$$;(212-206-0555)
Alloro Restaurant;307 E 77th St;East 80s;New York;NY;;;
Aloe;406 E 9th St;East Village;New York;NY;;;
Alto;520 Madison Ave;East 50s;New York;NY;Italian;$$$$$;
Amarok Bar & Grill;32 Cliff St;Financial District;New York;NY;;;
Amarone;686 9th Ave;West 40s;New York;NY;;;
Amaya;234 E 4th St;East Village;New York;NY;;;
Amazing 66;66 Mott St;Chinatown;New York;NY;Chinese;$$;
Ambassador Grill & Lounge;44 1st Avenue;East 40s;New York;NY;;;
Amber;1406 3rd Ave;East 80s;New York;NY;Pan-Asian / Japanese;$$;(212-249-5020)
Amber;221 Columbus Ave;West 70s;New York;NY;Japanese;;(212-799-8100)
Ambrosia;273 1st Avenue;East Village;New York;NY;;;
American East Fuzhou Restaurant;54 E Broadway;Chinatown;New York;NY;;;
American Girl Place;609 5th Ave;East 40s;New York;NY;;;
American Grill;117 2nd Ave;East Village;New York;NY;;;
Angelica Kitchen;300 E 12th St;East Village;New York;NY;Vegetarian;$;(212-228-2909)
Angelo and Maxie's;233 Park Ave S;Gramercy Park;New York;NY;Steakhouses;;(212-220-9200)
Angon on the Sixth;320 E 6th St;East Village;New York;NY;Indian;$;(212-260-8229)
Angus McIndoe;258 W 44th St;West 40s;New York;NY;American;;(212-221-9222)
Anna Maria Trattoria e Pizzeria;1592 1st Avenue;East 80s;New York;NY;;;
Anna's;268 E 10th St;East Village;New York;NY;;;
Annisa;13 Barrow St;Greenwich Village;New York;NY;American;$$$$$;(212-741-6699)
Anthos;36 W 52nd St;West 50s;New York;NY;Mediterranean / Greek;$$$$;(212-582-6900)
Anyway Cafe;34 E 2nd St;East Village;New York;NY;Russian;;(212-473-5021)
Apiary;60 3rd Ave;East Village;New York;NY;American;$$$$;(212-254-0888)
Apizz;217 Eldridge St;East Village;New York;NY;Italian;$$$;(212-253-9199)
Aquagrill;210 Spring St;Soho;New York;NY;Seafood;$$$$;(212-274-0505)
Aquavit;65 E 55th St;East 50s;New York;NY;Scandinavian / Eclectic;$$$$;(212-307-7311)
Arka Lounge;4488 Broadway;Washington Heights;New York;NY;;;
Arno Ristorante;141 W 38th St;Garment District;New York;NY;;;
Arqua;281 Church St;Tribeca;New York;NY;Italian;$$$;(212-334-1888)
Artichoke Basille's Pizza & Brewery;328 E 14th St;East Village;New York;NY;Italian;;(212-228-2004)
Artie's;2290 Broadway;West 80s;New York;NY;;;
Artisanal;2 Park Ave 20th floor;Murray Hill;New York;NY;French;;(212-725-8585)
Arturo's Pizza;1610 York Ave;East 80s;New York;NY;;;
Ashkara;189 E Houston St;Lower East Side;New York;NY;;;
Asia De Cuba;237 Madison Ave;Murray Hill;New York;NY;Asian;$$$$;
Assenzio;205 E 4th St;East Village;New York;NY;Italian;;(212-677-9466)
Atelier, Ritz-Carlton Hotel;50 Central Park S;West 50s;New York;NY;;;
Atomic Wings;184 1st Avenue;East Village;New York;NY;American;;(212-505-7272)
Atria;13 W 54th St;West 50s;New York;NY;Eclectic;;(212-262-4600)
Au Mandarin;200 Vesey Street 3 World Financial Center 24 Floor;Battery Park City;New York;NY;;;
August;359 Bleecker St;West Village;New York;NY;European / Eclectic;$$$;(212-929-4774)
Avra;141 E 48th St;East 40s;New York;NY;Greek;;(212-759-8550)
Awash;338 E 6th St;East Village;New York;NY;African: Ethiopian;;(212-982-9589)
Azul Bistro;152 Stanton St;Lower East Side;New York;NY;;;
Azuri Café;465 W 51st St;West 50s;New York;NY;Jewish;$;
B & H Dairy Restaurant;127 2nd Ave;East Village;New York;NY;;;
B Bar & Grill;40 E 4th St;East Village;New York;NY;American;;(212-475-2220)
B Cup;212 Avenue B;East Village;New York;NY;;;
B'un;143 Grand St;Chinatown;New York;NY;Vietnamese;;(212-431-7999)
B-Bap Fusion Rice Bar;830 9th Ave;West 50s;New York;NY;Korean;;(212-315-0033)
B. Cafe;240 E 75th St;East 80s;New York;NY;Belgian;;(212-249-3300)
B. Smith Restaurant;W 48th St & 8th Ave;West 40s;New York;NY;;;
BB Sandwich Bar;120 W 3rd St;Greenwich Village;New York;NY;American;$;(212-473-7500)
BBQ;261 8th Ave;Chelsea;New York;NY;;;
BBQ;1265 3rd Ave;East 70s;New York;NY;;;
BBQ;3965 Broadway;Washington Heights;New York;NY;;;
BG Restaurant;754 5th Ave 7th Fl;West 50s;New York;NY;;;
BLT Burger;470 6th Ave;West Village;New York;NY;American;;(212-243-8226)
BLT Fish;21 W 17th St;Chelsea;New York;NY;Seafood;$$;(212-691-8888)
BLT Market;1430 6th Ave;West 50s;New York;NY;;;
BLT Prime;111 E 22nd St;Murray Hill;New York;NY;American / Steakhouses;$$$$;(212-995-8500)
BLT Steak;106 E 57th St;East 50s;New York;NY;Steakhouse;$$$$$;(212-752-7470)
BLVD - Bowery Bistro;199 Bowery;East Village;New York;NY;;;
Babbo;110 Waverly Pl;West Village;New York;NY;Italian;$$$$;(212-777-0303)
Babbo Ristorante e Enoteca;110 Waverly Pl;Greenwich Village;New York;NY;;;
BabyCakes NYC;248 Broome St;Lower East Side;New York;NY;;;
Bacaro;136 Division St;Lower East Side;New York;NY;Italian;;(212-941-5060)
Back Forty;190 Avenue B;East Village;New York;NY;American;;(212-388-1990)
Baldoria;249 W 49th St;West 40s;New York;NY;Italian;$$$$;(212-582-0460)
Bali Nusa Indah;651 9th Ave;West 40s;New York;NY;Indonesian / Asian: Indonesian;;(212-974-1875)
Balkh Kebab & Restaurant;789 9th Ave;West 50s;New York;NY;;;
Ballato;55 E Houston St;Nolita;New York;NY;;;
Balthazar;80 Spring St;Soho;New York;NY;French;$$$;(212-965-1414)
Baluchi's;90 W 3rd St;Greenwich Village;New York;NY;;;
Baluchi's;275 Greenwich St;Financial District;New York;NY;Indian;;(212-571-5343)
Baluchi's;240 W 56th St;West 50s;New York;NY;Indian;;(212-397-0707)
Baluchi's;361 6th Ave;West Village;New York;NY;Indian;;(212-929-2441)
Baluchi's;193 Spring St;Soho;New York;NY;Indian;;(212-226-2828)
Baluchi's;1724 2nd Ave;East 90s;New York;NY;Indian;;(212-996-2600)
Baluchi's;329 3rd Ave;Murray Hill;New York;NY;Indian;;(212-679-3434)
Baluchi's;1565 2nd Ave;East 80s;New York;NY;Indian;;(212-288-4810)
Baluchi's;111 E 29th St;Murray Hill;New York;NY;;;
Bambou;243 E 14th St;East Village;New York;NY;;;
Bamiyan;358 3rd Ave;Gramercy Park;New York;NY;Afghan;;(212-481-3232)
Bamn!;37 St Marks Pl;Soho;New York;NY;Eclectic;;(888-400-2266)
Banh Mi So 1;369 Broome St;Soho;New York;NY;;;
Banjara;97 1st Avenue;East Village;New York;NY;Indian;$$;(212-477-5956)
Bann;350 W 50th St;West 50s;New York;NY;Korean;$$$;(212-582-4446)
Baoguette;61 Lexington Ave;Flatiron;New York;NY;Vietnamese;;(212-518-4089)
Bar Americain;152 W 52nd St;West 50s;New York;NY;American;$$$$;(212-265-9700)
Bar Baresco;191 7th Ave;Chelsea;New York;NY;Italian;;(212-675-5935)
Bar Boulud;1900 Broadway;West 60s;New York;NY;French;;(212-595-0303)
Bar Breton;254 5th Ave;Chelsea;New York;NY;French;;(212-213-4999)
Bar Masa;10 Columbus Cir;West 60s;New York;NY;;;
Bar Milano;323 3rd Ave;Gramercy Park;New York;NY;Italian;;(212-683-3035)
Bar Pitti;268 6th Ave;West Village;New York;NY;Italian;$$;(212-982-3300)
Bar Q;308 Bleecker St;West Village;New York;NY;Eclectic;;(212-206-7817)
Bar Six;502 6th Ave;West Village;New York;NY;;;
Bar Stuzzichini;928 Broadway;Flatiron;New York;NY;Italian;;(212-780-5100)
Bar Veloce;175 2nd Ave;East Village;New York;NY;;;
Barbone;186 Avenue B;East Village;New York;NY;;;
Barney Greengrass;541 Amsterdam Ave;West 80s;New York;NY;Deli / American;$;(212-724-4707)
Barrio Chino;253 Broome St;Lower East Side;New York;NY;;;
Belcourt;84 E 4th St;East Village;New York;NY;Mediterranean;;(212-979-2034)
Bella Napoli;130 Madison Ave;Murray Hill;New York;NY;;;
Bello's;130 St Marks Pl;East Village;New York;NY;;;
Bennie's;88 Fulton St;Financial District;New York;NY;;;
Benny's Burritos;93 Avenue A;East Village;New York;NY;;;
Benoit;60 W 55th St;West 50s;New York;NY;French;;(646-943-7373)
Beppe;45 E 22nd St;Flatiron;New York;NY;Italian;$$$;(212-982-8422)
Bereket;187 E Houston St;Lower East Side;New York;NY;Turkish;;(212-475-7700)
Berry Bistro;430 E 14th St;East Village;New York;NY;American Creative;;(646-695-4244)
Beyoglu;1431 3rd Ave;East 80s;New York;NY;Mediterranean / Turkish;$$;(212-650-0850)
Bianca;5 Bleecker St;Greenwich Village;New York;NY;Italian;$$;(212-260-4666)
Big Arc Chicken;233 1st Avenue;East Village;New York;NY;;;
Big Daddy's Diner;239 Park Ave S;Flatiron;New York;NY;Cafés & diners;;(212-477-1500)
Big Daddy's Diner;1596 2nd Ave;East 80s;New York;NY;Cafés & diners;;(212-717-2020)
Birdies;149 1st Avenue;East Village;New York;NY;;;
Biscuit BBQ;230 5th Ave;West 40s;New York;NY;;;
Bistrouge;432 E 13th St;East Village;New York;NY;Eclectic;;(212-677-2200)
Bite;335 Lafayette St;Soho;New York;NY;;;
Bite Me Best;138 Loisaida Ave;East Village;New York;NY;;;
Black Iron Burger;540 E 5th St;East Village;New York;NY;American;$$$;
Black Iron Burger Shop;540 E 5th St;East Village;New York;NY;American;$$$;
Blaue Gans;139 Duane St;Tribeca;New York;NY;German / Austrian;$$$;(212-571-8880)
Bleecker Street Pizza;69 7th Ave S;West Village;New York;NY;;;
Blue 9 Burger;92 3rd Ave;East Village;New York;NY;American / Cafés & diners;$;(212-979-0053)
Blue Fin;1567 Broadway;West 40s;New York;NY;Seafood;$$$;
Blue Hill;75 Washington Pl;West Village;New York;NY;American;$$$$;(212-539-1776)
Blue Owl;196 2nd Ave;East Village;New York;NY;;;
Blue Ribbon Bakery;33 Downing St;West Village;New York;NY;American / Eclectic;$$;(212-337-0404)
Blue Ribbon Brasserie;97 Sullivan St;Soho;New York;NY;American;$$$;(212-274-0404)
Blue Ribbon Sushi;119 Sullivan St;Soho;New York;NY;Sushi / Japanese;$$$;(212-343-0404)
Blue Smoke;116 E 27th St;Murray Hill;New York;NY;Barbecue;$$;(212-447-7733)
Blue Water Grill;31 Union Square W;Union Square;New York;NY;Seafood;$$$;(212-675-9500)
Boat Basin Café;E 79th St;West 70s;New York;NY;;;
Bocca;39 E 19th St;Greenwich Village;New York;NY;Italian;;(212-387-1200)
Boi To Go;800 2nd Ave;East 40s;New York;NY;Vietnamese;$$;
Boka;9 St Marks Pl;East Village;New York;NY;Korean;;(212-228-2887)
Bombay Talkie;189 9th Ave;Chelsea;New York;NY;Indian;$$;(212-242-1900)
BonBon Chicken;98 Chambers St;Financial District;New York;NY;Korean;;(212-227-2375)
BonChon Chicken;314 5th Ave 2nd Fl;Chelsea;New York;NY;;;
Bona Fides;60 2nd Ave;East Village;New York;NY;;;
Bond St;6 Bond St;Nolita;New York;NY;Japanese;$$$$;(212-777-2500)
Bond Street Restaurant;6 Bond St;Greenwich Village;New York;NY;;;
Bondi Road;153 Rivington St;East Village;New York;NY;Australian;$$;(212-253-5311)
Bongo;299 10th Ave;Chelsea;New York;NY;Seafood;;(212-947-3654)
Bonjoo;107 1st Avenue;East Village;New York;NY;Korean;;(212-505-7974)
Boqueria;53 W 19th St;Chelsea;New York;NY;Spanish;$$$;(212-255-4160)
Borgo Antico;22 E 13th St;Union Square;New York;NY;Italian;$$$;(212-807-1313)
Bottino;246 10th Ave;Chelsea;New York;NY;Italian;$$$;
Boucarou Lounge;64 E 1st St;East Village;New York;NY;;;
Bouchon Bakery;10 Columbus Cir;West 50s;New York;NY;;;
Bouley Bakery & Market;130 W Broadway;Tribeca;New York;NY;;;
Bounce Deuce;103 2nd Ave;East Village;New York;NY;;;
Bourgeois Pig Cafe;122 E 7th St;East Village;New York;NY;;;
Bowery Wine Company;13 E 1st St;East Village;New York;NY;;;
Brasserie Les Halles;411 Park Ave S;Gramercy Park;New York;NY;;;
Brasserie Ruhlmann;45 Rockefeller Plaza;West 40s;New York;NY;French;;(212-974-2020)
Bread;301 Church St;Tribeca;New York;NY;;;
Bread Tribeca;301 Church St;Tribeca;New York;NY;Italian;;(212-334-8282)
Bread and Olive;24 W 45th St;West 40s;New York;NY;Middle Eastern;;(212-764-1588)
Brick Lane Curry House;306 E 6th St #308;East Village;New York;NY;;;
Broadway East;171 E Broadway;East Village;New York;NY;American / Vegetarian & Organic;$$$;(212-228-3100)
Bruschetteria;92 Rivington St;East Village;New York;NY;Cafés;;(646-415-8681)
Bubby's;120 Hudson St;Tribeca;New York;NY;American;$;(212-219-0666)
Buddakan;75 9th Ave;Meatpacking District;New York;NY;Fusion / Chinese;$$$$;(212-989-6699)
Buenos Aires;513 E 6th St;East Village;New York;NY;Argentinean;$$;(212-228-2775)
Bun Soho;143 Grand St;Soho;New York;NY;;;
Burger Creations;52 E 8th St;East Village;New York;NY;American;;(212-539-1909)
Burger Heaven;20 E 49th St;East 40s;New York;NY;American;;(212-755-2166)
Burger Heaven;804 Lexington Ave;East 60s;New York;NY;;;
Burger Heaven;9 E 53rd St;East 50s;New York;NY;American;;(212-752-0340)
Burger Heaven;291 Madison Ave;Murray Hill;New York;NY;American;;(212-685-6250)
Burger Heaven;536 Madison Ave;East 50s;New York;NY;American;;(212-753-4214)
Burger Joint;241 3rd Ave;East Village;New York;NY;;;
Burger Joint;118 W 56th St;West 50s;New York;NY;;;
Burger and Gyro Express;442 E 14th St;East Village;New York;NY;;;
Butcher Bay;511 E 5th St;East Village;New York;NY;;;
Butter Lane Cupcakes;123 E 7th St;East Village;New York;NY;American;;(212-677-2880)
Butter Restaurant;415 Lafayette St;Greenwich Village;New York;NY;;;
C & F Restaurant;171 Hester St;Chinatown;New York;NY;;;
Cabrito;50 Carmine St;Soho;New York;NY;Fusion / Mexican;;(212-929-5050)
Cacio e Pepe;182 2nd Ave;East Village;New York;NY;Italian;$$;(212-505-5931)
Cacio e Vino;80 2nd Ave;East Village;New York;NY;Italian;;(212-228-3269)
Cafe 81;81 E 7th St;East Village;New York;NY;;;
Cafe Addis;435 W 125th St;Morningside Heights;New York;NY;;;
Cafe Boulud;20 E 76th St;East 70s;New York;NY;French;$$$$;(212-772-2600)
Cafe Brama;157 2nd Ave;East Village;New York;NY;;;
Cafe Centosette;160 2nd Ave;East Village;New York;NY;;;
Cafe Cortadito;210 E 3rd St;East Village;New York;NY;;;
Cafe Gitane;242 Mott St;Little Italy;New York;NY;French / Moroccan;$;(212-334-9552)
Cafe Habana;229 Elizabeth St;Little Italy;New York;NY;Cuban / Caribbean: Cuban;$;(212-625-2002)
Cafe Himalaya;78 E 1st St;East Village;New York;NY;Asian: Tibetan;;(212-358-0160)
Cafe Katja;79 Orchard St;East Village;New York;NY;Eastern European;;(212-219-9545)
Cafe Mocha;116 2nd Ave;East Village;New York;NY;;;
Cafe Orlin;39 St Marks Inc;East Village;New York;NY;;;
Cafe Petisco;189 E Broadway;East Village;New York;NY;;;
Cafe Sabarsky;1048 5th Ave;East 80s;New York;NY;Austrian;$$;
Cafe Zaiya;18 E 41st St;East 40s;New York;NY;;;
Cafe con Leche;424 Amsterdam Ave;West 90s;New York;NY;Caribbean;;(212-595-7000)
Cafecito;185 Loisaida Ave;East Village;New York;NY;Caribbean: Cuban;;(212-253-9966)
Cafetasia;38 E 8th St;Greenwich Village;New York;NY;Asian: Pan-Asian;;(212-529-2363)
Cafeteria;119 7th Ave;Chelsea;New York;NY;American;$;(212-414-1717)
Caffe Capri;165 Church St;Tribeca;New York;NY;;;
Caffe Emilia;139 1st Avenue;East Village;New York;NY;Italian;;(212-388-1234)
Caffe Falai;265 Lafayette St;Soho;New York;NY;Cafés & diners;;(917-338-6207)
Caffe Grazie;26 E 84th St;East 80s;New York;NY;;;
Caffe Linda;145 E 49th St;East 40s;New York;NY;;;
Caffe Novecento;343 W Broadway;Soho;New York;NY;;;
Caffe Pepe Rosso;127 Loisaida Ave;East Village;New York;NY;;;
Café DeVille;103 3rd Ave;East Village;New York;NY;French;;(212-477-4500)
Café Edison;228 W 47th St;West 40s;New York;NY;;;
Café Habana;229 Elizabeth St;Greenwich Village;New York;NY;Cuban;$;
Café Loup;105 W 13th St;West Village;New York;NY;French;$$$;(212-255-4746)
Café Mogador;101 St Marks Pl;East Village;New York;NY;Moroccan;$;(212-677-2226)
Café Rakka;38 Avenue B;East Village;New York;NY;;;
Café Spice;72 University Pl;Greenwich Village;New York;NY;nan / Indian;;(212-253-6999)
Café Spice;54 W 55th St;West 50s;New York;NY;Indian;;(212-489-7444)
Café Spice Express;89 E 42nd St;East 40s;New York;NY;;;
Café Zaiya;69 Cooper Sq;East Village;New York;NY;;;
Café con Leche;726 Amsterdam Ave;West 90s;New York;NY;;;
Café des Artistes;1 W 67th St;West 60s;New York;NY;French;$$$;(212-877-3500)
Café el Portal;174 Elizabeth St;Nolita;New York;NY;Mexican;;(212-226-4642)
Calcutta;324 E 6th St;East Village;New York;NY;;;
Calidad Latina;132 9th Ave;Chelsea;New York;NY;;;
CamaJe;85 MacDougal St;Greenwich Village;New York;NY;American / French;$$;(212-673-8184)
Cambodian Cuisine;1664 3rd Ave;East 90s;New York;NY;;;
Candela Candela;92 2nd Ave;East Village;New York;NY;;;
Cannonau (fka Assenzio);205 E 4th St;East Village;New York;NY;;;
Cantinetta;260 6th Ave;West Village;New York;NY;;;
Cantoon Garden;22 Elizabeth St;Chinatown;New York;NY;;;
Captain's Café;34 E 32nd St;Murray Hill;New York;NY;;;
Caracas Arepa Bar;91 E 7th St;East Village;New York;NY;South American / Latin American: Venezuelan;$;(212-228-5062)
Caravan of Dreams;405 E 6th St;East Village;New York;NY;Vegetarian & Organic;;(212-254-1613)
Caridad;4799 Broadway;Inwood;New York;NY;;;
Caridad La Original;588 Amsterdam Ave;West 80s;New York;NY;;;
Caridad Restaurant;18 E 33rd St;Murray Hill;New York;NY;;;
Carl's Steaks;507 3rd Ave;Murray Hill;New York;NY;American;;(212-696-5336)
Carmine's;200 W 44th St;West 40s;New York;NY;Italian;;(212-221-3800)
Carne;2737 Broadway;West 100s;New York;NY;;;
Carnegie Delicatessen;854 7th Ave;West 50s;New York;NY;Deli / American;$;(212-757-2245)
Carve;760 8th Ave;West 40s;New York;NY;;;
Casa Adela;66 Loisaida Ave;East Village;New York;NY;Caribbean: Puerto Rican;;(212-473-1882)
Casa Havana;190 8th Ave;West Village;New York;NY;;;
Casa La Femme;140 Charles St;Greenwich Village;New York;NY;Middle Eastern: Egyptian;;(212-505-0005)
Casa Mono;52 Irving Pl;Flatiron;New York;NY;;;
Casanis;81 Ludlow St;East Village;New York;NY;French;;(212-677-9383)
Casimir;103 Avenue B;East Village;New York;NY;French;$$;(212-358-9683)
Celeste;502 Amsterdam Ave;West 80s;New York;NY;Italian;$$;(212-874-4559)
Centovini;25 W Houston St;Soho;New York;NY;Italian;;(212-219-2113)
Centro Español La Nacional;239 W 14th St;Chelsea;New York;NY;;;
Centro Vinoteca;74 7th Ave S;West Village;New York;NY;Italian;;(212-367-7470)
CentroPizze;201 E 10th St;East Village;New York;NY;Italian;;(212-420-5933)
Cha An Japanese Tea House;230 E 9th St;East Village;New York;NY;;;
Cha-An;230 E 9th St;East Village;New York;NY;;;
Chanoodle;79 Mulberry St;Tribeca;New York;NY;Chinese;;(212-349-1495)
Charles' Southern Style Kitchen;2839 Frederick Douglass Blvd;Harlem;New York;NY;;;
Chat 'n' Chew;10 E 16th St;Union Square;New York;NY;American;$;(212-243-1616)
Cheesy Pizza;2640 Broadway;West 100s;New York;NY;;;
Chelsea Bistro and Bar;358 W 23rd St;Chelsea;New York;NY;;;
Chelsea Thai Wholesale;75 9th Ave;Chelsea;New York;NY;;;
Chennai Garden;129 E 27th St;Murray Hill;New York;NY;Indian;$;(212-689-1999)
Cherin Sushi;306 E 6th St;East Village;New York;NY;;;
Chez Betty Cafe;256 E 3rd St;East Village;New York;NY;;;
Chez Napoleon;365 W 50th St;West 50s;New York;NY;French;;(212-265-6980)
Chickpea;210 E 14th St;East Village;New York;NY;Kosher;;(212-254-9500)
Chikalicious;203 E 10th St;East Village;New York;NY;American / Cafés & diners;$;(212-995-9511)
Chikalicious Dessert Bar;203 E 10th St;East Village;New York;NY;American / Cafés & diners;$;(212-995-9511)
Chimichurri Grill;606 9th Ave;West 40s;New York;NY;South American / Argentine;$$$;(212-586-8655)
China 1 Restaurant and Lounge;50 Avenue B;East Village;New York;NY;;;
China North Dumpling;15 Essex St;Chinatown;New York;NY;;;
China Town;250 E Houston St;Chinatown;New York;NY;;;
Chinese Food;25B Henry St;Chinatown;New York;NY;;;
Chinese Mirch;120 Lexington Ave;Murray Hill;New York;NY;Chinese;;(212-532-3663)
Chipotle;19 St Marks Pl;East Village;New York;NY;;;
Chiyono;328 E 6th St;Greenwich Village;New York;NY;Japanese;$$;(212-673-3984)
Cho Cho San;15 W 8th St;West Village;New York;NY;Japanese;;(212-473-3333)
Cho Dang Gol;55 W 35th St;Chelsea;New York;NY;Korean;$;(212-695-8222)
Chocolate Bar;127 E 7th St;East Village;New York;NY;Cafés & diners;;(212-366-1541)
Chocolate Bar at Henri Bendel;712 Fifth Avenue;West 50s;New York;NY;;;
Chola;232 E 58th St;East 50s;New York;NY;Indian;$$;(212-688-4619)
Chomp;250 E 14th St;East Village;New York;NY;;;
Chop Suey;714 7th Ave;West 40s;New York;NY;Korean;;(212-261-5200)
