TimeOut	#1 Farmer’s Market	1458 Second Ave,  at 76th St,  Upper East Side,  (212-396-2626) 
TimeOut	10 Downing Food & Wine   	10 Downing St,  at Sixth Ave,  West Village,  (212-255-0300) 	 American Creative 
TimeOut	1492 Food	60 Clinton St,  between Rivington and Stanton Sts,  Lower East Side,  (646-654-1114) 
TimeOut	1492 Food	Spanish 	60 Clinton St,  between Rivington and Stanton Sts,  Lower East Side,  (646-654-1114) 
TimeOut	1492 Food 	60 Clinton St,  between Rivington and Stanton Sts,  Lower East Side,  (646-654-1114) 
TimeOut	1492 Food 	Spanish 	60 Clinton St,  between Rivington and Stanton Sts,  Lower East Side,  (646-654-1114) 
TimeOut	1492 Food   	60 Clinton St,  between Rivington and Stanton Sts,  Lower East Side,  (646-654-1114) 	 Spanish 
TimeOut	15 East	15 E 15th St,  between Fifth Ave and Union Sq West,  Gramercy/Flatiron,  (212-647-0015) 
TimeOut	15 East	Japanese 	15 E 15th St,  between Fifth Ave and Union Sq West,  Gramercy/Flatiron,  (212-647-0015) 
TimeOut	15 East 	15 E 15th St,  between Fifth Ave and Union Sq West,  Gramercy/Flatiron,  (212-647-0015) 
TimeOut	15 East 	Japanese 	15 E 15th St,  between Fifth Ave and Union Sq West,  Gramercy/Flatiron,  (212-647-0015) 
TimeOut	15 East   	15 E 15th St,  between Fifth Ave and Union Sq West,  Gramercy/Flatiron,  (212-647-0015) 	 Japanese 
TimeOut	2 West	Ritz-Carlton Battery Park Hotel, 2 West St,  at Battery Pl,  Financial District,  (917-790-2525) 
TimeOut	2 West	Steakhouses 	Ritz-Carlton Battery Park Hotel, 2 West St,  at Battery Pl,  Financial District,  (917-790-2525) 
TimeOut	2 West 	Ritz-Carlton Battery Park Hotel, 2 West St,  at Battery Pl,  Financial District,  (917-790-2525) 
TimeOut	2 West 	Steakhouses 	Ritz-Carlton Battery Park Hotel, 2 West St,  at Battery Pl,  Financial District,  (917-790-2525) 
TimeOut	2 West   	Ritz-Carlton Battery Park Hotel, 2 West St,  at Battery Pl,  Financial District,  (917-790-2525) 	 Steakhouses 
TimeOut	202 at Chelsea Market	75 Ninth Ave,  at 16th St,  Chelsea,  (646-638-0115) 
TimeOut	202 at Chelsea Market	British & Irish 	75 Ninth Ave,  at 16th St,  Chelsea,  (646-638-0115) 
TimeOut	202 at Chelsea Market 	75 Ninth Ave,  at 16th St,  Chelsea,  (646-638-0115) 
TimeOut	202 at Chelsea Market 	British & Irish 	75 Ninth Ave,  at 16th St,  Chelsea,  (646-638-0115) 
TimeOut	202 at Chelsea Market   	75 Ninth Ave,  at 16th St,  Chelsea,  (646-638-0115) 	 British & Irish 
TimeOut	212 Restaurant & Bar	133 E 65th St,  between Park and Lexington Aves,  Upper East Side,  (212-249-6565) 
TimeOut	212 Restaurant & Bar	American Creative 	133 E 65th St,  between Park and Lexington Aves,  Upper East Side,  (212-249-6565) 
TimeOut	212 Restaurant & Bar 	133 E 65th St,  between Park and Lexington Aves,  Upper East Side,  (212-249-6565) 
TimeOut	212 Restaurant & Bar 	American Creative 	133 E 65th St,  between Park and Lexington Aves,  Upper East Side,  (212-249-6565) 
TimeOut	212 Restaurant & Bar   	133 E 65th St,  between Park and Lexington Aves,  Upper East Side,  (212-249-6565) 	 American Creative 
TimeOut	24 Prince	24 Prince St,  between Elizabeth and Mott Sts ,  Chinatown/Little Italy,  (212-226-8624) 
TimeOut	24 Prince	American 	24 Prince St,  between Elizabeth and Mott Sts ,  Chinatown/Little Italy,  (212-226-8624) 
TimeOut	24 Prince 	24 Prince St,  between Elizabeth and Mott Sts ,  Chinatown/Little Italy,  (212-226-8624) 
TimeOut	24 Prince 	American 	24 Prince St,  between Elizabeth and Mott Sts ,  Chinatown/Little Italy,  (212-226-8624) 
TimeOut	24 Prince   	24 Prince St,  between Elizabeth and Mott Sts ,  Chinatown/Little Italy,  (212-226-8624) 	 American 
TimeOut	26 Seats	168 Ave B,  between 10th and 11th Sts,  East Village,  (212-677-4787) 
TimeOut	26 Seats	French 	168 Ave B,  between 10th and 11th Sts,  East Village,  (212-677-4787) 
TimeOut	26 Seats 	168 Ave B,  between 10th and 11th Sts,  East Village,  (212-677-4787) 
TimeOut	26 Seats 	French 	168 Ave B,  between 10th and 11th Sts,  East Village,  (212-677-4787) 
TimeOut	26 Seats   	168 Ave B,  between 10th and 11th Sts,  East Village,  (212-677-4787) 	 French 
TimeOut	2nd Ave Deli	162 E 33rd St,  between Lexington and Third Aves,  Midtown East,  (212-698-9000) 
TimeOut	2nd Ave Deli	American 	162 E 33rd St,  between Lexington and Third Aves,  Midtown East,  (212-698-9000) 
TimeOut	2nd Ave Deli 	162 E 33rd St,  between Lexington and Third Aves,  Midtown East,  (212-698-9000) 
TimeOut	2nd Ave Deli 	American 	162 E 33rd St,  between Lexington and Third Aves,  Midtown East,  (212-698-9000) 
TimeOut	2nd Ave Deli   	162 E 33rd St,  between Lexington and Third Aves,  Midtown East,  (212-698-9000) 	 American 
TimeOut	33 Ristorante	196 Eighth Ave,  at 20th St,  Chelsea,  (212-242-4551) 
TimeOut	33 Ristorante	Italian 	196 Eighth Ave,  at 20th St,  Chelsea,  (212-242-4551) 
TimeOut	33 Ristorante 	196 Eighth Ave,  at 20th St,  Chelsea,  (212-242-4551) 
TimeOut	33 Ristorante 	Italian 	196 Eighth Ave,  at 20th St,  Chelsea,  (212-242-4551) 
TimeOut	33 Ristorante   	196 Eighth Ave,  at 20th St,  Chelsea,  (212-242-4551) 	 Italian 
TimeOut	44 & X Hell’s Kitchen	622 Tenth Ave,  at 44th St,  Midtown West,  (212-977-1170) 
TimeOut	44 & X Hell’s Kitchen	American 	622 Tenth Ave,  at 44th St,  Midtown West,  (212-977-1170) 
TimeOut	44 & X Hell’s Kitchen 	622 Tenth Ave,  at 44th St,  Midtown West,  (212-977-1170) 
TimeOut	44 & X Hell’s Kitchen 	American 	622 Tenth Ave,  at 44th St,  Midtown West,  (212-977-1170) 
TimeOut	44 & X Hell’s Kitchen   	622 Tenth Ave,  at 44th St,  Midtown West,  (212-977-1170) 	 American 
TimeOut	44 1/2	626 Tenth Ave,  between 44th and 45th Sts,  Midtown West,  (212-399-4450) 
TimeOut	44 1/2	Cafés & diners 	626 Tenth Ave,  between 44th and 45th Sts,  Midtown West,  (212-399-4450) 
TimeOut	44 1/2   	626 Tenth Ave,  between 44th and 45th Sts,  Midtown West,  (212-399-4450) 	 Cafés & diners 
TimeOut	44 Southwest	621 Ninth Ave,  at 44th St,  Midtown West,  (212-315-4582) 
TimeOut	44 Southwest	Italian 	621 Ninth Ave,  at 44th St,  Midtown West,  (212-315-4582) 
TimeOut	44 Southwest 	621 Ninth Ave,  at 44th St,  Midtown West,  (212-315-4582) 
TimeOut	44 Southwest 	Italian 	621 Ninth Ave,  at 44th St,  Midtown West,  (212-315-4582) 
TimeOut	44 Southwest   	621 Ninth Ave,  at 44th St,  Midtown West,  (212-315-4582) 	 Italian 
TimeOut	4fusion (CLOSED)	132 W 58th St,  between Sixth and Seventh Aves,  Midtown West,  (212-247-8887) 
TimeOut	4fusion (CLOSED)	Eclectic 	132 W 58th St,  between Sixth and Seventh Aves,  Midtown West,  (212-247-8887) 
TimeOut	4fusion (CLOSED) 	132 W 58th St,  between Sixth and Seventh Aves,  Midtown West,  (212-247-8887) 
TimeOut	4fusion (CLOSED) 	Eclectic 	132 W 58th St,  between Sixth and Seventh Aves,  Midtown West,  (212-247-8887) 
TimeOut	4fusion (CLOSED)   	132 W 58th St,  between Sixth and Seventh Aves,  Midtown West,  (212-247-8887) 	 Eclectic 
TimeOut	5 Napkin Burger	630 Ninth Ave,  at 45th St,  Midtown West,  (212-757-2277) 
TimeOut	5 Napkin Burger	American 	630 Ninth Ave,  at 45th St,  Midtown West,  (212-757-2277) 
TimeOut	5 Napkin Burger 	630 Ninth Ave,  at 45th St,  Midtown West,  (212-757-2277) 
TimeOut	5 Napkin Burger 	American 	630 Ninth Ave,  at 45th St,  Midtown West,  (212-757-2277) 
TimeOut	5 Napkin Burger   	630 Ninth Ave,  at 45th St,  Midtown West,  (212-757-2277) 	 American 
TimeOut	5 Ninth	5 Ninth Ave,  between Gansevoort and Little W 12th St,  Meatpacking District,  (212-929-9460) 
TimeOut	5 Ninth	Eclectic 	5 Ninth Ave,  between Gansevoort and Little W 12th St,  Meatpacking District,  (212-929-9460) 
TimeOut	5 Ninth 	5 Ninth Ave,  between Gansevoort and Little W 12th St,  Meatpacking District,  (212-929-9460) 
TimeOut	5 Ninth 	Eclectic 	5 Ninth Ave,  between Gansevoort and Little W 12th St,  Meatpacking District,  (212-929-9460) 
TimeOut	5 Ninth   	5 Ninth Ave,  between Gansevoort and Little W 12th St,  Meatpacking District,  (212-929-9460) 	 Eclectic 
TimeOut	508	508 Greenwich St,  between Canal and Spring Sts,  Soho,  (212-219-2444) 
TimeOut	508	Mediterranean 	508 Greenwich St,  between Canal and Spring Sts,  Soho,  (212-219-2444) 
TimeOut	508   	508 Greenwich St,  between Canal and Spring Sts,  Soho,  (212-219-2444) 	 Mediterranean 
TimeOut	540 Park	American 	Loews Regency Hotel, 540 Park Ave,  at 61st St,  Midtown East,  (212-339-4050) 
TimeOut	540 Park	Loews Regency Hotel, 540 Park Ave,  at 61st St,  Midtown East,  (212-339-4050) 
TimeOut	540 Park 	American 	Loews Regency Hotel, 540 Park Ave,  at 61st St,  Midtown East,  (212-339-4050) 
TimeOut	540 Park 	Loews Regency Hotel, 540 Park Ave,  at 61st St,  Midtown East,  (212-339-4050) 
TimeOut	540 Park   	Loews Regency Hotel, 540 Park Ave,  at 61st St,  Midtown East,  (212-339-4050) 	 American 
TimeOut	66 (CLOSED)	241 Church St,  between Leonard and Worth Sts,  Tribeca,  (212-925-0202) 
TimeOut	66 (CLOSED)	Chinese 	241 Church St,  between Leonard and Worth Sts,  Tribeca,  (212-925-0202) 
TimeOut	66 (CLOSED) 	241 Church St,  between Leonard and Worth Sts,  Tribeca,  (212-925-0202) 
TimeOut	66 (CLOSED) 	Chinese 	241 Church St,  between Leonard and Worth Sts,  Tribeca,  (212-925-0202) 
TimeOut	66 (CLOSED)   	241 Church St,  between Leonard and Worth Sts,  Tribeca,  (212-925-0202) 	 Chinese 
TimeOut	71 Clinton Fresh Food (CLOSED)	71 Clinton St,  between Rivington and Stanton Sts,  Lower East Side,  (212-614-6960) 
TimeOut	71 Clinton Fresh Food (CLOSED)	American Creative 	71 Clinton St,  between Rivington and Stanton Sts,  Lower East Side,  (212-614-6960) 
TimeOut	71 Clinton Fresh Food (CLOSED) 	71 Clinton St,  between Rivington and Stanton Sts,  Lower East Side,  (212-614-6960) 
TimeOut	71 Clinton Fresh Food (CLOSED) 	American Creative 	71 Clinton St,  between Rivington and Stanton Sts,  Lower East Side,  (212-614-6960) 
TimeOut	71 Clinton Fresh Food (CLOSED)   	71 Clinton St,  between Rivington and Stanton Sts,  Lower East Side,  (212-614-6960) 	 American Creative 
TimeOut	7A	109 Ave A,  at 7th St,  East Village,  (212-673-6583) 
TimeOut	7A	American 	109 Ave A,  at 7th St,  East Village,  (212-673-6583) 
TimeOut	7A 	109 Ave A,  at 7th St,  East Village,  (212-673-6583) 
TimeOut	7A 	American 	109 Ave A,  at 7th St,  East Village,  (212-673-6583) 
TimeOut	7A   	109 Ave A,  at 7th St,  East Village,  (212-673-6583) 	 American 
TimeOut	809 Sangria Bar and Grill	112 Dyckman St,  between Nagle and Sherman Aves,  Inwood,  (212-304-3800) 
TimeOut	809 Sangria Bar and Grill	Caribbean: Dominican 	112 Dyckman St,  between Nagle and Sherman Aves,  Inwood,  (212-304-3800) 
TimeOut	809 Sangria Bar and Grill 	112 Dyckman St,  between Nagle and Sherman Aves,  Inwood,  (212-304-3800) 
TimeOut	809 Sangria Bar and Grill 	Caribbean: Dominican 	112 Dyckman St,  between Nagle and Sherman Aves,  Inwood,  (212-304-3800) 
TimeOut	809 Sangria Bar and Grill   	112 Dyckman St,  between Nagle and Sherman Aves,  Inwood,  (212-304-3800) 	 Caribbean: Dominican 
TimeOut	88 Orchard	88 Orchard St,  between Broome and Grand Sts,  Lower East Side,  (212-228-8880) 
TimeOut	88 Orchard	Cafés 	88 Orchard St,  between Broome and Grand Sts,  Lower East Side,  (212-228-8880) 
TimeOut	88 Orchard 	88 Orchard St,  between Broome and Grand Sts,  Lower East Side,  (212-228-8880) 
TimeOut	88 Orchard 	Cafés 	88 Orchard St,  between Broome and Grand Sts,  Lower East Side,  (212-228-8880) 
TimeOut	88 Orchard   	88 Orchard St,  between Broome and Grand Sts,  Lower East Side,  (212-228-8880) 	 Cafés 
TimeOut	92YTribeca Cafe	200 Hudson St,  at Canal St,  Tribeca,  (212-601-1000) 
TimeOut	92YTribeca Cafe	Kosher 	200 Hudson St,  at Canal St,  Tribeca,  (212-601-1000) 
TimeOut	92YTribeca Cafe 	200 Hudson St,  at Canal St,  Tribeca,  (212-601-1000) 
TimeOut	92YTribeca Cafe 	Kosher 	200 Hudson St,  at Canal St,  Tribeca,  (212-601-1000) 
TimeOut	92YTribeca Cafe   	200 Hudson St,  at Canal St,  Tribeca,  (212-601-1000) 	 Kosher 
TimeOut	99 Miles to Philly	94 Third Ave,  between 12th and 13th Sts ,  East Village,  (212-253-2700) 
TimeOut	99 Miles to Philly	American 	94 Third Ave,  between 12th and 13th Sts ,  East Village,  (212-253-2700) 
TimeOut	99 Miles to Philly 	94 Third Ave,  between 12th and 13th Sts ,  East Village,  (212-253-2700) 
TimeOut	99 Miles to Philly 	American 	94 Third Ave,  between 12th and 13th Sts ,  East Village,  (212-253-2700) 
TimeOut	99 Miles to Philly   	94 Third Ave,  between 12th and 13th Sts ,  East Village,  (212-253-2700) 	 American 
TimeOut	99? Fresh Pizza	569 Ninth Ave,  at 41st St,  Midtown West,  (212-268-1461) 
TimeOut	99? Fresh Pizza	Italian 	569 Ninth Ave,  at 41st St,  Midtown West,  (212-268-1461) 
TimeOut	99? Fresh Pizza 	569 Ninth Ave,  at 41st St,  Midtown West,  (212-268-1461) 
TimeOut	99? Fresh Pizza 	Italian 	569 Ninth Ave,  at 41st St,  Midtown West,  (212-268-1461) 
TimeOut	99c Fresh Pizza   	569 Ninth Ave,  at 41st St,  Midtown West,  (212-268-1461) 	 Italian 
TimeOut	?sküdar	1405 Second Ave,  between 73rd and 74th Sts,  Upper East Side,  (212-988-2641) 
TimeOut	?sküdar	Turkish 	1405 Second Ave,  between 73rd and 74th Sts,  Upper East Side,  (212-988-2641) 
TimeOut	?sküdar 	1405 Second Ave,  between 73rd and 74th Sts,  Upper East Side,  (212-988-2641) 
TimeOut	?sküdar 	Turkish 	1405 Second Ave,  between 73rd and 74th Sts,  Upper East Side,  (212-988-2641) 
TimeOut	?sküdar   	1405 Second Ave,  between 73rd and 74th Sts,  Upper East Side,  (212-988-2641) 	 Turkish 
TimeOut	A Café and Wine Room	973 Columbus Ave,  between 107th and 108th Sts,  Upper West Side,  (212-222-2033) 
TimeOut	A Café and Wine Room	Eclectic 	973 Columbus Ave,  between 107th and 108th Sts,  Upper West Side,  (212-222-2033) 
TimeOut	A Café and Wine Room 	973 Columbus Ave,  between 107th and 108th Sts,  Upper West Side,  (212-222-2033) 
TimeOut	A Café and Wine Room 	Eclectic 	973 Columbus Ave,  between 107th and 108th Sts,  Upper West Side,  (212-222-2033) 
TimeOut	A Café and Wine Room   	973 Columbus Ave,  between 107th and 108th Sts,  Upper West Side,  (212-222-2033) 	 Eclectic 
TimeOut	A Salt & Battery	112 Greenwich Ave,  between 12th and 13th Sts,  West Village,  (212-691-2713) 
TimeOut	A Salt & Battery	British & Irish 	112 Greenwich Ave,  between 12th and 13th Sts,  West Village,  (212-691-2713) 
TimeOut	A Salt & Battery 	112 Greenwich Ave,  between 12th and 13th Sts,  West Village,  (212-691-2713) 
TimeOut	A Salt & Battery 	British & Irish 	112 Greenwich Ave,  between 12th and 13th Sts,  West Village,  (212-691-2713) 
TimeOut	A Salt & Battery (CLOSED)	80 Second Ave,  between 4th and 5th Sts,  East Village,  (212-254-6610) 
TimeOut	A Salt & Battery (CLOSED)	British & Irish 	80 Second Ave,  between 4th and 5th Sts,  East Village,  (212-254-6610) 
TimeOut	A Salt & Battery (CLOSED) 	80 Second Ave,  between 4th and 5th Sts,  East Village,  (212-254-6610) 
TimeOut	A Salt & Battery (CLOSED) 	British & Irish 	80 Second Ave,  between 4th and 5th Sts,  East Village,  (212-254-6610) 
TimeOut	A Salt & Battery (CLOSED)   	80 Second Ave,  between 4th and 5th Sts,  East Village,  (212-254-6610) 	 British & Irish 
TimeOut	A Salt & Battery   	112 Greenwich Ave,  between 12th and 13th Sts,  West Village,  (212-691-2713) 	 British & Irish 
TimeOut	A Voce	41 Madison Ave, entrance on 26th St,  between Madison Ave and Park Ave South ,  Gramercy/Flatiron,  (212-545-8555) 
TimeOut	A Voce	Italian 	41 Madison Ave, entrance on 26th St,  between Madison Ave and Park Ave South ,  Gramercy/Flatiron,  (212-545-8555) 
TimeOut	A Voce 	41 Madison Ave, entrance on 26th St,  between Madison Ave and Park Ave South ,  Gramercy/Flatiron,  (212-545-8555) 
TimeOut	A Voce 	Italian 	41 Madison Ave, entrance on 26th St,  between Madison Ave and Park Ave South ,  Gramercy/Flatiron,  (212-545-8555) 
TimeOut	A Voce   	41 Madison Ave, entrance on 26th St,  between Madison Ave and Park Ave South ,  Gramercy/Flatiron,  (212-545-8555) 	 Italian 
TimeOut	A.O.C.	314 Bleecker St,  at Grove St,  West Village,  (212-675-9463) 
TimeOut	A.O.C.	French 	314 Bleecker St,  at Grove St,  West Village,  (212-675-9463) 
TimeOut	A.O.C. 	314 Bleecker St,  at Grove St,  West Village,  (212-675-9463) 
TimeOut	A.O.C. 	French 	314 Bleecker St,  at Grove St,  West Village,  (212-675-9463) 
TimeOut	A.O.C. Bedford (CLOSED)	14 Bedford St,  between Sixth Ave and Downing St,  West Village,  (212-414-4764) 
TimeOut	A.O.C. Bedford (CLOSED)	Spanish 	14 Bedford St,  between Sixth Ave and Downing St,  West Village,  (212-414-4764) 
TimeOut	A.O.C. Bedford (CLOSED) 	14 Bedford St,  between Sixth Ave and Downing St,  West Village,  (212-414-4764) 
TimeOut	A.O.C. Bedford (CLOSED) 	Spanish 	14 Bedford St,  between Sixth Ave and Downing St,  West Village,  (212-414-4764) 
TimeOut	A.O.C. Bedford (CLOSED)   	14 Bedford St,  between Sixth Ave and Downing St,  West Village,  (212-414-4764) 	 Spanish 
TimeOut	A.O.C.   	314 Bleecker St,  at Grove St,  West Village,  (212-675-9463) 	 French 
TimeOut	AQ Café	Scandinavia House, 58 Park Ave,  between 37th and 38th Sts,  Midtown East,  (212-879-9779) 
TimeOut	AQ Café	Seafood 	Scandinavia House, 58 Park Ave,  between 37th and 38th Sts,  Midtown East,  (212-879-9779) 
TimeOut	AQ Café 	Scandinavia House, 58 Park Ave,  between 37th and 38th Sts,  Midtown East,  (212-879-9779) 
TimeOut	AQ Café 	Seafood 	Scandinavia House, 58 Park Ave,  between 37th and 38th Sts,  Midtown East,  (212-879-9779) 
TimeOut	AQ Café   	Scandinavia House, 58 Park Ave,  between 37th and 38th Sts,  Midtown East,  (212-879-9779) 	 Seafood 
TimeOut	AQ Kafé	1800 Broadway,  between 58th and 59th Sts,  Midtown West,  (718-784-7364) 
TimeOut	AQ Kafé	Scandinavian 	1800 Broadway,  between 58th and 59th Sts,  Midtown West,  (718-784-7364) 
TimeOut	AQ Kafé 	1800 Broadway,  between 58th and 59th Sts,  Midtown West,  (718-784-7364) 
TimeOut	AQ Kafé 	Scandinavian 	1800 Broadway,  between 58th and 59th Sts,  Midtown West,  (718-784-7364) 
TimeOut	AQ Kafé   	1800 Broadway,  between 58th and 59th Sts,  Midtown West,  (718-784-7364) 	 Scandinavian 
TimeOut	Abboccato	138 W 55th St,  between Sixth and Seventh Aves ,  Midtown West,  (212-265-4000) 
TimeOut	Abboccato	Italian 	138 W 55th St,  between Sixth and Seventh Aves ,  Midtown West,  (212-265-4000) 
TimeOut	Abboccato 	138 W 55th St,  between Sixth and Seventh Aves ,  Midtown West,  (212-265-4000) 
TimeOut	Abboccato 	Italian 	138 W 55th St,  between Sixth and Seventh Aves ,  Midtown West,  (212-265-4000) 
TimeOut	Abboccato   	138 W 55th St,  between Sixth and Seventh Aves ,  Midtown West,  (212-265-4000) 	 Italian 
TimeOut	Abraço	86 E 7th St,  between First and Second Aves,  East Village,  (212-388-9731) 
TimeOut	Abraço	Cafés & diners 	86 E 7th St,  between First and Second Aves,  East Village,  (212-388-9731) 
TimeOut	Abraço 	86 E 7th St,  between First and Second Aves,  East Village,  (212-388-9731) 
TimeOut	Abraço 	Cafés & diners 	86 E 7th St,  between First and Second Aves,  East Village,  (212-388-9731) 
TimeOut	Abraço   	86 E 7th St,  between First and Second Aves,  East Village,  (212-388-9731) 	 Cafés & diners 
TimeOut	Absolute Bagels	2788 Broadway,  between 106th and 107th Sts,  Upper West Side,  (212-932-2052) 
TimeOut	Absolute Bagels	Cafés 	2788 Broadway,  between 106th and 107th Sts,  Upper West Side,  (212-932-2052) 
TimeOut	Absolute Bagels 	2788 Broadway,  between 106th and 107th Sts,  Upper West Side,  (212-932-2052) 
TimeOut	Absolute Bagels 	Cafés 	2788 Broadway,  between 106th and 107th Sts,  Upper West Side,  (212-932-2052) 
TimeOut	Absolute Bagels   	2788 Broadway,  between 106th and 107th Sts,  Upper West Side,  (212-932-2052) 	 Cafés 
TimeOut	Aburiya Kinnosuke	213 E 45th St,  between Second and Third Aves,  Midtown East,  (212-867-5454) 
TimeOut	Aburiya Kinnosuke	Japanese 	213 E 45th St,  between Second and Third Aves,  Midtown East,  (212-867-5454) 
TimeOut	Aburiya Kinnosuke 	213 E 45th St,  between Second and Third Aves,  Midtown East,  (212-867-5454) 
TimeOut	Aburiya Kinnosuke 	Japanese 	213 E 45th St,  between Second and Third Aves,  Midtown East,  (212-867-5454) 
TimeOut	Accademia di Vino	1081 Third Ave,  at 64th St,  Upper East Side,  (212-888-6333) 
TimeOut	Accademia di Vino	Italian 	1081 Third Ave,  at 64th St,  Upper East Side,  (212-888-6333) 
TimeOut	Accademia di Vino 	1081 Third Ave,  at 64th St,  Upper East Side,  (212-888-6333) 
TimeOut	Accademia di Vino 	Italian 	1081 Third Ave,  at 64th St,  Upper East Side,  (212-888-6333) 
TimeOut	Accademia di Vino   	1081 Third Ave,  at 64th St,  Upper East Side,  (212-888-6333) 	 Italian 
TimeOut	Acme Bar & Grill/Acme Underground	9 Great Jones St,  between Broadway and Lafayette St,  Greenwich Village,  (212-420-1934) 
TimeOut	Acme Bar & Grill/Acme Underground	American Regional 	9 Great Jones St,  between Broadway and Lafayette St,  Greenwich Village,  (212-420-1934) 
TimeOut	Acme Bar & Grill/Acme Underground 	9 Great Jones St,  between Broadway and Lafayette St,  Greenwich Village,  (212-420-1934) 
TimeOut	Acme Bar & Grill/Acme Underground 	American Regional 	9 Great Jones St,  between Broadway and Lafayette St,  Greenwich Village,  (212-420-1934) 
TimeOut	Acme Bar & Grill/Acme Underground   	9 Great Jones St,  between Broadway and Lafayette St,  Greenwich Village,  (212-420-1934) 	 American Regional 
TimeOut	Acqua	718 Amsterdam Ave,  at 95th St,  Upper West Side,  (212-222-2752) 
TimeOut	Acqua	Italian 	718 Amsterdam Ave,  at 95th St,  Upper West Side,  (212-222-2752) 
TimeOut	Acqua 	718 Amsterdam Ave,  at 95th St,  Upper West Side,  (212-222-2752) 
TimeOut	Acqua 	Italian 	718 Amsterdam Ave,  at 95th St,  Upper West Side,  (212-222-2752) 
TimeOut	Acqua Pazza (CLOSED)	36 W 52nd St,  between Fifth and Sixth Aves,  Midtown West,  (212-582-6900) 
TimeOut	Acqua Pazza (CLOSED)	Italian 	36 W 52nd St,  between Fifth and Sixth Aves,  Midtown West,  (212-582-6900) 
TimeOut	Acqua Pazza (CLOSED) 	36 W 52nd St,  between Fifth and Sixth Aves,  Midtown West,  (212-582-6900) 
TimeOut	Acqua Pazza (CLOSED) 	Italian 	36 W 52nd St,  between Fifth and Sixth Aves,  Midtown West,  (212-582-6900) 
TimeOut	Acqua Pazza (CLOSED)   	36 W 52nd St,  between Fifth and Sixth Aves,  Midtown West,  (212-582-6900) 	 Italian 
TimeOut	Acqua   	718 Amsterdam Ave,  at 95th St,  Upper West Side,  (212-222-2752) 	 Italian 
TimeOut	Adelina Vegetarian Kitchen	119 E 17th St,  between Irving Pl and Park Ave South,  Gramercy/Flatiron,  (212-674-6677) 
TimeOut	Adelina Vegetarian Kitchen 	119 E 17th St,  between Irving Pl and Park Ave South,  Gramercy/Flatiron,  (212-674-6677) 
TimeOut	Adiletto’s	812 Washington St,  between Gansevoort and Horatio Sts ,  Meatpacking District,  (212-352-3581) 
TimeOut	Adiletto’s	Italian 	812 Washington St,  between Gansevoort and Horatio Sts ,  Meatpacking District,  (212-352-3581) 
TimeOut	Adiletto’s 	812 Washington St,  between Gansevoort and Horatio Sts ,  Meatpacking District,  (212-352-3581) 
TimeOut	Adiletto’s 	Italian 	812 Washington St,  between Gansevoort and Horatio Sts ,  Meatpacking District,  (212-352-3581) 
TimeOut	Adiletto’s   	812 Washington St,  between Gansevoort and Horatio Sts ,  Meatpacking District,  (212-352-3581) 	 Italian 
TimeOut	Adour Alain Ducasse at The St. Regis New York	2 E 55th St,  at Fifth Ave,  Midtown West,  (212-710-2277) 
TimeOut	Adour Alain Ducasse at The St. Regis New York	French 	2 E 55th St,  at Fifth Ave,  Midtown West,  (212-710-2277) 
